tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
3600,note_on,,,,,,,7,0,3,,,,,,,,2,,,,64,100
3831,note_off,,,,,,,231,0,3,,,,,,,,2,,,,45,100
3834,note_off,,,,,,,3,0,3,,,,,,,,2,,,,64,100
3839,note_on,,,,,,,5,0,3,,,,,,,,2,,,,47,100
4080,note_on,,,,,,,241,0,3,,,,,,,,2,,,,54,100
4080,note_on,,,,,,,0,0,3,,,,,,,,2,,,,62,100
4309,note_off,,,,,,,229,0,3,,,,,,,,2,,,,47,100
4313,note_off,,,,,,,4,0,3,,,,,,,,2,,,,54,100
4314,note_off,,,,,,,1,0,3,,,,,,,,2,,,,62,100
4320,note_on,,,,,,,6,0,3,,,,,,,,2,,,,43,100
4560,note_on,,,,,,,0,0,3,,,,,,,,2,,,,52,100
4560,note_on,,,,,,,240,0,3,,,,,,,,2,,,,47,100
4790,note_off,,,,,,,230,0,3,,,,,,,,2,,,,43,100
4793,note_off,,,,,,,3,0,3,,,,,,,,2,,,,52,100
4794,note_off,,,,,,,1,0,3,,,,,,,,2,,,,47,100
4800,note_on,,,,,,,6,0,3,,,,,,,,2,,,,55,100
4800,note_on,,,,,,,0,0,3,,,,,,,,2,,,,40,100
5035,note_off,,,,,,,235,0,3,,,,,,,,2,,,,55,100
5041,note_on,,,,,,,6,0,3,,,,,,,,2,,,,59,100
5270,note_off,,,,,,,229,0,3,,,,,,,,2,,,,40,100
5275,note_off,,,,,,,5,0,3,,,,,,,,2,,,,59,100
5280,note_on,,,,,,,5,0,3,,,,,,,,2,,,,42,100
5519,note_on,,,,,,,239,0,3,,,,,,,,2,,,,49,100
5519,note_on,,,,,,,0,0,3,,,,,,,,2,,,,58,100
5521,note_on,,,,,,,2,0,3,,,,,,,,2,,,,54,100
5749,note_off,,,,,,,228,0,3,,,,,,,,2,,,,42,100
5752,note_off,,,,,,,3,0,3,,,,,,,,2,,,,58,100
5753,note_off,,,,,,,1,0,3,,,,,,,,2,,,,49,100
5754,note_off,,,,,,,1,0,3,,,,,,,,2,,,,54,100
5760,note_on,,,,,,,0,0,3,,,,,,,,2,,,,59,100
5760,note_on,,,,,,,6,0,3,,,,,,,,2,,,,50,100
5761,note_on,,,,,,,1,0,3,,,,,,,,2,,,,54,100
5761,note_on,,,,,,,5761,0,1,,,,,,,,0,,,,59,100
6000,note_on,,,,,,,239,0,3,,,,,,,,2,,,,35,100
6231,note_off,,,,,,,470,0,1,,,,,,,,0,,,,59,100
6233,note_off,,,,,,,233,0,3,,,,,,,,2,,,,35,100
6240,note_on,,,,,,,9,0,1,,,,,,,,0,,,,59,100
6240,note_on,,,,,,,7,0,3,,,,,,,,2,,,,38,100
6475,note_off,,,,,,,235,0,3,,,,,,,,2,,,,38,100
6480,note_on,,,,,,,5,0,3,,,,,,,,2,,,,42,100
6700,note_off,,,,,,,0,0,3,,,,,,,,2,,,,50,100
6700,note_off,,,,,,,0,0,3,,,,,,,,2,,,,59,100
6700,note_off,,,,,,,220,0,3,,,,,,,,2,,,,54,100
6710,note_off,,,,,,,470,0,1,,,,,,,,0,,,,59,100
6714,note_off,,,,,,,14,0,3,,,,,,,,2,,,,42,100
6719,note_on,,,,,,,5,0,3,,,,,,,,2,,,,59,100
6720,note_on,,,,,,,0,0,3,,,,,,,,2,,,,62,100
6720,note_on,,,,,,,1,0,3,,,,,,,,2,,,,54,100
6960,note_on,,,,,,,240,0,3,,,,,,,,2,,,,47,100
6961,note_on,,,,,,,251,0,1,,,,,,,,0,,,,62,100
7189,note_off,,,,,,,229,0,3,,,,,,,,2,,,,59,100
7190,note_off,,,,,,,0,0,3,,,,,,,,2,,,,62,100
7190,note_off,,,,,,,1,0,3,,,,,,,,2,,,,54,100
7193,note_off,,,,,,,3,0,3,,,,,,,,2,,,,47,100
7195,note_off,,,,,,,234,0,1,,,,,,,,0,,,,62,100
7200,note_on,,,,,,,7200,0,2,,,,,,,,1,,,,66,100
7200,note_on,,,,,,,5,0,1,,,,,,,,0,,,,66,100
7200,note_on,,,,,,,0,0,2,,,,,,,,1,,,,59,100
7200,note_on,,,,,,,0,0,2,,,,,,,,1,,,,62,100
7441,note_on,,,,,,,248,0,3,,,,,,,,2,,,,35,100
7669,note_off,,,,,,,469,0,1,,,,,,,,0,,,,66,100
7675,note_off,,,,,,,234,0,3,,,,,,,,2,,,,35,100
7680,note_on,,,,,,,5,0,3,,,,,,,,2,,,,38,100
7680,note_on,,,,,,,11,0,1,,,,,,,,0,,,,66,100
7915,note_off,,,,,,,235,0,3,,,,,,,,2,,,,38,100
7920,note_on,,,,,,,5,0,3,,,,,,,,2,,,,42,100
8139,note_off,,,,,,,939,0,2,,,,,,,,1,,,,59,100
8140,note_off,,,,,,,1,0,2,,,,,,,,1,,,,62,100
8140,note_off,,,,,,,0,0,2,,,,,,,,1,,,,66,100
8149,note_off,,,,,,,469,0,1,,,,,,,,0,,,,66,100
8155,note_off,,,,,,,235,0,3,,,,,,,,2,,,,42,100
8159,note_on,,,,,,,19,0,2,,,,,,,,1,,,,71,100
8160,note_on,,,,,,,1,0,2,,,,,,,,1,,,,74,100
8161,note_on,,,,,,,1,0,2,,,,,,,,1,,,,66,100
8400,note_on,,,,,,,251,0,1,,,,,,,,0,,,,74,100
8400,note_on,,,,,,,245,0,3,,,,,,,,2,,,,47,100
8629,note_off,,,,,,,468,0,2,,,,,,,,1,,,,71,100
8630,note_off,,,,,,,1,0,2,,,,,,,,1,,,,74,100
8632,note_off,,,,,,,2,0,2,,,,,,,,1,,,,66,100
8633,note_off,,,,,,,233,0,1,,,,,,,,0,,,,74,100
8634,note_off,,,,,,,234,0,3,,,,,,,,2,,,,47,100
8639,note_on,,,,,,,6,0,1,,,,,,,,0,,,,73,100
8640,note_on,,,,,,,8,0,2,,,,,,,,1,,,,64,100
8640,note_on,,,,,,,0,0,2,,,,,,,,1,,,,69,100
8640,note_on,,,,,,,0,0,2,,,,,,,,1,,,,73,100
8880,note_on,,,,,,,246,0,3,,,,,,,,2,,,,37,100
9110,note_off,,,,,,,471,0,1,,,,,,,,0,,,,73,100
9114,note_off,,,,,,,234,0,3,,,,,,,,2,,,,37,100
9120,note_on,,,,,,,10,0,1,,,,,,,,0,,,,69,100
9120,note_on,,,,,,,6,0,3,,,,,,,,2,,,,40,100
9354,note_off,,,,,,,234,0,3,,,,,,,,2,,,,40,100
9360,note_on,,,,,,,6,0,3,,,,,,,,2,,,,45,100
9580,note_off,,,,,,,940,0,2,,,,,,,,1,,,,73,100
9580,note_off,,,,,,,0,0,2,,,,,,,,1,,,,64,100
9580,note_off,,,,,,,0,0,2,,,,,,,,1,,,,69,100
9590,note_off,,,,,,,470,0,1,,,,,,,,0,,,,69,100
9594,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
9599,note_on,,,,,,,19,0,2,,,,,,,,1,,,,66,100
9600,note_on,,,,,,,1,0,2,,,,,,,,1,,,,62,100
9600,note_on,,,,,,,0,0,2,,,,,,,,1,,,,71,100
9600,note_on,,,,,,,10,0,1,,,,,,,,0,,,,71,100
9839,note_on,,,,,,,245,0,3,,,,,,,,2,,,,38,100
10069,note_off,,,,,,,0,0,2,,,,,,,,1,,,,66,100
10069,note_off,,,,,,,469,0,2,,,,,,,,1,,,,71,100
10070,note_off,,,,,,,470,0,1,,,,,,,,0,,,,71,100
10071,note_off,,,,,,,2,0,2,,,,,,,,1,,,,62,100
10073,note_off,,,,,,,234,0,3,,,,,,,,2,,,,38,100
10079,note_on,,,,,,,8,0,2,,,,,,,,1,,,,61,100
10080,note_on,,,,,,,0,0,2,,,,,,,,1,,,,66,100
10080,note_on,,,,,,,1,0,2,,,,,,,,1,,,,58,100
10080,note_on,,,,,,,10,0,1,,,,,,,,0,,,,66,100
10320,note_on,,,,,,,247,0,3,,,,,,,,2,,,,42,100
10554,note_off,,,,,,,234,0,3,,,,,,,,2,,,,42,100
10560,note_on,,,,,,,6,0,3,,,,,,,,2,,,,46,100
10794,note_off,,,,,,,234,0,3,,,,,,,,2,,,,46,100
10800,note_on,,,,,,,6,0,3,,,,,,,,2,,,,49,100
11019,note_off,,,,,,,939,0,2,,,,,,,,1,,,,61,100
11020,note_off,,,,,,,1,0,2,,,,,,,,1,,,,66,100
11021,note_off,,,,,,,1,0,2,,,,,,,,1,,,,58,100
11021,note_off,,,,,,,941,0,1,,,,,,,,0,,,,66,100
11034,note_off,,,,,,,234,0,3,,,,,,,,2,,,,49,100
11040,note_on,,,,,,,0,0,2,,,,,,,,1,,,,71,100
11040,note_on,,,,,,,19,0,2,,,,,,,,1,,,,66,100
11041,note_on,,,,,,,1,0,2,,,,,,,,1,,,,74,100
11280,note_on,,,,,,,246,0,3,,,,,,,,2,,,,35,100
11509,note_off,,,,,,,0,0,2,,,,,,,,1,,,,66,100
11509,note_off,,,,,,,468,0,2,,,,,,,,1,,,,71,100
11512,note_off,,,,,,,3,0,2,,,,,,,,1,,,,74,100
11514,note_off,,,,,,,234,0,3,,,,,,,,2,,,,35,100
11519,note_on,,,,,,,7,0,2,,,,,,,,1,,,,73,100
11520,note_on,,,,,,,0,0,2,,,,,,,,1,,,,69,100
11520,note_on,,,,,,,499,0,1,,,,,,,,0,,,,73,100
11520,note_on,,,,,,,1,0,2,,,,,,,,1,,,,64,100
11760,note_on,,,,,,,246,0,3,,,,,,,,2,,,,37,100
11990,note_off,,,,,,,470,0,1,,,,,,,,0,,,,73,100
11994,note_off,,,,,,,234,0,3,,,,,,,,2,,,,37,100
11999,note_on,,,,,,,5,0,3,,,,,,,,2,,,,40,100
12000,note_on,,,,,,,10,0,1,,,,,,,,0,,,,69,100
12233,note_off,,,,,,,234,0,3,,,,,,,,2,,,,40,100
12240,note_on,,,,,,,7,0,3,,,,,,,,2,,,,45,100
12459,note_off,,,,,,,939,0,2,,,,,,,,1,,,,69,100
12459,note_off,,,,,,,0,0,2,,,,,,,,1,,,,73,100
12460,note_off,,,,,,,1,0,2,,,,,,,,1,,,,64,100
12470,note_off,,,,,,,470,0,1,,,,,,,,0,,,,69,100
12474,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
12480,note_on,,,,,,,10,0,1,,,,,,,,0,,,,71,100
12480,note_on,,,,,,,20,0,2,,,,,,,,1,,,,62,100
12480,note_on,,,,,,,0,0,2,,,,,,,,1,,,,71,100
12480,note_on,,,,,,,0,0,2,,,,,,,,1,,,,66,100
12720,note_on,,,,,,,246,0,3,,,,,,,,2,,,,38,100
12949,note_off,,,,,,,469,0,2,,,,,,,,1,,,,66,100
12949,note_off,,,,,,,0,0,2,,,,,,,,1,,,,62,100
12950,note_off,,,,,,,1,0,2,,,,,,,,1,,,,71,100
12950,note_off,,,,,,,470,0,1,,,,,,,,0,,,,71,100
12954,note_off,,,,,,,234,0,3,,,,,,,,2,,,,38,100
12959,note_on,,,,,,,9,0,2,,,,,,,,1,,,,67,100
12959,note_on,,,,,,,9,0,1,,,,,,,,0,,,,67,100
12960,note_on,,,,,,,0,0,2,,,,,,,,1,,,,64,100
12960,note_on,,,,,,,1,0,2,,,,,,,,1,,,,59,100
13199,note_on,,,,,,,245,0,3,,,,,,,,2,,,,40,100
13429,note_off,,,,,,,470,0,1,,,,,,,,0,,,,67,100
13433,note_off,,,,,,,234,0,3,,,,,,,,2,,,,40,100
13440,note_on,,,,,,,11,0,1,,,,,,,,0,,,,64,100
13440,note_on,,,,,,,7,0,3,,,,,,,,2,,,,43,100
13674,note_off,,,,,,,234,0,3,,,,,,,,2,,,,43,100
13681,note_on,,,,,,,7,0,3,,,,,,,,2,,,,47,100
13899,note_off,,,,,,,939,0,2,,,,,,,,1,,,,67,100
13900,note_off,,,,,,,1,0,2,,,,,,,,1,,,,59,100
13900,note_off,,,,,,,0,0,2,,,,,,,,1,,,,64,100
13910,note_off,,,,,,,470,0,1,,,,,,,,0,,,,64,100
13915,note_off,,,,,,,234,0,3,,,,,,,,2,,,,47,100
13920,note_on,,,,,,,10,0,1,,,,,,,,0,,,,66,100
13920,note_on,,,,,,,0,0,2,,,,,,,,1,,,,66,100
13920,note_on,,,,,,,20,0,2,,,,,,,,1,,,,57,100
13921,note_on,,,,,,,1,0,2,,,,,,,,1,,,,62,100
14160,note_on,,,,,,,245,0,3,,,,,,,,2,,,,45,100
14390,note_off,,,,,,,0,0,2,,,,,,,,1,,,,57,100
14390,note_off,,,,,,,0,0,2,,,,,,,,1,,,,66,100
14390,note_off,,,,,,,469,0,2,,,,,,,,1,,,,62,100
14391,note_off,,,,,,,471,0,1,,,,,,,,0,,,,66,100
14394,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
14400,note_on,,,,,,,0,0,2,,,,,,,,1,,,,62,100
14400,note_on,,,,,,,9,0,1,,,,,,,,0,,,,69,100
14400,note_on,,,,,,,10,0,2,,,,,,,,1,,,,57,100
14401,note_on,,,,,,,1,0,2,,,,,,,,1,,,,65,100
14640,note_on,,,,,,,246,0,3,,,,,,,,2,,,,33,100
14872,note_off,,,,,,,471,0,2,,,,,,,,1,,,,65,100
14874,note_off,,,,,,,234,0,3,,,,,,,,2,,,,33,100
14880,note_on,,,,,,,8,0,2,,,,,,,,1,,,,64,100
14880,note_on,,,,,,,6,0,3,,,,,,,,2,,,,38,100
15104,note_off,,,,,,,704,0,1,,,,,,,,0,,,,69,100
15114,note_off,,,,,,,234,0,3,,,,,,,,2,,,,38,100
15120,note_on,,,,,,,6,0,3,,,,,,,,2,,,,45,100
15121,note_on,,,,,,,17,0,1,,,,,,,,0,,,,57,100
15339,note_off,,,,,,,459,0,2,,,,,,,,1,,,,62,100
15354,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
15355,note_off,,,,,,,234,0,1,,,,,,,,0,,,,57,100
15360,note_on,,,,,,,5,0,1,,,,,,,,0,,,,64,100
15600,note_on,,,,,,,246,0,3,,,,,,,,2,,,,45,100
15820,note_off,,,,,,,481,0,2,,,,,,,,1,,,,64,100
15830,note_off,,,,,,,470,0,1,,,,,,,,0,,,,64,100
15831,note_off,,,,,,,11,0,2,,,,,,,,1,,,,57,100
15834,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
15839,note_on,,,,,,,9,0,1,,,,,,,,0,,,,62,100
15839,note_on,,,,,,,8,0,2,,,,,,,,1,,,,57,100
15841,note_on,,,,,,,2,0,2,,,,,,,,1,,,,62,100
16079,note_on,,,,,,,245,0,3,,,,,,,,2,,,,38,100
16309,note_off,,,,,,,470,0,1,,,,,,,,0,,,,62,100
16312,note_off,,,,,,,471,0,2,,,,,,,,1,,,,62,100
16313,note_off,,,,,,,234,0,3,,,,,,,,2,,,,38,100
16320,note_on,,,,,,,8,0,2,,,,,,,,1,,,,61,100
16320,note_on,,,,,,,0,0,2,,,,,,,,1,,,,64,100
16321,note_on,,,,,,,8,0,3,,,,,,,,2,,,,41,100
16555,note_off,,,,,,,234,0,3,,,,,,,,2,,,,41,100
16560,note_on,,,,,,,5,0,3,,,,,,,,2,,,,45,100
16794,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
17022,note_off,,,,,,,702,0,2,,,,,,,,1,,,,57,100
17024,note_off,,,,,,,0,0,2,,,,,,,,1,,,,64,100
17024,note_off,,,,,,,2,0,2,,,,,,,,1,,,,61,100
17040,note_on,,,,,,,246,0,3,,,,,,,,2,,,,50,100
17040,note_on,,,,,,,0,0,2,,,,,,,,1,,,,62,100
17040,note_on,,,,,,,0,0,2,,,,,,,,1,,,,65,100
17040,note_on,,,,,,,16,0,2,,,,,,,,1,,,,57,100
17274,note_off,,,,,,,0,0,2,,,,,,,,1,,,,57,100
17274,note_off,,,,,,,234,0,2,,,,,,,,1,,,,65,100
17275,note_off,,,,,,,1,0,2,,,,,,,,1,,,,62,100
17275,note_off,,,,,,,235,0,3,,,,,,,,2,,,,50,100
17279,note_on,,,,,,,4,0,2,,,,,,,,1,,,,62,100
17280,note_on,,,,,,,1,0,2,,,,,,,,1,,,,56,100
17281,note_on,,,,,,,1,0,2,,,,,,,,1,,,,65,100
17520,note_on,,,,,,,245,0,3,,,,,,,,2,,,,33,100
17754,note_off,,,,,,,234,0,3,,,,,,,,2,,,,33,100
17759,note_on,,,,,,,5,0,3,,,,,,,,2,,,,38,100
17994,note_off,,,,,,,235,0,3,,,,,,,,2,,,,38,100
18000,note_on,,,,,,,6,0,3,,,,,,,,2,,,,45,100
18219,note_off,,,,,,,938,0,2,,,,,,,,1,,,,62,100
18221,note_off,,,,,,,0,0,2,,,,,,,,1,,,,65,100
18221,note_off,,,,,,,2,0,2,,,,,,,,1,,,,56,100
18235,note_off,,,,,,,235,0,3,,,,,,,,2,,,,45,100
18240,note_on,,,,,,,0,0,2,,,,,,,,1,,,,64,100
18240,note_on,,,,,,,19,0,2,,,,,,,,1,,,,57,100
18240,note_on,,,,,,,0,0,2,,,,,,,,1,,,,61,100
18480,note_on,,,,,,,245,0,3,,,,,,,,2,,,,45,100
18710,note_off,,,,,,,0,0,2,,,,,,,,1,,,,57,100
18710,note_off,,,,,,,470,0,2,,,,,,,,1,,,,64,100
18710,note_off,,,,,,,0,0,2,,,,,,,,1,,,,61,100
18714,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
18720,note_on,,,,,,,0,0,2,,,,,,,,1,,,,57,100
18720,note_on,,,,,,,10,0,2,,,,,,,,1,,,,62,100
18720,note_on,,,,,,,2411,0,1,,,,,,,,0,,,,62,100
18959,note_on,,,,,,,245,0,3,,,,,,,,2,,,,38,100
19191,note_off,,,,,,,471,0,2,,,,,,,,1,,,,62,100
19194,note_off,,,,,,,235,0,3,,,,,,,,2,,,,38,100
19200,note_on,,,,,,,0,0,2,,,,,,,,1,,,,64,100
19200,note_on,,,,,,,6,0,3,,,,,,,,2,,,,41,100
19200,note_on,,,,,,,9,0,2,,,,,,,,1,,,,61,100
19424,note_off,,,,,,,704,0,1,,,,,,,,0,,,,62,100
19434,note_off,,,,,,,234,0,3,,,,,,,,2,,,,41,100
19439,note_on,,,,,,,5,0,3,,,,,,,,2,,,,45,100
19440,note_on,,,,,,,16,0,1,,,,,,,,0,,,,64,100
19674,note_off,,,,,,,235,0,3,,,,,,,,2,,,,45,100
19904,note_off,,,,,,,704,0,2,,,,,,,,1,,,,64,100
19904,note_off,,,,,,,0,0,2,,,,,,,,1,,,,57,100
19904,note_off,,,,,,,0,0,2,,,,,,,,1,,,,61,100
19911,note_off,,,,,,,471,0,1,,,,,,,,0,,,,64,100
19919,note_on,,,,,,,0,0,2,,,,,,,,1,,,,65,100
19919,note_on,,,,,,,245,0,3,,,,,,,,2,,,,50,100
19919,note_on,,,,,,,15,0,2,,,,,,,,1,,,,62,100
19920,note_on,,,,,,,9,0,1,,,,,,,,0,,,,65,100
19920,note_on,,,,,,,1,0,2,,,,,,,,1,,,,57,100
20153,note_off,,,,,,,234,0,3,,,,,,,,2,,,,50,100
20153,note_off,,,,,,,233,0,2,,,,,,,,1,,,,65,100
20153,note_off,,,,,,,0,0,2,,,,,,,,1,,,,62,100
20154,note_off,,,,,,,234,0,1,,,,,,,,0,,,,65,100
20154,note_off,,,,,,,1,0,2,,,,,,,,1,,,,57,100
20160,note_on,,,,,,,6,0,1,,,,,,,,0,,,,65,100
20160,note_on,,,,,,,0,0,2,,,,,,,,1,,,,65,100
20160,note_on,,,,,,,6,0,2,,,,,,,,1,,,,62,100
20161,note_on,,,,,,,1,0,2,,,,,,,,1,,,,56,100
20400,note_on,,,,,,,247,0,3,,,,,,,,2,,,,33,100
20634,note_off,,,,,,,234,0,3,,,,,,,,2,,,,33,100
20640,note_on,,,,,,,6,0,3,,,,,,,,2,,,,38,100
20875,note_off,,,,,,,235,0,3,,,,,,,,2,,,,38,100
20881,note_on,,,,,,,6,0,3,,,,,,,,2,,,,45,100
21100,note_off,,,,,,,939,0,2,,,,,,,,1,,,,62,100
21101,note_off,,,,,,,1,0,2,,,,,,,,1,,,,65,100
21101,note_off,,,,,,,941,0,1,,,,,,,,0,,,,65,100
21101,note_off,,,,,,,0,0,2,,,,,,,,1,,,,56,100
21115,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
21119,note_on,,,,,,,18,0,2,,,,,,,,1,,,,61,100
21120,note_on,,,,,,,0,0,2,,,,,,,,1,,,,64,100
21120,note_on,,,,,,,1,0,2,,,,,,,,1,,,,57,100
21121,note_on,,,,,,,20,0,1,,,,,,,,0,,,,64,100
21360,note_on,,,,,,,245,0,3,,,,,,,,2,,,,49,100
21589,note_off,,,,,,,469,0,2,,,,,,,,1,,,,61,100
21590,note_off,,,,,,,1,0,2,,,,,,,,1,,,,57,100
21591,note_off,,,,,,,1,0,2,,,,,,,,1,,,,64,100
21591,note_off,,,,,,,470,0,1,,,,,,,,0,,,,64,100
21593,note_off,,,,,,,233,0,3,,,,,,,,2,,,,49,100
21599,note_on,,,,,,,8,0,2,,,,,,,,1,,,,61,100
21599,note_on,,,,,,,0,0,2,,,,,,,,1,,,,66,100
21600,note_on,,,,,,,1,0,2,,,,,,,,1,,,,69,100
21600,note_on,,,,,,,9,0,1,,,,,,,,0,,,,69,100
21841,note_on,,,,,,,248,0,3,,,,,,,,2,,,,42,100
22068,note_off,,,,,,,468,0,2,,,,,,,,1,,,,61,100
22069,note_off,,,,,,,0,0,2,,,,,,,,1,,,,69,100
22069,note_off,,,,,,,1,0,2,,,,,,,,1,,,,66,100
22070,note_off,,,,,,,470,0,1,,,,,,,,0,,,,69,100
22075,note_off,,,,,,,234,0,3,,,,,,,,2,,,,42,100
22080,note_on,,,,,,,11,0,2,,,,,,,,1,,,,59,100
22080,note_on,,,,,,,5,0,3,,,,,,,,2,,,,45,100
22080,note_on,,,,,,,0,0,2,,,,,,,,1,,,,68,100
22080,note_on,,,,,,,10,0,1,,,,,,,,0,,,,68,100
22081,note_on,,,,,,,1,0,2,,,,,,,,1,,,,65,100
22314,note_off,,,,,,,234,0,3,,,,,,,,2,,,,45,100
22320,note_on,,,,,,,6,0,3,,,,,,,,2,,,,49,100
22555,note_off,,,,,,,235,0,3,,,,,,,,2,,,,49,100
22784,note_off,,,,,,,704,0,1,,,,,,,,0,,,,68,100
22784,note_off,,,,,,,703,0,2,,,,,,,,1,,,,68,100
22785,note_off,,,,,,,0,0,2,,,,,,,,1,,,,65,100
22785,note_off,,,,,,,1,0,2,,,,,,,,1,,,,59,100
22799,note_on,,,,,,,15,0,1,,,,,,,,0,,,,66,100
22800,note_on,,,,,,,0,0,2,,,,,,,,1,,,,66,100
22800,note_on,,,,,,,0,0,2,,,,,,,,1,,,,61,100
22800,note_on,,,,,,,15,0,2,,,,,,,,1,,,,57,100
22800,note_on,,,,,,,245,0,3,,,,,,,,2,,,,54,100
23033,note_off,,,,,,,234,0,1,,,,,,,,0,,,,66,100
23034,note_off,,,,,,,234,0,3,,,,,,,,2,,,,54,100
23034,note_off,,,,,,,234,0,2,,,,,,,,1,,,,66,100
23035,note_off,,,,,,,0,0,2,,,,,,,,1,,,,57,100
23035,note_off,,,,,,,1,0,2,,,,,,,,1,,,,61,100
23040,note_on,,,,,,,5,0,2,,,,,,,,1,,,,61,100
