tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,key,note,velocity
1668,note_on,12,0,1,,,,,,,,0,,,72,0
1668,note_on,0,0,1,,,,,,,,0,,,64,0
1680,note_on,12,0,1,,,,,,,,0,,,71,100
1680,note_on,0,0,1,,,,,,,,0,,,62,100
1729,control_change,49,0,1,,,,,,7,109,0,,,,
1800,control_change,71,0,1,,,,,,7,110,0,,,,
1896,note_on,0,0,1,,,,,,,,0,,,43,0
1896,note_on,96,0,1,,,,,,,,0,,,50,0
1908,note_on,0,0,1,,,,,,,,0,,,71,0
1908,note_on,12,0,1,,,,,,,,0,,,62,0
1920,note_on,0,0,1,,,,,,,,0,,,38,100
1920,note_on,12,0,1,,,,,,,,0,,,50,100
1920,note_on,0,0,1,,,,,,,,0,,,57,100
1920,note_on,0,0,1,,,,,,,,0,,,66,100
1920,note_on,0,0,1,,,,,,,,0,,,69,100
1956,control_change,36,0,1,,,,,,7,109,0,,,,
2030,control_change,74,0,1,,,,,,7,108,0,,,,
2104,control_change,74,0,1,,,,,,7,107,0,,,,
2141,control_change,37,0,1,,,,,,7,106,0,,,,
2214,control_change,73,0,1,,,,,,7,105,0,,,,
2251,control_change,37,0,1,,,,,,7,104,0,,,,
2325,control_change,74,0,1,,,,,,7,103,0,,,,
2398,control_change,73,0,1,,,,,,7,102,0,,,,
2435,control_change,37,0,1,,,,,,7,101,0,,,,
2508,control_change,73,0,1,,,,,,7,100,0,,,,
2582,control_change,74,0,1,,,,,,7,99,0,,,,
2619,control_change,37,0,1,,,,,,7,98,0,,,,
2693,control_change,74,0,1,,,,,,7,97,0,,,,
2766,control_change,73,0,1,,,,,,7,96,0,,,,
2803,control_change,37,0,1,,,,,,7,95,0,,,,
2856,note_on,0,0,1,,,,,,,,0,,,50,0
2856,note_on,0,0,1,,,,,,,,0,,,57,0
2856,note_on,53,0,1,,,,,,,,0,,,69,0
2856,note_on,0,0,1,,,,,,,,0,,,38,0
2877,control_change,21,0,1,,,,,,7,94,0,,,,
2914,control_change,37,0,1,,,,,,7,93,0,,,,
2987,control_change,73,0,1,,,,,,7,92,0,,,,
3060,control_change,73,0,1,,,,,,7,91,0,,,,
3097,control_change,37,0,1,,,,,,7,90,0,,,,
3171,control_change,74,0,1,,,,,,7,89,0,,,,
3245,control_change,74,0,1,,,,,,7,88,0,,,,
3281,control_change,36,0,1,,,,,,7,87,0,,,,
3336,note_on,55,0,1,,,,,,,,0,,,66,0
3355,control_change,19,0,1,,,,,,7,86,0,,,,
3360,note_on,5,0,1,,,,,,,,0,,,65,100
3392,control_change,32,0,1,,,,,,7,85,0,,,,
3466,control_change,74,0,1,,,,,,7,84,0,,,,
3539,control_change,73,0,1,,,,,,7,83,0,,,,
3576,control_change,37,0,1,,,,,,7,82,0,,,,
3649,control_change,73,0,1,,,,,,7,81,0,,,,
3720,control_change,71,0,1,,,,,,7,80,0,,,,
3816,note_on,96,0,1,,,,,,,,0,,,65,0
3840,note_on,0,0,1,,,,,,,,0,,,41,100
3840,note_on,0,0,1,,,,,,,,0,,,57,100
3840,note_on,24,0,1,,,,,,,,0,,,48,100
3876,control_change,36,0,1,,,,,,7,81,0,,,,
3950,control_change,74,0,1,,,,,,7,82,0,,,,
4024,control_change,74,0,1,,,,,,7,83,0,,,,
4061,control_change,37,0,1,,,,,,7,84,0,,,,
4080,note_on,19,0,1,,,,,,,,0,,,60,100
4134,control_change,54,0,1,,,,,,7,85,0,,,,
4171,control_change,37,0,1,,,,,,7,86,0,,,,
4245,control_change,74,0,1,,,,,,7,87,0,,,,
4308,note_on,63,0,1,,,,,,,,0,,,60,0
4318,control_change,10,0,1,,,,,,7,88,0,,,,
4320,note_on,2,0,1,,,,,,,,0,,,65,100
4355,control_change,35,0,1,,,,,,7,89,0,,,,
4428,control_change,73,0,1,,,,,,7,90,0,,,,
4502,control_change,74,0,1,,,,,,7,91,0,,,,
4539,control_change,37,0,1,,,,,,7,92,0,,,,
4548,note_on,9,0,1,,,,,,,,0,,,65,0
4548,note_on,0,0,1,,,,,,,,0,,,57,0
4560,note_on,12,0,1,,,,,,,,0,,,55,100
4560,note_on,0,0,1,,,,,,,,0,,,64,100
4613,control_change,53,0,1,,,,,,7,93,0,,,,
4686,control_change,73,0,1,,,,,,7,94,0,,,,
4723,control_change,37,0,1,,,,,,7,95,0,,,,
4788,note_on,65,0,1,,,,,,,,0,,,64,0
4788,note_on,0,0,1,,,,,,,,0,,,55,0
4797,control_change,9,0,1,,,,,,7,96,0,,,,
4800,note_on,3,0,1,,,,,,,,0,,,58,100
4800,note_on,0,0,1,,,,,,,,0,,,67,100
4834,control_change,34,0,1,,,,,,7,97,0,,,,
4907,control_change,73,0,1,,,,,,7,98,0,,,,
4980,control_change,73,0,1,,,,,,7,99,0,,,,
5017,control_change,37,0,1,,,,,,7,100,0,,,,
5028,note_on,11,0,1,,,,,,,,0,,,67,0
5028,note_on,0,0,1,,,,,,,,0,,,58,0
5040,note_on,12,0,1,,,,,,,,0,,,65,100
5040,note_on,0,0,1,,,,,,,,0,,,57,100
5091,control_change,51,0,1,,,,,,7,101,0,,,,
5165,control_change,74,0,1,,,,,,7,102,0,,,,
5201,control_change,36,0,1,,,,,,7,103,0,,,,
5268,note_on,0,0,1,,,,,,,,0,,,65,0
5268,note_on,67,0,1,,,,,,,,0,,,57,0
5275,control_change,7,0,1,,,,,,7,104,0,,,,
5280,note_on,0,0,1,,,,,,,,0,,,70,100
5280,note_on,5,0,1,,,,,,,,0,,,62,100
5312,control_change,32,0,1,,,,,,7,105,0,,,,
5386,control_change,74,0,1,,,,,,7,106,0,,,,
5459,control_change,73,0,1,,,,,,7,107,0,,,,
5496,control_change,37,0,1,,,,,,7,108,0,,,,
5508,note_on,12,0,1,,,,,,,,0,,,70,0
5508,note_on,0,0,1,,,,,,,,0,,,62,0
5520,note_on,12,0,1,,,,,,,,0,,,69,100
5520,note_on,0,0,1,,,,,,,,0,,,60,100
5569,control_change,49,0,1,,,,,,7,109,0,,,,
5640,control_change,71,0,1,,,,,,7,110,0,,,,
5736,note_on,0,0,1,,,,,,,,0,,,48,0
5736,note_on,96,0,1,,,,,,,,0,,,41,0
5748,note_on,0,0,1,,,,,,,,0,,,69,0
5748,note_on,12,0,1,,,,,,,,0,,,60,0
5760,note_on,0,0,1,,,,,,,,0,,,36,100
5760,note_on,12,0,1,,,,,,,,0,,,48,100
5760,note_on,0,0,1,,,,,,,,0,,,67,100
5760,note_on,0,0,1,,,,,,,,0,,,55,100
5760,note_on,0,0,1,,,,,,,,0,,,64,100
5796,control_change,36,0,1,,,,,,7,109,0,,,,
5870,control_change,74,0,1,,,,,,7,108,0,,,,
5944,control_change,74,0,1,,,,,,7,107,0,,,,
5981,control_change,37,0,1,,,,,,7,106,0,,,,
6054,control_change,73,0,1,,,,,,7,105,0,,,,
6091,control_change,37,0,1,,,,,,7,104,0,,,,
6165,control_change,74,0,1,,,,,,7,103,0,,,,
6238,control_change,73,0,1,,,,,,7,102,0,,,,
6275,control_change,37,0,1,,,,,,7,101,0,,,,
6348,control_change,73,0,1,,,,,,7,100,0,,,,
6422,control_change,74,0,1,,,,,,7,99,0,,,,
6459,control_change,37,0,1,,,,,,7,98,0,,,,
6533,control_change,74,0,1,,,,,,7,97,0,,,,
6606,control_change,73,0,1,,,,,,7,96,0,,,,
6643,control_change,37,0,1,,,,,,7,95,0,,,,
6717,control_change,74,0,1,,,,,,7,94,0,,,,
6754,control_change,37,0,1,,,,,,7,93,0,,,,
6827,control_change,73,0,1,,,,,,7,92,0,,,,
6900,control_change,73,0,1,,,,,,7,91,0,,,,
6937,control_change,37,0,1,,,,,,7,90,0,,,,
7011,control_change,74,0,1,,,,,,7,89,0,,,,
7085,control_change,74,0,1,,,,,,7,88,0,,,,
7121,control_change,36,0,1,,,,,,7,87,0,,,,
7176,note_on,55,0,1,,,,,,,,0,,,55,0
7176,note_on,0,0,1,,,,,,,,0,,,64,0
7176,note_on,0,0,1,,,,,,,,0,,,67,0
7195,control_change,19,0,1,,,,,,7,86,0,,,,
7200,note_on,5,0,1,,,,,,,,0,,,57,100
7200,note_on,0,0,1,,,,,,,,0,,,66,100
7200,note_on,0,0,1,,,,,,,,0,,,64,100
7232,control_change,32,0,1,,,,,,7,85,0,,,,
7306,control_change,74,0,1,,,,,,7,84,0,,,,
7379,control_change,73,0,1,,,,,,7,83,0,,,,
7416,control_change,37,0,1,,,,,,7,82,0,,,,
7489,control_change,73,0,1,,,,,,7,81,0,,,,
7560,control_change,71,0,1,,,,,,7,80,0,,,,
7656,note_on,0,0,1,,,,,,,,0,,,66,0
7656,note_on,0,0,1,,,,,,,,0,,,64,0
7656,note_on,0,0,1,,,,,,,,0,,,48,0
7656,note_on,96,0,1,,,,,,,,0,,,36,0
7656,note_on,0,0,1,,,,,,,,0,,,57,0
7680,note_on,24,0,1,,,,,,,,0,,,47,100
7680,note_on,0,0,2,,,,,,,,1,,,72,100
7680,note_on,0,0,1,,,,,,,,0,,,35,100
7680,note_on,0,0,1,,,,,,,,0,,,69,100
7680,note_on,0,0,1,,,,,,,,0,,,63,100
7680,note_on,0,0,1,,,,,,,,0,,,57,100
7680,control_change,7680,0,2,,,,,,7,110,1,,,,
7790,control_change,110,0,2,,,,,,7,109,1,,,,
7974,control_change,184,0,2,,,,,,7,108,1,,,,
8136,note_on,0,0,1,,,,,,,,0,,,35,0
8136,note_on,0,0,1,,,,,,,,0,,,57,0
8136,note_on,0,0,1,,,,,,,,0,,,63,0
8136,note_on,456,0,1,,,,,,,,0,,,69,0
8136,note_on,0,0,1,,,,,,,,0,,,47,0
8158,control_change,184,0,2,,,,,,7,107,1,,,,
8342,control_change,184,0,2,,,,,,7,106,1,,,,
8526,control_change,184,0,2,,,,,,7,105,1,,,,
8616,note_on,90,0,2,,,,,,,,1,,,72,0
8640,note_on,24,0,2,,,,,,,,1,,,71,100
8673,control_change,33,0,2,,,,,,7,104,1,,,,
8857,control_change,184,0,2,,,,,,7,103,1,,,,
9041,control_change,184,0,2,,,,,,7,102,1,,,,
9096,note_on,55,0,2,,,,,,,,1,,,71,0
9120,note_on,24,0,2,,,,,,,,1,,,70,100
9225,control_change,105,0,2,,,,,,7,101,1,,,,
9409,control_change,184,0,2,,,,,,7,100,1,,,,
9576,note_on,167,0,2,,,,,,,,1,,,70,0
9600,note_on,24,0,2,,,,,,,,1,,,71,100
11016,note_on,1416,0,2,,,,,,,,1,,,71,0
11040,note_on,24,0,2,,,,,,,,1,,,66,100
11496,note_on,456,0,2,,,,,,,,1,,,66,0
11520,control_change,3384,0,1,,,,,,7,75,0,,,,
11520,note_on,0,0,1,,,,,,,,0,,,35,100
11520,note_on,0,0,1,,,,,,,,0,,,47,100
11520,note_on,24,0,2,,,,,,,,1,,,67,100
11520,note_on,0,0,1,,,,,,,,0,,,64,100
11520,note_on,0,0,1,,,,,,,,0,,,67,100
11520,note_on,0,0,1,,,,,,,,0,,,59,100
11630,control_change,110,0,2,,,,,,7,101,1,,,,
11777,control_change,147,0,2,,,,,,7,102,1,,,,
11961,control_change,184,0,2,,,,,,7,103,1,,,,
11976,note_on,15,0,2,,,,,,,,1,,,67,0
12000,note_on,24,0,2,,,,,,,,1,,,69,100
12108,control_change,108,0,2,,,,,,7,104,1,,,,
12292,control_change,184,0,2,,,,,,7,105,1,,,,
12440,control_change,148,0,2,,,,,,7,106,1,,,,
12456,note_on,16,0,2,,,,,,,,1,,,69,0
12480,note_on,24,0,2,,,,,,,,1,,,71,100
12587,control_change,107,0,2,,,,,,7,107,1,,,,
12771,control_change,184,0,2,,,,,,7,108,1,,,,
12918,control_change,147,0,2,,,,,,7,109,1,,,,
12936,note_on,18,0,2,,,,,,,,1,,,71,0
12960,note_on,24,0,2,,,,,,,,1,,,73,100
13102,control_change,142,0,2,,,,,,7,110,1,,,,
13249,control_change,147,0,2,,,,,,7,111,1,,,,
13416,note_on,167,0,2,,,,,,,,1,,,73,0
13416,note_on,0,0,1,,,,,,,,0,,,59,0
13416,note_on,1896,0,1,,,,,,,,0,,,67,0
13416,note_on,0,0,1,,,,,,,,0,,,64,0
13416,note_on,0,0,1,,,,,,,,0,,,35,0
13416,note_on,0,0,1,,,,,,,,0,,,47,0
13433,control_change,17,0,2,,,,,,7,112,1,,,,
13440,note_on,0,0,1,,,,,,,,0,,,66,100
13440,note_on,0,0,1,,,,,,,,0,,,57,100
13440,note_on,0,0,1,,,,,,,,0,,,47,100
13440,note_on,24,0,1,,,,,,,,0,,,35,100
13440,note_on,7,0,2,,,,,,,,1,,,75,100
13505,note_on,65,0,2,,,,,,,,1,,,75,0
13507,note_on,2,0,2,,,,,,,,1,,,76,100
13572,note_on,65,0,2,,,,,,,,1,,,76,0
13577,note_on,5,0,2,,,,,,,,1,,,75,100
13581,control_change,4,0,2,,,,,,7,113,1,,,,
13642,note_on,61,0,2,,,,,,,,1,,,75,0
13644,note_on,2,0,2,,,,,,,,1,,,76,100
13709,note_on,65,0,2,,,,,,,,1,,,76,0
13714,note_on,5,0,2,,,,,,,,1,,,75,100
13764,control_change,50,0,2,,,,,,7,114,1,,,,
13778,note_on,14,0,2,,,,,,,,1,,,75,0
13781,note_on,3,0,2,,,,,,,,1,,,76,100
13846,note_on,65,0,2,,,,,,,,1,,,76,0
13850,note_on,4,0,2,,,,,,,,1,,,75,100
13912,control_change,62,0,2,,,,,,7,115,1,,,,
13915,note_on,3,0,2,,,,,,,,1,,,75,0
13920,note_on,5,0,2,,,,,,,,1,,,76,100
13985,note_on,65,0,2,,,,,,,,1,,,76,0
13987,note_on,2,0,2,,,,,,,,1,,,75,100
14052,note_on,65,0,2,,,,,,,,1,,,75,0
14057,note_on,5,0,2,,,,,,,,1,,,76,100
14096,control_change,39,0,2,,,,,,7,116,1,,,,
14122,note_on,26,0,2,,,,,,,,1,,,76,0
14124,note_on,2,0,2,,,,,,,,1,,,75,100
14189,note_on,65,0,2,,,,,,,,1,,,75,0
14194,note_on,5,0,2,,,,,,,,1,,,76,100
14243,control_change,49,0,2,,,,,,7,117,1,,,,
14258,note_on,15,0,2,,,,,,,,1,,,76,0
14261,note_on,3,0,2,,,,,,,,1,,,75,100
14326,note_on,65,0,2,,,,,,,,1,,,75,0
14330,note_on,4,0,2,,,,,,,,1,,,76,100
14376,note_on,0,0,1,,,,,,,,0,,,35,0
14376,note_on,0,0,1,,,,,,,,0,,,47,0
14376,note_on,936,0,1,,,,,,,,0,,,66,0
14376,note_on,0,0,1,,,,,,,,0,,,57,0
14390,control_change,60,0,2,,,,,,7,118,1,,,,
14395,note_on,5,0,2,,,,,,,,1,,,76,0
14400,note_on,5,0,2,,,,,,,,1,,,75,100
14465,note_on,65,0,2,,,,,,,,1,,,75,0
14467,note_on,2,0,2,,,,,,,,1,,,76,100
14532,note_on,65,0,2,,,,,,,,1,,,76,0
14537,note_on,5,0,2,,,,,,,,1,,,75,100
14574,control_change,37,0,2,,,,,,7,119,1,,,,
14602,note_on,28,0,2,,,,,,,,1,,,75,0
14604,note_on,2,0,2,,,,,,,,1,,,76,100
14669,note_on,65,0,2,,,,,,,,1,,,76,0
14674,note_on,5,0,2,,,,,,,,1,,,75,100
14721,control_change,47,0,2,,,,,,7,120,1,,,,
14738,note_on,17,0,2,,,,,,,,1,,,75,0
14741,note_on,3,0,2,,,,,,,,1,,,76,100
14806,note_on,65,0,2,,,,,,,,1,,,76,0
14810,note_on,4,0,2,,,,,,,,1,,,75,100
14875,note_on,65,0,2,,,,,,,,1,,,75,0
14880,note_on,5,0,2,,,,,,,,1,,,73,100
14905,control_change,25,0,2,,,,,,7,121,1,,,,
15052,control_change,147,0,2,,,,,,7,122,1,,,,
15108,note_on,56,0,2,,,,,,,,1,,,73,0
15120,note_on,12,0,2,,,,,,,,1,,,75,100
15237,control_change,117,0,2,,,,,,7,123,1,,,,
15348,note_on,111,0,2,,,,,,,,1,,,75,0
15360,note_on,12,0,2,,,,,,,,1,,,76,100
15360,note_on,0,0,1,,,,,,,,0,,,55,100
15360,note_on,0,0,1,,,,,,,,0,,,64,100
15360,note_on,0,0,1,,,,,,,,0,,,48,100
15360,note_on,984,0,1,,,,,,,,0,,,36,100
15876,control_change,516,0,2,,,,,,7,122,1,,,,
15950,control_change,74,0,2,,,,,,7,121,1,,,,
15987,control_change,37,0,2,,,,,,7,120,1,,,,
16061,control_change,74,0,2,,,,,,7,119,1,,,,
16097,control_change,36,0,2,,,,,,7,118,1,,,,
16134,control_change,37,0,2,,,,,,7,117,1,,,,
16208,control_change,74,0,2,,,,,,7,116,1,,,,
16245,control_change,37,0,2,,,,,,7,115,1,,,,
16296,note_on,51,0,2,,,,,,,,1,,,76,0
16296,note_on,0,0,1,,,,,,,,0,,,48,0
16296,note_on,936,0,1,,,,,,,,0,,,55,0
16296,note_on,0,0,1,,,,,,,,0,,,64,0
16296,note_on,0,0,1,,,,,,,,0,,,36,0
16318,control_change,22,0,2,,,,,,7,114,1,,,,
16320,note_on,2,0,2,,,,,,,,1,,,74,100
17028,note_on,708,0,2,,,,,,,,1,,,74,0
17040,note_on,12,0,2,,,,,,,,1,,,72,100
17268,note_on,228,0,2,,,,,,,,1,,,72,0
17280,note_on,12,0,2,,,,,,,,1,,,71,100
17736,note_on,456,0,2,,,,,,,,1,,,71,0
17760,note_on,24,0,2,,,,,,,,1,,,72,100
17870,control_change,110,0,2,,,,,,7,113,1,,,,
18091,control_change,221,0,2,,,,,,7,112,1,,,,
18170,note_on,79,0,2,,,,,,,,1,,,72,0
18240,note_on,70,0,2,,,,,,,,1,,,67,100
18312,control_change,72,0,2,,,,,,7,111,1,,,,
18533,control_change,221,0,2,,,,,,7,110,1,,,,
18696,note_on,163,0,2,,,,,,,,1,,,67,0
18720,note_on,24,0,2,,,,,,,,1,,,69,100
18720,note_on,2424,0,1,,,,,,,,0,,,48,100
18720,note_on,0,0,1,,,,,,,,0,,,54,100
18720,note_on,0,0,1,,,,,,,,0,,,64,100
18754,control_change,34,0,2,,,,,,7,109,1,,,,
18974,control_change,220,0,2,,,,,,7,108,1,,,,
19158,control_change,184,0,2,,,,,,7,107,1,,,,
19176,note_on,0,0,1,,,,,,,,0,,,54,0
19176,note_on,456,0,1,,,,,,,,0,,,64,0
19176,note_on,0,0,1,,,,,,,,0,,,48,0
19176,note_on,18,0,2,,,,,,,,1,,,69,0
19200,note_on,0,0,1,,,,,,,,0,,,47,100
19200,note_on,0,0,1,,,,,,,,0,,,64,100
19200,note_on,0,0,1,,,,,,,,0,,,68,100
19200,note_on,24,0,2,,,,,,,,1,,,71,100
19200,note_on,24,0,1,,,,,,,,0,,,59,100
19379,control_change,179,0,2,,,,,,7,106,1,,,,
19600,control_change,221,0,2,,,,,,7,105,1,,,,
19656,note_on,456,0,1,,,,,,,,0,,,68,0
19656,note_on,0,0,1,,,,,,,,0,,,64,0
19656,note_on,0,0,1,,,,,,,,0,,,47,0
19656,note_on,0,0,1,,,,,,,,0,,,59,0
19656,note_on,56,0,2,,,,,,,,1,,,71,0
19680,note_on,24,0,2,,,,,,,,1,,,70,100
19821,control_change,141,0,2,,,,,,7,104,1,,,,
20041,control_change,220,0,2,,,,,,7,103,1,,,,
20090,note_on,49,0,2,,,,,,,,1,,,70,0
20160,note_on,70,0,2,,,,,,,,1,,,69,100
20262,control_change,102,0,2,,,,,,7,102,1,,,,
20483,control_change,221,0,2,,,,,,7,101,1,,,,
20616,note_on,133,0,2,,,,,,,,1,,,69,0
20640,note_on,24,0,2,,,,,,,,1,,,68,100
20667,control_change,27,0,2,,,,,,7,100,1,,,,
20888,control_change,221,0,2,,,,,,7,99,1,,,,
21096,note_on,208,0,2,,,,,,,,1,,,68,0
21108,control_change,12,0,2,,,,,,7,98,1,,,,
21120,note_on,12,0,2,,,,,,,,1,,,68,100
21120,note_on,0,0,1,,,,,,,,0,,,59,100
21120,note_on,0,0,1,,,,,,,,0,,,63,100
21120,note_on,0,0,1,,,,,,,,0,,,47,100
21120,note_on,1464,0,1,,,,,,,,0,,,57,100
21329,control_change,209,0,2,,,,,,7,97,1,,,,
21550,control_change,221,0,2,,,,,,7,96,1,,,,
21576,note_on,456,0,1,,,,,,,,0,,,63,0
21576,note_on,0,0,1,,,,,,,,0,,,47,0
21576,note_on,0,0,1,,,,,,,,0,,,59,0
21576,note_on,0,0,1,,,,,,,,0,,,57,0
21771,control_change,221,0,2,,,,,,7,95,1,,,,
21955,control_change,184,0,2,,,,,,7,94,1,,,,
22176,control_change,221,0,2,,,,,,7,93,1,,,,
22397,control_change,221,0,2,,,,,,7,92,1,,,,
22536,note_on,139,0,2,,,,,,,,1,,,68,0
22560,note_on,24,0,2,,,,,,,,1,,,66,100
22618,control_change,58,0,2,,,,,,7,91,1,,,,
22838,control_change,220,0,2,,,,,,7,90,1,,,,
23016,note_on,178,0,2,,,,,,,,1,,,66,0
23040,note_on,0,0,1,,,,,,,,0,,,56,100
23040,note_on,0,0,1,,,,,,,,0,,,59,100
23040,note_on,1464,0,1,,,,,,,,0,,,40,100
23040,note_on,24,0,2,,,,,,,,1,,,64,100
23344,note_on,304,0,1,,,,,,,,0,,,59,0
23344,note_on,0,0,1,,,,,,,,0,,,56,0
23359,note_on,15,0,1,,,,,,,,0,,,56,100
23359,note_on,0,0,1,,,,,,,,0,,,59,100
23496,note_on,456,0,2,,,,,,,,1,,,64,0
23663,note_on,304,0,1,,,,,,,,0,,,59,0
23663,note_on,0,0,1,,,,,,,,0,,,56,0
23679,note_on,16,0,1,,,,,,,,0,,,56,100
23679,note_on,0,0,1,,,,,,,,0,,,59,100
23976,note_on,297,0,1,,,,,,,,0,,,40,0
23983,note_on,7,0,1,,,,,,,,0,,,59,0
23983,note_on,0,0,1,,,,,,,,0,,,56,0
24000,note_on,17,0,1,,,,,,,,0,,,47,100
24000,note_on,0,0,1,,,,,,,,0,,,56,100
24000,note_on,0,0,1,,,,,,,,0,,,59,100
24304,note_on,304,0,1,,,,,,,,0,,,59,0
24304,note_on,0,0,1,,,,,,,,0,,,56,0
24319,note_on,15,0,1,,,,,,,,0,,,56,100
24319,note_on,0,0,1,,,,,,,,0,,,59,100
24456,note_on,137,0,1,,,,,,,,0,,,47,0
24480,note_on,24,0,1,,,,,,,,0,,,40,100
24623,note_on,0,0,1,,,,,,,,0,,,56,0
24623,note_on,143,0,1,,,,,,,,0,,,59,0
24639,note_on,16,0,1,,,,,,,,0,,,56,100
24639,note_on,0,0,1,,,,,,,,0,,,59,100
24936,note_on,297,0,1,,,,,,,,0,,,40,0
24943,note_on,0,0,1,,,,,,,,0,,,56,0
24943,note_on,7,0,1,,,,,,,,0,,,59,0
24960,note_on,0,0,1,,,,,,,,0,,,59,100
24960,note_on,0,0,1,,,,,,,,0,,,56,100
24960,note_on,17,0,1,,,,,,,,0,,,47,100
25264,note_on,0,0,1,,,,,,,,0,,,56,0
25264,note_on,304,0,1,,,,,,,,0,,,59,0
25279,note_on,0,0,1,,,,,,,,0,,,59,100
25279,note_on,15,0,1,,,,,,,,0,,,56,100
25583,note_on,304,0,1,,,,,,,,0,,,59,0
25583,note_on,0,0,1,,,,,,,,0,,,56,0
25599,note_on,16,0,1,,,,,,,,0,,,56,100
25599,note_on,0,0,1,,,,,,,,0,,,59,100
25896,note_on,297,0,1,,,,,,,,0,,,47,0
25903,note_on,7,0,1,,,,,,,,0,,,59,0
25903,note_on,0,0,1,,,,,,,,0,,,56,0
25920,note_on,17,0,1,,,,,,,,0,,,40,100
25920,note_on,0,0,1,,,,,,,,0,,,56,100
