tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,note,velocity
386,control_change,,,,,26,0,2,,,,64,0,1,,,
432,note_on,,,,,46,0,2,,,,,,1,,55,26
432,note_on,,,,,0,0,2,,,,,,1,,58,28
432,note_on,,,,,0,0,2,,,,,,1,,62,30
432,control_change,,,,,0,0,2,,,,64,0,1,,,
432,control_change,,,,,0,0,1,,,,64,0,0,,,
432,note_on,,,,,0,0,1,,,,,,0,,70,62
432,note_on,,,,,46,0,1,,,,,,0,,69,0
432,set_tempo,,,,,48,1,0,,392157,,,,,,,
440,control_change,,,,,8,0,2,,,,64,127,1,,,
440,control_change,,,,,8,0,1,,,,64,127,0,,,
456,set_tempo,,,,,24,1,0,,363636,,,,,,,
456,note_on,,,,,0,0,1,,,,,,0,,72,68
456,note_on,,,,,16,0,1,,,,,,0,,70,0
480,set_tempo,,,,,24,1,0,,618557,,,,,,,
480,note_on,,,,,0,0,1,,,,,,0,,74,72
480,note_on,,,,,24,0,1,,,,,,0,,72,0
480,note_on,,,,,40,0,2,,,,,,1,,62,0
480,note_on,,,,,0,0,2,,,,,,1,,58,0
480,note_on,,,,,0,0,2,,,,,,1,,55,0
480,note_on,,,,,0,0,2,,,,,,1,,43,46
504,note_on,,,,,24,0,2,,,,,,1,,43,0
528,set_tempo,,,,,48,1,0,,555556,,,,,,,
528,note_on,,,,,0,0,1,,,,,,0,,79,74
528,note_on,,,,,48,0,1,,,,,,0,,74,0
530,control_change,,,,,2,0,1,,,,64,0,0,,,
530,control_change,,,,,26,0,2,,,,64,0,1,,,
576,note_on,,,,,0,0,1,,,,,,0,,77,68
576,note_on,,,,,46,0,1,,,,,,0,,79,0
576,control_change,,,,,0,0,2,,,,64,0,1,,,
576,control_change,,,,,0,0,1,,,,64,0,0,,,
576,note_on,,,,,46,0,2,,,,,,1,,45,46
576,set_tempo,,,,,48,1,0,,441176,,,,,,,
584,control_change,,,,,8,0,1,,,,64,127,0,,,
584,control_change,,,,,8,0,2,,,,64,127,1,,,
600,note_on,,,,,16,0,2,,,,,,1,,45,0
624,note_on,,,,,0,0,2,,,,,,1,,60,44
624,set_tempo,,,,,48,1,0,,357143,,,,,,,
624,note_on,,,,,24,0,2,,,,,,1,,53,42
624,note_on,,,,,0,0,2,,,,,,1,,63,46
670,note_on,,,,,0,0,2,,,,,,1,,53,0
670,note_on,,,,,0,0,2,,,,,,1,,60,0
670,note_on,,,,,46,0,2,,,,,,1,,63,0
720,control_change,,,,,136,0,1,,,,64,127,0,,,
720,set_tempo,,,,,96,1,0,,372671,,,,,,,
720,note_on,,,,,50,0,2,,,,,,1,,45,46
720,control_change,,,,,0,0,2,,,,64,127,1,,,
744,note_on,,,,,24,0,2,,,,,,1,,45,0
768,set_tempo,,,,,48,1,0,,340909,,,,,,,
768,note_on,,,,,0,0,2,,,,,,1,,60,40
768,note_on,,,,,0,0,2,,,,,,1,,63,42
768,note_on,,,,,24,0,2,,,,,,1,,53,38
814,note_on,,,,,46,0,2,,,,,,1,,63,0
814,note_on,,,,,0,0,2,,,,,,1,,60,0
814,note_on,,,,,0,0,2,,,,,,1,,53,0
864,note_on,,,,,50,0,2,,,,,,1,,53,30
864,set_tempo,,,,,96,1,0,,422535,,,,,,,
864,note_on,,,,,0,0,2,,,,,,1,,60,32
864,note_on,,,,,0,0,2,,,,,,1,,63,34
864,control_change,,,,,0,0,2,,,,64,127,1,,,
864,control_change,,,,,144,0,1,,,,64,127,0,,,
912,set_tempo,,,,,48,1,0,,618557,,,,,,,
912,note_on,,,,,48,0,2,,,,,,1,,63,0
912,note_on,,,,,0,0,2,,,,,,1,,60,0
912,note_on,,,,,0,0,2,,,,,,1,,53,0
912,note_on,,,,,0,0,2,,,,,,1,,45,38
936,note_on,,,,,24,0,2,,,,,,1,,45,0
960,set_tempo,,,,,48,1,0,,382166,,,,,,,
962,control_change,,,,,26,0,2,,,,64,0,1,,,
962,control_change,,,,,98,0,1,,,,64,0,0,,,
1008,note_on,,,,,46,0,2,,,,,,1,,46,26
1008,set_tempo,,,,,48,1,0,,594059,,,,,,,
1008,note_on,,,,,0,0,1,,,,,,0,,74,46
1008,control_change,,,,,0,0,1,,,,64,0,0,,,
1008,control_change,,,,,0,0,2,,,,64,0,1,,,
1008,note_on,,,,,46,0,1,,,,,,0,,77,0
1016,control_change,,,,,8,0,2,,,,64,127,1,,,
1016,control_change,,,,,8,0,1,,,,64,127,0,,,
1032,note_on,,,,,16,0,2,,,,,,1,,46,0
1056,note_on,,,,,24,0,2,,,,,,1,,53,28
1056,note_on,,,,,0,0,2,,,,,,1,,58,30
1056,note_on,,,,,0,0,2,,,,,,1,,62,32
1056,set_tempo,,,,,48,1,0,,428571,,,,,,,
1102,note_on,,,,,86,0,1,,,,,,0,,74,0
1102,note_on,,,,,0,0,2,,,,,,1,,53,0
1102,note_on,,,,,0,0,2,,,,,,1,,58,0
1102,note_on,,,,,46,0,2,,,,,,1,,62,0
1104,set_tempo,,,,,48,1,0,,500000,,,,,,,
1104,note_on,,,,,2,0,1,,,,,,0,,74,66
1106,control_change,,,,,2,0,1,,,,64,0,0,,,
1106,control_change,,,,,4,0,2,,,,64,0,1,,,
1152,control_change,,,,,0,0,1,,,,64,0,0,,,
1152,note_on,,,,,0,0,1,,,,,,0,,72,60
1152,note_on,,,,,46,0,1,,,,,,0,,74,0
1152,control_change,,,,,0,0,2,,,,64,0,1,,,
1152,note_on,,,,,0,0,2,,,,,,1,,63,38
1152,note_on,,,,,0,0,2,,,,,,1,,57,36
1152,note_on,,,,,46,0,2,,,,,,1,,54,34
1152,set_tempo,,,,,48,1,0,,400000,,,,,,,
1160,control_change,,,,,8,0,2,,,,64,127,1,,,
1160,control_change,,,,,8,0,1,,,,64,127,0,,,
1198,note_on,,,,,0,0,2,,,,,,1,,54,0
1198,note_on,,,,,38,0,2,,,,,,1,,63,0
1198,note_on,,,,,0,0,2,,,,,,1,,57,0
1200,note_on,,,,,2,0,2,,,,,,1,,46,48
1200,set_tempo,,,,,48,1,0,,327869,,,,,,,
1200,note_on,,,,,0,0,2,,,,,,1,,53,58
1202,control_change,,,,,42,0,1,,,,64,0,0,,,
1202,control_change,,,,,2,0,2,,,,64,0,1,,,
1208,control_change,,,,,6,0,1,,,,64,127,0,,,
1208,control_change,,,,,6,0,2,,,,64,127,1,,,
1246,note_on,,,,,38,0,1,,,,,,0,,72,0
1246,note_on,,,,,38,0,2,,,,,,1,,46,0
1248,note_on,,,,,2,0,1,,,,,,0,,74,68
1248,set_tempo,,,,,48,1,0,,382166,,,,,,,
1296,note_on,,,,,48,0,1,,,,,,0,,74,0
1296,note_on,,,,,0,0,2,,,,,,1,,62,34
1296,control_change,,,,,0,0,2,,,,64,127,1,,,
1296,note_on,,,,,50,0,2,,,,,,1,,58,32
1296,set_tempo,,,,,48,1,0,,357143,,,,,,,
1296,control_change,,,,,0,0,1,,,,64,127,0,,,
1296,note_on,,,,,0,0,1,,,,,,0,,65,57
1298,control_change,,,,,2,0,2,,,,64,0,1,,,
1298,control_change,,,,,2,0,1,,,,64,0,0,,,
1304,control_change,,,,,6,0,2,,,,64,127,1,,,
1304,control_change,,,,,6,0,1,,,,64,127,0,,,
1342,note_on,,,,,0,0,2,,,,,,1,,58,0
1342,note_on,,,,,38,0,2,,,,,,1,,62,0
1344,note_on,,,,,2,0,2,,,,,,1,,46,42
1344,set_tempo,,,,,48,1,0,,333333,,,,,,,
1368,note_on,,,,,24,0,2,,,,,,1,,46,0
1390,note_on,,,,,86,0,1,,,,,,0,,65,0
1392,set_tempo,,,,,48,1,0,,400000,,,,,,,
1392,note_on,,,,,2,0,1,,,,,,0,,74,68
1394,control_change,,,,,26,0,2,,,,64,0,1,,,
1394,control_change,,,,,2,0,1,,,,64,0,0,,,
1438,note_on,,,,,44,0,2,,,,,,1,,53,0
1440,set_tempo,,,,,48,1,0,,348837,,,,,,,
1440,note_on,,,,,0,0,1,,,,,,0,,72,60
1440,note_on,,,,,46,0,1,,,,,,0,,74,0
1440,control_change,,,,,0,0,1,,,,64,0,0,,,
1440,control_change,,,,,0,0,2,,,,64,0,1,,,
1440,note_on,,,,,0,0,2,,,,,,1,,57,36
1440,note_on,,,,,0,0,2,,,,,,1,,63,38
1440,note_on,,,,,2,0,2,,,,,,1,,54,34
1448,control_change,,,,,8,0,2,,,,64,127,1,,,
1448,control_change,,,,,8,0,1,,,,64,127,0,,,
1486,note_on,,,,,0,0,2,,,,,,1,,54,0
1486,note_on,,,,,38,0,2,,,,,,1,,63,0
1486,note_on,,,,,0,0,2,,,,,,1,,57,0
1488,note_on,,,,,2,0,2,,,,,,1,,46,47
1488,note_on,,,,,0,0,2,,,,,,1,,53,57
1488,set_tempo,,,,,48,1,0,,363636,,,,,,,
1490,control_change,,,,,42,0,1,,,,64,0,0,,,
1490,control_change,,,,,2,0,2,,,,64,0,1,,,
1496,control_change,,,,,6,0,2,,,,64,127,1,,,
1496,control_change,,,,,6,0,1,,,,64,127,0,,,
1534,note_on,,,,,38,0,1,,,,,,0,,72,0
1534,note_on,,,,,38,0,2,,,,,,1,,46,0
1536,set_tempo,,,,,48,1,0,,400000,,,,,,,
1536,note_on,,,,,2,0,1,,,,,,0,,74,60
1584,note_on,,,,,0,0,1,,,,,,0,,70,50
1584,note_on,,,,,48,0,1,,,,,,0,,74,0
1584,note_on,,,,,0,0,2,,,,,,1,,62,32
1584,set_tempo,,,,,48,1,0,,382166,,,,,,,
1584,control_change,,,,,0,0,2,,,,64,127,1,,,
1584,control_change,,,,,0,0,1,,,,64,127,0,,,
1584,note_on,,,,,50,0,2,,,,,,1,,58,30
1586,control_change,,,,,2,0,1,,,,64,0,0,,,
1586,control_change,,,,,2,0,2,,,,64,0,1,,,
1592,control_change,,,,,6,0,1,,,,64,127,0,,,
1592,control_change,,,,,6,0,2,,,,64,127,1,,,
1630,note_on,,,,,0,0,2,,,,,,1,,58,0
1630,note_on,,,,,38,0,1,,,,,,0,,70,0
1630,note_on,,,,,38,0,2,,,,,,1,,62,0
1632,note_on,,,,,2,0,2,,,,,,1,,46,36
1632,set_tempo,,,,,48,1,0,,422535,,,,,,,
1656,note_on,,,,,24,0,2,,,,,,1,,46,0
1680,note_on,,,,,50,0,1,,,,,,0,,74,50
1680,set_tempo,,,,,48,1,0,,472441,,,,,,,
1682,control_change,,,,,26,0,2,,,,64,0,1,,,
1682,control_change,,,,,2,0,1,,,,64,0,0,,,
1726,note_on,,,,,44,0,2,,,,,,1,,53,0
1728,note_on,,,,,46,0,1,,,,,,0,,74,0
1728,control_change,,,,,0,0,1,,,,64,0,0,,,
1728,note_on,,,,,2,0,2,,,,,,1,,50,24
1728,note_on,,,,,0,0,2,,,,,,1,,54,26
1728,note_on,,,,,0,0,2,,,,,,1,,60,28
1728,control_change,,,,,0,0,2,,,,64,0,1,,,
1728,note_on,,,,,0,0,1,,,,,,0,,69,42
1728,set_tempo,,,,,48,1,0,,480000,,,,,,,
1736,control_change,,,,,8,0,1,,,,64,127,0,,,
1736,control_change,,,,,8,0,2,,,,64,127,1,,,
1774,note_on,,,,,38,0,1,,,,,,0,,69,0
1776,set_tempo,,,,,48,1,0,,472441,,,,,,,
1776,note_on,,,,,40,0,2,,,,,,1,,60,0
1776,note_on,,,,,0,0,2,,,,,,1,,54,0
1776,note_on,,,,,0,0,2,,,,,,1,,50,0
1776,note_on,,,,,0,0,2,,,,,,1,,38,30
1800,note_on,,,,,24,0,2,,,,,,1,,38,0
1824,set_tempo,,,,,48,1,0,,731707,,,,,,,
1824,note_on,,,,,50,0,1,,,,,,0,,74,45
1826,control_change,,,,,26,0,2,,,,64,0,1,,,
1826,control_change,,,,,2,0,1,,,,64,0,0,,,
1872,control_change,,,,,0,0,1,,,,64,0,0,,,
1872,note_on,,,,,0,0,1,,,,,,0,,67,38
1872,note_on,,,,,46,0,1,,,,,,0,,74,0
1872,set_tempo,,,,,48,1,0,,571429,,,,,,,
1872,note_on,,,,,46,0,2,,,,,,1,,50,26
1872,note_on,,,,,0,0,2,,,,,,1,,58,30
1872,control_change,,,,,0,0,2,,,,64,0,1,,,
1880,control_change,,,,,8,0,2,,,,64,127,1,,,
1880,control_change,,,,,8,0,1,,,,64,127,0,,,
1920,note_on,,,,,0,0,2,,,,,,1,,50,0
1920,note_on,,,,,0,0,2,,,,,,1,,43,32
1920,note_on,,,,,40,0,2,,,,,,1,,58,0
1920,set_tempo,,,,,48,1,0,,372671,,,,,,,
1944,note_on,,,,,24,0,2,,,,,,1,,43,0
1966,note_on,,,,,86,0,1,,,,,,0,,67,0
1968,note_on,,,,,2,0,1,,,,,,0,,70,42
1968,set_tempo,,,,,48,1,0,,363636,,,,,,,
1970,control_change,,,,,2,0,1,,,,64,0,0,,,
1970,control_change,,,,,26,0,2,,,,64,0,1,,,
2016,note_on,,,,,46,0,1,,,,,,0,,70,0
2016,note_on,,,,,46,0,2,,,,,,1,,55,24
2016,note_on,,,,,0,0,1,,,,,,0,,69,40
2016,control_change,,,,,0,0,1,,,,64,0,0,,,
2016,note_on,,,,,0,0,2,,,,,,1,,60,26
2016,note_on,,,,,0,0,2,,,,,,1,,63,28
2016,set_tempo,,,,,48,1,0,,400000,,,,,,,
2016,control_change,,,,,0,0,2,,,,64,0,1,,,
2024,control_change,,,,,8,0,1,,,,64,127,0,,,
2024,control_change,,,,,8,0,2,,,,64,127,1,,,
2040,note_on,,,,,0,0,1,,,,,,0,,70,42
2040,note_on,,,,,16,0,1,,,,,,0,,69,0
2040,set_tempo,,,,,24,1,0,,410959,,,,,,,
2064,note_on,,,,,0,0,2,,,,,,1,,60,0
2064,note_on,,,,,0,0,2,,,,,,1,,55,0
2064,note_on,,,,,0,0,2,,,,,,1,,43,36
2064,note_on,,,,,24,0,1,,,,,,0,,70,0
2064,note_on,,,,,0,0,1,,,,,,0,,67,42
2064,note_on,,,,,40,0,2,,,,,,1,,63,0
2064,set_tempo,,,,,24,1,0,,458015,,,,,,,
2088,note_on,,,,,24,0,2,,,,,,1,,43,0
2112,set_tempo,,,,,48,1,0,,333333,,,,,,,
2112,note_on,,,,,48,0,1,,,,,,0,,67,0
2112,note_on,,,,,0,0,1,,,,,,0,,69,58
2114,control_change,,,,,26,0,2,,,,64,0,1,,,
2114,control_change,,,,,2,0,1,,,,64,0,0,,,
2160,note_on,,,,,0,0,1,,,,,,0,,70,64
2160,note_on,,,,,46,0,2,,,,,,1,,55,32
2160,control_change,,,,,0,0,1,,,,64,0,0,,,
2160,note_on,,,,,0,0,2,,,,,,1,,62,36
2160,note_on,,,,,0,0,2,,,,,,1,,58,34
2160,note_on,,,,,46,0,1,,,,,,0,,69,0
2160,control_change,,,,,0,0,2,,,,64,0,1,,,
2160,set_tempo,,,,,48,1,0,,363636,,,,,,,
2168,control_change,,,,,8,0,2,,,,64,127,1,,,
2168,control_change,,,,,8,0,1,,,,64,127,0,,,
2184,note_on,,,,,16,0,1,,,,,,0,,70,0
2184,note_on,,,,,0,0,1,,,,,,0,,72,67
2184,set_tempo,,,,,24,1,0,,382166,,,,,,,
2208,set_tempo,,,,,24,1,0,,571429,,,,,,,
2208,note_on,,,,,0,0,2,,,,,,1,,58,0
2208,note_on,,,,,0,0,2,,,,,,1,,55,0
2208,note_on,,,,,0,0,2,,,,,,1,,43,50
2208,note_on,,,,,0,0,1,,,,,,0,,74,69
2208,note_on,,,,,24,0,1,,,,,,0,,72,0
2208,note_on,,,,,40,0,2,,,,,,1,,62,0
2232,note_on,,,,,24,0,2,,,,,,1,,43,0
2256,note_on,,,,,0,0,1,,,,,,0,,79,74
2256,note_on,,,,,48,0,1,,,,,,0,,74,0
2256,set_tempo,,,,,48,1,0,,594059,,,,,,,
2258,control_change,,,,,2,0,1,,,,64,0,0,,,
2258,control_change,,,,,26,0,2,,,,64,0,1,,,
2304,note_on,,,,,46,0,2,,,,,,1,,38,46
2304,set_tempo,,,,,48,1,0,,372671,,,,,,,
2304,note_on,,,,,46,0,1,,,,,,0,,79,0
2304,note_on,,,,,0,0,1,,,,,,0,,77,76
2304,control_change,,,,,0,0,1,,,,64,0,0,,,
2304,control_change,,,,,0,0,2,,,,64,0,1,,,
2312,control_change,,,,,8,0,1,,,,64,127,0,,,
2312,control_change,,,,,8,0,2,,,,64,127,1,,,
2350,note_on,,,,,38,0,2,,,,,,1,,38,0
2352,note_on,,,,,0,0,2,,,,,,1,,69,52
2352,note_on,,,,,0,0,2,,,,,,1,,65,46
2352,note_on,,,,,2,0,2,,,,,,1,,57,38
2352,set_tempo,,,,,48,1,0,,333333,,,,,,,
2352,note_on,,,,,0,0,2,,,,,,1,,62,42
2398,note_on,,,,,0,0,2,,,,,,1,,65,0
2398,note_on,,,,,0,0,2,,,,,,1,,57,0
2398,note_on,,,,,46,0,2,,,,,,1,,69,0
2398,note_on,,,,,0,0,2,,,,,,1,,62,0
2448,set_tempo,,,,,96,1,0,,357143,,,,,,,
2448,control_change,,,,,0,0,2,,,,64,127,1,,,
2448,control_change,,,,,136,0,1,,,,64,127,0,,,
2448,note_on,,,,,50,0,2,,,,,,1,,50,42
2472,note_on,,,,,24,0,2,,,,,,1,,50,0
2496,set_tempo,,,,,48,1,0,,392157,,,,,,,
2496,note_on,,,,,24,0,2,,,,,,1,,57,38
2496,note_on,,,,,0,0,2,,,,,,1,,69,48
2496,note_on,,,,,0,0,2,,,,,,1,,65,42
2496,note_on,,,,,0,0,2,,,,,,1,,62,40
2542,note_on,,,,,0,0,2,,,,,,1,,65,0
2542,note_on,,,,,0,0,2,,,,,,1,,62,0
2542,note_on,,,,,0,0,2,,,,,,1,,57,0
2542,note_on,,,,,46,0,2,,,,,,1,,69,0
2592,note_on,,,,,0,0,2,,,,,,1,,62,44
2592,control_change,,,,,144,0,1,,,,64,127,0,,,
2592,set_tempo,,,,,96,1,0,,363636,,,,,,,
2592,note_on,,,,,50,0,2,,,,,,1,,57,40
2592,note_on,,,,,0,0,2,,,,,,1,,69,48
2592,control_change,,,,,0,0,2,,,,64,127,1,,,
2640,note_on,,,,,0,0,2,,,,,,1,,50,38
2640,note_on,,,,,0,0,2,,,,,,1,,57,0
2640,note_on,,,,,48,0,2,,,,,,1,,69,0
2640,note_on,,,,,0,0,2,,,,,,1,,62,0
2640,set_tempo,,,,,48,1,0,,410959,,,,,,,
2664,note_on,,,,,24,0,2,,,,,,1,,50,0
2690,control_change,,,,,98,0,1,,,,64,0,0,,,
2690,control_change,,,,,26,0,2,,,,64,0,1,,,
2736,control_change,,,,,46,0,1,,,,64,0,0,,,
2736,note_on,,,,,46,0,2,,,,,,1,,57,34
2736,control_change,,,,,0,0,2,,,,64,0,1,,,
2736,note_on,,,,,0,0,2,,,,,,1,,68,56
2736,note_on,,,,,0,0,2,,,,,,1,,62,36
2736,set_tempo,,,,,96,1,0,,400000,,,,,,,
2744,control_change,,,,,8,0,2,,,,64,127,1,,,
2744,control_change,,,,,8,0,1,,,,64,127,0,,,
2784,note_on,,,,,0,0,2,,,,,,1,,50,32
2784,note_on,,,,,0,0,2,,,,,,1,,62,0
2784,note_on,,,,,40,0,2,,,,,,1,,68,0
2784,set_tempo,,,,,48,1,0,,372671,,,,,,,
2784,note_on,,,,,0,0,2,,,,,,1,,57,0
2808,note_on,,,,,24,0,2,,,,,,1,,50,0
2830,note_on,,,,,86,0,1,,,,,,0,,77,0
2832,set_tempo,,,,,48,1,0,,357143,,,,,,,
2832,note_on,,,,,2,0,1,,,,,,0,,77,70
2834,control_change,,,,,26,0,2,,,,64,0,1,,,
2834,control_change,,,,,2,0,1,,,,64,0,0,,,
2880,set_tempo,,,,,48,1,0,,363636,,,,,,,
2880,control_change,,,,,0,0,1,,,,64,0,0,,,
2880,note_on,,,,,0,0,1,,,,,,0,,76,60
2880,note_on,,,,,46,0,1,,,,,,0,,77,0
2880,note_on,,,,,46,0,2,,,,,,1,,57,34
2880,note_on,,,,,0,0,2,,,,,,1,,61,36
2880,control_change,,,,,0,0,2,,,,64,0,1,,,
2880,note_on,,,,,0,0,2,,,,,,1,,67,40
2888,control_change,,,,,8,0,2,,,,64,127,1,,,
2888,control_change,,,,,8,0,1,,,,64,127,0,,,
2928,set_tempo,,,,,48,1,0,,320856,,,,,,,
2928,note_on,,,,,0,0,2,,,,,,1,,50,36
2928,note_on,,,,,0,0,2,,,,,,1,,57,0
2928,note_on,,,,,0,0,2,,,,,,1,,61,0
2928,note_on,,,,,40,0,2,,,,,,1,,67,0
2952,note_on,,,,,24,0,2,,,,,,1,,50,0
2974,note_on,,,,,86,0,1,,,,,,0,,76,0
2976,note_on,,,,,2,0,1,,,,,,0,,77,69
2978,control_change,,,,,26,0,2,,,,64,0,1,,,
2978,control_change,,,,,2,0,1,,,,64,0,0,,,
3024,note_on,,,,,0,0,1,,,,,,0,,69,58
3024,note_on,,,,,46,0,1,,,,,,0,,77,0
3024,note_on,,,,,0,0,2,,,,,,1,,65,36
3024,note_on,,,,,0,0,2,,,,,,1,,62,34
3024,set_tempo,,,,,96,1,0,,348837,,,,,,,
3024,control_change,,,,,0,0,2,,,,64,0,1,,,
3024,note_on,,,,,46,0,2,,,,,,1,,57,32
3024,control_change,,,,,0,0,1,,,,64,0,0,,,
3032,control_change,,,,,8,0,2,,,,64,127,1,,,
3032,control_change,,,,,8,0,1,,,,64,127,0,,,
3072,note_on,,,,,0,0,2,,,,,,1,,50,36
3072,note_on,,,,,0,0,2,,,,,,1,,62,0
3072,set_tempo,,,,,48,1,0,,314136,,,,,,,
3072,note_on,,,,,40,0,2,,,,,,1,,65,0
3072,note_on,,,,,0,0,2,,,,,,1,,57,0
3096,note_on,,,,,24,0,2,,,,,,1,,50,0
3118,note_on,,,,,86,0,1,,,,,,0,,69,0
3120,set_tempo,,,,,48,1,0,,357143,,,,,,,
3120,note_on,,,,,2,0,1,,,,,,0,,77,67
3122,control_change,,,,,26,0,2,,,,64,0,1,,,
3122,control_change,,,,,2,0,1,,,,64,0,0,,,
3168,note_on,,,,,46,0,1,,,,,,0,,77,0
3168,note_on,,,,,0,0,1,,,,,,0,,76,59
3168,set_tempo,,,,,48,1,0,,372671,,,,,,,
3168,note_on,,,,,46,0,2,,,,,,1,,57,34
3168,note_on,,,,,0,0,2,,,,,,1,,61,36
3168,note_on,,,,,0,0,2,,,,,,1,,67,40
3168,control_change,,,,,0,0,2,,,,64,0,1,,,
3168,control_change,,,,,0,0,1,,,,64,0,0,,,
3176,control_change,,,,,8,0,1,,,,64,127,0,,,
3176,control_change,,,,,8,0,2,,,,64,127,1,,,
3216,note_on,,,,,40,0,2,,,,,,1,,67,0
3216,note_on,,,,,0,0,2,,,,,,1,,61,0
3216,note_on,,,,,0,0,2,,,,,,1,,57,0
3216,note_on,,,,,0,0,2,,,,,,1,,45,40
3216,set_tempo,,,,,48,1,0,,348837,,,,,,,
3240,note_on,,,,,24,0,2,,,,,,1,,45,0
3262,note_on,,,,,86,0,1,,,,,,0,,76,0
3264,note_on,,,,,2,0,1,,,,,,0,,77,58
3264,set_tempo,,,,,48,1,0,,382166,,,,,,,
3266,control_change,,,,,26,0,2,,,,64,0,1,,,
3266,control_change,,,,,2,0,1,,,,64,0,0,,,
3312,note_on,,,,,46,0,1,,,,,,0,,77,0
3312,control_change,,,,,0,0,1,,,,64,0,0,,,
3312,note_on,,,,,46,0,2,,,,,,1,,57,30
3312,note_on,,,,,0,0,2,,,,,,1,,62,32
3312,set_tempo,,,,,48,1,0,,392157,,,,,,,
3312,note_on,,,,,0,0,2,,,,,,1,,65,34
3312,note_on,,,,,0,0,1,,,,,,0,,74,45
3312,control_change,,,,,0,0,2,,,,64,0,1,,,
3320,control_change,,,,,8,0,1,,,,64,127,0,,,
3320,control_change,,,,,8,0,2,,,,64,127,1,,,
