tick,type,data,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,midi_port,,0,1,1,,,,,,,0,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,0,0,10,,,
0,control_change,,0,0,1,,,,,,,,91,127,0,,,
0,control_change,,0,0,10,,,,,,,,32,0,10,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,7,50,10,,,
0,control_change,,0,0,2,,,,,,,,32,0,1,,,
0,program_change,,0,0,2,,,,,,,,,,1,49,,
0,set_tempo,,0,1,0,,,,,,750000,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,,
0,program_change,,0,0,10,,,,,,,,,,10,60,,
0,program_change,,0,0,1,,,,,,,,,,0,0,,
0,program_change,,0,0,6,,,,,,,,,,5,73,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,
0,control_change,,0,0,9,,,,,,,,7,60,8,,,
0,program_change,,0,0,9,,,,,,,,,,8,70,,
0,track_name,,0,1,9,,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,,0,0,8,,,
0,control_change,,0,0,9,,,,,,,,32,0,8,,,
0,control_change,,0,0,9,,,,,,,,91,127,8,,,
4,control_change,,4,0,5,,,,,,,,7,45,4,,,
16,control_change,,16,0,4,,,,,,,,7,90,3,,,
16,control_change,,16,0,7,,,,,,,,7,40,6,,,
16,control_change,,16,0,3,,,,,,,,7,60,2,,,
16,control_change,,16,0,6,,,,,,,,7,45,5,,,
16,control_change,,16,0,8,,,,,,,,7,40,7,,,
16,control_change,,16,0,9,,,,,,,,7,40,8,,,
36,control_change,,36,0,2,,,,,,,,91,127,1,,,
36,control_change,,32,0,5,,,,,,,,91,127,4,,,
36,control_change,,20,0,6,,,,,,,,91,127,5,,,
36,control_change,,36,0,10,,,,,,,,91,127,10,,,
36,control_change,,36,0,1,,,,,,,,91,127,0,,,
36,control_change,,20,0,9,,,,,,,,91,127,8,,,
36,control_change,,20,0,7,,,,,,,,91,127,6,,,
36,control_change,,20,0,4,,,,,,,,91,127,3,,,
36,control_change,,20,0,8,,,,,,,,91,127,7,,,
56,control_change,,40,0,3,,,,,,,,91,127,2,,,
616,note_on,,560,0,3,,,,,,,,,,2,,56,52
616,note_on,,580,0,2,,,,,,,,,,1,,68,48
616,note_on,,580,0,5,,,,,,,,,,4,,56,48
1164,note_on,,548,0,3,,,,,,,,,,2,,53,49
1164,note_on,,548,0,2,,,,,,,,,,1,,65,47
1164,note_on,,548,0,5,,,,,,,,,,4,,53,48
1256,note_on,,92,0,3,,,,,,,,,,2,,56,0
1256,note_on,,92,0,5,,,,,,,,,,4,,56,0
1256,note_on,,92,0,2,,,,,,,,,,1,,68,0
1656,note_on,,400,0,3,,,,,,,,,,2,,51,48
1656,note_on,,400,0,5,,,,,,,,,,4,,51,48
1656,note_on,,400,0,2,,,,,,,,,,1,,63,46
1692,note_on,,36,0,3,,,,,,,,,,2,,53,0
1692,note_on,,36,0,2,,,,,,,,,,1,,65,0
1692,note_on,,36,0,5,,,,,,,,,,4,,53,0
1892,note_on,,200,0,3,,,,,,,,,,2,,53,51
1892,note_on,,200,0,2,,,,,,,,,,1,,65,48
1892,note_on,,200,0,5,,,,,,,,,,4,,53,49
1908,note_on,,16,0,3,,,,,,,,,,2,,51,0
1908,note_on,,16,0,5,,,,,,,,,,4,,51,0
1908,note_on,,16,0,2,,,,,,,,,,1,,63,0
2172,note_on,,264,0,3,,,,,,,,,,2,,53,0
2172,note_on,,264,0,2,,,,,,,,,,1,,65,0
2172,note_on,,264,0,5,,,,,,,,,,4,,53,0
2176,note_on,,4,0,3,,,,,,,,,,2,,50,58
2176,note_on,,4,0,5,,,,,,,,,,4,,50,57
2176,note_on,,4,0,2,,,,,,,,,,1,,62,55
2728,note_on,,2692,0,7,,,,,,,,,,6,,77,68
2728,note_on,,2692,0,8,,,,,,,,,,7,,68,75
2728,note_on,,0,0,6,,,,,,,,,,5,,70,77
2728,note_on,,2692,0,6,,,,,,,,,,5,,82,84
2728,note_on,,2692,0,9,,,,,,,,,,8,,62,71
2760,note_on,,584,0,5,,,,,,,,,,4,,50,0
2760,note_on,,584,0,2,,,,,,,,,,1,,62,0
2760,note_on,,584,0,3,,,,,,,,,,2,,50,0
3248,note_on,,0,0,6,,,,,,,,,,5,,71,83
3248,note_on,,520,0,6,,,,,,,,,,5,,83,100
3280,note_on,,0,0,6,,,,,,,,,,5,,82,0
3280,note_on,,32,0,6,,,,,,,,,,5,,70,0
3704,note_on,,0,0,6,,,,,,,,,,5,,71,0
3704,note_on,,424,0,6,,,,,,,,,,5,,83,0
3776,note_on,,72,0,6,,,,,,,,,,5,,83,77
3776,note_on,,0,0,6,,,,,,,,,,5,,71,83
3776,note_on,,1048,0,7,,,,,,,,,,6,,77,63
3776,note_on,,1048,0,9,,,,,,,,,,8,,61,66
3904,note_on,,128,0,9,,,,,,,,,,8,,62,0
4040,note_on,,1312,0,8,,,,,,,,,,7,,67,69
4048,note_on,,8,0,8,,,,,,,,,,7,,68,0
4048,note_on,,272,0,7,,,,,,,,,,6,,77,0
4232,note_on,,456,0,6,,,,,,,,,,5,,71,0
4300,note_on,,252,0,8,,,,,,,,,,7,,67,0
4308,note_on,,404,0,9,,,,,,,,,,8,,60,71
4308,note_on,,8,0,8,,,,,,,,,,7,,67,75
4308,note_on,,76,0,6,,,,,,,,,,5,,84,84
4308,note_on,,0,0,6,,,,,,,,,,5,,72,83
4308,note_on,,260,0,7,,,,,,,,,,6,,76,68
4340,note_on,,32,0,7,,,,,,,,,,6,,77,0
4340,note_on,,32,0,6,,,,,,,,,,5,,83,0
4340,note_on,,32,0,9,,,,,,,,,,8,,61,0
4764,note_on,,424,0,6,,,,,,,,,,5,,72,0
4852,note_on,,2092,0,5,,,,,,,,,,4,,48,51
4852,note_on,,2092,0,3,,,,,,,,,,2,,48,52
4852,note_on,,2092,0,2,,,,,,,,,,1,,60,49
4872,note_on,,108,0,6,,,,,,,,,,5,,84,0
4872,note_on,,564,0,8,,,,,,,,,,7,,67,0
4872,note_on,,532,0,9,,,,,,,,,,8,,60,0
4872,note_on,,532,0,7,,,,,,,,,,6,,76,0
5408,note_on,,556,0,5,,,,,,,,,,4,,46,43
5408,note_on,,556,0,3,,,,,,,,,,2,,46,43
5408,note_on,,556,0,2,,,,,,,,,,1,,58,41
5424,note_on,,16,0,5,,,,,,,,,,4,,48,0
5424,note_on,,16,0,2,,,,,,,,,,1,,60,0
5424,note_on,,16,0,3,,,,,,,,,,2,,48,0
5924,note_on,,500,0,3,,,,,,,,,,2,,48,46
5924,note_on,,500,0,2,,,,,,,,,,1,,60,45
5924,note_on,,500,0,5,,,,,,,,,,4,,48,46
5972,note_on,,48,0,2,,,,,,,,,,1,,58,0
5972,note_on,,48,0,5,,,,,,,,,,4,,46,0
5972,note_on,,48,0,3,,,,,,,,,,2,,46,0
6184,note_on,,212,0,5,,,,,,,,,,4,,49,50
6184,note_on,,212,0,2,,,,,,,,,,1,,61,49
6184,note_on,,212,0,3,,,,,,,,,,2,,49,51
6248,note_on,,64,0,2,,,,,,,,,,1,,60,0
6256,note_on,,72,0,3,,,,,,,,,,2,,48,0
6264,note_on,,80,0,5,,,,,,,,,,4,,48,0
6456,note_on,,192,0,5,,,,,,,,,,4,,51,46
6456,note_on,,208,0,2,,,,,,,,,,1,,63,44
6456,note_on,,200,0,3,,,,,,,,,,2,,51,46
6508,note_on,,52,0,3,,,,,,,,,,2,,49,0
6512,note_on,,56,0,2,,,,,,,,,,1,,61,0
6516,note_on,,60,0,5,,,,,,,,,,4,,49,0
7004,note_on,,2132,0,9,,,,,,,,,,8,,63,64
7004,note_on,,2132,0,7,,,,,,,,,,6,,73,61
7004,note_on,,2132,0,8,,,,,,,,,,7,,70,67
7004,note_on,,2132,0,6,,,,,,,,,,5,,79,75
7024,note_on,,508,0,5,,,,,,,,,,4,,51,0
7064,note_on,,556,0,3,,,,,,,,,,2,,51,0
7080,note_on,,568,0,2,,,,,,,,,,1,,63,0
7264,note_on,,260,0,6,,,,,,,,,,5,,80,90
7264,note_on,,260,0,7,,,,,,,,,,6,,72,73
7264,note_on,,260,0,9,,,,,,,,,,8,,63,0
7264,note_on,,0,0,9,,,,,,,,,,8,,65,77
7264,note_on,,260,0,8,,,,,,,,,,7,,68,81
7272,note_on,,8,0,7,,,,,,,,,,6,,73,0
7272,note_on,,8,0,6,,,,,,,,,,5,,79,0
7272,note_on,,8,0,8,,,,,,,,,,7,,70,0
7544,note_on,,280,0,9,,,,,,,,,,8,,58,70
7544,note_on,,272,0,7,,,,,,,,,,6,,77,67
7544,note_on,,272,0,8,,,,,,,,,,7,,73,74
7544,note_on,,272,0,6,,,,,,,,,,5,,82,83
7584,note_on,,40,0,8,,,,,,,,,,7,,68,0
7584,note_on,,40,0,9,,,,,,,,,,8,,65,0
7584,note_on,,40,0,6,,,,,,,,,,5,,80,0
7584,note_on,,40,0,7,,,,,,,,,,6,,72,0
8072,note_on,,488,0,8,,,,,,,,,,7,,67,73
8072,note_on,,488,0,9,,,,,,,,,,8,,63,69
8072,note_on,,488,0,6,,,,,,,,,,5,,84,81
8072,note_on,,488,0,7,,,,,,,,,,6,,75,66
8100,note_on,,28,0,9,,,,,,,,,,8,,58,0
8100,note_on,,28,0,6,,,,,,,,,,5,,82,0
8100,note_on,,28,0,8,,,,,,,,,,7,,73,0
8100,note_on,,28,0,7,,,,,,,,,,6,,77,0
8360,note_on,,260,0,6,,,,,,,,,,5,,82,81
8360,note_on,,260,0,7,,,,,,,,,,6,,73,66
8388,note_on,,28,0,6,,,,,,,,,,5,,84,0
8388,note_on,,28,0,7,,,,,,,,,,6,,75,0
8692,note_on,,304,0,7,,,,,,,,,,6,,72,62
8692,note_on,,592,0,8,,,,,,,,,,7,,68,68
8692,note_on,,592,0,9,,,,,,,,,,8,,56,65
8692,note_on,,304,0,6,,,,,,,,,,5,,80,76
8716,note_on,,24,0,6,,,,,,,,,,5,,82,0
8716,note_on,,24,0,7,,,,,,,,,,6,,73,0
8772,note_on,,80,0,9,,,,,,,,,,8,,63,0
8772,note_on,,80,0,8,,,,,,,,,,7,,67,0
9952,note_on,,2888,0,3,,,,,,,,,,2,,51,39
9952,note_on,,9916,0,4,,,,,,,,,,3,,44,42
9952,note_on,,2872,0,2,,,,,,,,,,1,,68,38
9952,note_on,,0,0,2,,,,,,,,,,1,,60,36
9964,note_on,,1248,0,7,,,,,,,,,,6,,72,0
9964,note_on,,1248,0,6,,,,,,,,,,5,,80,0
9964,note_on,,1192,0,8,,,,,,,,,,7,,68,0
9964,note_on,,1192,0,9,,,,,,,,,,8,,56,0
10588,note_on,,636,0,3,,,,,,,,,,2,,51,0
10588,note_on,,0,0,2,,,,,,,,,,1,,68,0
10588,note_on,,636,0,2,,,,,,,,,,1,,60,0
10628,note_on,,676,0,4,,,,,,,,,,3,,44,0
10640,note_on,,52,0,2,,,,,,,,,,1,,68,47
10640,note_on,,52,0,3,,,,,,,,,,2,,51,49
10640,note_on,,0,0,2,,,,,,,,,,1,,60,36
10640,note_on,,12,0,4,,,,,,,,,,3,,44,42
11236,note_on,,596,0,2,,,,,,,,,,1,,68,0
11236,note_on,,596,0,3,,,,,,,,,,2,,51,0
11276,note_on,,40,0,2,,,,,,,,,,1,,60,0
11312,note_on,,0,0,2,,,,,,,,,,1,,60,36
11312,note_on,,672,0,4,,,,,,,,,,3,,44,42
11312,note_on,,76,0,3,,,,,,,,,,2,,51,45
11312,note_on,,4288,0,5,,,,,,,,,,4,,56,40
11312,set_tempo,,11312,1,0,,,,,,714286,,,,,,,
11312,note_on,,36,0,2,,,,,,,,,,1,,68,43
11316,note_on,,4,0,4,,,,,,,,,,3,,44,0
11364,control_change,,11328,0,1,,,,,,,,64,24,0,,,
11372,control_change,,8,0,1,,,,,,,,64,40,0,,,
11380,control_change,,8,0,1,,,,,,,,64,56,0,,,
11392,control_change,,12,0,1,,,,,,,,64,72,0,,,
11400,control_change,,8,0,1,,,,,,,,64,88,0,,,
11408,control_change,,8,0,1,,,,,,,,64,104,0,,,
11420,control_change,,12,0,1,,,,,,,,64,127,0,,,
11520,note_on,,100,0,1,,,,,,,,,,0,,32,60
11976,note_on,,456,0,1,,,,,,,,,,0,,32,0
12020,note_on,,44,0,1,,,,,,,,,,0,,44,65
12308,note_on,,288,0,1,,,,,,,,,,0,,51,70
12312,note_on,,4,0,1,,,,,,,,,,0,,44,0
12496,note_on,,184,0,1,,,,,,,,,,0,,51,0
12548,note_on,,52,0,1,,,,,,,,,,0,,60,73
12756,note_on,,1444,0,2,,,,,,,,,,1,,60,0
12756,note_on,,1440,0,4,,,,,,,,,,3,,44,0
12772,note_on,,1460,0,3,,,,,,,,,,2,,51,0
12772,note_on,,16,0,2,,,,,,,,,,1,,68,0
12772,note_on,,1460,0,5,,,,,,,,,,4,,56,0
12776,note_on,,228,0,1,,,,,,,,,,0,,60,0
12784,note_on,,8,0,1,,,,,,,,,,0,,56,70
12948,note_on,,164,0,1,,,,,,,,,,0,,56,0
12996,note_on,,48,0,1,,,,,,,,,,0,,60,71
13304,note_on,,308,0,1,,,,,,,,,,0,,60,0
13324,note_on,,20,0,1,,,,,,,,,,0,,63,67
13464,control_change,,140,0,1,,,,,,,,64,104,0,,,
13476,control_change,,12,0,1,,,,,,,,64,56,0,,,
13484,control_change,,8,0,1,,,,,,,,64,24,0,,,
13496,control_change,,12,0,1,,,,,,,,64,0,0,,,
14236,note_on,,740,0,1,,,,,,,,,,0,,62,58
14260,control_change,,24,0,1,,,,,,,,64,24,0,,,
14264,note_on,,4,0,1,,,,,,,,,,0,,63,0
14272,control_change,,8,0,1,,,,,,,,64,56,0,,,
14280,control_change,,8,0,1,,,,,,,,64,88,0,,,
14292,control_change,,12,0,1,,,,,,,,64,127,0,,,
14396,note_on,,104,0,1,,,,,,,,,,0,,63,67
14400,note_on,,4,0,1,,,,,,,,,,0,,62,0
14412,control_change,,12,0,1,,,,,,,,64,88,0,,,
14424,control_change,,12,0,1,,,,,,,,64,24,0,,,
14436,control_change,,12,0,1,,,,,,,,64,0,0,,,
14468,control_change,,32,0,1,,,,,,,,64,24,0,,,
14476,control_change,,8,0,1,,,,,,,,64,56,0,,,
14488,control_change,,12,0,1,,,,,,,,64,104,0,,,
14516,note_on,,28,0,1,,,,,,,,,,0,,65,66
14520,note_on,,4,0,1,,,,,,,,,,0,,63,0
14520,control_change,,0,0,1,,,,,,,,64,72,0,,,
14528,control_change,,8,0,1,,,,,,,,64,40,0,,,
14536,control_change,,8,0,1,,,,,,,,64,0,0,,,
14612,note_on,,76,0,1,,,,,,,,,,0,,63,64
14616,note_on,,4,0,1,,,,,,,,,,0,,65,0
14684,note_on,,68,0,1,,,,,,,,,,0,,62,74
14692,note_on,,8,0,1,,,,,,,,,,0,,63,0
14756,note_on,,64,0,1,,,,,,,,,,0,,63,69
14764,note_on,,8,0,1,,,,,,,,,,0,,62,0
14820,note_on,,56,0,1,,,,,,,,,,0,,63,0
14840,note_on,,20,0,1,,,,,,,,,,0,,65,67
14924,note_on,,84,0,1,,,,,,,,,,0,,67,64
14928,note_on,,4,0,1,,,,,,,,,,0,,65,0
14932,control_change,,4,0,1,,,,,,,,64,56,0,,,
14944,control_change,,12,0,1,,,,,,,,64,88,0,,,
14952,control_change,,8,0,1,,,,,,,,64,127,0,,,
14984,note_on,,32,0,1,,,,,,,,,,0,,68,67
15004,note_on,,20,0,1,,,,,,,,,,0,,67,0
15068,note_on,,64,0,1,,,,,,,,,,0,,70,67
15096,note_on,,28,0,1,,,,,,,,,,0,,68,0
15112,note_on,,16,0,1,,,,,,,,,,0,,70,0
15168,note_on,,56,0,1,,,,,,,,,,0,,72,76
15176,control_change,,8,0,1,,,,,,,,64,104,0,,,
15192,note_on,,16,0,1,,,,,,,,,,0,,32,42
15192,control_change,,0,0,1,,,,,,,,64,24,0,,,
15200,control_change,,8,0,1,,,,,,,,64,0,0,,,
15252,control_change,,52,0,1,,,,,,,,64,72,0,,,
15260,note_on,,8,0,1,,,,,,,,,,0,,75,70
15260,control_change,,0,0,1,,,,,,,,64,127,0,,,
15276,note_on,,16,0,1,,,,,,,,,,0,,72,0
15288,note_on,,12,0,1,,,,,,,,,,0,,32,0
15348,note_on,,60,0,1,,,,,,,,,,0,,80,68
15352,note_on,,4,0,1,,,,,,,,,,0,,75,0
15440,note_on,,88,0,1,,,,,,,,,,0,,80,0
15464,note_on,,24,0,1,,,,,,,,,,0,,87,86
15616,note_on,,152,0,1,,,,,,,,,,0,,51,37
15796,note_on,,180,0,1,,,,,,,,,,0,,51,0
15912,note_on,,116,0,1,,,,,,,,,,0,,63,27
15924,note_on,,12,0,1,,,,,,,,,,0,,56,32
15928,note_on,,4,0,1,,,,,,,,,,0,,60,33
16084,note_on,,156,0,1,,,,,,,,,,0,,87,0
16204,note_on,,120,0,1,,,,,,,,,,0,,51,42
16304,note_on,,100,0,1,,,,,,,,,,0,,56,0
16308,note_on,,4,0,1,,,,,,,,,,0,,51,0
16324,note_on,,16,0,1,,,,,,,,,,0,,60,0
16352,note_on,,28,0,1,,,,,,,,,,0,,63,0
16356,note_on,,4,0,1,,,,,,,,,,0,,86,66
16420,note_on,,64,0,1,,,,,,,,,,0,,87,71
16424,note_on,,4,0,1,,,,,,,,,,0,,86,0
16476,note_on,,52,0,1,,,,,,,,,,0,,87,0
16488,note_on,,12,0,1,,,,,,,,,,0,,89,73
16536,note_on,,48,0,1,,,,,,,,,,0,,89,0
16540,note_on,,4,0,1,,,,,,,,,,0,,68,45
16540,note_on,,0,0,1,,,,,,,,,,0,,87,73
16544,note_on,,4,0,1,,,,,,,,,,0,,56,35
16548,note_on,,4,0,1,,,,,,,,,,0,,60,42
16580,note_on,,32,0,1,,,,,,,,,,0,,87,0
16588,note_on,,8,0,1,,,,,,,,,,0,,89,68
16632,note_on,,44,0,1,,,,,,,,,,0,,89,0
16632,note_on,,0,0,1,,,,,,,,,,0,,87,70
16644,note_on,,12,0,1,,,,,,,,,,0,,68,0
16652,note_on,,8,0,1,,,,,,,,,,0,,60,0
16656,note_on,,4,0,1,,,,,,,,,,0,,56,0
16676,note_on,,20,0,1,,,,,,,,,,0,,87,0
16680,note_on,,4,0,1,,,,,,,,,,0,,89,70
16728,note_on,,48,0,1,,,,,,,,,,0,,89,0
16728,note_on,,0,0,1,,,,,,,,,,0,,87,67
16768,note_on,,40,0,1,,,,,,,,,,0,,87,0
16768,note_on,,0,0,1,,,,,,,,,,0,,89,73
16816,note_on,,48,0,1,,,,,,,,,,0,,89,0
16816,note_on,,0,0,1,,,,,,,,,,0,,87,67
16820,note_on,,4,0,1,,,,,,,,,,0,,51,54
16856,note_on,,36,0,1,,,,,,,,,,0,,87,0
16856,note_on,,0,0,1,,,,,,,,,,0,,89,70
16904,note_on,,48,0,1,,,,,,,,,,0,,89,0
16908,note_on,,4,0,1,,,,,,,,,,0,,87,65
16940,note_on,,32,0,1,,,,,,,,,,0,,87,0
16940,note_on,,0,0,1,,,,,,,,,,0,,89,76
16992,note_on,,52,0,1,,,,,,,,,,0,,89,0
16996,note_on,,4,0,1,,,,,,,,,,0,,87,67
17032,note_on,,36,0,1,,,,,,,,,,0,,89,70
17036,note_on,,4,0,1,,,,,,,,,,0,,87,0
17080,note_on,,44,0,1,,,,,,,,,,0,,89,0
17080,note_on,,0,0,1,,,,,,,,,,0,,87,64
17084,note_on,,4,0,1,,,,,,,,,,0,,51,0
17096,note_on,,12,0,1,,,,,,,,,,0,,56,35
17104,note_on,,8,0,1,,,,,,,,,,0,,63,19
17112,note_on,,8,0,1,,,,,,,,,,0,,60,33
17116,note_on,,4,0,1,,,,,,,,,,0,,89,73
17120,note_on,,4,0,1,,,,,,,,,,0,,87,0
17168,note_on,,48,0,1,,,,,,,,,,0,,89,0
17168,note_on,,0,0,1,,,,,,,,,,0,,87,61
17208,note_on,,0,0,1,,,,,,,,,,0,,89,66
17208,note_on,,40,0,1,,,,,,,,,,0,,87,0
17248,note_on,,40,0,1,,,,,,,,,,0,,89,0
17252,note_on,,4,0,1,,,,,,,,,,0,,87,51
17288,note_on,,36,0,1,,,,,,,,,,0,,87,0
17292,note_on,,4,0,1,,,,,,,,,,0,,89,58
17304,note_on,,12,0,1,,,,,,,,,,0,,87,42
17312,note_on,,8,0,1,,,,,,,,,,0,,89,0
17360,note_on,,0,0,1,,,,,,,,,,0,,86,70
17360,note_on,,48,0,1,,,,,,,,,,0,,87,0
17428,note_on,,68,0,1,,,,,,,,,,0,,87,83
17436,note_on,,8,0,1,,,,,,,,,,0,,86,0
17524,note_on,,88,0,1,,,,,,,,,,0,,87,0
17532,note_on,,8,0,1,,,,,,,,,,0,,92,83
17564,note_on,,32,0,1,,,,,,,,,,0,,51,38
17620,note_on,,56,0,1,,,,,,,,,,0,,63,0
17628,note_on,,8,0,1,,,,,,,,,,0,,60,0
17636,note_on,,8,0,1,,,,,,,,,,0,,92,0
17660,note_on,,24,0,1,,,,,,,,,,0,,89,79
17664,note_on,,4,0,1,,,,,,,,,,0,,51,0
17668,note_on,,4,0,1,,,,,,,,,,0,,56,0
17752,note_on,,84,0,1,,,,,,,,,,0,,89,0
17760,note_on,,8,0,1,,,,,,,,,,0,,87,76
17844,note_on,,84,0,1,,,,,,,,,,0,,87,0
17856,note_on,,12,0,1,,,,,,,,,,0,,84,74
18000,note_on,,144,0,1,,,,,,,,,,0,,84,0
18004,note_on,,5232,0,2,,,,,,,,,,1,,56,40
18004,note_on,,0,0,2,,,,,,,,,,1,,60,40
18004,note_on,,5248,0,4,,,,,,,,,,3,,41,37
18004,note_on,,4,0,1,,,,,,,,,,0,,82,75
18004,note_on,,5232,0,3,,,,,,,,,,2,,53,44
18056,note_on,,52,0,1,,,,,,,,,,0,,41,45
18068,control_change,,12,0,1,,,,,,,,64,104,0,,,
18080,control_change,,12,0,1,,,,,,,,64,24,0,,,
18092,control_change,,12,0,1,,,,,,,,64,0,0,,,
18152,control_change,,60,0,1,,,,,,,,64,88,0,,,
18164,control_change,,12,0,1,,,,,,,,64,127,0,,,
18192,note_on,,28,0,1,,,,,,,,,,0,,41,0
18380,note_on,,188,0,1,,,,,,,,,,0,,48,45
18612,note_on,,232,0,1,,,,,,,,,,0,,48,0
18664,note_on,,52,0,1,,,,,,,,,,0,,80,60
18680,note_on,,16,0,1,,,,,,,,,,0,,82,0
18688,note_on,,0,0,1,,,,,,,,,,0,,60,35
18688,note_on,,8,0,1,,,,,,,,,,0,,56,34
18692,note_on,,4,0,1,,,,,,,,,,0,,53,35
18936,note_on,,244,0,1,,,,,,,,,,0,,53,0
18960,note_on,,24,0,1,,,,,,,,,,0,,48,48
19024,note_on,,64,0,1,,,,,,,,,,0,,48,0
19080,note_on,,56,0,1,,,,,,,,,,0,,56,0
19092,note_on,,12,0,1,,,,,,,,,,0,,60,0
19260,note_on,,168,0,1,,,,,,,,,,0,,56,32
19264,note_on,,1260,0,3,,,,,,,,,,2,,60,44
19264,note_on,,1260,0,2,,,,,,,,,,1,,65,37
19264,note_on,,4,0,1,,,,,,,,,,0,,65,32
19268,note_on,,4,0,1,,,,,,,,,,0,,53,31
19320,note_on,,52,0,1,,,,,,,,,,0,,80,0
19380,note_on,,60,0,1,,,,,,,,,,0,,65,0
19388,note_on,,8,0,1,,,,,,,,,,0,,53,0
19408,note_on,,20,0,1,,,,,,,,,,0,,56,0
19420,note_on,,12,0,1,,,,,,,,,,0,,80,72
19480,note_on,,60,0,1,,,,,,,,,,0,,80,0
19516,note_on,,36,0,1,,,,,,,,,,0,,80,63
19536,note_on,,20,0,1,,,,,,,,,,0,,48,58
19540,note_on,,276,0,3,,,,,,,,,,2,,53,0
19616,note_on,,80,0,1,,,,,,,,,,0,,80,0
19632,note_on,,16,0,1,,,,,,,,,,0,,82,63
19712,note_on,,80,0,1,,,,,,,,,,0,,82,0
19716,note_on,,4,0,1,,,,,,,,,,0,,80,79
19788,note_on,,72,0,1,,,,,,,,,,0,,48,0
19820,note_on,,32,0,1,,,,,,,,,,0,,80,0
19820,note_on,,0,0,1,,,,,,,,,,0,,79,82
19828,note_on,,8,0,1,,,,,,,,,,0,,56,30
19832,note_on,,568,0,2,,,,,,,,,,1,,60,0
19832,note_on,,0,0,2,,,,,,,,,,1,,56,0
19836,note_on,,8,0,1,,,,,,,,,,0,,60,34
19844,note_on,,8,0,1,,,,,,,,,,0,,53,27
19924,note_on,,1920,0,4,,,,,,,,,,3,,41,0
19940,note_on,,96,0,1,,,,,,,,,,0,,79,0
19944,note_on,,4,0,1,,,,,,,,,,0,,80,87
20032,note_on,,492,0,3,,,,,,,,,,2,,60,0
20064,note_on,,120,0,1,,,,,,,,,,0,,80,0
