tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity,control,value
7681,note_on,7,0,1,,,,,,,,,,,,,,,0,43,46,,
7727,note_on,46,0,1,,,,,,,,,,,,,,,0,74,0,,
7739,control_change,12,0,1,,,,,,,,,,,,,,,0,,,64,127
7743,note_on,4,0,1,,,,,,,,,,,,,,,0,43,0,,
7772,note_on,29,0,1,,,,,,,,,,,,,,,0,76,86,,
7820,note_on,48,0,1,,,,,,,,,,,,,,,0,76,0,,
7861,note_on,41,0,1,,,,,,,,,,,,,,,0,74,67,,
7904,note_on,43,0,1,,,,,,,,,,,,,,,0,74,0,,
7907,note_on,3,0,1,,,,,,,,,,,,,,,0,50,55,,
7907,note_on,0,0,1,,,,,,,,,,,,,,,0,59,36,,
7935,note_on,28,0,1,,,,,,,,,,,,,,,0,83,62,,
7974,note_on,39,0,1,,,,,,,,,,,,,,,0,83,0,,
8024,note_on,50,0,1,,,,,,,,,,,,,,,0,59,0,,
8135,note_on,111,0,1,,,,,,,,,,,,,,,0,72,86,,
8139,control_change,4,0,1,,,,,,,,,,,,,,,0,,,64,0
8144,note_on,5,0,1,,,,,,,,,,,,,,,0,51,81,,
8151,note_on,7,0,1,,,,,,,,,,,,,,,0,50,0,,
8180,note_on,29,0,1,,,,,,,,,,,,,,,0,72,0,,
8204,note_on,24,0,1,,,,,,,,,,,,,,,0,74,73,,
8250,note_on,46,0,1,,,,,,,,,,,,,,,0,74,0,,
8279,note_on,29,0,1,,,,,,,,,,,,,,,0,72,65,,
8343,note_on,64,0,1,,,,,,,,,,,,,,,0,72,0,,
8343,note_on,0,0,1,,,,,,,,,,,,,,,0,60,62,,
8348,note_on,5,0,1,,,,,,,,,,,,,,,0,54,61,,
8360,note_on,12,0,1,,,,,,,,,,,,,,,0,81,80,,
8399,note_on,39,0,1,,,,,,,,,,,,,,,0,81,0,,
8447,note_on,48,0,1,,,,,,,,,,,,,,,0,60,0,,
8499,note_on,52,0,1,,,,,,,,,,,,,,,0,54,0,,
8564,note_on,65,0,1,,,,,,,,,,,,,,,0,71,70,,
8571,note_on,7,0,1,,,,,,,,,,,,,,,0,52,83,,
8591,note_on,20,0,1,,,,,,,,,,,,,,,0,51,0,,
8605,note_on,14,0,1,,,,,,,,,,,,,,,0,71,0,,
8631,note_on,26,0,1,,,,,,,,,,,,,,,0,72,77,,
8675,note_on,44,0,1,,,,,,,,,,,,,,,0,72,0,,
8723,note_on,48,0,1,,,,,,,,,,,,,,,0,71,51,,
8783,note_on,60,0,1,,,,,,,,,,,,,,,0,71,0,,
8797,note_on,14,0,1,,,,,,,,,,,,,,,0,79,78,,
8814,control_change,17,0,1,,,,,,,,,,,,,,,0,,,64,127
8826,note_on,12,0,1,,,,,,,,,,,,,,,0,59,39,,
8833,note_on,7,0,1,,,,,,,,,,,,,,,0,79,0,,
8843,note_on,10,0,1,,,,,,,,,,,,,,,0,55,47,,
8907,control_change,64,0,1,,,,,,,,,,,,,,,0,,,64,0
8919,note_on,12,0,1,,,,,,,,,,,,,,,0,59,0,,
8929,note_on,10,0,1,,,,,,,,,,,,,,,0,55,0,,
8977,note_on,48,0,1,,,,,,,,,,,,,,,0,52,0,,
9001,note_on,24,0,1,,,,,,,,,,,,,,,0,69,67,,
9011,note_on,10,0,1,,,,,,,,,,,,,,,0,48,80,,
9054,note_on,43,0,1,,,,,,,,,,,,,,,0,48,0,,
9071,note_on,17,0,1,,,,,,,,,,,,,,,0,69,0,,
9092,control_change,21,0,1,,,,,,,,,,,,,,,0,,,64,127
9104,note_on,12,0,1,,,,,,,,,,,,,,,0,76,72,,
9152,note_on,48,0,1,,,,,,,,,,,,,,,0,76,0,,
9196,note_on,44,0,1,,,,,,,,,,,,,,,0,81,84,,
9224,note_on,28,0,1,,,,,,,,,,,,,,,0,64,45,,
9229,note_on,5,0,1,,,,,,,,,,,,,,,0,81,0,,
9234,note_on,5,0,1,,,,,,,,,,,,,,,0,57,45,,
9275,note_on,41,0,1,,,,,,,,,,,,,,,0,64,0,,
9296,note_on,21,0,1,,,,,,,,,,,,,,,0,57,0,,
9332,note_on,36,0,1,,,,,,,,,,,,,,,0,88,60,,
9337,control_change,5,0,1,,,,,,,,,,,,,,,0,,,64,0
9382,note_on,45,0,1,,,,,,,,,,,,,,,0,88,0,,
9411,note_on,29,0,1,,,,,,,,,,,,,,,0,74,91,,
9414,note_on,3,0,1,,,,,,,,,,,,,,,0,50,56,,
9462,note_on,48,0,1,,,,,,,,,,,,,,,0,50,0,,
9505,note_on,43,0,1,,,,,,,,,,,,,,,0,74,0,,
9507,control_change,2,0,1,,,,,,,,,,,,,,,0,,,64,127
9515,note_on,8,0,1,,,,,,,,,,,,,,,0,79,93,,
9582,note_on,67,0,1,,,,,,,,,,,,,,,0,79,0,,
9623,note_on,41,0,1,,,,,,,,,,,,,,,0,83,76,,
9625,note_on,2,0,1,,,,,,,,,,,,,,,0,62,69,,
9651,note_on,26,0,1,,,,,,,,,,,,,,,0,83,0,,
9687,note_on,36,0,1,,,,,,,,,,,,,,,0,62,0,,
9714,note_on,27,0,1,,,,,,,,,,,,,,,0,86,96,,
9810,note_on,96,0,1,,,,,,,,,,,,,,,0,86,0,,
9817,note_on,7,0,1,,,,,,,,,,,,,,,0,91,101,,
9824,note_on,7,0,1,,,,,,,,,,,,,,,0,74,76,,
9836,note_on,12,0,1,,,,,,,,,,,,,,,0,71,62,,
9877,note_on,41,0,1,,,,,,,,,,,,,,,0,74,0,,
9887,note_on,10,0,1,,,,,,,,,,,,,,,0,71,0,,
9925,note_on,38,0,1,,,,,,,,,,,,,,,0,95,92,,
9937,control_change,12,0,1,,,,,,,,,,,,,,,0,,,64,0
9939,note_on,2,0,1,,,,,,,,,,,,,,,0,91,0,,
10007,note_on,68,0,1,,,,,,,,,,,,,,,0,95,0,,
10028,note_on,21,0,1,,,,,,,,,,,,,,,0,100,92,,
10031,note_on,3,0,1,,,,,,,,,,,,,,,0,62,74,,
10143,note_on,112,0,1,,,,,,,,,,,,,,,0,98,89,,
10160,note_on,17,0,1,,,,,,,,,,,,,,,0,100,0,,
10187,note_on,27,0,1,,,,,,,,,,,,,,,0,62,0,,
10208,note_on,21,0,1,,,,,,,,,,,,,,,0,98,0,,
10235,note_on,27,0,1,,,,,,,,,,,,,,,0,97,88,,
10251,note_on,16,0,1,,,,,,,,,,,,,,,0,72,71,,
10263,note_on,12,0,1,,,,,,,,,,,,,,,0,69,55,,
10309,note_on,46,0,1,,,,,,,,,,,,,,,0,72,0,,
10328,note_on,19,0,1,,,,,,,,,,,,,,,0,69,0,,
10352,note_on,24,0,1,,,,,,,,,,,,,,,0,96,87,,
10364,note_on,12,0,1,,,,,,,,,,,,,,,0,97,0,,
10398,note_on,34,0,1,,,,,,,,,,,,,,,0,96,0,,
10441,note_on,43,0,1,,,,,,,,,,,,,,,0,62,50,,
10455,note_on,14,0,1,,,,,,,,,,,,,,,0,88,67,,
10499,note_on,44,0,1,,,,,,,,,,,,,,,0,62,0,,
10503,note_on,4,0,1,,,,,,,,,,,,,,,0,88,0,,
10542,note_on,39,0,1,,,,,,,,,,,,,,,0,90,56,,
10643,note_on,101,0,1,,,,,,,,,,,,,,,0,90,0,,
10667,note_on,24,0,1,,,,,,,,,,,,,,,0,71,46,,
10669,note_on,2,0,1,,,,,,,,,,,,,,,0,93,50,,
10674,note_on,5,0,1,,,,,,,,,,,,,,,0,67,41,,
10727,note_on,53,0,1,,,,,,,,,,,,,,,0,93,0,,
10743,note_on,16,0,1,,,,,,,,,,,,,,,0,71,0,,
10765,note_on,22,0,1,,,,,,,,,,,,,,,0,91,69,,
10767,note_on,2,0,1,,,,,,,,,,,,,,,0,67,0,,
10767,control_change,0,0,1,,,,,,,,,,,,,,,0,,,64,127
10873,note_on,106,0,1,,,,,,,,,,,,,,,0,91,0,,
10897,note_on,24,0,1,,,,,,,,,,,,,,,0,86,60,,
11007,note_on,110,0,1,,,,,,,,,,,,,,,0,86,0,,
11007,note_on,0,0,1,,,,,,,,,,,,,,,0,83,60,,
11043,note_on,36,0,1,,,,,,,,,,,,,,,0,83,0,,
11195,note_on,152,0,1,,,,,,,,,,,,,,,0,43,45,,
11204,note_on,9,0,1,,,,,,,,,,,,,,,0,74,67,,
11243,note_on,39,0,1,,,,,,,,,,,,,,,0,43,0,,
11255,note_on,12,0,1,,,,,,,,,,,,,,,0,74,0,,
11279,note_on,24,0,1,,,,,,,,,,,,,,,0,76,79,,
11327,note_on,48,0,1,,,,,,,,,,,,,,,0,76,0,,
11348,note_on,21,0,1,,,,,,,,,,,,,,,0,74,68,,
11401,note_on,53,0,1,,,,,,,,,,,,,,,0,74,0,,
11427,note_on,26,0,1,,,,,,,,,,,,,,,0,59,44,,
11432,note_on,5,0,1,,,,,,,,,,,,,,,0,83,69,,
11435,note_on,3,0,1,,,,,,,,,,,,,,,0,50,61,,
11466,note_on,31,0,1,,,,,,,,,,,,,,,0,83,0,,
11478,note_on,12,0,1,,,,,,,,,,,,,,,0,59,0,,
11480,note_on,2,0,1,,,,,,,,,,,,,,,0,50,0,,
11504,control_change,24,0,1,,,,,,,,,,,,,,,0,,,64,0
11622,note_on,118,0,1,,,,,,,,,,,,,,,0,72,94,,
11646,note_on,24,0,1,,,,,,,,,,,,,,,0,51,67,,
11663,note_on,17,0,1,,,,,,,,,,,,,,,0,72,0,,
11696,note_on,33,0,1,,,,,,,,,,,,,,,0,74,74,,
11739,note_on,43,0,1,,,,,,,,,,,,,,,0,74,0,,
11785,note_on,46,0,1,,,,,,,,,,,,,,,0,72,57,,
11826,note_on,41,0,1,,,,,,,,,,,,,,,0,54,64,,
11835,note_on,9,0,1,,,,,,,,,,,,,,,0,60,58,,
11838,note_on,3,0,1,,,,,,,,,,,,,,,0,72,0,,
11843,note_on,5,0,1,,,,,,,,,,,,,,,0,81,86,,
11883,note_on,40,0,1,,,,,,,,,,,,,,,0,81,0,,
11886,note_on,3,0,1,,,,,,,,,,,,,,,0,54,0,,
11888,control_change,2,0,1,,,,,,,,,,,,,,,0,,,64,127
11895,note_on,7,0,1,,,,,,,,,,,,,,,0,60,0,,
11919,control_change,24,0,1,,,,,,,,,,,,,,,0,,,64,0
12035,note_on,116,0,1,,,,,,,,,,,,,,,0,51,0,,
12054,note_on,19,0,1,,,,,,,,,,,,,,,0,71,63,,
12063,note_on,9,0,1,,,,,,,,,,,,,,,0,52,48,,
12097,note_on,34,0,1,,,,,,,,,,,,,,,0,71,0,,
12111,note_on,14,0,1,,,,,,,,,,,,,,,0,72,73,,
12155,note_on,44,0,1,,,,,,,,,,,,,,,0,72,0,,
