tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,data,note,velocity
4576,note_off,,,,,27,0,1,,,,0,,79,0
4587,note_on,,,,,11,0,1,,,,0,,71,62
4592,note_on,,,,,5,0,1,,,,0,,45,53
4604,note_on,,,,,12,0,1,,,,0,,79,82
4625,note_on,,,,,21,0,1,,,,0,,60,53
4627,note_on,,,,,0,0,1,,,,0,,69,48
4627,note_on,,,,,2,0,1,,,,0,,52,56
4648,note_off,,,,,21,0,1,,,,0,,71,0
4939,note_off,,,,,291,0,1,,,,0,,45,0
4949,note_off,,,,,10,0,1,,,,0,,60,0
4950,note_off,,,,,1,0,1,,,,0,,52,0
4974,note_off,,,,,24,0,1,,,,0,,69,0
4975,note_off,,,,,1,0,1,,,,0,,79,0
4986,note_on,,,,,11,0,1,,,,0,,78,68
4990,note_on,,,,,4,0,1,,,,0,,68,47
5037,note_on,,,,,47,0,1,,,,0,,69,54
5064,note_off,,,,,27,0,1,,,,0,,68,0
5338,note_off,,,,,274,0,1,,,,0,,69,0
5357,note_on,,,,,19,0,1,,,,0,,48,54
5363,note_on,,,,,6,0,1,,,,0,,72,54
5372,note_on,,,,,9,0,1,,,,0,,81,66
5373,note_off,,,,,1,0,1,,,,0,,78,0
5389,note_on,,,,,16,0,1,,,,0,,64,64
5390,note_on,,,,,1,0,1,,,,0,,57,54
5394,note_on,,,,,4,0,1,,,,0,,71,64
5413,note_off,,,,,19,0,1,,,,0,,72,0
5598,note_off,,,,,185,0,1,,,,0,,48,0
5605,note_off,,,,,7,0,1,,,,0,,57,0
5605,note_off,,,,,0,0,1,,,,0,,64,0
5719,note_off,,,,,114,0,1,,,,0,,71,0
5737,note_off,,,,,18,0,1,,,,0,,81,0
5755,note_on,,,,,18,0,1,,,,0,,47,45
5755,note_on,,,,,0,0,1,,,,0,,71,62
5767,note_on,,,,,12,0,1,,,,0,,79,78
5777,note_on,,,,,10,0,1,,,,0,,57,58
5783,note_on,,,,,6,0,1,,,,0,,63,56
5786,note_on,,,,,3,0,1,,,,0,,69,47
5807,note_off,,,,,21,0,1,,,,0,,71,0
6120,note_off,,,,,313,0,1,,,,0,,69,0
6133,note_off,,,,,13,0,1,,,,0,,79,0
6137,note_on,,,,,4,0,1,,,,0,,68,58
6150,note_on,,,,,13,0,1,,,,0,,78,78
6177,note_off,,,,,27,0,1,,,,0,,57,0
6188,note_off,,,,,11,0,1,,,,0,,63,0
6191,note_on,,,,,3,0,1,,,,0,,69,52
6194,note_off,,,,,3,0,1,,,,0,,47,0
6217,note_off,,,,,23,0,1,,,,0,,68,0
6491,note_off,,,,,274,0,1,,,,0,,69,0
6505,note_off,,,,,14,0,1,,,,0,,78,0
6518,note_on,,,,,13,0,1,,,,0,,71,58
6521,note_on,,,,,3,0,1,,,,0,,47,78
6531,note_on,,,,,10,0,1,,,,0,,79,72
6538,note_on,,,,,7,0,1,,,,0,,51,31
6553,note_on,,,,,15,0,1,,,,0,,69,60
6577,note_off,,,,,24,0,1,,,,0,,71,0
6744,note_off,,,,,167,0,1,,,,0,,51,0
6752,note_off,,,,,8,0,1,,,,0,,47,0
6869,note_off,,,,,117,0,1,,,,0,,69,0
6881,note_off,,,,,12,0,1,,,,0,,79,0
6895,note_on,,,,,14,0,1,,,,0,,78,64
6897,note_on,,,,,2,0,1,,,,0,,69,64
6902,note_on,,,,,5,0,1,,,,0,,40,48
6911,note_on,,,,,9,0,1,,,,0,,47,62
6949,note_on,,,,,38,0,1,,,,0,,55,68
6950,note_on,,,,,1,0,1,,,,0,,67,50
6966,note_off,,,,,16,0,1,,,,0,,69,0
7233,note_off,,,,,267,0,1,,,,0,,67,0
7256,note_on,,,,,23,0,1,,,,0,,66,50
7263,note_off,,,,,7,0,1,,,,0,,78,0
7289,note_on,,,,,26,0,1,,,,0,,76,56
7309,note_off,,,,,20,0,1,,,,0,,40,0
7310,note_on,,,,,1,0,1,,,,0,,67,64
7316,note_off,,,,,6,0,1,,,,0,,47,0
7321,note_off,,,,,5,0,1,,,,0,,55,0
7336,note_off,,,,,15,0,1,,,,0,,66,0
7599,note_on,,,,,263,0,1,,,,0,,42,68
7622,note_off,,,,,23,0,1,,,,0,,67,0
7630,note_on,,,,,8,0,1,,,,0,,50,56
7642,note_on,,,,,12,0,1,,,,0,,57,76
7645,note_on,,,,,3,0,1,,,,0,,68,66
7675,note_off,,,,,30,0,1,,,,0,,76,0
7683,note_on,,,,,8,0,1,,,,0,,74,76
7691,note_on,,,,,8,0,1,,,,0,,69,62
7712,note_off,,,,,21,0,1,,,,0,,68,0
7931,note_off,,,,,219,0,1,,,,0,,42,0
7954,note_off,,,,,23,0,1,,,,0,,50,0
7968,note_off,,,,,14,0,1,,,,0,,57,0
8014,note_on,,,,,46,0,1,,,,0,,43,66
8027,note_off,,,,,13,0,1,,,,0,,74,0
8033,note_off,,,,,6,0,1,,,,0,,69,0
8047,note_on,,,,,14,0,1,,,,0,,66,52
8055,note_on,,,,,8,0,1,,,,0,,50,76
8064,note_on,,,,,9,0,1,,,,0,,59,78
8068,note_on,,,,,4,0,1,,,,0,,74,80
8101,note_on,,,,,33,0,1,,,,0,,67,46
8126,note_off,,,,,25,0,1,,,,0,,66,0
8404,note_off,,,,,278,0,1,,,,0,,67,0
8422,note_on,,,,,18,0,1,,,,0,,70,48
8437,note_off,,,,,15,0,1,,,,0,,74,0
8439,note_off,,,,,2,0,1,,,,0,,43,0
8443,note_on,,,,,4,0,1,,,,0,,79,80
8452,note_off,,,,,9,0,1,,,,0,,59,0
8454,note_off,,,,,2,0,1,,,,0,,50,0
8476,note_on,,,,,22,0,1,,,,0,,71,51
8500,note_off,,,,,24,0,1,,,,0,,70,0
8784,note_on,,,,,284,0,1,,,,0,,47,50
8811,note_off,,,,,27,0,1,,,,0,,71,0
8813,note_off,,,,,2,0,1,,,,0,,79,0
8815,note_on,,,,,2,0,1,,,,0,,62,68
8816,note_on,,,,,0,0,1,,,,0,,83,82
8816,note_on,,,,,1,0,1,,,,0,,55,53
8819,note_on,,,,,3,0,1,,,,0,,73,66
8865,note_on,,,,,46,0,1,,,,0,,74,64
8891,note_off,,,,,26,0,1,,,,0,,73,0
9058,note_off,,,,,167,0,1,,,,0,,47,0
9071,note_off,,,,,13,0,1,,,,0,,62,0
9072,note_off,,,,,1,0,1,,,,0,,55,0
9156,note_off,,,,,84,0,1,,,,0,,74,0
9176,note_off,,,,,20,0,1,,,,0,,83,0
9183,note_on,,,,,7,0,1,,,,0,,74,82
9185,note_on,,,,,2,0,1,,,,0,,48,45
9201,note_on,,,,,16,0,1,,,,0,,83,86
9207,note_on,,,,,6,0,1,,,,0,,55,54
9216,note_on,,,,,9,0,1,,,,0,,64,56
9233,note_on,,,,,17,0,1,,,,0,,72,51
9258,note_off,,,,,25,0,1,,,,0,,74,0
9578,note_off,,,,,320,0,1,,,,0,,83,0
9581,note_off,,,,,3,0,1,,,,0,,72,0
9585,note_on,,,,,4,0,1,,,,0,,81,66
9593,note_on,,,,,8,0,1,,,,0,,71,58
9603,note_off,,,,,10,0,1,,,,0,,48,0
9633,note_on,,,,,30,0,1,,,,0,,72,51
9634,note_off,,,,,1,0,1,,,,0,,55,0
9636,note_off,,,,,2,0,1,,,,0,,64,0
9663,note_off,,,,,27,0,1,,,,0,,71,0
9940,note_on,,,,,277,0,1,,,,0,,52,49
9946,note_off,,,,,6,0,1,,,,0,,72,0
9965,note_on,,,,,19,0,1,,,,0,,76,72
9972,note_on,,,,,7,0,1,,,,0,,60,53
9978,note_on,,,,,6,0,1,,,,0,,67,70
9986,note_on,,,,,8,0,1,,,,0,,84,76
9998,note_off,,,,,12,0,1,,,,0,,81,0
10013,note_on,,,,,15,0,1,,,,0,,74,58
10033,note_off,,,,,20,0,1,,,,0,,76,0
10158,note_off,,,,,125,0,1,,,,0,,52,0
10170,note_off,,,,,12,0,1,,,,0,,60,0
10178,note_off,,,,,8,0,1,,,,0,,67,0
10322,note_on,,,,,144,0,1,,,,0,,50,43
10335,note_off,,,,,13,0,1,,,,0,,74,0
10347,note_on,,,,,12,0,1,,,,0,,57,54
10355,note_on,,,,,8,0,1,,,,0,,71,60
10361,note_on,,,,,6,0,1,,,,0,,66,50
10376,note_off,,,,,15,0,1,,,,0,,84,0
10389,note_on,,,,,13,0,1,,,,0,,72,50
10397,note_on,,,,,8,0,1,,,,0,,81,72
10421,note_off,,,,,24,0,1,,,,0,,71,0
10515,note_off,,,,,94,0,1,,,,0,,57,0
10542,note_off,,,,,27,0,1,,,,0,,50,0
10562,note_off,,,,,20,0,1,,,,0,,66,0
10703,note_on,,,,,141,0,1,,,,0,,43,43
10704,note_off,,,,,1,0,1,,,,0,,72,0
10722,note_on,,,,,18,0,1,,,,0,,50,50
10746,note_on,,,,,24,0,1,,,,0,,73,68
10749,note_on,,,,,0,0,1,,,,0,,83,64
10749,note_on,,,,,3,0,1,,,,0,,59,74
10755,note_off,,,,,6,0,1,,,,0,,81,0
10799,note_on,,,,,44,0,1,,,,0,,74,64
10824,note_off,,,,,25,0,1,,,,0,,73,0
10930,note_off,,,,,106,0,1,,,,0,,43,0
10980,note_off,,,,,50,0,1,,,,0,,50,0
10985,note_off,,,,,5,0,1,,,,0,,59,0
11061,note_on,,,,,76,0,1,,,,0,,48,45
11085,note_off,,,,,24,0,1,,,,0,,74,0
11097,note_off,,,,,12,0,1,,,,0,,83,0
11103,note_on,,,,,6,0,1,,,,0,,70,46
11106,note_on,,,,,3,0,1,,,,0,,57,52
11113,note_on,,,,,7,0,1,,,,0,,79,72
11120,note_on,,,,,7,0,1,,,,0,,64,68
11144,note_on,,,,,24,0,1,,,,0,,71,48
11173,note_off,,,,,29,0,1,,,,0,,70,0
11310,note_off,,,,,137,0,1,,,,0,,57,0
11334,note_off,,,,,24,0,1,,,,0,,48,0
11337,note_off,,,,,3,0,1,,,,0,,64,0
11429,note_off,,,,,92,0,1,,,,0,,71,0
11474,note_on,,,,,45,0,1,,,,0,,71,60
11485,note_on,,,,,11,0,1,,,,0,,81,54
11494,note_on,,,,,9,0,1,,,,0,,42,28
11503,note_off,,,,,9,0,1,,,,0,,79,0
11510,note_on,,,,,7,0,1,,,,0,,72,52
11513,note_on,,,,,3,0,1,,,,0,,48,64
11519,note_on,,,,,6,0,1,,,,0,,57,62
11538,note_off,,,,,19,0,1,,,,0,,71,0
11767,note_off,,,,,229,0,1,,,,0,,48,0
11773,note_off,,,,,6,0,1,,,,0,,42,0
11795,note_off,,,,,22,0,1,,,,0,,57,0
11808,set_tempo,,,,,8376,1,0,330114,,,,,,
11857,note_off,,,,,62,0,1,,,,0,,72,0
11869,note_on,,,,,12,0,1,,,,0,,68,45
11893,note_off,,,,,24,0,1,,,,0,,81,0
11899,note_on,,,,,6,0,1,,,,0,,78,68
11904,set_tempo,,,,,96,1,0,334080,,,,,,
11915,note_on,,,,,16,0,1,,,,0,,69,51
11943,note_off,,,,,28,0,1,,,,0,,68,0
12000,set_tempo,,,,,96,1,0,338157,,,,,,
12096,set_tempo,,,,,96,1,0,342347,,,,,,
12192,set_tempo,,,,,96,1,0,346636,,,,,,
12245,note_off,,,,,302,0,1,,,,0,,69,0
12251,note_on,,,,,6,0,1,,,,0,,57,30
12264,note_on,,,,,13,0,1,,,,0,,71,56
12271,note_on,,,,,7,0,1,,,,0,,47,61
12281,note_on,,,,,10,0,1,,,,0,,63,51
12288,set_tempo,,,,,96,1,0,351030,,,,,,
12290,note_on,,,,,9,0,1,,,,0,,79,68
12298,note_on,,,,,8,0,1,,,,0,,69,47
12318,note_off,,,,,20,0,1,,,,0,,71,0
12322,note_off,,,,,4,0,1,,,,0,,78,0
12384,set_tempo,,,,,96,1,0,355540,,,,,,
12480,set_tempo,,,,,96,1,0,360160,,,,,,
12487,note_off,,,,,165,0,1,,,,0,,63,0
12490,note_off,,,,,3,0,1,,,,0,,47,0
12494,note_off,,,,,4,0,1,,,,0,,57,0
12576,set_tempo,,,,,96,1,0,364903,,,,,,
12643,note_off,,,,,149,0,1,,,,0,,69,0
12648,note_on,,,,,5,0,1,,,,0,,63,39
12664,note_off,,,,,16,0,1,,,,0,,79,0
12668,note_on,,,,,4,0,1,,,,0,,71,54
12672,note_on,,,,,4,0,1,,,,0,,40,53
12672,set_tempo,,,,,96,1,0,327417,,,,,,
12694,note_on,,,,,22,0,1,,,,0,,55,60
12700,note_on,,,,,6,0,1,,,,0,,64,49
12714,note_off,,,,,14,0,1,,,,0,,40,0
12727,note_off,,,,,13,0,1,,,,0,,63,0
12827,control_change,,,,,100,0,1,,10,64,0,,,
12996,note_off,,,,,169,0,1,,,,0,,55,0
13022,note_on,,,,,0,0,1,,,,0,,52,46
13022,note_off,,,,,26,0,1,,,,0,,64,0
13035,note_on,,,,,13,0,1,,,,0,,66,39
13036,note_on,,,,,1,0,1,,,,0,,76,78
13040,note_off,,,,,4,0,1,,,,0,,71,0
13058,note_on,,,,,18,0,1,,,,0,,55,66
13082,note_on,,,,,24,0,1,,,,0,,67,56
13084,note_off,,,,,2,0,1,,,,0,,52,0
13106,note_off,,,,,22,0,1,,,,0,,66,0
13367,note_off,,,,,261,0,1,,,,0,,55,0
13386,note_on,,,,,19,0,1,,,,0,,47,60
13394,note_on,,,,,8,0,1,,,,0,,70,46
13402,note_off,,,,,8,0,1,,,,0,,67,0
13430,note_off,,,,,28,0,1,,,,0,,76,0
13432,note_on,,,,,2,0,1,,,,0,,79,88
13436,note_on,,,,,4,0,1,,,,0,,71,50
13449,note_on,,,,,13,0,1,,,,0,,40,56
13456,note_off,,,,,7,0,1,,,,0,,47,0
13465,note_off,,,,,9,0,1,,,,0,,70,0
13662,note_off,,,,,197,0,1,,,,0,,40,0
13781,note_off,,,,,119,0,1,,,,0,,79,0
13784,note_off,,,,,3,0,1,,,,0,,71,0
13802,note_on,,,,,18,0,1,,,,0,,79,80
13809,note_on,,,,,7,0,1,,,,0,,71,66
13819,note_on,,,,,10,0,1,,,,0,,45,78
13846,note_on,,,,,27,0,1,,,,0,,69,56
13866,note_off,,,,,20,0,1,,,,0,,71,0
13875,note_on,,,,,9,0,1,,,,0,,60,70
13909,note_off,,,,,34,0,1,,,,0,,45,0
14154,note_off,,,,,245,0,1,,,,0,,60,0
14168,note_off,,,,,14,0,1,,,,0,,69,0
14175,note_on,,,,,7,0,1,,,,0,,54,52
14181,note_on,,,,,6,0,1,,,,0,,68,53
14201,note_off,,,,,20,0,1,,,,0,,79,0
14210,note_on,,,,,9,0,1,,,,0,,78,82
14219,note_on,,,,,9,0,1,,,,0,,60,64
14232,note_on,,,,,13,0,1,,,,0,,69,47
14254,note_off,,,,,22,0,1,,,,0,,68,0
14257,note_off,,,,,3,0,1,,,,0,,54,0
14555,note_on,,,,,0,0,1,,,,0,,54,56
14555,note_off,,,,,298,0,1,,,,0,,60,0
14558,note_off,,,,,3,0,1,,,,0,,69,0
14575,note_on,,,,,17,0,1,,,,0,,72,52
14590,note_on,,,,,15,0,1,,,,0,,81,82
14595,note_off,,,,,5,0,1,,,,0,,78,0
14601,note_on,,,,,6,0,1,,,,0,,71,46
14617,note_on,,,,,16,0,1,,,,0,,45,76
14623,note_off,,,,,6,0,1,,,,0,,72,0
14663,note_off,,,,,40,0,1,,,,0,,54,0
14925,note_off,,,,,262,0,1,,,,0,,45,0
14942,note_off,,,,,17,0,1,,,,0,,71,0
14948,note_off,,,,,6,0,1,,,,0,,81,0
14965,note_on,,,,,17,0,1,,,,0,,79,86
14968,note_on,,,,,3,0,1,,,,0,,47,72
14984,note_on,,,,,16,0,1,,,,0,,71,53
15013,note_on,,,,,29,0,1,,,,0,,69,45
15031,note_off,,,,,18,0,1,,,,0,,71,0
15034,note_on,,,,,3,0,1,,,,0,,63,62
15097,note_off,,,,,63,0,1,,,,0,,47,0
15318,note_off,,,,,221,0,1,,,,0,,63,0
15321,note_on,,,,,3,0,1,,,,0,,54,48
15338,note_off,,,,,17,0,1,,,,0,,79,0
15344,note_off,,,,,6,0,1,,,,0,,69,0
15350,note_on,,,,,6,0,1,,,,0,,78,78
15363,note_on,,,,,13,0,1,,,,0,,68,50
15368,note_on,,,,,5,0,1,,,,0,,63,68
15414,note_on,,,,,46,0,1,,,,0,,69,52
15416,note_off,,,,,2,0,1,,,,0,,54,0
15438,note_off,,,,,22,0,1,,,,0,,68,0
15708,note_off,,,,,270,0,1,,,,0,,69,0
15709,note_off,,,,,1,0,1,,,,0,,63,0
15712,note_on,,,,,3,0,1,,,,0,,57,74
15719,note_on,,,,,7,0,1,,,,0,,71,60
15730,note_off,,,,,11,0,1,,,,0,,78,0
15748,note_on,,,,,18,0,1,,,,0,,79,90
15771,note_on,,,,,23,0,1,,,,0,,69,51
15775,note_off,,,,,4,0,1,,,,0,,57,0
15778,note_on,,,,,3,0,1,,,,0,,47,70
15806,note_off,,,,,28,0,1,,,,0,,71,0
16091,note_off,,,,,0,0,1,,,,0,,79,0
16091,note_off,,,,,285,0,1,,,,0,,69,0
16104,note_on,,,,,13,0,1,,,,0,,78,74
16107,note_off,,,,,3,0,1,,,,0,,47,0
16116,note_on,,,,,9,0,1,,,,0,,52,53
16124,note_on,,,,,8,0,1,,,,0,,69,70
16166,note_on,,,,,42,0,1,,,,0,,64,48
16167,note_on,,,,,1,0,1,,,,0,,67,54
16180,note_off,,,,,13,0,1,,,,0,,69,0
16364,note_off,,,,,184,0,1,,,,0,,52,0
16456,note_off,,,,,92,0,1,,,,0,,64,0
16482,note_off,,,,,26,0,1,,,,0,,67,0
16492,note_off,,,,,10,0,1,,,,0,,78,0
16495,note_on,,,,,3,0,1,,,,0,,66,60
16496,note_on,,,,,1,0,1,,,,0,,59,78
16499,note_on,,,,,3,0,1,,,,0,,76,64
16544,note_on,,,,,45,0,1,,,,0,,67,60
16560,note_on,,,,,16,0,1,,,,0,,64,54
16572,note_off,,,,,12,0,1,,,,0,,66,0
16584,note_off,,,,,12,0,1,,,,0,,59,0
16847,note_off,,,,,263,0,1,,,,0,,64,0
16853,note_off,,,,,6,0,1,,,,0,,67,0
16856,note_off,,,,,3,0,1,,,,0,,76,0
16861,note_on,,,,,5,0,1,,,,0,,64,68
16875,note_on,,,,,14,0,1,,,,0,,74,80
16880,note_on,,,,,5,0,1,,,,0,,44,72
16915,note_on,,,,,35,0,1,,,,0,,65,58
16919,note_on,,,,,4,0,1,,,,0,,59,72
16938,note_off,,,,,19,0,1,,,,0,,64,0
16978,note_off,,,,,40,0,1,,,,0,,44,0
17216,note_off,,,,,238,0,1,,,,0,,65,0
17218,note_off,,,,,2,0,1,,,,0,,59,0
17242,note_on,,,,,24,0,1,,,,0,,70,78
17248,note_off,,,,,6,0,1,,,,0,,74,0
17251,note_on,,,,,3,0,1,,,,0,,47,80
17259,note_on,,,,,8,0,1,,,,0,,77,80
17280,control_change,,,,,21,0,1,,10,64,0,,,
17285,note_on,,,,,5,0,1,,,,0,,62,74
17296,note_on,,,,,11,0,1,,,,0,,71,54
17334,note_off,,,,,38,0,1,,,,0,,70,0
17360,note_off,,,,,26,0,1,,,,0,,47,0
17364,control_change,,,,,4,0,1,,64,127,0,,,
17610,note_off,,,,,246,0,1,,,,0,,71,0
17619,note_off,,,,,9,0,1,,,,0,,62,0
17623,note_off,,,,,4,0,1,,,,0,,77,0
17626,note_on,,,,,3,0,1,,,,0,,50,74
17629,note_on,,,,,3,0,1,,,,0,,73,70
17631,control_change,,,,,2,0,1,,64,0,0,,,
17636,note_on,,,,,5,0,1,,,,0,,83,84
17649,note_on,,,,,13,0,1,,,,0,,65,78
17666,note_on,,,,,17,0,1,,,,0,,74,76
17680,control_change,,,,,14,0,1,,64,127,0,,,
17692,note_off,,,,,12,0,1,,,,0,,73,0
17725,note_off,,,,,33,0,1,,,,0,,50,0
17970,control_change,,,,,245,0,1,,64,0,0,,,
17985,note_off,,,,,15,0,1,,,,0,,74,0
18011,note_on,,,,,26,0,1,,,,0,,76,66
18015,note_off,,,,,4,0,1,,,,0,,83,0
18020,note_off,,,,,5,0,1,,,,0,,65,0
18022,note_on,,,,,2,0,1,,,,0,,53,76
18027,note_on,,,,,5,0,1,,,,0,,86,92
18033,note_on,,,,,6,0,1,,,,0,,77,45
18046,control_change,,,,,13,0,1,,64,127,0,,,
18064,note_off,,,,,18,0,1,,,,0,,76,0
18064,note_on,,,,,0,0,1,,,,0,,68,92
18112,note_off,,,,,48,0,1,,,,0,,53,0
18371,note_off,,,,,259,0,1,,,,0,,77,0
18379,note_off,,,,,8,0,1,,,,0,,68,0
18383,note_off,,,,,4,0,1,,,,0,,86,0
18395,control_change,,,,,12,0,1,,64,0,0,,,
18399,note_on,,,,,4,0,1,,,,0,,76,68
18399,note_on,,,,,0,0,1,,,,0,,86,80
18432,note_on,,,,,33,0,1,,,,0,,56,53
18432,note_on,,,,,0,0,1,,,,0,,48,86
18433,note_on,,,,,1,0,1,,,,0,,77,58
18439,note_on,,,,,6,0,1,,,,0,,68,104
18446,note_on,,,,,7,0,1,,,,0,,59,72
18456,note_off,,,,,10,0,1,,,,0,,76,0
18466,control_change,,,,,10,0,1,,64,127,0,,,
18526,control_change,,,,,60,0,1,,10,64,0,,,
18581,note_off,,,,,55,0,1,,,,0,,59,0
18581,note_off,,,,,0,0,1,,,,0,,56,0
18592,note_off,,,,,11,0,1,,,,0,,48,0
18598,note_off,,,,,6,0,1,,,,0,,68,0
18773,note_off,,,,,175,0,1,,,,0,,77,0
18780,note_on,,,,,7,0,1,,,,0,,75,47
18783,control_change,,,,,3,0,1,,64,0,0,,,
18787,note_off,,,,,4,0,1,,,,0,,86,0
18789,note_on,,,,,2,0,1,,,,0,,48,76
18805,note_on,,,,,16,0,1,,,,0,,84,82
18808,note_on,,,,,3,0,1,,,,0,,57,64
18812,note_on,,,,,4,0,1,,,,0,,76,48
18819,note_on,,,,,7,0,1,,,,0,,69,102
18828,note_on,,,,,9,0,1,,,,0,,60,72
18841,control_change,,,,,13,0,1,,64,127,0,,,
18844,note_off,,,,,3,0,1,,,,0,,75,0
19007,note_off,,,,,163,0,1,,,,0,,48,0
19015,note_off,,,,,8,0,1,,,,0,,57,0
19017,note_off,,,,,2,0,1,,,,0,,60,0
19017,note_off,,,,,0,0,1,,,,0,,69,0
19093,control_change,,,,,76,0,1,,64,0,0,,,
19168,note_off,,,,,75,0,1,,,,0,,76,0
19175,note_on,,,,,7,0,1,,,,0,,73,48
19195,note_off,,,,,20,0,1,,,,0,,84,0
19195,note_on,,,,,0,0,1,,,,0,,83,78
19211,note_on,,,,,16,0,1,,,,0,,74,64
19242,note_off,,,,,31,0,1,,,,0,,73,0
19539,note_off,,,,,297,0,1,,,,0,,83,0
19562,note_off,,,,,23,0,1,,,,0,,74,0
19564,note_on,,,,,2,0,1,,,,0,,83,80
19581,note_on,,,,,17,0,1,,,,0,,73,56
19584,control_change,,,,,3,0,1,,10,64,0,,,
19601,note_on,,,,,17,0,1,,,,0,,38,74
19623,note_on,,,,,22,0,1,,,,0,,74,56
19639,control_change,,,,,16,0,1,,64,127,0,,,
19653,note_off,,,,,14,0,1,,,,0,,73,0
19658,note_off,,,,,5,0,1,,,,0,,38,0
19945,note_off,,,,,287,0,1,,,,0,,74,0
19952,note_on,,,,,7,0,1,,,,0,,81,64
19957,note_on,,,,,5,0,1,,,,0,,71,47
19977,note_on,,,,,20,0,1,,,,0,,62,82
