tick,type,data,time,meta,track,port,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
5376,note_on,,0,0,1,,,,,,,,,0,,,61,97
5376,note_on,,96,0,1,,,,,,,,,0,,,55,0
5472,note_on,,0,0,1,,,,,,,,,0,,,59,95
5472,note_on,,96,0,1,,,,,,,,,0,,,61,0
5536,note_on,,64,0,1,,,,,,,,,0,,,50,0
5536,note_on,,0,0,1,,,,,,,,,0,,,54,0
5568,note_on,,32,0,1,,,,,,,,,0,,,59,0
5568,note_on,,0,0,1,,,,,,,,,0,,,62,99
5664,note_on,,96,0,1,,,,,,,,,0,,,62,0
5664,note_on,,0,0,1,,,,,,,,,0,,,66,108
5760,note_on,,0,0,1,,,,,,,,,0,,,71,108
5760,note_on,,96,0,1,,,,,,,,,0,,,66,0
5760,note_on,,0,0,1,,,,,,,,,0,,,50,64
5760,note_on,,0,0,1,,,,,,,,,0,,,41,65
5854,note_on,,94,0,1,,,,,,,,,0,,,71,0
5856,note_on,,2,0,1,,,,,,,,,0,,,50,0
5856,note_on,,0,0,1,,,,,,,,,0,,,41,0
5856,note_on,,0,0,1,,,,,,,,,0,,,42,50
5952,note_on,,96,0,1,,,,,,,,,0,,,42,0
5952,note_on,,0,0,1,,,,,,,,,0,,,36,49
6046,note_on,,94,0,1,,,,,,,,,0,,,36,0
6048,note_on,,2,0,1,,,,,,,,,0,,,53,69
6144,note_on,,96,0,1,,,,,,,,,0,,,53,0
6144,note_on,,0,0,1,,,,,,,,,0,,,54,70
6240,note_on,,96,0,1,,,,,,,,,0,,,54,0
6240,note_on,,0,0,1,,,,,,,,,0,,,59,77
6336,note_on,,96,0,1,,,,,,,,,0,,,59,0
6336,note_on,,0,0,1,,,,,,,,,0,,,55,66
6336,note_on,,0,0,1,,,,,,,,,0,,,52,59
6336,note_on,,0,0,1,,,,,,,,,0,,,62,85
6432,note_on,,0,0,1,,,,,,,,,0,,,58,81
6432,note_on,,96,0,1,,,,,,,,,0,,,62,0
6528,note_on,,0,0,1,,,,,,,,,0,,,50,42
6528,note_on,,0,0,1,,,,,,,,,0,,,61,88
6528,note_on,,0,0,1,,,,,,,,,0,,,54,45
6528,note_on,,0,0,1,,,,,,,,,0,,,52,0
6528,note_on,,96,0,1,,,,,,,,,0,,,55,0
6528,note_on,,0,0,1,,,,,,,,,0,,,58,0
6624,note_on,,96,0,1,,,,,,,,,0,,,61,0
6624,note_on,,0,0,1,,,,,,,,,0,,,59,89
6688,note_on,,64,0,1,,,,,,,,,0,,,54,0
6688,note_on,,0,0,1,,,,,,,,,0,,,50,0
6720,note_on,,32,0,1,,,,,,,,,0,,,59,0
6720,note_on,,0,0,1,,,,,,,,,0,,,62,98
6816,note_on,,0,0,1,,,,,,,,,0,,,66,105
6816,note_on,,96,0,1,,,,,,,,,0,,,62,0
6912,note_on,,96,0,1,,,,,,,,,0,,,66,0
6912,note_on,,0,0,1,,,,,,,,,0,,,47,97
6912,note_on,,0,0,1,,,,,,,,,0,,,74,112
6960,note_on,,48,0,1,,,,,,,,,0,,,47,0
7006,note_on,,46,0,1,,,,,,,,,0,,,74,0
7104,note_on,,98,0,1,,,,,,,,,0,,,76,62
7200,note_on,,96,0,1,,,,,,,,,0,,,76,0
7200,note_on,,0,0,1,,,,,,,,,0,,,70,58
7296,note_on,,96,0,1,,,,,,,,,0,,,70,0
7296,note_on,,0,0,1,,,,,,,,,0,,,74,69
7392,note_on,,96,0,1,,,,,,,,,0,,,74,0
7392,note_on,,0,0,1,,,,,,,,,0,,,71,64
7488,note_on,,96,0,1,,,,,,,,,0,,,71,0
7488,note_on,,0,0,1,,,,,,,,,0,,,62,47
7488,note_on,,0,0,1,,,,,,,,,0,,,54,49
7488,note_on,,0,0,1,,,,,,,,,0,,,79,75
7536,note_on,,48,0,1,,,,,,,,,0,,,62,0
7536,note_on,,0,0,1,,,,,,,,,0,,,54,0
7584,note_on,,0,0,1,,,,,,,,,0,,,73,76
7584,note_on,,48,0,1,,,,,,,,,0,,,79,0
7680,note_on,,96,0,1,,,,,,,,,0,,,73,0
7680,note_on,,0,0,1,,,,,,,,,0,,,47,49
7680,note_on,,0,0,1,,,,,,,,,0,,,78,73
7728,note_on,,48,0,1,,,,,,,,,0,,,47,0
7776,note_on,,48,0,1,,,,,,,,,0,,,78,0
7776,note_on,,0,0,1,,,,,,,,,0,,,74,86
7872,note_on,,96,0,1,,,,,,,,,0,,,74,0
7872,note_on,,0,0,1,,,,,,,,,0,,,85,84
7872,note_on,,0,0,1,,,,,,,,,0,,,62,54
7872,note_on,,0,0,1,,,,,,,,,0,,,54,58
7920,note_on,,48,0,1,,,,,,,,,0,,,62,0
7920,note_on,,0,0,1,,,,,,,,,0,,,54,0
7968,note_on,,48,0,1,,,,,,,,,0,,,85,0
7968,note_on,,0,0,1,,,,,,,,,0,,,77,85
8064,note_on,,96,0,1,,,,,,,,,0,,,77,0
8064,note_on,,0,0,1,,,,,,,,,0,,,83,85
8064,note_on,,0,0,1,,,,,,,,,0,,,47,59
8112,note_on,,48,0,1,,,,,,,,,0,,,47,0
8160,note_on,,48,0,1,,,,,,,,,0,,,83,0
8160,note_on,,0,0,1,,,,,,,,,0,,,78,91
8256,note_on,,96,0,1,,,,,,,,,0,,,78,0
8256,note_on,,0,0,1,,,,,,,,,0,,,88,98
8256,note_on,,0,0,1,,,,,,,,,0,,,54,60
8256,note_on,,0,0,1,,,,,,,,,0,,,62,62
8304,note_on,,48,0,1,,,,,,,,,0,,,54,0
8304,note_on,,0,0,1,,,,,,,,,0,,,62,0
8352,note_on,,0,0,1,,,,,,,,,0,,,82,98
8352,note_on,,48,0,1,,,,,,,,,0,,,88,0
8448,note_on,,96,0,1,,,,,,,,,0,,,82,0
8448,note_on,,0,0,1,,,,,,,,,0,,,47,67
8448,note_on,,0,0,1,,,,,,,,,0,,,86,97
8496,note_on,,48,0,1,,,,,,,,,0,,,47,0
8544,note_on,,48,0,1,,,,,,,,,0,,,86,0
8544,note_on,,0,0,1,,,,,,,,,0,,,83,107
8640,note_on,,96,0,1,,,,,,,,,0,,,83,0
8640,note_on,,0,0,1,,,,,,,,,0,,,95,105
8640,note_on,,0,0,1,,,,,,,,,0,,,54,72
8640,note_on,,0,0,1,,,,,,,,,0,,,62,73
8688,note_on,,0,0,1,,,,,,,,,0,,,54,0
8688,note_on,,48,0,1,,,,,,,,,0,,,95,0
8688,note_on,,0,0,1,,,,,,,,,0,,,62,0
9216,note_on,,0,0,1,,,,,,,,,0,,,52,61
9216,note_on,,528,0,1,,,,,,,,,0,,,42,64
9312,note_on,,96,0,1,,,,,,,,,0,,,42,0
9312,note_on,,0,0,1,,,,,,,,,0,,,52,0
9312,note_on,,0,0,1,,,,,,,,,0,,,43,49
9408,note_on,,96,0,1,,,,,,,,,0,,,43,0
9408,note_on,,0,0,1,,,,,,,,,0,,,35,42
9502,note_on,,94,0,1,,,,,,,,,0,,,35,0
9504,note_on,,2,0,1,,,,,,,,,0,,,58,61
9600,note_on,,96,0,1,,,,,,,,,0,,,58,0
9600,note_on,,0,0,1,,,,,,,,,0,,,59,72
9696,note_on,,0,0,1,,,,,,,,,0,,,64,76
9696,note_on,,96,0,1,,,,,,,,,0,,,59,0
9792,note_on,,0,0,1,,,,,,,,,0,,,67,80
9792,note_on,,0,0,1,,,,,,,,,0,,,60,65
9792,note_on,,0,0,1,,,,,,,,,0,,,57,68
9792,note_on,,96,0,1,,,,,,,,,0,,,64,0
9888,note_on,,96,0,1,,,,,,,,,0,,,67,0
9888,note_on,,0,0,1,,,,,,,,,0,,,63,88
9984,note_on,,0,0,1,,,,,,,,,0,,,59,45
9984,note_on,,96,0,1,,,,,,,,,0,,,57,0
9984,note_on,,0,0,1,,,,,,,,,0,,,60,0
9984,note_on,,0,0,1,,,,,,,,,0,,,63,0
9984,note_on,,0,0,1,,,,,,,,,0,,,66,87
9984,note_on,,0,0,1,,,,,,,,,0,,,55,46
10080,note_on,,0,0,1,,,,,,,,,0,,,64,91
10080,note_on,,96,0,1,,,,,,,,,0,,,66,0
10144,note_on,,64,0,1,,,,,,,,,0,,,55,0
10144,note_on,,0,0,1,,,,,,,,,0,,,59,0
10176,note_on,,32,0,1,,,,,,,,,0,,,64,0
10176,note_on,,0,0,1,,,,,,,,,0,,,67,95
10272,note_on,,96,0,1,,,,,,,,,0,,,67,0
10272,note_on,,0,0,1,,,,,,,,,0,,,71,105
10368,note_on,,96,0,1,,,,,,,,,0,,,71,0
10368,note_on,,0,0,1,,,,,,,,,0,,,42,68
10368,note_on,,0,0,1,,,,,,,,,0,,,52,62
10368,note_on,,0,0,1,,,,,,,,,0,,,76,104
10400,note_on,,32,0,1,,,,,,,,,0,,,76,0
10464,note_on,,0,0,1,,,,,,,,,0,,,43,47
10464,note_on,,64,0,1,,,,,,,,,0,,,42,0
10464,note_on,,0,0,1,,,,,,,,,0,,,52,0
10560,note_on,,96,0,1,,,,,,,,,0,,,43,0
10560,note_on,,0,0,1,,,,,,,,,0,,,35,46
10654,note_on,,94,0,1,,,,,,,,,0,,,35,0
10656,note_on,,2,0,1,,,,,,,,,0,,,58,64
10752,note_on,,96,0,1,,,,,,,,,0,,,58,0
10752,note_on,,0,0,1,,,,,,,,,0,,,59,68
10848,note_on,,96,0,1,,,,,,,,,0,,,59,0
10848,note_on,,0,0,1,,,,,,,,,0,,,64,72
10944,note_on,,0,0,1,,,,,,,,,0,,,67,82
10944,note_on,,96,0,1,,,,,,,,,0,,,64,0
10944,note_on,,0,0,1,,,,,,,,,0,,,60,64
10944,note_on,,0,0,1,,,,,,,,,0,,,57,68
11040,note_on,,96,0,1,,,,,,,,,0,,,67,0
11040,note_on,,0,0,1,,,,,,,,,0,,,63,88
11136,note_on,,96,0,1,,,,,,,,,0,,,60,0
11136,note_on,,0,0,1,,,,,,,,,0,,,57,0
11136,note_on,,0,0,1,,,,,,,,,0,,,63,0
11136,note_on,,0,0,1,,,,,,,,,0,,,59,43
11136,note_on,,0,0,1,,,,,,,,,0,,,55,47
11136,note_on,,0,0,1,,,,,,,,,0,,,66,92
11232,note_on,,96,0,1,,,,,,,,,0,,,66,0
11232,note_on,,0,0,1,,,,,,,,,0,,,64,89
11296,note_on,,64,0,1,,,,,,,,,0,,,59,0
11296,note_on,,0,0,1,,,,,,,,,0,,,55,0
11328,note_on,,0,0,1,,,,,,,,,0,,,67,101
11328,note_on,,32,0,1,,,,,,,,,0,,,64,0
11424,note_on,,96,0,1,,,,,,,,,0,,,67,0
11424,note_on,,0,0,1,,,,,,,,,0,,,71,105
11520,note_on,,0,0,1,,,,,,,,,0,,,79,112
11520,note_on,,96,0,1,,,,,,,,,0,,,71,0
11520,note_on,,0,0,1,,,,,,,,,0,,,47,43
11568,note_on,,48,0,1,,,,,,,,,0,,,47,0
11614,note_on,,46,0,1,,,,,,,,,0,,,79,0
11712,note_on,,98,0,1,,,,,,,,,0,,,78,59
11808,note_on,,96,0,1,,,,,,,,,0,,,78,0
11808,note_on,,0,0,1,,,,,,,,,0,,,70,58
11904,note_on,,0,0,1,,,,,,,,,0,,,76,69
11904,note_on,,96,0,1,,,,,,,,,0,,,70,0
12000,note_on,,96,0,1,,,,,,,,,0,,,76,0
12000,note_on,,0,0,1,,,,,,,,,0,,,71,70
12096,note_on,,0,0,1,,,,,,,,,0,,,81,75
12096,note_on,,96,0,1,,,,,,,,,0,,,71,0
12096,note_on,,0,0,1,,,,,,,,,0,,,55,52
12096,note_on,,0,0,1,,,,,,,,,0,,,64,51
12144,note_on,,48,0,1,,,,,,,,,0,,,55,0
12144,note_on,,0,0,1,,,,,,,,,0,,,64,0
12192,note_on,,48,0,1,,,,,,,,,0,,,81,0
12192,note_on,,0,0,1,,,,,,,,,0,,,75,78
12288,note_on,,96,0,1,,,,,,,,,0,,,75,0
12288,note_on,,0,0,1,,,,,,,,,0,,,79,74
12288,note_on,,0,0,1,,,,,,,,,0,,,47,63
12336,note_on,,48,0,1,,,,,,,,,0,,,47,0
12384,note_on,,48,0,1,,,,,,,,,0,,,79,0
12384,note_on,,0,0,1,,,,,,,,,0,,,76,85
12480,note_on,,96,0,1,,,,,,,,,0,,,76,0
12480,note_on,,0,0,1,,,,,,,,,0,,,55,72
12480,note_on,,0,0,1,,,,,,,,,0,,,84,89
12480,note_on,,0,0,1,,,,,,,,,0,,,64,65
12528,note_on,,48,0,1,,,,,,,,,0,,,55,0
12528,note_on,,0,0,1,,,,,,,,,0,,,64,0
12576,note_on,,48,0,1,,,,,,,,,0,,,84,0
12576,note_on,,0,0,1,,,,,,,,,0,,,78,91
12672,note_on,,0,0,1,,,,,,,,,0,,,47,78
12672,note_on,,96,0,1,,,,,,,,,0,,,78,0
12672,note_on,,0,0,1,,,,,,,,,0,,,83,90
12720,note_on,,48,0,1,,,,,,,,,0,,,47,0
12768,note_on,,0,0,1,,,,,,,,,0,,,79,91
12768,note_on,,48,0,1,,,,,,,,,0,,,83,0
12864,note_on,,96,0,1,,,,,,,,,0,,,79,0
12864,note_on,,0,0,1,,,,,,,,,0,,,64,80
12864,note_on,,0,0,1,,,,,,,,,0,,,90,98
12864,note_on,,0,0,1,,,,,,,,,0,,,55,77
12912,note_on,,48,0,1,,,,,,,,,0,,,64,0
12912,note_on,,0,0,1,,,,,,,,,0,,,55,0
12960,note_on,,48,0,1,,,,,,,,,0,,,90,0
12960,note_on,,0,0,1,,,,,,,,,0,,,82,102
13056,note_on,,0,0,1,,,,,,,,,0,,,88,101
13056,note_on,,96,0,1,,,,,,,,,0,,,82,0
13056,note_on,,0,0,1,,,,,,,,,0,,,47,82
13104,note_on,,48,0,1,,,,,,,,,0,,,47,0
13152,note_on,,48,0,1,,,,,,,,,0,,,88,0
13152,note_on,,0,0,1,,,,,,,,,0,,,83,101
13248,note_on,,96,0,1,,,,,,,,,0,,,83,0
13248,note_on,,0,0,1,,,,,,,,,0,,,55,92
13248,note_on,,0,0,1,,,,,,,,,0,,,64,93
13248,note_on,,0,0,1,,,,,,,,,0,,,100,105
13296,note_on,,48,0,1,,,,,,,,,0,,,55,0
13296,note_on,,0,0,1,,,,,,,,,0,,,64,0
13408,note_on,,112,0,1,,,,,,,,,0,,,100,0
13824,note_on,,0,0,1,,,,,,,,,0,,,78,97
13824,note_on,,0,0,1,,,,,,,,,0,,,90,112
13824,note_on,,0,0,1,,,,,,,,,0,,,76,77
13824,note_on,,0,0,1,,,,,,,,,0,,,70,76
13824,note_on,,416,0,1,,,,,,,,,0,,,73,73
13984,note_on,,160,0,1,,,,,,,,,0,,,78,0
14016,note_on,,32,0,1,,,,,,,,,0,,,90,0
14016,note_on,,0,0,1,,,,,,,,,0,,,91,110
14016,note_on,,0,0,1,,,,,,,,,0,,,79,93
14112,note_on,,96,0,1,,,,,,,,,0,,,91,0
14112,note_on,,0,0,1,,,,,,,,,0,,,90,106
14208,note_on,,96,0,1,,,,,,,,,0,,,90,0
14208,note_on,,0,0,1,,,,,,,,,0,,,89,103
14304,note_on,,96,0,1,,,,,,,,,0,,,89,0
14304,note_on,,0,0,1,,,,,,,,,0,,,88,112
14400,note_on,,0,0,1,,,,,,,,,0,,,74,75
14400,note_on,,0,0,1,,,,,,,,,0,,,71,79
14400,note_on,,0,0,1,,,,,,,,,0,,,88,112
14400,note_on,,0,0,1,,,,,,,,,0,,,88,0
14400,note_on,,0,0,1,,,,,,,,,0,,,76,0
14400,note_on,,96,0,1,,,,,,,,,0,,,73,0
14400,note_on,,0,0,1,,,,,,,,,0,,,70,0
14496,note_on,,96,0,1,,,,,,,,,0,,,88,0
14496,note_on,,0,0,1,,,,,,,,,0,,,86,105
14560,note_on,,64,0,1,,,,,,,,,0,,,79,0
14560,note_on,,0,0,1,,,,,,,,,0,,,71,0
14560,note_on,,0,0,1,,,,,,,,,0,,,74,0
14592,note_on,,32,0,1,,,,,,,,,0,,,86,0
14592,note_on,,0,0,1,,,,,,,,,0,,,54,73
14592,note_on,,0,0,1,,,,,,,,,0,,,85,109
14592,note_on,,0,0,1,,,,,,,,,0,,,66,80
14688,note_on,,0,0,1,,,,,,,,,0,,,83,103
14688,note_on,,96,0,1,,,,,,,,,0,,,85,0
14752,note_on,,64,0,1,,,,,,,,,0,,,54,0
14752,note_on,,0,0,1,,,,,,,,,0,,,66,0
14784,note_on,,32,0,1,,,,,,,,,0,,,83,0
14784,note_on,,0,0,1,,,,,,,,,0,,,81,111
14880,note_on,,96,0,1,,,,,,,,,0,,,81,0
14880,note_on,,0,0,1,,,,,,,,,0,,,79,103
14976,note_on,,96,0,1,,,,,,,,,0,,,79,0
14976,note_on,,0,0,1,,,,,,,,,0,,,78,113
14976,note_on,,0,0,1,,,,,,,,,0,,,69,75
14976,note_on,,0,0,1,,,,,,,,,0,,,73,73
15024,note_on,,48,0,1,,,,,,,,,0,,,69,0
15024,note_on,,0,0,1,,,,,,,,,0,,,73,0
15072,note_on,,48,0,1,,,,,,,,,0,,,78,0
15072,note_on,,0,0,1,,,,,,,,,0,,,79,109
15168,note_on,,0,0,1,,,,,,,,,0,,,54,70
15168,note_on,,96,0,1,,,,,,,,,0,,,79,0
15168,note_on,,0,0,1,,,,,,,,,0,,,77,107
15216,note_on,,48,0,1,,,,,,,,,0,,,54,0
15264,note_on,,48,0,1,,,,,,,,,0,,,77,0
15264,note_on,,0,0,1,,,,,,,,,0,,,78,103
15360,note_on,,96,0,1,,,,,,,,,0,,,78,0
15360,note_on,,0,0,1,,,,,,,,,0,,,83,98
15360,note_on,,0,0,1,,,,,,,,,0,,,67,73
15360,note_on,,0,0,1,,,,,,,,,0,,,71,73
15408,note_on,,48,0,1,,,,,,,,,0,,,67,0
15408,note_on,,0,0,1,,,,,,,,,0,,,71,0
15456,note_on,,48,0,1,,,,,,,,,0,,,83,0
15456,note_on,,0,0,1,,,,,,,,,0,,,76,94
15552,note_on,,0,0,1,,,,,,,,,0,,,66,70
15552,note_on,,96,0,1,,,,,,,,,0,,,76,0
15552,note_on,,0,0,1,,,,,,,,,0,,,74,97
15552,note_on,,0,0,1,,,,,,,,,0,,,69,78
15600,note_on,,48,0,1,,,,,,,,,0,,,69,0
15600,note_on,,0,0,1,,,,,,,,,0,,,66,0
15648,note_on,,48,0,1,,,,,,,,,0,,,74,0
15648,note_on,,0,0,1,,,,,,,,,0,,,76,93
15744,note_on,,96,0,1,,,,,,,,,0,,,76,0
15744,note_on,,0,0,1,,,,,,,,,0,,,54,74
15744,note_on,,0,0,1,,,,,,,,,0,,,73,85
15792,note_on,,48,0,1,,,,,,,,,0,,,54,0
15840,note_on,,48,0,1,,,,,,,,,0,,,73,0
15840,note_on,,0,0,1,,,,,,,,,0,,,74,85
15936,note_on,,0,0,1,,,,,,,,,0,,,79,86
15936,note_on,,0,0,1,,,,,,,,,0,,,67,79
15936,note_on,,96,0,1,,,,,,,,,0,,,74,0
15936,note_on,,0,0,1,,,,,,,,,0,,,64,63
16032,note_on,,96,0,1,,,,,,,,,0,,,79,0
16032,note_on,,0,0,1,,,,,,,,,0,,,71,73
16096,note_on,,64,0,1,,,,,,,,,0,,,64,0
16126,note_on,,30,0,1,,,,,,,,,0,,,71,0
16128,note_on,,2,0,1,,,,,,,,,0,,,70,80
16128,note_on,,0,0,1,,,,,,,,,0,,,61,64
16224,note_on,,96,0,1,,,,,,,,,0,,,70,0
16224,note_on,,0,0,1,,,,,,,,,0,,,76,80
16288,note_on,,64,0,1,,,,,,,,,0,,,67,0
16320,note_on,,0,0,1,,,,,,,,,0,,,54,61
16320,note_on,,0,0,1,,,,,,,,,0,,,68,70
16320,note_on,,32,0,1,,,,,,,,,0,,,76,0
16416,note_on,,0,0,1,,,,,,,,,0,,,69,73
16416,note_on,,96,0,1,,,,,,,,,0,,,68,0
16464,note_on,,48,0,1,,,,,,,,,0,,,61,0
16512,note_on,,48,0,1,,,,,,,,,0,,,69,0
16512,note_on,,0,0,1,,,,,,,,,0,,,66,77
16512,note_on,,0,0,1,,,,,,,,,0,,,62,77
16512,note_on,,0,0,1,,,,,,,,,0,,,78,71
16608,note_on,,96,0,1,,,,,,,,,0,,,78,0
16608,note_on,,0,0,1,,,,,,,,,0,,,74,77
16672,note_on,,64,0,1,,,,,,,,,0,,,66,0
16704,note_on,,0,0,1,,,,,,,,,0,,,61,77
16704,note_on,,0,0,1,,,,,,,,,0,,,67,72
16704,note_on,,0,0,1,,,,,,,,,0,,,74,0
16704,note_on,,32,0,1,,,,,,,,,0,,,62,0
16704,note_on,,0,0,1,,,,,,,,,0,,,70,73
16800,note_on,,96,0,1,,,,,,,,,0,,,70,0
16800,note_on,,0,0,1,,,,,,,,,0,,,74,79
16864,note_on,,64,0,1,,,,,,,,,0,,,54,0
16864,note_on,,0,0,1,,,,,,,,,0,,,67,0
16896,note_on,,0,0,1,,,,,,,,,0,,,54,57
16896,note_on,,32,0,1,,,,,,,,,0,,,74,0
16896,note_on,,0,0,1,,,,,,,,,0,,,54,78
16896,note_on,,0,0,1,,,,,,,,,0,,,68,74
16992,note_on,,96,0,1,,,,,,,,,0,,,68,0
16992,note_on,,0,0,1,,,,,,,,,0,,,69,78
17040,note_on,,48,0,1,,,,,,,,,0,,,61,0
17056,note_on,,16,0,1,,,,,,,,,0,,,54,0
17088,note_on,,32,0,1,,,,,,,,,0,,,69,0
17088,note_on,,0,0,1,,,,,,,,,0,,,62,73
17088,note_on,,0,0,1,,,,,,,,,0,,,66,75
17088,note_on,,0,0,1,,,,,,,,,0,,,78,73
17184,note_on,,96,0,1,,,,,,,,,0,,,78,0
17184,note_on,,0,0,1,,,,,,,,,0,,,74,78
17248,note_on,,64,0,1,,,,,,,,,0,,,66,0
17280,note_on,,0,0,1,,,,,,,,,0,,,68,72
17280,note_on,,0,0,1,,,,,,,,,0,,,65,79
17280,note_on,,0,0,1,,,,,,,,,0,,,74,0
17280,note_on,,0,0,1,,,,,,,,,0,,,59,78
17280,note_on,,32,0,1,,,,,,,,,0,,,62,0
17376,note_on,,96,0,1,,,,,,,,,0,,,68,0
17376,note_on,,0,0,1,,,,,,,,,0,,,74,73
17440,note_on,,64,0,1,,,,,,,,,0,,,54,0
17440,note_on,,0,0,1,,,,,,,,,0,,,65,0
17472,note_on,,32,0,1,,,,,,,,,0,,,74,0
17472,note_on,,0,0,1,,,,,,,,,0,,,54,79
17472,note_on,,0,0,1,,,,,,,,,0,,,66,80
17472,note_on,,0,0,1,,,,,,,,,0,,,54,55
17568,note_on,,96,0,1,,,,,,,,,0,,,66,0
17568,note_on,,0,0,1,,,,,,,,,0,,,67,76
17616,note_on,,48,0,1,,,,,,,,,0,,,59,0
17632,note_on,,16,0,1,,,,,,,,,0,,,54,0
17664,note_on,,32,0,1,,,,,,,,,0,,,67,0
17664,note_on,,0,0,1,,,,,,,,,0,,,76,77
17664,note_on,,0,0,1,,,,,,,,,0,,,64,76
17664,note_on,,0,0,1,,,,,,,,,0,,,61,73
17760,note_on,,0,0,1,,,,,,,,,0,,,73,72
17760,note_on,,96,0,1,,,,,,,,,0,,,76,0
17824,note_on,,64,0,1,,,,,,,,,0,,,64,0
17856,note_on,,0,0,1,,,,,,,,,0,,,67,73
