tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity,control,value
4096,note_on,,,,,141,0,2,,,,0,66,61,,
4096,note_on,,,,,282,0,3,,,,1,51,53,,
4096,time_signature,2,4,24,8,399,1,0,,,,,,,,
4096,key_signature,,,,,0,1,0,Gb,,,,,,,
4326,note_off,,,,,230,0,3,,,,1,51,0,,
4352,note_on,,,,,0,0,2,,,,0,78,51,,
4352,note_on,,,,,256,0,2,,,,0,75,46,,
4608,note_off,,,,,256,0,2,,,,0,66,0,,
4608,note_off,,,,,0,0,2,,,,0,75,0,,
4608,note_off,,,,,0,0,2,,,,0,78,0,,
4608,note_on,,,,,0,0,2,,,,0,68,47,,
4608,note_on,,,,,0,0,2,,,,0,80,52,,
4608,note_on,,,,,0,0,3,,,,1,58,40,,
4608,note_on,,,,,0,0,3,,,,1,63,42,,
4608,note_on,,,,,282,0,3,,,,1,54,42,,
4667,note_off,,,,,59,0,2,,,,0,68,0,,
4685,note_off,,,,,77,0,3,,,,1,54,0,,
4723,note_off,,,,,56,0,2,,,,0,80,0,,
4762,note_off,,,,,77,0,3,,,,1,58,0,,
4838,note_off,,,,,76,0,3,,,,1,63,0,,
4864,note_on,,,,,141,0,2,,,,0,69,48,,
4864,note_on,,,,,0,0,2,,,,0,81,53,,
4923,note_off,,,,,59,0,2,,,,0,69,0,,
4979,note_off,,,,,56,0,2,,,,0,81,0,,
5120,note_on,,,,,282,0,3,,,,1,49,53,,
5120,note_on,,,,,141,0,2,,,,0,70,62,,
5350,note_off,,,,,230,0,3,,,,1,49,0,,
5376,note_on,,,,,0,0,2,,,,0,82,51,,
5376,note_on,,,,,256,0,2,,,,0,77,46,,
5632,note_on,,,,,0,0,3,,,,1,58,40,,
5632,note_off,,,,,0,0,2,,,,0,77,0,,
5632,note_off,,,,,0,0,2,,,,0,82,0,,
5632,note_on,,,,,0,0,2,,,,0,71,49,,
5632,note_on,,,,,0,0,2,,,,0,83,54,,
5632,note_on,,,,,0,0,3,,,,1,65,42,,
5632,note_on,,,,,282,0,3,,,,1,53,42,,
5632,note_off,,,,,256,0,2,,,,0,70,0,,
5691,note_off,,,,,59,0,2,,,,0,71,0,,
5709,note_off,,,,,77,0,3,,,,1,53,0,,
5747,note_off,,,,,56,0,2,,,,0,83,0,,
5786,note_off,,,,,77,0,3,,,,1,58,0,,
5862,note_off,,,,,76,0,3,,,,1,65,0,,
5888,note_on,,,,,0,0,2,,,,0,82,51,,
5888,note_on,,,,,141,0,2,,,,0,70,46,,
5947,note_off,,,,,59,0,2,,,,0,70,0,,
6003,note_off,,,,,56,0,2,,,,0,82,0,,
6144,key_signature,,,,,0,1,0,Gb,,,,,,,
6144,time_signature,2,4,24,8,2048,1,0,,,,,,,,
6144,note_on,,,,,141,0,2,,,,0,63,59,,
6144,note_on,,,,,282,0,3,,,,1,47,53,,
6374,note_off,,,,,230,0,3,,,,1,47,0,,
6400,note_on,,,,,256,0,2,,,,0,71,46,,
6400,note_on,,,,,0,0,2,,,,0,75,51,,
6656,note_on,,,,,282,0,3,,,,1,54,40,,
6656,note_on,,,,,0,0,3,,,,1,59,42,,
6656,note_off,,,,,256,0,2,,,,0,63,0,,
6656,note_off,,,,,0,0,2,,,,0,71,0,,
6656,note_off,,,,,0,0,2,,,,0,75,0,,
6656,note_on,,,,,0,0,2,,,,0,64,48,,
6656,note_on,,,,,0,0,2,,,,0,76,53,,
6715,note_off,,,,,59,0,2,,,,0,64,0,,
6771,note_off,,,,,56,0,2,,,,0,76,0,,
6774,note_off,,,,,118,0,3,,,,1,54,0,,
6886,note_off,,,,,112,0,3,,,,1,59,0,,
6912,note_on,,,,,141,0,2,,,,0,65,49,,
6912,note_on,,,,,0,0,2,,,,0,77,54,,
6971,note_off,,,,,59,0,2,,,,0,65,0,,
7027,note_off,,,,,56,0,2,,,,0,77,0,,
7168,note_on,,,,,141,0,2,,,,0,66,59,,
7168,note_on,,,,,282,0,3,,,,1,46,53,,
7398,note_off,,,,,230,0,3,,,,1,46,0,,
7424,note_on,,,,,256,0,2,,,,0,73,49,,
7424,note_on,,,,,0,0,2,,,,0,78,54,,
7680,note_off,,,,,256,0,2,,,,0,66,0,,
7680,note_on,,,,,0,0,2,,,,0,65,46,,
7680,note_on,,,,,0,0,2,,,,0,77,51,,
7680,note_off,,,,,0,0,2,,,,0,73,0,,
7680,note_off,,,,,0,0,2,,,,0,78,0,,
7680,note_on,,,,,282,0,3,,,,1,49,42,,
7680,note_on,,,,,0,0,3,,,,1,54,40,,
7680,note_on,,,,,0,0,3,,,,1,61,42,,
7739,note_off,,,,,59,0,2,,,,0,65,0,,
7757,note_off,,,,,77,0,3,,,,1,49,0,,
7795,note_off,,,,,56,0,2,,,,0,77,0,,
7834,note_off,,,,,77,0,3,,,,1,54,0,,
7910,note_off,,,,,76,0,3,,,,1,61,0,,
7936,note_on,,,,,141,0,2,,,,0,66,47,,
7936,note_on,,,,,0,0,2,,,,0,78,52,,
7995,note_off,,,,,59,0,2,,,,0,66,0,,
8051,note_off,,,,,56,0,2,,,,0,78,0,,
8192,note_on,,,,,282,0,3,,,,1,48,53,,
8192,time_signature,2,4,24,8,2048,1,0,,,,,,,,
8192,note_on,,,,,141,0,2,,,,0,68,79,,
8192,key_signature,,,,,0,1,0,Gb,,,,,,,
8422,note_off,,,,,230,0,3,,,,1,48,0,,
8448,note_on,,,,,256,0,2,,,,0,75,52,,
8448,note_on,,,,,0,0,2,,,,0,80,57,,
8704,note_off,,,,,256,0,2,,,,0,68,0,,
8704,note_off,,,,,0,0,2,,,,0,75,0,,
8704,note_off,,,,,0,0,2,,,,0,80,0,,
8704,note_on,,,,,0,0,2,,,,0,70,68,,
8704,note_on,,,,,0,0,2,,,,0,82,59,,
8704,note_on,,,,,282,0,3,,,,1,54,42,,
8704,note_on,,,,,0,0,3,,,,1,56,40,,
8704,note_on,,,,,0,0,3,,,,1,63,42,,
8763,note_off,,,,,59,0,2,,,,0,70,0,,
8781,note_off,,,,,77,0,3,,,,1,54,0,,
8819,note_off,,,,,56,0,2,,,,0,82,0,,
8858,note_off,,,,,77,0,3,,,,1,56,0,,
8934,note_off,,,,,76,0,3,,,,1,63,0,,
8960,note_on,,,,,141,0,2,,,,0,68,65,,
8960,note_on,,,,,0,0,2,,,,0,80,57,,
9019,note_off,,,,,59,0,2,,,,0,68,0,,
9075,note_off,,,,,56,0,2,,,,0,80,0,,
9216,note_on,,,,,282,0,3,,,,1,49,53,,
9216,note_on,,,,,141,0,2,,,,0,68,72,,
9446,note_off,,,,,230,0,3,,,,1,49,0,,
9472,note_on,,,,,0,0,2,,,,0,80,56,,
9472,note_on,,,,,256,0,2,,,,0,77,50,,
9728,note_off,,,,,0,0,2,,,,0,77,0,,
9728,note_on,,,,,0,0,3,,,,1,61,42,,
9728,note_on,,,,,0,0,3,,,,1,65,41,,
9728,note_on,,,,,0,0,2,,,,0,82,56,,
9728,note_on,,,,,0,0,2,,,,0,70,65,,
9728,note_off,,,,,0,0,2,,,,0,80,0,,
9728,note_on,,,,,282,0,3,,,,1,59,40,,
9728,note_off,,,,,256,0,2,,,,0,68,0,,
9787,note_off,,,,,59,0,2,,,,0,70,0,,
9805,note_off,,,,,77,0,3,,,,1,59,0,,
9843,note_off,,,,,56,0,2,,,,0,82,0,,
9882,note_off,,,,,77,0,3,,,,1,61,0,,
9958,note_off,,,,,76,0,3,,,,1,65,0,,
9984,note_on,,,,,0,0,2,,,,0,83,58,,
9984,note_on,,,,,141,0,2,,,,0,71,67,,
10043,note_off,,,,,59,0,2,,,,0,71,0,,
10099,note_off,,,,,56,0,2,,,,0,83,0,,
10240,key_signature,,,,,0,1,0,Gb,,,,,,,
10240,time_signature,2,4,24,8,2048,1,0,,,,,,,,
10240,note_on,,,,,141,0,2,,,,0,78,69,,
10240,note_on,,,,,0,0,2,,,,0,82,77,,
10240,note_on,,,,,282,0,3,,,,1,54,55,,
10470,note_off,,,,,230,0,3,,,,1,54,0,,
10496,note_on,,,,,0,0,2,,,,0,70,61,,
10496,note_off,,,,,256,0,2,,,,0,78,0,,
10752,note_off,,,,,256,0,2,,,,0,70,0,,
10752,note_on,,,,,282,0,3,,,,1,58,44,,
10752,note_on,,,,,0,0,3,,,,1,66,44,,
10752,note_on,,,,,0,0,2,,,,0,83,62,,
10752,note_off,,,,,0,0,2,,,,0,82,0,,
10752,note_on,,,,,0,0,2,,,,0,71,63,,
10811,note_off,,,,,59,0,2,,,,0,71,0,,
10867,note_off,,,,,56,0,2,,,,0,83,0,,
10870,note_off,,,,,118,0,3,,,,1,58,0,,
10982,note_off,,,,,112,0,3,,,,1,66,0,,
11008,note_on,,,,,0,0,2,,,,0,84,60,,
11008,note_on,,,,,141,0,2,,,,0,72,61,,
11067,note_off,,,,,59,0,2,,,,0,72,0,,
11123,note_off,,,,,56,0,2,,,,0,84,0,,
11264,note_on,,,,,141,0,2,,,,0,73,67,,
11264,note_on,,,,,282,0,3,,,,1,53,54,,
11494,note_off,,,,,230,0,3,,,,1,53,0,,
11520,note_on,,,,,256,0,2,,,,0,80,49,,
11520,note_on,,,,,0,0,2,,,,0,85,54,,
11776,note_on,,,,,0,0,3,,,,1,61,41,,
11776,note_on,,,,,282,0,3,,,,1,56,42,,
11776,note_on,,,,,0,0,3,,,,1,68,42,,
11776,note_on,,,,,0,0,2,,,,0,87,57,,
11776,note_on,,,,,0,0,2,,,,0,75,56,,
11776,note_off,,,,,256,0,2,,,,0,73,0,,
11776,note_off,,,,,0,0,2,,,,0,80,0,,
11776,note_off,,,,,0,0,2,,,,0,85,0,,
11835,note_off,,,,,59,0,2,,,,0,75,0,,
11853,note_off,,,,,77,0,3,,,,1,56,0,,
11891,note_off,,,,,56,0,2,,,,0,87,0,,
11930,note_off,,,,,77,0,3,,,,1,61,0,,
12006,note_off,,,,,76,0,3,,,,1,68,0,,
12032,note_on,,,,,141,0,2,,,,0,73,52,,
12032,note_on,,,,,0,0,2,,,,0,85,54,,
12091,note_off,,,,,59,0,2,,,,0,73,0,,
12147,note_off,,,,,56,0,2,,,,0,85,0,,
12288,note_on,,,,,141,0,2,,,,0,75,59,,
12288,note_on,,,,,0,0,2,,,,0,78,59,,
12288,note_on,,,,,282,0,3,,,,1,51,53,,
12288,time_signature,2,4,24,8,2048,1,0,,,,,,,,
12288,key_signature,,,,,0,1,0,Gb,,,,,,,
12518,note_off,,,,,230,0,3,,,,1,51,0,,
12544,note_off,,,,,256,0,2,,,,0,75,0,,
12544,note_on,,,,,0,0,2,,,,0,66,46,,
12800,note_off,,,,,0,0,2,,,,0,78,0,,
12800,note_on,,,,,282,0,3,,,,1,54,42,,
12800,note_on,,,,,0,0,3,,,,1,58,40,,
12800,note_on,,,,,0,0,3,,,,1,63,42,,
12800,note_on,,,,,0,0,2,,,,0,80,53,,
12800,note_off,,,,,256,0,2,,,,0,66,0,,
12800,note_on,,,,,0,0,2,,,,0,68,48,,
12859,note_off,,,,,59,0,2,,,,0,68,0,,
12877,note_off,,,,,77,0,3,,,,1,54,0,,
12915,note_off,,,,,56,0,2,,,,0,80,0,,
12954,note_off,,,,,77,0,3,,,,1,58,0,,
13030,note_off,,,,,76,0,3,,,,1,63,0,,
13056,note_on,,,,,141,0,2,,,,0,69,49,,
13056,note_on,,,,,0,0,2,,,,0,81,54,,
13115,note_off,,,,,59,0,2,,,,0,69,0,,
13171,note_off,,,,,56,0,2,,,,0,81,0,,
13312,note_on,,,,,282,0,3,,,,1,49,53,,
13312,note_on,,,,,141,0,2,,,,0,70,59,,
13542,note_off,,,,,230,0,3,,,,1,49,0,,
13568,note_on,,,,,256,0,2,,,,0,77,46,,
13568,note_on,,,,,0,0,2,,,,0,82,51,,
13824,note_on,,,,,0,0,2,,,,0,83,54,,
13824,note_off,,,,,0,0,2,,,,0,77,0,,
13824,note_off,,,,,0,0,2,,,,0,82,0,,
13824,note_on,,,,,0,0,2,,,,0,71,49,,
13824,note_on,,,,,282,0,3,,,,1,53,42,,
13824,note_on,,,,,0,0,3,,,,1,65,42,,
13824,note_on,,,,,0,0,3,,,,1,58,40,,
13824,note_off,,,,,256,0,2,,,,0,70,0,,
13883,note_off,,,,,59,0,2,,,,0,71,0,,
13901,note_off,,,,,77,0,3,,,,1,53,0,,
13939,note_off,,,,,56,0,2,,,,0,83,0,,
13978,note_off,,,,,77,0,3,,,,1,58,0,,
14054,note_off,,,,,76,0,3,,,,1,65,0,,
14080,note_on,,,,,141,0,2,,,,0,70,46,,
14080,note_on,,,,,0,0,2,,,,0,82,51,,
14139,note_off,,,,,59,0,2,,,,0,70,0,,
14195,note_off,,,,,56,0,2,,,,0,82,0,,
14336,note_on,,,,,141,0,2,,,,0,71,59,,
14336,key_signature,,,,,0,1,0,Gb,,,,,,,
14336,note_on,,,,,0,0,2,,,,0,75,59,,
14336,note_on,,,,,282,0,3,,,,1,47,53,,
14336,time_signature,2,4,24,8,2048,1,0,,,,,,,,
14566,note_off,,,,,230,0,3,,,,1,47,0,,
14592,note_on,,,,,0,0,2,,,,0,63,46,,
14592,note_off,,,,,256,0,2,,,,0,71,0,,
14848,note_off,,,,,0,0,2,,,,0,75,0,,
14848,note_on,,,,,0,0,3,,,,1,59,42,,
14848,note_on,,,,,282,0,3,,,,1,54,40,,
14848,note_off,,,,,256,0,2,,,,0,63,0,,
14848,note_on,,,,,0,0,2,,,,0,64,48,,
14848,note_on,,,,,0,0,2,,,,0,76,53,,
14907,note_off,,,,,59,0,2,,,,0,64,0,,
14963,note_off,,,,,56,0,2,,,,0,76,0,,
14966,note_off,,,,,118,0,3,,,,1,54,0,,
15078,note_off,,,,,112,0,3,,,,1,59,0,,
15104,note_on,,,,,141,0,2,,,,0,65,49,,
15104,note_on,,,,,0,0,2,,,,0,77,54,,
15163,note_off,,,,,59,0,2,,,,0,65,0,,
15219,note_off,,,,,56,0,2,,,,0,77,0,,
15360,note_on,,,,,141,0,2,,,,0,66,59,,
15360,note_on,,,,,282,0,3,,,,1,46,53,,
15590,note_off,,,,,230,0,3,,,,1,46,0,,
15616,note_on,,,,,256,0,2,,,,0,73,46,,
15616,note_on,,,,,0,0,2,,,,0,78,51,,
15872,note_on,,,,,0,0,3,,,,1,54,40,,
15872,note_on,,,,,282,0,3,,,,1,49,42,,
15872,note_on,,,,,0,0,2,,,,0,77,51,,
15872,note_on,,,,,0,0,2,,,,0,65,46,,
15872,note_off,,,,,0,0,2,,,,0,78,0,,
15872,note_off,,,,,0,0,2,,,,0,73,0,,
15872,note_off,,,,,256,0,2,,,,0,66,0,,
15872,note_on,,,,,0,0,3,,,,1,61,42,,
15931,note_off,,,,,59,0,2,,,,0,65,0,,
15949,note_off,,,,,77,0,3,,,,1,49,0,,
15987,note_off,,,,,56,0,2,,,,0,77,0,,
16026,note_off,,,,,77,0,3,,,,1,54,0,,
16102,note_off,,,,,76,0,3,,,,1,61,0,,
16128,note_on,,,,,141,0,2,,,,0,66,43,,
16128,note_on,,,,,0,0,2,,,,0,78,54,,
16187,note_off,,,,,59,0,2,,,,0,66,0,,
16230,note_on,,,,,128,0,3,,,,1,48,50,,
16243,note_off,,,,,56,0,2,,,,0,78,0,,
16332,note_on,,,,,102,0,3,,,,1,54,52,,
16384,control_change,,,,,52,0,3,,,,1,,,64,127
16384,time_signature,2,4,24,8,2048,1,0,,,,,,,,
16384,key_signature,,,,,0,1,0,Gb,,,,,,,
16384,note_on,,,,,141,0,2,,,,0,68,82,,
16434,note_on,,,,,50,0,3,,,,1,63,55,,
16452,set_tempo,,,,,0,1,0,,500000,,,,,,
16452,set_tempo,,,,,68,1,0,,491803,,,,,,
16580,set_tempo,,,,,0,1,0,,517241,,,,,,
16580,set_tempo,,,,,128,1,0,,508474,,,,,,
16640,note_on,,,,,256,0,2,,,,0,78,48,,
16640,note_on,,,,,0,0,2,,,,0,80,65,,
16708,set_tempo,,,,,128,1,0,,526315,,,,,,
16708,set_tempo,,,,,0,1,0,,535714,,,,,,
16718,note_on,,,,,284,0,3,,,,1,49,47,,
16736,control_change,,,,,18,0,3,,,,1,,,64,0
16794,note_on,,,,,58,0,3,,,,1,56,48,,
16836,set_tempo,,,,,0,1,0,,555555,,,,,,
16836,set_tempo,,,,,128,1,0,,545454,,,,,,
16870,note_on,,,,,76,0,3,,,,1,59,50,,
16885,control_change,,,,,15,0,3,,,,1,,,64,127
16896,note_on,,,,,0,0,2,,,,0,82,57,,
16896,note_off,,,,,0,0,2,,,,0,80,0,,
16896,note_on,,,,,0,0,2,,,,0,70,82,,
16896,note_off,,,,,0,0,3,,,,1,54,0,,
16896,note_off,,,,,0,0,3,,,,1,63,0,,
16896,note_on,,,,,0,0,2,,,,0,77,50,,
16896,note_off,,,,,0,0,2,,,,0,78,0,,
16896,note_off,,,,,256,0,2,,,,0,68,0,,
16896,note_off,,,,,11,0,3,,,,1,48,0,,
16946,note_on,,,,,50,0,3,,,,1,65,52,,
17152,note_on,,,,,0,0,2,,,,0,68,63,,
17152,note_off,,,,,0,0,2,,,,0,82,0,,
17152,note_off,,,,,0,0,2,,,,0,77,0,,
17152,note_off,,,,,256,0,2,,,,0,70,0,,
17152,note_on,,,,,0,0,2,,,,0,80,38,,
17365,control_change,,,,,419,0,3,,,,1,,,64,0
17408,note_off,,,,,0,0,2,,,,0,80,0,,
17408,note_off,,,,,43,0,3,,,,1,49,0,,
17408,note_off,,,,,0,0,3,,,,1,56,0,,
17408,note_off,,,,,0,0,3,,,,1,59,0,,
17408,note_off,,,,,0,0,3,,,,1,65,0,,
17408,note_on,,,,,0,0,3,,,,1,54,52,,
17408,note_on,,,,,0,0,3,,,,1,58,56,,
17408,note_on,,,,,0,0,2,,,,0,66,67,,
17408,note_off,,,,,256,0,2,,,,0,68,0,,
17621,set_tempo,,,,,0,1,0,,500000,,,,,,
17621,set_tempo,,,,,785,1,0,,500000,,,,,,
17664,note_on,,,,,256,0,2,,,,0,73,32,,
17664,note_on,,,,,0,0,2,,,,0,78,57,,
17920,note_off,,,,,256,0,2,,,,0,66,0,,
17920,note_on,,,,,0,0,2,,,,0,77,37,,
17920,note_off,,,,,0,0,2,,,,0,78,0,,
17920,note_on,,,,,0,0,2,,,,0,65,58,,
17920,note_off,,,,,512,0,3,,,,1,54,0,,
17920,note_off,,,,,0,0,2,,,,0,73,0,,
17920,note_off,,,,,0,0,3,,,,1,58,0,,
17979,note_off,,,,,59,0,2,,,,0,65,0,,
18035,note_off,,,,,56,0,2,,,,0,77,0,,
18176,note_on,,,,,141,0,2,,,,0,66,60,,
18176,note_on,,,,,0,0,2,,,,0,78,47,,
18235,note_off,,,,,59,0,2,,,,0,66,0,,
18291,note_off,,,,,56,0,2,,,,0,78,0,,
18314,set_tempo,,,,,693,1,0,,495867,,,,,,
18314,set_tempo,,,,,0,1,0,,491803,,,,,,
18432,time_signature,2,4,24,8,118,1,0,,,,,,,,
18432,key_signature,,,,,0,1,0,Gb,,,,,,,
18432,note_on,,,,,512,0,3,,,,1,49,55,,
18432,note_on,,,,,141,0,2,,,,0,68,70,,
18655,set_tempo,,,,,223,1,0,,487804,,,,,,
18655,set_tempo,,,,,0,1,0,,483870,,,,,,
18662,note_off,,,,,230,0,3,,,,1,49,0,,
18688,note_on,,,,,0,0,2,,,,0,80,56,,
18688,note_on,,,,,256,0,2,,,,0,77,46,,
18944,note_on,,,,,282,0,3,,,,1,56,45,,
18944,note_off,,,,,0,0,2,,,,0,80,0,,
18944,note_on,,,,,0,0,2,,,,0,70,68,,
18944,note_on,,,,,0,0,2,,,,0,82,61,,
18944,note_on,,,,,0,0,3,,,,1,65,45,,
18944,note_on,,,,,0,0,3,,,,1,61,46,,
18944,note_off,,,,,0,0,2,,,,0,77,0,,
18944,note_off,,,,,256,0,2,,,,0,68,0,,
19003,note_off,,,,,59,0,2,,,,0,70,0,,
19021,note_off,,,,,77,0,3,,,,1,56,0,,
19059,note_off,,,,,56,0,2,,,,0,82,0,,
19098,note_off,,,,,77,0,3,,,,1,61,0,,
19174,note_off,,,,,76,0,3,,,,1,65,0,,
19200,note_on,,,,,0,0,2,,,,0,80,57,,
19200,note_on,,,,,141,0,2,,,,0,68,65,,
19259,note_off,,,,,59,0,2,,,,0,68,0,,
19315,note_off,,,,,56,0,2,,,,0,80,0,,
19456,note_on,,,,,141,0,2,,,,0,68,55,,
19456,note_on,,,,,282,0,3,,,,1,48,58,,
19467,control_change,,,,,11,0,3,,,,1,,,64,127
19686,note_off,,,,,219,0,3,,,,1,48,0,,
19712,note_on,,,,,256,0,2,,,,0,78,53,,
19712,note_on,,,,,0,0,2,,,,0,80,59,,
19968,note_on,,,,,282,0,3,,,,1,56,48,,
19968,note_on,,,,,0,0,2,,,,0,84,62,,
19968,note_off,,,,,0,0,2,,,,0,78,0,,
19968,note_on,,,,,0,0,3,,,,1,66,48,,
19968,note_off,,,,,0,0,2,,,,0,80,0,,
19968,note_on,,,,,0,0,2,,,,0,72,69,,
19968,note_off,,,,,256,0,2,,,,0,68,0,,
19968,note_on,,,,,0,0,3,,,,1,63,48,,
20027,note_off,,,,,59,0,2,,,,0,72,0,,
20045,note_off,,,,,77,0,3,,,,1,56,0,,
20083,note_off,,,,,56,0,2,,,,0,84,0,,
20122,note_off,,,,,77,0,3,,,,1,63,0,,
20198,note_off,,,,,76,0,3,,,,1,66,0,,
20224,note_on,,,,,0,0,2,,,,0,85,66,,
20224,note_on,,,,,141,0,2,,,,0,73,73,,
20283,note_off,,,,,59,0,2,,,,0,73,0,,
20339,note_off,,,,,56,0,2,,,,0,85,0,,
20395,control_change,,,,,197,0,3,,,,1,,,64,0
20480,note_on,,,,,141,0,2,,,,0,75,66,,
20480,time_signature,2,4,24,8,1825,1,0,,,,,,,,
20480,key_signature,,,,,0,1,0,Gb,,,,,,,
20480,note_on,,,,,85,0,3,,,,1,44,63,,
20491,control_change,,,,,11,0,3,,,,1,,,64,127
20710,note_off,,,,,219,0,3,,,,1,44,0,,
20736,note_on,,,,,256,0,2,,,,0,80,67,,
20736,note_on,,,,,0,0,2,,,,0,87,72,,
20992,note_on,,,,,282,0,3,,,,1,56,50,,
20992,note_on,,,,,0,0,3,,,,1,60,48,,
20992,note_on,,,,,0,0,3,,,,1,66,50,,
20992,note_off,,,,,256,0,2,,,,0,75,0,,
20992,note_on,,,,,0,0,2,,,,0,86,63,,
20992,note_on,,,,,0,0,2,,,,0,74,67,,
20992,note_off,,,,,0,0,2,,,,0,87,0,,
20992,note_off,,,,,0,0,2,,,,0,80,0,,
21051,note_off,,,,,59,0,2,,,,0,74,0,,
21069,note_off,,,,,77,0,3,,,,1,56,0,,
21107,note_off,,,,,56,0,2,,,,0,86,0,,
21146,note_off,,,,,77,0,3,,,,1,60,0,,
21222,note_off,,,,,76,0,3,,,,1,66,0,,
21227,control_change,,,,,5,0,3,,,,1,,,64,0
21248,note_on,,,,,0,0,2,,,,0,87,69,,
21248,note_on,,,,,141,0,2,,,,0,75,73,,
21307,note_off,,,,,59,0,2,,,,0,75,0,,
21363,note_off,,,,,56,0,2,,,,0,87,0,,
21504,note_on,,,,,277,0,3,,,,1,49,66,,
21504,note_on,,,,,141,0,2,,,,0,76,73,,
21734,note_off,,,,,230,0,3,,,,1,49,0,,
21760,note_on,,,,,256,0,2,,,,0,82,72,,
21760,note_on,,,,,0,0,2,,,,0,88,77,,
22016,note_on,,,,,282,0,3,,,,1,56,54,,
22016,note_on,,,,,0,0,3,,,,1,61,54,,
22016,note_on,,,,,0,0,3,,,,1,65,54,,
22016,note_on,,,,,0,0,2,,,,0,77,76,,
22016,note_off,,,,,0,0,2,,,,0,88,0,,
