tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,port,program,channel,control,value,note,velocity
4318,note_on,46,0,3,,,,,,,,,0,,,57,0
4320,note_on,2,0,3,,,,,,,,,0,,,54,45
4320,note_on,0,0,2,,,,,,,,,0,,,66,45
4320,note_on,2,0,2,,,,,,,,,0,,,63,45
4366,note_on,46,0,3,,,,,,,,,0,,,54,0
4368,note_on,2,0,3,,,,,,,,,0,,,51,45
4414,note_on,0,0,2,,,,,,,,,0,,,66,0
4414,note_on,46,0,3,,,,,,,,,0,,,51,0
4414,note_on,94,0,2,,,,,,,,,0,,,63,0
4416,note_on,0,0,1,,,,,,,,,0,,,75,45
4416,note_on,192,0,1,,,,,,,,,0,,,73,0
4416,note_on,2,0,3,,,,,,,,,0,,,48,45
4416,note_on,0,0,2,,,,,,,,,0,,,66,45
4416,note_on,2,0,2,,,,,,,,,0,,,63,45
4510,note_on,0,0,2,,,,,,,,,0,,,66,0
4510,note_on,94,0,2,,,,,,,,,0,,,63,0
4512,note_on,0,0,2,,,,,,,,,0,,,66,45
4512,note_on,2,0,2,,,,,,,,,0,,,63,45
4576,note_on,160,0,3,,,,,,,,,0,,,48,0
4606,note_on,0,0,2,,,,,,,,,0,,,66,0
4606,note_on,94,0,2,,,,,,,,,0,,,63,0
4608,note_on,0,0,1,,,,,,,,,0,,,68,45
4608,note_on,0,0,2,,,,,,,,,0,,,66,45
4608,note_on,192,0,1,,,,,,,,,0,,,75,0
4608,note_on,2,0,2,,,,,,,,,0,,,63,45
4702,note_on,94,0,2,,,,,,,,,0,,,63,0
4702,note_on,0,0,2,,,,,,,,,0,,,66,0
4704,note_on,0,0,2,,,,,,,,,0,,,66,45
4704,note_on,128,0,3,,,,,,,,,0,,,43,63
4704,note_on,2,0,2,,,,,,,,,0,,,63,45
4752,note_on,48,0,3,,,,,,,,,0,,,43,0
4752,note_on,0,0,3,,,,,,,,,0,,,44,45
4798,note_on,94,0,2,,,,,,,,,0,,,63,0
4798,note_on,0,0,2,,,,,,,,,0,,,66,0
4800,note_on,2,0,2,,,,,,,,,0,,,60,45
4800,note_on,0,0,2,,,,,,,,,0,,,66,45
4800,note_on,48,0,3,,,,,,,,,0,,,44,0
4800,note_on,0,0,3,,,,,,,,,0,,,47,48
4808,note_on,0,0,3,,,,,,,,,0,,,45,48
4808,note_on,8,0,3,,,,,,,,,0,,,47,0
4848,note_on,40,0,3,,,,,,,,,0,,,45,0
4848,note_on,0,0,3,,,,,,,,,0,,,44,50
4894,note_on,0,0,2,,,,,,,,,0,,,66,0
4894,note_on,94,0,2,,,,,,,,,0,,,60,0
4896,note_on,0,0,2,,,,,,,,,0,,,66,45
4896,note_on,0,0,3,,,,,,,,,0,,,49,53
4896,note_on,48,0,3,,,,,,,,,0,,,44,0
4896,note_on,2,0,2,,,,,,,,,0,,,60,45
4912,note_on,304,0,1,,,,,,,,,0,,,68,0
4944,note_on,32,0,1,,,,,,,,,0,,,68,45
4944,note_on,0,0,3,,,,,,,,,0,,,51,56
4944,note_on,48,0,3,,,,,,,,,0,,,49,0
4990,note_on,0,0,2,,,,,,,,,0,,,66,0
4990,note_on,94,0,2,,,,,,,,,0,,,60,0
4992,note_on,0,0,1,,,,,,,,,0,,,68,45
4992,note_on,48,0,1,,,,,,,,,0,,,68,0
4992,note_on,0,0,3,,,,,,,,,0,,,52,60
4992,note_on,48,0,3,,,,,,,,,0,,,51,0
5088,note_on,98,0,2,,,,,,,,,0,,,61,45
5182,note_on,94,0,2,,,,,,,,,0,,,61,0
5184,note_on,192,0,1,,,,,,,,,0,,,68,0
5184,note_on,0,0,3,,,,,,,,,0,,,40,45
5184,note_on,192,0,3,,,,,,,,,0,,,52,0
5184,note_on,2,0,2,,,,,,,,,0,,,61,45
5184,note_on,0,0,2,,,,,,,,,0,,,64,45
5184,note_on,0,0,1,,,,,,,,,0,,,73,45
5278,note_on,0,0,2,,,,,,,,,0,,,64,0
5278,note_on,94,0,2,,,,,,,,,0,,,61,0
5280,note_on,2,0,2,,,,,,,,,0,,,61,45
5280,note_on,0,0,2,,,,,,,,,0,,,64,45
5344,note_on,160,0,3,,,,,,,,,0,,,40,0
5374,note_on,0,0,2,,,,,,,,,0,,,64,0
5374,note_on,94,0,2,,,,,,,,,0,,,61,0
5376,note_on,0,0,2,,,,,,,,,0,,,64,45
5376,note_on,2,0,2,,,,,,,,,0,,,61,45
5376,note_on,192,0,1,,,,,,,,,0,,,73,0
5376,note_on,32,0,3,,,,,,,,,0,,,56,45
5376,note_on,0,0,1,,,,,,,,,0,,,71,45
5470,note_on,94,0,2,,,,,,,,,0,,,61,0
5470,note_on,0,0,2,,,,,,,,,0,,,64,0
5472,note_on,2,0,2,,,,,,,,,0,,,61,45
5472,note_on,0,0,2,,,,,,,,,0,,,64,45
5520,note_on,144,0,3,,,,,,,,,0,,,56,0
5520,note_on,0,0,3,,,,,,,,,0,,,56,45
5566,note_on,94,0,2,,,,,,,,,0,,,61,0
5566,note_on,0,0,2,,,,,,,,,0,,,64,0
5568,note_on,192,0,1,,,,,,,,,0,,,71,0
5568,note_on,0,0,1,,,,,,,,,0,,,71,45
5568,note_on,0,0,3,,,,,,,,,0,,,56,45
5568,note_on,0,0,2,,,,,,,,,0,,,64,45
5568,note_on,2,0,2,,,,,,,,,0,,,61,45
5568,note_on,48,0,3,,,,,,,,,0,,,56,0
5662,note_on,0,0,2,,,,,,,,,0,,,64,0
5662,note_on,94,0,2,,,,,,,,,0,,,61,0
5664,note_on,0,0,2,,,,,,,,,0,,,64,45
5664,note_on,2,0,2,,,,,,,,,0,,,61,45
5728,note_on,160,0,3,,,,,,,,,0,,,56,0
5758,note_on,0,0,2,,,,,,,,,0,,,64,0
5758,note_on,94,0,2,,,,,,,,,0,,,61,0
5760,note_on,0,0,1,,,,,,,,,0,,,69,45
5760,note_on,192,0,1,,,,,,,,,0,,,71,0
5760,note_on,0,0,2,,,,,,,,,0,,,64,45
5760,note_on,32,0,3,,,,,,,,,0,,,42,45
5760,note_on,2,0,2,,,,,,,,,0,,,61,45
5824,note_on,0,0,3,,,,,,,,,0,,,49,45
5824,note_on,64,0,3,,,,,,,,,0,,,42,0
5854,note_on,94,0,2,,,,,,,,,0,,,61,0
5854,note_on,0,0,2,,,,,,,,,0,,,64,0
5856,note_on,0,0,2,,,,,,,,,0,,,64,45
5856,note_on,2,0,2,,,,,,,,,0,,,61,45
5888,note_on,0,0,3,,,,,,,,,0,,,54,45
5888,note_on,64,0,3,,,,,,,,,0,,,49,0
5950,note_on,94,0,2,,,,,,,,,0,,,61,0
5950,note_on,0,0,2,,,,,,,,,0,,,64,0
5952,note_on,0,0,2,,,,,,,,,0,,,64,45
5952,note_on,2,0,2,,,,,,,,,0,,,61,45
5952,note_on,0,0,1,,,,,,,,,0,,,68,45
5952,note_on,192,0,1,,,,,,,,,0,,,69,0
5952,note_on,0,0,3,,,,,,,,,0,,,56,45
5952,note_on,64,0,3,,,,,,,,,0,,,54,0
6016,note_on,64,0,3,,,,,,,,,0,,,56,0
6016,note_on,0,0,3,,,,,,,,,0,,,59,45
6046,note_on,94,0,2,,,,,,,,,0,,,61,0
6046,note_on,0,0,2,,,,,,,,,0,,,64,0
6048,note_on,2,0,2,,,,,,,,,0,,,61,45
6048,note_on,0,0,2,,,,,,,,,0,,,64,45
6080,note_on,64,0,3,,,,,,,,,0,,,59,0
6080,note_on,0,0,3,,,,,,,,,0,,,57,45
6142,note_on,94,0,2,,,,,,,,,0,,,61,0
6142,note_on,0,0,2,,,,,,,,,0,,,64,0
6144,note_on,2,0,2,,,,,,,,,0,,,61,45
6144,note_on,0,0,2,,,,,,,,,0,,,63,45
6144,note_on,0,0,1,,,,,,,,,0,,,68,45
6144,note_on,192,0,1,,,,,,,,,0,,,68,0
6144,note_on,64,0,3,,,,,,,,,0,,,57,0
6144,note_on,0,0,3,,,,,,,,,0,,,57,75
6238,note_on,0,0,2,,,,,,,,,0,,,63,0
6238,note_on,94,0,2,,,,,,,,,0,,,61,0
6240,note_on,0,0,2,,,,,,,,,0,,,63,45
6240,note_on,2,0,2,,,,,,,,,0,,,61,45
6334,note_on,0,0,2,,,,,,,,,0,,,63,0
6334,note_on,94,0,2,,,,,,,,,0,,,61,0
6336,note_on,0,0,3,,,,,,,,,0,,,48,60
6336,note_on,0,0,2,,,,,,,,,0,,,63,45
6336,note_on,2,0,2,,,,,,,,,0,,,57,45
6336,note_on,192,0,1,,,,,,,,,0,,,68,0
6336,note_on,192,0,3,,,,,,,,,0,,,57,0
6336,note_on,0,0,1,,,,,,,,,0,,,66,45
6430,note_on,0,0,2,,,,,,,,,0,,,63,0
6430,note_on,94,0,2,,,,,,,,,0,,,57,0
6432,note_on,0,0,2,,,,,,,,,0,,,63,45
6432,note_on,2,0,2,,,,,,,,,0,,,56,45
6526,note_on,94,0,2,,,,,,,,,0,,,56,0
6526,note_on,0,0,2,,,,,,,,,0,,,63,0
6528,note_on,0,0,3,,,,,,,,,0,,,49,53
6528,note_on,0,0,1,,,,,,,,,0,,,66,45
6528,note_on,192,0,1,,,,,,,,,0,,,66,0
6528,note_on,192,0,3,,,,,,,,,0,,,48,0
6528,note_on,0,0,2,,,,,,,,,0,,,61,45
6528,note_on,2,0,2,,,,,,,,,0,,,56,45
6536,note_on,0,0,3,,,,,,,,,0,,,51,53
6536,note_on,8,0,3,,,,,,,,,0,,,49,0
6544,note_on,0,0,3,,,,,,,,,0,,,49,53
6544,note_on,8,0,3,,,,,,,,,0,,,51,0
6552,note_on,0,0,3,,,,,,,,,0,,,51,53
6552,note_on,8,0,3,,,,,,,,,0,,,49,0
6560,note_on,0,0,3,,,,,,,,,0,,,49,53
6560,note_on,8,0,3,,,,,,,,,0,,,51,0
6568,note_on,0,0,3,,,,,,,,,0,,,51,53
6568,note_on,8,0,3,,,,,,,,,0,,,49,0
6576,note_on,8,0,3,,,,,,,,,0,,,51,0
6576,note_on,0,0,3,,,,,,,,,0,,,49,53
6584,note_on,0,0,3,,,,,,,,,0,,,51,53
6584,note_on,8,0,3,,,,,,,,,0,,,49,0
6592,note_on,0,0,3,,,,,,,,,0,,,49,53
6592,note_on,8,0,3,,,,,,,,,0,,,51,0
6600,note_on,8,0,3,,,,,,,,,0,,,49,0
6600,note_on,0,0,3,,,,,,,,,0,,,51,53
6608,note_on,8,0,3,,,,,,,,,0,,,51,0
6608,note_on,0,0,3,,,,,,,,,0,,,49,53
6616,note_on,0,0,3,,,,,,,,,0,,,51,53
6616,note_on,8,0,3,,,,,,,,,0,,,49,0
6622,note_on,0,0,2,,,,,,,,,0,,,61,0
6622,note_on,94,0,2,,,,,,,,,0,,,56,0
6624,note_on,0,0,1,,,,,,,,,0,,,64,45
6624,note_on,2,0,2,,,,,,,,,0,,,56,45
6624,note_on,0,0,3,,,,,,,,,0,,,48,53
6624,note_on,8,0,3,,,,,,,,,0,,,51,0
6624,note_on,96,0,1,,,,,,,,,0,,,66,0
6624,note_on,0,0,2,,,,,,,,,0,,,61,45
6648,note_on,24,0,3,,,,,,,,,0,,,48,0
6648,note_on,0,0,3,,,,,,,,,0,,,49,51
6672,note_on,24,0,3,,,,,,,,,0,,,49,0
6672,note_on,0,0,3,,,,,,,,,0,,,51,49
6696,note_on,24,0,3,,,,,,,,,0,,,51,0
6696,note_on,0,0,3,,,,,,,,,0,,,52,47
6718,note_on,0,0,2,,,,,,,,,0,,,61,0
6718,note_on,94,0,2,,,,,,,,,0,,,56,0
6720,note_on,2,0,2,,,,,,,,,0,,,56,45
6720,note_on,0,0,2,,,,,,,,,0,,,60,45
6720,note_on,24,0,3,,,,,,,,,0,,,52,0
6720,note_on,0,0,1,,,,,,,,,0,,,64,45
6720,note_on,0,0,3,,,,,,,,,0,,,44,45
6720,note_on,96,0,1,,,,,,,,,0,,,64,0
6814,note_on,0,0,2,,,,,,,,,0,,,60,0
6814,note_on,94,0,2,,,,,,,,,0,,,56,0
6816,note_on,96,0,1,,,,,,,,,0,,,64,0
6816,note_on,0,0,1,,,,,,,,,0,,,63,45
6816,note_on,2,0,2,,,,,,,,,0,,,56,45
6816,note_on,0,0,2,,,,,,,,,0,,,60,45
6880,note_on,160,0,3,,,,,,,,,0,,,44,0
6910,note_on,94,0,1,,,,,,,,,0,,,63,0
6910,note_on,0,0,2,,,,,,,,,0,,,60,0
6910,note_on,94,0,2,,,,,,,,,0,,,56,0
6912,note_on,2,0,2,,,,,,,,,0,,,56,45
6912,note_on,32,0,3,,,,,,,,,0,,,43,63
6912,note_on,0,0,2,,,,,,,,,0,,,68,45
6960,note_on,48,0,3,,,,,,,,,0,,,43,0
6960,note_on,0,0,3,,,,,,,,,0,,,44,46
7006,note_on,0,0,2,,,,,,,,,0,,,68,0
7006,note_on,94,0,2,,,,,,,,,0,,,56,0
7008,note_on,0,0,2,,,,,,,,,0,,,68,45
7008,note_on,2,0,2,,,,,,,,,0,,,56,45
7008,note_on,48,0,3,,,,,,,,,0,,,44,0
7008,note_on,0,0,3,,,,,,,,,0,,,48,48
7056,note_on,48,0,3,,,,,,,,,0,,,48,0
7056,note_on,0,0,3,,,,,,,,,0,,,51,50
7102,note_on,0,0,2,,,,,,,,,0,,,68,0
7102,note_on,94,0,2,,,,,,,,,0,,,56,0
7104,note_on,2,0,2,,,,,,,,,0,,,63,45
7104,note_on,0,0,3,,,,,,,,,0,,,55,52
7104,note_on,0,0,2,,,,,,,,,0,,,68,45
7104,note_on,48,0,3,,,,,,,,,0,,,51,0
7104,note_on,0,0,2,,,,,,,,,0,,,66,45
7152,note_on,48,0,3,,,,,,,,,0,,,55,0
7152,note_on,0,0,3,,,,,,,,,0,,,56,54
7198,note_on,94,0,2,,,,,,,,,0,,,63,0
7198,note_on,0,0,2,,,,,,,,,0,,,66,0
7198,note_on,0,0,2,,,,,,,,,0,,,68,0
7200,note_on,2,0,2,,,,,,,,,0,,,63,45
7200,note_on,0,0,2,,,,,,,,,0,,,66,45
7200,note_on,0,0,2,,,,,,,,,0,,,68,45
7200,note_on,48,0,3,,,,,,,,,0,,,56,0
7200,note_on,0,0,3,,,,,,,,,0,,,59,56
7208,note_on,0,0,3,,,,,,,,,0,,,57,56
7208,note_on,8,0,3,,,,,,,,,0,,,59,0
7272,note_on,0,0,3,,,,,,,,,0,,,56,58
7272,note_on,64,0,3,,,,,,,,,0,,,57,0
7294,note_on,0,0,2,,,,,,,,,0,,,66,0
7294,note_on,0,0,2,,,,,,,,,0,,,68,0
7294,note_on,22,0,3,,,,,,,,,0,,,56,0
7294,note_on,94,0,2,,,,,,,,,0,,,63,0
7296,note_on,2,0,3,,,,,,,,,0,,,52,60
7304,note_on,0,0,3,,,,,,,,,0,,,64,75
7304,note_on,8,0,3,,,,,,,,,0,,,52,0
7392,note_on,98,0,2,,,,,,,,,0,,,68,45
7392,note_on,0,0,2,,,,,,,,,0,,,73,45
7486,note_on,94,0,2,,,,,,,,,0,,,68,0
7486,note_on,0,0,2,,,,,,,,,0,,,73,0
7488,note_on,0,0,2,,,,,,,,,0,,,73,45
7488,note_on,2,0,2,,,,,,,,,0,,,68,45
7582,note_on,94,0,2,,,,,,,,,0,,,68,0
7582,note_on,0,0,2,,,,,,,,,0,,,73,0
7584,note_on,2,0,2,,,,,,,,,0,,,68,45
7584,note_on,0,0,2,,,,,,,,,0,,,73,45
7678,note_on,94,0,2,,,,,,,,,0,,,68,0
7678,note_on,0,0,2,,,,,,,,,0,,,73,0
7680,note_on,0,0,2,,,,,,,,,0,,,73,45
7680,note_on,376,0,3,,,,,,,,,0,,,64,0
7680,note_on,2,0,2,,,,,,,,,0,,,68,45
7680,note_on,0,0,3,,,,,,,,,0,,,63,60
7774,note_on,94,0,2,,,,,,,,,0,,,68,0
7774,note_on,0,0,2,,,,,,,,,0,,,73,0
7776,note_on,2,0,2,,,,,,,,,0,,,68,45
7776,note_on,0,0,2,,,,,,,,,0,,,73,45
7824,note_on,0,0,3,,,,,,,,,0,,,61,49
7824,note_on,144,0,3,,,,,,,,,0,,,63,0
7870,note_on,94,0,2,,,,,,,,,0,,,68,0
7870,note_on,0,0,2,,,,,,,,,0,,,73,0
7872,note_on,962,0,1,,,,,,,,,0,,,76,45
7872,note_on,0,0,3,,,,,,,,,0,,,61,60
7872,note_on,2,0,2,,,,,,,,,0,,,64,45
7872,note_on,48,0,3,,,,,,,,,0,,,61,0
7872,note_on,0,0,2,,,,,,,,,0,,,69,45
7966,note_on,94,0,2,,,,,,,,,0,,,64,0
7966,note_on,0,0,2,,,,,,,,,0,,,69,0
7968,note_on,2,0,2,,,,,,,,,0,,,64,45
7968,note_on,0,0,2,,,,,,,,,0,,,69,45
8062,note_on,0,0,2,,,,,,,,,0,,,69,0
8062,note_on,94,0,2,,,,,,,,,0,,,64,0
8064,note_on,0,0,2,,,,,,,,,0,,,69,45
8064,note_on,2,0,2,,,,,,,,,0,,,64,45
8158,note_on,94,0,2,,,,,,,,,0,,,64,0
8158,note_on,0,0,2,,,,,,,,,0,,,69,0
8160,note_on,2,0,2,,,,,,,,,0,,,64,45
8160,note_on,0,0,2,,,,,,,,,0,,,69,45
8184,note_on,0,0,3,,,,,,,,,0,,,60,57
8184,note_on,312,0,3,,,,,,,,,0,,,61,0
8208,note_on,24,0,3,,,,,,,,,0,,,60,0
