tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,data,note,velocity
949,note_on,,,,,49,0,2,,,,,1,,,,49,0
958,note_on,,,,,28,0,1,,,,,0,,,,68,0
960,note_on,,,,,11,0,2,,,,,1,,,,65,53
960,note_on,,,,,0,0,2,,,,,1,,,,56,54
960,note_on,,,,,2,0,1,,,,,0,,,,72,76
960,note_on,,,,,0,0,2,,,,,1,,,,61,51
960,control_change,,,,,0,0,2,,,,,1,64,0,,,
960,control_change,,,,,0,0,1,,,,,0,64,0,,,
989,note_on,,,,,29,0,1,,,,,0,,,,72,0
990,note_on,,,,,1,0,1,,,,,0,,,,70,73
1009,note_on,,,,,49,0,2,,,,,1,,,,61,0
1010,note_on,,,,,0,0,2,,,,,1,,,,65,0
1010,note_on,,,,,1,0,2,,,,,1,,,,56,0
1017,note_on,,,,,27,0,1,,,,,0,,,,70,0
1020,note_on,,,,,0,0,2,,,,,1,,,,56,50
1020,note_on,,,,,0,0,2,,,,,1,,,,61,54
1020,note_on,,,,,10,0,2,,,,,1,,,,65,51
1020,note_on,,,,,3,0,1,,,,,0,,,,67,77
1049,note_on,,,,,29,0,1,,,,,0,,,,67,0
1050,note_on,,,,,1,0,1,,,,,0,,,,68,74
1068,note_on,,,,,48,0,2,,,,,1,,,,56,0
1068,note_on,,,,,0,0,2,,,,,1,,,,65,0
1070,note_on,,,,,2,0,2,,,,,1,,,,61,0
1077,note_on,,,,,27,0,1,,,,,0,,,,68,0
1080,control_change,,,,,0,0,2,,,,,1,64,127,,,
1080,note_on,,,,,10,0,2,,,,,1,,,,53,56
1080,note_on,,,,,3,0,1,,,,,0,,,,72,80
1080,control_change,,,,,0,0,1,,,,,0,64,127,,,
1109,note_on,,,,,29,0,1,,,,,0,,,,72,0
1110,note_on,,,,,1,0,1,,,,,0,,,,70,79
1130,note_on,,,,,50,0,2,,,,,1,,,,53,0
1138,note_on,,,,,28,0,1,,,,,0,,,,70,0
1140,control_change,,,,,0,0,1,,,,,0,64,0,,,
1140,note_on,,,,,2,0,1,,,,,0,,,,67,84
1140,note_on,,,,,0,0,2,,,,,1,,,,56,53
1140,note_on,,,,,10,0,2,,,,,1,,,,65,54
1140,control_change,,,,,0,0,2,,,,,1,64,0,,,
1140,note_on,,,,,0,0,2,,,,,1,,,,61,58
1170,note_on,,,,,0,0,1,,,,,0,,,,68,80
1170,note_on,,,,,30,0,1,,,,,0,,,,67,0
1188,note_on,,,,,48,0,2,,,,,1,,,,56,0
1189,note_on,,,,,1,0,2,,,,,1,,,,65,0
1191,note_on,,,,,2,0,2,,,,,1,,,,61,0
1197,note_on,,,,,27,0,1,,,,,0,,,,68,0
1200,note_on,,,,,0,0,2,,,,,1,,,,56,55
1200,note_on,,,,,9,0,2,,,,,1,,,,65,54
1200,note_on,,,,,3,0,1,,,,,0,,,,72,81
1200,note_on,,,,,0,0,2,,,,,1,,,,61,57
1227,note_on,,,,,27,0,1,,,,,0,,,,72,0
1230,note_on,,,,,3,0,1,,,,,0,,,,70,85
1248,note_on,,,,,48,0,2,,,,,1,,,,65,0
1249,note_on,,,,,1,0,2,,,,,1,,,,56,0
1250,note_on,,,,,1,0,2,,,,,1,,,,61,0
1259,note_on,,,,,29,0,1,,,,,0,,,,70,0
1260,control_change,,,,,0,0,1,,,,,0,64,127,,,
1260,note_on,,,,,1,0,1,,,,,0,,,,67,84
1260,control_change,,,,,0,0,2,,,,,1,64,127,,,
1260,note_on,,,,,10,0,2,,,,,1,,,,49,59
1288,note_on,,,,,28,0,1,,,,,0,,,,67,0
1290,note_on,,,,,2,0,1,,,,,0,,,,68,88
1310,note_on,,,,,50,0,2,,,,,1,,,,49,0
1319,note_on,,,,,29,0,1,,,,,0,,,,68,0
1320,note_on,,,,,10,0,2,,,,,1,,,,65,56
1320,control_change,,,,,0,0,2,,,,,1,64,0,,,
1320,note_on,,,,,1,0,1,,,,,0,,,,72,85
1320,note_on,,,,,0,0,2,,,,,1,,,,56,55
1320,control_change,,,,,0,0,1,,,,,0,64,0,,,
1320,note_on,,,,,0,0,2,,,,,1,,,,61,59
1347,note_on,,,,,27,0,1,,,,,0,,,,72,0
1350,note_on,,,,,3,0,1,,,,,0,,,,70,89
1368,note_on,,,,,0,0,2,,,,,1,,,,65,0
1368,note_on,,,,,48,0,2,,,,,1,,,,56,0
1370,note_on,,,,,2,0,2,,,,,1,,,,61,0
1379,note_on,,,,,29,0,1,,,,,0,,,,70,0
1380,note_on,,,,,0,0,2,,,,,1,,,,56,62
1380,note_on,,,,,10,0,2,,,,,1,,,,65,61
1380,note_on,,,,,0,0,2,,,,,1,,,,61,58
1380,note_on,,,,,1,0,1,,,,,0,,,,67,86
1407,note_on,,,,,27,0,1,,,,,0,,,,67,0
1410,note_on,,,,,3,0,1,,,,,0,,,,68,92
1429,note_on,,,,,49,0,2,,,,,1,,,,61,0
1430,note_on,,,,,1,0,2,,,,,1,,,,65,0
1431,note_on,,,,,1,0,2,,,,,1,,,,56,0
1439,note_on,,,,,29,0,1,,,,,0,,,,68,0
1440,note_on,,,,,9,0,2,,,,,1,,,,53,58
1440,control_change,,,,,0,0,2,,,,,1,64,127,,,
1440,control_change,,,,,0,0,1,,,,,0,64,127,,,
1440,note_on,,,,,1,0,1,,,,,0,,,,70,90
1468,note_on,,,,,28,0,1,,,,,0,,,,70,0
1470,note_on,,,,,2,0,1,,,,,0,,,,72,95
1488,note_on,,,,,48,0,2,,,,,1,,,,53,0
1500,note_on,,,,,12,0,2,,,,,1,,,,65,59
1500,control_change,,,,,0,0,2,,,,,1,64,0,,,
1500,note_on,,,,,30,0,1,,,,,0,,,,72,0
1500,note_on,,,,,0,0,1,,,,,0,,,,73,91
1500,control_change,,,,,0,0,1,,,,,0,64,0,,,
1500,note_on,,,,,0,0,2,,,,,1,,,,56,60
1500,note_on,,,,,0,0,2,,,,,1,,,,61,62
1527,note_on,,,,,27,0,1,,,,,0,,,,73,0
1530,note_on,,,,,3,0,1,,,,,0,,,,75,92
1548,note_on,,,,,48,0,2,,,,,1,,,,65,0
1549,note_on,,,,,1,0,2,,,,,1,,,,56,0
1550,note_on,,,,,1,0,2,,,,,1,,,,61,0
1557,note_on,,,,,27,0,1,,,,,0,,,,75,0
1560,note_on,,,,,0,0,2,,,,,1,,,,56,63
1560,note_on,,,,,0,0,2,,,,,1,,,,61,60
1560,note_on,,,,,10,0,2,,,,,1,,,,65,64
1560,note_on,,,,,3,0,1,,,,,0,,,,77,96
1565,set_tempo,,,,,845,1,0,,430108,,,,,,,,
1589,note_on,,,,,29,0,1,,,,,0,,,,77,0
1590,note_on,,,,,1,0,1,,,,,0,,,,78,95
1608,note_on,,,,,48,0,2,,,,,1,,,,61,0
1610,note_on,,,,,2,0,2,,,,,1,,,,56,0
1610,note_on,,,,,0,0,2,,,,,1,,,,65,0
1618,note_on,,,,,28,0,1,,,,,0,,,,78,0
1620,control_change,,,,,0,0,1,,,,,0,64,127,,,
1620,note_on,,,,,2,0,1,,,,,0,,,,82,100
1620,note_on,,,,,10,0,2,,,,,1,,,,44,60
1620,control_change,,,,,0,0,2,,,,,1,64,127,,,
1668,note_on,,,,,48,0,2,,,,,1,,,,44,0
1680,note_on,,,,,0,0,2,,,,,1,,,,56,62
1680,note_on,,,,,0,0,2,,,,,1,,,,66,58
1680,note_on,,,,,12,0,2,,,,,1,,,,60,61
1682,set_tempo,,,,,117,1,0,,461538,,,,,,,,
1685,set_tempo,,,,,3,1,0,,491803,,,,,,,,
1709,note_on,,,,,89,0,1,,,,,0,,,,82,0
1710,note_on,,,,,1,0,1,,,,,0,,,,80,84
1729,note_on,,,,,49,0,2,,,,,1,,,,66,0
1730,note_on,,,,,1,0,2,,,,,1,,,,60,0
1731,note_on,,,,,1,0,2,,,,,1,,,,56,0
1737,note_on,,,,,27,0,1,,,,,0,,,,80,0
1740,note_on,,,,,0,0,2,,,,,1,,,,56,56
1740,note_on,,,,,0,0,2,,,,,1,,,,60,53
1740,note_on,,,,,9,0,2,,,,,1,,,,66,53
1740,note_on,,,,,3,0,1,,,,,0,,,,78,83
1740,control_change,,,,,0,0,1,,,,,0,64,0,,,
1740,control_change,,,,,0,0,2,,,,,1,64,0,,,
1769,note_on,,,,,29,0,1,,,,,0,,,,78,0
1770,note_on,,,,,1,0,1,,,,,0,,,,77,75
1788,note_on,,,,,48,0,2,,,,,1,,,,60,0
1788,note_on,,,,,0,0,2,,,,,1,,,,66,0
1790,note_on,,,,,2,0,2,,,,,1,,,,56,0
1797,note_on,,,,,27,0,1,,,,,0,,,,77,0
1800,note_on,,,,,3,0,1,,,,,0,,,,77,76
1800,note_on,,,,,10,0,2,,,,,1,,,,51,50
1829,note_on,,,,,29,0,1,,,,,0,,,,77,0
1830,note_on,,,,,1,0,1,,,,,0,,,,75,69
1849,note_on,,,,,49,0,2,,,,,1,,,,51,0
1858,note_on,,,,,28,0,1,,,,,0,,,,75,0
1860,note_on,,,,,0,0,2,,,,,1,,,,60,45
1860,note_on,,,,,2,0,1,,,,,0,,,,75,69
1860,note_on,,,,,0,0,2,,,,,1,,,,56,48
1860,note_on,,,,,11,0,2,,,,,1,,,,66,49
1870,note_on,,,,,0,0,1,,,,,0,,,,77,63
1870,note_on,,,,,10,0,1,,,,,0,,,,75,0
1877,note_on,,,,,7,0,1,,,,,0,,,,77,0
1880,note_on,,,,,3,0,1,,,,,0,,,,75,62
1887,note_on,,,,,7,0,1,,,,,0,,,,75,0
1890,note_on,,,,,3,0,1,,,,,0,,,,74,63
1908,note_on,,,,,48,0,2,,,,,1,,,,60,0
1910,note_on,,,,,2,0,2,,,,,1,,,,56,0
1910,note_on,,,,,0,0,2,,,,,1,,,,66,0
1917,set_tempo,,,,,232,1,0,,481928,,,,,,,,
1919,note_on,,,,,29,0,1,,,,,0,,,,74,0
1920,note_on,,,,,0,0,2,,,,,1,,,,56,62
1920,note_on,,,,,10,0,2,,,,,1,,,,66,60
1920,note_on,,,,,1,0,1,,,,,0,,,,75,92
1920,note_on,,,,,0,0,2,,,,,1,,,,60,65
1968,note_on,,,,,48,0,2,,,,,1,,,,66,0
1969,note_on,,,,,1,0,2,,,,,1,,,,56,0
1970,note_on,,,,,1,0,2,,,,,1,,,,60,0
1978,note_on,,,,,58,0,1,,,,,0,,,,75,0
1980,note_on,,,,,10,0,2,,,,,1,,,,44,64
1980,note_on,,,,,2,0,1,,,,,0,,,,82,90
1980,control_change,,,,,0,0,2,,,,,1,64,127,,,
1980,control_change,,,,,0,0,1,,,,,0,64,127,,,
2031,note_on,,,,,51,0,2,,,,,1,,,,44,0
2040,note_on,,,,,0,0,2,,,,,1,,,,60,56
2040,note_on,,,,,9,0,2,,,,,1,,,,66,56
2069,note_on,,,,,89,0,1,,,,,0,,,,82,0
2070,note_on,,,,,1,0,1,,,,,0,,,,80,77
2088,note_on,,,,,48,0,2,,,,,1,,,,60,0
2088,note_on,,,,,0,0,2,,,,,1,,,,66,0
2097,note_on,,,,,27,0,1,,,,,0,,,,80,0
2100,note_on,,,,,3,0,1,,,,,0,,,,78,77
2100,note_on,,,,,12,0,2,,,,,1,,,,66,56
2100,note_on,,,,,0,0,2,,,,,1,,,,60,54
2129,note_on,,,,,29,0,1,,,,,0,,,,78,0
2130,note_on,,,,,1,0,1,,,,,0,,,,77,70
2149,note_on,,,,,49,0,2,,,,,1,,,,60,0
2150,note_on,,,,,1,0,2,,,,,1,,,,66,0
2157,note_on,,,,,27,0,1,,,,,0,,,,77,0
2160,note_on,,,,,3,0,1,,,,,0,,,,77,73
2160,control_change,,,,,0,0,1,,,,,0,64,0,,,
2160,control_change,,,,,0,0,2,,,,,1,64,0,,,
2160,note_on,,,,,10,0,2,,,,,1,,,,56,54
2189,note_on,,,,,29,0,1,,,,,0,,,,77,0
2190,note_on,,,,,1,0,1,,,,,0,,,,75,67
2198,note_on,,,,,8,0,1,,,,,0,,,,75,0
2200,note_on,,,,,2,0,1,,,,,0,,,,77,70
2210,note_on,,,,,0,0,1,,,,,0,,,,75,64
2210,note_on,,,,,10,0,1,,,,,0,,,,77,0
2210,note_on,,,,,50,0,2,,,,,1,,,,56,0
2217,note_on,,,,,7,0,1,,,,,0,,,,75,0
2220,note_on,,,,,10,0,2,,,,,1,,,,66,47
2220,note_on,,,,,0,0,2,,,,,1,,,,60,50
2220,note_on,,,,,3,0,1,,,,,0,,,,74,63
2247,note_on,,,,,27,0,1,,,,,0,,,,74,0
2250,note_on,,,,,3,0,1,,,,,0,,,,75,63
2268,note_on,,,,,48,0,2,,,,,1,,,,66,0
2270,note_on,,,,,2,0,2,,,,,1,,,,60,0
2279,note_on,,,,,29,0,1,,,,,0,,,,75,0
2280,note_on,,,,,1,0,1,,,,,0,,,,77,58
2280,note_on,,,,,0,0,2,,,,,1,,,,60,48
2280,note_on,,,,,10,0,2,,,,,1,,,,66,43
2308,note_on,,,,,28,0,1,,,,,0,,,,77,0
2310,note_on,,,,,2,0,1,,,,,0,,,,70,58
2328,note_on,,,,,48,0,2,,,,,1,,,,66,0
2330,note_on,,,,,2,0,2,,,,,1,,,,60,0
2339,note_on,,,,,29,0,1,,,,,0,,,,70,0
2340,control_change,,,,,0,0,2,,,,,1,64,127,,,
2340,note_on,,,,,10,0,2,,,,,1,,,,49,42
2340,note_on,,,,,1,0,1,,,,,0,,,,67,56
2340,control_change,,,,,0,0,1,,,,,0,64,127,,,
2367,note_on,,,,,27,0,1,,,,,0,,,,67,0
2370,note_on,,,,,3,0,1,,,,,0,,,,68,60
2389,note_on,,,,,49,0,2,,,,,1,,,,49,0
2399,note_on,,,,,29,0,1,,,,,0,,,,68,0
2400,control_change,,,,,0,0,1,,,,,0,64,0,,,
2400,control_change,,,,,0,0,2,,,,,1,64,0,,,
2400,note_on,,,,,0,0,2,,,,,1,,,,56,42
2400,note_on,,,,,0,0,2,,,,,1,,,,61,42
2400,note_on,,,,,11,0,2,,,,,1,,,,65,47
2400,note_on,,,,,1,0,1,,,,,0,,,,72,58
2427,note_on,,,,,27,0,1,,,,,0,,,,72,0
2430,note_on,,,,,3,0,1,,,,,0,,,,70,65
2448,note_on,,,,,48,0,2,,,,,1,,,,56,0
2448,note_on,,,,,0,0,2,,,,,1,,,,61,0
2451,note_on,,,,,3,0,2,,,,,1,,,,65,0
2459,note_on,,,,,29,0,1,,,,,0,,,,70,0
2460,note_on,,,,,1,0,1,,,,,0,,,,67,63
2460,note_on,,,,,9,0,2,,,,,1,,,,65,47
2460,note_on,,,,,0,0,2,,,,,1,,,,61,45
2460,note_on,,,,,0,0,2,,,,,1,,,,56,48
2488,note_on,,,,,28,0,1,,,,,0,,,,67,0
2490,note_on,,,,,2,0,1,,,,,0,,,,68,69
2509,note_on,,,,,49,0,2,,,,,1,,,,61,0
2510,note_on,,,,,1,0,2,,,,,1,,,,65,0
2511,note_on,,,,,1,0,2,,,,,1,,,,56,0
2512,set_tempo,,,,,595,1,0,,422535,,,,,,,,
2520,note_on,,,,,9,0,2,,,,,1,,,,53,46
2520,control_change,,,,,0,0,2,,,,,1,64,127,,,
2520,note_on,,,,,30,0,1,,,,,0,,,,68,0
2520,note_on,,,,,0,0,1,,,,,0,,,,72,66
2520,control_change,,,,,0,0,1,,,,,0,64,127,,,
2547,note_on,,,,,27,0,1,,,,,0,,,,72,0
2550,note_on,,,,,3,0,1,,,,,0,,,,70,67
2569,note_on,,,,,49,0,2,,,,,1,,,,53,0
2577,note_on,,,,,27,0,1,,,,,0,,,,70,0
2580,note_on,,,,,0,0,2,,,,,1,,,,56,51
2580,control_change,,,,,0,0,1,,,,,0,64,0,,,
2580,note_on,,,,,0,0,2,,,,,1,,,,61,46
2580,note_on,,,,,3,0,1,,,,,0,,,,67,72
2580,control_change,,,,,0,0,2,,,,,1,64,0,,,
2580,note_on,,,,,11,0,2,,,,,1,,,,65,50
2609,note_on,,,,,29,0,1,,,,,0,,,,67,0
2610,note_on,,,,,1,0,1,,,,,0,,,,68,72
2629,note_on,,,,,49,0,2,,,,,1,,,,61,0
2631,note_on,,,,,0,0,2,,,,,1,,,,65,0
2631,note_on,,,,,2,0,2,,,,,1,,,,56,0
2638,note_on,,,,,28,0,1,,,,,0,,,,68,0
2640,note_on,,,,,0,0,2,,,,,1,,,,61,54
2640,note_on,,,,,9,0,2,,,,,1,,,,65,50
2640,note_on,,,,,2,0,1,,,,,0,,,,72,76
2640,note_on,,,,,0,0,2,,,,,1,,,,56,49
2669,note_on,,,,,29,0,1,,,,,0,,,,72,0
2670,note_on,,,,,1,0,1,,,,,0,,,,70,74
2689,note_on,,,,,49,0,2,,,,,1,,,,56,0
2690,note_on,,,,,1,0,2,,,,,1,,,,65,0
2692,note_on,,,,,2,0,2,,,,,1,,,,61,0
2697,note_on,,,,,27,0,1,,,,,0,,,,70,0
2700,note_on,,,,,3,0,1,,,,,0,,,,67,79
2700,note_on,,,,,8,0,2,,,,,1,,,,49,51
2700,control_change,,,,,0,0,1,,,,,0,64,127,,,
2700,control_change,,,,,0,0,2,,,,,1,64,127,,,
2729,note_on,,,,,29,0,1,,,,,0,,,,67,0
2730,note_on,,,,,1,0,1,,,,,0,,,,68,76
2749,note_on,,,,,49,0,2,,,,,1,,,,49,0
2757,note_on,,,,,27,0,1,,,,,0,,,,68,0
2760,note_on,,,,,0,0,2,,,,,1,,,,61,53
2760,note_on,,,,,0,0,2,,,,,1,,,,56,56
2760,control_change,,,,,0,0,2,,,,,1,64,0,,,
2760,control_change,,,,,0,0,1,,,,,0,64,0,,,
2760,note_on,,,,,3,0,1,,,,,0,,,,72,83
2760,note_on,,,,,11,0,2,,,,,1,,,,65,55
2789,note_on,,,,,29,0,1,,,,,0,,,,72,0
2790,note_on,,,,,1,0,1,,,,,0,,,,70,82
2811,note_on,,,,,51,0,2,,,,,1,,,,61,0
2812,note_on,,,,,0,0,2,,,,,1,,,,65,0
2812,note_on,,,,,1,0,2,,,,,1,,,,56,0
2818,note_on,,,,,28,0,1,,,,,0,,,,70,0
2820,note_on,,,,,8,0,2,,,,,1,,,,65,54
2820,note_on,,,,,0,0,2,,,,,1,,,,61,57
2820,set_tempo,,,,,308,1,0,,422535,,,,,,,,
2820,note_on,,,,,2,0,1,,,,,0,,,,67,87
2820,note_on,,,,,0,0,2,,,,,1,,,,56,53
2822,set_tempo,,,,,2,1,0,,424028,,,,,,,,
2825,set_tempo,,,,,3,1,0,,425532,,,,,,,,
2850,note_on,,,,,30,0,1,,,,,0,,,,67,0
2850,note_on,,,,,0,0,1,,,,,0,,,,68,84
2870,note_on,,,,,50,0,2,,,,,1,,,,56,0
2870,note_on,,,,,0,0,2,,,,,1,,,,65,0
2872,note_on,,,,,2,0,2,,,,,1,,,,61,0
2877,note_on,,,,,27,0,1,,,,,0,,,,68,0
2880,note_on,,,,,8,0,2,,,,,1,,,,53,60
2880,control_change,,,,,0,0,2,,,,,1,64,127,,,
2880,control_change,,,,,0,0,1,,,,,0,64,127,,,
2880,note_on,,,,,3,0,1,,,,,0,,,,70,86
2907,note_on,,,,,27,0,1,,,,,0,,,,70,0
2910,note_on,,,,,3,0,1,,,,,0,,,,72,90
2932,note_on,,,,,52,0,2,,,,,1,,,,53,0
2939,note_on,,,,,29,0,1,,,,,0,,,,72,0
2940,note_on,,,,,8,0,2,,,,,1,,,,65,58
2940,note_on,,,,,0,0,2,,,,,1,,,,56,57
2940,note_on,,,,,0,0,2,,,,,1,,,,61,62
2940,control_change,,,,,0,0,2,,,,,1,64,0,,,
2940,control_change,,,,,0,0,1,,,,,0,64,0,,,
2940,note_on,,,,,1,0,1,,,,,0,,,,73,90
2968,note_on,,,,,28,0,1,,,,,0,,,,73,0
2970,note_on,,,,,2,0,1,,,,,0,,,,75,95
2990,note_on,,,,,50,0,2,,,,,1,,,,56,0
2991,note_on,,,,,1,0,2,,,,,1,,,,65,0
2993,note_on,,,,,2,0,2,,,,,1,,,,61,0
2999,note_on,,,,,29,0,1,,,,,0,,,,75,0
3000,note_on,,,,,7,0,2,,,,,1,,,,56,59
3000,note_on,,,,,0,0,2,,,,,1,,,,61,62
3000,note_on,,,,,0,0,2,,,,,1,,,,65,60
3000,note_on,,,,,1,0,1,,,,,0,,,,77,92
3002,set_tempo,,,,,177,1,0,,461538,,,,,,,,
3027,note_on,,,,,27,0,1,,,,,0,,,,77,0
3030,note_on,,,,,3,0,1,,,,,0,,,,78,97
3050,note_on,,,,,50,0,2,,,,,1,,,,56,0
3051,note_on,,,,,1,0,2,,,,,1,,,,65,0
3052,note_on,,,,,1,0,2,,,,,1,,,,61,0
3059,note_on,,,,,29,0,1,,,,,0,,,,78,0
3060,note_on,,,,,1,0,1,,,,,0,,,,82,95
3060,control_change,,,,,0,0,1,,,,,0,64,127,,,
3060,control_change,,,,,0,0,2,,,,,1,64,127,,,
3060,note_on,,,,,8,0,2,,,,,1,,,,44,65
3112,note_on,,,,,52,0,2,,,,,1,,,,44,0
3120,note_on,,,,,0,0,2,,,,,1,,,,56,58
3120,note_on,,,,,0,0,2,,,,,1,,,,60,62
3120,note_on,,,,,8,0,2,,,,,1,,,,66,59
3147,note_on,,,,,87,0,1,,,,,0,,,,82,0
3150,note_on,,,,,3,0,1,,,,,0,,,,80,94
3170,note_on,,,,,50,0,2,,,,,1,,,,56,0
3170,note_on,,,,,0,0,2,,,,,1,,,,66,0
3172,note_on,,,,,2,0,2,,,,,1,,,,60,0
3179,note_on,,,,,29,0,1,,,,,0,,,,80,0
3180,control_change,,,,,0,0,1,,,,,0,64,0,,,
3180,note_on,,,,,0,0,2,,,,,1,,,,60,58
3180,note_on,,,,,8,0,2,,,,,1,,,,66,61
3180,note_on,,,,,0,0,2,,,,,1,,,,56,62
3180,control_change,,,,,0,0,2,,,,,1,64,0,,,
3180,note_on,,,,,1,0,1,,,,,0,,,,78,89
3208,note_on,,,,,28,0,1,,,,,0,,,,78,0
3210,note_on,,,,,2,0,1,,,,,0,,,,77,90
3231,note_on,,,,,51,0,2,,,,,1,,,,60,0
3232,note_on,,,,,1,0,2,,,,,1,,,,66,0
3233,note_on,,,,,1,0,2,,,,,1,,,,56,0
3240,note_on,,,,,30,0,1,,,,,0,,,,77,0
3240,note_on,,,,,0,0,1,,,,,0,,,,77,83
3240,note_on,,,,,7,0,2,,,,,1,,,,51,55
3245,set_tempo,,,,,243,1,0,,474308,,,,,,,,
3250,set_tempo,,,,,5,1,0,,476190,,,,,,,,
3267,note_on,,,,,27,0,1,,,,,0,,,,77,0
3270,note_on,,,,,3,0,1,,,,,0,,,,75,81
3290,note_on,,,,,50,0,2,,,,,1,,,,51,0
3297,note_on,,,,,27,0,1,,,,,0,,,,75,0
3300,note_on,,,,,0,0,2,,,,,1,,,,56,54
3300,note_on,,,,,3,0,1,,,,,0,,,,75,82
3300,note_on,,,,,10,0,2,,,,,1,,,,66,53
3300,note_on,,,,,0,0,2,,,,,1,,,,60,56
