tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,data,program,note,velocity,pitch
80,sysex,80,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,
80,control_change,80,0,8,,,,,,,101,0,7,,,,,
80,control_change,80,0,2,,,,,,,101,0,1,,,,,
80,control_change,80,0,9,,,,,,,101,0,8,,,,,
100,control_change,20,0,9,,,,,,,100,0,8,,,,,
100,control_change,20,0,15,,,,,,,100,0,15,,,,,
100,control_change,100,0,6,,,,,,,0,0,5,,,,,
100,control_change,20,0,10,,,,,,,100,0,10,,,,,
100,control_change,100,0,3,,,,,,,0,0,2,,,,,
100,control_change,100,0,4,,,,,,,0,0,3,,,,,
100,control_change,20,0,11,,,,,,,100,0,11,,,,,
100,control_change,20,0,8,,,,,,,100,0,7,,,,,
100,control_change,20,0,12,,,,,,,100,0,12,,,,,
100,control_change,20,0,13,,,,,,,100,0,13,,,,,
100,control_change,20,0,14,,,,,,,100,0,14,,,,,
100,control_change,100,0,5,,,,,,,0,0,4,,,,,
100,control_change,100,0,7,,,,,,,0,0,6,,,,,
100,control_change,20,0,2,,,,,,,100,0,1,,,,,
120,control_change,20,0,15,,,,,,,6,12,15,,,,,
120,control_change,20,0,14,,,,,,,6,12,14,,,,,
120,control_change,20,0,10,,,,,,,6,12,10,,,,,
120,control_change,20,0,13,,,,,,,6,12,13,,,,,
120,control_change,20,0,12,,,,,,,6,12,12,,,,,
120,control_change,20,0,11,,,,,,,6,12,11,,,,,
120,control_change,20,0,9,,,,,,,6,12,8,,,,,
120,control_change,20,0,2,,,,,,,6,12,1,,,,,
120,control_change,20,0,8,,,,,,,6,12,7,,,,,
120,control_change,20,0,5,,,,,,,32,0,4,,,,,
120,control_change,20,0,7,,,,,,,32,0,6,,,,,
120,control_change,20,0,3,,,,,,,32,0,2,,,,,
120,control_change,20,0,4,,,,,,,32,0,3,,,,,
120,control_change,20,0,6,,,,,,,32,0,5,,,,,
140,control_change,20,0,11,,,,,,,10,38,11,,,,,
140,control_change,20,0,15,,,,,,,10,82,15,,,,,
140,control_change,20,0,9,,,,,,,10,84,8,,,,,
140,control_change,20,0,14,,,,,,,10,72,14,,,,,
140,program_change,20,0,5,,,,,,,,,4,,49,,,
140,control_change,20,0,13,,,,,,,10,52,13,,,,,
140,control_change,20,0,2,,,,,,,10,64,1,,,,,
140,program_change,20,0,7,,,,,,,,,6,,49,,,
140,program_change,20,0,6,,,,,,,,,5,,49,,,
140,program_change,20,0,4,,,,,,,,,3,,49,,,
140,control_change,20,0,8,,,,,,,10,48,7,,,,,
140,control_change,20,0,12,,,,,,,10,42,12,,,,,
140,control_change,20,0,10,,,,,,,10,48,10,,,,,
140,program_change,20,0,3,,,,,,,,,2,,49,,,
160,control_change,20,0,10,,,,,,,7,100,10,,,,,
160,control_change,20,0,7,,,,,,,10,94,6,,,,,
160,control_change,20,0,15,,,,,,,7,100,15,,,,,
160,control_change,20,0,4,,,,,,,10,49,3,,,,,
160,control_change,20,0,13,,,,,,,7,100,13,,,,,
160,control_change,20,0,11,,,,,,,7,100,11,,,,,
160,control_change,20,0,5,,,,,,,10,79,4,,,,,
160,control_change,20,0,14,,,,,,,7,100,14,,,,,
160,control_change,20,0,9,,,,,,,7,100,8,,,,,
160,control_change,20,0,8,,,,,,,7,100,7,,,,,
160,control_change,20,0,12,,,,,,,7,100,12,,,,,
160,control_change,20,0,2,,,,,,,7,100,1,,,,,
160,control_change,20,0,6,,,,,,,10,109,5,,,,,
160,control_change,20,0,3,,,,,,,10,19,2,,,,,
165,sysex,165,0,1,,,,,,,,,,"(65, 16, 66, 18, 64, 16, 20, 1, 27)",,,,
170,sysex,90,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 64, 76)",,,,
180,control_change,20,0,3,,,,,,,7,120,2,,,,,
180,control_change,20,0,6,,,,,,,7,100,5,,,,,
180,control_change,20,0,10,,,,,,,0,0,10,,,,,
180,control_change,20,0,7,,,,,,,7,100,6,,,,,
180,control_change,20,0,2,,,,,,,0,0,1,,,,,
180,control_change,20,0,9,,,,,,,0,0,8,,,,,
180,control_change,20,0,15,,,,,,,0,0,15,,,,,
180,control_change,20,0,12,,,,,,,0,0,12,,,,,
180,control_change,20,0,4,,,,,,,7,100,3,,,,,
180,control_change,20,0,8,,,,,,,0,0,7,,,,,
180,control_change,20,0,13,,,,,,,0,0,13,,,,,
180,control_change,20,0,14,,,,,,,0,0,14,,,,,
180,control_change,20,0,5,,,,,,,7,100,4,,,,,
180,control_change,20,0,11,,,,,,,0,0,11,,,,,
185,control_change,20,0,1,,,,,,,10,64,0,,,,,
200,control_change,20,0,3,,,,,,,11,100,2,,,,,
200,control_change,20,0,7,,,,,,,11,100,6,,,,,
200,program_change,20,0,14,,,,,,,,,14,,71,,,
200,control_change,20,0,4,,,,,,,11,100,3,,,,,
200,program_change,20,0,2,,,,,,,,,1,,47,,,
200,control_change,20,0,9,,,,,,,32,0,8,,,,,
200,control_change,20,0,13,,,,,,,32,0,13,,,,,
200,control_change,20,0,5,,,,,,,11,100,4,,,,,
200,control_change,20,0,6,,,,,,,11,100,5,,,,,
200,control_change,20,0,11,,,,,,,32,2,11,,,,,
200,control_change,20,0,8,,,,,,,32,0,7,,,,,
200,control_change,20,0,10,,,,,,,32,0,10,,,,,
200,control_change,20,0,12,,,,,,,32,0,12,,,,,
200,control_change,20,0,15,,,,,,,32,0,15,,,,,
205,control_change,20,0,1,,,,,,,7,120,0,,,,,
220,program_change,20,0,11,,,,,,,,,11,,57,,,
220,control_change,20,0,14,,,,,,,91,80,14,,,,,
220,program_change,20,0,13,,,,,,,,,13,,68,,,
220,control_change,20,0,2,,,,,,,91,120,1,,,,,
220,program_change,20,0,8,,,,,,,,,7,,60,,,
220,program_change,20,0,9,,,,,,,,,8,,56,,,
220,program_change,20,0,12,,,,,,,,,12,,73,,,
220,program_change,20,0,15,,,,,,,,,15,,70,,,
220,control_change,20,0,3,,,,,,,1,19,2,,,,,
220,program_change,20,0,10,,,,,,,,,10,,60,,,
220,control_change,20,0,5,,,,,,,1,19,4,,,,,
220,control_change,20,0,7,,,,,,,1,19,6,,,,,
220,control_change,20,0,6,,,,,,,1,19,5,,,,,
220,control_change,20,0,4,,,,,,,1,19,3,,,,,
225,control_change,20,0,1,,,,,,,0,0,0,,,,,
240,control_change,20,0,7,,,,,,,91,60,6,,,,,
240,control_change,20,0,8,,,,,,,91,100,7,,,,,
240,control_change,20,0,11,,,,,,,91,80,11,,,,,
240,control_change,20,0,13,,,,,,,91,80,13,,,,,
240,control_change,20,0,4,,,,,,,91,60,3,,,,,
240,control_change,20,0,9,,,,,,,91,90,8,,,,,
240,control_change,20,0,10,,,,,,,91,100,10,,,,,
240,control_change,20,0,12,,,,,,,91,80,12,,,,,
240,control_change,20,0,2,,,,,,,93,0,1,,,,,
240,control_change,20,0,5,,,,,,,91,60,4,,,,,
240,control_change,20,0,14,,,,,,,93,24,14,,,,,
240,control_change,20,0,6,,,,,,,91,60,5,,,,,
240,control_change,20,0,3,,,,,,,91,60,2,,,,,
240,control_change,20,0,15,,,,,,,91,80,15,,,,,
245,control_change,20,0,1,,,,,,,32,1,0,,,,,
260,control_change,20,0,2,,,,,,,1,12,1,,,,,
260,control_change,20,0,5,,,,,,,93,38,4,,,,,
260,control_change,20,0,7,,,,,,,93,38,6,,,,,
260,control_change,20,0,12,,,,,,,93,24,12,,,,,
260,control_change,20,0,14,,,,,,,1,14,14,,,,,
260,control_change,20,0,10,,,,,,,93,32,10,,,,,
260,control_change,20,0,4,,,,,,,93,38,3,,,,,
260,control_change,20,0,8,,,,,,,93,32,7,,,,,
260,control_change,20,0,13,,,,,,,93,24,13,,,,,
260,control_change,20,0,3,,,,,,,93,38,2,,,,,
260,control_change,20,0,15,,,,,,,93,24,15,,,,,
260,control_change,20,0,11,,,,,,,93,24,11,,,,,
260,sysex,90,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 80, 59)",,,,
260,control_change,20,0,9,,,,,,,93,32,8,,,,,
260,control_change,20,0,6,,,,,,,93,38,5,,,,,
265,program_change,20,0,1,,,,,,,,,0,,0,,,
280,control_change,20,0,6,,,,,,,101,0,5,,,,,
280,control_change,20,0,10,,,,,,,1,12,10,,,,,
280,control_change,20,0,12,,,,,,,1,12,12,,,,,
280,control_change,20,0,7,,,,,,,101,0,6,,,,,
280,control_change,20,0,5,,,,,,,101,0,4,,,,,
280,control_change,20,0,15,,,,,,,1,14,15,,,,,
280,control_change,20,0,8,,,,,,,1,12,7,,,,,
280,control_change,20,0,3,,,,,,,101,0,2,,,,,
280,control_change,20,0,9,,,,,,,1,12,8,,,,,
280,control_change,20,0,14,,,,,,,11,80,14,,,,,
280,control_change,20,0,13,,,,,,,1,16,13,,,,,
280,control_change,20,0,2,,,,,,,11,80,1,,,,,
280,control_change,20,0,11,,,,,,,1,12,11,,,,,
280,control_change,20,0,4,,,,,,,101,0,3,,,,,
285,control_change,20,0,1,,,,,,,7,120,0,,,,,
300,control_change,20,0,5,,,,,,,100,0,4,,,,,
300,control_change,20,0,8,,,,,,,11,100,7,,,,,
300,control_change,20,0,3,,,,,,,100,0,2,,,,,
300,control_change,20,0,4,,,,,,,100,0,3,,,,,
300,control_change,20,0,10,,,,,,,11,100,10,,,,,
300,control_change,20,0,15,,,,,,,11,80,15,,,,,
300,control_change,20,0,11,,,,,,,11,80,11,,,,,
300,control_change,20,0,6,,,,,,,100,0,5,,,,,
300,control_change,20,0,12,,,,,,,11,80,12,,,,,
300,control_change,20,0,13,,,,,,,11,80,13,,,,,
300,pitchwheel,20,0,14,,,,,,,,,14,,,,,0
300,control_change,20,0,7,,,,,,,100,0,6,,,,,
300,pitchwheel,20,0,2,,,,,,,,,1,,,,,0
300,control_change,20,0,9,,,,,,,11,100,8,,,,,
320,pitchwheel,20,0,11,,,,,,,,,11,,,,,0
320,control_change,20,0,2,,,,,,,99,1,1,,,,,
320,pitchwheel,20,0,10,,,,,,,,,10,,,,,0
320,control_change,20,0,5,,,,,,,6,12,4,,,,,
320,pitchwheel,20,0,12,,,,,,,,,12,,,,,0
320,control_change,20,0,4,,,,,,,6,12,3,,,,,
320,pitchwheel,20,0,15,,,,,,,,,15,,,,,0
320,control_change,20,0,3,,,,,,,6,12,2,,,,,
320,pitchwheel,20,0,9,,,,,,,,,8,,,,,0
320,control_change,20,0,6,,,,,,,6,12,5,,,,,
320,pitchwheel,20,0,13,,,,,,,,,13,,,,,0
320,pitchwheel,20,0,8,,,,,,,,,7,,,,,0
320,control_change,20,0,7,,,,,,,6,12,6,,,,,
320,control_change,20,0,14,,,,,,,99,1,14,,,,,
325,control_change,40,0,1,,,,,,,11,100,0,,,,,
340,control_change,20,0,9,,,,,,,99,1,8,,,,,
340,control_change,20,0,13,,,,,,,99,1,13,,,,,
340,control_change,20,0,11,,,,,,,99,1,11,,,,,
340,pitchwheel,20,0,6,,,,,,,,,5,,,,,16
340,pitchwheel,20,0,3,,,,,,,,,2,,,,,16
340,control_change,20,0,10,,,,,,,99,1,10,,,,,
340,control_change,20,0,8,,,,,,,99,1,7,,,,,
340,pitchwheel,20,0,5,,,,,,,,,4,,,,,16
340,control_change,20,0,2,,,,,,,98,32,1,,,,,
340,pitchwheel,20,0,7,,,,,,,,,6,,,,,16
340,control_change,20,0,12,,,,,,,99,1,12,,,,,
340,pitchwheel,20,0,4,,,,,,,,,3,,,,,16
340,control_change,20,0,15,,,,,,,99,1,15,,,,,
340,control_change,20,0,14,,,,,,,98,32,14,,,,,
350,sysex,90,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 53, 40, 98)",,,,
360,control_change,20,0,9,,,,,,,98,32,8,,,,,
360,control_change,20,0,15,,,,,,,98,32,15,,,,,
360,control_change,20,0,13,,,,,,,98,32,13,,,,,
360,control_change,20,0,12,,,,,,,98,32,12,,,,,
360,control_change,20,0,11,,,,,,,98,32,11,,,,,
360,control_change,20,0,14,,,,,,,6,80,14,,,,,
360,control_change,20,0,7,,,,,,,99,1,6,,,,,
360,control_change,20,0,3,,,,,,,99,1,2,,,,,
360,control_change,20,0,5,,,,,,,99,1,4,,,,,
360,control_change,20,0,8,,,,,,,98,32,7,,,,,
360,control_change,20,0,2,,,,,,,6,64,1,,,,,
360,control_change,20,0,10,,,,,,,98,32,10,,,,,
360,control_change,20,0,6,,,,,,,99,1,5,,,,,
360,control_change,20,0,4,,,,,,,99,1,3,,,,,
380,control_change,20,0,6,,,,,,,98,32,5,,,,,
380,control_change,20,0,10,,,,,,,6,64,10,,,,,
380,control_change,20,0,9,,,,,,,6,64,8,,,,,
380,control_change,20,0,2,,,,,,,98,33,1,,,,,
380,control_change,20,0,8,,,,,,,6,64,7,,,,,
380,control_change,20,0,7,,,,,,,98,32,6,,,,,
380,control_change,20,0,5,,,,,,,98,32,4,,,,,
380,control_change,20,0,3,,,,,,,98,32,2,,,,,
380,control_change,20,0,13,,,,,,,6,80,13,,,,,
380,control_change,20,0,11,,,,,,,6,80,11,,,,,
380,control_change,20,0,15,,,,,,,6,50,15,,,,,
380,control_change,20,0,12,,,,,,,6,80,12,,,,,
380,control_change,20,0,4,,,,,,,98,32,3,,,,,
380,control_change,20,0,14,,,,,,,98,33,14,,,,,
385,control_change,60,0,1,,,,,,,10,64,0,,,,,
400,control_change,20,0,11,,,,,,,98,33,11,,,,,
400,control_change,20,0,9,,,,,,,98,33,8,,,,,
400,control_change,20,0,13,,,,,,,98,33,13,,,,,
400,control_change,20,0,12,,,,,,,98,33,12,,,,,
400,control_change,20,0,6,,,,,,,6,62,5,,,,,
400,control_change,20,0,8,,,,,,,98,33,7,,,,,
400,control_change,20,0,10,,,,,,,98,33,10,,,,,
400,control_change,20,0,15,,,,,,,98,33,15,,,,,
400,control_change,20,0,2,,,,,,,6,54,1,,,,,
400,control_change,20,0,4,,,,,,,6,62,3,,,,,
400,control_change,20,0,3,,,,,,,6,62,2,,,,,
400,control_change,20,0,5,,,,,,,6,62,4,,,,,
400,control_change,20,0,14,,,,,,,6,62,14,,,,,
400,control_change,20,0,7,,,,,,,6,62,6,,,,,
405,control_change,0,0,1,,,,,,,91,80,0,,,,,
405,control_change,20,0,1,,,,,,,1,0,0,,,,,
420,control_change,20,0,12,,,,,,,6,62,12,,,,,
420,control_change,20,0,15,,,,,,,6,44,15,,,,,
420,control_change,20,0,3,,,,,,,98,33,2,,,,,
420,control_change,20,0,11,,,,,,,6,62,11,,,,,
420,control_change,20,0,6,,,,,,,98,33,5,,,,,
420,control_change,20,0,13,,,,,,,6,62,13,,,,,
420,control_change,20,0,10,,,,,,,6,64,10,,,,,
420,control_change,20,0,5,,,,,,,98,33,4,,,,,
420,control_change,20,0,14,,,,,,,98,100,14,,,,,
420,control_change,20,0,4,,,,,,,98,33,3,,,,,
420,control_change,20,0,2,,,,,,,98,99,1,,,,,
420,control_change,20,0,7,,,,,,,98,33,6,,,,,
420,control_change,20,0,8,,,,,,,6,64,7,,,,,
420,control_change,20,0,9,,,,,,,6,70,8,,,,,
425,control_change,20,0,1,,,,,,,99,1,0,,,,,
440,control_change,20,0,14,,,,,,,6,64,14,,,,,
440,control_change,20,0,4,,,,,,,6,60,3,,,,,
440,control_change,20,0,2,,,,,,,6,64,1,,,,,
440,sysex,90,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 54, 5, 4)",,,,
440,control_change,20,0,3,,,,,,,6,60,2,,,,,
440,control_change,20,0,10,,,,,,,98,100,10,,,,,
440,control_change,20,0,15,,,,,,,98,100,15,,,,,
440,control_change,20,0,11,,,,,,,98,100,11,,,,,
440,control_change,20,0,13,,,,,,,98,100,13,,,,,
440,control_change,20,0,12,,,,,,,98,100,12,,,,,
440,control_change,20,0,5,,,,,,,6,60,4,,,,,
440,control_change,20,0,9,,,,,,,98,100,8,,,,,
440,control_change,20,0,8,,,,,,,98,100,7,,,,,
440,control_change,20,0,7,,,,,,,6,60,6,,,,,
440,control_change,20,0,6,,,,,,,6,60,5,,,,,
445,control_change,20,0,1,,,,,,,98,32,0,,,,,
460,control_change,20,0,3,,,,,,,98,99,2,,,,,
460,control_change,20,0,11,,,,,,,6,64,11,,,,,
460,control_change,20,0,4,,,,,,,98,99,3,,,,,
460,control_change,20,0,5,,,,,,,98,99,4,,,,,
460,control_change,20,0,8,,,,,,,6,64,7,,,,,
460,control_change,20,0,2,,,,,,,98,100,1,,,,,
460,control_change,20,0,7,,,,,,,98,99,6,,,,,
460,control_change,20,0,10,,,,,,,6,64,10,,,,,
460,control_change,20,0,6,,,,,,,98,99,5,,,,,
460,control_change,20,0,9,,,,,,,6,64,8,,,,,
460,control_change,20,0,14,,,,,,,98,102,14,,,,,
460,control_change,20,0,12,,,,,,,6,64,12,,,,,
460,control_change,20,0,15,,,,,,,6,64,15,,,,,
460,control_change,20,0,13,,,,,,,6,64,13,,,,,
465,control_change,20,0,1,,,,,,,6,62,0,,,,,
480,control_change,20,0,15,,,,,,,98,102,15,,,,,
480,control_change,20,0,9,,,,,,,98,102,8,,,,,
480,control_change,20,0,8,,,,,,,98,102,7,,,,,
480,control_change,20,0,5,,,,,,,6,57,4,,,,,
480,control_change,20,0,12,,,,,,,98,102,12,,,,,
480,control_change,20,0,13,,,,,,,98,102,13,,,,,
480,control_change,20,0,4,,,,,,,6,57,3,,,,,
480,control_change,20,0,14,,,,,,,6,64,14,,,,,
480,control_change,20,0,11,,,,,,,98,102,11,,,,,
480,control_change,20,0,2,,,,,,,6,64,1,,,,,
480,control_change,20,0,6,,,,,,,6,57,5,,,,,
480,control_change,20,0,10,,,,,,,98,102,10,,,,,
480,control_change,20,0,3,,,,,,,6,57,2,,,,,
480,control_change,20,0,7,,,,,,,6,57,6,,,,,
485,control_change,20,0,1,,,,,,,99,1,0,,,,,
500,control_change,20,0,5,,,,,,,98,100,4,,,,,
500,control_change,20,0,4,,,,,,,98,100,3,,,,,
500,control_change,20,0,13,,,,,,,6,64,13,,,,,
500,control_change,20,0,7,,,,,,,98,100,6,,,,,
500,control_change,20,0,14,,,,,,,98,99,14,,,,,
500,control_change,20,0,15,,,,,,,6,64,15,,,,,
500,control_change,20,0,12,,,,,,,6,64,12,,,,,
500,control_change,20,0,6,,,,,,,98,100,5,,,,,
500,control_change,20,0,11,,,,,,,6,64,11,,,,,
500,control_change,20,0,8,,,,,,,6,65,7,,,,,
500,control_change,20,0,10,,,,,,,6,65,10,,,,,
500,control_change,20,0,9,,,,,,,6,65,8,,,,,
500,control_change,20,0,2,,,,,,,98,102,1,,,,,
500,control_change,20,0,3,,,,,,,98,100,2,,,,,
505,control_change,20,0,1,,,,,,,98,33,0,,,,,
520,control_change,20,0,3,,,,,,,6,64,2,,,,,
520,control_change,20,0,15,,,,,,,98,99,15,,,,,
520,control_change,20,0,14,,,,,,,6,64,14,,,,,
520,control_change,20,0,4,,,,,,,6,64,3,,,,,
520,control_change,20,0,13,,,,,,,98,99,13,,,,,
520,control_change,20,0,5,,,,,,,6,64,4,,,,,
520,control_change,20,0,8,,,,,,,98,99,7,,,,,
520,control_change,20,0,6,,,,,,,6,64,5,,,,,
520,control_change,20,0,7,,,,,,,6,64,6,,,,,
520,control_change,20,0,9,,,,,,,98,99,8,,,,,
520,control_change,20,0,10,,,,,,,98,99,10,,,,,
520,control_change,20,0,11,,,,,,,98,99,11,,,,,
520,control_change,20,0,12,,,,,,,98,99,12,,,,,
525,control_change,20,0,1,,,,,,,6,54,0,,,,,
530,sysex,90,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 0, 7)",,,,
540,control_change,20,0,5,,,,,,,98,102,4,,,,,
540,control_change,20,0,14,,,,,,,101,0,14,,,,,
540,control_change,20,0,6,,,,,,,98,102,5,,,,,
540,control_change,20,0,7,,,,,,,98,102,6,,,,,
540,control_change,20,0,3,,,,,,,98,102,2,,,,,
540,control_change,20,0,4,,,,,,,98,102,3,,,,,
545,control_change,20,0,1,,,,,,,99,1,0,,,,,
560,control_change,20,0,7,,,,,,,6,66,6,,,,,
560,control_change,20,0,6,,,,,,,6,66,5,,,,,
560,control_change,20,0,3,,,,,,,6,66,2,,,,,
560,control_change,20,0,4,,,,,,,6,66,3,,,,,
560,control_change,20,0,14,,,,,,,100,2,14,,,,,
560,control_change,20,0,5,,,,,,,6,66,4,,,,,
565,control_change,20,0,1,,,,,,,98,99,0,,,,,
580,control_change,20,0,7,,,,,,,99,1,6,,,,,
580,control_change,20,0,4,,,,,,,99,1,3,,,,,
580,control_change,20,0,6,,,,,,,99,1,5,,,,,
580,control_change,20,0,5,,,,,,,99,1,4,,,,,
580,control_change,20,0,3,,,,,,,99,1,2,,,,,
585,control_change,20,0,1,,,,,,,6,62,0,,,,,
600,control_change,20,0,4,,,,,,,98,8,3,,,,,
600,control_change,20,0,6,,,,,,,98,8,5,,,,,
600,control_change,20,0,5,,,,,,,98,8,4,,,,,
600,control_change,20,0,3,,,,,,,98,8,2,,,,,
600,control_change,20,0,7,,,,,,,98,8,6,,,,,
605,control_change,20,0,1,,,,,,,99,1,0,,,,,
620,control_change,20,0,3,,,,,,,6,90,2,,,,,
620,control_change,20,0,4,,,,,,,6,90,3,,,,,
620,control_change,20,0,5,,,,,,,6,90,4,,,,,
620,control_change,20,0,6,,,,,,,6,90,5,,,,,
620,control_change,20,0,7,,,,,,,6,90,6,,,,,
625,control_change,20,0,1,,,,,,,98,100,0,,,,,
640,control_change,20,0,7,,,,,,,98,9,6,,,,,
640,control_change,20,0,3,,,,,,,98,9,2,,,,,
640,control_change,20,0,4,,,,,,,98,9,3,,,,,
640,control_change,20,0,5,,,,,,,98,9,4,,,,,
640,control_change,20,0,6,,,,,,,98,9,5,,,,,
645,control_change,20,0,1,,,,,,,6,60,0,,,,,
660,control_change,20,0,5,,,,,,,6,50,4,,,,,
660,control_change,20,0,4,,,,,,,6,50,3,,,,,
660,control_change,20,0,6,,,,,,,6,50,5,,,,,
660,control_change,20,0,3,,,,,,,6,50,2,,,,,
660,control_change,20,0,7,,,,,,,6,50,6,,,,,
665,control_change,20,0,1,,,,,,,99,1,0,,,,,
680,control_change,20,0,6,,,,,,,98,10,5,,,,,
680,control_change,20,0,4,,,,,,,98,10,3,,,,,
680,control_change,20,0,3,,,,,,,98,10,2,,,,,
680,control_change,20,0,7,,,,,,,98,10,6,,,,,
680,control_change,20,0,5,,,,,,,98,10,4,,,,,
685,control_change,20,0,1,,,,,,,98,102,0,,,,,
700,control_change,20,0,3,,,,,,,6,70,2,,,,,
700,control_change,20,0,4,,,,,,,6,70,3,,,,,
700,control_change,20,0,7,,,,,,,6,70,6,,,,,
700,control_change,20,0,6,,,,,,,6,70,5,,,,,
700,control_change,20,0,5,,,,,,,6,70,4,,,,,
705,control_change,20,0,1,,,,,,,6,70,0,,,,,
705,control_change,185,0,10,,,,,,,6,66,10,,,,,
705,control_change,185,0,15,,,,,,,6,64,15,,,,,
705,control_change,145,0,14,,,,,,,6,64,14,,,,,
705,control_change,185,0,13,,,,,,,6,64,13,,,,,
705,control_change,185,0,12,,,,,,,6,64,12,,,,,
705,control_change,185,0,8,,,,,,,6,66,7,,,,,
705,sysex,175,0,16,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 50, 83)",,,,
705,control_change,185,0,9,,,,,,,6,65,8,,,,,
705,control_change,205,0,2,,,,,,,6,66,1,,,,,
705,control_change,185,0,11,,,,,,,6,64,11,,,,,
1370,control_change,670,0,3,,,,,,,11,20,2,,,,,
1370,note_on,0,0,3,,,,,,,,,2,,,59,114,
1371,control_change,1,0,3,,,,,,,11,21,2,,,,,
1372,control_change,1,0,3,,,,,,,11,24,2,,,,,
1373,control_change,1,0,3,,,,,,,11,26,2,,,,,
1374,control_change,1,0,3,,,,,,,11,27,2,,,,,
1375,control_change,1,0,3,,,,,,,11,29,2,,,,,
1377,control_change,2,0,3,,,,,,,11,30,2,,,,,
1378,control_change,1,0,3,,,,,,,11,32,2,,,,,
1379,control_change,1,0,3,,,,,,,11,33,2,,,,,
1380,control_change,1,0,3,,,,,,,11,35,2,,,,,
1381,control_change,1,0,3,,,,,,,11,36,2,,,,,
1383,control_change,2,0,3,,,,,,,11,38,2,,,,,
1384,control_change,1,0,3,,,,,,,11,39,2,,,,,
1385,control_change,1,0,3,,,,,,,11,40,2,,,,,
1386,control_change,1,0,3,,,,,,,11,41,2,,,,,
1387,control_change,1,0,3,,,,,,,11,43,2,,,,,
1389,control_change,2,0,3,,,,,,,11,44,2,,,,,
1390,control_change,1,0,3,,,,,,,11,45,2,,,,,
1391,control_change,1,0,3,,,,,,,11,46,2,,,,,
1392,control_change,1,0,3,,,,,,,11,48,2,,,,,
1393,control_change,1,0,3,,,,,,,11,49,2,,,,,
1395,control_change,2,0,3,,,,,,,11,50,2,,,,,
1396,control_change,1,0,3,,,,,,,11,51,2,,,,,
1397,control_change,1,0,3,,,,,,,11,52,2,,,,,
1398,control_change,1,0,3,,,,,,,11,53,2,,,,,
1399,control_change,1,0,3,,,,,,,11,54,2,,,,,
1401,control_change,2,0,3,,,,,,,11,55,2,,,,,
1402,control_change,1,0,3,,,,,,,11,56,2,,,,,
1403,control_change,1,0,3,,,,,,,11,57,2,,,,,
1404,control_change,1,0,3,,,,,,,11,58,2,,,,,
1406,control_change,2,0,3,,,,,,,11,59,2,,,,,
1407,control_change,1,0,3,,,,,,,11,60,2,,,,,
