tick,type,time,meta,track,key,port,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,control,value,note,velocity
0,instrument_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,0,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,text,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,0,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,text,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,0,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,text,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,key_signature,0,1,0,C,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,81,89
0,note_on,0,0,1,,,,,,,,,0,,,69,89
0,control_change,0,0,1,,,,,,,,,0,7,126,,
0,program_change,0,0,1,,,,,,,,44,0,,,,
0,text,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,0,,0,,,,,,,,,,,
0,instrument_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,545454,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,midi_port,0,1,1,,0,,,,,,,,,,,
15,note_on,15,0,3,,,,,,,,,2,,,81,89
15,note_on,0,0,3,,,,,,,,,2,,,69,89
15,note_on,0,0,2,,,,,,,,,1,,,69,89
15,note_on,15,0,2,,,,,,,,,1,,,81,89
24,control_change,24,0,4,,,,,,,,,3,10,64,,
24,control_change,9,0,3,,,,,,,,,2,10,118,,
24,control_change,24,0,5,,,,,,,,,4,10,118,,
24,control_change,9,0,2,,,,,,,,,1,10,118,,
24,control_change,24,0,1,,,,,,,,,0,10,9,,
30,note_on,6,0,1,,,,,,,,,0,,,69,0
30,note_on,0,0,1,,,,,,,,,0,,,81,0
30,note_on,0,0,4,,,,,,,,,3,,,81,0
30,note_on,6,0,4,,,,,,,,,3,,,69,0
45,note_on,0,0,4,,,,,,,,,3,,,79,89
45,note_on,0,0,2,,,,,,,,,1,,,69,0
45,note_on,21,0,2,,,,,,,,,1,,,81,0
45,note_on,0,0,3,,,,,,,,,2,,,69,0
45,note_on,21,0,3,,,,,,,,,2,,,81,0
45,note_on,15,0,4,,,,,,,,,3,,,67,89
45,note_on,15,0,1,,,,,,,,,0,,,67,89
45,note_on,0,0,1,,,,,,,,,0,,,79,89
60,note_on,0,0,2,,,,,,,,,1,,,67,89
60,note_on,15,0,2,,,,,,,,,1,,,79,89
75,note_on,30,0,4,,,,,,,,,3,,,67,0
75,note_on,30,0,1,,,,,,,,,0,,,67,0
85,note_on,10,0,1,,,,,,,,,0,,,79,0
85,note_on,10,0,4,,,,,,,,,3,,,79,0
90,note_on,5,0,4,,,,,,,,,3,,,69,89
90,note_on,0,0,4,,,,,,,,,3,,,81,89
90,note_on,0,0,1,,,,,,,,,0,,,81,89
90,note_on,5,0,1,,,,,,,,,0,,,69,89
90,note_on,30,0,2,,,,,,,,,1,,,67,0
100,note_on,10,0,2,,,,,,,,,1,,,79,0
105,note_on,0,0,2,,,,,,,,,1,,,81,89
105,note_on,5,0,2,,,,,,,,,1,,,69,89
945,note_on,855,0,1,,,,,,,,,0,,,69,0
945,note_on,0,0,1,,,,,,,,,0,,,81,0
945,note_on,0,0,4,,,,,,,,,3,,,81,0
945,note_on,855,0,4,,,,,,,,,3,,,69,0
960,note_on,0,0,4,,,,,,,,,3,,,79,89
960,note_on,15,0,4,,,,,,,,,3,,,67,89
960,note_on,15,0,1,,,,,,,,,0,,,67,89
960,note_on,0,0,1,,,,,,,,,0,,,79,89
960,note_on,0,0,2,,,,,,,,,1,,,81,0
960,note_on,855,0,2,,,,,,,,,1,,,69,0
975,note_on,0,0,2,,,,,,,,,1,,,67,89
975,note_on,15,0,2,,,,,,,,,1,,,79,89
990,note_on,30,0,1,,,,,,,,,0,,,67,0
990,note_on,30,0,4,,,,,,,,,3,,,67,0
1000,note_on,10,0,4,,,,,,,,,3,,,79,0
1000,note_on,10,0,1,,,,,,,,,0,,,79,0
1005,note_on,5,0,1,,,,,,,,,0,,,65,89
1005,note_on,30,0,2,,,,,,,,,1,,,67,0
1005,note_on,5,0,4,,,,,,,,,3,,,65,89
1005,note_on,0,0,4,,,,,,,,,3,,,77,89
1005,note_on,0,0,1,,,,,,,,,0,,,77,89
1015,note_on,10,0,2,,,,,,,,,1,,,79,0
1020,note_on,0,0,2,,,,,,,,,1,,,65,89
1020,note_on,5,0,2,,,,,,,,,1,,,77,89
1035,note_on,30,0,4,,,,,,,,,3,,,65,0
1035,note_on,30,0,1,,,,,,,,,0,,,65,0
1045,note_on,10,0,4,,,,,,,,,3,,,77,0
1045,note_on,10,0,1,,,,,,,,,0,,,77,0
1050,note_on,5,0,4,,,,,,,,,3,,,64,89
1050,note_on,30,0,2,,,,,,,,,1,,,65,0
1050,note_on,0,0,4,,,,,,,,,3,,,76,89
1050,note_on,0,0,1,,,,,,,,,0,,,76,89
1050,note_on,5,0,1,,,,,,,,,0,,,64,89
1060,note_on,10,0,2,,,,,,,,,1,,,77,0
1065,note_on,0,0,2,,,,,,,,,1,,,64,89
1065,note_on,5,0,2,,,,,,,,,1,,,76,89
1080,note_on,30,0,1,,,,,,,,,0,,,64,0
1080,note_on,30,0,4,,,,,,,,,3,,,64,0
1090,note_on,10,0,1,,,,,,,,,0,,,76,0
1090,note_on,10,0,4,,,,,,,,,3,,,76,0
1095,note_on,5,0,4,,,,,,,,,3,,,62,89
1095,note_on,30,0,2,,,,,,,,,1,,,64,0
1095,note_on,5,0,1,,,,,,,,,0,,,62,89
1095,note_on,0,0,1,,,,,,,,,0,,,74,89
1095,note_on,0,0,4,,,,,,,,,3,,,74,89
1105,note_on,10,0,2,,,,,,,,,1,,,76,0
1110,note_on,5,0,2,,,,,,,,,1,,,74,89
1110,note_on,0,0,2,,,,,,,,,1,,,62,89
1125,note_on,30,0,1,,,,,,,,,0,,,62,0
1125,note_on,30,0,4,,,,,,,,,3,,,62,0
1135,note_on,10,0,4,,,,,,,,,3,,,74,0
1135,note_on,10,0,1,,,,,,,,,0,,,74,0
1140,note_on,30,0,2,,,,,,,,,1,,,62,0
1140,note_on,0,0,4,,,,,,,,,3,,,73,89
1140,note_on,5,0,4,,,,,,,,,3,,,61,89
1140,note_on,5,0,1,,,,,,,,,0,,,61,89
1140,note_on,0,0,1,,,,,,,,,0,,,73,89
1150,note_on,10,0,2,,,,,,,,,1,,,74,0
1155,note_on,0,0,2,,,,,,,,,1,,,61,89
1155,note_on,5,0,2,,,,,,,,,1,,,73,89
1665,note_on,0,0,1,,,,,,,,,0,,,73,0
1665,note_on,0,0,4,,,,,,,,,3,,,73,0
1665,note_on,525,0,4,,,,,,,,,3,,,61,0
1665,note_on,525,0,1,,,,,,,,,0,,,61,0
1680,note_on,525,0,2,,,,,,,,,1,,,73,0
1680,note_on,0,0,2,,,,,,,,,1,,,61,0
1695,note_on,0,0,4,,,,,,,,,3,,,62,89
1695,note_on,30,0,1,,,,,,,,,0,,,74,89
1695,note_on,0,0,1,,,,,,,,,0,,,62,89
1695,note_on,30,0,4,,,,,,,,,3,,,74,89
1710,note_on,30,0,2,,,,,,,,,1,,,62,89
1710,note_on,0,0,2,,,,,,,,,1,,,74,89
1995,note_on,0,0,4,,,,,,,,,3,,,62,0
1995,note_on,0,0,1,,,,,,,,,0,,,62,0
1995,note_on,300,0,1,,,,,,,,,0,,,74,0
1995,note_on,300,0,4,,,,,,,,,3,,,74,0
2010,note_on,300,0,2,,,,,,,,,1,,,62,0
2010,note_on,0,0,2,,,,,,,,,1,,,74,0
2880,note_on,0,0,1,,,,,,,,,0,,,69,89
2880,note_on,0,0,4,,,,,,,,,3,,,69,89
2880,note_on,885,0,4,,,,,,,,,3,,,57,89
2880,note_on,885,0,1,,,,,,,,,0,,,57,89
2895,note_on,885,0,2,,,,,,,,,1,,,69,89
2895,note_on,2850,0,3,,,,,,,,,2,,,69,89
2895,note_on,0,0,2,,,,,,,,,1,,,57,89
2895,note_on,0,0,3,,,,,,,,,2,,,57,89
2910,note_on,0,0,4,,,,,,,,,3,,,69,0
2910,note_on,30,0,4,,,,,,,,,3,,,57,0
2910,note_on,30,0,1,,,,,,,,,0,,,57,0
2910,note_on,0,0,1,,,,,,,,,0,,,69,0
2925,note_on,30,0,3,,,,,,,,,2,,,69,0
2925,note_on,0,0,4,,,,,,,,,3,,,67,89
2925,note_on,15,0,4,,,,,,,,,3,,,55,89
2925,note_on,0,0,2,,,,,,,,,1,,,57,0
2925,note_on,30,0,2,,,,,,,,,1,,,69,0
2925,note_on,0,0,3,,,,,,,,,2,,,57,0
2925,note_on,15,0,1,,,,,,,,,0,,,55,89
2925,note_on,0,0,1,,,,,,,,,0,,,67,89
2940,note_on,0,0,3,,,,,,,,,2,,,55,89
2940,note_on,15,0,3,,,,,,,,,2,,,67,89
2940,note_on,15,0,2,,,,,,,,,1,,,67,89
2940,note_on,0,0,2,,,,,,,,,1,,,55,89
2955,note_on,30,0,4,,,,,,,,,3,,,55,0
2955,note_on,30,0,1,,,,,,,,,0,,,55,0
2965,note_on,10,0,4,,,,,,,,,3,,,67,0
2965,note_on,10,0,1,,,,,,,,,0,,,67,0
2970,note_on,0,0,1,,,,,,,,,0,,,69,89
2970,note_on,30,0,2,,,,,,,,,1,,,55,0
2970,note_on,0,0,4,,,,,,,,,3,,,69,89
2970,note_on,5,0,1,,,,,,,,,0,,,57,89
2970,note_on,5,0,4,,,,,,,,,3,,,57,89
2970,note_on,30,0,3,,,,,,,,,2,,,55,0
2980,note_on,10,0,3,,,,,,,,,2,,,67,0
2980,note_on,10,0,2,,,,,,,,,1,,,67,0
2985,note_on,5,0,2,,,,,,,,,1,,,69,89
2985,note_on,5,0,3,,,,,,,,,2,,,69,89
2985,note_on,0,0,3,,,,,,,,,2,,,57,89
2985,note_on,0,0,2,,,,,,,,,1,,,57,89
3765,note_on,0,0,4,,,,,,,,,3,,,69,0
3765,note_on,795,0,1,,,,,,,,,0,,,57,0
3765,note_on,0,0,1,,,,,,,,,0,,,69,0
3765,note_on,795,0,4,,,,,,,,,3,,,57,0
3780,note_on,0,0,3,,,,,,,,,2,,,57,0
3780,note_on,795,0,3,,,,,,,,,2,,,69,0
3780,note_on,795,0,2,,,,,,,,,1,,,69,0
3780,note_on,0,0,2,,,,,,,,,1,,,57,0
3840,note_on,75,0,4,,,,,,,,,3,,,52,89
3840,note_on,0,0,4,,,,,,,,,3,,,64,89
3840,note_on,75,0,1,,,,,,,,,0,,,52,89
3840,note_on,0,0,1,,,,,,,,,0,,,64,89
3855,note_on,75,0,2,,,,,,,,,1,,,64,89
3855,note_on,0,0,3,,,,,,,,,2,,,52,89
3855,note_on,0,0,2,,,,,,,,,1,,,52,89
3855,note_on,75,0,3,,,,,,,,,2,,,64,89
4005,note_on,0,0,1,,,,,,,,,0,,,64,0
4005,note_on,165,0,1,,,,,,,,,0,,,52,0
4005,note_on,0,0,4,,,,,,,,,3,,,64,0
4005,note_on,165,0,4,,,,,,,,,3,,,52,0
4020,note_on,165,0,3,,,,,,,,,2,,,64,0
4020,note_on,0,0,3,,,,,,,,,2,,,52,0
4020,note_on,15,0,4,,,,,,,,,3,,,53,89
4020,note_on,0,0,2,,,,,,,,,1,,,52,0
4020,note_on,0,0,4,,,,,,,,,3,,,65,89
4020,note_on,165,0,2,,,,,,,,,1,,,64,0
4020,note_on,15,0,1,,,,,,,,,0,,,53,89
4020,note_on,0,0,1,,,,,,,,,0,,,65,89
4035,note_on,15,0,3,,,,,,,,,2,,,65,89
4035,note_on,0,0,3,,,,,,,,,2,,,53,89
4035,note_on,15,0,2,,,,,,,,,1,,,65,89
4035,note_on,0,0,2,,,,,,,,,1,,,53,89
4185,note_on,165,0,1,,,,,,,,,0,,,53,0
4185,note_on,0,0,1,,,,,,,,,0,,,65,0
4185,note_on,165,0,4,,,,,,,,,3,,,53,0
4185,note_on,0,0,4,,,,,,,,,3,,,65,0
4200,note_on,15,0,1,,,,,,,,,0,,,49,89
4200,note_on,0,0,1,,,,,,,,,0,,,61,89
4200,note_on,15,0,4,,,,,,,,,3,,,49,89
4200,note_on,0,0,4,,,,,,,,,3,,,61,89
4200,note_on,165,0,2,,,,,,,,,1,,,65,0
4200,note_on,0,0,2,,,,,,,,,1,,,53,0
4200,note_on,0,0,3,,,,,,,,,2,,,53,0
4200,note_on,165,0,3,,,,,,,,,2,,,65,0
4215,note_on,15,0,2,,,,,,,,,1,,,61,89
4215,note_on,0,0,2,,,,,,,,,1,,,49,89
4215,note_on,0,0,3,,,,,,,,,2,,,49,89
4215,note_on,15,0,3,,,,,,,,,2,,,61,89
4365,note_on,165,0,4,,,,,,,,,3,,,49,0
4365,note_on,0,0,1,,,,,,,,,0,,,61,0
4365,note_on,165,0,1,,,,,,,,,0,,,49,0
4365,note_on,0,0,4,,,,,,,,,3,,,61,0
4380,note_on,165,0,2,,,,,,,,,1,,,61,0
4380,note_on,0,0,2,,,,,,,,,1,,,49,0
4380,note_on,0,0,3,,,,,,,,,2,,,49,0
4380,note_on,0,0,4,,,,,,,,,3,,,62,89
4380,note_on,15,0,4,,,,,,,,,3,,,50,89
4380,note_on,165,0,3,,,,,,,,,2,,,61,0
4380,note_on,15,0,1,,,,,,,,,0,,,50,89
4380,note_on,0,0,1,,,,,,,,,0,,,62,89
4395,note_on,0,0,3,,,,,,,,,2,,,50,89
4395,note_on,15,0,3,,,,,,,,,2,,,62,89
4395,note_on,0,0,2,,,,,,,,,1,,,50,89
4395,note_on,15,0,2,,,,,,,,,1,,,62,89
4740,note_on,0,0,4,,,,,,,,,3,,,62,0
4740,note_on,360,0,4,,,,,,,,,3,,,50,0
4740,note_on,0,0,1,,,,,,,,,0,,,62,0
4740,note_on,360,0,1,,,,,,,,,0,,,50,0
4755,note_on,360,0,3,,,,,,,,,2,,,62,0
4755,note_on,360,0,2,,,,,,,,,1,,,62,0
4755,note_on,0,0,2,,,,,,,,,1,,,50,0
4755,note_on,0,0,3,,,,,,,,,2,,,50,0
5760,note_on,1020,0,4,,,,,,,,,3,,,45,89
5760,note_on,0,0,4,,,,,,,,,3,,,57,89
5760,note_on,0,0,1,,,,,,,,,0,,,57,89
5760,note_on,1020,0,1,,,,,,,,,0,,,45,89
5775,note_on,1020,0,3,,,,,,,,,2,,,57,89
5775,note_on,0,0,3,,,,,,,,,2,,,45,89
5775,note_on,1020,0,2,,,,,,,,,1,,,57,89
5775,note_on,0,0,2,,,,,,,,,1,,,45,89
5790,note_on,0,0,1,,,,,,,,,0,,,57,0
5790,note_on,30,0,1,,,,,,,,,0,,,45,0
5790,note_on,30,0,4,,,,,,,,,3,,,45,0
5790,note_on,0,0,4,,,,,,,,,3,,,57,0
5805,note_on,15,0,4,,,,,,,,,3,,,43,89
5805,note_on,0,0,1,,,,,,,,,0,,,55,89
5805,note_on,15,0,1,,,,,,,,,0,,,43,89
5805,note_on,30,0,3,,,,,,,,,2,,,57,0
5805,note_on,0,0,4,,,,,,,,,3,,,55,89
5805,note_on,0,0,3,,,,,,,,,2,,,45,0
5805,note_on,30,0,2,,,,,,,,,1,,,57,0
5805,note_on,0,0,2,,,,,,,,,1,,,45,0
5820,note_on,0,0,3,,,,,,,,,2,,,43,89
5820,note_on,15,0,3,,,,,,,,,2,,,55,89
5820,note_on,0,0,2,,,,,,,,,1,,,43,89
5820,note_on,15,0,2,,,,,,,,,1,,,55,89
5835,note_on,30,0,4,,,,,,,,,3,,,43,0
5835,note_on,30,0,1,,,,,,,,,0,,,43,0
5845,note_on,10,0,4,,,,,,,,,3,,,55,0
5845,note_on,10,0,1,,,,,,,,,0,,,55,0
5850,note_on,0,0,1,,,,,,,,,0,,,57,89
5850,note_on,30,0,3,,,,,,,,,2,,,43,0
5850,note_on,5,0,1,,,,,,,,,0,,,45,89
5850,note_on,0,0,4,,,,,,,,,3,,,57,89
5850,note_on,5,0,4,,,,,,,,,3,,,45,89
5850,note_on,30,0,2,,,,,,,,,1,,,43,0
5860,note_on,10,0,2,,,,,,,,,1,,,55,0
5860,note_on,10,0,3,,,,,,,,,2,,,55,0
5865,note_on,5,0,2,,,,,,,,,1,,,45,89
5865,note_on,5,0,3,,,,,,,,,2,,,45,89
5865,note_on,0,0,3,,,,,,,,,2,,,57,89
5865,note_on,0,0,2,,,,,,,,,1,,,57,89
6705,note_on,0,0,1,,,,,,,,,0,,,57,0
6705,note_on,0,0,4,,,,,,,,,3,,,57,0
6705,note_on,855,0,4,,,,,,,,,3,,,45,0
6705,note_on,855,0,1,,,,,,,,,0,,,45,0
6720,note_on,0,0,1,,,,,,,,,0,,,55,89
6720,note_on,15,0,1,,,,,,,,,0,,,43,89
6720,note_on,15,0,4,,,,,,,,,3,,,43,89
6720,note_on,0,0,4,,,,,,,,,3,,,55,89
6720,note_on,0,0,2,,,,,,,,,1,,,57,0
6720,note_on,855,0,3,,,,,,,,,2,,,45,0
6720,note_on,0,0,3,,,,,,,,,2,,,57,0
6720,note_on,855,0,2,,,,,,,,,1,,,45,0
6735,note_on,15,0,2,,,,,,,,,1,,,55,89
6735,note_on,15,0,3,,,,,,,,,2,,,55,89
6735,note_on,0,0,3,,,,,,,,,2,,,43,89
6735,note_on,0,0,2,,,,,,,,,1,,,43,89
6750,note_on,30,0,4,,,,,,,,,3,,,43,0
6750,note_on,30,0,1,,,,,,,,,0,,,43,0
6760,note_on,10,0,4,,,,,,,,,3,,,55,0
6760,note_on,10,0,1,,,,,,,,,0,,,55,0
6765,note_on,30,0,3,,,,,,,,,2,,,43,0
6765,note_on,0,0,1,,,,,,,,,0,,,53,89
6765,note_on,5,0,1,,,,,,,,,0,,,41,89
6765,note_on,30,0,2,,,,,,,,,1,,,43,0
6765,note_on,0,0,4,,,,,,,,,3,,,53,89
6765,note_on,5,0,4,,,,,,,,,3,,,41,89
6775,note_on,10,0,3,,,,,,,,,2,,,55,0
6775,note_on,10,0,2,,,,,,,,,1,,,55,0
6780,note_on,0,0,3,,,,,,,,,2,,,41,89
6780,note_on,5,0,3,,,,,,,,,2,,,53,89
6780,note_on,5,0,2,,,,,,,,,1,,,53,89
6780,note_on,0,0,2,,,,,,,,,1,,,41,89
6795,note_on,30,0,4,,,,,,,,,3,,,41,0
6795,note_on,30,0,1,,,,,,,,,0,,,41,0
6805,note_on,10,0,4,,,,,,,,,3,,,53,0
6805,note_on,10,0,1,,,,,,,,,0,,,53,0
6810,note_on,0,0,4,,,,,,,,,3,,,52,89
6810,note_on,5,0,4,,,,,,,,,3,,,40,89
6810,note_on,5,0,1,,,,,,,,,0,,,40,89
6810,note_on,30,0,2,,,,,,,,,1,,,41,0
6810,note_on,30,0,3,,,,,,,,,2,,,41,0
6810,note_on,0,0,1,,,,,,,,,0,,,52,89
6820,note_on,10,0,3,,,,,,,,,2,,,53,0
6820,note_on,10,0,2,,,,,,,,,1,,,53,0
6825,note_on,0,0,2,,,,,,,,,1,,,40,89
6825,note_on,5,0,2,,,,,,,,,1,,,52,89
6825,note_on,5,0,3,,,,,,,,,2,,,52,89
6825,note_on,0,0,3,,,,,,,,,2,,,40,89
6840,note_on,30,0,4,,,,,,,,,3,,,40,0
6840,note_on,30,0,1,,,,,,,,,0,,,40,0
6850,note_on,10,0,4,,,,,,,,,3,,,52,0
6850,note_on,10,0,1,,,,,,,,,0,,,52,0
6855,note_on,0,0,4,,,,,,,,,3,,,50,89
6855,note_on,5,0,1,,,,,,,,,0,,,38,89
6855,note_on,5,0,4,,,,,,,,,3,,,38,89
6855,note_on,0,0,1,,,,,,,,,0,,,50,89
6855,note_on,30,0,2,,,,,,,,,1,,,40,0
6855,note_on,30,0,3,,,,,,,,,2,,,40,0
6865,note_on,10,0,2,,,,,,,,,1,,,52,0
6865,note_on,10,0,3,,,,,,,,,2,,,52,0
6870,note_on,0,0,2,,,,,,,,,1,,,38,89
6870,note_on,5,0,2,,,,,,,,,1,,,50,89
6870,note_on,5,0,3,,,,,,,,,2,,,50,89
6870,note_on,0,0,3,,,,,,,,,2,,,38,89
6885,note_on,30,0,4,,,,,,,,,3,,,38,0
6885,note_on,30,0,1,,,,,,,,,0,,,38,0
6895,note_on,10,0,1,,,,,,,,,0,,,50,0
6895,note_on,10,0,4,,,,,,,,,3,,,50,0
6900,note_on,30,0,2,,,,,,,,,1,,,38,0
6900,note_on,0,0,1,,,,,,,,,0,,,49,89
6900,note_on,5,0,1,,,,,,,,,0,,,37,89
6900,note_on,0,0,4,,,,,,,,,3,,,49,89
6900,note_on,5,0,4,,,,,,,,,3,,,37,89
6900,note_on,30,0,3,,,,,,,,,2,,,38,0
6910,note_on,10,0,2,,,,,,,,,1,,,50,0
6910,note_on,10,0,3,,,,,,,,,2,,,50,0
6915,note_on,5,0,3,,,,,,,,,2,,,49,89
6915,note_on,5,0,2,,,,,,,,,1,,,49,89
6915,note_on,0,0,3,,,,,,,,,2,,,37,89
6915,note_on,0,0,2,,,,,,,,,1,,,37,89
7425,note_on,0,0,1,,,,,,,,,0,,,49,0
7425,note_on,525,0,4,,,,,,,,,3,,,37,0
7425,note_on,0,0,4,,,,,,,,,3,,,49,0
7425,note_on,525,0,1,,,,,,,,,0,,,37,0
7440,note_on,0,0,2,,,,,,,,,1,,,37,0
7440,note_on,525,0,2,,,,,,,,,1,,,49,0
7440,note_on,525,0,3,,,,,,,,,2,,,49,0
7440,note_on,0,0,3,,,,,,,,,2,,,37,0
7455,note_on,0,0,1,,,,,,,,,0,,,38,89
7455,note_on,0,0,4,,,,,,,,,3,,,38,89
7455,note_on,30,0,4,,,,,,,,,3,,,50,89
7455,note_on,30,0,1,,,,,,,,,0,,,50,89
7470,note_on,0,0,3,,,,,,,,,2,,,50,89
7470,note_on,30,0,2,,,,,,,,,1,,,38,89
7470,note_on,0,0,2,,,,,,,,,1,,,50,89
7470,note_on,30,0,3,,,,,,,,,2,,,38,89
7755,note_on,0,0,1,,,,,,,,,0,,,38,0
7755,note_on,0,0,4,,,,,,,,,3,,,38,0
7755,note_on,300,0,4,,,,,,,,,3,,,50,0
7755,note_on,300,0,1,,,,,,,,,0,,,50,0
7770,note_on,300,0,3,,,,,,,,,2,,,38,0
7770,note_on,0,0,2,,,,,,,,,1,,,50,0
7770,note_on,300,0,2,,,,,,,,,1,,,38,0
7770,note_on,0,0,3,,,,,,,,,2,,,50,0
8640,note_on,885,0,1,,,,,,,,,0,,,38,89
8640,note_on,885,0,4,,,,,,,,,3,,,38,89
8655,note_on,885,0,3,,,,,,,,,2,,,38,89
8655,note_on,885,0,2,,,,,,,,,1,,,38,89
9135,note_on,495,0,4,,,,,,,,,3,,,49,89
9135,note_on,495,0,1,,,,,,,,,0,,,49,89
9150,note_on,495,0,2,,,,,,,,,1,,,49,89
9150,note_on,495,0,3,,,,,,,,,2,,,49,89
9600,note_on,465,0,4,,,,,,,,,3,,,52,89
9600,note_on,465,0,1,,,,,,,,,0,,,52,89
9615,note_on,465,0,3,,,,,,,,,2,,,52,89
9615,note_on,465,0,2,,,,,,,,,1,,,52,89
10095,note_on,495,0,4,,,,,,,,,3,,,55,89
10095,note_on,495,0,1,,,,,,,,,0,,,55,89
10110,note_on,495,0,2,,,,,,,,,1,,,55,89
10110,note_on,495,0,3,,,,,,,,,2,,,55,89
10560,note_on,465,0,1,,,,,,,,,0,,,58,89
10560,note_on,465,0,4,,,,,,,,,3,,,58,89
10575,note_on,465,0,3,,,,,,,,,2,,,58,89
10575,note_on,465,0,2,,,,,,,,,1,,,58,89
11055,note_on,495,0,1,,,,,,,,,0,,,61,89
11055,note_on,495,0,4,,,,,,,,,3,,,61,89
11070,note_on,495,0,2,,,,,,,,,1,,,61,89
11070,note_on,495,0,3,,,,,,,,,2,,,61,89
11520,note_on,465,0,4,,,,,,,,,3,,,64,89
11520,note_on,465,0,1,,,,,,,,,0,,,64,89
11535,note_on,465,0,2,,,,,,,,,1,,,64,89
11535,note_on,465,0,3,,,,,,,,,2,,,64,89
12405,note_on,885,0,4,,,,,,,,,3,,,55,0
12405,note_on,885,0,1,,,,,,,,,0,,,55,0
12420,note_on,885,0,2,,,,,,,,,1,,,55,0
12420,note_on,885,0,3,,,,,,,,,2,,,55,0
12465,note_on,0,0,4,,,,,,,,,3,,,52,0
12465,note_on,60,0,4,,,,,,,,,3,,,49,0
12465,note_on,0,0,4,,,,,,,,,3,,,58,0
12465,note_on,0,0,4,,,,,,,,,3,,,61,0
12465,note_on,0,0,1,,,,,,,,,0,,,61,0
12465,note_on,60,0,1,,,,,,,,,0,,,49,0
12465,note_on,0,0,1,,,,,,,,,0,,,52,0
12465,note_on,0,0,1,,,,,,,,,0,,,58,0
12480,note_on,0,0,1,,,,,,,,,0,,,50,89
12480,note_on,0,0,2,,,,,,,,,1,,,58,0
12480,note_on,0,0,2,,,,,,,,,1,,,61,0
12480,note_on,0,0,1,,,,,,,,,0,,,57,89
12480,note_on,0,0,3,,,,,,,,,2,,,52,0
12480,note_on,0,0,3,,,,,,,,,2,,,58,0
12480,note_on,0,0,3,,,,,,,,,2,,,61,0
12480,note_on,0,0,4,,,,,,,,,3,,,62,89
12480,note_on,0,0,2,,,,,,,,,1,,,52,0
12480,note_on,0,0,4,,,,,,,,,3,,,57,89
12480,note_on,0,0,4,,,,,,,,,3,,,50,89
12480,note_on,0,0,4,,,,,,,,,3,,,55,89
12480,note_on,0,0,1,,,,,,,,,0,,,62,89
