tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity,control,value
1920,note_on,0,0,3,,,,,,,,6,56,64,,
1920,note_on,0,0,16,,,,,,,,7,56,64,,
1920,note_on,0,0,7,,,,,,,,3,56,64,,
1920,note_on,120,0,3,,,,,,,,6,54,0,,
1920,note_on,0,0,14,,,,,,,,13,47,64,,
1920,note_on,240,0,14,,,,,,,,13,45,0,,
1920,note_on,120,0,7,,,,,,,,3,54,0,,
1920,note_on,0,0,8,,,,,,,,8,47,64,,
1920,note_on,240,0,8,,,,,,,,8,45,0,,
1920,note_on,120,0,16,,,,,,,,7,54,0,,
2040,note_on,120,0,3,,,,,,,,6,56,0,,
2040,note_on,120,0,7,,,,,,,,3,56,0,,
2040,note_on,0,0,7,,,,,,,,3,54,64,,
2040,note_on,0,0,16,,,,,,,,7,54,64,,
2040,note_on,120,0,16,,,,,,,,7,56,0,,
2040,note_on,0,0,3,,,,,,,,6,54,64,,
2160,note_on,120,0,3,,,,,,,,6,54,0,,
2160,note_on,0,0,16,,,,,,,,7,56,64,,
2160,note_on,120,0,16,,,,,,,,7,54,0,,
2160,note_on,0,0,3,,,,,,,,6,56,64,,
2160,note_on,120,0,7,,,,,,,,3,54,0,,
2160,note_on,0,0,7,,,,,,,,3,56,64,,
2280,note_on,120,0,3,,,,,,,,6,56,0,,
2280,note_on,360,0,14,,,,,,,,13,47,0,,
2280,note_on,120,0,7,,,,,,,,3,56,0,,
2280,note_on,0,0,7,,,,,,,,3,57,64,,
2280,note_on,0,0,3,,,,,,,,6,57,64,,
2280,note_on,0,0,14,,,,,,,,13,49,64,,
2280,note_on,120,0,16,,,,,,,,7,56,0,,
2280,note_on,0,0,16,,,,,,,,7,57,64,,
2280,note_on,360,0,8,,,,,,,,8,47,0,,
2280,note_on,0,0,8,,,,,,,,8,49,64,,
2400,note_on,0,0,14,,,,,,,,13,50,64,,
2400,note_on,120,0,14,,,,,,,,13,49,0,,
2400,note_on,120,0,3,,,,,,,,6,57,0,,
2400,note_on,0,0,3,,,,,,,,6,59,64,,
2400,note_on,0,0,16,,,,,,,,7,59,64,,
2400,note_on,0,0,8,,,,,,,,8,50,64,,
2400,note_on,120,0,8,,,,,,,,8,49,0,,
2400,note_on,120,0,16,,,,,,,,7,57,0,,
2400,note_on,120,0,7,,,,,,,,3,57,0,,
2400,note_on,0,0,7,,,,,,,,3,59,64,,
2520,note_on,120,0,8,,,,,,,,8,50,0,,
2520,note_on,120,0,14,,,,,,,,13,50,0,,
2520,note_on,0,0,8,,,,,,,,8,49,64,,
2520,note_on,0,0,14,,,,,,,,13,49,64,,
2640,note_on,120,0,14,,,,,,,,13,49,0,,
2640,note_on,0,0,16,,,,,,,,7,57,64,,
2640,note_on,240,0,16,,,,,,,,7,59,0,,
2640,note_on,240,0,7,,,,,,,,3,59,0,,
2640,note_on,0,0,8,,,,,,,,8,50,64,,
2640,note_on,120,0,8,,,,,,,,8,49,0,,
2640,note_on,0,0,14,,,,,,,,13,50,64,,
2640,note_on,0,0,7,,,,,,,,3,57,64,,
2640,note_on,240,0,3,,,,,,,,6,59,0,,
2640,note_on,0,0,3,,,,,,,,6,57,64,,
2760,note_on,120,0,14,,,,,,,,13,50,0,,
2760,note_on,0,0,8,,,,,,,,8,47,64,,
2760,note_on,120,0,8,,,,,,,,8,50,0,,
2760,note_on,120,0,3,,,,,,,,6,57,0,,
2760,note_on,0,0,7,,,,,,,,3,56,64,,
2760,note_on,0,0,3,,,,,,,,6,56,64,,
2760,note_on,0,0,16,,,,,,,,7,56,64,,
2760,note_on,120,0,16,,,,,,,,7,57,0,,
2760,note_on,0,0,14,,,,,,,,13,47,64,,
2760,note_on,120,0,7,,,,,,,,3,57,0,,
2880,note_on,0,0,7,,,,,,,,3,57,64,,
2880,note_on,0,0,16,,,,,,,,7,57,64,,
2880,note_on,120,0,7,,,,,,,,3,56,0,,
2880,note_on,120,0,14,,,,,,,,13,47,0,,
2880,note_on,120,0,8,,,,,,,,8,47,0,,
2880,note_on,0,0,8,,,,,,,,8,49,64,,
2880,note_on,0,0,3,,,,,,,,6,57,64,,
2880,note_on,120,0,3,,,,,,,,6,56,0,,
2880,note_on,120,0,16,,,,,,,,7,56,0,,
2880,note_on,0,0,14,,,,,,,,13,49,64,,
3000,note_on,120,0,14,,,,,,,,13,49,0,,
3000,note_on,0,0,14,,,,,,,,13,54,64,,
3000,note_on,120,0,8,,,,,,,,8,49,0,,
3000,note_on,0,0,8,,,,,,,,8,54,64,,
3120,note_on,0,0,16,,,,,,,,7,56,64,,
3120,note_on,240,0,16,,,,,,,,7,57,0,,
3120,note_on,0,0,3,,,,,,,,6,56,64,,
3120,note_on,240,0,3,,,,,,,,6,57,0,,
3120,note_on,240,0,7,,,,,,,,3,57,0,,
3120,note_on,0,0,7,,,,,,,,3,56,64,,
3240,note_on,240,0,8,,,,,,,,8,54,0,,
3240,note_on,240,0,14,,,,,,,,13,54,0,,
3240,note_on,0,0,14,,,,,,,,13,53,64,,
3240,note_on,0,0,8,,,,,,,,8,53,64,,
3360,note_on,0,0,7,,,,,,,,3,54,64,,
3360,note_on,240,0,16,,,,,,,,7,56,0,,
3360,note_on,0,0,3,,,,,,,,6,54,64,,
3360,note_on,240,0,3,,,,,,,,6,56,0,,
3360,note_on,120,0,14,,,,,,,,13,53,0,,
3360,note_on,0,0,14,,,,,,,,13,54,64,,
3360,note_on,120,0,8,,,,,,,,8,53,0,,
3360,note_on,0,0,16,,,,,,,,7,54,64,,
3360,note_on,3360,0,13,,,,,,,,12,61,64,,
3360,note_on,0,0,8,,,,,,,,8,54,64,,
3360,note_on,3360,0,9,,,,,,,,2,61,64,,
3360,note_on,240,0,7,,,,,,,,3,56,0,,
3360,note_on,0,0,16,,,,,,,,7,61,64,,
3420,note_on,60,0,8,,,,,,,,8,54,0,,
3420,note_on,0,0,8,,,,,,,,8,56,64,,
3420,note_on,60,0,14,,,,,,,,13,54,0,,
3420,note_on,0,0,14,,,,,,,,13,56,64,,
3480,note_on,0,0,8,,,,,,,,8,57,64,,
3480,note_on,60,0,8,,,,,,,,8,56,0,,
3480,note_on,0,0,14,,,,,,,,13,57,64,,
3480,note_on,60,0,14,,,,,,,,13,56,0,,
3600,note_on,0,0,16,,,,,,,,7,54,0,,
3600,note_on,240,0,7,,,,,,,,3,54,0,,
3600,note_on,0,0,7,,,,,,,,3,54,64,,
3600,note_on,0,0,9,,,,,,,,2,62,64,,
3600,note_on,240,0,9,,,,,,,,2,61,0,,
3600,note_on,240,0,3,,,,,,,,6,54,0,,
3600,note_on,0,0,3,,,,,,,,6,54,64,,
3600,note_on,240,0,16,,,,,,,,7,61,0,,
3600,note_on,0,0,13,,,,,,,,12,62,64,,
3600,note_on,240,0,13,,,,,,,,12,61,0,,
3600,note_on,0,0,16,,,,,,,,7,54,64,,
3600,note_on,0,0,16,,,,,,,,7,62,64,,
3720,note_on,240,0,14,,,,,,,,13,57,0,,
3720,note_on,240,0,8,,,,,,,,8,57,0,,
3720,note_on,0,0,8,,,,,,,,8,56,64,,
3720,note_on,0,0,14,,,,,,,,13,56,64,,
3780,note_on,0,0,8,,,,,,,,8,54,64,,
3780,note_on,60,0,14,,,,,,,,13,56,0,,
3780,note_on,0,0,14,,,,,,,,13,54,64,,
3780,note_on,60,0,8,,,,,,,,8,56,0,,
3840,note_on,0,0,13,,,,,,,,12,60,64,,
3840,note_on,240,0,16,,,,,,,,7,62,0,,
3840,note_on,0,0,16,,,,,,,,7,60,64,,
3840,note_on,0,0,9,,,,,,,,2,60,64,,
3840,note_on,240,0,9,,,,,,,,2,62,0,,
3840,note_on,60,0,8,,,,,,,,8,54,0,,
3840,note_on,240,0,13,,,,,,,,12,62,0,,
3840,note_on,0,0,14,,,,,,,,13,56,64,,
3840,note_on,60,0,14,,,,,,,,13,54,0,,
3840,note_on,0,0,8,,,,,,,,8,56,64,,
3960,note_on,0,0,16,,,,,,,,7,51,64,,
3960,note_on,0,0,7,,,,,,,,3,51,64,,
3960,note_on,360,0,7,,,,,,,,3,54,0,,
3960,note_on,360,0,3,,,,,,,,6,54,0,,
3960,note_on,0,0,3,,,,,,,,6,51,64,,
3960,note_on,120,0,16,,,,,,,,7,54,0,,
4080,note_on,0,0,16,,,,,,,,7,52,64,,
4080,note_on,0,0,3,,,,,,,,6,52,64,,
4080,note_on,120,0,3,,,,,,,,6,51,0,,
4080,note_on,120,0,7,,,,,,,,3,51,0,,
4080,note_on,0,0,7,,,,,,,,3,52,64,,
4080,note_on,120,0,16,,,,,,,,7,51,0,,
4200,note_on,120,0,16,,,,,,,,7,52,0,,
4200,note_on,0,0,13,,,,,,,,12,61,64,,
4200,note_on,360,0,13,,,,,,,,12,60,0,,
4200,note_on,0,0,3,,,,,,,,6,49,64,,
4200,note_on,120,0,3,,,,,,,,6,52,0,,
4200,note_on,0,0,7,,,,,,,,3,49,64,,
4200,note_on,120,0,7,,,,,,,,3,52,0,,
4200,note_on,360,0,9,,,,,,,,2,60,0,,
4200,note_on,0,0,9,,,,,,,,2,61,64,,
4200,note_on,0,0,16,,,,,,,,7,49,64,,
4200,note_on,0,0,16,,,,,,,,7,60,0,,
4200,note_on,0,0,16,,,,,,,,7,61,64,,
4320,note_on,120,0,7,,,,,,,,3,49,0,,
4320,note_on,0,0,7,,,,,,,,3,48,64,,
4320,note_on,120,0,9,,,,,,,,2,61,0,,
4320,note_on,0,0,9,,,,,,,,2,63,64,,
4320,note_on,0,0,13,,,,,,,,12,63,64,,
4320,note_on,120,0,13,,,,,,,,12,61,0,,
4320,note_on,0,0,16,,,,,,,,7,63,64,,
4320,note_on,0,0,16,,,,,,,,7,48,64,,
4320,note_on,0,0,16,,,,,,,,7,49,0,,
4320,note_on,120,0,16,,,,,,,,7,61,0,,
4320,note_on,0,0,3,,,,,,,,6,48,64,,
4320,note_on,120,0,3,,,,,,,,6,49,0,,
4440,note_on,120,0,16,,,,,,,,7,63,0,,
4440,note_on,0,0,13,,,,,,,,12,61,64,,
4440,note_on,120,0,13,,,,,,,,12,63,0,,
4440,note_on,0,0,9,,,,,,,,2,61,64,,
4440,note_on,0,0,16,,,,,,,,7,61,64,,
4440,note_on,120,0,9,,,,,,,,2,63,0,,
4560,note_on,120,0,16,,,,,,,,7,61,0,,
4560,note_on,0,0,8,,,,,,,,8,54,64,,
4560,note_on,720,0,8,,,,,,,,8,56,0,,
4560,note_on,0,0,16,,,,,,,,7,63,64,,
4560,note_on,120,0,9,,,,,,,,2,61,0,,
4560,note_on,120,0,13,,,,,,,,12,61,0,,
4560,note_on,0,0,13,,,,,,,,12,63,64,,
4560,note_on,0,0,9,,,,,,,,2,63,64,,
4560,note_on,0,0,14,,,,,,,,13,54,64,,
4560,note_on,720,0,14,,,,,,,,13,56,0,,
4680,note_on,120,0,8,,,,,,,,8,54,0,,
4680,note_on,0,0,8,,,,,,,,8,52,64,,
4680,note_on,120,0,9,,,,,,,,2,63,0,,
4680,note_on,0,0,9,,,,,,,,2,64,64,,
4680,note_on,120,0,16,,,,,,,,7,63,0,,
4680,note_on,0,0,7,,,,,,,,3,49,64,,
4680,note_on,0,0,3,,,,,,,,6,49,64,,
4680,note_on,0,0,16,,,,,,,,7,48,0,,
4680,note_on,0,0,16,,,,,,,,7,49,64,,
4680,note_on,0,0,14,,,,,,,,13,52,64,,
4680,note_on,120,0,14,,,,,,,,13,54,0,,
4680,note_on,0,0,16,,,,,,,,7,64,64,,
4680,note_on,360,0,3,,,,,,,,6,48,0,,
4680,note_on,120,0,13,,,,,,,,12,63,0,,
4680,note_on,0,0,13,,,,,,,,12,64,64,,
4680,note_on,360,0,7,,,,,,,,3,48,0,,
4800,note_on,0,0,14,,,,,,,,13,57,64,,
4800,note_on,120,0,14,,,,,,,,13,52,0,,
4800,note_on,0,0,3,,,,,,,,6,49,64,,
4800,note_on,120,0,3,,,,,,,,6,49,0,,
4800,note_on,120,0,8,,,,,,,,8,52,0,,
4800,note_on,0,0,16,,,,,,,,7,49,64,,
4800,note_on,0,0,13,,,,,,,,12,66,64,,
4800,note_on,120,0,13,,,,,,,,12,64,0,,
4800,note_on,0,0,16,,,,,,,,7,66,64,,
4800,note_on,0,0,9,,,,,,,,2,66,64,,
4800,note_on,0,0,16,,,,,,,,7,49,0,,
4800,note_on,120,0,9,,,,,,,,2,64,0,,
4800,note_on,0,0,8,,,,,,,,8,57,64,,
4800,note_on,0,0,7,,,,,,,,3,49,64,,
4800,note_on,120,0,7,,,,,,,,3,49,0,,
4800,note_on,120,0,16,,,,,,,,7,64,0,,
5040,note_on,240,0,8,,,,,,,,8,57,0,,
5040,note_on,0,0,8,,,,,,,,8,54,64,,
5040,note_on,240,0,16,,,,,,,,7,66,0,,
5040,note_on,0,0,16,,,,,,,,7,49,0,,
5040,note_on,240,0,9,,,,,,,,2,66,0,,
5040,note_on,0,0,9,,,,,,,,2,64,64,,
5040,note_on,0,0,13,,,,,,,,12,64,64,,
5040,note_on,240,0,3,,,,,,,,6,49,0,,
5040,note_on,240,0,13,,,,,,,,12,66,0,,
5040,note_on,0,0,16,,,,,,,,7,61,64,,
5040,note_on,0,0,16,,,,,,,,7,64,64,,
5040,note_on,240,0,14,,,,,,,,13,57,0,,
5040,note_on,0,0,14,,,,,,,,13,54,64,,
5040,note_on,0,0,7,,,,,,,,3,61,64,,
5040,note_on,240,0,7,,,,,,,,3,49,0,,
5040,note_on,0,0,3,,,,,,,,6,61,64,,
5160,note_on,120,0,16,,,,,,,,7,64,0,,
5160,note_on,0,0,16,,,,,,,,7,63,64,,
5160,note_on,120,0,13,,,,,,,,12,64,0,,
5160,note_on,0,0,13,,,,,,,,12,63,64,,
5160,note_on,120,0,9,,,,,,,,2,64,0,,
5160,note_on,0,0,9,,,,,,,,2,63,64,,
5280,note_on,0,0,8,,,,,,,,8,56,64,,
5280,note_on,0,0,14,,,,,,,,13,56,64,,
5280,note_on,240,0,14,,,,,,,,13,54,0,,
5280,note_on,240,0,8,,,,,,,,8,54,0,,
5280,note_on,120,0,16,,,,,,,,7,63,0,,
5280,note_on,0,0,16,,,,,,,,7,64,64,,
5280,note_on,120,0,9,,,,,,,,2,63,0,,
5280,note_on,120,0,13,,,,,,,,12,63,0,,
5280,note_on,0,0,13,,,,,,,,12,64,64,,
5280,note_on,0,0,9,,,,,,,,2,64,64,,
5520,note_on,240,0,16,,,,,,,,7,64,0,,
5520,note_on,0,0,16,,,,,,,,7,61,0,,
5520,note_on,0,0,16,,,,,,,,7,60,64,,
5520,note_on,0,0,9,,,,,,,,2,63,64,,
5520,note_on,240,0,9,,,,,,,,2,64,0,,
5520,note_on,0,0,13,,,,,,,,12,63,64,,
5520,note_on,0,0,16,,,,,,,,7,63,64,,
5520,note_on,240,0,13,,,,,,,,12,64,0,,
5520,note_on,0,0,3,,,,,,,,6,60,64,,
5520,note_on,480,0,3,,,,,,,,6,61,0,,
5520,note_on,480,0,7,,,,,,,,3,61,0,,
5520,note_on,0,0,7,,,,,,,,3,60,64,,
5640,note_on,360,0,8,,,,,,,,8,56,0,,
5640,note_on,0,0,8,,,,,,,,8,54,64,,
5640,note_on,360,0,14,,,,,,,,13,56,0,,
5640,note_on,0,0,14,,,,,,,,13,54,64,,
5760,note_on,0,0,16,,,,,,,,7,61,45,,
5760,note_on,240,0,16,,,,,,,,7,63,0,,
5760,note_on,240,0,7,,,,,,,,3,60,0,,
5760,note_on,0,0,14,,,,,,,,13,52,45,,
5760,note_on,120,0,14,,,,,,,,13,54,0,,
5760,note_on,240,0,9,,,,,,,,2,63,0,,
5760,note_on,0,0,9,,,,,,,,2,61,45,,
5760,note_on,0,0,16,,,,,,,,7,60,0,,
5760,note_on,0,0,7,,,,,,,,3,61,45,,
5760,note_on,0,0,3,,,,,,,,6,61,45,,
5760,note_on,0,0,13,,,,,,,,12,61,45,,
5760,note_on,240,0,13,,,,,,,,12,63,0,,
5760,note_on,120,0,8,,,,,,,,8,54,0,,
5760,note_on,240,0,3,,,,,,,,6,60,0,,
5760,note_on,0,0,8,,,,,,,,8,52,45,,
5880,note_on,0,0,14,,,,,,,,13,51,45,,
5880,note_on,120,0,8,,,,,,,,8,52,0,,
5880,note_on,0,0,8,,,,,,,,8,51,45,,
5880,note_on,120,0,14,,,,,,,,13,52,0,,
6000,note_on,120,0,14,,,,,,,,13,51,0,,
6000,note_on,0,0,14,,,,,,,,13,49,45,,
6000,note_on,240,0,16,,,,,,,,7,64,45,,
6000,note_on,120,0,8,,,,,,,,8,51,0,,
6000,note_on,0,0,13,,,,,,,,12,64,45,,
6000,note_on,240,0,13,,,,,,,,12,61,0,,
6000,note_on,240,0,9,,,,,,,,2,61,0,,
6000,note_on,0,0,9,,,,,,,,2,64,45,,
6000,note_on,0,0,8,,,,,,,,8,49,45,,
6120,note_on,120,0,8,,,,,,,,8,49,0,,
6120,note_on,0,0,14,,,,,,,,13,47,45,,
6120,note_on,120,0,14,,,,,,,,13,49,0,,
6120,note_on,0,0,8,,,,,,,,8,47,45,,
6120,note_on,0,0,7,,,,,,,,3,56,45,,
6120,note_on,360,0,7,,,,,,,,3,61,0,,
6120,note_on,0,0,16,,,,,,,,7,56,45,,
6120,note_on,0,0,3,,,,,,,,6,56,45,,
6120,note_on,120,0,16,,,,,,,,7,61,0,,
6120,note_on,360,0,3,,,,,,,,6,61,0,,
6240,note_on,0,0,3,,,,,,,,6,61,45,,
6240,note_on,120,0,7,,,,,,,,3,56,0,,
6240,note_on,0,0,7,,,,,,,,3,61,45,,
6240,note_on,120,0,16,,,,,,,,7,56,0,,
6240,note_on,120,0,8,,,,,,,,8,47,0,,
6240,note_on,0,0,8,,,,,,,,8,46,45,,
6240,note_on,0,0,14,,,,,,,,13,46,45,,
6240,note_on,120,0,14,,,,,,,,13,47,0,,
6240,note_on,120,0,3,,,,,,,,6,56,0,,
6240,note_on,0,0,16,,,,,,,,7,61,45,,
6360,note_on,0,0,14,,,,,,,,13,49,45,,
6360,note_on,120,0,8,,,,,,,,8,46,0,,
6360,note_on,0,0,8,,,,,,,,8,49,45,,
6360,note_on,0,0,16,,,,,,,,7,58,45,,
6360,note_on,120,0,16,,,,,,,,7,61,0,,
6360,note_on,0,0,7,,,,,,,,3,58,45,,
6360,note_on,120,0,7,,,,,,,,3,61,0,,
6360,note_on,0,0,3,,,,,,,,6,58,45,,
6360,note_on,120,0,3,,,,,,,,6,61,0,,
6360,note_on,120,0,14,,,,,,,,13,46,0,,
6480,note_on,0,0,16,,,,,,,,7,62,45,,
6480,note_on,120,0,16,,,,,,,,7,58,0,,
6480,note_on,120,0,14,,,,,,,,13,49,0,,
6480,note_on,0,0,7,,,,,,,,3,59,45,,
6480,note_on,120,0,8,,,,,,,,8,49,0,,
6480,note_on,0,0,8,,,,,,,,8,42,45,,
6480,note_on,0,0,16,,,,,,,,7,59,45,,
6480,note_on,0,0,9,,,,,,,,2,62,45,,
6480,note_on,120,0,7,,,,,,,,3,58,0,,
6480,note_on,480,0,13,,,,,,,,12,64,0,,
6480,note_on,0,0,13,,,,,,,,12,62,45,,
6480,note_on,480,0,9,,,,,,,,2,64,0,,
6480,note_on,0,0,3,,,,,,,,6,59,45,,
6480,note_on,120,0,3,,,,,,,,6,58,0,,
6480,note_on,0,0,14,,,,,,,,13,42,45,,
6480,note_on,0,0,16,,,,,,,,7,64,0,,
6600,note_on,120,0,3,,,,,,,,6,59,0,,
6600,note_on,0,0,9,,,,,,,,2,61,45,,
6600,note_on,0,0,7,,,,,,,,3,61,45,,
6600,note_on,0,0,16,,,,,,,,7,61,45,,
6600,note_on,0,0,16,,,,,,,,7,59,0,,
6600,note_on,120,0,16,,,,,,,,7,62,0,,
6600,note_on,120,0,7,,,,,,,,3,59,0,,
6600,note_on,0,0,3,,,,,,,,6,61,45,,
6600,note_on,120,0,9,,,,,,,,2,62,0,,
6600,note_on,120,0,13,,,,,,,,12,62,0,,
6600,note_on,0,0,13,,,,,,,,12,61,45,,
6720,note_on,0,0,7,,,,,,,,3,62,45,,
6720,note_on,240,0,14,,,,,,,,13,42,0,,
6720,note_on,0,0,9,,,,,,,,2,59,45,,
6720,note_on,120,0,9,,,,,,,,2,61,0,,
6720,note_on,0,0,8,,,,,,,,8,54,45,,
6720,note_on,240,0,8,,,,,,,,8,42,0,,
6720,note_on,120,0,7,,,,,,,,3,61,0,,
6720,note_on,0,0,16,,,,,,,,7,62,45,,
6720,note_on,0,0,16,,,,,,,,7,59,45,,
6720,note_on,120,0,16,,,,,,,,7,61,0,,
6720,note_on,0,0,3,,,,,,,,6,62,45,,
6720,note_on,0,0,13,,,,,,,,12,59,45,,
6720,note_on,120,0,13,,,,,,,,12,61,0,,
6720,note_on,120,0,3,,,,,,,,6,61,0,,
6720,note_on,0,0,14,,,,,,,,13,54,45,,
6960,note_on,0,0,3,,,,,,,,6,61,45,,
6960,note_on,240,0,3,,,,,,,,6,62,0,,
6960,note_on,240,0,9,,,,,,,,2,59,0,,
6960,note_on,0,0,9,,,,,,,,2,58,45,,
6960,note_on,240,0,7,,,,,,,,3,62,0,,
6960,note_on,0,0,7,,,,,,,,3,61,45,,
6960,note_on,0,0,16,,,,,,,,7,58,45,,
6960,note_on,0,0,16,,,,,,,,7,59,0,,
6960,note_on,240,0,16,,,,,,,,7,62,0,,
6960,note_on,0,0,13,,,,,,,,12,58,45,,
6960,note_on,0,0,16,,,,,,,,7,61,45,,
6960,note_on,240,0,13,,,,,,,,12,59,0,,
7080,note_on,360,0,14,,,,,,,,13,54,0,,
7080,note_on,360,0,8,,,,,,,,8,54,0,,
7080,note_on,0,0,8,,,,,,,,8,52,45,,
7080,note_on,0,0,14,,,,,,,,13,52,45,,
7200,note_on,240,0,13,,,,,,,,12,58,0,,
7200,note_on,240,0,3,,,,,,,,6,61,0,,
7200,note_on,0,0,3,,,,,,,,6,59,45,,
7200,note_on,0,0,7,,,,,,,,3,59,45,,
7200,note_on,240,0,7,,,,,,,,3,61,0,,
7200,note_on,0,0,13,,,,,,,,12,59,45,,
7200,note_on,0,0,16,,,,,,,,7,59,45,,
7200,note_on,0,0,16,,,,,,,,7,58,0,,
7200,note_on,240,0,9,,,,,,,,2,58,0,,
7200,note_on,120,0,8,,,,,,,,8,52,0,,
7200,note_on,120,0,14,,,,,,,,13,52,0,,
7200,note_on,0,0,14,,,,,,,,13,50,45,,
7200,note_on,0,0,9,,,,,,,,2,59,45,,
7200,note_on,0,0,8,,,,,,,,8,50,45,,
7200,note_on,240,0,16,,,,,,,,7,61,0,,
7320,note_on,120,0,14,,,,,,,,13,50,0,,
7320,note_on,0,0,14,,,,,,,,13,49,45,,
7320,note_on,0,0,8,,,,,,,,8,49,45,,
7320,note_on,120,0,8,,,,,,,,8,50,0,,
7440,note_on,0,0,9,,,,,,,,2,62,45,,
7440,note_on,240,0,16,,,,,,,,7,62,45,,
7440,note_on,0,0,8,,,,,,,,8,47,45,,
7440,note_on,120,0,8,,,,,,,,8,49,0,,
7440,note_on,240,0,9,,,,,,,,2,59,0,,
7440,note_on,0,0,14,,,,,,,,13,47,45,,
7440,note_on,120,0,14,,,,,,,,13,49,0,,
7440,note_on,240,0,13,,,,,,,,12,59,0,,
7440,note_on,0,0,13,,,,,,,,12,62,45,,
7560,note_on,120,0,8,,,,,,,,8,47,0,,
