tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity,pitch,control,value
0,track_name,,,,,0,1,12,,,,,,,,,,
0,program_change,,,,,0,0,12,,,,45,13,,,,,
0,midi_port,,,,,0,1,13,,,0,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,,
0,program_change,,,,,0,0,13,,,,45,14,,,,,
0,midi_port,,,,,0,1,14,,,0,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,end_of_track,,,,,0,1,20,,,,,,,,,,
0,key_signature,,,,,0,1,0,Eb,,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,67,127,,,
0,program_change,,,,,0,0,1,,,,48,0,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,set_tempo,,,,,0,1,0,,705882,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
60,note_on,,,,,0,0,7,,,,,6,72,100,,,
60,note_on,,,,,60,0,7,,,,,6,67,0,,,
60,note_on,,,,,0,0,1,,,,,0,72,127,,,
60,note_on,,,,,60,0,1,,,,,0,67,0,,,
60,note_on,,,,,0,0,2,,,,,1,63,127,,,
60,note_on,,,,,60,0,2,,,,,1,60,0,,,
60,note_on,,,,,60,0,5,,,,,4,67,0,,,
60,note_on,,,,,0,0,5,,,,,4,72,120,,,
120,note_on,,,,,120,0,4,,,,,3,48,0,,,
120,note_on,,,,,0,0,7,,,,,6,63,0,,,
120,note_on,,,,,0,0,5,,,,,4,63,0,,,
120,note_on,,,,,60,0,7,,,,,6,72,0,,,
120,note_on,,,,,0,0,7,,,,,6,67,100,,,
120,note_on,,,,,0,0,5,,,,,4,75,120,,,
120,note_on,,,,,60,0,1,,,,,0,72,0,,,
120,note_on,,,,,120,0,6,,,,,5,48,0,,,
120,note_on,,,,,0,0,6,,,,,5,60,0,,,
120,note_on,,,,,0,0,6,,,,,5,51,0,,,
120,note_on,,,,,0,0,6,,,,,5,55,0,,,
120,note_on,,,,,60,0,5,,,,,4,72,0,,,
120,note_on,,,,,0,0,1,,,,,0,75,127,,,
120,note_on,,,,,0,0,5,,,,,4,67,120,,,
120,note_on,,,,,0,0,7,,,,,6,75,100,,,
120,note_on,,,,,60,0,2,,,,,1,63,0,,,
120,note_on,,,,,0,0,2,,,,,1,67,127,,,
120,note_on,,,,,0,0,8,,,,,7,51,0,,,
120,note_on,,,,,0,0,8,,,,,7,60,0,,,
120,note_on,,,,,120,0,3,,,,,2,67,0,,,
120,note_on,,,,,120,0,8,,,,,7,48,0,,,
120,note_on,,,,,0,0,8,,,,,7,55,0,,,
180,note_on,,,,,60,0,1,,,,,0,75,0,,,
180,note_on,,,,,0,0,2,,,,,1,65,127,,,
180,note_on,,,,,0,0,5,,,,,4,74,120,,,
180,note_on,,,,,0,0,7,,,,,6,65,100,,,
180,note_on,,,,,0,0,7,,,,,6,67,0,,,
180,note_on,,,,,60,0,7,,,,,6,75,0,,,
180,note_on,,,,,60,0,2,,,,,1,67,0,,,
180,note_on,,,,,0,0,7,,,,,6,74,100,,,
180,note_on,,,,,0,0,5,,,,,4,65,120,,,
180,note_on,,,,,0,0,1,,,,,0,74,127,,,
180,note_on,,,,,60,0,5,,,,,4,75,0,,,
180,note_on,,,,,0,0,5,,,,,4,67,0,,,
240,note_on,,,,,120,0,8,,,,,7,60,100,,,
240,note_on,,,,,120,0,4,,,,,3,48,100,,,
240,note_on,,,,,120,0,3,,,,,2,60,127,,,
240,note_on,,,,,60,0,1,,,,,0,74,0,,,
240,note_on,,,,,0,0,1,,,,,0,67,127,,,
240,note_on,,,,,120,0,6,,,,,5,60,120,,,
240,note_on,,,,,60,0,2,,,,,1,65,0,,,
240,note_on,,,,,0,0,2,,,,,1,63,127,,,
240,note_on,,,,,60,0,7,,,,,6,74,0,,,
240,note_on,,,,,0,0,7,,,,,6,65,0,,,
240,note_on,,,,,0,0,7,,,,,6,63,100,,,
240,note_on,,,,,0,0,7,,,,,6,67,100,,,
240,note_on,,,,,60,0,5,,,,,4,74,0,,,
240,note_on,,,,,0,0,5,,,,,4,65,0,,,
240,note_on,,,,,0,0,5,,,,,4,63,120,,,
240,note_on,,,,,0,0,5,,,,,4,67,120,,,
270,note_on,,,,,0,0,7,,,,,6,62,100,,,
270,note_on,,,,,30,0,7,,,,,6,63,0,,,
270,note_on,,,,,30,0,5,,,,,4,63,0,,,
270,note_on,,,,,0,0,5,,,,,4,62,120,,,
300,note_on,,,,,0,0,7,,,,,6,67,0,,,
300,note_on,,,,,60,0,1,,,,,0,67,0,,,
300,note_on,,,,,30,0,5,,,,,4,62,0,,,
300,note_on,,,,,0,0,5,,,,,4,67,0,,,
300,note_on,,,,,60,0,2,,,,,1,63,0,,,
300,note_on,,,,,0,0,2,,,,,1,63,127,,,
300,note_on,,,,,0,0,1,,,,,0,72,127,,,
300,note_on,,,,,0,0,5,,,,,4,72,120,,,
300,note_on,,,,,0,0,7,,,,,6,72,100,,,
300,note_on,,,,,30,0,7,,,,,6,62,0,,,
300,note_on,,,,,0,0,7,,,,,6,63,100,,,
300,note_on,,,,,0,0,5,,,,,4,63,120,,,
330,note_on,,,,,0,0,7,,,,,6,74,100,,,
330,note_on,,,,,30,0,7,,,,,6,72,0,,,
330,note_on,,,,,0,0,7,,,,,6,65,100,,,
330,note_on,,,,,0,0,7,,,,,6,63,0,,,
330,note_on,,,,,0,0,5,,,,,4,63,0,,,
330,note_on,,,,,0,0,1,,,,,0,74,127,,,
330,note_on,,,,,30,0,1,,,,,0,72,0,,,
330,note_on,,,,,30,0,2,,,,,1,63,0,,,
330,note_on,,,,,0,0,2,,,,,1,65,127,,,
330,note_on,,,,,0,0,5,,,,,4,74,120,,,
330,note_on,,,,,0,0,5,,,,,4,65,120,,,
330,note_on,,,,,30,0,5,,,,,4,72,0,,,
360,note_on,,,,,30,0,1,,,,,0,74,0,,,
360,note_on,,,,,120,0,8,,,,,7,60,0,,,
360,note_on,,,,,30,0,2,,,,,1,65,0,,,
360,note_on,,,,,0,0,2,,,,,1,67,127,,,
360,note_on,,,,,0,0,7,,,,,6,75,100,,,
360,note_on,,,,,0,0,7,,,,,6,67,100,,,
360,note_on,,,,,0,0,7,,,,,6,65,0,,,
360,note_on,,,,,30,0,7,,,,,6,74,0,,,
360,note_on,,,,,0,0,1,,,,,0,75,127,,,
360,note_on,,,,,120,0,3,,,,,2,60,0,,,
360,note_on,,,,,120,0,4,,,,,3,48,0,,,
360,note_on,,,,,30,0,5,,,,,4,74,0,,,
360,note_on,,,,,0,0,5,,,,,4,65,0,,,
360,note_on,,,,,120,0,6,,,,,5,60,0,,,
360,note_on,,,,,0,0,5,,,,,4,67,120,,,
360,note_on,,,,,0,0,5,,,,,4,75,120,,,
390,note_on,,,,,30,0,1,,,,,0,75,0,,,
390,note_on,,,,,0,0,5,,,,,4,74,120,,,
390,note_on,,,,,0,0,5,,,,,4,65,120,,,
390,note_on,,,,,0,0,5,,,,,4,67,0,,,
390,note_on,,,,,0,0,7,,,,,6,74,100,,,
390,note_on,,,,,0,0,2,,,,,1,65,127,,,
390,note_on,,,,,0,0,7,,,,,6,65,100,,,
390,note_on,,,,,0,0,7,,,,,6,67,0,,,
390,note_on,,,,,30,0,7,,,,,6,75,0,,,
390,note_on,,,,,30,0,5,,,,,4,75,0,,,
390,note_on,,,,,30,0,2,,,,,1,67,0,,,
390,note_on,,,,,0,0,1,,,,,0,74,127,,,
420,note_on,,,,,0,0,7,,,,,6,65,0,,,
420,note_on,,,,,30,0,1,,,,,0,74,0,,,
420,note_on,,,,,0,0,1,,,,,0,75,127,,,
420,note_on,,,,,30,0,7,,,,,6,74,0,,,
420,note_on,,,,,0,0,7,,,,,6,75,100,,,
420,note_on,,,,,30,0,5,,,,,4,74,0,,,
420,note_on,,,,,0,0,5,,,,,4,65,0,,,
420,note_on,,,,,0,0,5,,,,,4,67,120,,,
420,note_on,,,,,0,0,5,,,,,4,75,120,,,
420,note_on,,,,,0,0,2,,,,,1,67,127,,,
420,note_on,,,,,30,0,2,,,,,1,65,0,,,
420,note_on,,,,,0,0,7,,,,,6,67,100,,,
450,note_on,,,,,0,0,2,,,,,1,65,127,,,
450,note_on,,,,,30,0,2,,,,,1,67,0,,,
450,note_on,,,,,0,0,7,,,,,6,74,100,,,
450,note_on,,,,,0,0,7,,,,,6,65,100,,,
450,note_on,,,,,0,0,5,,,,,4,65,120,,,
450,note_on,,,,,30,0,7,,,,,6,75,0,,,
450,note_on,,,,,0,0,5,,,,,4,74,120,,,
450,note_on,,,,,0,0,5,,,,,4,67,0,,,
450,note_on,,,,,30,0,5,,,,,4,75,0,,,
450,note_on,,,,,0,0,1,,,,,0,74,127,,,
450,note_on,,,,,30,0,1,,,,,0,75,0,,,
450,note_on,,,,,0,0,7,,,,,6,67,0,,,
480,note_on,,,,,0,0,6,,,,,5,48,120,,,
480,note_on,,,,,0,0,6,,,,,5,55,120,,,
480,note_on,,,,,0,0,7,,,,,6,65,0,,,
480,note_on,,,,,120,0,8,,,,,7,51,100,,,
480,note_on,,,,,0,0,8,,,,,7,55,100,,,
480,note_on,,,,,0,0,8,,,,,7,48,100,,,
480,note_on,,,,,0,0,5,,,,,4,72,120,,,
480,note_on,,,,,0,0,5,,,,,4,63,120,,,
480,note_on,,,,,0,0,5,,,,,4,65,0,,,
480,note_on,,,,,30,0,5,,,,,4,74,0,,,
480,note_on,,,,,120,0,4,,,,,3,48,100,,,
480,note_on,,,,,120,0,6,,,,,5,51,120,,,
480,note_on,,,,,0,0,7,,,,,6,63,100,,,
480,note_on,,,,,120,0,3,,,,,2,55,127,,,
480,note_on,,,,,0,0,7,,,,,6,72,100,,,
480,note_on,,,,,30,0,1,,,,,0,74,0,,,
480,note_on,,,,,0,0,1,,,,,0,72,127,,,
480,note_on,,,,,30,0,2,,,,,1,65,0,,,
480,note_on,,,,,0,0,2,,,,,1,63,127,,,
480,note_on,,,,,30,0,7,,,,,6,74,0,,,
540,note_on,,,,,60,0,5,,,,,4,72,0,,,
540,note_on,,,,,0,0,7,,,,,6,74,100,,,
540,note_on,,,,,0,0,7,,,,,6,63,0,,,
540,note_on,,,,,0,0,5,,,,,4,63,0,,,
540,note_on,,,,,0,0,1,,,,,0,74,127,,,
540,note_on,,,,,60,0,1,,,,,0,72,0,,,
540,note_on,,,,,0,0,4,,,,,3,60,100,,,
540,note_on,,,,,60,0,4,,,,,3,48,0,,,
540,note_on,,,,,0,0,3,,,,,2,60,127,,,
540,note_on,,,,,60,0,7,,,,,6,72,0,,,
540,note_on,,,,,0,0,5,,,,,4,74,120,,,
540,note_on,,,,,0,0,6,,,,,5,55,0,,,
540,note_on,,,,,0,0,8,,,,,7,55,0,,,
540,note_on,,,,,60,0,6,,,,,5,48,0,,,
540,note_on,,,,,0,0,6,,,,,5,60,120,,,
540,note_on,,,,,0,0,2,,,,,1,65,127,,,
540,note_on,,,,,60,0,2,,,,,1,63,0,,,
540,note_on,,,,,60,0,8,,,,,7,48,0,,,
540,note_on,,,,,0,0,6,,,,,5,51,0,,,
540,note_on,,,,,60,0,3,,,,,2,55,0,,,
540,note_on,,,,,0,0,8,,,,,7,51,0,,,
540,note_on,,,,,0,0,8,,,,,7,60,100,,,
570,note_on,,,,,0,0,7,,,,,6,75,100,,,
570,note_on,,,,,30,0,7,,,,,6,74,0,,,
570,note_on,,,,,30,0,5,,,,,4,74,0,,,
570,note_on,,,,,0,0,5,,,,,4,75,120,,,
570,note_on,,,,,30,0,1,,,,,0,74,0,,,
570,note_on,,,,,30,0,2,,,,,1,65,0,,,
570,note_on,,,,,0,0,2,,,,,1,67,127,,,
570,note_on,,,,,0,0,1,,,,,0,75,127,,,
600,note_on,,,,,60,0,3,,,,,2,60,0,,,
600,note_on,,,,,60,0,6,,,,,5,60,0,,,
600,note_on,,,,,0,0,3,,,,,2,60,127,,,
600,note_on,,,,,0,0,5,,,,,4,77,120,,,
600,note_on,,,,,0,0,4,,,,,3,56,100,,,
600,note_on,,,,,0,0,8,,,,,7,56,100,,,
600,note_on,,,,,30,0,7,,,,,6,75,0,,,
600,note_on,,,,,0,0,7,,,,,6,77,100,,,
600,note_on,,,,,30,0,5,,,,,4,75,0,,,
600,note_on,,,,,60,0,4,,,,,3,60,0,,,
600,note_on,,,,,0,0,6,,,,,5,56,120,,,
600,note_on,,,,,60,0,8,,,,,7,60,0,,,
600,note_on,,,,,30,0,1,,,,,0,75,0,,,
600,note_on,,,,,0,0,1,,,,,0,77,127,,,
600,note_on,,,,,0,0,2,,,,,1,60,127,,,
600,note_on,,,,,30,0,2,,,,,1,67,0,,,
630,note_on,,,,,0,0,5,,,,,4,79,120,,,
630,note_on,,,,,30,0,5,,,,,4,77,0,,,
630,note_on,,,,,30,0,7,,,,,6,77,0,,,
630,note_on,,,,,0,0,7,,,,,6,79,100,,,
630,note_on,,,,,0,0,1,,,,,0,79,127,,,
630,note_on,,,,,30,0,1,,,,,0,77,0,,,
660,note_on,,,,,60,0,8,,,,,7,56,0,,,
660,note_on,,,,,60,0,4,,,,,3,56,0,,,
660,note_on,,,,,60,0,2,,,,,1,60,0,,,
660,note_on,,,,,0,0,8,,,,,7,53,100,,,
660,note_on,,,,,0,0,5,,,,,4,80,120,,,
660,note_on,,,,,60,0,6,,,,,5,56,0,,,
660,note_on,,,,,0,0,6,,,,,5,53,120,,,
660,note_on,,,,,0,0,3,,,,,2,68,127,,,
660,note_on,,,,,30,0,5,,,,,4,79,0,,,
660,note_on,,,,,0,0,4,,,,,3,53,100,,,
660,note_on,,,,,0,0,2,,,,,1,72,127,,,
660,note_on,,,,,60,0,3,,,,,2,60,0,,,
660,note_on,,,,,30,0,1,,,,,0,79,0,,,
660,note_on,,,,,0,0,1,,,,,0,80,127,,,
660,note_on,,,,,0,0,7,,,,,6,80,100,,,
660,note_on,,,,,30,0,7,,,,,6,79,0,,,
720,note_on,,,,,60,0,6,,,,,5,53,0,,,
720,note_on,,,,,60,0,8,,,,,7,53,0,,,
720,note_on,,,,,0,0,8,,,,,7,46,100,,,
720,note_on,,,,,0,0,5,,,,,4,80,120,,,
720,note_on,,,,,60,0,5,,,,,4,80,0,,,
720,note_on,,,,,60,0,7,,,,,6,80,0,,,
720,note_on,,,,,0,0,7,,,,,6,80,100,,,
720,note_on,,,,,0,0,6,,,,,5,46,120,,,
720,note_on,,,,,0,0,3,,,,,2,68,127,,,
720,note_on,,,,,60,0,3,,,,,2,68,0,,,
720,note_on,,,,,0,0,4,,,,,3,46,100,,,
720,note_on,,,,,0,0,1,,,,,0,80,127,,,
720,note_on,,,,,60,0,4,,,,,3,53,0,,,
720,note_on,,,,,60,0,1,,,,,0,80,0,,,
720,note_on,,,,,60,0,2,,,,,1,72,0,,,
720,note_on,,,,,0,0,2,,,,,1,74,127,,,
780,note_on,,,,,0,0,3,,,,,2,58,127,,,
780,note_on,,,,,60,0,5,,,,,4,80,0,,,
780,note_on,,,,,0,0,2,,,,,1,65,127,,,
780,note_on,,,,,60,0,2,,,,,1,74,0,,,
780,note_on,,,,,60,0,1,,,,,0,80,0,,,
780,note_on,,,,,0,0,1,,,,,0,74,127,,,
780,note_on,,,,,60,0,8,,,,,7,46,0,,,
780,note_on,,,,,0,0,8,,,,,7,58,100,,,
780,note_on,,,,,60,0,3,,,,,2,68,0,,,
780,note_on,,,,,60,0,6,,,,,5,46,0,,,
780,note_on,,,,,0,0,6,,,,,5,58,120,,,
780,note_on,,,,,60,0,7,,,,,6,80,0,,,
780,note_on,,,,,0,0,7,,,,,6,74,100,,,
780,note_on,,,,,0,0,4,,,,,3,58,100,,,
780,note_on,,,,,60,0,4,,,,,3,46,0,,,
780,note_on,,,,,0,0,5,,,,,4,74,120,,,
840,note_on,,,,,0,0,5,,,,,4,80,120,,,
840,note_on,,,,,60,0,2,,,,,1,65,0,,,
840,note_on,,,,,0,0,7,,,,,6,80,100,,,
840,note_on,,,,,60,0,4,,,,,3,58,0,,,
840,note_on,,,,,60,0,5,,,,,4,74,0,,,
840,note_on,,,,,60,0,1,,,,,0,74,0,,,
840,note_on,,,,,60,0,7,,,,,6,74,0,,,
840,note_on,,,,,60,0,3,,,,,2,58,0,,,
840,note_on,,,,,60,0,8,,,,,7,58,0,,,
840,note_on,,,,,60,0,6,,,,,5,58,0,,,
900,note_on,,,,,0,0,5,,,,,4,74,120,,,
900,note_on,,,,,60,0,7,,,,,6,80,0,,,
900,note_on,,,,,0,0,7,,,,,6,74,100,,,
900,note_on,,,,,60,0,5,,,,,4,80,0,,,
960,note_on,,,,,0,0,8,,,,,7,46,100,,,
960,note_on,,,,,0,0,8,,,,,7,50,100,,,
960,note_on,,,,,0,0,8,,,,,7,58,100,,,
960,note_on,,,,,120,0,2,,,,,1,58,127,,,
960,note_on,,,,,0,0,5,,,,,4,62,120,,,
960,note_on,,,,,120,0,6,,,,,5,53,120,,,
960,note_on,,,,,0,0,6,,,,,5,46,120,,,
960,note_on,,,,,0,0,6,,,,,5,50,120,,,
960,note_on,,,,,0,0,6,,,,,5,58,120,,,
960,note_on,,,,,60,0,5,,,,,4,74,0,,,
960,note_on,,,,,120,0,8,,,,,7,53,100,,,
960,note_on,,,,,0,0,5,,,,,4,65,120,,,
960,note_on,,,,,120,0,4,,,,,3,46,100,,,
960,note_on,,,,,120,0,3,,,,,2,62,127,,,
960,note_on,,,,,60,0,7,,,,,6,74,0,,,
960,note_on,,,,,0,0,7,,,,,6,62,100,,,
960,note_on,,,,,0,0,7,,,,,6,65,100,,,
960,note_on,,,,,120,0,1,,,,,0,65,127,,,
1020,note_on,,,,,60,0,7,,,,,6,65,0,,,
1020,note_on,,,,,0,0,2,,,,,1,62,127,,,
1020,note_on,,,,,0,0,5,,,,,4,70,120,,,
1020,note_on,,,,,0,0,7,,,,,6,70,100,,,
1020,note_on,,,,,60,0,1,,,,,0,65,0,,,
1020,note_on,,,,,60,0,2,,,,,1,58,0,,,
1020,note_on,,,,,60,0,5,,,,,4,65,0,,,
1020,note_on,,,,,0,0,1,,,,,0,70,127,,,
1080,note_on,,,,,60,0,5,,,,,4,70,0,,,
1080,note_on,,,,,60,0,1,,,,,0,70,0,,,
1080,note_on,,,,,0,0,7,,,,,6,74,100,,,
1080,note_on,,,,,0,0,5,,,,,4,62,0,,,
1080,note_on,,,,,0,0,5,,,,,4,65,120,,,
1080,note_on,,,,,0,0,7,,,,,6,65,100,,,
1080,note_on,,,,,0,0,7,,,,,6,62,0,,,
1080,note_on,,,,,60,0,7,,,,,6,70,0,,,
1080,note_on,,,,,0,0,8,,,,,7,53,0,,,
1080,note_on,,,,,0,0,8,,,,,7,46,0,,,
1080,note_on,,,,,120,0,3,,,,,2,62,0,,,
1080,note_on,,,,,0,0,8,,,,,7,50,0,,,
1080,note_on,,,,,120,0,4,,,,,3,46,0,,,
1080,note_on,,,,,120,0,8,,,,,7,58,0,,,
1080,note_on,,,,,0,0,6,,,,,5,50,0,,,
1080,note_on,,,,,60,0,2,,,,,1,62,0,,,
1080,note_on,,,,,0,0,2,,,,,1,65,127,,,
1080,note_on,,,,,0,0,1,,,,,0,74,127,,,
1080,note_on,,,,,0,0,6,,,,,5,46,0,,,
1080,note_on,,,,,0,0,6,,,,,5,53,0,,,
1080,note_on,,,,,120,0,6,,,,,5,58,0,,,
1080,note_on,,,,,0,0,5,,,,,4,74,120,,,
1140,note_on,,,,,0,0,1,,,,,0,72,127,,,
1140,note_on,,,,,60,0,1,,,,,0,74,0,,,
1140,note_on,,,,,60,0,7,,,,,6,74,0,,,
1140,note_on,,,,,60,0,2,,,,,1,65,0,,,
1140,note_on,,,,,60,0,5,,,,,4,74,0,,,
1140,note_on,,,,,0,0,5,,,,,4,63,120,,,
1140,note_on,,,,,0,0,5,,,,,4,72,120,,,
1140,note_on,,,,,0,0,7,,,,,6,65,0,,,
1140,note_on,,,,,0,0,7,,,,,6,63,100,,,
1140,note_on,,,,,0,0,7,,,,,6,72,100,,,
1140,note_on,,,,,0,0,2,,,,,1,63,127,,,
1140,note_on,,,,,0,0,5,,,,,4,65,0,,,
1200,note_on,,,,,0,0,7,,,,,6,62,100,,,
1200,note_on,,,,,120,0,3,,,,,2,58,127,,,
1200,note_on,,,,,60,0,1,,,,,0,72,0,,,
1200,note_on,,,,,120,0,4,,,,,3,46,100,,,
1200,note_on,,,,,0,0,7,,,,,6,63,0,,,
1200,note_on,,,,,120,0,6,,,,,5,58,120,,,
1200,note_on,,,,,0,0,2,,,,,1,62,127,,,
1200,note_on,,,,,0,0,7,,,,,6,65,100,,,
1200,note_on,,,,,60,0,5,,,,,4,72,0,,,
1200,note_on,,,,,0,0,5,,,,,4,63,0,,,
1200,note_on,,,,,0,0,5,,,,,4,62,120,,,
1200,note_on,,,,,120,0,8,,,,,7,58,100,,,
1200,note_on,,,,,60,0,7,,,,,6,72,0,,,
1200,note_on,,,,,60,0,2,,,,,1,63,0,,,
1200,note_on,,,,,0,0,1,,,,,0,65,127,,,
1200,note_on,,,,,0,0,5,,,,,4,65,120,,,
1230,note_on,,,,,30,0,7,,,,,6,62,0,,,
1230,note_on,,,,,0,0,7,,,,,6,60,100,,,
1230,note_on,,,,,30,0,5,,,,,4,62,0,,,
1230,note_on,,,,,0,0,5,,,,,4,60,120,,,
1260,note_on,,,,,60,0,2,,,,,1,62,0,,,
1260,note_on,,,,,60,0,1,,,,,0,65,0,,,
1260,note_on,,,,,0,0,1,,,,,0,70,127,,,
1260,note_on,,,,,0,0,5,,,,,4,70,120,,,
1260,note_on,,,,,0,0,5,,,,,4,62,120,,,
1260,note_on,,,,,0,0,5,,,,,4,65,0,,,
1260,note_on,,,,,0,0,7,,,,,6,70,100,,,
1260,note_on,,,,,0,0,7,,,,,6,62,100,,,
1260,note_on,,,,,0,0,7,,,,,6,65,0,,,
1260,note_on,,,,,30,0,7,,,,,6,60,0,,,
1260,note_on,,,,,0,0,2,,,,,1,62,127,,,
1260,note_on,,,,,30,0,5,,,,,4,60,0,,,
1290,note_on,,,,,30,0,1,,,,,0,70,0,,,
1290,note_on,,,,,0,0,1,,,,,0,72,127,,,
1290,note_on,,,,,0,0,5,,,,,4,72,120,,,
1290,note_on,,,,,0,0,2,,,,,1,63,127,,,
1290,note_on,,,,,0,0,7,,,,,6,72,100,,,
1290,note_on,,,,,0,0,5,,,,,4,63,120,,,
1290,note_on,,,,,0,0,5,,,,,4,62,0,,,
1290,note_on,,,,,30,0,5,,,,,4,70,0,,,
1290,note_on,,,,,0,0,7,,,,,6,63,100,,,
1290,note_on,,,,,0,0,7,,,,,6,62,0,,,
1290,note_on,,,,,30,0,7,,,,,6,70,0,,,
1290,note_on,,,,,30,0,2,,,,,1,62,0,,,
1320,note_on,,,,,0,0,7,,,,,6,74,100,,,
1320,note_on,,,,,0,0,7,,,,,6,65,100,,,
1320,note_on,,,,,0,0,7,,,,,6,63,0,,,
1320,note_on,,,,,120,0,6,,,,,5,58,0,,,
1320,note_on,,,,,30,0,7,,,,,6,72,0,,,
1320,note_on,,,,,0,0,1,,,,,0,74,127,,,
1320,note_on,,,,,120,0,3,,,,,2,58,0,,,
1320,note_on,,,,,30,0,2,,,,,1,63,0,,,
1320,note_on,,,,,0,0,2,,,,,1,65,127,,,
1320,note_on,,,,,30,0,1,,,,,0,72,0,,,
1320,note_on,,,,,30,0,5,,,,,4,72,0,,,
1320,note_on,,,,,0,0,5,,,,,4,63,0,,,
1320,note_on,,,,,0,0,5,,,,,4,65,120,,,
1320,note_on,,,,,0,0,5,,,,,4,74,120,,,
1320,note_on,,,,,120,0,8,,,,,7,58,0,,,
1320,note_on,,,,,120,0,4,,,,,3,46,0,,,
1350,note_on,,,,,0,0,1,,,,,0,72,127,,,
1350,note_on,,,,,0,0,7,,,,,6,65,0,,,
1350,note_on,,,,,0,0,5,,,,,4,72,120,,,
1350,note_on,,,,,30,0,7,,,,,6,74,0,,,
1350,note_on,,,,,0,0,5,,,,,4,65,0,,,
