tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,note,program,velocity
1800,note_on,60,0,2,,,,,,,,,1,59,,0
1800,note_on,0,0,2,,,,,,,,,1,57,,100
1917,note_on,117,0,2,,,,,,,,,1,57,,0
1920,note_on,3,0,2,,,,,,,,,1,57,,100
1920,note_on,240,0,1,,,,,,,,,0,77,,0
1920,note_on,0,0,1,,,,,,,,,0,76,,100
1970,note_on,50,0,2,,,,,,,,,1,57,,0
2040,note_on,0,0,1,,,,,,,,,0,75,,100
2040,note_on,70,0,2,,,,,,,,,1,57,,100
2040,note_on,120,0,1,,,,,,,,,0,76,,0
2090,note_on,50,0,2,,,,,,,,,1,57,,0
2160,note_on,0,0,1,,,,,,,,,0,76,,100
2160,note_on,120,0,1,,,,,,,,,0,75,,0
2160,note_on,70,0,2,,,,,,,,,1,56,,100
2210,note_on,50,0,2,,,,,,,,,1,56,,0
2280,note_on,120,0,1,,,,,,,,,0,76,,0
2280,note_on,0,0,1,,,,,,,,,0,71,,100
2280,note_on,70,0,2,,,,,,,,,1,56,,100
2330,note_on,50,0,2,,,,,,,,,1,56,,0
2397,note_on,117,0,1,,,,,,,,,0,71,,0
2400,note_on,3,0,1,,,,,,,,,0,76,,100
2400,note_on,70,0,2,,,,,,,,,1,56,,100
2450,note_on,50,0,2,,,,,,,,,1,56,,0
2520,note_on,70,0,2,,,,,,,,,1,55,,100
2570,note_on,50,0,2,,,,,,,,,1,55,,0
2640,note_on,0,0,1,,,,,,,,,0,74,,100
2640,note_on,240,0,1,,,,,,,,,0,76,,0
2640,note_on,70,0,2,,,,,,,,,1,55,,100
2690,note_on,50,0,2,,,,,,,,,1,55,,0
2760,note_on,120,0,1,,,,,,,,,0,74,,0
2760,note_on,70,0,2,,,,,,,,,1,55,,100
2760,note_on,0,0,1,,,,,,,,,0,73,,100
2810,note_on,50,0,2,,,,,,,,,1,55,,0
2880,note_on,120,0,1,,,,,,,,,0,73,,0
2880,note_on,70,0,2,,,,,,,,,1,54,,100
2880,note_on,0,0,1,,,,,,,,,0,74,,100
2930,note_on,50,0,2,,,,,,,,,1,54,,0
3000,note_on,70,0,2,,,,,,,,,1,54,,100
3000,note_on,0,0,1,,,,,,,,,0,69,,100
3000,note_on,120,0,1,,,,,,,,,0,74,,0
3050,note_on,50,0,2,,,,,,,,,1,54,,0
3117,note_on,117,0,1,,,,,,,,,0,69,,0
3120,note_on,70,0,2,,,,,,,,,1,54,,100
3120,note_on,3,0,1,,,,,,,,,0,74,,100
3170,note_on,50,0,2,,,,,,,,,1,54,,0
3240,note_on,70,0,2,,,,,,,,,1,53,,100
3290,note_on,50,0,2,,,,,,,,,1,53,,0
3360,note_on,0,0,1,,,,,,,,,0,72,,100
3360,note_on,240,0,1,,,,,,,,,0,74,,0
3360,note_on,70,0,2,,,,,,,,,1,53,,100
3410,note_on,50,0,2,,,,,,,,,1,53,,0
3480,note_on,70,0,2,,,,,,,,,1,53,,100
3480,note_on,120,0,1,,,,,,,,,0,72,,0
3480,note_on,0,0,1,,,,,,,,,0,71,,100
3530,note_on,50,0,2,,,,,,,,,1,53,,0
3600,note_on,70,0,2,,,,,,,,,1,52,,100
3600,note_on,120,0,1,,,,,,,,,0,71,,0
3600,note_on,0,0,1,,,,,,,,,0,72,,100
3650,note_on,50,0,2,,,,,,,,,1,52,,0
3720,note_on,70,0,2,,,,,,,,,1,52,,100
3720,note_on,120,0,1,,,,,,,,,0,72,,0
3720,note_on,0,0,1,,,,,,,,,0,67,,100
3770,note_on,50,0,2,,,,,,,,,1,52,,0
3837,note_on,117,0,1,,,,,,,,,0,67,,0
3840,note_on,3,0,1,,,,,,,,,0,72,,100
3840,note_on,70,0,2,,,,,,,,,1,52,,100
3890,note_on,50,0,2,,,,,,,,,1,52,,0
3960,note_on,120,0,1,,,,,,,,,0,72,,0
3960,note_on,0,0,1,,,,,,,,,0,71,,100
3960,note_on,70,0,2,,,,,,,,,1,50,,100
4010,note_on,50,0,2,,,,,,,,,1,50,,0
4020,note_on,60,0,1,,,,,,,,,0,71,,0
4020,note_on,0,0,1,,,,,,,,,0,72,,100
4080,note_on,70,0,2,,,,,,,,,1,50,,100
4080,note_on,60,0,1,,,,,,,,,0,72,,0
4080,note_on,0,0,1,,,,,,,,,0,74,,100
4130,note_on,50,0,2,,,,,,,,,1,50,,0
4140,note_on,0,0,1,,,,,,,,,0,71,,100
4140,note_on,60,0,1,,,,,,,,,0,74,,0
4200,note_on,70,0,2,,,,,,,,,1,50,,100
4200,note_on,0,0,1,,,,,,,,,0,77,,100
4200,note_on,60,0,1,,,,,,,,,0,71,,0
4250,note_on,50,0,2,,,,,,,,,1,50,,0
4260,note_on,60,0,1,,,,,,,,,0,77,,0
4260,note_on,0,0,1,,,,,,,,,0,69,,100
4320,note_on,60,0,1,,,,,,,,,0,69,,0
4320,note_on,0,0,1,,,,,,,,,0,68,,100
4320,note_on,70,0,2,,,,,,,,,1,52,,100
4370,note_on,50,0,2,,,,,,,,,1,52,,0
4440,note_on,70,0,2,,,,,,,,,1,40,,100
4490,note_on,50,0,2,,,,,,,,,1,40,,0
4559,note_on,239,0,1,,,,,,,,,0,68,,0
4560,polytouch,70,0,2,,,,,,,,0,1,40,,
4560,note_on,1,0,1,,,,,,,,,0,64,,100
4680,polytouch,120,0,2,,,,,,,,0,1,40,,
4680,note_on,0,0,1,,,,,,,,,0,69,,100
4680,note_on,120,0,1,,,,,,,,,0,64,,0
4770,note_on,0,0,1,,,,,,,,,0,71,,100
4770,note_on,90,0,1,,,,,,,,,0,69,,0
4800,note_on,0,0,1,,,,,,,,,0,72,,100
4800,note_on,30,0,1,,,,,,,,,0,71,,0
4920,note_on,240,0,2,,,,,,,,,1,52,,100
4920,note_on,120,0,1,,,,,,,,,0,72,,0
4920,note_on,0,0,1,,,,,,,,,0,71,,100
5040,note_on,0,0,2,,,,,,,,,1,57,,100
5040,note_on,120,0,2,,,,,,,,,1,52,,0
5040,note_on,0,0,1,,,,,,,,,0,72,,100
5040,note_on,120,0,1,,,,,,,,,0,71,,0
5130,note_on,0,0,2,,,,,,,,,1,59,,100
5130,note_on,90,0,2,,,,,,,,,1,57,,0
5160,note_on,0,0,2,,,,,,,,,1,60,,100
5160,note_on,30,0,2,,,,,,,,,1,59,,0
5160,note_on,0,0,1,,,,,,,,,0,69,,100
5160,note_on,120,0,1,,,,,,,,,0,72,,0
5277,note_on,117,0,1,,,,,,,,,0,69,,0
5280,note_on,0,0,2,,,,,,,,,1,59,,100
5280,note_on,120,0,2,,,,,,,,,1,60,,0
5280,note_on,3,0,1,,,,,,,,,0,76,,100
5400,note_on,0,0,2,,,,,,,,,1,60,,100
5400,note_on,120,0,2,,,,,,,,,1,59,,0
5520,note_on,0,0,2,,,,,,,,,1,57,,100
5520,note_on,240,0,1,,,,,,,,,0,76,,0
5520,note_on,120,0,2,,,,,,,,,1,60,,0
5520,note_on,0,0,1,,,,,,,,,0,76,,100
5580,note_on,0,0,1,,,,,,,,,0,74,,100
5580,note_on,60,0,1,,,,,,,,,0,76,,0
5637,note_on,117,0,2,,,,,,,,,1,57,,0
5640,note_on,0,0,1,,,,,,,,,0,72,,100
5640,note_on,60,0,1,,,,,,,,,0,74,,0
5640,note_on,3,0,2,,,,,,,,,1,64,,100
5700,note_on,0,0,1,,,,,,,,,0,71,,100
5700,note_on,60,0,1,,,,,,,,,0,72,,0
5760,note_on,0,0,1,,,,,,,,,0,72,,100
5760,note_on,60,0,1,,,,,,,,,0,71,,0
5880,note_on,0,0,2,,,,,,,,,1,64,,100
5880,note_on,240,0,2,,,,,,,,,1,64,,0
5880,note_on,120,0,1,,,,,,,,,0,72,,0
5880,note_on,0,0,1,,,,,,,,,0,69,,100
5940,note_on,60,0,2,,,,,,,,,1,64,,0
5940,note_on,0,0,2,,,,,,,,,1,62,,100
5997,note_on,117,0,1,,,,,,,,,0,69,,0
6000,note_on,3,0,1,,,,,,,,,0,77,,100
6000,note_on,0,0,2,,,,,,,,,1,60,,100
6000,note_on,60,0,2,,,,,,,,,1,62,,0
6060,note_on,60,0,2,,,,,,,,,1,60,,0
6060,note_on,0,0,2,,,,,,,,,1,59,,100
6120,note_on,0,0,2,,,,,,,,,1,57,,100
6120,note_on,60,0,2,,,,,,,,,1,59,,0
6237,note_on,117,0,2,,,,,,,,,1,57,,0
6240,note_on,240,0,1,,,,,,,,,0,77,,0
6240,note_on,3,0,2,,,,,,,,,1,57,,100
6240,note_on,0,0,1,,,,,,,,,0,76,,100
6290,note_on,50,0,2,,,,,,,,,1,57,,0
6360,note_on,120,0,1,,,,,,,,,0,76,,0
6360,note_on,0,0,1,,,,,,,,,0,75,,100
6360,note_on,70,0,2,,,,,,,,,1,57,,100
6410,note_on,50,0,2,,,,,,,,,1,57,,0
6480,note_on,120,0,1,,,,,,,,,0,75,,0
6480,note_on,0,0,1,,,,,,,,,0,76,,100
6480,note_on,70,0,2,,,,,,,,,1,56,,100
6530,note_on,50,0,2,,,,,,,,,1,56,,0
6600,note_on,70,0,2,,,,,,,,,1,56,,100
6600,note_on,0,0,1,,,,,,,,,0,71,,100
6600,note_on,120,0,1,,,,,,,,,0,76,,0
6650,note_on,50,0,2,,,,,,,,,1,56,,0
6717,note_on,117,0,1,,,,,,,,,0,71,,0
6720,note_on,70,0,2,,,,,,,,,1,56,,100
6720,note_on,3,0,1,,,,,,,,,0,76,,100
6770,note_on,50,0,2,,,,,,,,,1,56,,0
6840,note_on,70,0,2,,,,,,,,,1,55,,100
6890,note_on,50,0,2,,,,,,,,,1,55,,0
6960,note_on,70,0,2,,,,,,,,,1,55,,100
6960,note_on,240,0,1,,,,,,,,,0,76,,0
6960,note_on,0,0,1,,,,,,,,,0,74,,100
7010,note_on,50,0,2,,,,,,,,,1,55,,0
7080,note_on,70,0,2,,,,,,,,,1,55,,100
7080,note_on,0,0,1,,,,,,,,,0,73,,100
7080,note_on,120,0,1,,,,,,,,,0,74,,0
7130,note_on,50,0,2,,,,,,,,,1,55,,0
7200,note_on,70,0,2,,,,,,,,,1,54,,100
7200,note_on,0,0,1,,,,,,,,,0,74,,100
7200,note_on,120,0,1,,,,,,,,,0,73,,0
7250,note_on,50,0,2,,,,,,,,,1,54,,0
7320,note_on,0,0,1,,,,,,,,,0,69,,100
7320,note_on,120,0,1,,,,,,,,,0,74,,0
7320,note_on,70,0,2,,,,,,,,,1,54,,100
7370,note_on,50,0,2,,,,,,,,,1,54,,0
7437,note_on,117,0,1,,,,,,,,,0,69,,0
7440,note_on,3,0,1,,,,,,,,,0,74,,100
7440,note_on,70,0,2,,,,,,,,,1,54,,100
7490,note_on,50,0,2,,,,,,,,,1,54,,0
7560,note_on,70,0,2,,,,,,,,,1,53,,100
7610,note_on,50,0,2,,,,,,,,,1,53,,0
7680,note_on,240,0,1,,,,,,,,,0,74,,0
7680,note_on,70,0,2,,,,,,,,,1,53,,100
7680,note_on,0,0,1,,,,,,,,,0,72,,100
7730,note_on,50,0,2,,,,,,,,,1,53,,0
7800,note_on,0,0,1,,,,,,,,,0,71,,100
7800,note_on,70,0,2,,,,,,,,,1,53,,100
7800,note_on,120,0,1,,,,,,,,,0,72,,0
7850,note_on,50,0,2,,,,,,,,,1,53,,0
7920,note_on,120,0,1,,,,,,,,,0,71,,0
7920,note_on,0,0,1,,,,,,,,,0,72,,100
7920,note_on,70,0,2,,,,,,,,,1,52,,100
7970,note_on,50,0,2,,,,,,,,,1,52,,0
8040,note_on,70,0,2,,,,,,,,,1,52,,100
8040,note_on,0,0,1,,,,,,,,,0,67,,100
8040,note_on,120,0,1,,,,,,,,,0,72,,0
8090,note_on,50,0,2,,,,,,,,,1,52,,0
8157,note_on,117,0,1,,,,,,,,,0,67,,0
8160,note_on,3,0,1,,,,,,,,,0,72,,100
8160,note_on,70,0,2,,,,,,,,,1,52,,100
8210,note_on,50,0,2,,,,,,,,,1,52,,0
8280,note_on,70,0,2,,,,,,,,,1,50,,100
8280,note_on,0,0,1,,,,,,,,,0,71,,100
8280,note_on,120,0,1,,,,,,,,,0,72,,0
8330,note_on,50,0,2,,,,,,,,,1,50,,0
8340,note_on,0,0,1,,,,,,,,,0,72,,100
8340,note_on,60,0,1,,,,,,,,,0,71,,0
8400,note_on,70,0,2,,,,,,,,,1,50,,100
8400,note_on,0,0,1,,,,,,,,,0,74,,100
8400,note_on,60,0,1,,,,,,,,,0,72,,0
8450,note_on,50,0,2,,,,,,,,,1,50,,0
8460,note_on,60,0,1,,,,,,,,,0,74,,0
8460,note_on,0,0,1,,,,,,,,,0,71,,100
8520,note_on,70,0,2,,,,,,,,,1,50,,100
8520,note_on,60,0,1,,,,,,,,,0,71,,0
8520,note_on,0,0,1,,,,,,,,,0,77,,100
8570,note_on,50,0,2,,,,,,,,,1,50,,0
8580,note_on,60,0,1,,,,,,,,,0,77,,0
8580,note_on,0,0,1,,,,,,,,,0,69,,100
8640,note_on,70,0,2,,,,,,,,,1,52,,100
8640,note_on,0,0,1,,,,,,,,,0,68,,100
8640,note_on,60,0,1,,,,,,,,,0,69,,0
8690,note_on,50,0,2,,,,,,,,,1,52,,0
8760,note_on,70,0,2,,,,,,,,,1,40,,100
8810,note_on,50,0,2,,,,,,,,,1,40,,0
8879,note_on,239,0,1,,,,,,,,,0,68,,0
8880,polytouch,70,0,2,,,,,,,,0,1,40,,
8880,note_on,1,0,1,,,,,,,,,0,67,,100
9000,note_on,0,0,1,,,,,,,,,0,72,,100
9000,note_on,120,0,1,,,,,,,,,0,67,,0
9090,note_on,0,0,1,,,,,,,,,0,74,,100
9090,note_on,90,0,1,,,,,,,,,0,72,,0
9120,note_on,0,0,1,,,,,,,,,0,76,,100
9120,note_on,30,0,1,,,,,,,,,0,74,,0
9240,note_on,120,0,1,,,,,,,,,0,76,,0
9240,note_on,360,0,2,,,,,,,,,1,55,,100
9240,note_on,0,0,1,,,,,,,,,0,74,,100
9360,note_on,0,0,2,,,,,,,,,1,60,,100
9360,note_on,120,0,1,,,,,,,,,0,74,,0
9360,note_on,120,0,2,,,,,,,,,1,55,,0
9360,note_on,0,0,1,,,,,,,,,0,76,,100
9450,note_on,0,0,2,,,,,,,,,1,62,,100
9450,note_on,90,0,2,,,,,,,,,1,60,,0
9480,note_on,0,0,2,,,,,,,,,1,64,,100
9480,note_on,30,0,2,,,,,,,,,1,62,,0
9480,note_on,120,0,1,,,,,,,,,0,76,,0
9480,note_on,0,0,1,,,,,,,,,0,72,,100
9597,note_on,117,0,1,,,,,,,,,0,72,,0
9600,note_on,3,0,1,,,,,,,,,0,79,,100
9600,note_on,0,0,2,,,,,,,,,1,62,,100
9600,note_on,120,0,2,,,,,,,,,1,64,,0
9720,note_on,120,0,2,,,,,,,,,1,62,,0
9720,note_on,0,0,2,,,,,,,,,1,64,,100
9840,note_on,0,0,1,,,,,,,,,0,79,,100
9840,note_on,240,0,1,,,,,,,,,0,79,,0
9840,note_on,120,0,2,,,,,,,,,1,64,,0
9840,note_on,0,0,2,,,,,,,,,1,60,,100
9900,note_on,0,0,1,,,,,,,,,0,77,,100
9900,note_on,60,0,1,,,,,,,,,0,79,,0
9957,note_on,117,0,2,,,,,,,,,1,60,,0
9960,note_on,3,0,2,,,,,,,,,1,67,,100
9960,note_on,0,0,1,,,,,,,,,0,76,,100
9960,note_on,60,0,1,,,,,,,,,0,77,,0
10020,note_on,0,0,1,,,,,,,,,0,74,,100
10020,note_on,60,0,1,,,,,,,,,0,76,,0
10080,note_on,0,0,1,,,,,,,,,0,76,,100
10080,note_on,60,0,1,,,,,,,,,0,74,,0
10200,note_on,120,0,1,,,,,,,,,0,76,,0
10200,note_on,0,0,2,,,,,,,,,1,67,,100
10200,note_on,240,0,2,,,,,,,,,1,67,,0
10200,note_on,0,0,1,,,,,,,,,0,72,,100
10260,note_on,0,0,2,,,,,,,,,1,65,,100
10260,note_on,60,0,2,,,,,,,,,1,67,,0
10317,note_on,117,0,1,,,,,,,,,0,72,,0
10320,note_on,3,0,1,,,,,,,,,0,81,,100
10320,note_on,0,0,2,,,,,,,,,1,64,,100
10320,note_on,60,0,2,,,,,,,,,1,65,,0
10380,note_on,0,0,2,,,,,,,,,1,62,,100
10380,note_on,60,0,2,,,,,,,,,1,64,,0
10440,note_on,0,0,2,,,,,,,,,1,60,,100
10440,note_on,60,0,2,,,,,,,,,1,62,,0
10557,note_on,117,0,2,,,,,,,,,1,60,,0
10560,note_on,0,0,1,,,,,,,,,0,79,,100
10560,note_on,3,0,2,,,,,,,,,1,60,,100
10560,note_on,240,0,1,,,,,,,,,0,81,,0
10610,note_on,50,0,2,,,,,,,,,1,60,,0
10680,note_on,120,0,1,,,,,,,,,0,79,,0
10680,note_on,0,0,1,,,,,,,,,0,78,,100
10680,note_on,70,0,2,,,,,,,,,1,60,,100
10730,note_on,50,0,2,,,,,,,,,1,60,,0
10800,note_on,0,0,1,,,,,,,,,0,79,,100
10800,note_on,70,0,2,,,,,,,,,1,59,,100
10800,note_on,120,0,1,,,,,,,,,0,78,,0
10920,note_on,120,0,2,,,,,,,,,1,59,,0
10920,note_on,0,0,2,,,,,,,,,1,55,,100
10920,note_on,0,0,1,,,,,,,,,0,74,,100
10920,note_on,120,0,1,,,,,,,,,0,79,,0
11037,note_on,117,0,2,,,,,,,,,1,55,,0
11037,note_on,117,0,1,,,,,,,,,0,74,,0
11040,note_on,3,0,1,,,,,,,,,0,76,,100
11040,note_on,3,0,2,,,,,,,,,1,60,,100
11160,note_on,0,0,1,,,,,,,,,0,77,,100
11160,note_on,0,0,2,,,,,,,,,1,57,,100
11160,note_on,120,0,1,,,,,,,,,0,76,,0
11160,note_on,120,0,2,,,,,,,,,1,60,,0
11280,note_on,0,0,2,,,,,,,,,1,53,,100
11280,note_on,0,0,1,,,,,,,,,0,74,,100
11280,note_on,120,0,2,,,,,,,,,1,57,,0
11280,note_on,120,0,1,,,,,,,,,0,77,,0
11400,note_on,120,0,2,,,,,,,,,1,53,,0
11400,note_on,0,0,2,,,,,,,,,1,55,,100
11520,note_on,0,0,2,,,,,,,,,1,48,,100
11520,note_on,0,0,1,,,,,,,,,0,72,,100
11520,note_on,240,0,1,,,,,,,,,0,74,,0
11520,note_on,120,0,2,,,,,,,,,1,55,,0
11570,note_on,50,0,2,,,,,,,,,1,48,,0
11640,note_on,70,0,2,,,,,,,,,1,36,,100
11690,note_on,50,0,2,,,,,,,,,1,36,,0
11758,note_on,238,0,1,,,,,,,,,0,72,,0
11760,polytouch,70,0,2,,,,,,,,0,1,54,,
11760,note_on,2,0,1,,,,,,,,,0,76,,100
11880,note_on,120,0,1,,,,,,,,,0,76,,0
11880,note_on,0,0,1,,,,,,,,,0,77,,100
12000,note_on,120,0,1,,,,,,,,,0,77,,0
12000,note_on,0,0,1,,,,,,,,,0,79,,100
12020,note_on,0,0,1,,,,,,,,,0,78,,100
12020,note_on,20,0,1,,,,,,,,,0,79,,0
12040,note_on,20,0,1,,,,,,,,,0,78,,0
12040,note_on,0,0,1,,,,,,,,,0,79,,100
12060,note_on,0,0,1,,,,,,,,,0,78,,100
12060,note_on,20,0,1,,,,,,,,,0,79,,0
12080,note_on,0,0,1,,,,,,,,,0,79,,100
12080,note_on,20,0,1,,,,,,,,,0,78,,0
12100,note_on,20,0,1,,,,,,,,,0,79,,0
12100,note_on,0,0,1,,,,,,,,,0,78,,100
12120,note_on,20,0,1,,,,,,,,,0,78,,0
12120,note_on,360,0,2,,,,,,,,,1,45,,100
12120,note_on,0,0,1,,,,,,,,,0,79,,100
12140,note_on,0,0,1,,,,,,,,,0,78,,100
12140,note_on,20,0,1,,,,,,,,,0,79,,0
12179,note_on,39,0,1,,,,,,,,,0,78,,0
12180,note_on,1,0,1,,,,,,,,,0,76,,100
12210,note_on,30,0,1,,,,,,,,,0,76,,0
12210,note_on,0,0,1,,,,,,,,,0,78,,100
12239,note_on,119,0,2,,,,,,,,,1,45,,0
12240,note_on,30,0,1,,,,,,,,,0,78,,0
12240,note_on,1,0,2,,,,,,,,,1,46,,100
12240,note_on,0,0,1,,,,,,,,,0,79,,100
12359,note_on,119,0,2,,,,,,,,,1,46,,0
12360,note_on,0,0,1,,,,,,,,,0,74,,100
12360,note_on,1,0,2,,,,,,,,,1,48,,100
12360,note_on,120,0,1,,,,,,,,,0,79,,0
12380,note_on,0,0,2,,,,,,,,,1,47,,100
12380,note_on,20,0,2,,,,,,,,,1,48,,0
12400,note_on,0,0,2,,,,,,,,,1,48,,100
12400,note_on,20,0,2,,,,,,,,,1,47,,0
12420,note_on,0,0,2,,,,,,,,,1,47,,100
12420,note_on,20,0,2,,,,,,,,,1,48,,0
12440,note_on,20,0,2,,,,,,,,,1,47,,0
12440,note_on,0,0,2,,,,,,,,,1,45,,100
12460,note_on,0,0,2,,,,,,,,,1,47,,100
12460,note_on,20,0,2,,,,,,,,,1,45,,0
12477,note_on,117,0,1,,,,,,,,,0,74,,0
12480,note_on,20,0,2,,,,,,,,,1,47,,0
12480,note_on,0,0,2,,,,,,,,,1,48,,100
12480,note_on,3,0,1,,,,,,,,,0,78,,100
12597,note_on,117,0,2,,,,,,,,,1,48,,0
12600,note_on,3,0,2,,,,,,,,,1,47,,100
12600,note_on,120,0,1,,,,,,,,,0,78,,0
12600,note_on,0,0,1,,,,,,,,,0,79,,100
12719,note_on,119,0,2,,,,,,,,,1,47,,0
12720,note_on,1,0,2,,,,,,,,,1,40,,100
12720,note_on,120,0,1,,,,,,,,,0,79,,0
12720,note_on,0,0,1,,,,,,,,,0,81,,100
12740,note_on,20,0,1,,,,,,,,,0,81,,0
12740,note_on,0,0,1,,,,,,,,,0,80,,100
12760,note_on,20,0,1,,,,,,,,,0,80,,0
12760,note_on,0,0,1,,,,,,,,,0,81,,100
12780,note_on,20,0,1,,,,,,,,,0,81,,0
12780,note_on,0,0,1,,,,,,,,,0,80,,100
12800,note_on,20,0,1,,,,,,,,,0,80,,0
12800,note_on,0,0,1,,,,,,,,,0,81,,100
12820,note_on,20,0,1,,,,,,,,,0,81,,0
12820,note_on,0,0,1,,,,,,,,,0,80,,100
12839,note_on,119,0,2,,,,,,,,,1,40,,0
12840,note_on,20,0,1,,,,,,,,,0,80,,0
12840,note_on,0,0,1,,,,,,,,,0,81,,100
12840,note_on,1,0,2,,,,,,,,,1,47,,100
12860,note_on,20,0,1,,,,,,,,,0,81,,0
12860,note_on,0,0,1,,,,,,,,,0,80,,100
12899,note_on,39,0,1,,,,,,,,,0,80,,0
12900,note_on,1,0,1,,,,,,,,,0,78,,100
12930,note_on,30,0,1,,,,,,,,,0,78,,0
12930,note_on,0,0,1,,,,,,,,,0,80,,100
12959,note_on,119,0,2,,,,,,,,,1,47,,0
12960,note_on,30,0,1,,,,,,,,,0,80,,0
12960,note_on,0,0,1,,,,,,,,,0,81,,100
12960,note_on,1,0,2,,,,,,,,,1,48,,100
13079,note_on,119,0,2,,,,,,,,,1,48,,0
13080,note_on,120,0,1,,,,,,,,,0,81,,0
13080,note_on,0,0,1,,,,,,,,,0,76,,100
13080,note_on,1,0,2,,,,,,,,,1,50,,100
13100,note_on,20,0,2,,,,,,,,,1,50,,0
13100,note_on,0,0,2,,,,,,,,,1,49,,100
13120,note_on,20,0,2,,,,,,,,,1,49,,0
13120,note_on,0,0,2,,,,,,,,,1,50,,100
13140,note_on,20,0,2,,,,,,,,,1,50,,0
13140,note_on,0,0,2,,,,,,,,,1,49,,100
13160,note_on,0,0,2,,,,,,,,,1,47,,100
13160,note_on,20,0,2,,,,,,,,,1,49,,0
13180,note_on,0,0,2,,,,,,,,,1,49,,100
13180,note_on,20,0,2,,,,,,,,,1,47,,0
