tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,note,velocity,channel
1179,note_on,,,,,0,0,1,,,,74,70,0
1179,note_on,,,,,19,0,1,,,,76,0,0
1200,note_on,,,,,0,0,1,,,,76,70,0
1200,note_on,,,,,21,0,1,,,,74,0,0
1230,note_on,,,,,90,0,2,,,,59,70,1
1260,note_on,,,,,0,0,2,,,,60,70,1
1260,note_on,,,,,30,0,2,,,,59,0,1
1260,note_on,,,,,0,0,1,,,,81,70,0
1260,note_on,,,,,60,0,1,,,,76,0,0
1290,note_on,,,,,30,0,2,,,,60,0,1
1290,note_on,,,,,0,0,2,,,,62,70,1
1320,note_on,,,,,0,0,2,,,,64,70,1
1320,note_on,,,,,30,0,2,,,,62,0,1
1320,note_on,,,,,0,0,1,,,,80,70,0
1320,note_on,,,,,60,0,1,,,,81,0,0
1350,note_on,,,,,30,0,2,,,,64,0,1
1350,note_on,,,,,0,0,2,,,,66,70,1
1380,note_on,,,,,0,0,1,,,,79,70,0
1380,note_on,,,,,60,0,1,,,,80,0,0
1380,note_on,,,,,30,0,2,,,,66,0,1
1380,note_on,,,,,0,0,2,,,,67,70,1
1410,note_on,,,,,30,0,2,,,,67,0,1
1410,note_on,,,,,0,0,2,,,,64,70,1
1440,note_on,,,,,60,0,1,,,,79,0,0
1440,note_on,,,,,0,0,1,,,,78,70,0
1440,note_on,,,,,30,0,2,,,,64,0,1
1440,note_on,,,,,0,0,2,,,,69,70,1
1470,note_on,,,,,30,0,2,,,,69,0,1
1470,note_on,,,,,0,0,2,,,,68,70,1
1500,note_on,,,,,0,0,2,,,,69,70,1
1500,note_on,,,,,60,0,1,,,,78,0,0
1500,note_on,,,,,0,0,1,,,,77,70,0
1500,note_on,,,,,30,0,2,,,,68,0,1
1530,note_on,,,,,30,0,2,,,,69,0,1
1530,note_on,,,,,0,0,2,,,,71,70,1
1560,note_on,,,,,30,0,2,,,,71,0,1
1560,note_on,,,,,60,0,1,,,,77,0,0
1560,note_on,,,,,0,0,1,,,,76,70,0
1560,note_on,,,,,0,0,2,,,,72,70,1
1590,note_on,,,,,30,0,2,,,,72,0,1
1590,note_on,,,,,0,0,2,,,,66,70,1
1620,note_on,,,,,60,0,1,,,,76,0,0
1620,note_on,,,,,0,0,1,,,,74,70,0
1620,note_on,,,,,30,0,2,,,,66,0,1
1620,note_on,,,,,0,0,2,,,,71,70,1
1650,note_on,,,,,30,0,2,,,,71,0,1
1650,note_on,,,,,0,0,2,,,,69,70,1
1680,note_on,,,,,0,0,2,,,,68,70,1
1680,note_on,,,,,30,0,2,,,,69,0,1
1710,note_on,,,,,0,0,2,,,,64,70,1
1710,note_on,,,,,30,0,2,,,,68,0,1
1740,note_on,,,,,0,0,2,,,,69,70,1
1740,note_on,,,,,30,0,2,,,,64,0,1
1740,note_on,,,,,120,0,1,,,,74,0,0
1740,note_on,,,,,0,0,1,,,,72,70,0
1800,note_on,,,,,0,0,1,,,,71,70,0
1800,note_on,,,,,60,0,1,,,,72,0,0
1860,note_on,,,,,0,0,2,,,,67,70,1
1860,note_on,,,,,120,0,2,,,,69,0,1
1860,note_on,,,,,0,0,1,,,,76,70,0
1860,note_on,,,,,60,0,1,,,,71,0,0
1920,note_on,,,,,60,0,1,,,,76,0,0
1920,note_on,,,,,0,0,1,,,,69,70,0
1940,note_on,,,,,0,0,2,,,,65,70,1
1940,note_on,,,,,80,0,2,,,,67,0,1
1959,note_on,,,,,0,0,2,,,,64,70,1
1959,note_on,,,,,19,0,2,,,,65,0,1
1980,note_on,,,,,0,0,2,,,,62,70,1
1980,note_on,,,,,21,0,2,,,,64,0,1
1980,note_on,,,,,60,0,1,,,,69,0,0
1980,note_on,,,,,0,0,1,,,,71,70,0
2000,note_on,,,,,0,0,2,,,,64,70,1
2000,note_on,,,,,20,0,2,,,,62,0,1
2019,note_on,,,,,19,0,2,,,,64,0,1
2019,note_on,,,,,0,0,2,,,,65,70,1
2040,note_on,,,,,60,0,1,,,,71,0,0
2040,note_on,,,,,0,0,1,,,,72,70,0
2040,note_on,,,,,21,0,2,,,,65,0,1
2040,note_on,,,,,0,0,2,,,,64,70,1
2060,note_on,,,,,20,0,2,,,,64,0,1
2060,note_on,,,,,0,0,2,,,,62,70,1
2079,note_on,,,,,0,0,2,,,,60,70,1
2079,note_on,,,,,19,0,2,,,,62,0,1
2100,note_on,,,,,21,0,2,,,,60,0,1
2100,note_on,,,,,60,0,1,,,,72,0,0
2100,note_on,,,,,0,0,1,,,,68,70,0
2100,note_on,,,,,0,0,2,,,,59,70,1
2120,note_on,,,,,20,0,2,,,,59,0,1
2120,note_on,,,,,0,0,2,,,,60,70,1
2139,note_on,,,,,0,0,2,,,,62,70,1
2139,note_on,,,,,19,0,2,,,,60,0,1
2160,note_on,,,,,0,0,2,,,,60,70,1
2160,note_on,,,,,21,0,2,,,,62,0,1
2160,note_on,,,,,60,0,1,,,,68,0,0
2160,note_on,,,,,0,0,1,,,,69,70,0
2180,note_on,,,,,20,0,1,,,,69,0,0
2180,note_on,,,,,0,0,1,,,,67,70,0
2199,note_on,,,,,19,0,1,,,,67,0,0
2199,note_on,,,,,0,0,1,,,,65,70,0
2220,note_on,,,,,21,0,1,,,,65,0,0
2220,note_on,,,,,0,0,1,,,,64,70,0
2220,note_on,,,,,60,0,2,,,,60,0,1
2220,note_on,,,,,0,0,2,,,,61,70,1
2240,note_on,,,,,20,0,1,,,,64,0,0
2240,note_on,,,,,0,0,1,,,,65,70,0
2259,note_on,,,,,19,0,1,,,,65,0,0
2259,note_on,,,,,0,0,1,,,,67,70,0
2280,note_on,,,,,60,0,2,,,,61,0,1
2280,note_on,,,,,0,0,2,,,,62,70,1
2280,note_on,,,,,0,0,1,,,,65,70,0
2280,note_on,,,,,21,0,1,,,,67,0,0
2300,note_on,,,,,20,0,1,,,,65,0,0
2300,note_on,,,,,0,0,1,,,,64,70,0
2319,note_on,,,,,19,0,1,,,,64,0,0
2319,note_on,,,,,0,0,1,,,,62,70,0
2340,note_on,,,,,0,0,2,,,,55,70,1
2340,note_on,,,,,60,0,2,,,,62,0,1
2340,note_on,,,,,21,0,1,,,,62,0,0
2340,note_on,,,,,0,0,1,,,,61,70,0
2360,note_on,,,,,0,0,1,,,,62,70,0
2360,note_on,,,,,20,0,1,,,,61,0,0
2379,note_on,,,,,19,0,1,,,,62,0,0
2379,note_on,,,,,0,0,1,,,,64,70,0
2400,note_on,,,,,0,0,2,,,,53,70,1
2400,note_on,,,,,21,0,1,,,,64,0,0
2400,note_on,,,,,0,0,1,,,,62,70,0
2400,note_on,,,,,60,0,2,,,,55,0,1
2400,note_on,,,,,2400,0,3,,,,50,70,2
2420,note_on,,,,,20,0,3,,,,50,0,2
2420,note_on,,,,,0,0,3,,,,52,70,2
2439,note_on,,,,,0,0,3,,,,53,70,2
2439,note_on,,,,,19,0,3,,,,52,0,2
2460,note_on,,,,,0,0,3,,,,55,70,2
2460,note_on,,,,,0,0,1,,,,61,70,0
2460,note_on,,,,,21,0,3,,,,53,0,2
2460,note_on,,,,,60,0,2,,,,53,0,1
2460,note_on,,,,,60,0,1,,,,62,0,0
2460,note_on,,,,,0,0,2,,,,58,70,1
2480,note_on,,,,,0,0,3,,,,53,70,2
2480,note_on,,,,,20,0,3,,,,55,0,2
2499,note_on,,,,,0,0,3,,,,52,70,2
2499,note_on,,,,,19,0,3,,,,53,0,2
2520,note_on,,,,,21,0,3,,,,52,0,2
2520,note_on,,,,,0,0,3,,,,53,70,2
2520,note_on,,,,,0,0,1,,,,62,70,0
2520,note_on,,,,,0,0,2,,,,57,70,1
2520,note_on,,,,,60,0,2,,,,58,0,1
2520,note_on,,,,,60,0,1,,,,61,0,0
2540,note_on,,,,,20,0,3,,,,53,0,2
2540,note_on,,,,,0,0,3,,,,55,70,2
2559,note_on,,,,,19,0,3,,,,55,0,2
2559,note_on,,,,,0,0,3,,,,57,70,2
2580,note_on,,,,,0,0,3,,,,58,70,2
2580,note_on,,,,,21,0,3,,,,57,0,2
2580,note_on,,,,,0,0,1,,,,67,70,0
2580,note_on,,,,,60,0,2,,,,57,0,1
2580,note_on,,,,,0,0,2,,,,62,70,1
2580,note_on,,,,,60,0,1,,,,62,0,0
2600,note_on,,,,,20,0,3,,,,58,0,2
2600,note_on,,,,,0,0,3,,,,57,70,2
2619,note_on,,,,,19,0,3,,,,57,0,2
2619,note_on,,,,,0,0,3,,,,55,70,2
2640,note_on,,,,,60,0,2,,,,62,0,1
2640,note_on,,,,,21,0,3,,,,55,0,2
2640,note_on,,,,,0,0,2,,,,61,70,1
2640,note_on,,,,,0,0,3,,,,57,70,2
2670,note_on,,,,,90,0,1,,,,67,0,0
2670,note_on,,,,,0,0,1,,,,64,70,0
2700,note_on,,,,,0,0,2,,,,62,70,1
2700,note_on,,,,,60,0,3,,,,57,0,2
2700,note_on,,,,,60,0,2,,,,61,0,1
2700,note_on,,,,,30,0,1,,,,64,0,0
2700,note_on,,,,,0,0,1,,,,65,70,0
2730,note_on,,,,,30,0,1,,,,65,0,0
2730,note_on,,,,,0,0,1,,,,67,70,0
2760,note_on,,,,,30,0,1,,,,67,0,0
2760,note_on,,,,,60,0,2,,,,62,0,1
2760,note_on,,,,,0,0,2,,,,64,70,1
2760,note_on,,,,,60,0,3,,,,61,70,2
2760,note_on,,,,,0,0,1,,,,69,70,0
2790,note_on,,,,,30,0,1,,,,69,0,0
2790,note_on,,,,,0,0,1,,,,71,70,0
2820,note_on,,,,,60,0,3,,,,61,0,2
2820,note_on,,,,,0,0,3,,,,60,70,2
2820,note_on,,,,,0,0,1,,,,72,70,0
2820,note_on,,,,,30,0,1,,,,71,0,0
2850,note_on,,,,,0,0,1,,,,69,70,0
2850,note_on,,,,,30,0,1,,,,72,0,0
2880,note_on,,,,,30,0,1,,,,69,0,0
2880,note_on,,,,,0,0,2,,,,62,70,1
2880,note_on,,,,,120,0,2,,,,64,0,1
2880,note_on,,,,,0,0,3,,,,59,70,2
2880,note_on,,,,,60,0,3,,,,60,0,2
2880,note_on,,,,,0,0,1,,,,74,70,0
2910,note_on,,,,,0,0,1,,,,73,70,0
2910,note_on,,,,,30,0,1,,,,74,0,0
2940,note_on,,,,,30,0,1,,,,73,0,0
2940,note_on,,,,,0,0,1,,,,74,70,0
2940,note_on,,,,,0,0,3,,,,58,70,2
2940,note_on,,,,,60,0,3,,,,59,0,2
2970,note_on,,,,,30,0,1,,,,74,0,0
2970,note_on,,,,,0,0,1,,,,76,70,0
3000,note_on,,,,,0,0,3,,,,57,70,2
3000,note_on,,,,,0,0,1,,,,77,70,0
3000,note_on,,,,,120,0,2,,,,62,0,1
3000,note_on,,,,,30,0,1,,,,76,0,0
3000,note_on,,,,,60,0,3,,,,58,0,2
3030,note_on,,,,,30,0,1,,,,77,0,0
3030,note_on,,,,,0,0,1,,,,71,70,0
3060,note_on,,,,,0,0,3,,,,55,70,2
3060,note_on,,,,,0,0,1,,,,76,70,0
3060,note_on,,,,,30,0,1,,,,71,0,0
3060,note_on,,,,,60,0,3,,,,57,0,2
3090,note_on,,,,,0,0,1,,,,74,70,0
3090,note_on,,,,,30,0,1,,,,76,0,0
3120,note_on,,,,,30,0,1,,,,74,0,0
3120,note_on,,,,,0,0,1,,,,73,70,0
3150,note_on,,,,,30,0,1,,,,73,0,0
3150,note_on,,,,,0,0,1,,,,69,70,0
3150,note_on,,,,,150,0,2,,,,69,70,1
3180,note_on,,,,,30,0,1,,,,69,0,0
3180,note_on,,,,,0,0,1,,,,74,70,0
3180,note_on,,,,,0,0,2,,,,70,70,1
3180,note_on,,,,,30,0,2,,,,69,0,1
3180,note_on,,,,,0,0,3,,,,53,70,2
3180,note_on,,,,,120,0,3,,,,55,0,2
3210,note_on,,,,,0,0,2,,,,69,70,1
3210,note_on,,,,,30,0,2,,,,70,0,1
3240,note_on,,,,,0,0,3,,,,52,70,2
3240,note_on,,,,,0,0,2,,,,67,70,1
3240,note_on,,,,,30,0,2,,,,69,0,1
3240,note_on,,,,,60,0,3,,,,53,0,2
3270,note_on,,,,,30,0,2,,,,67,0,1
3270,note_on,,,,,0,0,2,,,,70,70,1
3300,note_on,,,,,60,0,3,,,,52,0,2
3300,note_on,,,,,0,0,2,,,,69,70,1
3300,note_on,,,,,30,0,2,,,,70,0,1
3300,note_on,,,,,0,0,3,,,,57,70,2
3300,note_on,,,,,0,0,1,,,,72,70,0
3300,note_on,,,,,120,0,1,,,,74,0,0
3330,note_on,,,,,0,0,2,,,,67,70,1
3330,note_on,,,,,30,0,2,,,,69,0,1
3360,note_on,,,,,0,0,3,,,,50,70,2
3360,note_on,,,,,30,0,2,,,,67,0,1
3360,note_on,,,,,0,0,2,,,,66,70,1
3360,note_on,,,,,60,0,3,,,,57,0,2
3390,note_on,,,,,0,0,3,,,,62,70,2
3390,note_on,,,,,30,0,3,,,,50,0,2
3420,note_on,,,,,60,0,2,,,,66,0,1
3420,note_on,,,,,0,0,2,,,,67,70,1
3420,note_on,,,,,30,0,3,,,,62,0,2
3420,note_on,,,,,120,0,1,,,,72,0,0
3420,note_on,,,,,0,0,3,,,,63,70,2
3420,note_on,,,,,0,0,1,,,,70,70,0
3450,note_on,,,,,0,0,3,,,,62,70,2
3450,note_on,,,,,30,0,3,,,,63,0,2
3480,note_on,,,,,60,0,1,,,,70,0,0
3480,note_on,,,,,0,0,1,,,,69,70,0
3480,note_on,,,,,0,0,3,,,,60,70,2
3480,note_on,,,,,30,0,3,,,,62,0,2
3510,note_on,,,,,30,0,3,,,,60,0,2
3510,note_on,,,,,0,0,3,,,,63,70,2
3540,note_on,,,,,0,0,2,,,,65,70,1
3540,note_on,,,,,30,0,3,,,,63,0,2
3540,note_on,,,,,0,0,3,,,,62,70,2
3540,note_on,,,,,120,0,2,,,,67,0,1
3570,note_on,,,,,30,0,3,,,,62,0,2
3570,note_on,,,,,0,0,3,,,,60,70,2
3600,note_on,,,,,30,0,3,,,,60,0,2
3600,note_on,,,,,0,0,3,,,,59,70,2
3600,note_on,,,,,120,0,1,,,,69,0,0
3600,note_on,,,,,0,0,1,,,,67,70,0
3630,note_on,,,,,0,0,3,,,,55,70,2
3630,note_on,,,,,30,0,1,,,,67,0,0
3630,note_on,,,,,0,0,1,,,,79,70,0
3630,note_on,,,,,30,0,3,,,,59,0,2
3660,note_on,,,,,30,0,3,,,,55,0,2
3660,note_on,,,,,0,0,3,,,,60,70,2
3660,note_on,,,,,0,0,1,,,,81,70,0
3660,note_on,,,,,30,0,1,,,,79,0,0
3660,note_on,,,,,0,0,2,,,,64,70,1
3660,note_on,,,,,120,0,2,,,,65,0,1
3690,note_on,,,,,0,0,1,,,,79,70,0
3690,note_on,,,,,30,0,1,,,,81,0,0
3720,note_on,,,,,0,0,1,,,,77,70,0
3720,note_on,,,,,30,0,1,,,,79,0,0
3720,note_on,,,,,60,0,2,,,,64,0,1
3720,note_on,,,,,0,0,2,,,,62,70,1
3750,note_on,,,,,0,0,1,,,,81,70,0
3750,note_on,,,,,30,0,1,,,,77,0,0
3780,note_on,,,,,0,0,1,,,,79,70,0
3780,note_on,,,,,30,0,1,,,,81,0,0
3780,note_on,,,,,120,0,3,,,,60,0,2
3780,note_on,,,,,0,0,3,,,,58,70,2
3810,note_on,,,,,0,0,1,,,,77,70,0
3810,note_on,,,,,30,0,1,,,,79,0,0
3840,note_on,,,,,30,0,1,,,,77,0,0
3840,note_on,,,,,120,0,2,,,,62,0,1
3840,note_on,,,,,0,0,1,,,,76,70,0
3840,note_on,,,,,0,0,2,,,,60,70,1
3870,note_on,,,,,30,0,1,,,,76,0,0
3870,note_on,,,,,0,0,1,,,,72,70,0
3870,note_on,,,,,0,0,2,,,,72,70,1
3870,note_on,,,,,30,0,2,,,,60,0,1
3900,note_on,,,,,0,0,2,,,,74,70,1
3900,note_on,,,,,30,0,2,,,,72,0,1
3900,note_on,,,,,0,0,1,,,,77,70,0
3900,note_on,,,,,0,0,3,,,,57,70,2
3900,note_on,,,,,120,0,3,,,,58,0,2
3900,note_on,,,,,30,0,1,,,,72,0,0
3930,note_on,,,,,30,0,2,,,,74,0,1
3930,note_on,,,,,0,0,2,,,,72,70,1
3960,note_on,,,,,60,0,3,,,,57,0,2
3960,note_on,,,,,30,0,2,,,,72,0,1
3960,note_on,,,,,0,0,2,,,,70,70,1
3960,note_on,,,,,0,0,3,,,,55,70,2
3990,note_on,,,,,0,0,2,,,,74,70,1
3990,note_on,,,,,30,0,2,,,,70,0,1
4020,note_on,,,,,60,0,3,,,,55,0,2
4020,note_on,,,,,0,0,3,,,,60,70,2
4020,note_on,,,,,0,0,2,,,,72,70,1
4020,note_on,,,,,30,0,2,,,,74,0,1
4020,note_on,,,,,0,0,1,,,,76,70,0
4020,note_on,,,,,120,0,1,,,,77,0,0
4050,note_on,,,,,0,0,2,,,,70,70,1
4050,note_on,,,,,30,0,2,,,,72,0,1
4080,note_on,,,,,60,0,3,,,,60,0,2
4080,note_on,,,,,0,0,3,,,,53,70,2
4080,note_on,,,,,0,0,2,,,,69,70,1
4080,note_on,,,,,30,0,2,,,,70,0,1
4100,note_on,,,,,0,0,3,,,,55,70,2
4100,note_on,,,,,20,0,3,,,,53,0,2
4110,note_on,,,,,0,0,1,,,,77,70,0
4110,note_on,,,,,90,0,1,,,,76,0,0
4119,note_on,,,,,0,0,3,,,,57,70,2
4119,note_on,,,,,19,0,3,,,,55,0,2
4140,note_on,,,,,0,0,3,,,,58,70,2
4140,note_on,,,,,0,0,2,,,,67,70,1
4140,note_on,,,,,21,0,3,,,,57,0,2
4140,note_on,,,,,60,0,2,,,,69,0,1
4160,note_on,,,,,20,0,3,,,,58,0,2
4160,note_on,,,,,0,0,3,,,,57,70,2
4170,note_on,,,,,60,0,1,,,,77,0,0
4170,note_on,,,,,0,0,1,,,,76,70,0
4179,note_on,,,,,19,0,3,,,,57,0,2
4179,note_on,,,,,0,0,3,,,,55,70,2
4200,note_on,,,,,0,0,2,,,,65,70,1
4200,note_on,,,,,60,0,2,,,,67,0,1
4200,note_on,,,,,21,0,3,,,,55,0,2
4200,note_on,,,,,0,0,3,,,,57,70,2
4230,note_on,,,,,0,0,1,,,,74,70,0
4230,note_on,,,,,60,0,1,,,,76,0,0
4239,note_on,,,,,39,0,3,,,,57,0,2
4260,note_on,,,,,0,0,2,,,,64,70,1
4260,note_on,,,,,60,0,2,,,,65,0,1
4260,note_on,,,,,21,0,3,,,,45,70,2
4290,note_on,,,,,0,0,1,,,,73,70,0
4290,note_on,,,,,60,0,1,,,,74,0,0
4299,note_on,,,,,39,0,3,,,,45,0,2
4320,note_on,,,,,21,0,3,,,,50,70,2
4320,note_on,,,,,0,0,1,,,,74,70,0
4320,note_on,,,,,30,0,1,,,,73,0,0
4320,note_on,,,,,60,0,2,,,,64,0,1
4320,note_on,,,,,0,0,2,,,,65,70,1
4340,note_on,,,,,20,0,3,,,,50,0,2
4340,note_on,,,,,0,0,3,,,,52,70,2
4359,note_on,,,,,19,0,3,,,,52,0,2
4359,note_on,,,,,0,0,3,,,,53,70,2
4380,note_on,,,,,60,0,2,,,,65,0,1
4380,note_on,,,,,60,0,1,,,,74,0,0
4380,note_on,,,,,0,0,2,,,,61,70,1
4380,note_on,,,,,0,0,1,,,,70,70,0
4380,note_on,,,,,0,0,3,,,,55,70,2
4380,note_on,,,,,21,0,3,,,,53,0,2
4400,note_on,,,,,20,0,3,,,,55,0,2
4400,note_on,,,,,0,0,3,,,,53,70,2
4419,note_on,,,,,19,0,3,,,,53,0,2
4419,note_on,,,,,0,0,3,,,,52,70,2
4440,note_on,,,,,60,0,2,,,,61,0,1
4440,note_on,,,,,0,0,2,,,,62,70,1
4440,note_on,,,,,21,0,3,,,,52,0,2
4440,note_on,,,,,0,0,1,,,,69,70,0
4440,note_on,,,,,0,0,3,,,,53,70,2
4440,note_on,,,,,60,0,1,,,,70,0,0
4460,note_on,,,,,20,0,3,,,,53,0,2
4460,note_on,,,,,0,0,3,,,,55,70,2
4460,note_on,,,,,0,0,1,,,,67,70,0
4460,note_on,,,,,20,0,1,,,,69,0,0
4479,note_on,,,,,19,0,3,,,,55,0,2
4479,note_on,,,,,0,0,3,,,,57,70,2
4479,note_on,,,,,19,0,1,,,,67,0,0
4479,note_on,,,,,0,0,1,,,,65,70,0
4500,note_on,,,,,21,0,3,,,,57,0,2
4500,note_on,,,,,0,0,3,,,,58,70,2
4500,note_on,,,,,21,0,1,,,,65,0,0
4500,note_on,,,,,0,0,1,,,,64,70,0
4520,note_on,,,,,20,0,1,,,,64,0,0
4520,note_on,,,,,0,0,1,,,,65,70,0
4520,note_on,,,,,20,0,3,,,,58,0,2
4520,note_on,,,,,0,0,3,,,,57,70,2
4539,note_on,,,,,0,0,1,,,,67,70,0
4539,note_on,,,,,0,0,3,,,,55,70,2
4539,note_on,,,,,19,0,3,,,,57,0,2
4539,note_on,,,,,19,0,1,,,,65,0,0
4560,note_on,,,,,0,0,3,,,,57,70,2
4560,note_on,,,,,21,0,3,,,,55,0,2
4560,note_on,,,,,21,0,1,,,,67,0,0
4560,note_on,,,,,0,0,1,,,,65,70,0
4580,note_on,,,,,0,0,1,,,,64,70,0
4580,note_on,,,,,20,0,1,,,,65,0,0
4599,note_on,,,,,19,0,1,,,,64,0,0
4599,note_on,,,,,0,0,1,,,,62,70,0
4620,note_on,,,,,60,0,3,,,,57,0,2
4620,note_on,,,,,0,0,3,,,,55,70,2
4620,note_on,,,,,21,0,1,,,,62,0,0
4620,note_on,,,,,0,0,1,,,,61,70,0
4620,note_on,,,,,0,0,2,,,,58,70,1
4620,note_on,,,,,180,0,2,,,,62,0,1
4640,note_on,,,,,0,0,1,,,,62,70,0
4640,note_on,,,,,20,0,1,,,,61,0,0
4659,note_on,,,,,0,0,1,,,,64,70,0
4659,note_on,,,,,19,0,1,,,,62,0,0
4680,note_on,,,,,60,0,2,,,,58,0,1
4680,note_on,,,,,0,0,2,,,,57,70,1
4680,note_on,,,,,60,0,3,,,,55,0,2
4680,note_on,,,,,0,0,3,,,,53,70,2
4680,note_on,,,,,21,0,1,,,,64,0,0
4680,note_on,,,,,0,0,1,,,,62,70,0
4700,note_on,,,,,0,0,1,,,,64,70,0
4700,note_on,,,,,20,0,1,,,,62,0,0
4700,note_on,,,,,20,0,3,,,,53,0,2
4700,note_on,,,,,0,0,3,,,,52,70,2
4719,note_on,,,,,19,0,1,,,,64,0,0
4719,note_on,,,,,0,0,1,,,,65,70,0
4719,note_on,,,,,19,0,3,,,,52,0,2
4719,note_on,,,,,0,0,3,,,,50,70,2
4740,note_on,,,,,21,0,1,,,,65,0,0
4740,note_on,,,,,21,0,3,,,,50,0,2
4740,note_on,,,,,0,0,1,,,,67,70,0
4740,note_on,,,,,0,0,3,,,,49,70,2
4760,note_on,,,,,20,0,3,,,,49,0,2
4760,note_on,,,,,0,0,3,,,,50,70,2
4760,note_on,,,,,20,0,1,,,,67,0,0
4760,note_on,,,,,0,0,1,,,,65,70,0
4779,note_on,,,,,19,0,3,,,,50,0,2
4779,note_on,,,,,0,0,3,,,,52,70,2
4779,note_on,,,,,0,0,1,,,,64,70,0
4779,note_on,,,,,19,0,1,,,,65,0,0
4800,note_on,,,,,0,0,1,,,,65,70,0
4800,note_on,,,,,21,0,3,,,,52,0,2
4800,note_on,,,,,0,0,3,,,,50,70,2
4800,note_on,,,,,21,0,1,,,,64,0,0
4820,note_on,,,,,0,0,1,,,,67,70,0
