tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
964,note_on,,4,0,2,,,,,,1,,,62,0
1064,note_on,,104,0,4,,,,,,4,,,51,0
1080,note_on,,0,0,2,,,,,,1,,,65,75
1080,note_on,,16,0,4,,,,,,4,,,50,75
1080,note_on,,116,0,2,,,,,,1,,,67,0
1184,note_on,,104,0,4,,,,,,4,,,50,0
1196,note_on,,236,0,1,,,,,,0,,,70,0
1200,note_on,,16,0,4,,,,,,4,,,48,75
1200,note_on,,120,0,2,,,,,,1,,,65,0
1200,note_on,,0,0,2,,,,,,1,,,63,75
1200,note_on,,4,0,1,,,,,,0,,,72,95
1304,note_on,,344,0,3,,,,,,2,,,55,0
1320,note_on,,16,0,3,,,,,,2,,,54,80
1410,note_on,,210,0,4,,,,,,4,,,48,0
1424,note_on,,104,0,3,,,,,,2,,,54,0
1428,note_on,,228,0,2,,,,,,1,,,63,0
1432,note_on,,232,0,1,,,,,,0,,,72,0
1440,note_on,,12,0,2,,,,,,1,,,62,75
1440,note_on,,30,0,4,,,,,,4,,,43,75
1440,note_on,,8,0,1,,,,,,0,,,70,95
1440,note_on,,16,0,3,,,,,,2,,,55,80
1556,note_on,,116,0,2,,,,,,1,,,62,0
1560,note_on,,4,0,2,,,,,,1,,,61,75
1650,note_on,,210,0,4,,,,,,4,,,43,0
1672,note_on,,232,0,1,,,,,,0,,,70,0
1680,note_on,,30,0,4,,,,,,4,,,50,75
1680,note_on,,120,0,2,,,,,,1,,,61,0
1680,note_on,,0,0,2,,,,,,1,,,62,75
1680,note_on,,8,0,1,,,,,,0,,,69,95
1784,note_on,,344,0,3,,,,,,2,,,55,0
1800,note_on,,16,0,3,,,,,,2,,,54,80
1852,note_on,,52,0,3,,,,,,2,,,54,0
1860,note_on,,8,0,3,,,,,,2,,,52,80
1890,note_on,,210,0,2,,,,,,1,,,62,0
1890,note_on,,210,0,4,,,,,,4,,,50,0
1890,note_on,,210,0,1,,,,,,0,,,69,0
1912,note_on,,52,0,3,,,,,,2,,,52,0
1920,note_on,,8,0,3,,,,,,2,,,54,80
1920,note_on,,30,0,4,,,,,,4,,,50,75
1920,note_on,,30,0,1,,,,,,0,,,69,95
1920,note_on,,30,0,2,,,,,,1,,,62,75
2130,note_on,,210,0,4,,,,,,4,,,50,0
2130,note_on,,210,0,1,,,,,,0,,,69,0
2130,note_on,,210,0,3,,,,,,2,,,54,0
2130,note_on,,210,0,2,,,,,,1,,,62,0
2160,note_on,,30,0,2,,,,,,1,,,62,75
2160,note_on,,30,0,1,,,,,,0,,,70,95
2160,note_on,,30,0,4,,,,,,4,,,43,75
2160,note_on,,30,0,3,,,,,,2,,,55,80
2264,note_on,,104,0,4,,,,,,4,,,43,0
2264,note_on,,104,0,3,,,,,,2,,,55,0
2280,note_on,,16,0,4,,,,,,4,,,55,75
2280,note_on,,16,0,3,,,,,,2,,,58,80
2280,note_on,,120,0,2,,,,,,1,,,64,75
2288,note_on,,8,0,2,,,,,,1,,,62,0
2384,note_on,,104,0,3,,,,,,2,,,58,0
2384,note_on,,104,0,4,,,,,,4,,,55,0
2396,note_on,,236,0,1,,,,,,0,,,70,0
2396,note_on,,108,0,2,,,,,,1,,,64,0
2400,note_on,,16,0,3,,,,,,2,,,57,80
2400,note_on,,16,0,4,,,,,,4,,,53,75
2400,note_on,,4,0,1,,,,,,0,,,72,95
2400,note_on,,4,0,2,,,,,,1,,,65,75
2504,note_on,,104,0,4,,,,,,4,,,53,0
2520,note_on,,16,0,4,,,,,,4,,,51,75
2610,note_on,,210,0,2,,,,,,1,,,65,0
2610,note_on,,210,0,3,,,,,,2,,,57,0
2624,note_on,,104,0,4,,,,,,4,,,51,0
2636,note_on,,236,0,1,,,,,,0,,,72,0
2640,note_on,,30,0,3,,,,,,2,,,58,80
2640,note_on,,30,0,2,,,,,,1,,,65,75
2640,note_on,,16,0,4,,,,,,4,,,50,75
2640,note_on,,4,0,1,,,,,,0,,,74,95
2744,note_on,,104,0,3,,,,,,2,,,58,0
2744,note_on,,104,0,4,,,,,,4,,,50,0
2760,note_on,,16,0,3,,,,,,2,,,56,80
2760,note_on,,16,0,4,,,,,,4,,,46,75
2850,note_on,,210,0,1,,,,,,0,,,74,0
2864,note_on,,104,0,4,,,,,,4,,,46,0
2864,note_on,,104,0,3,,,,,,2,,,56,0
2872,note_on,,232,0,2,,,,,,1,,,65,0
2880,note_on,,16,0,3,,,,,,2,,,55,80
2880,note_on,,8,0,2,,,,,,1,,,63,75
2880,note_on,,16,0,4,,,,,,4,,,51,75
2880,note_on,,30,0,1,,,,,,0,,,70,95
2984,note_on,,104,0,4,,,,,,4,,,51,0
2992,note_on,,112,0,2,,,,,,1,,,63,0
3000,note_on,,16,0,4,,,,,,4,,,50,75
3000,note_on,,8,0,2,,,,,,1,,,65,75
3090,note_on,,210,0,3,,,,,,2,,,55,0
3104,note_on,,104,0,4,,,,,,4,,,50,0
3116,note_on,,236,0,1,,,,,,0,,,70,0
3120,note_on,,120,0,2,,,,,,1,,,65,0
3120,note_on,,4,0,1,,,,,,0,,,75,95
3120,note_on,,0,0,2,,,,,,1,,,67,75
3120,note_on,,16,0,4,,,,,,4,,,48,75
3120,note_on,,30,0,3,,,,,,2,,,60,80
3240,note_on,,120,0,2,,,,,,1,,,67,0
3240,note_on,,0,0,2,,,,,,1,,,69,75
3330,note_on,,210,0,4,,,,,,4,,,48,0
3330,note_on,,210,0,3,,,,,,2,,,60,0
3360,note_on,,0,0,2,,,,,,1,,,70,75
3360,note_on,,30,0,4,,,,,,4,,,50,75
3360,note_on,,120,0,2,,,,,,1,,,69,0
3360,note_on,,30,0,3,,,,,,2,,,53,80
3360,note_on,,240,0,1,,,,,,0,,,75,0
3360,note_on,,0,0,1,,,,,,0,,,74,95
3464,note_on,,104,0,4,,,,,,4,,,50,0
3480,note_on,,16,0,4,,,,,,4,,,51,75
3570,note_on,,210,0,3,,,,,,2,,,53,0
3584,note_on,,104,0,4,,,,,,4,,,51,0
3596,note_on,,236,0,1,,,,,,0,,,74,0
3600,note_on,,30,0,3,,,,,,2,,,65,80
3600,note_on,,4,0,1,,,,,,0,,,72,95
3600,note_on,,16,0,4,,,,,,4,,,53,75
3704,note_on,,104,0,3,,,,,,2,,,65,0
3720,note_on,,16,0,3,,,,,,2,,,67,80
3810,note_on,,450,0,2,,,,,,1,,,70,0
3824,note_on,,104,0,3,,,,,,2,,,67,0
3840,note_on,,30,0,2,,,,,,1,,,69,75
3840,note_on,,16,0,3,,,,,,2,,,65,80
3944,note_on,,104,0,3,,,,,,2,,,65,0
3960,note_on,,16,0,3,,,,,,2,,,63,80
4050,note_on,,450,0,1,,,,,,0,,,72,0
4050,note_on,,450,0,4,,,,,,4,,,53,0
4050,note_on,,210,0,2,,,,,,1,,,69,0
4064,note_on,,104,0,3,,,,,,2,,,63,0
4080,note_on,,30,0,1,,,,,,0,,,70,95
4080,note_on,,30,0,2,,,,,,1,,,65,75
4080,note_on,,30,0,4,,,,,,4,,,46,75
4080,note_on,,16,0,3,,,,,,2,,,62,80
4184,note_on,,104,0,3,,,,,,2,,,62,0
4200,note_on,,120,0,2,,,,,,1,,,65,0
4200,note_on,,0,0,2,,,,,,1,,,67,75
4200,note_on,,16,0,3,,,,,,2,,,63,80
4304,note_on,,104,0,3,,,,,,2,,,63,0
4316,note_on,,116,0,2,,,,,,1,,,67,0
4320,note_on,,4,0,2,,,,,,1,,,65,75
4320,note_on,,16,0,3,,,,,,2,,,62,80
4424,note_on,,104,0,3,,,,,,2,,,62,0
4436,note_on,,116,0,2,,,,,,1,,,65,0
4440,note_on,,16,0,3,,,,,,2,,,60,80
4440,note_on,,4,0,2,,,,,,1,,,63,75
4530,note_on,,450,0,4,,,,,,4,,,46,0
4530,note_on,,450,0,1,,,,,,0,,,70,0
4544,note_on,,104,0,3,,,,,,2,,,60,0
4556,note_on,,116,0,2,,,,,,1,,,63,0
4560,note_on,,30,0,1,,,,,,0,,,74,95
4560,note_on,,30,0,4,,,,,,4,,,58,75
4560,note_on,,16,0,3,,,,,,2,,,58,80
4560,note_on,,4,0,2,,,,,,1,,,65,75
4664,note_on,,104,0,4,,,,,,4,,,58,0
4680,note_on,,16,0,4,,,,,,4,,,60,75
4770,note_on,,210,0,3,,,,,,2,,,58,0
4770,note_on,,210,0,1,,,,,,0,,,74,0
4770,note_on,,210,0,2,,,,,,1,,,65,0
4784,note_on,,104,0,4,,,,,,4,,,60,0
4800,note_on,,16,0,4,,,,,,4,,,58,75
4800,note_on,,30,0,3,,,,,,2,,,60,80
4800,note_on,,30,0,1,,,,,,0,,,74,95
4800,note_on,,30,0,2,,,,,,1,,,66,75
4904,note_on,,104,0,4,,,,,,4,,,58,0
4920,note_on,,16,0,4,,,,,,4,,,57,75
5010,note_on,,210,0,2,,,,,,1,,,66,0
5010,note_on,,210,0,3,,,,,,2,,,60,0
5024,note_on,,104,0,4,,,,,,4,,,57,0
5028,note_on,,228,0,1,,,,,,0,,,74,0
5040,note_on,,30,0,2,,,,,,1,,,67,75
5040,note_on,,30,0,3,,,,,,2,,,58,80
5040,note_on,,16,0,4,,,,,,4,,,55,75
5040,note_on,,12,0,1,,,,,,0,,,74,95
5144,note_on,,104,0,4,,,,,,4,,,55,0
5160,note_on,,16,0,4,,,,,,4,,,57,75
5250,note_on,,210,0,3,,,,,,2,,,58,0
5250,note_on,,210,0,2,,,,,,1,,,67,0
5264,note_on,,104,0,4,,,,,,4,,,57,0
5268,note_on,,228,0,1,,,,,,0,,,74,0
5280,note_on,,12,0,1,,,,,,0,,,74,95
5280,note_on,,30,0,3,,,,,,2,,,58,80
5280,note_on,,30,0,2,,,,,,1,,,67,75
5280,note_on,,16,0,4,,,,,,4,,,55,75
5384,note_on,,104,0,4,,,,,,4,,,55,0
5400,note_on,,16,0,4,,,,,,4,,,53,75
5504,note_on,,104,0,4,,,,,,4,,,53,0
5516,note_on,,236,0,1,,,,,,0,,,74,0
5520,note_on,,16,0,4,,,,,,4,,,52,75
5520,note_on,,4,0,1,,,,,,0,,,72,95
5624,note_on,,344,0,2,,,,,,1,,,67,0
5624,note_on,,344,0,3,,,,,,2,,,58,0
5624,note_on,,104,0,4,,,,,,4,,,52,0
5640,note_on,,16,0,3,,,,,,2,,,57,80
5640,note_on,,16,0,4,,,,,,4,,,53,75
5640,note_on,,16,0,2,,,,,,1,,,65,75
5744,note_on,,104,0,3,,,,,,2,,,57,0
5744,note_on,,104,0,4,,,,,,4,,,53,0
5756,note_on,,236,0,1,,,,,,0,,,72,0
5760,note_on,,16,0,4,,,,,,4,,,55,75
5760,note_on,,4,0,1,,,,,,0,,,70,95
5760,note_on,,16,0,3,,,,,,2,,,58,80
5864,note_on,,224,0,2,,,,,,1,,,65,0
5880,note_on,,16,0,2,,,,,,1,,,64,75
5970,note_on,,210,0,4,,,,,,4,,,55,0
5992,note_on,,232,0,1,,,,,,0,,,70,0
5996,note_on,,116,0,2,,,,,,1,,,64,0
6000,note_on,,8,0,1,,,,,,0,,,72,95
6000,note_on,,30,0,4,,,,,,4,,,53,75
6000,note_on,,4,0,2,,,,,,1,,,65,75
6104,note_on,,344,0,3,,,,,,2,,,58,0
6120,note_on,,16,0,3,,,,,,2,,,57,80
6172,note_on,,52,0,3,,,,,,2,,,57,0
6180,note_on,,8,0,3,,,,,,2,,,55,80
6210,note_on,,210,0,1,,,,,,0,,,72,0
6210,note_on,,210,0,2,,,,,,1,,,65,0
6210,note_on,,210,0,4,,,,,,4,,,53,0
6232,note_on,,52,0,3,,,,,,2,,,55,0
6240,note_on,,8,0,3,,,,,,2,,,57,80
6240,note_on,,30,0,1,,,,,,0,,,72,95
6240,note_on,,30,0,2,,,,,,1,,,65,75
6240,note_on,,30,0,4,,,,,,4,,,53,75
6450,note_on,,210,0,3,,,,,,2,,,57,0
6450,note_on,,210,0,1,,,,,,0,,,72,0
6450,note_on,,210,0,4,,,,,,4,,,53,0
6464,note_on,,224,0,2,,,,,,1,,,65,0
6480,note_on,,30,0,4,,,,,,4,,,53,75
6480,note_on,,16,0,2,,,,,,1,,,65,75
6480,note_on,,30,0,1,,,,,,0,,,72,95
6480,note_on,,30,0,3,,,,,,2,,,57,80
6584,note_on,,104,0,4,,,,,,4,,,53,0
6600,note_on,,16,0,4,,,,,,4,,,51,75
6690,note_on,,210,0,3,,,,,,2,,,57,0
6690,note_on,,210,0,2,,,,,,1,,,65,0
6704,note_on,,104,0,4,,,,,,4,,,51,0
6716,note_on,,236,0,1,,,,,,0,,,72,0
6720,note_on,,4,0,1,,,,,,0,,,74,95
6720,note_on,,30,0,2,,,,,,1,,,65,75
6720,note_on,,16,0,4,,,,,,4,,,50,75
6720,note_on,,30,0,3,,,,,,2,,,57,80
6824,note_on,,104,0,3,,,,,,2,,,57,0
6840,note_on,,16,0,3,,,,,,2,,,59,80
6930,note_on,,210,0,2,,,,,,1,,,65,0
6930,note_on,,210,0,4,,,,,,4,,,50,0
6944,note_on,,104,0,3,,,,,,2,,,59,0
6956,note_on,,236,0,1,,,,,,0,,,74,0
6960,note_on,,30,0,2,,,,,,1,,,63,75
6960,note_on,,30,0,4,,,,,,4,,,48,75
6960,note_on,,4,0,1,,,,,,0,,,75,95
6960,note_on,,16,0,3,,,,,,2,,,60,80
7064,note_on,,104,0,4,,,,,,4,,,48,0
7080,note_on,,0,0,2,,,,,,1,,,65,75
7080,note_on,,16,0,4,,,,,,4,,,50,75
7080,note_on,,120,0,2,,,,,,1,,,63,0
7170,note_on,,210,0,1,,,,,,0,,,75,0
7170,note_on,,210,0,3,,,,,,2,,,60,0
7184,note_on,,104,0,4,,,,,,4,,,50,0
7200,note_on,,30,0,3,,,,,,2,,,60,80
7200,note_on,,30,0,1,,,,,,0,,,75,95
7200,note_on,,16,0,4,,,,,,4,,,51,75
7200,note_on,,120,0,2,,,,,,1,,,67,75
7204,note_on,,4,0,2,,,,,,1,,,65,0
7304,note_on,,104,0,4,,,,,,4,,,51,0
7320,note_on,,16,0,4,,,,,,4,,,53,75
7410,note_on,,210,0,3,,,,,,2,,,60,0
7424,note_on,,104,0,4,,,,,,4,,,53,0
7432,note_on,,232,0,1,,,,,,0,,,75,0
7440,note_on,,8,0,1,,,,,,0,,,74,95
7440,note_on,,30,0,3,,,,,,2,,,59,80
7440,note_on,,16,0,4,,,,,,4,,,55,75
7544,note_on,,340,0,2,,,,,,1,,,67,0
7560,note_on,,16,0,2,,,,,,1,,,65,75
7650,note_on,,210,0,4,,,,,,4,,,55,0
7650,note_on,,210,0,3,,,,,,2,,,59,0
7672,note_on,,232,0,1,,,,,,0,,,74,0
7680,note_on,,30,0,4,,,,,,4,,,56,75
7680,note_on,,30,0,3,,,,,,2,,,60,80
7680,note_on,,8,0,1,,,,,,0,,,72,95
7680,note_on,,120,0,2,,,,,,1,,,63,75
7684,note_on,,4,0,2,,,,,,1,,,65,0
7784,note_on,,104,0,4,,,,,,4,,,56,0
7800,note_on,,16,0,4,,,,,,4,,,55,75
7890,note_on,,210,0,1,,,,,,0,,,72,0
7890,note_on,,206,0,2,,,,,,1,,,63,0
7904,note_on,,104,0,4,,,,,,4,,,55,0
7920,note_on,,30,0,1,,,,,,0,,,74,95
7920,note_on,,16,0,4,,,,,,4,,,53,75
7920,note_on,,30,0,2,,,,,,1,,,68,75
8024,note_on,,104,0,4,,,,,,4,,,53,0
8040,note_on,,16,0,4,,,,,,4,,,50,75
8130,note_on,,450,0,3,,,,,,2,,,60,0
8144,note_on,,104,0,4,,,,,,4,,,50,0
8152,note_on,,232,0,2,,,,,,1,,,68,0
8160,note_on,,16,0,4,,,,,,4,,,55,75
8160,note_on,,30,0,3,,,,,,2,,,59,80
8160,note_on,,8,0,2,,,,,,1,,,67,75
8280,note_on,,120,0,2,,,,,,1,,,65,75
8284,note_on,,4,0,2,,,,,,1,,,67,0
8370,note_on,,210,0,4,,,,,,4,,,55,0
8370,note_on,,210,0,3,,,,,,2,,,59,0
8370,note_on,,450,0,1,,,,,,0,,,74,0
8400,note_on,,30,0,3,,,,,,2,,,60,80
8400,note_on,,30,0,1,,,,,,0,,,72,95
8400,note_on,,30,0,4,,,,,,4,,,48,75
8504,note_on,,220,0,2,,,,,,1,,,65,0
8520,note_on,,16,0,2,,,,,,1,,,63,75
8580,note_on,,60,0,2,,,,,,1,,,62,75
8584,note_on,,4,0,2,,,,,,1,,,63,0
8610,note_on,,210,0,3,,,,,,2,,,60,0
8640,note_on,,0,0,2,,,,,,1,,,63,75
8640,note_on,,56,0,2,,,,,,1,,,62,0
8640,note_on,,30,0,3,,,,,,2,,,55,80
8850,note_on,,210,0,2,,,,,,1,,,63,0
8850,note_on,,210,0,3,,,,,,2,,,55,0
8850,note_on,,450,0,4,,,,,,4,,,48,0
8850,note_on,,450,0,1,,,,,,0,,,72,0
8880,note_on,,30,0,4,,,,,,4,,,48,75
8880,note_on,,30,0,2,,,,,,1,,,64,75
8880,note_on,,30,0,3,,,,,,2,,,60,80
8880,note_on,,30,0,1,,,,,,0,,,67,95
8984,note_on,,104,0,4,,,,,,4,,,48,0
9000,note_on,,16,0,4,,,,,,4,,,60,75
9090,note_on,,210,0,3,,,,,,2,,,60,0
9104,note_on,,104,0,4,,,,,,4,,,60,0
9112,note_on,,232,0,2,,,,,,1,,,64,0
9112,note_on,,232,0,1,,,,,,0,,,67,0
9120,note_on,,8,0,1,,,,,,0,,,69,95
9120,note_on,,8,0,2,,,,,,1,,,66,75
9120,note_on,,16,0,4,,,,,,4,,,58,75
9120,note_on,,30,0,3,,,,,,2,,,60,80
9224,note_on,,104,0,4,,,,,,4,,,58,0
9240,note_on,,16,0,4,,,,,,4,,,57,75
9330,note_on,,210,0,3,,,,,,2,,,60,0
9344,note_on,,104,0,4,,,,,,4,,,57,0
9352,note_on,,232,0,1,,,,,,0,,,69,0
9356,note_on,,236,0,2,,,,,,1,,,66,0
9360,note_on,,16,0,4,,,,,,4,,,55,75
9360,note_on,,30,0,3,,,,,,2,,,62,80
9360,note_on,,4,0,2,,,,,,1,,,67,75
9360,note_on,,8,0,1,,,,,,0,,,70,95
9464,note_on,,104,0,4,,,,,,4,,,55,0
9464,note_on,,104,0,3,,,,,,2,,,62,0
9480,note_on,,16,0,3,,,,,,2,,,60,80
9480,note_on,,16,0,4,,,,,,4,,,57,75
9570,note_on,,210,0,2,,,,,,1,,,67,0
9570,note_on,,210,0,1,,,,,,0,,,70,0
9584,note_on,,104,0,4,,,,,,4,,,57,0
9584,note_on,,104,0,3,,,,,,2,,,60,0
9600,note_on,,30,0,1,,,,,,0,,,70,95
9600,note_on,,30,0,2,,,,,,1,,,62,75
9600,note_on,,16,0,4,,,,,,4,,,55,75
9600,note_on,,16,0,3,,,,,,2,,,58,80
9704,note_on,,104,0,4,,,,,,4,,,55,0
9720,note_on,,16,0,4,,,,,,4,,,53,75
9810,note_on,,210,0,3,,,,,,2,,,58,0
9810,note_on,,210,0,2,,,,,,1,,,62,0
9824,note_on,,104,0,4,,,,,,4,,,53,0
9836,note_on,,236,0,1,,,,,,0,,,70,0
9840,note_on,,4,0,1,,,,,,0,,,72,95
9840,note_on,,30,0,2,,,,,,1,,,67,75
9840,note_on,,30,0,3,,,,,,2,,,58,80
9840,note_on,,16,0,4,,,,,,4,,,51,75
9944,note_on,,104,0,4,,,,,,4,,,51,0
9960,note_on,,16,0,4,,,,,,4,,,48,75
10050,note_on,,210,0,1,,,,,,0,,,72,0
10050,note_on,,210,0,2,,,,,,1,,,67,0
10064,note_on,,104,0,4,,,,,,4,,,48,0
10080,note_on,,16,0,4,,,,,,4,,,53,75
10080,note_on,,30,0,1,,,,,,0,,,72,95
10080,note_on,,30,0,2,,,,,,1,,,65,75
10184,note_on,,344,0,3,,,,,,2,,,58,0
10200,note_on,,16,0,3,,,,,,2,,,57,80
10290,note_on,,210,0,2,,,,,,1,,,65,0
10290,note_on,,210,0,4,,,,,,4,,,53,0
10304,note_on,,104,0,3,,,,,,2,,,57,0
10316,note_on,,236,0,1,,,,,,0,,,72,0
10320,note_on,,30,0,2,,,,,,1,,,65,75
10320,note_on,,4,0,1,,,,,,0,,,74,95
10320,note_on,,30,0,4,,,,,,4,,,46,75
10320,note_on,,16,0,3,,,,,,2,,,58,80
10424,note_on,,104,0,4,,,,,,4,,,46,0
10440,note_on,,16,0,4,,,,,,4,,,48,75
10530,note_on,,210,0,3,,,,,,2,,,58,0
10530,note_on,,210,0,2,,,,,,1,,,65,0
10530,note_on,,210,0,1,,,,,,0,,,74,0
10544,note_on,,104,0,4,,,,,,4,,,48,0
10560,note_on,,30,0,2,,,,,,1,,,65,75
10560,note_on,,30,0,3,,,,,,2,,,58,80
10560,note_on,,16,0,4,,,,,,4,,,46,75
10560,note_on,,30,0,1,,,,,,0,,,74,95
10664,note_on,,104,0,4,,,,,,4,,,46,0
10680,note_on,,16,0,4,,,,,,4,,,45,75
10770,note_on,,210,0,2,,,,,,1,,,65,0
10770,note_on,,210,0,3,,,,,,2,,,58,0
10784,note_on,,104,0,4,,,,,,4,,,45,0
10788,note_on,,228,0,1,,,,,,0,,,74,0
10800,note_on,,12,0,1,,,,,,0,,,74,95
10800,note_on,,30,0,2,,,,,,1,,,67,75
10800,note_on,,16,0,4,,,,,,4,,,43,75
10800,note_on,,30,0,3,,,,,,2,,,58,80
10904,note_on,,104,0,4,,,,,,4,,,43,0
10920,note_on,,16,0,4,,,,,,4,,,53,75
11010,note_on,,210,0,2,,,,,,1,,,67,0
11010,note_on,,210,0,3,,,,,,2,,,58,0
11020,note_on,,220,0,1,,,,,,0,,,74,0
11024,note_on,,104,0,4,,,,,,4,,,53,0
11040,note_on,,20,0,1,,,,,,0,,,74,95
11040,note_on,,16,0,4,,,,,,4,,,51,75
11040,note_on,,30,0,3,,,,,,2,,,59,80
11040,note_on,,30,0,2,,,,,,1,,,67,75
11144,note_on,,104,0,4,,,,,,4,,,51,0
11160,note_on,,16,0,4,,,,,,4,,,50,75
11250,note_on,,210,0,2,,,,,,1,,,67,0
11250,note_on,,210,0,3,,,,,,2,,,59,0
11264,note_on,,104,0,4,,,,,,4,,,50,0
11276,note_on,,236,0,1,,,,,,0,,,74,0
11280,note_on,,30,0,3,,,,,,2,,,60,80
11280,note_on,,30,0,2,,,,,,1,,,67,75
11280,note_on,,16,0,4,,,,,,4,,,48,75
11280,note_on,,4,0,1,,,,,,0,,,75,95
11384,note_on,,104,0,4,,,,,,4,,,48,0
11400,note_on,,16,0,4,,,,,,4,,,46,75
11400,note_on,,120,0,2,,,,,,1,,,69,75
11408,note_on,,8,0,2,,,,,,1,,,67,0
11490,note_on,,210,0,3,,,,,,2,,,60,0
11504,note_on,,104,0,4,,,,,,4,,,46,0
11504,note_on,,224,0,1,,,,,,0,,,75,0
11516,note_on,,108,0,2,,,,,,1,,,69,0
11520,note_on,,4,0,2,,,,,,1,,,70,75
11520,note_on,,16,0,1,,,,,,0,,,74,95
11520,note_on,,16,0,4,,,,,,4,,,45,75
11520,note_on,,30,0,3,,,,,,2,,,62,80
11624,note_on,,104,0,4,,,,,,4,,,45,0
11640,note_on,,16,0,4,,,,,,4,,,43,75
11730,note_on,,210,0,3,,,,,,2,,,62,0
11744,note_on,,104,0,4,,,,,,4,,,43,0
11756,note_on,,236,0,1,,,,,,0,,,74,0
11760,note_on,,30,0,3,,,,,,2,,,63,80
11760,note_on,,4,0,1,,,,,,0,,,72,95
11760,note_on,,16,0,4,,,,,,4,,,42,75
11864,note_on,,344,0,2,,,,,,1,,,70,0
11880,note_on,,16,0,2,,,,,,1,,,69,75
11970,note_on,,210,0,4,,,,,,4,,,42,0
11970,note_on,,210,0,3,,,,,,2,,,63,0
11992,note_on,,232,0,1,,,,,,0,,,72,0
12000,note_on,,30,0,4,,,,,,4,,,43,75
12000,note_on,,30,0,3,,,,,,2,,,62,80
12000,note_on,,8,0,1,,,,,,0,,,70,95
12104,note_on,,224,0,2,,,,,,1,,,69,0
12120,note_on,,16,0,2,,,,,,1,,,67,75
12210,note_on,,210,0,3,,,,,,2,,,62,0
12210,note_on,,210,0,4,,,,,,4,,,43,0
12228,note_on,,228,0,1,,,,,,0,,,70,0
12240,note_on,,30,0,3,,,,,,2,,,62,80
12240,note_on,,30,0,4,,,,,,4,,,38,75
12240,note_on,,12,0,1,,,,,,0,,,69,95
12344,note_on,,224,0,2,,,,,,1,,,67,0
12360,note_on,,16,0,2,,,,,,1,,,66,75
12420,note_on,,60,0,2,,,,,,1,,,64,75
12424,note_on,,4,0,2,,,,,,1,,,66,0
12464,control_change,,224,0,4,,,,,,4,7,104,,
12480,note_on,,56,0,2,,,,,,1,,,66,75
