tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
623,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,59,0
624,note_on,241,0,10,,,,,,,,,,,,,,,10,,,,57,100
671,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
672,note_on,337,0,9,,,,,,,,,,,,,,,8,,,,56,100
719,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,56,0
720,note_on,49,0,10,,,,,,,,,,,,,,,10,,,,57,100
767,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
768,note_on,482,0,7,,,,,,,,,,,,,,,6,,,,54,100
815,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,54,0
816,note_on,241,0,2,,,,,,,,,,,,,,,1,,,,61,100
863,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
864,note_on,97,0,10,,,,,,,,,,,,,,,10,,,,57,100
911,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
912,note_on,97,0,7,,,,,,,,,,,,,,,6,,,,66,100
959,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
960,note_on,97,0,2,,,,,,,,,,,,,,,1,,,,61,100
1007,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
1008,note_on,49,0,7,,,,,,,,,,,,,,,6,,,,66,100
1098,note_on,90,0,7,,,,,,,,,,,,,,,6,,,,66,0
1104,note_on,385,0,9,,,,,,,,,,,,,,,8,,,,68,100
1151,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
1152,note_on,241,0,10,,,,,,,,,,,,,,,10,,,,69,100
1199,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
1200,note_on,577,0,12,,,,,,,,,,,,,,,12,,,,71,100
1247,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,71,0
1248,note_on,241,0,2,,,,,,,,,,,,,,,1,,,,73,100
1295,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
1296,note_on,769,0,3,,,,,,,,,,,,,,,2,,,,74,100
1343,note_on,47,0,3,,,,,,,,,,,,,,,2,,,,74,0
1344,note_on,49,0,2,,,,,,,,,,,,,,,1,,,,73,100
1391,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
1392,note_on,145,0,12,,,,,,,,,,,,,,,12,,,,71,100
1439,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,71,0
1440,note_on,241,0,10,,,,,,,,,,,,,,,10,,,,69,100
1487,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
1488,note_on,337,0,9,,,,,,,,,,,,,,,8,,,,68,100
1535,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
1536,note_on,49,0,10,,,,,,,,,,,,,,,10,,,,69,100
1583,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
1584,note_on,486,0,7,,,,,,,,,,,,,,,6,,,,66,100
1631,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
1632,note_on,241,0,2,,,,,,,,,,,,,,,1,,,,73,100
1679,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
1680,note_on,97,0,10,,,,,,,,,,,,,,,10,,,,69,100
1727,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
1728,note_on,97,0,7,,,,,,,,,,,,,,,6,,,,78,100
1752,note_on,1752,0,6,,,,,,,,,,,,,,,5,,,,77,100
1776,note_on,0,0,7,,,,,,,,,,,,,,,6,,,,78,100
1776,note_on,48,0,7,,,,,,,,,,,,,,,6,,,,78,0
1800,note_on,48,0,6,,,,,,,,,,,,,,,5,,,,77,0
1800,note_on,0,0,6,,,,,,,,,,,,,,,5,,,,77,100
1824,note_on,0,0,7,,,,,,,,,,,,,,,6,,,,78,100
1824,note_on,48,0,7,,,,,,,,,,,,,,,6,,,,78,0
1848,note_on,48,0,6,,,,,,,,,,,,,,,5,,,,77,0
2144,note_on,320,0,7,,,,,,,,,,,,,,,6,,,,78,0
2160,note_on,481,0,2,,,,,,,,,,,,,,,1,,,,73,100
2207,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
2208,note_on,481,0,10,,,,,,,,,,,,,,,10,,,,69,100
2255,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
2256,note_on,721,0,9,,,,,,,,,,,,,,,8,,,,68,100
2303,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
2304,note_on,49,0,10,,,,,,,,,,,,,,,10,,,,69,100
2352,note_on,208,0,7,,,,,,,,,,,,,,,6,,,,66,100
2399,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
2400,note_on,193,0,2,,,,,,,,,,,,,,,1,,,,61,100
2444,note_on,140,0,10,,,,,,,,,,,,,,,10,,,,69,0
2447,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
2448,note_on,1009,0,12,,,,,,,,,,,,,,,12,,,,59,100
2495,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,59,0
2496,note_on,49,0,2,,,,,,,,,,,,,,,1,,,,61,100
2544,note_on,100,0,10,,,,,,,,,,,,,,,10,,,,57,100
2591,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
2592,note_on,193,0,7,,,,,,,,,,,,,,,6,,,,54,100
2636,note_on,140,0,2,,,,,,,,,,,,,,,1,,,,61,0
2640,note_on,4,0,2,,,,,,,,,,,,,,,1,,,,49,100
2687,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,49,0
2688,note_on,96,0,7,,,,,,,,,,,,,,,6,,,,42,100
2932,note_on,244,0,7,,,,,,,,,,,,,,,6,,,,54,0
3168,note_on,236,0,7,,,,,,,,,,,,,,,6,,,,42,0
3368,note_on,3368,0,5,,,,,,,,,,,,,,,4,,,,76,100
3478,note_on,110,0,5,,,,,,,,,,,,,,,4,,,,76,0
3480,note_on,2137,0,3,,,,,,,,,,,,,,,2,,,,74,100
3550,note_on,70,0,3,,,,,,,,,,,,,,,2,,,,74,0
3552,note_on,74,0,5,,,,,,,,,,,,,,,4,,,,76,100
3599,note_on,47,0,5,,,,,,,,,,,,,,,4,,,,76,0
3600,note_on,432,0,7,,,,,,,,,,,,,,,6,,,,78,100
3647,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,78,0
3648,note_on,49,0,5,,,,,,,,,,,,,,,4,,,,76,100
3695,note_on,47,0,5,,,,,,,,,,,,,,,4,,,,76,0
3696,note_on,146,0,3,,,,,,,,,,,,,,,2,,,,74,100
3743,note_on,47,0,3,,,,,,,,,,,,,,,2,,,,74,0
3744,note_on,1057,0,2,,,,,,,,,,,,,,,1,,,,73,100
3791,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
3792,note_on,1297,0,12,,,,,,,,,,,,,,,12,,,,71,100
3839,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,71,0
3840,note_on,3840,0,11,,,,,,,,,,,,,,,11,,,,70,100
3887,note_on,47,0,11,,,,,,,,,,,,,,,11,,,,70,0
3888,note_on,49,0,12,,,,,,,,,,,,,,,12,,,,71,100
3936,note_on,145,0,2,,,,,,,,,,,,,,,1,,,,73,100
3983,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
3984,note_on,241,0,3,,,,,,,,,,,,,,,2,,,,74,100
4018,note_on,130,0,12,,,,,,,,,,,,,,,12,,,,71,0
4031,note_on,47,0,3,,,,,,,,,,,,,,,2,,,,74,0
4032,note_on,49,0,2,,,,,,,,,,,,,,,1,,,,73,100
4079,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
4080,note_on,62,0,12,,,,,,,,,,,,,,,12,,,,71,100
4127,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,71,0
4128,note_on,1537,0,10,,,,,,,,,,,,,,,10,,,,69,100
4175,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
4176,note_on,1873,0,9,,,,,,,,,,,,,,,8,,,,68,100
4223,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
4224,note_on,577,0,7,,,,,,,,,,,,,,,6,,,,66,100
4271,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
4272,note_on,49,0,9,,,,,,,,,,,,,,,8,,,,68,100
4320,note_on,145,0,10,,,,,,,,,,,,,,,10,,,,69,100
4367,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
4368,note_on,241,0,12,,,,,,,,,,,,,,,12,,,,71,100
4402,note_on,130,0,9,,,,,,,,,,,,,,,8,,,,68,0
4415,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,71,0
4416,note_on,49,0,10,,,,,,,,,,,,,,,10,,,,69,100
4463,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
4464,note_on,62,0,9,,,,,,,,,,,,,,,8,,,,68,100
4511,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
4512,note_on,241,0,7,,,,,,,,,,,,,,,6,,,,66,100
4559,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
4560,note_on,2712,0,6,,,,,,,,,,,,,,,5,,,,65,100
4607,note_on,47,0,6,,,,,,,,,,,,,,,5,,,,65,0
4608,note_on,4608,0,4,,,,,,,,,,,,,,,3,,,,63,100
4655,note_on,47,0,4,,,,,,,,,,,,,,,3,,,,63,0
4656,note_on,49,0,6,,,,,,,,,,,,,,,5,,,,65,100
4704,note_on,145,0,7,,,,,,,,,,,,,,,6,,,,66,100
4751,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
4752,note_on,241,0,9,,,,,,,,,,,,,,,8,,,,68,100
4786,note_on,130,0,6,,,,,,,,,,,,,,,5,,,,65,0
4799,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
4800,note_on,49,0,7,,,,,,,,,,,,,,,6,,,,66,100
4847,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
4848,note_on,62,0,6,,,,,,,,,,,,,,,5,,,,65,100
4895,note_on,47,0,6,,,,,,,,,,,,,,,5,,,,65,0
4896,note_on,241,0,4,,,,,,,,,,,,,,,3,,,,63,100
4943,note_on,47,0,4,,,,,,,,,,,,,,,3,,,,63,0
4944,note_on,865,0,2,,,,,,,,,,,,,,,1,,,,61,100
4991,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
4992,note_on,577,0,12,,,,,,,,,,,,,,,12,,,,59,100
5039,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,59,0
5040,note_on,577,0,10,,,,,,,,,,,,,,,10,,,,57,100
5088,note_on,97,0,2,,,,,,,,,,,,,,,1,,,,61,100
5130,note_on,90,0,10,,,,,,,,,,,,,,,10,,,,57,0
5139,note_on,51,0,2,,,,,,,,,,,,,,,1,,,,61,0
5141,note_on,294,0,7,,,,,,,,,,,,,,,6,,,,66,100
5194,note_on,299,0,6,,,,,,,,,,,,,,,5,,,,65,100
5200,note_on,59,0,7,,,,,,,,,,,,,,,6,,,,66,0
5254,note_on,60,0,6,,,,,,,,,,,,,,,5,,,,65,0
5255,note_on,55,0,7,,,,,,,,,,,,,,,6,,,,66,100
5471,note_on,216,0,7,,,,,,,,,,,,,,,6,,,,54,100
5518,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,54,0
5520,note_on,390,0,10,,,,,,,,,,,,,,,10,,,,57,100
5567,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
5568,note_on,769,0,9,,,,,,,,,,,,,,,8,,,,56,100
5615,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,56,0
5616,note_on,98,0,7,,,,,,,,,,,,,,,6,,,,54,100
5635,note_on,19,0,7,,,,,,,,,,,,,,,6,,,,66,0
5663,note_on,28,0,7,,,,,,,,,,,,,,,6,,,,54,0
5664,note_on,410,0,6,,,,,,,,,,,,,,,5,,,,53,100
5711,note_on,47,0,6,,,,,,,,,,,,,,,5,,,,53,0
5712,note_on,49,0,7,,,,,,,,,,,,,,,6,,,,54,100
5759,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,54,0
5760,note_on,145,0,9,,,,,,,,,,,,,,,8,,,,56,100
5807,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,56,0
5808,note_on,241,0,10,,,,,,,,,,,,,,,10,,,,57,100
5855,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,57,0
5856,note_on,817,0,12,,,,,,,,,,,,,,,12,,,,59,100
5903,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,59,0
5904,note_on,765,0,2,,,,,,,,,,,,,,,1,,,,61,100
5951,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
5952,note_on,1921,0,3,,,,,,,,,,,,,,,2,,,,62,100
5999,note_on,47,0,3,,,,,,,,,,,,,,,2,,,,62,0
6000,note_on,49,0,2,,,,,,,,,,,,,,,1,,,,61,100
6048,note_on,289,0,7,,,,,,,,,,,,,,,6,,,,66,100
6090,note_on,90,0,2,,,,,,,,,,,,,,,1,,,,61,0
6095,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,66,0
6096,note_on,241,0,10,,,,,,,,,,,,,,,10,,,,69,100
6143,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
6144,note_on,337,0,9,,,,,,,,,,,,,,,8,,,,68,100
6191,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
6192,note_on,49,0,10,,,,,,,,,,,,,,,10,,,,69,100
6240,note_on,150,0,2,,,,,,,,,,,,,,,1,,,,61,100
6282,note_on,90,0,10,,,,,,,,,,,,,,,10,,,,69,0
6287,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,61,0
6288,note_on,193,0,7,,,,,,,,,,,,,,,6,,,,66,100
6346,note_on,635,0,6,,,,,,,,,,,,,,,5,,,,65,100
6346,note_on,58,0,7,,,,,,,,,,,,,,,6,,,,66,0
6404,note_on,58,0,7,,,,,,,,,,,,,,,6,,,,66,100
6406,note_on,60,0,6,,,,,,,,,,,,,,,5,,,,65,0
6503,note_on,99,0,7,,,,,,,,,,,,,,,6,,,,66,0
6504,note_on,313,0,9,,,,,,,,,,,,,,,8,,,,68,100
6551,note_on,47,0,9,,,,,,,,,,,,,,,8,,,,68,0
6552,note_on,270,0,10,,,,,,,,,,,,,,,10,,,,69,100
6599,note_on,47,0,10,,,,,,,,,,,,,,,10,,,,69,0
6600,note_on,697,0,12,,,,,,,,,,,,,,,12,,,,71,100
6647,note_on,47,0,12,,,,,,,,,,,,,,,12,,,,71,0
6648,note_on,361,0,2,,,,,,,,,,,,,,,1,,,,73,100
6695,note_on,47,0,2,,,,,,,,,,,,,,,1,,,,73,0
6696,note_on,697,0,3,,,,,,,,,,,,,,,2,,,,74,100
6743,note_on,47,0,3,,,,,,,,,,,,,,,2,,,,74,0
6744,note_on,3049,0,5,,,,,,,,,,,,,,,4,,,,76,100
6791,note_on,47,0,5,,,,,,,,,,,,,,,4,,,,76,0
6792,note_on,289,0,7,,,,,,,,,,,,,,,6,,,,78,100
6839,note_on,47,0,7,,,,,,,,,,,,,,,6,,,,78,0
6840,note_on,97,0,3,,,,,,,,,,,,,,,2,,,,74,100
6935,note_on,95,0,3,,,,,,,,,,,,,,,2,,,,74,0
6936,note_on,337,0,10,,,,,,,,,,,,,,,10,,,,69,100
7031,note_on,95,0,10,,,,,,,,,,,,,,,10,,,,69,0
7032,note_on,385,0,12,,,,,,,,,,,,,,,12,,,,71,100
7127,note_on,95,0,12,,,,,,,,,,,,,,,12,,,,71,0
7128,note_on,577,0,9,,,,,,,,,,,,,,,8,,,,68,100
7223,note_on,95,0,9,,,,,,,,,,,,,,,8,,,,68,0
7224,note_on,433,0,5,,,,,,,,,,,,,,,4,,,,64,100
7319,note_on,95,0,5,,,,,,,,,,,,,,,4,,,,64,0
7320,note_on,97,0,9,,,,,,,,,,,,,,,8,,,,68,100
7415,note_on,95,0,9,,,,,,,,,,,,,,,8,,,,68,0
7416,note_on,721,0,2,,,,,,,,,,,,,,,1,,,,73,100
7511,note_on,95,0,2,,,,,,,,,,,,,,,1,,,,73,0
7512,note_on,97,0,9,,,,,,,,,,,,,,,8,,,,68,100
7607,note_on,95,0,9,,,,,,,,,,,,,,,8,,,,68,0
7608,note_on,577,0,10,,,,,,,,,,,,,,,10,,,,69,100
7608,note_on,769,0,7,,,,,,,,,,,,,,,6,,,,42,100
7703,note_on,95,0,10,,,,,,,,,,,,,,,10,,,,69,0
7704,note_on,1298,0,6,,,,,,,,,,,,,,,5,,,,65,100
7799,note_on,95,0,6,,,,,,,,,,,,,,,5,,,,65,0
7800,note_on,192,0,7,,,,,,,,,,,,,,,6,,,,66,100
7896,note_on,385,0,2,,,,,,,,,,,,,,,1,,,,61,100
7990,note_on,190,0,7,,,,,,,,,,,,,,,6,,,,66,0
7991,note_on,95,0,2,,,,,,,,,,,,,,,1,,,,61,0
7992,note_on,1057,0,3,,,,,,,,,,,,,,,2,,,,62,100
8088,note_on,961,0,12,,,,,,,,,,,,,,,12,,,,59,100
8183,note_on,95,0,12,,,,,,,,,,,,,,,12,,,,59,0
8184,note_on,577,0,9,,,,,,,,,,,,,,,8,,,,68,100
8272,note_on,280,0,3,,,,,,,,,,,,,,,2,,,,62,0
8280,note_on,97,0,12,,,,,,,,,,,,,,,12,,,,59,100
8375,note_on,95,0,12,,,,,,,,,,,,,,,12,,,,59,0
8376,note_on,385,0,2,,,,,,,,,,,,,,,1,,,,61,100
8464,note_on,280,0,9,,,,,,,,,,,,,,,8,,,,68,0
8472,note_on,8,0,9,,,,,,,,,,,,,,,8,,,,56,100
8567,note_on,95,0,9,,,,,,,,,,,,,,,8,,,,56,0
8568,note_on,865,0,10,,,,,,,,,,,,,,,10,,,,57,100
8656,note_on,280,0,2,,,,,,,,,,,,,,,1,,,,61,0
8663,note_on,95,0,10,,,,,,,,,,,,,,,10,,,,57,0
8664,note_on,8,0,2,,,,,,,,,,,,,,,1,,,,61,100
8759,note_on,95,0,2,,,,,,,,,,,,,,,1,,,,61,0
8760,note_on,770,0,7,,,,,,,,,,,,,,,6,,,,66,100
8856,note_on,193,0,10,,,,,,,,,,,,,,,10,,,,57,100
8951,note_on,95,0,10,,,,,,,,,,,,,,,10,,,,57,0
8952,note_on,680,0,3,,,,,,,,,,,,,,,2,,,,62,100
9040,note_on,280,0,7,,,,,,,,,,,,,,,6,,,,66,0
9047,note_on,95,0,3,,,,,,,,,,,,,,,2,,,,62,0
9048,note_on,8,0,7,,,,,,,,,,,,,,,6,,,,54,100
9143,note_on,95,0,7,,,,,,,,,,,,,,,6,,,,54,0
9144,note_on,769,0,12,,,,,,,,,,,,,,,12,,,,59,100
9240,note_on,97,0,7,,,,,,,,,,,,,,,6,,,,54,100
9335,note_on,95,0,7,,,,,,,,,,,,,,,6,,,,54,0
9336,note_on,769,0,9,,,,,,,,,,,,,,,8,,,,56,100
9424,note_on,280,0,12,,,,,,,,,,,,,,,12,,,,59,0
9432,note_on,4489,0,4,,,,,,,,,,,,,,,3,,,,51,100
9527,note_on,95,0,4,,,,,,,,,,,,,,,3,,,,51,0
9528,note_on,1729,0,6,,,,,,,,,,,,,,,5,,,,53,100
9616,note_on,280,0,9,,,,,,,,,,,,,,,8,,,,56,0
9624,note_on,8,0,9,,,,,,,,,,,,,,,8,,,,56,100
9719,note_on,95,0,9,,,,,,,,,,,,,,,8,,,,56,0
9720,note_on,961,0,2,,,,,,,,,,,,,,,1,,,,61,100
9815,note_on,95,0,2,,,,,,,,,,,,,,,1,,,,61,0
9816,note_on,97,0,9,,,,,,,,,,,,,,,8,,,,56,100
9908,note_on,573,0,7,,,,,,,,,,,,,,,6,,,,42,0
9908,note_on,380,0,6,,,,,,,,,,,,,,,5,,,,53,0
9911,note_on,95,0,9,,,,,,,,,,,,,,,8,,,,56,0
9912,note_on,961,0,10,,,,,,,,,,,,,,,10,,,,57,100
10007,note_on,95,0,10,,,,,,,,,,,,,,,10,,,,57,0
10008,note_on,100,0,6,,,,,,,,,,,,,,,5,,,,53,100
10103,note_on,95,0,6,,,,,,,,,,,,,,,5,,,,53,0
10104,note_on,196,0,7,,,,,,,,,,,,,,,6,,,,54,100
10200,note_on,385,0,2,,,,,,,,,,,,,,,1,,,,49,100
10295,note_on,95,0,2,,,,,,,,,,,,,,,1,,,,49,0
10296,note_on,289,0,10,,,,,,,,,,,,,,,10,,,,45,100
10391,note_on,95,0,10,,,,,,,,,,,,,,,10,,,,45,0
10392,note_on,288,0,7,,,,,,,,,,,,,,,6,,,,42,100
10484,note_on,92,0,7,,,,,,,,,,,,,,,6,,,,54,0
10488,note_on,961,0,4,,,,,,,,,,,,,,,3,,,,51,100
10582,note_on,98,0,7,,,,,,,,,,,,,,,6,,,,42,0
10592,note_on,10,0,7,,,,,,,,,,,,,,,6,,,,42,100
10708,note_on,10708,0,1,,,,,,,,,,,,,,,0,,,,60,100
10708,note_on,797,0,9,,,,,,,,,,,,,,,8,,,,56,100
11060,note_on,468,0,7,,,,,,,,,,,,,,,6,,,,42,0
11063,note_on,575,0,4,,,,,,,,,,,,,,,3,,,,51,0
11148,note_on,440,0,1,,,,,,,,,,,,,,,0,,,,60,0
11188,note_on,480,0,9,,,,,,,,,,,,,,,8,,,,56,0
11281,note_on,3962,0,5,,,,,,,,,,,,,,,4,,,,40,100
11377,note_on,96,0,5,,,,,,,,,,,,,,,4,,,,40,0
11379,note_on,319,0,7,,,,,,,,,,,,,,,6,,,,42,100
11475,note_on,96,0,7,,,,,,,,,,,,,,,6,,,,42,0
