tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,data,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
600,note_on,,97,0,1,,,,,,,,,,,,,,,3,,,72,127
612,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
615,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
627,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
630,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
642,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
645,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
657,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
660,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
672,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
675,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
687,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
690,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
702,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
705,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
717,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
720,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
732,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
735,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
747,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
750,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
762,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
765,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
770,set_tempo,,180,1,0,,,,,,,,1304347,,,,,,,,,,,
777,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
780,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
803,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,60,0
810,note_on,,7,0,1,,,,,,,,,,,,,,,3,,,48,127
815,set_tempo,,45,1,0,,,,,,,,1714285,,,,,,,,,,,
833,note_on,,23,0,1,,,,,,,,,,,,,,,3,,,48,0
900,set_tempo,,85,1,0,,,,,,,,1200000,,,,,,,,,,,
920,set_tempo,,20,1,0,,,,,,,,1132075,,,,,,,,,,,
975,note_on,,142,0,1,,,,,,,,,,,,,,,3,,,60,127
987,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
990,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
1002,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
1005,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1017,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1020,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
1032,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
1035,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1047,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1050,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
1062,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
1065,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
1077,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
1080,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
1092,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
1095,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
1107,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
1110,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
1122,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
1125,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,57,127
1137,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,57,0
1140,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
1152,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
1155,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,55,127
1167,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,55,0
1170,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,57,127
1182,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,57,0
1185,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
1197,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
1200,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
1212,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
1215,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
1227,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
1230,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1242,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1245,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
1257,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
1260,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
1272,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
1275,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
1287,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
1290,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1302,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1305,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
1317,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
1320,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1332,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1335,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
1347,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
1350,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
1362,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
1365,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1377,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1380,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
1392,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
1395,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
1407,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
1410,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
1422,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
1425,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
1437,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
1440,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
1452,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
1455,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
1467,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
1470,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
1482,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
1485,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
1497,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
1500,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
1512,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
1515,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
1527,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
1530,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
1542,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
1545,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
1557,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
1560,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
1572,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
1575,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
1587,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
1590,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
1602,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
1605,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
1617,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
1620,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
1632,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
1635,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
1647,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
1650,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
1662,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
1665,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
1677,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
1680,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
1692,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
1695,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
1707,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
1710,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
1722,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
1725,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
1737,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
1740,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
1752,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
1755,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
1767,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
1770,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
1782,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
1785,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
1797,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
1800,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
1812,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
1815,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
1827,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
1830,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
1842,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
1845,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
1857,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
1860,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
1872,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
1875,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
1887,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
1890,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
1902,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
1905,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
1917,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
1920,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,81,127
1932,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,81,0
1935,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
1947,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
1950,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
1962,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
1965,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
1977,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
1980,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
1992,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
1995,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2007,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2010,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2022,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2025,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2037,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2040,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,82,127
2052,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,82,0
2055,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,81,127
2067,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,81,0
2070,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
2082,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
2085,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2097,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2100,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
2112,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
2115,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2127,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2130,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2142,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2145,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2157,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2160,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,82,127
2172,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,82,0
2175,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,81,127
2187,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,81,0
2190,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
2202,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
2205,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2217,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2220,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
2232,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
2235,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2247,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2250,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2262,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2265,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2277,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2280,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2292,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2295,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2307,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2310,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2322,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2325,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2337,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2340,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2352,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2355,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2367,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2370,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
2382,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
2385,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
2397,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
2400,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2412,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2415,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2427,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2430,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2442,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2445,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2457,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2460,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2472,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2475,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2487,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2490,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
2502,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
2505,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
2517,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
2520,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,79,127
2532,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,79,0
2535,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,77,127
2547,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,77,0
2550,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2562,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2565,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2577,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2580,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,76,127
2592,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,76,0
2595,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,74,127
2607,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,74,0
2610,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2622,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2625,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
2637,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
2640,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,72,127
2652,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,72,0
2655,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,71,127
2667,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,71,0
2670,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
2682,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
2685,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
2697,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
2700,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,69,127
2712,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,69,0
2715,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,67,127
2727,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,67,0
2730,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
2742,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
2745,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
2757,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
2760,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
2772,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
2775,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
2787,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
2790,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
2802,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
2805,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
2817,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
2820,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
2832,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
2835,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
2847,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
2850,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
2862,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
2865,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
2877,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
2880,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,65,127
2892,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,65,0
2895,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,64,127
2907,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,64,0
2910,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,62,127
2922,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,62,0
2925,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
2937,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
2940,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
2952,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
2955,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,57,127
2967,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,57,0
2970,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,55,127
2982,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,55,0
2985,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,53,127
2997,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,53,0
3000,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,52,127
3012,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,52,0
3015,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,60,127
3027,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,60,0
3030,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,59,127
3042,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,59,0
3045,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,57,127
3057,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,57,0
3060,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,55,127
3072,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,55,0
3075,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,53,127
3087,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,53,0
3090,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,52,127
3102,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,52,0
3105,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,50,127
3117,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,50,0
3120,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,52,127
3132,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,52,0
3135,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,53,127
3147,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,53,0
3150,note_on,,3,0,1,,,,,,,,,,,,,,,3,,,55,127
3162,note_on,,12,0,1,,,,,,,,,,,,,,,3,,,55,0
