tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,control,value,channel,program,pitch,note,velocity
0,control_change,,,,,0,0,4,,,,10,55,3,,,,
0,control_change,,,,,0,0,4,,,,91,91,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,control_change,,,,,0,0,4,,,,93,28,3,,,,
0,control_change,,,,,0,0,4,,,,1,0,3,,,,
0,pitchwheel,,,,,0,0,4,,,,,,3,,0,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,set_tempo,,,,,0,1,0,,600000,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,,
0,control_change,,,,,0,0,4,,,,64,0,3,,,,
1920,note_on,,,,,1920,0,2,,,,,,1,,,58,30
1920,note_on,,,,,1920,0,1,,,,,,0,,,70,30
1920,set_tempo,,,,,1920,1,0,,731707,,,,,,,,
1920,marker,,,,,0,1,0,,,,,,,,,,
1920,note_on,,,,,0,0,2,,,,,,1,,,67,30
2280,note_on,,,,,360,0,2,,,,,,1,,,67,0
2280,note_on,,,,,0,0,2,,,,,,1,,,58,0
2280,note_on,,,,,360,0,1,,,,,,0,,,70,0
2400,note_on,,,,,120,0,1,,,,,,0,,,70,31
2400,note_on,,,,,120,0,2,,,,,,1,,,67,31
2400,note_on,,,,,0,0,2,,,,,,1,,,58,31
2760,note_on,,,,,360,0,1,,,,,,0,,,70,0
2760,note_on,,,,,360,0,2,,,,,,1,,,58,0
2760,note_on,,,,,0,0,2,,,,,,1,,,67,0
2820,set_tempo,,,,,900,1,0,,750000,,,,,,,,
2880,set_tempo,,,,,60,1,0,,731707,,,,,,,,
2880,note_on,,,,,0,0,2,,,,,,1,,,58,32
2880,note_on,,,,,120,0,2,,,,,,1,,,63,32
2880,note_on,,,,,120,0,1,,,,,,0,,,67,32
3000,note_on,,,,,3000,0,4,,,,,,3,,,46,30
3120,note_on,,,,,120,0,4,,,,,,3,,,46,0
3120,note_on,,,,,0,0,4,,,,,,3,,,48,31
3240,note_on,,,,,120,0,4,,,,,,3,,,48,0
3240,note_on,,,,,0,0,4,,,,,,3,,,50,31
3360,note_on,,,,,120,0,4,,,,,,3,,,50,0
3360,note_on,,,,,0,0,4,,,,,,3,,,51,31
3480,note_on,,,,,120,0,4,,,,,,3,,,51,0
3480,note_on,,,,,0,0,4,,,,,,3,,,53,32
3600,note_on,,,,,120,0,4,,,,,,3,,,53,0
3600,note_on,,,,,0,0,4,,,,,,3,,,55,32
3720,set_tempo,,,,,840,1,0,,769231,,,,,,,,
3720,note_on,,,,,120,0,4,,,,,,3,,,55,0
3720,note_on,,,,,0,0,4,,,,,,3,,,51,32
3840,note_on,,,,,960,0,2,,,,,,1,,,58,0
3840,note_on,,,,,0,0,2,,,,,,1,,,63,0
3840,note_on,,,,,0,0,2,,,,,,1,,,58,34
3840,note_on,,,,,0,0,2,,,,,,1,,,62,34
3840,note_on,,,,,0,0,1,,,,,,0,,,65,34
3840,note_on,,,,,960,0,1,,,,,,0,,,67,0
3840,set_tempo,,,,,120,1,0,,731707,,,,,,,,
3840,note_on,,,,,0,0,4,,,,,,3,,,56,33
3840,note_on,,,,,120,0,4,,,,,,3,,,51,0
3840,marker,,,,,0,1,0,,,,,,,,,,
4200,note_on,,,,,360,0,4,,,,,,3,,,56,0
4200,note_on,,,,,360,0,2,,,,,,1,,,62,0
4200,note_on,,,,,0,0,2,,,,,,1,,,58,0
4200,note_on,,,,,360,0,1,,,,,,0,,,65,0
4320,note_on,,,,,0,0,2,,,,,,1,,,62,35
4320,note_on,,,,,120,0,2,,,,,,1,,,58,35
4320,note_on,,,,,120,0,1,,,,,,0,,,65,35
4680,note_on,,,,,0,0,2,,,,,,1,,,58,0
4680,note_on,,,,,360,0,2,,,,,,1,,,62,0
4680,note_on,,,,,360,0,1,,,,,,0,,,65,0
4740,set_tempo,,,,,900,1,0,,750000,,,,,,,,
4800,note_on,,,,,600,0,4,,,,,,3,,,56,35
4800,note_on,,,,,0,0,2,,,,,,1,,,58,36
4800,note_on,,,,,120,0,1,,,,,,0,,,70,36
4800,note_on,,,,,120,0,2,,,,,,1,,,68,36
4800,note_on,,,,,0,0,2,,,,,,1,,,65,36
4800,set_tempo,,,,,60,1,0,,731707,,,,,,,,
4920,note_on,,,,,0,0,4,,,,,,3,,,55,36
4920,note_on,,,,,120,0,4,,,,,,3,,,56,0
5040,note_on,,,,,0,0,4,,,,,,3,,,53,36
5040,note_on,,,,,120,0,4,,,,,,3,,,55,0
5160,note_on,,,,,0,0,4,,,,,,3,,,51,36
5160,note_on,,,,,120,0,4,,,,,,3,,,53,0
5280,note_on,,,,,0,0,4,,,,,,3,,,50,37
5280,note_on,,,,,120,0,4,,,,,,3,,,51,0
5400,note_on,,,,,0,0,4,,,,,,3,,,48,37
5400,note_on,,,,,120,0,4,,,,,,3,,,50,0
5520,note_on,,,,,120,0,4,,,,,,3,,,48,0
5520,note_on,,,,,0,0,4,,,,,,3,,,46,37
5640,note_on,,,,,120,0,4,,,,,,3,,,46,0
5640,note_on,,,,,0,0,4,,,,,,3,,,50,38
5640,set_tempo,,,,,840,1,0,,769231,,,,,,,,
5760,note_on,,,,,0,0,1,,,,,,0,,,70,39
5760,note_on,,,,,0,0,2,,,,,,1,,,68,0
5760,note_on,,,,,0,0,2,,,,,,1,,,67,39
5760,note_on,,,,,960,0,1,,,,,,0,,,70,0
5760,note_on,,,,,0,0,2,,,,,,1,,,58,39
5760,set_tempo,,,,,120,1,0,,731707,,,,,,,,
5760,note_on,,,,,0,0,2,,,,,,1,,,65,0
5760,marker,,,,,0,1,0,,,,,,,,,,
5760,note_on,,,,,120,0,4,,,,,,3,,,50,0
5760,note_on,,,,,0,0,4,,,,,,3,,,51,38
5760,note_on,,,,,960,0,2,,,,,,1,,,58,0
6120,note_on,,,,,360,0,2,,,,,,1,,,67,0
6120,note_on,,,,,0,0,2,,,,,,1,,,58,0
6120,note_on,,,,,360,0,4,,,,,,3,,,51,0
6120,note_on,,,,,360,0,1,,,,,,0,,,70,0
6240,note_on,,,,,120,0,2,,,,,,1,,,67,40
6240,note_on,,,,,0,0,2,,,,,,1,,,58,40
6240,note_on,,,,,120,0,1,,,,,,0,,,70,40
6600,note_on,,,,,360,0,2,,,,,,1,,,58,0
6600,note_on,,,,,0,0,2,,,,,,1,,,67,0
6600,note_on,,,,,360,0,1,,,,,,0,,,70,0
6660,set_tempo,,,,,900,1,0,,750000,,,,,,,,
6720,note_on,,,,,120,0,1,,,,,,0,,,67,41
6720,note_on,,,,,0,0,2,,,,,,1,,,63,41
6720,note_on,,,,,120,0,2,,,,,,1,,,58,41
6720,set_tempo,,,,,60,1,0,,731707,,,,,,,,
6840,note_on,,,,,720,0,4,,,,,,3,,,46,41
6960,note_on,,,,,0,0,4,,,,,,3,,,48,41
6960,note_on,,,,,120,0,4,,,,,,3,,,46,0
7080,note_on,,,,,0,0,4,,,,,,3,,,50,42
7080,note_on,,,,,120,0,4,,,,,,3,,,48,0
7200,note_on,,,,,120,0,4,,,,,,3,,,50,0
7200,note_on,,,,,0,0,4,,,,,,3,,,51,42
7320,note_on,,,,,120,0,4,,,,,,3,,,51,0
7320,note_on,,,,,0,0,4,,,,,,3,,,53,42
7440,note_on,,,,,120,0,4,,,,,,3,,,53,0
7440,note_on,,,,,0,0,4,,,,,,3,,,55,43
7560,note_on,,,,,0,0,4,,,,,,3,,,51,43
7560,note_on,,,,,120,0,4,,,,,,3,,,55,0
7560,set_tempo,,,,,840,1,0,,769231,,,,,,,,
7680,note_on,,,,,960,0,2,,,,,,1,,,63,0
7680,note_on,,,,,120,0,4,,,,,,3,,,51,0
7680,marker,,,,,0,1,0,,,,,,,,,,
7680,set_tempo,,,,,120,1,0,,769231,,,,,,,,
7680,note_on,,,,,0,0,4,,,,,,3,,,56,45
7680,note_on,,,,,0,0,1,,,,,,0,,,65,43
7680,note_on,,,,,960,0,1,,,,,,0,,,67,0
7680,note_on,,,,,0,0,2,,,,,,1,,,58,0
7680,note_on,,,,,0,0,2,,,,,,1,,,58,43
7680,note_on,,,,,0,0,2,,,,,,1,,,62,43
7758,note_on,,,,,78,0,4,,,,,,3,,,56,0
7780,set_tempo,,,,,100,1,0,,750000,,,,,,,,
7800,note_on,,,,,42,0,4,,,,,,3,,,53,41
7860,note_on,,,,,0,0,2,,,,,,1,,,58,0
7860,note_on,,,,,180,0,2,,,,,,1,,,62,0
7860,note_on,,,,,180,0,1,,,,,,0,,,65,0
7878,note_on,,,,,78,0,4,,,,,,3,,,53,0
7920,note_on,,,,,60,0,1,,,,,,0,,,70,48
7920,note_on,,,,,42,0,4,,,,,,3,,,50,40
7998,note_on,,,,,78,0,4,,,,,,3,,,50,0
8040,note_on,,,,,42,0,4,,,,,,3,,,46,39
8118,note_on,,,,,78,0,4,,,,,,3,,,46,0
8160,note_on,,,,,42,0,4,,,,,,3,,,44,37
8238,note_on,,,,,78,0,4,,,,,,3,,,44,0
8280,set_tempo,,,,,500,1,0,,769231,,,,,,,,
8280,note_on,,,,,42,0,4,,,,,,3,,,41,36
8358,note_on,,,,,78,0,4,,,,,,3,,,41,0
8400,note_on,,,,,0,0,1,,,,,,0,,,70,38
8400,note_on,,,,,480,0,1,,,,,,0,,,70,0
8400,note_on,,,,,540,0,2,,,,,,1,,,56,38
8400,note_on,,,,,42,0,4,,,,,,3,,,38,35
8460,set_tempo,,,,,180,1,0,,789474,,,,,,,,
8478,note_on,,,,,78,0,4,,,,,,3,,,38,0
8520,note_on,,,,,42,0,4,,,,,,3,,,34,34
8580,set_tempo,,,,,120,1,0,,810811,,,,,,,,
8598,note_on,,,,,78,0,4,,,,,,3,,,34,0
8640,note_on,,,,,42,0,4,,,,,,3,,,39,32
8640,note_on,,,,,0,0,2,,,,,,1,,,55,31
8640,note_on,,,,,240,0,1,,,,,,0,,,70,0
8640,note_on,,,,,240,0,2,,,,,,1,,,56,0
8640,note_on,,,,,0,0,1,,,,,,0,,,63,31
9120,note_on,,,,,480,0,4,,,,,,3,,,39,0
9120,note_on,,,,,0,0,4,,,,,,3,,,51,27
9120,note_on,,,,,480,0,1,,,,,,0,,,63,0
9120,note_on,,,,,480,0,2,,,,,,1,,,55,0
9360,note_on,,,,,240,0,4,,,,,,3,,,51,0
9360,set_tempo,,,,,780,1,0,,789474,,,,,,,,
9600,note_on,,,,,0,0,2,,,,,,1,,,67,30
9600,note_on,,,,,0,0,1,,,,,,0,,,70,30
9600,control_change,,,,,480,0,1,,,,64,0,0,,,,
9600,control_change,,,,,9600,0,3,,,,64,0,2,,,,
9600,note_on,,,,,0,0,2,,,,,,1,,,58,30
9600,control_change,,,,,240,0,4,,,,64,0,3,,,,
9600,control_change,,,,,480,0,2,,,,64,0,1,,,,
9600,set_tempo,,,,,240,1,0,,731707,,,,,,,,
9600,marker,,,,,0,1,0,,,,,,,,,,
9960,note_on,,,,,360,0,2,,,,,,1,,,58,0
9960,note_on,,,,,0,0,2,,,,,,1,,,67,0
9960,note_on,,,,,360,0,1,,,,,,0,,,70,0
10080,note_on,,,,,0,0,2,,,,,,1,,,67,31
10080,note_on,,,,,120,0,1,,,,,,0,,,70,31
10080,note_on,,,,,120,0,2,,,,,,1,,,58,31
10440,note_on,,,,,360,0,2,,,,,,1,,,67,0
10440,note_on,,,,,0,0,2,,,,,,1,,,58,0
10440,note_on,,,,,360,0,1,,,,,,0,,,70,0
10500,set_tempo,,,,,900,1,0,,750000,,,,,,,,
10560,set_tempo,,,,,60,1,0,,731707,,,,,,,,
10560,note_on,,,,,120,0,2,,,,,,1,,,58,32
10560,note_on,,,,,0,0,2,,,,,,1,,,63,32
10560,note_on,,,,,120,0,1,,,,,,0,,,67,32
10680,note_on,,,,,1080,0,4,,,,,,3,,,46,30
10800,note_on,,,,,120,0,4,,,,,,3,,,46,0
10800,note_on,,,,,0,0,4,,,,,,3,,,48,31
10920,note_on,,,,,120,0,4,,,,,,3,,,48,0
10920,note_on,,,,,0,0,4,,,,,,3,,,50,31
11040,note_on,,,,,0,0,4,,,,,,3,,,51,31
11040,note_on,,,,,120,0,4,,,,,,3,,,50,0
11160,note_on,,,,,120,0,4,,,,,,3,,,51,0
11160,note_on,,,,,0,0,4,,,,,,3,,,53,32
11280,note_on,,,,,120,0,4,,,,,,3,,,53,0
11280,note_on,,,,,0,0,4,,,,,,3,,,55,32
11400,note_on,,,,,0,0,4,,,,,,3,,,51,32
11400,note_on,,,,,120,0,4,,,,,,3,,,55,0
11400,set_tempo,,,,,840,1,0,,769231,,,,,,,,
11520,set_tempo,,,,,120,1,0,,731707,,,,,,,,
11520,note_on,,,,,960,0,2,,,,,,1,,,63,0
11520,note_on,,,,,0,0,2,,,,,,1,,,58,34
11520,note_on,,,,,0,0,2,,,,,,1,,,58,0
11520,note_on,,,,,0,0,2,,,,,,1,,,62,34
11520,note_on,,,,,0,0,1,,,,,,0,,,65,34
11520,note_on,,,,,960,0,1,,,,,,0,,,67,0
11520,note_on,,,,,0,0,4,,,,,,3,,,56,33
11520,note_on,,,,,120,0,4,,,,,,3,,,51,0
11880,note_on,,,,,360,0,2,,,,,,1,,,58,0
11880,note_on,,,,,0,0,2,,,,,,1,,,62,0
11880,note_on,,,,,360,0,4,,,,,,3,,,56,0
11880,note_on,,,,,360,0,1,,,,,,0,,,65,0
12000,note_on,,,,,0,0,2,,,,,,1,,,58,35
12000,note_on,,,,,120,0,2,,,,,,1,,,62,35
12000,note_on,,,,,120,0,1,,,,,,0,,,65,35
12360,note_on,,,,,0,0,2,,,,,,1,,,62,0
12360,note_on,,,,,360,0,2,,,,,,1,,,58,0
12360,note_on,,,,,360,0,1,,,,,,0,,,65,0
12420,set_tempo,,,,,900,1,0,,750000,,,,,,,,
12480,note_on,,,,,0,0,2,,,,,,1,,,65,36
12480,note_on,,,,,0,0,2,,,,,,1,,,68,36
12480,note_on,,,,,120,0,2,,,,,,1,,,58,36
12480,note_on,,,,,120,0,1,,,,,,0,,,70,36
12480,note_on,,,,,600,0,4,,,,,,3,,,56,35
12480,set_tempo,,,,,60,1,0,,731707,,,,,,,,
12600,note_on,,,,,0,0,4,,,,,,3,,,55,36
12600,note_on,,,,,120,0,4,,,,,,3,,,56,0
12720,note_on,,,,,0,0,4,,,,,,3,,,53,36
12720,note_on,,,,,120,0,4,,,,,,3,,,55,0
12840,note_on,,,,,0,0,4,,,,,,3,,,51,36
12840,note_on,,,,,120,0,4,,,,,,3,,,53,0
12960,note_on,,,,,120,0,4,,,,,,3,,,51,0
12960,note_on,,,,,0,0,4,,,,,,3,,,50,37
13080,note_on,,,,,120,0,4,,,,,,3,,,50,0
13080,note_on,,,,,0,0,4,,,,,,3,,,48,37
13200,note_on,,,,,0,0,4,,,,,,3,,,46,37
13200,note_on,,,,,120,0,4,,,,,,3,,,48,0
13320,set_tempo,,,,,840,1,0,,769231,,,,,,,,
13320,note_on,,,,,120,0,4,,,,,,3,,,46,0
13320,note_on,,,,,0,0,4,,,,,,3,,,50,38
13440,note_on,,,,,0,0,1,,,,,,0,,,70,39
13440,note_on,,,,,0,0,4,,,,,,3,,,51,38
13440,note_on,,,,,120,0,4,,,,,,3,,,50,0
13440,note_on,,,,,960,0,1,,,,,,0,,,70,0
13440,note_on,,,,,0,0,2,,,,,,1,,,67,39
13440,note_on,,,,,0,0,2,,,,,,1,,,58,0
13440,note_on,,,,,0,0,2,,,,,,1,,,58,39
13440,note_on,,,,,0,0,2,,,,,,1,,,65,0
13440,note_on,,,,,960,0,2,,,,,,1,,,68,0
13440,set_tempo,,,,,120,1,0,,731707,,,,,,,,
13800,note_on,,,,,0,0,2,,,,,,1,,,67,0
13800,note_on,,,,,360,0,2,,,,,,1,,,58,0
13800,note_on,,,,,360,0,4,,,,,,3,,,51,0
13800,note_on,,,,,360,0,1,,,,,,0,,,70,0
13920,note_on,,,,,0,0,2,,,,,,1,,,67,40
13920,note_on,,,,,120,0,2,,,,,,1,,,58,40
13920,note_on,,,,,120,0,1,,,,,,0,,,70,40
14280,note_on,,,,,0,0,2,,,,,,1,,,58,0
14280,note_on,,,,,360,0,2,,,,,,1,,,67,0
14280,note_on,,,,,360,0,1,,,,,,0,,,70,0
14340,set_tempo,,,,,900,1,0,,750000,,,,,,,,
14400,note_on,,,,,120,0,2,,,,,,1,,,63,41
14400,set_tempo,,,,,60,1,0,,731707,,,,,,,,
14400,note_on,,,,,120,0,1,,,,,,0,,,67,41
14400,note_on,,,,,0,0,2,,,,,,1,,,58,41
14520,note_on,,,,,720,0,4,,,,,,3,,,46,41
14640,note_on,,,,,0,0,4,,,,,,3,,,48,41
14640,note_on,,,,,120,0,4,,,,,,3,,,46,0
14760,note_on,,,,,120,0,4,,,,,,3,,,48,0
14760,note_on,,,,,0,0,4,,,,,,3,,,50,42
14880,note_on,,,,,120,0,4,,,,,,3,,,50,0
14880,note_on,,,,,0,0,4,,,,,,3,,,51,42
15000,note_on,,,,,0,0,4,,,,,,3,,,53,42
15000,note_on,,,,,120,0,4,,,,,,3,,,51,0
15120,note_on,,,,,120,0,4,,,,,,3,,,53,0
15120,note_on,,,,,0,0,4,,,,,,3,,,55,43
15240,set_tempo,,,,,840,1,0,,769231,,,,,,,,
15240,note_on,,,,,120,0,4,,,,,,3,,,55,0
15240,note_on,,,,,0,0,4,,,,,,3,,,51,43
15360,note_on,,,,,0,0,2,,,,,,1,,,63,0
15360,note_on,,,,,960,0,1,,,,,,0,,,67,0
15360,note_on,,,,,0,0,1,,,,,,0,,,65,43
15360,note_on,,,,,0,0,2,,,,,,1,,,62,43
15360,note_on,,,,,0,0,2,,,,,,1,,,58,43
15360,note_on,,,,,120,0,4,,,,,,3,,,51,0
15360,note_on,,,,,0,0,4,,,,,,3,,,56,44
15360,note_on,,,,,960,0,2,,,,,,1,,,58,0
15438,note_on,,,,,78,0,4,,,,,,3,,,56,0
15460,set_tempo,,,,,220,1,0,,750000,,,,,,,,
15480,note_on,,,,,42,0,4,,,,,,3,,,53,41
15540,note_on,,,,,0,0,2,,,,,,1,,,62,0
15540,note_on,,,,,180,0,2,,,,,,1,,,58,0
15540,note_on,,,,,180,0,1,,,,,,0,,,65,0
15558,note_on,,,,,78,0,4,,,,,,3,,,53,0
15600,note_on,,,,,42,0,4,,,,,,3,,,50,40
15600,note_on,,,,,60,0,1,,,,,,0,,,70,48
15678,note_on,,,,,78,0,4,,,,,,3,,,50,0
15720,note_on,,,,,42,0,4,,,,,,3,,,46,39
15798,note_on,,,,,78,0,4,,,,,,3,,,46,0
15840,note_on,,,,,42,0,4,,,,,,3,,,44,37
15918,note_on,,,,,78,0,4,,,,,,3,,,44,0
15960,note_on,,,,,42,0,4,,,,,,3,,,41,36
15960,set_tempo,,,,,500,1,0,,769231,,,,,,,,
16038,note_on,,,,,78,0,4,,,,,,3,,,41,0
16080,note_on,,,,,0,0,1,,,,,,0,,,70,38
16080,note_on,,,,,480,0,1,,,,,,0,,,70,0
16080,note_on,,,,,540,0,2,,,,,,1,,,56,38
16080,note_on,,,,,42,0,4,,,,,,3,,,38,35
16140,set_tempo,,,,,180,1,0,,789474,,,,,,,,
16158,note_on,,,,,78,0,4,,,,,,3,,,38,0
16200,note_on,,,,,42,0,4,,,,,,3,,,34,34
16260,set_tempo,,,,,120,1,0,,810811,,,,,,,,
16278,note_on,,,,,78,0,4,,,,,,3,,,34,0
16320,note_on,,,,,0,0,2,,,,,,1,,,55,31
16320,note_on,,,,,0,0,1,,,,,,0,,,63,31
16320,note_on,,,,,240,0,1,,,,,,0,,,70,0
16320,note_on,,,,,240,0,2,,,,,,1,,,56,0
16320,note_on,,,,,42,0,4,,,,,,3,,,39,32
16800,note_on,,,,,480,0,2,,,,,,1,,,55,0
16800,note_on,,,,,480,0,1,,,,,,0,,,63,0
16800,note_on,,,,,480,0,4,,,,,,3,,,39,0
16800,note_on,,,,,0,0,4,,,,,,3,,,51,27
17040,set_tempo,,,,,780,1,0,,1071429,,,,,,,,
17040,note_on,,,,,240,0,4,,,,,,3,,,51,0
17280,note_on,,,,,0,0,2,,,,,,1,,,65,31
17280,control_change,,,,,240,0,4,,,,64,0,3,,,,
17280,control_change,,,,,7680,0,3,,,,64,0,2,,,,
17280,control_change,,,,,480,0,2,,,,64,0,1,,,,
17280,set_tempo,,,,,240,1,0,,731707,,,,,,,,
17280,control_change,,,,,480,0,1,,,,64,0,0,,,,
17280,note_on,,,,,0,0,1,,,,,,0,,,68,31
17640,note_on,,,,,360,0,2,,,,,,1,,,65,0
17640,note_on,,,,,360,0,1,,,,,,0,,,68,0
17760,note_on,,,,,120,0,1,,,,,,0,,,68,33
17760,note_on,,,,,120,0,2,,,,,,1,,,65,33
18120,note_on,,,,,360,0,1,,,,,,0,,,68,0
18120,note_on,,,,,360,0,2,,,,,,1,,,65,0
18180,set_tempo,,,,,900,1,0,,750000,,,,,,,,
18240,note_on,,,,,120,0,1,,,,,,0,,,74,35
18240,note_on,,,,,0,0,2,,,,,,1,,,65,35
18240,note_on,,,,,120,0,2,,,,,,1,,,68,35
18240,set_tempo,,,,,60,1,0,,731707,,,,,,,,
18360,note_on,,,,,1080,0,4,,,,,,3,,,34,31
18438,note_on,,,,,78,0,4,,,,,,3,,,34,0
18480,note_on,,,,,42,0,4,,,,,,3,,,46,32
18558,note_on,,,,,78,0,4,,,,,,3,,,46,0
18600,note_on,,,,,42,0,4,,,,,,3,,,48,32
18678,note_on,,,,,78,0,4,,,,,,3,,,48,0
18720,note_on,,,,,42,0,4,,,,,,3,,,50,33
18798,note_on,,,,,78,0,4,,,,,,3,,,50,0
18840,note_on,,,,,42,0,4,,,,,,3,,,51,33
18918,note_on,,,,,78,0,4,,,,,,3,,,51,0
18960,note_on,,,,,42,0,4,,,,,,3,,,53,34
19038,note_on,,,,,78,0,4,,,,,,3,,,53,0
19080,note_on,,,,,42,0,4,,,,,,3,,,55,34
19080,set_tempo,,,,,840,1,0,,769231,,,,,,,,
19158,note_on,,,,,78,0,4,,,,,,3,,,55,0
19200,note_on,,,,,0,0,2,,,,,,1,,,65,39
19200,note_on,,,,,0,0,1,,,,,,0,,,74,39
19200,note_on,,,,,42,0,4,,,,,,3,,,57,38
19200,note_on,,,,,960,0,1,,,,,,0,,,74,0
19200,note_on,,,,,0,0,2,,,,,,1,,,68,0
19200,note_on,,,,,960,0,2,,,,,,1,,,65,0
19320,set_tempo,,,,,240,1,0,,731707,,,,,,,,
19440,note_on,,,,,0,0,4,,,,,,3,,,58,50
19440,note_on,,,,,240,0,4,,,,,,3,,,57,0
19560,note_on,,,,,360,0,1,,,,,,0,,,74,0
19560,note_on,,,,,360,0,2,,,,,,1,,,65,0
19680,note_on,,,,,120,0,1,,,,,,0,,,74,42
19680,note_on,,,,,120,0,2,,,,,,1,,,65,42
20040,note_on,,,,,360,0,2,,,,,,1,,,65,0
20040,note_on,,,,,360,0,1,,,,,,0,,,74,0
20100,set_tempo,,,,,780,1,0,,750000,,,,,,,,
20160,note_on,,,,,720,0,4,,,,,,3,,,58,0
20160,set_tempo,,,,,60,1,0,,731707,,,,,,,,
20160,note_on,,,,,120,0,2,,,,,,1,,,74,44
20160,note_on,,,,,0,0,2,,,,,,1,,,68,44
20160,note_on,,,,,0,0,2,,,,,,1,,,65,44
20160,note_on,,,,,120,0,1,,,,,,0,,,77,44
20280,note_on,,,,,120,0,4,,,,,,3,,,34,40
20358,note_on,,,,,78,0,4,,,,,,3,,,34,0
20400,note_on,,,,,42,0,4,,,,,,3,,,46,40
20478,note_on,,,,,78,0,4,,,,,,3,,,46,0
20520,note_on,,,,,42,0,4,,,,,,3,,,48,41
20598,note_on,,,,,78,0,4,,,,,,3,,,48,0
20640,note_on,,,,,42,0,4,,,,,,3,,,50,41
20718,note_on,,,,,78,0,4,,,,,,3,,,50,0
20760,note_on,,,,,42,0,4,,,,,,3,,,51,42
20838,note_on,,,,,78,0,4,,,,,,3,,,51,0
20880,note_on,,,,,42,0,4,,,,,,3,,,53,42
20958,note_on,,,,,78,0,4,,,,,,3,,,53,0
21000,set_tempo,,,,,840,1,0,,769231,,,,,,,,
21000,note_on,,,,,42,0,4,,,,,,3,,,55,43
21078,note_on,,,,,78,0,4,,,,,,3,,,55,0
21120,note_on,,,,,42,0,4,,,,,,3,,,57,46
21120,note_on,,,,,0,0,2,,,,,,1,,,74,0
21120,note_on,,,,,0,0,2,,,,,,1,,,65,48
21120,note_on,,,,,0,0,2,,,,,,1,,,74,48
21120,note_on,,,,,0,0,2,,,,,,1,,,68,0
21120,note_on,,,,,0,0,1,,,,,,0,,,77,48
21120,note_on,,,,,960,0,1,,,,,,0,,,77,0
21120,note_on,,,,,960,0,2,,,,,,1,,,65,0
21240,set_tempo,,,,,240,1,0,,731707,,,,,,,,
21360,note_on,,,,,240,0,4,,,,,,3,,,57,0
21360,note_on,,,,,0,0,4,,,,,,3,,,58,62
21480,note_on,,,,,360,0,1,,,,,,0,,,77,0
21480,note_on,,,,,360,0,2,,,,,,1,,,65,0
21480,note_on,,,,,0,0,2,,,,,,1,,,74,0
21600,note_on,,,,,120,0,1,,,,,,0,,,77,55
21600,note_on,,,,,120,0,2,,,,,,1,,,65,55
