tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,note,velocity
540,note_on,0,0,1,,,,,,,,,,0,71,62
540,note_on,30,0,1,,,,,,,,,,0,76,0
540,note_on,0,0,1,,,,,,,,,,0,74,62
570,note_on,30,0,1,,,,,,,,,,0,74,0
570,note_on,0,0,1,,,,,,,,,,0,72,62
570,note_on,0,0,1,,,,,,,,,,0,69,62
570,note_on,0,0,1,,,,,,,,,,0,71,0
600,note_on,0,0,2,,,,,,,,,,1,55,0
600,note_on,0,0,1,,,,,,,,,,0,69,0
600,note_on,0,0,1,,,,,,,,,,0,74,63
600,note_on,120,0,2,,,,,,,,,,1,67,0
600,note_on,30,0,1,,,,,,,,,,0,72,0
600,note_on,0,0,1,,,,,,,,,,0,71,63
660,note_on,0,0,1,,,,,,,,,,0,67,63
660,note_on,60,0,1,,,,,,,,,,0,74,0
660,note_on,60,0,2,,,,,,,,,,1,60,62
660,note_on,0,0,2,,,,,,,,,,1,64,62
660,note_on,0,0,1,,,,,,,,,,0,71,0
660,note_on,0,0,1,,,,,,,,,,0,72,63
690,note_on,0,0,1,,,,,,,,,,0,72,64
690,note_on,30,0,1,,,,,,,,,,0,72,0
690,note_on,0,0,1,,,,,,,,,,0,67,0
690,note_on,0,0,2,,,,,,,,,,1,64,64
690,note_on,0,0,2,,,,,,,,,,1,60,0
690,note_on,30,0,2,,,,,,,,,,1,64,0
690,note_on,0,0,2,,,,,,,,,,1,60,64
690,note_on,0,0,1,,,,,,,,,,0,67,64
720,note_on,0,0,1,,,,,,,,,,0,72,64
720,note_on,0,0,1,,,,,,,,,,0,67,64
720,note_on,0,0,1,,,,,,,,,,0,67,0
720,note_on,30,0,1,,,,,,,,,,0,72,0
720,note_on,0,0,2,,,,,,,,,,1,60,67
720,note_on,0,0,2,,,,,,,,,,1,64,67
720,note_on,0,0,2,,,,,,,,,,1,60,0
720,note_on,30,0,2,,,,,,,,,,1,64,0
780,note_on,0,0,2,,,,,,,,,,1,59,71
780,note_on,0,0,2,,,,,,,,,,1,60,0
780,note_on,60,0,2,,,,,,,,,,1,64,0
780,note_on,0,0,2,,,,,,,,,,1,62,71
780,note_on,60,0,1,,,,,,,,,,0,72,0
780,note_on,0,0,1,,,,,,,,,,0,74,65
780,note_on,0,0,1,,,,,,,,,,0,67,0
780,note_on,0,0,1,,,,,,,,,,0,67,65
840,note_on,0,0,2,,,,,,,,,,1,59,73
840,note_on,0,0,1,,,,,,,,,,0,74,65
840,note_on,0,0,1,,,,,,,,,,0,67,65
840,note_on,0,0,1,,,,,,,,,,0,67,0
840,note_on,0,0,2,,,,,,,,,,1,62,73
840,note_on,60,0,1,,,,,,,,,,0,74,0
840,note_on,60,0,2,,,,,,,,,,1,62,0
840,note_on,0,0,2,,,,,,,,,,1,59,0
900,note_on,0,0,2,,,,,,,,,,1,59,0
900,note_on,60,0,2,,,,,,,,,,1,62,0
900,note_on,60,0,1,,,,,,,,,,0,74,0
900,note_on,0,0,1,,,,,,,,,,0,67,0
900,note_on,0,0,1,,,,,,,,,,0,67,66
900,note_on,0,0,1,,,,,,,,,,0,76,66
900,note_on,0,0,2,,,,,,,,,,1,57,73
900,note_on,0,0,2,,,,,,,,,,1,60,73
960,note_on,0,0,1,,,,,,,,,,0,67,0
960,note_on,60,0,2,,,,,,,,,,1,57,0
960,note_on,0,0,2,,,,,,,,,,1,60,0
960,note_on,60,0,1,,,,,,,,,,0,76,0
960,note_on,0,0,1,,,,,,,,,,0,67,66
960,note_on,0,0,1,,,,,,,,,,0,76,66
960,note_on,0,0,2,,,,,,,,,,1,60,73
960,note_on,0,0,2,,,,,,,,,,1,57,73
1020,note_on,0,0,2,,,,,,,,,,1,57,73
1020,note_on,60,0,2,,,,,,,,,,1,60,0
1020,note_on,0,0,2,,,,,,,,,,1,60,73
1020,note_on,0,0,1,,,,,,,,,,0,67,0
1020,note_on,0,0,1,,,,,,,,,,0,69,66
1020,note_on,0,0,2,,,,,,,,,,1,57,0
1020,note_on,60,0,1,,,,,,,,,,0,76,0
1020,note_on,0,0,1,,,,,,,,,,0,78,66
1080,note_on,0,0,2,,,,,,,,,,1,57,0
1080,note_on,60,0,2,,,,,,,,,,1,60,0
1080,note_on,0,0,2,,,,,,,,,,1,55,73
1080,note_on,0,0,1,,,,,,,,,,0,79,66
1080,note_on,0,0,1,,,,,,,,,,0,69,0
1080,note_on,0,0,1,,,,,,,,,,0,71,66
1080,note_on,0,0,2,,,,,,,,,,1,62,73
1080,note_on,60,0,1,,,,,,,,,,0,78,0
1140,note_on,0,0,1,,,,,,,,,,0,71,0
1140,note_on,60,0,1,,,,,,,,,,0,79,0
1140,note_on,0,0,2,,,,,,,,,,1,60,73
1140,note_on,0,0,2,,,,,,,,,,1,64,73
1140,note_on,0,0,1,,,,,,,,,,0,72,66
1140,note_on,0,0,1,,,,,,,,,,0,67,66
1140,note_on,60,0,2,,,,,,,,,,1,62,0
1140,note_on,0,0,2,,,,,,,,,,1,55,0
1170,note_on,0,0,1,,,,,,,,,,0,72,65
1170,note_on,0,0,1,,,,,,,,,,0,67,0
1170,note_on,0,0,1,,,,,,,,,,0,67,65
1170,note_on,30,0,2,,,,,,,,,,1,64,0
1170,note_on,0,0,2,,,,,,,,,,1,60,0
1170,note_on,0,0,2,,,,,,,,,,1,60,73
1170,note_on,0,0,2,,,,,,,,,,1,64,73
1170,note_on,30,0,1,,,,,,,,,,0,72,0
1200,note_on,30,0,2,,,,,,,,,,1,64,0
1200,note_on,0,0,2,,,,,,,,,,1,60,0
1200,note_on,0,0,2,,,,,,,,,,1,60,73
1200,note_on,0,0,2,,,,,,,,,,1,64,73
1200,note_on,0,0,1,,,,,,,,,,0,72,65
1200,note_on,0,0,1,,,,,,,,,,0,67,65
1200,note_on,0,0,1,,,,,,,,,,0,67,0
1200,note_on,30,0,1,,,,,,,,,,0,72,0
1260,note_on,0,0,2,,,,,,,,,,1,59,71
1260,note_on,0,0,2,,,,,,,,,,1,62,71
1260,note_on,0,0,1,,,,,,,,,,0,67,65
1260,note_on,0,0,1,,,,,,,,,,0,67,0
1260,note_on,60,0,1,,,,,,,,,,0,72,0
1260,note_on,60,0,2,,,,,,,,,,1,64,0
1260,note_on,0,0,2,,,,,,,,,,1,60,0
1260,note_on,0,0,1,,,,,,,,,,0,74,65
1320,note_on,0,0,2,,,,,,,,,,1,62,71
1320,note_on,0,0,2,,,,,,,,,,1,59,71
1320,note_on,0,0,2,,,,,,,,,,1,59,0
1320,note_on,60,0,2,,,,,,,,,,1,62,0
1320,note_on,0,0,1,,,,,,,,,,0,74,65
1320,note_on,0,0,1,,,,,,,,,,0,67,65
1320,note_on,0,0,1,,,,,,,,,,0,67,0
1320,note_on,60,0,1,,,,,,,,,,0,74,0
1380,note_on,0,0,1,,,,,,,,,,0,67,0
1380,note_on,0,0,2,,,,,,,,,,1,60,70
1380,note_on,0,0,2,,,,,,,,,,1,59,0
1380,note_on,60,0,2,,,,,,,,,,1,62,0
1380,note_on,0,0,2,,,,,,,,,,1,64,70
1380,note_on,60,0,1,,,,,,,,,,0,74,0
1380,note_on,0,0,1,,,,,,,,,,0,76,65
1380,note_on,0,0,1,,,,,,,,,,0,67,65
1440,note_on,0,0,2,,,,,,,,,,1,60,0
1440,note_on,0,0,1,,,,,,,,,,0,67,0
1440,note_on,0,0,1,,,,,,,,,,0,77,65
1440,note_on,60,0,1,,,,,,,,,,0,76,0
1440,note_on,0,0,1,,,,,,,,,,0,74,65
1440,note_on,60,0,2,,,,,,,,,,1,64,0
1440,note_on,0,0,2,,,,,,,,,,1,55,69
1440,note_on,0,0,2,,,,,,,,,,1,67,69
1470,note_on,0,0,1,,,,,,,,,,0,76,65
1470,note_on,30,0,1,,,,,,,,,,0,77,0
1470,note_on,0,0,1,,,,,,,,,,0,74,0
1470,note_on,0,0,1,,,,,,,,,,0,72,65
1500,note_on,0,0,1,,,,,,,,,,0,74,65
1500,note_on,0,0,1,,,,,,,,,,0,71,65
1500,note_on,30,0,1,,,,,,,,,,0,76,0
1500,note_on,0,0,1,,,,,,,,,,0,72,0
1530,note_on,0,0,1,,,,,,,,,,0,71,0
1530,note_on,30,0,1,,,,,,,,,,0,74,0
1530,note_on,0,0,1,,,,,,,,,,0,69,65
1530,note_on,0,0,1,,,,,,,,,,0,72,65
1560,note_on,0,0,1,,,,,,,,,,0,71,65
1560,note_on,0,0,1,,,,,,,,,,0,69,0
1560,note_on,0,0,1,,,,,,,,,,0,74,65
1560,note_on,30,0,1,,,,,,,,,,0,72,0
1560,note_on,0,0,2,,,,,,,,,,1,55,0
1560,note_on,120,0,2,,,,,,,,,,1,67,0
1620,note_on,0,0,2,,,,,,,,,,1,64,70
1620,note_on,60,0,1,,,,,,,,,,0,74,0
1620,note_on,0,0,1,,,,,,,,,,0,71,0
1620,note_on,0,0,1,,,,,,,,,,0,67,64
1620,note_on,0,0,1,,,,,,,,,,0,72,64
1620,note_on,60,0,2,,,,,,,,,,1,60,70
1650,note_on,30,0,2,,,,,,,,,,1,64,0
1650,note_on,0,0,1,,,,,,,,,,0,72,64
1650,note_on,0,0,2,,,,,,,,,,1,64,70
1650,note_on,0,0,2,,,,,,,,,,1,60,70
1650,note_on,0,0,2,,,,,,,,,,1,60,0
1650,note_on,30,0,1,,,,,,,,,,0,72,0
1650,note_on,0,0,1,,,,,,,,,,0,67,0
1650,note_on,0,0,1,,,,,,,,,,0,67,64
1680,note_on,0,0,2,,,,,,,,,,1,64,70
1680,note_on,0,0,2,,,,,,,,,,1,60,0
1680,note_on,30,0,2,,,,,,,,,,1,64,0
1680,note_on,0,0,2,,,,,,,,,,1,60,70
1680,note_on,30,0,1,,,,,,,,,,0,72,0
1680,note_on,0,0,1,,,,,,,,,,0,67,0
1680,note_on,0,0,1,,,,,,,,,,0,67,64
1680,note_on,0,0,1,,,,,,,,,,0,72,64
1740,note_on,0,0,2,,,,,,,,,,1,60,0
1740,note_on,0,0,1,,,,,,,,,,0,74,61
1740,note_on,60,0,1,,,,,,,,,,0,72,0
1740,note_on,0,0,2,,,,,,,,,,1,62,70
1740,note_on,0,0,2,,,,,,,,,,1,59,70
1740,note_on,0,0,1,,,,,,,,,,0,67,0
1740,note_on,60,0,2,,,,,,,,,,1,64,0
1740,note_on,0,0,1,,,,,,,,,,0,67,61
1800,note_on,0,0,1,,,,,,,,,,0,67,0
1800,note_on,60,0,2,,,,,,,,,,1,62,0
1800,note_on,0,0,2,,,,,,,,,,1,59,0
1800,note_on,0,0,2,,,,,,,,,,1,62,70
1800,note_on,0,0,1,,,,,,,,,,0,74,61
1800,note_on,0,0,1,,,,,,,,,,0,67,61
1800,note_on,60,0,1,,,,,,,,,,0,74,0
1800,note_on,0,0,2,,,,,,,,,,1,59,70
1852,set_tempo,1852,1,0,,,,,,,731707,,,,,
1860,note_on,0,0,2,,,,,,,,,,1,57,69
1860,note_on,0,0,1,,,,,,,,,,0,67,59
1860,note_on,0,0,1,,,,,,,,,,0,76,59
1860,note_on,60,0,2,,,,,,,,,,1,62,0
1860,note_on,0,0,2,,,,,,,,,,1,59,0
1860,note_on,0,0,2,,,,,,,,,,1,60,69
1860,note_on,0,0,1,,,,,,,,,,0,67,0
1860,note_on,60,0,1,,,,,,,,,,0,74,0
1860,set_tempo,8,1,0,,,,,,,740741,,,,,
1866,set_tempo,6,1,0,,,,,,,750000,,,,,
1874,set_tempo,8,1,0,,,,,,,759494,,,,,
1880,set_tempo,6,1,0,,,,,,,769231,,,,,
1888,set_tempo,8,1,0,,,,,,,779221,,,,,
1894,set_tempo,6,1,0,,,,,,,789474,,,,,
1902,set_tempo,8,1,0,,,,,,,800000,,,,,
1908,set_tempo,6,1,0,,,,,,,810811,,,,,
1916,set_tempo,8,1,0,,,,,,,821918,,,,,
1920,note_on,0,0,2,,,,,,,,,,1,57,68
1920,note_on,0,0,2,,,,,,,,,,1,60,68
1920,note_on,60,0,1,,,,,,,,,,0,76,0
1920,note_on,0,0,1,,,,,,,,,,0,67,0
1920,note_on,0,0,1,,,,,,,,,,0,76,58
1920,note_on,0,0,2,,,,,,,,,,1,60,0
1920,note_on,0,0,1,,,,,,,,,,0,67,58
1920,note_on,60,0,2,,,,,,,,,,1,57,0
1922,set_tempo,6,1,0,,,,,,,833333,,,,,
1930,set_tempo,8,1,0,,,,,,,845070,,,,,
1936,set_tempo,6,1,0,,,,,,,857143,,,,,
1944,set_tempo,8,1,0,,,,,,,869565,,,,,
1950,set_tempo,6,1,0,,,,,,,882353,,,,,
1958,set_tempo,8,1,0,,,,,,,895522,,,,,
1964,set_tempo,6,1,0,,,,,,,909091,,,,,
1972,set_tempo,8,1,0,,,,,,,923077,,,,,
1978,set_tempo,6,1,0,,,,,,,937500,,,,,
1980,note_on,0,0,1,,,,,,,,,,0,67,0
1980,note_on,0,0,2,,,,,,,,,,1,57,0
1980,note_on,0,0,1,,,,,,,,,,0,69,54
1980,note_on,60,0,1,,,,,,,,,,0,76,0
1980,note_on,0,0,1,,,,,,,,,,0,78,54
1980,note_on,60,0,2,,,,,,,,,,1,60,0
1980,note_on,0,0,2,,,,,,,,,,1,60,66
1980,note_on,0,0,2,,,,,,,,,,1,57,66
1986,set_tempo,8,1,0,,,,,,,952381,,,,,
1992,set_tempo,6,1,0,,,,,,,967742,,,,,
2000,set_tempo,8,1,0,,,,,,,983607,,,,,
2006,set_tempo,6,1,0,,,,,,,1000000,,,,,
2014,set_tempo,8,1,0,,,,,,,1016949,,,,,
2020,set_tempo,6,1,0,,,,,,,1034483,,,,,
2028,set_tempo,8,1,0,,,,,,,1052632,,,,,
2034,set_tempo,6,1,0,,,,,,,1071429,,,,,
2036,set_tempo,2,1,0,,,,,,,1071429,,,,,
2040,note_on,60,0,2,,,,,,,,,,1,60,0
2040,note_on,0,0,2,,,,,,,,,,1,57,0
2040,note_on,0,0,2,,,,,,,,,,1,55,60
2040,note_on,0,0,2,,,,,,,,,,1,62,60
2040,note_on,60,0,1,,,,,,,,,,0,78,0
2040,note_on,0,0,1,,,,,,,,,,0,71,60
2040,note_on,0,0,1,,,,,,,,,,0,79,60
2040,note_on,0,0,1,,,,,,,,,,0,69,0
2044,set_tempo,8,1,0,,,,,,,731707,,,,,
2100,note_on,0,0,2,,,,,,,,,,1,55,0
2100,note_on,0,0,2,,,,,,,,,,1,67,91
2100,note_on,60,0,2,,,,,,,,,,1,62,0
2100,note_on,0,0,1,,,,,,,,,,0,71,113
2100,note_on,0,0,1,,,,,,,,,,0,79,113
2100,note_on,0,0,1,,,,,,,,,,0,71,0
2100,note_on,60,0,1,,,,,,,,,,0,79,0
2130,note_on,30,0,1,,,,,,,,,,0,79,0
2130,note_on,0,0,1,,,,,,,,,,0,71,0
2130,note_on,0,0,1,,,,,,,,,,0,71,92
2130,note_on,0,0,1,,,,,,,,,,0,79,92
2130,note_on,30,0,2,,,,,,,,,,1,67,0
2130,note_on,0,0,2,,,,,,,,,,1,67,93
2160,note_on,0,0,1,,,,,,,,,,0,71,0
2160,note_on,30,0,1,,,,,,,,,,0,79,0
2160,note_on,0,0,2,,,,,,,,,,1,67,94
2160,note_on,30,0,2,,,,,,,,,,1,67,0
2160,note_on,0,0,1,,,,,,,,,,0,79,93
2160,note_on,0,0,1,,,,,,,,,,0,71,93
2220,note_on,60,0,2,,,,,,,,,,1,67,0
2220,note_on,0,0,2,,,,,,,,,,1,64,98
2220,note_on,0,0,1,,,,,,,,,,0,72,94
2220,note_on,60,0,1,,,,,,,,,,0,71,0
2280,note_on,60,0,2,,,,,,,,,,1,64,0
2280,note_on,0,0,2,,,,,,,,,,1,60,99
2280,note_on,0,0,1,,,,,,,,,,0,76,94
2280,note_on,60,0,1,,,,,,,,,,0,72,0
2340,note_on,0,0,1,,,,,,,,,,0,79,95
2340,note_on,0,0,2,,,,,,,,,,1,55,99
2340,note_on,0,0,1,,,,,,,,,,0,79,0
2340,note_on,60,0,1,,,,,,,,,,0,76,0
2340,note_on,60,0,2,,,,,,,,,,1,60,0
2340,note_on,0,0,1,,,,,,,,,,0,71,95
2370,note_on,30,0,1,,,,,,,,,,0,79,0
2370,note_on,0,0,1,,,,,,,,,,0,71,0
2370,note_on,0,0,1,,,,,,,,,,0,71,95
2370,note_on,0,0,2,,,,,,,,,,1,55,99
2370,note_on,30,0,2,,,,,,,,,,1,55,0
2370,note_on,0,0,1,,,,,,,,,,0,79,95
2400,note_on,0,0,1,,,,,,,,,,0,71,0
2400,note_on,0,0,1,,,,,,,,,,0,79,95
2400,note_on,30,0,1,,,,,,,,,,0,79,0
2400,note_on,0,0,2,,,,,,,,,,1,55,99
2400,note_on,30,0,2,,,,,,,,,,1,55,0
2400,note_on,0,0,1,,,,,,,,,,0,71,95
2460,note_on,60,0,2,,,,,,,,,,1,55,0
2460,note_on,0,0,2,,,,,,,,,,1,52,99
2460,note_on,60,0,1,,,,,,,,,,0,71,0
2460,note_on,0,0,1,,,,,,,,,,0,72,95
2520,note_on,0,0,2,,,,,,,,,,1,48,99
2520,note_on,60,0,1,,,,,,,,,,0,72,0
2520,note_on,0,0,1,,,,,,,,,,0,76,95
2520,note_on,60,0,2,,,,,,,,,,1,52,0
2580,note_on,0,0,2,,,,,,,,,,1,43,99
2580,note_on,60,0,1,,,,,,,,,,0,76,0
2580,note_on,0,0,1,,,,,,,,,,0,79,0
2580,note_on,0,0,1,,,,,,,,,,0,83,96
2580,note_on,0,0,1,,,,,,,,,,0,79,96
2580,note_on,60,0,2,,,,,,,,,,1,48,0
2610,note_on,0,0,1,,,,,,,,,,0,79,96
2610,note_on,0,0,2,,,,,,,,,,1,43,99
2610,note_on,30,0,2,,,,,,,,,,1,43,0
2610,note_on,30,0,1,,,,,,,,,,0,79,0
2610,note_on,0,0,1,,,,,,,,,,0,83,0
2610,note_on,0,0,1,,,,,,,,,,0,83,96
2640,note_on,0,0,2,,,,,,,,,,1,43,99
2640,note_on,30,0,2,,,,,,,,,,1,43,0
2640,note_on,0,0,1,,,,,,,,,,0,83,96
2640,note_on,30,0,1,,,,,,,,,,0,79,0
2640,note_on,0,0,1,,,,,,,,,,0,83,0
2700,note_on,0,0,2,,,,,,,,,,1,40,99
2700,note_on,60,0,2,,,,,,,,,,1,43,0
2700,note_on,60,0,1,,,,,,,,,,0,83,0
2700,note_on,0,0,1,,,,,,,,,,0,84,96
2760,note_on,60,0,1,,,,,,,,,,0,84,0
2760,note_on,60,0,2,,,,,,,,,,1,40,0
2760,note_on,0,0,1,,,,,,,,,,0,88,96
2760,note_on,0,0,2,,,,,,,,,,1,36,99
2820,note_on,60,0,1,,,,,,,,,,0,88,0
2820,note_on,60,0,2,,,,,,,,,,1,36,0
2820,note_on,0,0,1,,,,,,,,,,0,81,96
2820,note_on,0,0,1,,,,,,,,,,0,77,96
2820,note_on,0,0,2,,,,,,,,,,1,41,99
2820,note_on,0,0,1,,,,,,,,,,0,86,96
2880,note_on,60,0,1,,,,,,,,,,0,77,0
2880,note_on,0,0,1,,,,,,,,,,0,86,0
2880,note_on,0,0,1,,,,,,,,,,0,84,96
2880,note_on,0,0,1,,,,,,,,,,0,79,96
2880,note_on,0,0,1,,,,,,,,,,0,76,96
2880,note_on,0,0,1,,,,,,,,,,0,81,0
2880,note_on,0,0,2,,,,,,,,,,1,43,98
2880,note_on,60,0,2,,,,,,,,,,1,41,0
2940,note_on,60,0,2,,,,,,,,,,1,43,0
2940,note_on,0,0,2,,,,,,,,,,1,31,97
2940,note_on,0,0,1,,,,,,,,,,0,79,96
2940,note_on,0,0,1,,,,,,,,,,0,83,96
2940,note_on,0,0,1,,,,,,,,,,0,74,96
2940,note_on,0,0,1,,,,,,,,,,0,84,0
2940,note_on,0,0,1,,,,,,,,,,0,79,0
2940,note_on,60,0,1,,,,,,,,,,0,76,0
3000,note_on,0,0,1,,,,,,,,,,0,76,115
3000,note_on,0,0,1,,,,,,,,,,0,84,115
3000,note_on,0,0,1,,,,,,,,,,0,74,0
3000,note_on,0,0,1,,,,,,,,,,0,83,0
3000,note_on,60,0,1,,,,,,,,,,0,79,0
3000,note_on,0,0,1,,,,,,,,,,0,72,115
3000,note_on,60,0,2,,,,,,,,,,1,31,0
3000,note_on,0,0,2,,,,,,,,,,1,36,114
3060,note_on,0,0,1,,,,,,,,,,0,76,0
3060,note_on,0,0,1,,,,,,,,,,0,84,0
3060,note_on,0,0,1,,,,,,,,,,0,71,91
3060,note_on,0,0,1,,,,,,,,,,0,79,91
3060,note_on,60,0,1,,,,,,,,,,0,72,0
3060,note_on,0,0,2,,,,,,,,,,1,67,96
3060,note_on,60,0,2,,,,,,,,,,1,36,0
3090,note_on,0,0,1,,,,,,,,,,0,79,91
3090,note_on,0,0,1,,,,,,,,,,0,71,91
3090,note_on,0,0,1,,,,,,,,,,0,71,0
3090,note_on,30,0,1,,,,,,,,,,0,79,0
3090,note_on,30,0,2,,,,,,,,,,1,67,0
3090,note_on,0,0,2,,,,,,,,,,1,67,95
3120,note_on,30,0,2,,,,,,,,,,1,67,0
3120,note_on,30,0,1,,,,,,,,,,0,79,0
3120,note_on,0,0,2,,,,,,,,,,1,67,95
3120,note_on,0,0,1,,,,,,,,,,0,71,0
3120,note_on,0,0,1,,,,,,,,,,0,71,91
3120,note_on,0,0,1,,,,,,,,,,0,79,91
3180,note_on,0,0,2,,,,,,,,,,1,64,94
3180,note_on,0,0,1,,,,,,,,,,0,72,91
3180,note_on,60,0,2,,,,,,,,,,1,67,0
3180,note_on,60,0,1,,,,,,,,,,0,71,0
3240,note_on,60,0,1,,,,,,,,,,0,72,0
3240,note_on,0,0,1,,,,,,,,,,0,76,91
3240,note_on,0,0,2,,,,,,,,,,1,60,92
3240,note_on,60,0,2,,,,,,,,,,1,64,0
3300,note_on,0,0,1,,,,,,,,,,0,79,0
3300,note_on,0,0,1,,,,,,,,,,0,71,91
3300,note_on,0,0,1,,,,,,,,,,0,79,91
3300,note_on,0,0,2,,,,,,,,,,1,55,92
3300,note_on,60,0,2,,,,,,,,,,1,60,0
3300,note_on,60,0,1,,,,,,,,,,0,76,0
3330,note_on,0,0,2,,,,,,,,,,1,55,92
3330,note_on,30,0,2,,,,,,,,,,1,55,0
3330,note_on,0,0,1,,,,,,,,,,0,71,0
3330,note_on,0,0,1,,,,,,,,,,0,71,91
3330,note_on,0,0,1,,,,,,,,,,0,79,91
3330,note_on,30,0,1,,,,,,,,,,0,79,0
3360,note_on,30,0,1,,,,,,,,,,0,79,0
3360,note_on,0,0,1,,,,,,,,,,0,71,0
3360,note_on,0,0,1,,,,,,,,,,0,79,91
3360,note_on,0,0,1,,,,,,,,,,0,71,91
3360,note_on,30,0,2,,,,,,,,,,1,55,0
3360,note_on,0,0,2,,,,,,,,,,1,55,92
3420,note_on,60,0,1,,,,,,,,,,0,71,0
3420,note_on,0,0,1,,,,,,,,,,0,72,91
3420,note_on,0,0,2,,,,,,,,,,1,52,92
3420,note_on,60,0,2,,,,,,,,,,1,55,0
3480,note_on,60,0,2,,,,,,,,,,1,52,0
3480,note_on,60,0,1,,,,,,,,,,0,72,0
3480,note_on,0,0,2,,,,,,,,,,1,48,92
3480,note_on,0,0,1,,,,,,,,,,0,76,91
3540,note_on,60,0,2,,,,,,,,,,1,48,0
3540,note_on,0,0,2,,,,,,,,,,1,43,92
3540,note_on,0,0,1,,,,,,,,,,0,83,91
3540,note_on,60,0,1,,,,,,,,,,0,76,0
3540,note_on,0,0,1,,,,,,,,,,0,79,0
3540,note_on,0,0,1,,,,,,,,,,0,79,91
3570,note_on,30,0,1,,,,,,,,,,0,79,0
3570,note_on,0,0,1,,,,,,,,,,0,83,0
3570,note_on,0,0,1,,,,,,,,,,0,83,91
3570,note_on,0,0,1,,,,,,,,,,0,79,91
3570,note_on,30,0,2,,,,,,,,,,1,43,0
