tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,pitch,program,note,velocity
5400,note_on,0,0,4,,,,,,,,,3,,,62,51
5400,note_on,600,0,3,,,,,,,,,2,,,67,0
5400,note_on,600,0,4,,,,,,,,,3,,,63,0
5400,note_on,0,0,3,,,,,,,,,2,,,65,88
5520,note_on,120,0,4,,,,,,,,,3,,,62,0
5520,note_on,120,0,3,,,,,,,,,2,,,65,0
5520,note_on,0,0,3,,,,,,,,,2,,,63,88
5520,note_on,0,0,4,,,,,,,,,3,,,60,51
5610,note_on,4170,0,6,,,,,,,,,5,,,58,0
5610,note_on,4170,0,5,,,,,,,,,4,,,58,0
5640,note_on,120,0,4,,,,,,,,,3,,,60,0
5640,note_on,0,0,4,,,,,,,,,3,,,58,51
5640,note_on,120,0,3,,,,,,,,,2,,,63,0
5640,note_on,0,0,3,,,,,,,,,2,,,62,88
5710,note_on,430,0,7,,,,,,,,,6,,,46,0
5710,note_on,430,0,8,,,,,,,,,7,,,34,0
5760,note_on,150,0,5,,,,,,,,,4,,,57,51
5760,note_on,50,0,7,,,,,,,,,6,,,53,51
5760,note_on,120,0,4,,,,,,,,,3,,,58,0
5760,note_on,50,0,8,,,,,,,,,7,,,41,51
5760,note_on,120,0,3,,,,,,,,,2,,,62,0
5760,note_on,0,0,3,,,,,,,,,2,,,65,88
5760,note_on,0,0,4,,,,,,,,,3,,,62,51
5760,note_on,150,0,6,,,,,,,,,5,,,53,51
6000,note_on,240,0,4,,,,,,,,,3,,,62,0
6000,note_on,0,0,3,,,,,,,,,2,,,63,88
6000,note_on,240,0,3,,,,,,,,,2,,,65,0
6000,note_on,0,0,4,,,,,,,,,3,,,60,51
6190,note_on,430,0,6,,,,,,,,,5,,,53,0
6190,note_on,430,0,8,,,,,,,,,7,,,41,0
6190,note_on,430,0,7,,,,,,,,,6,,,53,0
6240,note_on,0,0,3,,,,,,,,,2,,,62,88
6240,note_on,50,0,6,,,,,,,,,5,,,53,51
6240,note_on,50,0,8,,,,,,,,,7,,,34,51
6240,note_on,240,0,4,,,,,,,,,3,,,60,0
6240,note_on,0,0,4,,,,,,,,,3,,,58,51
6240,note_on,240,0,3,,,,,,,,,2,,,63,0
6240,note_on,0,0,5,,,,,,,,,4,,,58,51
6240,note_on,480,0,5,,,,,,,,,4,,,57,0
6240,note_on,50,0,7,,,,,,,,,6,,,46,51
6450,note_on,210,0,7,,,,,,,,,6,,,46,0
6450,note_on,210,0,8,,,,,,,,,7,,,34,0
6480,note_on,30,0,7,,,,,,,,,6,,,58,51
6480,note_on,30,0,8,,,,,,,,,7,,,46,51
6670,note_on,430,0,3,,,,,,,,,2,,,62,0
6670,note_on,430,0,6,,,,,,,,,5,,,53,0
6670,note_on,430,0,4,,,,,,,,,3,,,58,0
6690,note_on,210,0,7,,,,,,,,,6,,,58,0
6690,note_on,210,0,8,,,,,,,,,7,,,46,0
6720,note_on,30,0,8,,,,,,,,,7,,,41,51
6720,note_on,480,0,5,,,,,,,,,4,,,58,0
6720,note_on,30,0,7,,,,,,,,,6,,,53,51
6930,note_on,210,0,8,,,,,,,,,7,,,41,0
6930,note_on,210,0,7,,,,,,,,,6,,,53,0
6960,note_on,30,0,7,,,,,,,,,6,,,50,51
6960,note_on,30,0,8,,,,,,,,,7,,,38,51
7170,note_on,210,0,7,,,,,,,,,6,,,50,0
7170,note_on,210,0,8,,,,,,,,,7,,,38,0
7200,note_on,530,0,3,,,,,,,,,2,,,58,88
7200,note_on,30,0,7,,,,,,,,,6,,,46,51
7200,note_on,30,0,8,,,,,,,,,7,,,34,51
7630,note_on,430,0,8,,,,,,,,,7,,,34,0
7630,note_on,430,0,7,,,,,,,,,6,,,46,0
7680,note_on,50,0,8,,,,,,,,,7,,,38,51
7680,note_on,1010,0,6,,,,,,,,,5,,,53,51
7680,note_on,50,0,7,,,,,,,,,6,,,50,51
7680,note_on,960,0,5,,,,,,,,,4,,,56,51
7680,note_on,1010,0,4,,,,,,,,,3,,,58,51
8160,note_on,480,0,8,,,,,,,,,7,,,38,0
8160,note_on,480,0,6,,,,,,,,,5,,,53,0
8160,note_on,0,0,7,,,,,,,,,6,,,51,51
8160,note_on,480,0,7,,,,,,,,,6,,,50,0
8160,note_on,480,0,5,,,,,,,,,4,,,56,0
8160,note_on,0,0,5,,,,,,,,,4,,,55,51
8160,note_on,0,0,6,,,,,,,,,5,,,51,51
8160,note_on,0,0,8,,,,,,,,,7,,,39,51
8490,note_on,1290,0,3,,,,,,,,,2,,,58,0
8540,note_on,860,0,4,,,,,,,,,3,,,58,0
8640,note_on,480,0,7,,,,,,,,,6,,,51,0
8640,note_on,150,0,3,,,,,,,,,2,,,63,88
8640,note_on,480,0,5,,,,,,,,,4,,,55,0
8640,note_on,480,0,8,,,,,,,,,7,,,39,0
8640,note_on,480,0,6,,,,,,,,,5,,,51,0
9120,note_on,480,0,5,,,,,,,,,4,,,58,51
9120,note_on,480,0,7,,,,,,,,,6,,,48,51
9120,note_on,480,0,8,,,,,,,,,7,,,36,51
9120,note_on,580,0,4,,,,,,,,,3,,,63,51
9120,note_on,480,0,6,,,,,,,,,5,,,55,51
9600,note_on,0,0,5,,,,,,,,,4,,,60,51
9600,note_on,480,0,5,,,,,,,,,4,,,58,0
9600,note_on,0,0,6,,,,,,,,,5,,,57,51
9600,note_on,0,0,7,,,,,,,,,6,,,53,51
9600,note_on,480,0,7,,,,,,,,,6,,,48,0
9600,note_on,0,0,8,,,,,,,,,7,,,41,51
9600,note_on,480,0,6,,,,,,,,,5,,,55,0
9600,note_on,480,0,8,,,,,,,,,7,,,36,0
9930,note_on,1290,0,3,,,,,,,,,2,,,63,0
9980,note_on,860,0,4,,,,,,,,,3,,,63,0
10080,note_on,100,0,4,,,,,,,,,3,,,62,51
10080,note_on,0,0,5,,,,,,,,,4,,,58,51
10080,note_on,480,0,5,,,,,,,,,4,,,60,0
10080,note_on,150,0,3,,,,,,,,,2,,,62,88
10080,note_on,480,0,6,,,,,,,,,5,,,57,0
10080,note_on,0,0,8,,,,,,,,,7,,,34,51
10080,note_on,0,0,7,,,,,,,,,6,,,46,51
10080,note_on,480,0,7,,,,,,,,,6,,,53,0
10080,note_on,480,0,8,,,,,,,,,7,,,41,0
10080,note_on,0,0,6,,,,,,,,,5,,,58,51
10320,note_on,240,0,3,,,,,,,,,2,,,62,0
10320,note_on,0,0,3,,,,,,,,,2,,,65,88
10510,note_on,430,0,6,,,,,,,,,5,,,58,0
10510,note_on,430,0,8,,,,,,,,,7,,,34,0
10510,note_on,430,0,7,,,,,,,,,6,,,46,0
10560,note_on,50,0,6,,,,,,,,,5,,,53,51
10560,note_on,240,0,3,,,,,,,,,2,,,65,0
10560,note_on,0,0,3,,,,,,,,,2,,,65,88
10560,note_on,50,0,7,,,,,,,,,6,,,50,51
10560,note_on,50,0,8,,,,,,,,,7,,,38,51
11040,note_on,960,0,5,,,,,,,,,4,,,58,0
11040,note_on,0,0,7,,,,,,,,,6,,,51,51
11040,note_on,480,0,7,,,,,,,,,6,,,50,0
11040,note_on,480,0,8,,,,,,,,,7,,,38,0
11040,note_on,0,0,8,,,,,,,,,7,,,39,51
11040,note_on,0,0,4,,,,,,,,,3,,,60,51
11040,note_on,960,0,4,,,,,,,,,3,,,62,0
11040,note_on,0,0,5,,,,,,,,,4,,,57,51
11200,note_on,640,0,3,,,,,,,,,2,,,65,0
11280,note_on,80,0,3,,,,,,,,,2,,,69,88
11400,note_on,120,0,3,,,,,,,,,2,,,69,0
11400,note_on,0,0,3,,,,,,,,,2,,,65,88
11520,note_on,0,0,8,,,,,,,,,7,,,38,51
11520,note_on,120,0,3,,,,,,,,,2,,,65,0
11520,note_on,0,0,3,,,,,,,,,2,,,70,88
11520,note_on,0,0,7,,,,,,,,,6,,,50,51
11520,note_on,0,0,4,,,,,,,,,3,,,62,51
11520,note_on,480,0,7,,,,,,,,,6,,,51,0
11520,note_on,480,0,4,,,,,,,,,3,,,60,0
11520,note_on,480,0,5,,,,,,,,,4,,,57,0
11520,note_on,0,0,5,,,,,,,,,4,,,58,51
11520,note_on,480,0,8,,,,,,,,,7,,,39,0
11760,note_on,240,0,3,,,,,,,,,2,,,70,0
11760,note_on,0,0,3,,,,,,,,,2,,,65,88
12000,note_on,240,0,3,,,,,,,,,2,,,65,0
12000,note_on,0,0,3,,,,,,,,,2,,,65,88
12000,note_on,480,0,8,,,,,,,,,7,,,38,0
12000,note_on,0,0,8,,,,,,,,,7,,,34,51
12000,note_on,480,0,7,,,,,,,,,6,,,50,0
12000,note_on,0,0,7,,,,,,,,,6,,,46,51
12480,note_on,960,0,5,,,,,,,,,4,,,58,0
12480,note_on,960,0,4,,,,,,,,,3,,,62,0
12480,note_on,0,0,4,,,,,,,,,3,,,60,51
12480,note_on,480,0,7,,,,,,,,,6,,,46,0
12480,note_on,0,0,7,,,,,,,,,6,,,51,51
12480,note_on,480,0,8,,,,,,,,,7,,,34,0
12480,note_on,0,0,8,,,,,,,,,7,,,39,51
12480,note_on,0,0,5,,,,,,,,,4,,,57,51
12640,note_on,640,0,3,,,,,,,,,2,,,65,0
12720,note_on,80,0,3,,,,,,,,,2,,,69,88
12840,note_on,0,0,3,,,,,,,,,2,,,65,88
12840,note_on,120,0,3,,,,,,,,,2,,,69,0
12960,note_on,480,0,7,,,,,,,,,6,,,51,0
12960,note_on,0,0,7,,,,,,,,,6,,,50,51
12960,note_on,480,0,5,,,,,,,,,4,,,57,0
12960,note_on,0,0,5,,,,,,,,,4,,,58,51
12960,note_on,480,0,8,,,,,,,,,7,,,39,0
12960,note_on,0,0,4,,,,,,,,,3,,,62,51
12960,note_on,480,0,4,,,,,,,,,3,,,60,0
12960,note_on,0,0,3,,,,,,,,,2,,,70,88
12960,note_on,0,0,8,,,,,,,,,7,,,38,51
12960,note_on,120,0,3,,,,,,,,,2,,,65,0
13200,note_on,240,0,3,,,,,,,,,2,,,70,0
13200,note_on,0,0,3,,,,,,,,,2,,,65,88
13390,note_on,2830,0,6,,,,,,,,,5,,,53,0
13440,note_on,0,0,7,,,,,,,,,6,,,46,51
13440,note_on,240,0,3,,,,,,,,,2,,,65,0
13440,note_on,0,0,3,,,,,,,,,2,,,62,88
13440,note_on,0,0,8,,,,,,,,,7,,,34,51
13440,note_on,480,0,8,,,,,,,,,7,,,38,0
13440,note_on,480,0,7,,,,,,,,,6,,,50,0
13440,note_on,50,0,6,,,,,,,,,5,,,58,51
13680,note_on,0,0,4,,,,,,,,,3,,,65,51
13680,note_on,720,0,4,,,,,,,,,3,,,62,0
13680,note_on,0,0,3,,,,,,,,,2,,,58,88
13680,note_on,240,0,3,,,,,,,,,2,,,62,0
13680,note_on,0,0,5,,,,,,,,,4,,,62,51
13680,note_on,720,0,5,,,,,,,,,4,,,58,0
13920,note_on,240,0,4,,,,,,,,,3,,,65,0
13920,note_on,0,0,4,,,,,,,,,3,,,67,51
13920,note_on,480,0,7,,,,,,,,,6,,,46,0
13920,note_on,0,0,7,,,,,,,,,6,,,51,51
13920,note_on,480,0,8,,,,,,,,,7,,,34,0
13920,note_on,0,0,5,,,,,,,,,4,,,63,51
13920,note_on,240,0,5,,,,,,,,,4,,,62,0
13920,note_on,240,0,3,,,,,,,,,2,,,58,0
13920,note_on,0,0,8,,,,,,,,,7,,,39,51
13920,note_on,0,0,3,,,,,,,,,2,,,67,88
14160,note_on,0,0,5,,,,,,,,,4,,,72,51
14160,note_on,720,0,6,,,,,,,,,5,,,58,0
14160,note_on,0,0,6,,,,,,,,,5,,,67,51
14160,note_on,240,0,5,,,,,,,,,4,,,63,0
14160,note_on,240,0,4,,,,,,,,,3,,,67,0
14160,note_on,0,0,4,,,,,,,,,3,,,75,51
14160,note_on,0,0,3,,,,,,,,,2,,,63,88
14160,note_on,240,0,3,,,,,,,,,2,,,67,0
14400,note_on,240,0,3,,,,,,,,,2,,,63,0
14400,note_on,0,0,3,,,,,,,,,2,,,62,88
14400,note_on,0,0,8,,,,,,,,,7,,,41,51
14400,note_on,480,0,8,,,,,,,,,7,,,39,0
14400,note_on,0,0,6,,,,,,,,,5,,,65,51
14400,note_on,480,0,7,,,,,,,,,6,,,51,0
14400,note_on,0,0,4,,,,,,,,,3,,,74,76
14400,control_change,0,0,4,,,,,,,11,85,3,,,,
14400,note_on,240,0,4,,,,,,,,,3,,,75,0
14400,note_on,0,0,7,,,,,,,,,6,,,53,51
14400,note_on,240,0,6,,,,,,,,,5,,,67,0
14400,control_change,0,0,5,,,,,,,11,85,4,,,,
14400,note_on,0,0,5,,,,,,,,,4,,,70,76
14400,note_on,240,0,5,,,,,,,,,4,,,72,0
14830,note_on,430,0,7,,,,,,,,,6,,,53,0
14830,note_on,430,0,6,,,,,,,,,5,,,65,0
14830,note_on,430,0,4,,,,,,,,,3,,,74,0
14830,note_on,430,0,8,,,,,,,,,7,,,41,0
14830,note_on,430,0,5,,,,,,,,,4,,,70,0
14880,note_on,50,0,7,,,,,,,,,6,,,41,51
14880,note_on,50,0,6,,,,,,,,,5,,,53,51
14880,control_change,50,0,4,,,,,,,11,88,3,,,,
14880,note_on,0,0,4,,,,,,,,,3,,,72,76
14880,note_on,50,0,8,,,,,,,,,7,,,29,51
14880,note_on,0,0,3,,,,,,,,,2,,,60,88
14880,control_change,50,0,5,,,,,,,11,88,4,,,,
14880,note_on,0,0,5,,,,,,,,,4,,,69,76
14880,note_on,480,0,3,,,,,,,,,2,,,62,0
15000,control_change,120,0,4,,,,,,,11,93,3,,,,
15000,control_change,120,0,5,,,,,,,11,93,4,,,,
15120,note_on,0,0,4,,,,,,,,,3,,,74,76
15120,control_change,0,0,4,,,,,,,11,98,3,,,,
15120,note_on,120,0,4,,,,,,,,,3,,,72,0
15120,note_on,120,0,5,,,,,,,,,4,,,69,0
15120,control_change,0,0,5,,,,,,,11,98,4,,,,
15120,note_on,0,0,5,,,,,,,,,4,,,70,76
15240,control_change,120,0,4,,,,,,,11,103,3,,,,
15240,control_change,120,0,5,,,,,,,11,103,4,,,,
15310,note_on,430,0,6,,,,,,,,,5,,,53,0
15310,note_on,430,0,8,,,,,,,,,7,,,29,0
15310,note_on,430,0,7,,,,,,,,,6,,,41,0
15360,control_change,0,0,4,,,,,,,11,108,3,,,,
15360,note_on,480,0,3,,,,,,,,,2,,,60,0
