tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity,pitch
6480,note_off,240,0,3,,,,,,,,,2,,51,0,
6720,note_off,240,0,3,,,,,,,,,2,,51,0,
6720,note_on,0,0,3,,,,,,,,,2,,51,42,
6960,note_off,240,0,3,,,,,,,,,2,,51,0,
6960,note_on,0,0,3,,,,,,,,,2,,51,41,
6960,note_on,720,0,1,,,,,,,,,0,,70,38,
7080,set_tempo,1320,1,0,,,,,,327868,,,,,,,
7141,note_off,2821,0,4,,,,,,,,,3,,39,0,
7200,set_tempo,120,1,0,,,,,,324324,,,,,,,
7200,note_off,240,0,1,,,,,,,,,0,,70,0,
7200,note_on,0,0,1,,,,,,,,,0,,75,39,
7200,marker,0,1,0,,,,,,,,,,,,,
7200,note_on,59,0,4,,,,,,,,,3,,51,40,
7200,note_on,0,0,3,,,,,,,,,2,,63,40,
7200,note_off,240,0,3,,,,,,,,,2,,51,0,
7200,note_on,0,0,3,,,,,,,,,2,,55,40,
7440,note_on,0,0,1,,,,,,,,,0,,74,41,
7440,note_off,240,0,1,,,,,,,,,0,,75,0,
7680,note_off,240,0,1,,,,,,,,,0,,74,0,
7680,note_on,0,0,1,,,,,,,,,0,,77,42,
7920,note_on,0,0,3,,,,,,,,,2,,56,39,
7920,note_off,720,0,3,,,,,,,,,2,,55,0,
7920,note_on,0,0,1,,,,,,,,,0,,75,43,
7920,note_on,0,0,4,,,,,,,,,3,,53,39,
7920,note_off,240,0,1,,,,,,,,,0,,77,0,
7920,note_off,720,0,4,,,,,,,,,3,,51,0,
8160,note_off,240,0,1,,,,,,,,,0,,75,0,
8160,note_on,0,0,1,,,,,,,,,0,,74,44,
8400,note_off,240,0,1,,,,,,,,,0,,74,0,
8400,note_on,0,0,1,,,,,,,,,0,,77,46,
8640,note_off,240,0,1,,,,,,,,,0,,77,0,
8640,note_on,0,0,1,,,,,,,,,0,,75,51,
8640,note_off,720,0,3,,,,,,,,,2,,56,0,
8640,note_on,0,0,4,,,,,,,,,3,,55,41,
8640,note_off,720,0,4,,,,,,,,,3,,53,0,
8640,note_on,0,0,3,,,,,,,,,2,,58,41,
8640,marker,1440,1,0,,,,,,,,,,,,,
8880,note_off,240,0,1,,,,,,,,,0,,75,0,
8880,note_on,0,0,1,,,,,,,,,0,,74,49,
9120,note_off,480,0,3,,,,,,,,,2,,58,0,
9120,note_on,0,0,1,,,,,,,,,0,,77,48,
9120,note_off,0,0,3,,,,,,,,,2,,63,0,
9120,note_off,480,0,4,,,,,,,,,3,,55,0,
9120,note_off,240,0,1,,,,,,,,,0,,74,0,
9360,note_on,0,0,1,,,,,,,,,0,,75,46,
9360,note_off,240,0,1,,,,,,,,,0,,77,0,
9600,note_on,0,0,1,,,,,,,,,0,,74,45,
9600,note_off,240,0,1,,,,,,,,,0,,75,0,
9840,note_off,240,0,1,,,,,,,,,0,,74,0,
9840,note_on,0,0,1,,,,,,,,,0,,72,43,
9960,set_tempo,1320,1,0,,,,,,327868,,,,,,,
10080,note_off,240,0,1,,,,,,,,,0,,72,0,
10080,note_on,0,0,1,,,,,,,,,0,,80,42,
10080,note_on,960,0,3,,,,,,,,,2,,70,40,
10080,note_on,0,0,3,,,,,,,,,2,,62,40,
10080,set_tempo,120,1,0,,,,,,324324,,,,,,,
10080,note_on,960,0,4,,,,,,,,,3,,58,40,
10320,note_on,0,0,1,,,,,,,,,0,,79,42,
10320,note_off,240,0,1,,,,,,,,,0,,80,0,
10560,note_on,0,0,1,,,,,,,,,0,,82,43,
10560,note_off,240,0,1,,,,,,,,,0,,79,0,
10800,note_off,240,0,1,,,,,,,,,0,,82,0,
10800,note_off,720,0,3,,,,,,,,,2,,62,0,
10800,note_on,0,0,3,,,,,,,,,2,,63,44,
10800,note_on,0,0,1,,,,,,,,,0,,80,45,
10800,note_off,720,0,4,,,,,,,,,3,,58,0,
10800,note_on,0,0,4,,,,,,,,,3,,60,44,
11040,note_on,0,0,1,,,,,,,,,0,,79,47,
11040,note_off,240,0,1,,,,,,,,,0,,80,0,
11280,note_on,0,0,1,,,,,,,,,0,,82,49,
11280,note_off,240,0,1,,,,,,,,,0,,79,0,
11520,note_on,0,0,1,,,,,,,,,0,,80,51,
11520,note_off,720,0,3,,,,,,,,,2,,63,0,
11520,note_off,0,0,3,,,,,,,,,2,,70,0,
11520,note_on,0,0,3,,,,,,,,,2,,70,47,
11520,note_on,0,0,3,,,,,,,,,2,,65,47,
11520,note_on,0,0,4,,,,,,,,,3,,62,47,
11520,note_off,720,0,4,,,,,,,,,3,,60,0,
11520,note_off,240,0,1,,,,,,,,,0,,82,0,
11760,note_off,240,0,1,,,,,,,,,0,,80,0,
11760,note_on,0,0,1,,,,,,,,,0,,79,50,
12000,note_off,480,0,4,,,,,,,,,3,,62,0,
12000,note_off,240,0,1,,,,,,,,,0,,79,0,
12000,note_off,0,0,3,,,,,,,,,2,,70,0,
12000,note_off,480,0,3,,,,,,,,,2,,65,0,
12000,note_on,0,0,1,,,,,,,,,0,,82,48,
12240,note_off,240,0,1,,,,,,,,,0,,82,0,
12240,note_on,0,0,1,,,,,,,,,0,,80,47,
12480,note_off,240,0,1,,,,,,,,,0,,80,0,
12480,note_on,0,0,1,,,,,,,,,0,,79,45,
12720,note_off,240,0,1,,,,,,,,,0,,79,0,
12720,note_on,0,0,1,,,,,,,,,0,,77,44,
12840,set_tempo,2760,1,0,,,,,,327868,,,,,,,
12960,note_on,960,0,4,,,,,,,,,3,,63,45,
12960,note_on,960,0,3,,,,,,,,,2,,67,45,
12960,note_on,0,0,3,,,,,,,,,2,,75,45,
12960,note_on,0,0,1,,,,,,,,,0,,87,46,
12960,note_off,240,0,1,,,,,,,,,0,,77,0,
12960,set_tempo,120,1,0,,,,,,324324,,,,,,,
13200,note_on,0,0,1,,,,,,,,,0,,86,49,
13200,note_off,240,0,1,,,,,,,,,0,,87,0,
13440,note_on,0,0,1,,,,,,,,,0,,89,51,
13440,note_off,240,0,1,,,,,,,,,0,,86,0,
13680,note_on,0,0,1,,,,,,,,,0,,87,54,
13680,note_off,240,0,1,,,,,,,,,0,,89,0,
13680,note_on,0,0,4,,,,,,,,,3,,65,50,
13680,note_off,720,0,3,,,,,,,,,2,,67,0,
13680,note_off,720,0,4,,,,,,,,,3,,63,0,
13680,note_on,0,0,3,,,,,,,,,2,,68,50,
13920,note_on,0,0,1,,,,,,,,,0,,86,56,
13920,note_off,240,0,1,,,,,,,,,0,,87,0,
14160,note_off,240,0,1,,,,,,,,,0,,86,0,
14160,note_on,0,0,1,,,,,,,,,0,,89,59,
14400,note_off,720,0,4,,,,,,,,,3,,65,0,
14400,note_on,0,0,4,,,,,,,,,3,,67,55,
14400,note_on,0,0,3,,,,,,,,,2,,70,55,
14400,note_off,720,0,3,,,,,,,,,2,,68,0,
14400,note_off,240,0,1,,,,,,,,,0,,89,0,
14400,note_on,0,0,1,,,,,,,,,0,,87,61,
14640,note_off,240,0,1,,,,,,,,,0,,87,0,
14640,note_on,0,0,1,,,,,,,,,0,,86,64,
14880,note_off,240,0,1,,,,,,,,,0,,86,0,
14880,note_on,0,0,1,,,,,,,,,0,,89,66,
15000,set_tempo,2040,1,0,,,,,,327868,,,,,,,
15120,note_on,0,0,3,,,,,,,,,2,,73,71,
15120,note_on,0,0,3,,,,,,,,,2,,75,71,
15120,note_on,0,0,1,,,,,,,,,0,,87,75,
15120,note_off,240,0,1,,,,,,,,,0,,89,0,
15120,note_on,0,0,3,,,,,,,,,2,,70,71,
15120,set_tempo,120,1,0,,,,,,324324,,,,,,,
15120,note_off,0,0,3,,,,,,,,,2,,75,0,
15120,note_off,720,0,4,,,,,,,,,3,,67,0,
15120,note_on,0,0,4,,,,,,,,,3,,67,71,
15120,note_off,720,0,3,,,,,,,,,2,,70,0,
15360,note_on,0,0,1,,,,,,,,,0,,85,73,
15360,note_off,240,0,1,,,,,,,,,0,,87,0,
15600,note_off,240,0,1,,,,,,,,,0,,85,0,
15600,note_on,0,0,1,,,,,,,,,0,,84,71,
15840,note_on,0,0,1,,,,,,,,,0,,83,69,
15840,note_off,240,0,1,,,,,,,,,0,,84,0,
15840,note_on,0,0,3,,,,,,,,,2,,72,58,
15840,note_off,0,0,3,,,,,,,,,2,,73,0,
15840,note_on,0,0,3,,,,,,,,,2,,75,58,
15840,note_off,720,0,4,,,,,,,,,3,,67,0,
15840,note_on,0,0,4,,,,,,,,,3,,68,58,
15840,note_off,720,0,3,,,,,,,,,2,,75,0,
15840,note_off,0,0,3,,,,,,,,,2,,70,0,
16080,note_on,0,0,1,,,,,,,,,0,,84,68,
16080,note_off,240,0,1,,,,,,,,,0,,83,0,
16320,note_off,240,0,1,,,,,,,,,0,,84,0,
16320,note_on,0,0,1,,,,,,,,,0,,82,66,
16320,note_off,480,0,4,,,,,,,,,3,,68,0,
16320,note_off,0,0,3,,,,,,,,,2,,75,0,
16320,note_off,480,0,3,,,,,,,,,2,,72,0,
16560,note_off,240,0,1,,,,,,,,,0,,82,0,
16560,note_on,0,0,1,,,,,,,,,0,,80,64,
16800,note_on,0,0,1,,,,,,,,,0,,79,62,
16800,note_off,240,0,1,,,,,,,,,0,,80,0,
17040,note_off,240,0,1,,,,,,,,,0,,79,0,
17040,note_on,0,0,1,,,,,,,,,0,,77,60,
17280,note_on,0,0,1,,,,,,,,,0,,75,58,
17280,note_off,240,0,1,,,,,,,,,0,,77,0,
17280,note_on,960,0,4,,,,,,,,,3,,58,53,
17280,note_on,960,0,3,,,,,,,,,2,,67,53,
17280,note_on,0,0,3,,,,,,,,,2,,63,53,
17520,note_on,0,0,1,,,,,,,,,0,,74,56,
17520,note_off,240,0,1,,,,,,,,,0,,75,0,
17760,note_off,480,0,4,,,,,,,,,3,,58,0,
17760,note_off,240,0,1,,,,,,,,,0,,74,0,
17760,note_on,0,0,1,,,,,,,,,0,,77,54,
17760,note_off,0,0,3,,,,,,,,,2,,67,0,
17760,note_off,480,0,3,,,,,,,,,2,,63,0,
18000,note_on,240,0,4,,,,,,,,,3,,58,48,
18000,note_on,240,0,3,,,,,,,,,2,,68,48,
18000,note_on,0,0,3,,,,,,,,,2,,65,48,
18000,note_on,0,0,1,,,,,,,,,0,,80,52,
18000,note_off,240,0,1,,,,,,,,,0,,77,0,
18240,note_on,0,0,1,,,,,,,,,0,,77,50,
18240,note_off,240,0,1,,,,,,,,,0,,80,0,
18480,note_off,480,0,3,,,,,,,,,2,,65,0,
18480,note_off,240,0,1,,,,,,,,,0,,77,0,
18480,note_on,0,0,1,,,,,,,,,0,,74,48,
18480,note_off,480,0,4,,,,,,,,,3,,58,0,
18480,note_off,0,0,3,,,,,,,,,2,,68,0,
18600,set_tempo,3480,1,0,,,,,,327868,,,,,,,
18720,note_on,240,0,4,,,,,,,,,3,,63,47,
18720,note_off,240,0,1,,,,,,,,,0,,74,0,
18720,note_on,0,0,1,,,,,,,,,0,,75,46,
18885,set_tempo,285,1,0,,,,,,324324,,,,,,,
18960,note_on,0,0,4,,,,,,,,,3,,62,48,
18960,note_off,240,0,4,,,,,,,,,3,,63,0,
19200,note_off,240,0,4,,,,,,,,,3,,62,0,
19200,note_on,0,0,4,,,,,,,,,3,,65,50,
19200,note_off,480,0,1,,,,,,,,,0,,75,0,
19440,note_on,240,0,1,,,,,,,,,0,,79,50,
19440,note_off,240,0,4,,,,,,,,,3,,65,0,
19440,note_on,0,0,2,,,,,,,,,1,,67,50,
19440,note_on,13200,0,2,,,,,,,,,1,,75,50,
19440,note_on,0,0,4,,,,,,,,,3,,63,52,
19680,note_on,0,0,4,,,,,,,,,3,,62,54,
19680,note_off,240,0,4,,,,,,,,,3,,63,0,
19920,note_on,0,0,4,,,,,,,,,3,,65,55,
19920,note_off,240,0,4,,,,,,,,,3,,62,0,
20160,note_on,0,0,4,,,,,,,,,3,,63,57,
20160,note_off,240,0,4,,,,,,,,,3,,65,0,
20400,note_off,240,0,4,,,,,,,,,3,,63,0,
20400,note_on,0,0,4,,,,,,,,,3,,62,59,
20640,note_off,240,0,4,,,,,,,,,3,,62,0,
20640,note_on,0,0,4,,,,,,,,,3,,65,61,
20880,note_off,240,0,4,,,,,,,,,3,,65,0,
20880,note_on,0,0,2,,,,,,,,,1,,68,61,
20880,note_on,0,0,4,,,,,,,,,3,,63,62,
20880,note_off,0,0,2,,,,,,,,,1,,75,0,
20880,note_off,1440,0,2,,,,,,,,,1,,67,0,
20880,note_on,0,0,2,,,,,,,,,1,,75,61,
20880,note_off,1440,0,1,,,,,,,,,0,,79,0,
20880,note_on,0,0,1,,,,,,,,,0,,80,61,
21120,note_on,0,0,4,,,,,,,,,3,,62,64,
21120,note_off,240,0,4,,,,,,,,,3,,63,0,
21360,note_on,0,0,4,,,,,,,,,3,,60,66,
21360,note_off,240,0,4,,,,,,,,,3,,62,0,
21600,note_off,0,0,2,,,,,,,,,1,,75,0,
21600,note_on,0,0,2,,,,,,,,,1,,79,66,
21600,note_on,0,0,2,,,,,,,,,1,,75,66,
21600,note_on,0,0,2,,,,,,,,,1,,70,66,
21600,note_off,720,0,2,,,,,,,,,1,,68,0,
21600,note_on,0,0,1,,,,,,,,,0,,82,66,
21600,note_on,0,0,4,,,,,,,,,3,,58,68,
21600,note_off,240,0,4,,,,,,,,,3,,60,0,
21600,note_off,720,0,1,,,,,,,,,0,,80,0,
21840,note_on,0,0,4,,,,,,,,,3,,57,70,
21840,note_off,240,0,4,,,,,,,,,3,,58,0,
22080,note_off,240,0,4,,,,,,,,,3,,57,0,
22080,note_on,0,0,4,,,,,,,,,3,,60,71,
22320,note_off,240,0,4,,,,,,,,,3,,60,0,
22320,note_on,0,0,4,,,,,,,,,3,,58,73,
22560,note_off,240,0,4,,,,,,,,,3,,58,0,
22560,note_on,0,0,4,,,,,,,,,3,,56,75,
22800,note_on,0,0,4,,,,,,,,,3,,55,77,
22800,note_off,240,0,4,,,,,,,,,3,,56,0,
22920,set_tempo,4035,1,0,,,,,,327868,,,,,,,
23040,note_off,240,0,4,,,,,,,,,3,,55,0,
23040,note_on,0,0,4,,,,,,,,,3,,46,86,
23040,note_on,0,0,4,,,,,,,,,3,,53,82,
23040,set_tempo,120,1,0,,,,,,324324,,,,,,,
23040,note_off,1440,0,2,,,,,,,,,1,,70,0,
23040,note_off,1440,0,1,,,,,,,,,0,,82,0,
23040,note_off,0,0,2,,,,,,,,,1,,79,0,
23040,note_on,0,0,2,,,,,,,,,1,,68,76,
23040,note_on,0,0,2,,,,,,,,,1,,70,76,
23040,note_on,0,0,2,,,,,,,,,1,,62,76,
23040,note_off,0,0,2,,,,,,,,,1,,75,0,
23040,note_on,0,0,1,,,,,,,,,0,,74,82,
23280,note_off,240,0,4,,,,,,,,,3,,53,0,
23280,note_on,0,0,4,,,,,,,,,3,,55,75,
23520,note_off,240,0,4,,,,,,,,,3,,55,0,
23520,note_on,0,0,4,,,,,,,,,3,,56,70,
23760,note_off,240,0,4,,,,,,,,,3,,56,0,
23760,note_on,0,0,4,,,,,,,,,3,,58,64,
24000,note_on,0,0,4,,,,,,,,,3,,53,59,
24000,note_off,240,0,4,,,,,,,,,3,,58,0,
24240,note_off,240,0,4,,,,,,,,,3,,53,0,
24240,note_on,0,0,4,,,,,,,,,3,,56,53,
24360,set_tempo,1320,1,0,,,,,,327868,,,,,,,
24480,note_off,1440,0,1,,,,,,,,,0,,74,0,
24480,note_on,0,0,2,,,,,,,,,1,,63,55,
24480,note_on,0,0,2,,,,,,,,,1,,70,55,
24480,note_on,0,0,2,,,,,,,,,1,,67,55,
24480,note_off,0,0,2,,,,,,,,,1,,68,0,
24480,note_on,0,0,1,,,,,,,,,0,,75,55,
24480,note_off,1440,0,2,,,,,,,,,1,,62,0,
24480,note_on,0,0,4,,,,,,,,,3,,55,48,
24480,note_on,0,0,4,,,,,,,,,3,,51,51,
24480,note_off,0,0,4,,,,,,,,,3,,46,0,
24480,note_off,240,0,4,,,,,,,,,3,,56,0,
24480,note_off,0,0,2,,,,,,,,,1,,70,0,
24585,set_tempo,225,1,0,,,,,,324324,,,,,,,
24720,note_on,0,0,4,,,,,,,,,3,,53,49,
24720,note_off,240,0,4,,,,,,,,,3,,55,0,
24960,note_off,480,0,2,,,,,,,,,1,,63,0,
24960,note_off,0,0,2,,,,,,,,,1,,67,0,
24960,note_off,0,0,2,,,,,,,,,1,,70,0,
24960,note_off,480,0,1,,,,,,,,,0,,75,0,
24960,note_off,240,0,4,,,,,,,,,3,,53,0,
24960,note_off,0,0,4,,,,,,,,,3,,51,0,
24960,note_on,0,0,4,,,,,,,,,3,,55,50,
25200,note_off,240,0,4,,,,,,,,,3,,55,0,
25200,note_on,0,0,4,,,,,,,,,3,,56,51,
25440,note_on,0,0,4,,,,,,,,,3,,58,52,
25440,note_off,240,0,4,,,,,,,,,3,,56,0,
25680,note_off,240,0,4,,,,,,,,,3,,58,0,
25680,note_on,0,0,4,,,,,,,,,3,,60,53,
25920,note_off,240,0,4,,,,,,,,,3,,60,0,
25920,note_on,0,0,4,,,,,,,,,3,,62,54,
26160,note_off,240,0,4,,,,,,,,,3,,62,0,
26160,note_on,0,0,4,,,,,,,,,3,,63,55,
26400,note_off,240,0,4,,,,,,,,,3,,63,0,
26400,note_on,0,0,4,,,,,,,,,3,,65,57,
26640,note_on,1680,0,1,,,,,,,,,0,,75,53,
26640,note_on,0,0,4,,,,,,,,,3,,67,58,
26640,note_off,240,0,4,,,,,,,,,3,,65,0,
26880,note_on,0,0,1,,,,,,,,,0,,77,54,
26880,note_off,240,0,1,,,,,,,,,0,,75,0,
26880,note_off,240,0,4,,,,,,,,,3,,67,0,
26880,note_on,0,0,4,,,,,,,,,3,,68,59,
27120,note_on,0,0,1,,,,,,,,,0,,79,55,
27120,note_off,240,0,4,,,,,,,,,3,,68,0,
27120,note_on,0,0,4,,,,,,,,,3,,70,60,
27120,note_off,240,0,1,,,,,,,,,0,,77,0,
27360,note_off,240,0,4,,,,,,,,,3,,70,0,
27360,note_on,0,0,4,,,,,,,,,3,,68,63,
27360,note_off,240,0,1,,,,,,,,,0,,79,0,
27360,note_on,0,0,1,,,,,,,,,0,,77,59,
27600,note_off,240,0,1,,,,,,,,,0,,77,0,
27600,note_on,0,0,4,,,,,,,,,3,,67,61,
27600,note_off,240,0,4,,,,,,,,,3,,68,0,
27600,note_on,0,0,1,,,,,,,,,0,,75,58,
27840,note_on,0,0,4,,,,,,,,,3,,65,59,
27840,note_off,240,0,1,,,,,,,,,0,,75,0,
27840,note_on,0,0,1,,,,,,,,,0,,74,56,
27840,note_off,240,0,4,,,,,,,,,3,,67,0,
28080,note_off,240,0,1,,,,,,,,,0,,74,0,
28080,note_on,0,0,1,,,,,,,,,0,,72,55,
28080,note_on,0,0,4,,,,,,,,,3,,63,58,
28080,note_off,240,0,4,,,,,,,,,3,,65,0,
28320,note_off,240,0,1,,,,,,,,,0,,72,0,
28320,note_on,0,0,4,,,,,,,,,3,,62,56,
28320,note_on,0,0,1,,,,,,,,,0,,70,53,
28320,note_off,240,0,4,,,,,,,,,3,,63,0,
28560,note_on,0,0,4,,,,,,,,,3,,60,54,
28560,note_off,240,0,4,,,,,,,,,3,,62,0,
28560,note_off,240,0,1,,,,,,,,,0,,70,0,
28560,note_on,0,0,1,,,,,,,,,0,,68,52,
28800,note_on,0,0,4,,,,,,,,,3,,58,52,
28800,note_off,240,0,1,,,,,,,,,0,,68,0,
28800,note_on,0,0,1,,,,,,,,,0,,67,51,
28800,note_off,240,0,4,,,,,,,,,3,,60,0,
29040,note_on,0,0,4,,,,,,,,,3,,60,50,
29040,note_off,240,0,4,,,,,,,,,3,,58,0,
29040,note_off,240,0,1,,,,,,,,,0,,67,0,
29040,note_on,0,0,1,,,,,,,,,0,,68,49,
29280,note_off,240,0,4,,,,,,,,,3,,60,0,
29280,note_off,240,0,1,,,,,,,,,0,,68,0,
29280,note_on,0,0,1,,,,,,,,,0,,67,48,
29280,note_on,0,0,4,,,,,,,,,3,,58,48,
29520,note_off,240,0,4,,,,,,,,,3,,58,0,
29520,note_on,0,0,1,,,,,,,,,0,,65,46,
29520,note_on,0,0,4,,,,,,,,,3,,56,46,
29520,note_off,240,0,1,,,,,,,,,0,,67,0,
29760,note_on,0,0,1,,,,,,,,,0,,63,45,
29760,note_off,240,0,1,,,,,,,,,0,,65,0,
29760,note_on,0,0,4,,,,,,,,,3,,55,45,
29760,note_off,240,0,4,,,,,,,,,3,,56,0,
30000,note_off,240,0,1,,,,,,,,,0,,63,0,
30000,note_on,0,0,1,,,,,,,,,0,,62,44,
30000,note_off,240,0,4,,,,,,,,,3,,55,0,
30000,note_on,0,0,4,,,,,,,,,3,,53,43,
30120,set_tempo,5535,1,0,,,,,,327868,,,,,,,
30240,note_off,240,0,1,,,,,,,,,0,,62,0,
30240,note_off,240,0,4,,,,,,,,,3,,53,0,
30240,note_on,0,0,4,,,,,,,,,3,,51,41,
