tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
120,note_on,120,0,2,,,,,,,,,,,1,,59,70
121,note_on,1,0,2,,,,,,,,,,,1,,54,0
240,note_on,119,0,2,,,,,,,,,,,1,,52,70
241,note_on,1,0,2,,,,,,,,,,,1,,59,0
330,note_on,89,0,2,,,,,,,,,,,1,,54,70
331,note_on,1,0,2,,,,,,,,,,,1,,52,0
360,note_on,29,0,2,,,,,,,,,,,1,,55,70
361,note_on,1,0,2,,,,,,,,,,,1,,54,0
480,note_on,119,0,2,,,,,,,,,,,1,,49,70
481,note_on,1,0,2,,,,,,,,,,,1,,55,0
600,note_on,119,0,2,,,,,,,,,,,1,,54,70
601,note_on,1,0,2,,,,,,,,,,,1,,49,0
720,note_on,119,0,2,,,,,,,,,,,1,,50,70
720,note_on,720,0,1,,,,,,,,,,,0,,78,70
721,note_on,1,0,2,,,,,,,,,,,1,,54,0
810,note_on,89,0,2,,,,,,,,,,,1,,49,70
811,note_on,1,0,2,,,,,,,,,,,1,,50,0
840,note_on,29,0,2,,,,,,,,,,,1,,47,70
841,note_on,1,0,2,,,,,,,,,,,1,,49,0
960,note_on,119,0,2,,,,,,,,,,,1,,46,70
960,note_on,240,0,1,,,,,,,,,,,0,,73,70
961,note_on,1,0,2,,,,,,,,,,,1,,47,0
1050,note_on,90,0,1,,,,,,,,,,,0,,74,70
1051,note_on,1,0,1,,,,,,,,,,,0,,73,0
1080,note_on,119,0,2,,,,,,,,,,,1,,42,70
1080,note_on,29,0,1,,,,,,,,,,,0,,76,70
1081,note_on,1,0,2,,,,,,,,,,,1,,46,0
1081,note_on,1,0,1,,,,,,,,,,,0,,74,0
1200,note_on,119,0,1,,,,,,,,,,,0,,74,70
1200,note_on,119,0,2,,,,,,,,,,,1,,47,70
1201,note_on,1,0,1,,,,,,,,,,,0,,76,0
1201,note_on,1,0,2,,,,,,,,,,,1,,42,0
1206,note_on,5,0,1,,,,,,,,,,,0,,78,0
1290,note_on,84,0,1,,,,,,,,,,,0,,73,70
1291,note_on,1,0,1,,,,,,,,,,,0,,74,0
1320,note_on,119,0,2,,,,,,,,,,,1,,51,70
1320,note_on,29,0,1,,,,,,,,,,,0,,71,70
1321,note_on,1,0,2,,,,,,,,,,,1,,47,0
1321,note_on,1,0,1,,,,,,,,,,,0,,73,0
1440,note_on,119,0,2,,,,,,,,,,,1,,52,70
1440,note_on,0,0,1,,,,,,,,,,,0,,79,70
1440,note_on,119,0,1,,,,,,,,,,,0,,71,70
1441,note_on,1,0,1,,,,,,,,,,,0,,71,0
1441,note_on,1,0,2,,,,,,,,,,,1,,51,0
1530,note_on,89,0,1,,,,,,,,,,,0,,78,70
1531,note_on,1,0,1,,,,,,,,,,,0,,79,0
1560,note_on,0,0,1,,,,,,,,,,,0,,76,70
1560,note_on,29,0,1,,,,,,,,,,,0,,71,70
1560,note_on,119,0,2,,,,,,,,,,,1,,55,70
1561,note_on,0,0,1,,,,,,,,,,,0,,71,0
1561,note_on,1,0,1,,,,,,,,,,,0,,78,0
1561,note_on,1,0,2,,,,,,,,,,,1,,52,0
1650,note_on,89,0,1,,,,,,,,,,,0,,74,70
1651,note_on,1,0,1,,,,,,,,,,,0,,76,0
1680,note_on,29,0,1,,,,,,,,,,,0,,74,70
1680,note_on,119,0,2,,,,,,,,,,,1,,53,70
1681,note_on,1,0,2,,,,,,,,,,,1,,55,0
1681,note_on,1,0,1,,,,,,,,,,,0,,74,0
1800,note_on,119,0,1,,,,,,,,,,,0,,70,70
1800,note_on,0,0,1,,,,,,,,,,,0,,73,70
1800,note_on,119,0,2,,,,,,,,,,,1,,54,70
1801,note_on,1,0,1,,,,,,,,,,,0,,74,0
1801,note_on,1,0,2,,,,,,,,,,,1,,53,0
1802,note_on,1,0,1,,,,,,,,,,,0,,71,0
1920,note_on,119,0,2,,,,,,,,,,,1,,54,70
1921,note_on,1,0,2,,,,,,,,,,,1,,54,0
1921,note_on,0,0,1,,,,,,,,,,,0,,73,0
1921,note_on,119,0,1,,,,,,,,,,,0,,70,0
2040,note_on,119,0,2,,,,,,,,,,,1,,59,70
2041,note_on,1,0,2,,,,,,,,,,,1,,54,0
2160,note_on,119,0,2,,,,,,,,,,,1,,52,70
2161,note_on,1,0,2,,,,,,,,,,,1,,59,0
2250,note_on,89,0,2,,,,,,,,,,,1,,54,70
2251,note_on,1,0,2,,,,,,,,,,,1,,52,0
2280,note_on,29,0,2,,,,,,,,,,,1,,55,70
2281,note_on,1,0,2,,,,,,,,,,,1,,54,0
2400,note_on,119,0,2,,,,,,,,,,,1,,49,70
2401,note_on,1,0,2,,,,,,,,,,,1,,55,0
2520,note_on,119,0,2,,,,,,,,,,,1,,54,70
2521,note_on,1,0,2,,,,,,,,,,,1,,49,0
2640,note_on,719,0,1,,,,,,,,,,,0,,78,70
2640,note_on,119,0,2,,,,,,,,,,,1,,50,70
2641,note_on,1,0,2,,,,,,,,,,,1,,54,0
2730,note_on,89,0,2,,,,,,,,,,,1,,49,70
2731,note_on,1,0,2,,,,,,,,,,,1,,50,0
2760,note_on,29,0,2,,,,,,,,,,,1,,47,70
2761,note_on,1,0,2,,,,,,,,,,,1,,49,0
2880,note_on,240,0,1,,,,,,,,,,,0,,73,70
2880,note_on,119,0,2,,,,,,,,,,,1,,46,70
2881,note_on,1,0,2,,,,,,,,,,,1,,47,0
2970,note_on,90,0,1,,,,,,,,,,,0,,74,70
2971,note_on,1,0,1,,,,,,,,,,,0,,73,0
3000,note_on,119,0,2,,,,,,,,,,,1,,42,70
3000,note_on,29,0,1,,,,,,,,,,,0,,76,70
3001,note_on,1,0,2,,,,,,,,,,,1,,46,0
3001,note_on,1,0,1,,,,,,,,,,,0,,74,0
3120,note_on,119,0,2,,,,,,,,,,,1,,47,70
3120,note_on,119,0,1,,,,,,,,,,,0,,74,70
3121,note_on,1,0,1,,,,,,,,,,,0,,76,0
3121,note_on,1,0,2,,,,,,,,,,,1,,42,0
3126,note_on,5,0,1,,,,,,,,,,,0,,78,0
3210,note_on,84,0,1,,,,,,,,,,,0,,73,70
3211,note_on,1,0,1,,,,,,,,,,,0,,74,0
3240,note_on,119,0,2,,,,,,,,,,,1,,51,70
3240,note_on,29,0,1,,,,,,,,,,,0,,71,70
3241,note_on,1,0,1,,,,,,,,,,,0,,73,0
3241,note_on,1,0,2,,,,,,,,,,,1,,47,0
3360,note_on,119,0,1,,,,,,,,,,,0,,71,70
3360,note_on,119,0,2,,,,,,,,,,,1,,52,70
3360,note_on,0,0,1,,,,,,,,,,,0,,79,70
3361,note_on,1,0,2,,,,,,,,,,,1,,51,0
3361,note_on,1,0,1,,,,,,,,,,,0,,71,0
3450,note_on,89,0,1,,,,,,,,,,,0,,78,70
3451,note_on,1,0,1,,,,,,,,,,,0,,79,0
3480,note_on,119,0,2,,,,,,,,,,,1,,55,70
3480,note_on,29,0,1,,,,,,,,,,,0,,71,70
3480,note_on,0,0,1,,,,,,,,,,,0,,76,70
3481,note_on,1,0,2,,,,,,,,,,,1,,52,0
3481,note_on,1,0,1,,,,,,,,,,,0,,78,0
3481,note_on,0,0,1,,,,,,,,,,,0,,71,0
3570,note_on,89,0,1,,,,,,,,,,,0,,74,70
3571,note_on,1,0,1,,,,,,,,,,,0,,76,0
3600,note_on,119,0,2,,,,,,,,,,,1,,53,70
3600,note_on,29,0,1,,,,,,,,,,,0,,74,70
3601,note_on,1,0,2,,,,,,,,,,,1,,55,0
3601,note_on,1,0,1,,,,,,,,,,,0,,74,0
3720,note_on,119,0,2,,,,,,,,,,,1,,54,70
3720,note_on,119,0,1,,,,,,,,,,,0,,70,70
3720,note_on,0,0,1,,,,,,,,,,,0,,73,70
3721,note_on,1,0,2,,,,,,,,,,,1,,53,0
3721,note_on,1,0,1,,,,,,,,,,,0,,74,0
3722,note_on,1,0,1,,,,,,,,,,,0,,71,0
3840,note_on,0,0,1,,,,,,,,,,,0,,74,70
3840,note_on,118,0,1,,,,,,,,,,,0,,69,70
3840,note_on,119,0,2,,,,,,,,,,,1,,54,70
3841,note_on,0,0,1,,,,,,,,,,,0,,73,0
3841,note_on,1,0,1,,,,,,,,,,,0,,70,0
3841,note_on,1,0,2,,,,,,,,,,,1,,54,0
3960,note_on,119,0,2,,,,,,,,,,,1,,50,70
3960,note_on,119,0,1,,,,,,,,,,,0,,78,70
3961,note_on,1,0,2,,,,,,,,,,,1,,54,0
3961,note_on,1,0,1,,,,,,,,,,,0,,74,0
4080,note_on,119,0,1,,,,,,,,,,,0,,73,70
4080,note_on,119,0,2,,,,,,,,,,,1,,57,70
4081,note_on,1,0,2,,,,,,,,,,,1,,50,0
4082,note_on,2,0,1,,,,,,,,,,,0,,69,0
4200,note_on,118,0,1,,,,,,,,,,,0,,76,70
4200,note_on,119,0,2,,,,,,,,,,,1,,45,70
4201,note_on,1,0,2,,,,,,,,,,,1,,57,0
4202,note_on,2,0,1,,,,,,,,,,,0,,78,0
4260,note_on,58,0,1,,,,,,,,,,,0,,72,70
4262,note_on,2,0,1,,,,,,,,,,,0,,73,0
4320,note_on,0,0,1,,,,,,,,,,,0,,71,70
4320,note_on,58,0,1,,,,,,,,,,,0,,72,0
4320,note_on,119,0,2,,,,,,,,,,,1,,55,70
4321,note_on,1,0,2,,,,,,,,,,,1,,45,0
4440,note_on,119,0,2,,,,,,,,,,,1,,52,70
4440,note_on,120,0,1,,,,,,,,,,,0,,79,70
4441,note_on,1,0,2,,,,,,,,,,,1,,55,0
4442,note_on,2,0,1,,,,,,,,,,,0,,76,0
4560,note_on,119,0,2,,,,,,,,,,,1,,59,70
4560,note_on,118,0,1,,,,,,,,,,,0,,75,70
4561,note_on,1,0,2,,,,,,,,,,,1,,52,0
4562,note_on,2,0,1,,,,,,,,,,,0,,71,0
4680,note_on,118,0,1,,,,,,,,,,,0,,78,70
4680,note_on,119,0,2,,,,,,,,,,,1,,47,70
4681,note_on,1,0,2,,,,,,,,,,,1,,59,0
4682,note_on,2,0,1,,,,,,,,,,,0,,79,0
4740,note_on,58,0,1,,,,,,,,,,,0,,74,70
4742,note_on,2,0,1,,,,,,,,,,,0,,75,0
4800,note_on,58,0,1,,,,,,,,,,,0,,79,70
4800,note_on,119,0,2,,,,,,,,,,,1,,59,70
4801,note_on,1,0,2,,,,,,,,,,,1,,47,0
4801,note_on,1,0,1,,,,,,,,,,,0,,78,0
4920,note_on,119,0,2,,,,,,,,,,,1,,55,70
4920,note_on,119,0,1,,,,,,,,,,,0,,83,70
4920,note_on,0,0,1,,,,,,,,,,,0,,79,70
4921,note_on,1,0,1,,,,,,,,,,,0,,79,0
4921,note_on,1,0,2,,,,,,,,,,,1,,59,0
4982,note_on,61,0,1,,,,,,,,,,,0,,74,0
5040,note_on,119,0,2,,,,,,,,,,,1,,62,70
5041,note_on,1,0,2,,,,,,,,,,,1,,55,0
5041,note_on,59,0,1,,,,,,,,,,,0,,79,0
5160,note_on,119,0,2,,,,,,,,,,,1,,50,70
5160,note_on,119,0,1,,,,,,,,,,,0,,81,70
5161,note_on,1,0,2,,,,,,,,,,,1,,62,0
5162,note_on,2,0,1,,,,,,,,,,,0,,83,0
5280,note_on,119,0,2,,,,,,,,,,,1,,57,70
5281,note_on,1,0,2,,,,,,,,,,,1,,50,0
5400,note_on,238,0,1,,,,,,,,,,,0,,79,70
5400,note_on,119,0,2,,,,,,,,,,,1,,45,70
5402,note_on,2,0,1,,,,,,,,,,,0,,81,0
5403,note_on,3,0,2,,,,,,,,,,,1,,57,0
5520,note_on,117,0,2,,,,,,,,,,,1,,50,70
5520,note_on,118,0,1,,,,,,,,,,,0,,69,70
5523,note_on,3,0,2,,,,,,,,,,,1,,45,0
5640,note_on,120,0,1,,,,,,,,,,,0,,74,70
5640,note_on,0,0,1,,,,,,,,,,,0,,78,70
5640,note_on,117,0,2,,,,,,,,,,,1,,38,70
5643,note_on,3,0,1,,,,,,,,,,,0,,69,0
5643,note_on,3,0,2,,,,,,,,,,,1,,50,0
5646,note_on,3,0,1,,,,,,,,,,,0,,79,0
5760,note_on,114,0,1,,,,,,,,,,,0,,70,70
5760,note_on,117,0,2,,,,,,,,,,,1,,42,70
5763,note_on,3,0,2,,,,,,,,,,,1,,38,0
5763,note_on,3,0,1,,,,,,,,,,,0,,74,0
5880,note_on,0,0,1,,,,,,,,,,,0,,76,70
5880,note_on,117,0,1,,,,,,,,,,,0,,73,70
5880,note_on,117,0,2,,,,,,,,,,,1,,54,70
5883,note_on,3,0,2,,,,,,,,,,,1,,42,0
5883,note_on,3,0,1,,,,,,,,,,,0,,70,0
5886,note_on,3,0,1,,,,,,,,,,,0,,78,0
6000,note_on,117,0,2,,,,,,,,,,,1,,47,70
6000,note_on,114,0,1,,,,,,,,,,,0,,66,70
6003,note_on,3,0,1,,,,,,,,,,,0,,73,0
6003,note_on,3,0,2,,,,,,,,,,,1,,54,0
6120,note_on,0,0,1,,,,,,,,,,,0,,74,70
6120,note_on,117,0,1,,,,,,,,,,,0,,71,70
6120,note_on,117,0,2,,,,,,,,,,,1,,59,70
6123,note_on,3,0,1,,,,,,,,,,,0,,66,0
6123,note_on,3,0,2,,,,,,,,,,,1,,47,0
6126,note_on,3,0,1,,,,,,,,,,,0,,76,0
6240,note_on,117,0,2,,,,,,,,,,,1,,54,70
6240,note_on,0,0,2,,,,,,,,,,,1,,54,70
6240,note_on,114,0,1,,,,,,,,,,,0,,73,70
6243,note_on,3,0,2,,,,,,,,,,,1,,59,0
6243,note_on,3,0,1,,,,,,,,,,,0,,74,0
6360,note_on,117,0,2,,,,,,,,,,,1,,64,70
6360,note_on,117,0,1,,,,,,,,,,,0,,78,70
6360,note_on,0,0,1,,,,,,,,,,,0,,70,70
6363,note_on,3,0,2,,,,,,,,,,,1,,54,0
6363,note_on,3,0,1,,,,,,,,,,,0,,73,0
6480,note_on,0,0,2,,,,,,,,,,,1,,62,70
6480,note_on,117,0,2,,,,,,,,,,,1,,59,70
6480,note_on,117,0,1,,,,,,,,,,,0,,83,70
6480,note_on,0,0,1,,,,,,,,,,,0,,71,70
6481,note_on,1,0,1,,,,,,,,,,,0,,71,0
6483,note_on,3,0,2,,,,,,,,,,,1,,64,0
6483,note_on,0,0,1,,,,,,,,,,,0,,78,0
6483,note_on,2,0,1,,,,,,,,,,,0,,70,0
6486,note_on,3,0,2,,,,,,,,,,,1,,54,0
6600,note_on,0,0,2,,,,,,,,,,,1,,57,70
6600,note_on,117,0,1,,,,,,,,,,,0,,67,70
6600,note_on,114,0,2,,,,,,,,,,,1,,64,70
6603,note_on,3,0,1,,,,,,,,,,,0,,71,0
6603,note_on,3,0,2,,,,,,,,,,,1,,59,0
6603,note_on,0,0,2,,,,,,,,,,,1,,62,0
6660,note_on,57,0,1,,,,,,,,,,,0,,73,70
6663,note_on,3,0,1,,,,,,,,,,,0,,83,0
6720,note_on,0,0,1,,,,,,,,,,,0,,74,70
6720,note_on,0,0,1,,,,,,,,,,,0,,69,70
6720,note_on,57,0,1,,,,,,,,,,,0,,73,0
6720,note_on,117,0,2,,,,,,,,,,,1,,54,70
6723,note_on,3,0,1,,,,,,,,,,,0,,67,0
6723,note_on,3,0,2,,,,,,,,,,,1,,64,0
6723,note_on,0,0,2,,,,,,,,,,,1,,57,0
6840,note_on,117,0,1,,,,,,,,,,,0,,78,70
6840,note_on,117,0,2,,,,,,,,,,,1,,50,70
6841,note_on,1,0,1,,,,,,,,,,,0,,74,0
6841,note_on,1,0,2,,,,,,,,,,,1,,54,0
6960,note_on,119,0,2,,,,,,,,,,,1,,57,70
6960,note_on,119,0,1,,,,,,,,,,,0,,73,70
6961,note_on,1,0,2,,,,,,,,,,,1,,50,0
6962,note_on,2,0,1,,,,,,,,,,,0,,69,0
7080,note_on,119,0,2,,,,,,,,,,,1,,45,70
7080,note_on,118,0,1,,,,,,,,,,,0,,76,70
7081,note_on,1,0,2,,,,,,,,,,,1,,57,0
7082,note_on,2,0,1,,,,,,,,,,,0,,78,0
7140,note_on,58,0,1,,,,,,,,,,,0,,72,70
7142,note_on,2,0,1,,,,,,,,,,,0,,73,0
7200,note_on,0,0,1,,,,,,,,,,,0,,71,70
7200,note_on,58,0,1,,,,,,,,,,,0,,72,0
7200,note_on,119,0,2,,,,,,,,,,,1,,55,70
7201,note_on,1,0,2,,,,,,,,,,,1,,45,0
7320,note_on,120,0,1,,,,,,,,,,,0,,79,70
7320,note_on,119,0,2,,,,,,,,,,,1,,52,70
7321,note_on,1,0,2,,,,,,,,,,,1,,55,0
7322,note_on,2,0,1,,,,,,,,,,,0,,76,0
7440,note_on,119,0,2,,,,,,,,,,,1,,59,70
7440,note_on,118,0,1,,,,,,,,,,,0,,75,70
7441,note_on,1,0,2,,,,,,,,,,,1,,52,0
7442,note_on,2,0,1,,,,,,,,,,,0,,71,0
7560,note_on,119,0,2,,,,,,,,,,,1,,47,70
7560,note_on,118,0,1,,,,,,,,,,,0,,78,70
7561,note_on,1,0,2,,,,,,,,,,,1,,59,0
7562,note_on,2,0,1,,,,,,,,,,,0,,79,0
7620,note_on,58,0,1,,,,,,,,,,,0,,74,70
7622,note_on,2,0,1,,,,,,,,,,,0,,75,0
7680,note_on,119,0,2,,,,,,,,,,,1,,59,70
7680,note_on,58,0,1,,,,,,,,,,,0,,79,70
7681,note_on,1,0,1,,,,,,,,,,,0,,78,0
7681,note_on,1,0,2,,,,,,,,,,,1,,47,0
7800,note_on,119,0,2,,,,,,,,,,,1,,55,70
7800,note_on,0,0,1,,,,,,,,,,,0,,79,70
7800,note_on,119,0,1,,,,,,,,,,,0,,83,70
7801,note_on,1,0,1,,,,,,,,,,,0,,79,0
7801,note_on,1,0,2,,,,,,,,,,,1,,59,0
7862,note_on,61,0,1,,,,,,,,,,,0,,74,0
7920,note_on,119,0,2,,,,,,,,,,,1,,62,70
7921,note_on,59,0,1,,,,,,,,,,,0,,79,0
7921,note_on,1,0,2,,,,,,,,,,,1,,55,0
8040,note_on,119,0,2,,,,,,,,,,,1,,50,70
8040,note_on,119,0,1,,,,,,,,,,,0,,81,70
8041,note_on,1,0,2,,,,,,,,,,,1,,62,0
8042,note_on,2,0,1,,,,,,,,,,,0,,83,0
8160,note_on,119,0,2,,,,,,,,,,,1,,57,70
8161,note_on,1,0,2,,,,,,,,,,,1,,50,0
8280,note_on,238,0,1,,,,,,,,,,,0,,79,70
8280,note_on,119,0,2,,,,,,,,,,,1,,45,70
8282,note_on,2,0,1,,,,,,,,,,,0,,81,0
8283,note_on,3,0,2,,,,,,,,,,,1,,57,0
8400,note_on,117,0,2,,,,,,,,,,,1,,50,70
8400,note_on,118,0,1,,,,,,,,,,,0,,69,70
8403,note_on,3,0,2,,,,,,,,,,,1,,45,0
8520,note_on,117,0,2,,,,,,,,,,,1,,38,70
8520,note_on,120,0,1,,,,,,,,,,,0,,74,70
8520,note_on,0,0,1,,,,,,,,,,,0,,78,70
8523,note_on,3,0,2,,,,,,,,,,,1,,50,0
8523,note_on,3,0,1,,,,,,,,,,,0,,69,0
8526,note_on,3,0,1,,,,,,,,,,,0,,79,0
8640,note_on,114,0,1,,,,,,,,,,,0,,70,70
8640,note_on,117,0,2,,,,,,,,,,,1,,42,70
8643,note_on,3,0,2,,,,,,,,,,,1,,38,0
8643,note_on,3,0,1,,,,,,,,,,,0,,74,0
8760,note_on,0,0,1,,,,,,,,,,,0,,76,70
8760,note_on,117,0,2,,,,,,,,,,,1,,54,70
8760,note_on,117,0,1,,,,,,,,,,,0,,73,70
8763,note_on,3,0,1,,,,,,,,,,,0,,70,0
8763,note_on,3,0,2,,,,,,,,,,,1,,42,0
8766,note_on,3,0,1,,,,,,,,,,,0,,78,0
8880,note_on,114,0,1,,,,,,,,,,,0,,66,70
8880,note_on,117,0,2,,,,,,,,,,,1,,47,70
8883,note_on,3,0,1,,,,,,,,,,,0,,73,0
8883,note_on,3,0,2,,,,,,,,,,,1,,54,0
9000,note_on,117,0,1,,,,,,,,,,,0,,71,70
9000,note_on,0,0,1,,,,,,,,,,,0,,74,70
9000,note_on,117,0,2,,,,,,,,,,,1,,59,70
9003,note_on,3,0,1,,,,,,,,,,,0,,66,0
9003,note_on,3,0,2,,,,,,,,,,,1,,47,0
9006,note_on,3,0,1,,,,,,,,,,,0,,76,0
9120,note_on,0,0,2,,,,,,,,,,,1,,54,70
9120,note_on,117,0,2,,,,,,,,,,,1,,54,70
9120,note_on,114,0,1,,,,,,,,,,,0,,73,70
9123,note_on,3,0,1,,,,,,,,,,,0,,74,0
9123,note_on,3,0,2,,,,,,,,,,,1,,59,0
9240,note_on,117,0,1,,,,,,,,,,,0,,78,70
9240,note_on,0,0,1,,,,,,,,,,,0,,70,70
9240,note_on,117,0,2,,,,,,,,,,,1,,64,70
9243,note_on,3,0,2,,,,,,,,,,,1,,54,0
9243,note_on,3,0,1,,,,,,,,,,,0,,73,0
9360,note_on,117,0,2,,,,,,,,,,,1,,59,70
9360,note_on,0,0,2,,,,,,,,,,,1,,62,70
9360,note_on,0,0,1,,,,,,,,,,,0,,71,70
9360,note_on,117,0,1,,,,,,,,,,,0,,83,70
9361,note_on,1,0,1,,,,,,,,,,,0,,71,0
9363,note_on,2,0,1,,,,,,,,,,,0,,70,0
9363,note_on,3,0,2,,,,,,,,,,,1,,64,0
9363,note_on,0,0,1,,,,,,,,,,,0,,78,0
9366,note_on,3,0,2,,,,,,,,,,,1,,54,0
9480,note_on,114,0,2,,,,,,,,,,,1,,64,70
9480,note_on,0,0,2,,,,,,,,,,,1,,57,70
9480,note_on,117,0,1,,,,,,,,,,,0,,67,70
9483,note_on,0,0,2,,,,,,,,,,,1,,62,0
9483,note_on,3,0,2,,,,,,,,,,,1,,59,0
9483,note_on,3,0,1,,,,,,,,,,,0,,71,0
9540,note_on,57,0,1,,,,,,,,,,,0,,73,70
9543,note_on,3,0,1,,,,,,,,,,,0,,83,0
9600,note_on,57,0,1,,,,,,,,,,,0,,73,0
9600,note_on,0,0,1,,,,,,,,,,,0,,71,70
9600,note_on,117,0,2,,,,,,,,,,,1,,54,70
9600,note_on,0,0,1,,,,,,,,,,,0,,74,70
9603,note_on,0,0,2,,,,,,,,,,,1,,57,0
9603,note_on,3,0,2,,,,,,,,,,,1,,64,0
9603,note_on,3,0,1,,,,,,,,,,,0,,67,0
9720,note_on,117,0,2,,,,,,,,,,,1,,64,70
9720,note_on,117,0,1,,,,,,,,,,,0,,70,70
9720,note_on,0,0,1,,,,,,,,,,,0,,78,70
9723,note_on,3,0,2,,,,,,,,,,,1,,54,0
9723,note_on,0,0,1,,,,,,,,,,,0,,71,0
9723,note_on,3,0,1,,,,,,,,,,,0,,74,0
9840,note_on,0,0,2,,,,,,,,,,,1,,59,70
9840,note_on,117,0,2,,,,,,,,,,,1,,62,70
9840,note_on,117,0,1,,,,,,,,,,,0,,71,70
9843,note_on,3,0,2,,,,,,,,,,,1,,64,0
9843,note_on,0,0,1,,,,,,,,,,,0,,78,0
9843,note_on,3,0,1,,,,,,,,,,,0,,70,0
9960,note_on,117,0,1,,,,,,,,,,,0,,66,70
9963,note_on,0,0,2,,,,,,,,,,,1,,62,0
9963,note_on,120,0,2,,,,,,,,,,,1,,59,0
9963,note_on,3,0,1,,,,,,,,,,,0,,71,0
10050,note_on,87,0,1,,,,,,,,,,,0,,64,70
10051,note_on,1,0,1,,,,,,,,,,,0,,66,0
10080,note_on,29,0,1,,,,,,,,,,,0,,63,70
10080,note_on,117,0,2,,,,,,,,,,,1,,54,70
10081,note_on,1,0,1,,,,,,,,,,,0,,64,0
10200,note_on,120,0,2,,,,,,,,,,,1,,59,70
10203,note_on,3,0,2,,,,,,,,,,,1,,54,0
10320,note_on,239,0,1,,,,,,,,,,,0,,67,70
10320,note_on,117,0,2,,,,,,,,,,,1,,52,70
10323,note_on,3,0,2,,,,,,,,,,,1,,59,0
10326,note_on,6,0,1,,,,,,,,,,,0,,63,0
10410,note_on,87,0,2,,,,,,,,,,,1,,54,70
10411,note_on,1,0,2,,,,,,,,,,,1,,52,0
10440,note_on,29,0,2,,,,,,,,,,,1,,55,70
10441,note_on,1,0,2,,,,,,,,,,,1,,54,0
10560,note_on,234,0,1,,,,,,,,,,,0,,58,70
10560,note_on,119,0,2,,,,,,,,,,,1,,49,70
10563,note_on,3,0,2,,,,,,,,,,,1,,55,0
10566,note_on,6,0,1,,,,,,,,,,,0,,67,0
10680,note_on,117,0,2,,,,,,,,,,,1,,54,70
10683,note_on,3,0,2,,,,,,,,,,,1,,49,0
10800,note_on,234,0,1,,,,,,,,,,,0,,59,70
10800,note_on,117,0,2,,,,,,,,,,,1,,50,70
10803,note_on,3,0,2,,,,,,,,,,,1,,54,0
10806,note_on,6,0,1,,,,,,,,,,,0,,58,0
10890,note_on,87,0,2,,,,,,,,,,,1,,49,70
10891,note_on,1,0,2,,,,,,,,,,,1,,50,0
10920,note_on,29,0,2,,,,,,,,,,,1,,47,70
10921,note_on,1,0,2,,,,,,,,,,,1,,49,0
11040,note_on,234,0,1,,,,,,,,,,,0,,78,70
11043,note_on,122,0,2,,,,,,,,,,,1,,47,0
