tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,data,control,value,channel,program,note,velocity
233,note_on,,,,,41,0,2,,,,,,,0,,69,0
237,note_on,,,,,4,0,2,,,,,,,0,,72,0
240,note_on,,,,,0,0,3,,,,,,,1,,57,30
240,note_on,,,,,0,0,3,,,,,,,1,,60,25
240,note_on,,,,,48,0,3,,,,,,,1,,65,38
242,note_on,,,,,0,0,3,,,,,,,1,,53,0
242,note_on,,,,,2,0,3,,,,,,,1,,41,0
264,note_on,,,,,27,0,2,,,,,,,0,,79,52
264,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
266,note_on,,,,,2,0,2,,,,,,,0,,77,0
271,note_on,,,,,5,0,2,,,,,,,0,,77,45
273,note_on,,,,,2,0,2,,,,,,,0,,79,0
276,note_on,,,,,3,0,2,,,,,,,0,,76,48
278,note_on,,,,,2,0,2,,,,,,,0,,77,0
282,note_on,,,,,4,0,2,,,,,,,0,,77,43
284,note_on,,,,,2,0,2,,,,,,,0,,76,0
288,note_on,,,,,0,0,3,,,,,,,1,,60,0
288,note_on,,,,,46,0,3,,,,,,,1,,57,0
288,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
288,note_on,,,,,0,0,3,,,,,,,1,,65,0
288,note_on,,,,,4,0,2,,,,,,,0,,81,45
288,note_on,,,,,0,0,3,,,,,,,1,,46,48
290,control_change,,,,,98,0,5,,,,,64,0,1,,,
290,note_on,,,,,2,0,2,,,,,,,0,,77,0
290,control_change,,,,,98,0,4,,,,,64,0,0,,,
292,control_change,,,,,2,0,5,,,,,64,127,1,,,
292,control_change,,,,,2,0,4,,,,,64,127,0,,,
312,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
324,note_on,,,,,34,0,2,,,,,,,0,,79,48
326,note_on,,,,,2,0,2,,,,,,,0,,81,0
336,note_on,,,,,10,0,2,,,,,,,0,,82,42
336,note_on,,,,,0,0,3,,,,,,,1,,58,28
336,note_on,,,,,0,0,3,,,,,,,1,,62,20
336,note_on,,,,,48,0,3,,,,,,,1,,67,35
338,note_on,,,,,2,0,2,,,,,,,0,,79,0
338,note_on,,,,,2,0,3,,,,,,,1,,46,0
360,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
372,note_on,,,,,34,0,2,,,,,,,0,,79,45
374,note_on,,,,,2,0,2,,,,,,,0,,82,0
384,note_on,,,,,10,0,2,,,,,,,0,,77,48
384,control_change,,,,,92,0,5,,,,,64,127,1,,,
384,note_on,,,,,0,0,3,,,,,,,1,,67,0
384,note_on,,,,,0,0,3,,,,,,,1,,48,40
384,note_on,,,,,0,0,3,,,,,,,1,,62,0
384,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
384,control_change,,,,,92,0,4,,,,,64,127,0,,,
384,note_on,,,,,46,0,3,,,,,,,1,,58,0
386,note_on,,,,,2,0,2,,,,,,,0,,79,0
386,control_change,,,,,2,0,4,,,,,64,0,0,,,
386,control_change,,,,,2,0,5,,,,,64,0,1,,,
388,control_change,,,,,2,0,4,,,,,64,127,0,,,
388,control_change,,,,,2,0,5,,,,,64,127,1,,,
408,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
432,note_on,,,,,0,0,3,,,,,,,1,,55,20
432,note_on,,,,,48,0,3,,,,,,,1,,64,35
432,note_on,,,,,0,0,3,,,,,,,1,,60,32
434,note_on,,,,,2,0,3,,,,,,,1,,48,0
444,note_on,,,,,58,0,2,,,,,,,0,,76,52
446,note_on,,,,,2,0,2,,,,,,,0,,77,0
456,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
456,note_on,,,,,10,0,2,,,,,,,0,,79,45
458,note_on,,,,,2,0,2,,,,,,,0,,76,0
468,note_on,,,,,10,0,2,,,,,,,0,,76,47
470,note_on,,,,,2,0,2,,,,,,,0,,79,0
480,note_on,,,,,0,0,3,,,,,,,1,,60,0
480,note_on,,,,,10,0,2,,,,,,,0,,72,42
480,note_on,,,,,0,0,3,,,,,,,1,,55,18
480,note_on,,,,,46,0,3,,,,,,,1,,55,0
480,note_on,,,,,0,0,3,,,,,,,1,,60,30
480,note_on,,,,,0,0,3,,,,,,,1,,64,33
480,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
480,note_on,,,,,0,0,3,,,,,,,1,,64,0
482,control_change,,,,,94,0,4,,,,,64,0,0,,,
482,control_change,,,,,94,0,5,,,,,64,0,1,,,
482,note_on,,,,,2,0,2,,,,,,,0,,76,0
484,control_change,,,,,2,0,4,,,,,64,127,0,,,
484,control_change,,,,,2,0,5,,,,,64,127,1,,,
504,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
528,note_on,,,,,48,0,3,,,,,,,1,,55,0
528,note_on,,,,,0,0,3,,,,,,,1,,64,0
528,note_on,,,,,0,0,3,,,,,,,1,,64,30
528,note_on,,,,,0,0,3,,,,,,,1,,60,20
528,note_on,,,,,0,0,3,,,,,,,1,,60,0
528,note_on,,,,,0,0,3,,,,,,,1,,58,35
528,note_on,,,,,46,0,2,,,,,,,0,,72,0
552,note_on,,,,,24,0,2,,,,,,,0,,72,55
552,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
576,note_on,,,,,48,0,3,,,,,,,1,,58,0
576,note_on,,,,,0,0,3,,,,,,,1,,60,0
576,note_on,,,,,0,0,3,,,,,,,1,,64,0
576,control_change,,,,,92,0,4,,,,,64,127,0,,,
576,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
576,note_on,,,,,0,0,3,,,,,,,1,,57,38
576,note_on,,,,,0,0,3,,,,,,,1,,60,22
576,control_change,,,,,92,0,5,,,,,64,127,1,,,
576,note_on,,,,,0,0,3,,,,,,,1,,65,35
576,note_on,,,,,24,0,2,,,,,,,0,,72,0
576,note_on,,,,,0,0,2,,,,,,,0,,77,60
576,note_on,,,,,0,0,2,,,,,,,0,,72,40
578,control_change,,,,,2,0,5,,,,,64,0,1,,,
578,control_change,,,,,2,0,4,,,,,64,0,0,,,
580,control_change,,,,,2,0,5,,,,,64,127,1,,,
580,control_change,,,,,2,0,4,,,,,64,127,0,,,
600,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
621,note_on,,,,,45,0,2,,,,,,,0,,81,50
624,note_on,,,,,48,0,3,,,,,,,1,,60,0
624,note_on,,,,,0,0,3,,,,,,,1,,65,0
624,note_on,,,,,0,0,3,,,,,,,1,,60,25
624,note_on,,,,,0,0,2,,,,,,,0,,77,0
624,note_on,,,,,0,0,2,,,,,,,0,,79,55
624,note_on,,,,,3,0,2,,,,,,,0,,72,0
624,note_on,,,,,0,0,3,,,,,,,1,,52,40
624,note_on,,,,,0,0,2,,,,,,,0,,72,35
625,note_on,,,,,1,0,2,,,,,,,0,,81,0
626,control_change,,,,,46,0,4,,,,,64,0,0,,,
626,note_on,,,,,2,0,3,,,,,,,1,,57,0
626,control_change,,,,,46,0,5,,,,,64,0,1,,,
628,control_change,,,,,2,0,5,,,,,64,127,1,,,
628,control_change,,,,,2,0,4,,,,,64,127,0,,,
636,note_on,,,,,11,0,2,,,,,,,0,,78,58
638,note_on,,,,,2,0,2,,,,,,,0,,79,0
648,note_on,,,,,10,0,2,,,,,,,0,,79,53
648,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
650,note_on,,,,,2,0,2,,,,,,,0,,78,0
660,note_on,,,,,10,0,2,,,,,,,0,,80,48
662,note_on,,,,,2,0,2,,,,,,,0,,79,0
672,note_on,,,,,0,0,2,,,,,,,0,,72,30
672,note_on,,,,,0,0,2,,,,,,,0,,81,50
672,note_on,,,,,10,0,2,,,,,,,0,,72,0
672,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
672,note_on,,,,,0,0,3,,,,,,,1,,53,42
672,note_on,,,,,46,0,3,,,,,,,1,,60,0
672,note_on,,,,,0,0,3,,,,,,,1,,60,20
674,note_on,,,,,2,0,3,,,,,,,1,,52,0
674,control_change,,,,,46,0,5,,,,,64,0,1,,,
674,control_change,,,,,46,0,4,,,,,64,0,0,,,
674,note_on,,,,,2,0,2,,,,,,,0,,80,0
676,control_change,,,,,2,0,5,,,,,64,127,1,,,
676,control_change,,,,,2,0,4,,,,,64,127,0,,,
696,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
708,note_on,,,,,34,0,3,,,,,,,1,,46,45
716,note_on,,,,,8,0,3,,,,,,,1,,55,30
717,note_on,,,,,43,0,2,,,,,,,0,,84,45
720,note_on,,,,,3,0,2,,,,,,,0,,72,0
720,note_on,,,,,0,0,2,,,,,,,0,,81,0
720,note_on,,,,,0,0,2,,,,,,,0,,82,52
720,note_on,,,,,0,0,2,,,,,,,0,,74,32
720,note_on,,,,,4,0,3,,,,,,,1,,60,0
720,note_on,,,,,0,0,3,,,,,,,1,,62,38
721,note_on,,,,,1,0,2,,,,,,,0,,84,0
722,control_change,,,,,46,0,4,,,,,64,0,0,,,
722,note_on,,,,,2,0,3,,,,,,,1,,53,0
722,control_change,,,,,46,0,5,,,,,64,0,1,,,
724,control_change,,,,,2,0,4,,,,,64,127,0,,,
724,control_change,,,,,2,0,5,,,,,64,127,1,,,
732,note_on,,,,,11,0,2,,,,,,,0,,81,55
734,note_on,,,,,2,0,2,,,,,,,0,,82,0
744,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
744,note_on,,,,,10,0,2,,,,,,,0,,82,50
746,note_on,,,,,2,0,2,,,,,,,0,,81,0
756,note_on,,,,,10,0,2,,,,,,,0,,86,45
758,note_on,,,,,2,0,2,,,,,,,0,,82,0
763,note_on,,,,,5,0,2,,,,,,,0,,72,30
766,note_on,,,,,3,0,2,,,,,,,0,,77,25
768,note_on,,,,,2,0,2,,,,,,,0,,74,0
768,note_on,,,,,0,0,3,,,,,,,1,,55,0
768,note_on,,,,,46,0,3,,,,,,,1,,62,0
768,note_on,,,,,0,0,3,,,,,,,1,,46,0
768,note_on,,,,,0,0,3,,,,,,,1,,48,40
768,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
768,control_change,,,,,44,0,4,,,,,64,127,0,,,
768,control_change,,,,,44,0,5,,,,,64,127,1,,,
768,note_on,,,,,0,0,2,,,,,,,0,,81,48
770,note_on,,,,,2,0,2,,,,,,,0,,86,0
770,control_change,,,,,2,0,5,,,,,64,0,1,,,
770,control_change,,,,,2,0,4,,,,,64,0,0,,,
772,control_change,,,,,2,0,5,,,,,64,127,1,,,
772,control_change,,,,,2,0,4,,,,,64,127,0,,,
792,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
816,note_on,,,,,0,0,3,,,,,,,1,,65,28
816,note_on,,,,,0,0,3,,,,,,,1,,60,20
816,note_on,,,,,48,0,3,,,,,,,1,,69,35
818,note_on,,,,,2,0,3,,,,,,,1,,48,0
828,note_on,,,,,58,0,2,,,,,,,0,,82,50
830,note_on,,,,,2,0,2,,,,,,,0,,81,0
840,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
840,note_on,,,,,10,0,2,,,,,,,0,,83,52
842,note_on,,,,,2,0,2,,,,,,,0,,82,0
852,set_tempo,,,,,12,1,0,,1463414,,,,,,,,
852,note_on,,,,,10,0,2,,,,,,,0,,84,54
854,note_on,,,,,2,0,2,,,,,,,0,,83,0
859,note_on,,,,,5,0,2,,,,,,,0,,72,0
862,note_on,,,,,3,0,2,,,,,,,0,,77,0
864,note_on,,,,,2,0,2,,,,,,,0,,79,48
864,note_on,,,,,46,0,3,,,,,,,1,,60,0
864,note_on,,,,,0,0,3,,,,,,,1,,67,30
864,note_on,,,,,0,0,3,,,,,,,1,,64,25
864,note_on,,,,,0,0,3,,,,,,,1,,60,15
864,note_on,,,,,0,0,2,,,,,,,0,,72,20
864,note_on,,,,,0,0,2,,,,,,,0,,76,35
864,set_tempo,,,,,12,1,0,,1333333,,,,,,,,
866,note_on,,,,,2,0,3,,,,,,,1,,65,0
866,note_on,,,,,0,0,3,,,,,,,1,,69,0
866,note_on,,,,,2,0,2,,,,,,,0,,84,0
868,control_change,,,,,96,0,5,,,,,64,0,1,,,
868,control_change,,,,,96,0,4,,,,,64,0,0,,,
888,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
888,note_on,,,,,22,0,3,,,,,,,1,,60,0
888,note_on,,,,,0,0,3,,,,,,,1,,64,0
888,note_on,,,,,0,0,3,,,,,,,1,,67,0
912,note_on,,,,,46,0,2,,,,,,,0,,72,0
912,note_on,,,,,0,0,2,,,,,,,0,,79,0
912,note_on,,,,,0,0,2,,,,,,,0,,76,0
936,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
936,note_on,,,,,24,0,2,,,,,,,0,,72,60
948,note_on,,,,,60,0,3,,,,,,,1,,48,70
954,note_on,,,,,6,0,3,,,,,,,1,,55,54
957,note_on,,,,,3,0,3,,,,,,,1,,58,57
960,note_on,,,,,0,0,2,,,,,,,0,,82,70
960,control_change,,,,,92,0,5,,,,,64,0,1,,,
960,note_on,,,,,24,0,2,,,,,,,0,,72,0
960,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
960,note_on,,,,,0,0,2,,,,,,,0,,76,62
960,note_on,,,,,0,0,2,,,,,,,0,,72,45
960,control_change,,,,,92,0,4,,,,,64,0,0,,,
960,note_on,,,,,3,0,3,,,,,,,1,,64,60
964,control_change,,,,,4,0,4,,,,,64,127,0,,,
964,control_change,,,,,4,0,5,,,,,64,127,1,,,
984,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
1032,note_on,,,,,72,0,2,,,,,,,0,,79,65
1032,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
1034,note_on,,,,,2,0,2,,,,,,,0,,76,0
1034,note_on,,,,,0,0,2,,,,,,,0,,82,0
1038,note_on,,,,,4,0,2,,,,,,,0,,81,58
1039,note_on,,,,,1,0,2,,,,,,,0,,79,0
1042,note_on,,,,,3,0,2,,,,,,,0,,79,61
1043,note_on,,,,,1,0,2,,,,,,,0,,81,0
1046,note_on,,,,,3,0,2,,,,,,,0,,78,63
1047,note_on,,,,,1,0,2,,,,,,,0,,79,0
1051,note_on,,,,,4,0,2,,,,,,,0,,79,60
1052,note_on,,,,,1,0,2,,,,,,,0,,78,0
1056,note_on,,,,,4,0,2,,,,,,,0,,76,65
1056,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
1057,note_on,,,,,1,0,2,,,,,,,0,,79,0
1060,control_change,,,,,96,0,5,,,,,64,0,1,,,
1060,control_change,,,,,96,0,4,,,,,64,0,0,,,
1066,note_on,,,,,9,0,2,,,,,,,0,,72,0
1066,note_on,,,,,0,0,3,,,,,,,1,,64,0
1066,note_on,,,,,0,0,2,,,,,,,0,,76,0
1066,note_on,,,,,106,0,3,,,,,,,1,,48,0
1066,note_on,,,,,0,0,3,,,,,,,1,,55,0
1066,note_on,,,,,0,0,3,,,,,,,1,,58,0
1080,note_on,,,,,14,0,3,,,,,,,1,,69,50
1080,note_on,,,,,14,0,2,,,,,,,0,,77,52
1080,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
1080,note_on,,,,,0,0,2,,,,,,,0,,72,38
1084,control_change,,,,,24,0,5,,,,,64,127,1,,,
1084,control_change,,,,,24,0,4,,,,,64,127,0,,,
1104,note_on,,,,,24,0,2,,,,,,,0,,72,0
1104,note_on,,,,,0,0,3,,,,,,,1,,67,52
1104,note_on,,,,,0,0,2,,,,,,,0,,72,40
1104,note_on,,,,,24,0,3,,,,,,,1,,70,45
1104,note_on,,,,,0,0,2,,,,,,,0,,76,55
1106,control_change,,,,,22,0,5,,,,,64,0,1,,,
1106,note_on,,,,,2,0,3,,,,,,,1,,69,0
1106,control_change,,,,,22,0,4,,,,,64,0,0,,,
1106,note_on,,,,,2,0,2,,,,,,,0,,77,0
1108,control_change,,,,,2,0,4,,,,,64,127,0,,,
1108,control_change,,,,,2,0,5,,,,,64,127,1,,,
1128,note_on,,,,,22,0,3,,,,,,,1,,69,42
1128,note_on,,,,,0,0,3,,,,,,,1,,65,55
1128,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
1128,note_on,,,,,0,0,2,,,,,,,0,,72,45
1128,note_on,,,,,22,0,2,,,,,,,0,,72,0
1128,note_on,,,,,0,0,2,,,,,,,0,,77,57
1130,note_on,,,,,0,0,3,,,,,,,1,,70,0
1130,note_on,,,,,2,0,2,,,,,,,0,,76,0
1130,control_change,,,,,22,0,5,,,,,64,0,1,,,
1130,control_change,,,,,22,0,4,,,,,64,0,0,,,
1130,note_on,,,,,2,0,3,,,,,,,1,,67,0
1132,control_change,,,,,2,0,5,,,,,64,127,1,,,
1132,control_change,,,,,2,0,4,,,,,64,127,0,,,
1144,note_on,,,,,14,0,3,,,,,,,1,,48,60
1148,note_on,,,,,4,0,3,,,,,,,1,,55,44
1150,note_on,,,,,2,0,3,,,,,,,1,,58,47
1152,note_on,,,,,0,0,2,,,,,,,0,,82,60
1152,note_on,,,,,0,0,2,,,,,,,0,,72,35
1152,note_on,,,,,0,0,2,,,,,,,0,,76,52
1152,note_on,,,,,22,0,2,,,,,,,0,,72,0
1152,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
1152,note_on,,,,,2,0,3,,,,,,,1,,64,50
1152,control_change,,,,,20,0,4,,,,,64,127,0,,,
1152,control_change,,,,,20,0,5,,,,,64,127,1,,,
1154,note_on,,,,,2,0,2,,,,,,,0,,77,0
1154,control_change,,,,,2,0,4,,,,,64,0,0,,,
1154,note_on,,,,,0,0,3,,,,,,,1,,69,0
1154,control_change,,,,,2,0,5,,,,,64,0,1,,,
1154,note_on,,,,,2,0,3,,,,,,,1,,65,0
1156,control_change,,,,,2,0,5,,,,,64,127,1,,,
1156,control_change,,,,,2,0,4,,,,,64,127,0,,,
1176,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
1224,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
1224,note_on,,,,,70,0,2,,,,,,,0,,79,55
1226,note_on,,,,,2,0,2,,,,,,,0,,76,0
1226,note_on,,,,,0,0,2,,,,,,,0,,82,0
1230,note_on,,,,,4,0,2,,,,,,,0,,81,48
1231,note_on,,,,,1,0,2,,,,,,,0,,79,0
1234,note_on,,,,,3,0,2,,,,,,,0,,79,51
1235,note_on,,,,,1,0,2,,,,,,,0,,81,0
1238,note_on,,,,,3,0,2,,,,,,,0,,78,53
1239,note_on,,,,,1,0,2,,,,,,,0,,79,0
1243,note_on,,,,,4,0,2,,,,,,,0,,79,50
1244,note_on,,,,,1,0,2,,,,,,,0,,78,0
1248,note_on,,,,,4,0,2,,,,,,,0,,76,55
1248,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
1249,note_on,,,,,1,0,2,,,,,,,0,,79,0
1252,control_change,,,,,96,0,4,,,,,64,0,0,,,
1252,control_change,,,,,96,0,5,,,,,64,0,1,,,
1260,note_on,,,,,106,0,3,,,,,,,1,,48,0
1260,note_on,,,,,0,0,3,,,,,,,1,,55,0
1260,note_on,,,,,0,0,3,,,,,,,1,,64,0
1260,note_on,,,,,0,0,3,,,,,,,1,,58,0
1260,note_on,,,,,0,0,2,,,,,,,0,,76,0
1260,note_on,,,,,11,0,2,,,,,,,0,,72,0
1272,note_on,,,,,0,0,3,,,,,,,1,,57,40
1272,note_on,,,,,12,0,3,,,,,,,1,,65,30
1272,note_on,,,,,12,0,2,,,,,,,0,,84,42
1272,note_on,,,,,0,0,2,,,,,,,0,,72,28
1272,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
1276,control_change,,,,,24,0,4,,,,,64,127,0,,,
1276,control_change,,,,,24,0,5,,,,,64,127,1,,,
1294,note_on,,,,,0,0,3,,,,,,,1,,65,0
1294,note_on,,,,,22,0,3,,,,,,,1,,57,0
1296,note_on,,,,,0,0,3,,,,,,,1,,56,42
1296,note_on,,,,,2,0,3,,,,,,,1,,65,32
1296,note_on,,,,,24,0,2,,,,,,,0,,83,40
1296,note_on,,,,,0,0,2,,,,,,,0,,71,25
1298,note_on,,,,,0,0,2,,,,,,,0,,84,0
1298,note_on,,,,,2,0,2,,,,,,,0,,72,0
1298,control_change,,,,,22,0,5,,,,,64,0,1,,,
1298,control_change,,,,,22,0,4,,,,,64,0,0,,,
1300,control_change,,,,,2,0,5,,,,,64,127,1,,,
1300,control_change,,,,,2,0,4,,,,,64,127,0,,,
1318,note_on,,,,,0,0,3,,,,,,,1,,65,0
1318,note_on,,,,,22,0,3,,,,,,,1,,56,0
1320,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
1320,note_on,,,,,0,0,2,,,,,,,0,,72,31
1320,note_on,,,,,2,0,3,,,,,,,1,,65,27
1320,note_on,,,,,0,0,3,,,,,,,1,,57,40
1320,note_on,,,,,22,0,2,,,,,,,0,,84,46
1322,note_on,,,,,2,0,2,,,,,,,0,,71,0
1322,note_on,,,,,0,0,2,,,,,,,0,,83,0
1322,control_change,,,,,22,0,4,,,,,64,0,0,,,
1322,control_change,,,,,22,0,5,,,,,64,0,1,,,
1324,control_change,,,,,2,0,4,,,,,64,127,0,,,
1324,control_change,,,,,2,0,5,,,,,64,127,1,,,
1342,note_on,,,,,0,0,3,,,,,,,1,,65,0
1342,note_on,,,,,22,0,3,,,,,,,1,,57,0
1344,note_on,,,,,2,0,3,,,,,,,1,,65,30
1344,note_on,,,,,0,0,3,,,,,,,1,,58,45
1344,set_tempo,,,,,24,1,0,,1304347,,,,,,,,
1344,control_change,,,,,20,0,5,,,,,64,127,1,,,
1344,control_change,,,,,20,0,4,,,,,64,127,0,,,
1344,note_on,,,,,22,0,2,,,,,,,0,,86,50
1344,note_on,,,,,0,0,2,,,,,,,0,,74,35
1346,control_change,,,,,2,0,5,,,,,64,0,1,,,
1346,control_change,,,,,2,0,4,,,,,64,0,0,,,
1346,note_on,,,,,2,0,2,,,,,,,0,,72,0
1346,note_on,,,,,0,0,2,,,,,,,0,,84,0
1348,control_change,,,,,2,0,5,,,,,64,127,1,,,
1348,control_change,,,,,2,0,4,,,,,64,127,0,,,
1368,set_tempo,,,,,24,1,0,,1250000,,,,,,,,
1392,note_on,,,,,0,0,3,,,,,,,1,,50,28
1392,note_on,,,,,48,0,3,,,,,,,1,,58,0
1392,note_on,,,,,0,0,3,,,,,,,1,,53,25
1392,note_on,,,,,0,0,3,,,,,,,1,,46,40
1392,note_on,,,,,0,0,3,,,,,,,1,,65,0
1404,note_on,,,,,58,0,2,,,,,,,0,,88,45
1406,note_on,,,,,0,0,2,,,,,,,0,,86,0
1406,note_on,,,,,2,0,2,,,,,,,0,,74,0
1408,note_on,,,,,2,0,2,,,,,,,0,,86,40
1409,note_on,,,,,1,0,2,,,,,,,0,,88,0
1411,note_on,,,,,2,0,2,,,,,,,0,,85,42
1412,note_on,,,,,1,0,2,,,,,,,0,,86,0
1413,note_on,,,,,1,0,2,,,,,,,0,,86,45
1415,note_on,,,,,2,0,2,,,,,,,0,,85,0
1416,set_tempo,,,,,48,1,0,,1333333,,,,,,,,
