tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
960,note_on,0,0,1,,,,,,,,,,0,,,74,60
960,note_on,30,0,2,,,,,,,,,,1,,,57,0
1050,note_on,0,0,2,,,,,,,,,,1,,,52,60
1050,note_on,0,0,1,,,,,,,,,,0,,,72,60
1050,note_on,90,0,2,,,,,,,,,,1,,,58,0
1050,note_on,0,0,1,,,,,,,,,,0,,,65,0
1050,note_on,0,0,1,,,,,,,,,,0,,,67,60
1050,note_on,90,0,1,,,,,,,,,,0,,,74,0
1080,note_on,0,0,2,,,,,,,,,,1,,,53,60
1080,note_on,30,0,2,,,,,,,,,,1,,,52,0
1080,note_on,30,0,1,,,,,,,,,,0,,,72,0
1080,note_on,0,0,1,,,,,,,,,,0,,,65,60
1080,note_on,0,0,1,,,,,,,,,,0,,,67,0
1200,note_on,120,0,1,,,,,,,,,,0,,,65,0
1200,note_on,120,0,2,,,,,,,,,,1,,,53,0
1440,note_on,240,0,2,,,,,,,,,,1,,,53,100
1440,note_on,240,0,1,,,,,,,,,,0,,,65,100
1680,note_on,240,0,2,,,,,,,,,,1,,,53,0
1680,note_on,0,0,2,,,,,,,,,,1,,,51,60
1680,note_on,240,0,1,,,,,,,,,,0,,,65,0
1680,note_on,0,0,1,,,,,,,,,,0,,,63,60
1770,note_on,0,0,2,,,,,,,,,,1,,,53,60
1770,note_on,0,0,1,,,,,,,,,,0,,,65,60
1770,note_on,90,0,1,,,,,,,,,,0,,,63,0
1770,note_on,90,0,2,,,,,,,,,,1,,,51,0
1800,note_on,0,0,2,,,,,,,,,,1,,,54,60
1800,note_on,0,0,1,,,,,,,,,,0,,,66,60
1800,note_on,30,0,1,,,,,,,,,,0,,,65,0
1800,note_on,30,0,2,,,,,,,,,,1,,,53,0
1830,note_on,30,0,2,,,,,,,,,,1,,,54,0
1830,note_on,30,0,1,,,,,,,,,,0,,,66,0
1830,note_on,0,0,1,,,,,,,,,,0,,,65,60
1830,note_on,0,0,2,,,,,,,,,,1,,,53,60
1860,note_on,30,0,2,,,,,,,,,,1,,,53,0
1860,note_on,0,0,2,,,,,,,,,,1,,,51,60
1860,note_on,30,0,1,,,,,,,,,,0,,,65,0
1860,note_on,0,0,1,,,,,,,,,,0,,,63,60
1890,note_on,0,0,2,,,,,,,,,,1,,,49,60
1890,note_on,30,0,2,,,,,,,,,,1,,,51,0
1890,note_on,0,0,1,,,,,,,,,,0,,,61,60
1890,note_on,30,0,1,,,,,,,,,,0,,,63,0
1920,note_on,0,0,1,,,,,,,,,,0,,,60,60
1920,note_on,30,0,1,,,,,,,,,,0,,,61,0
1920,note_on,0,0,2,,,,,,,,,,1,,,48,60
1920,note_on,30,0,2,,,,,,,,,,1,,,49,0
2040,note_on,0,0,1,,,,,,,,,,0,,,68,60
2040,note_on,120,0,1,,,,,,,,,,0,,,60,0
2040,note_on,0,0,2,,,,,,,,,,1,,,56,60
2040,note_on,120,0,2,,,,,,,,,,1,,,48,0
2160,note_on,0,0,1,,,,,,,,,,0,,,65,100
2160,note_on,120,0,2,,,,,,,,,,1,,,56,0
2160,note_on,0,0,2,,,,,,,,,,1,,,49,60
2160,note_on,120,0,1,,,,,,,,,,0,,,68,0
2280,note_on,0,0,1,,,,,,,,,,0,,,65,100
2280,note_on,120,0,2,,,,,,,,,,1,,,49,0
2280,control_change,0,0,2,,,,,,,,,,1,64,127,,
2280,note_on,0,0,2,,,,,,,,,,1,,,49,60
2280,note_on,0,0,2,,,,,,,,,,1,,,61,60
2280,note_on,0,0,1,,,,,,,,,,0,,,77,100
2280,note_on,120,0,1,,,,,,,,,,0,,,65,0
2280,note_on,0,0,1,,,,,,,,,,0,,,68,100
2520,note_on,0,0,1,,,,,,,,,,0,,,65,0
2520,note_on,0,0,2,,,,,,,,,,1,,,49,0
2520,note_on,0,0,1,,,,,,,,,,0,,,68,0
2520,note_on,240,0,2,,,,,,,,,,1,,,61,0
2520,control_change,0,0,2,,,,,,,,,,1,64,0,,
2520,note_on,240,0,1,,,,,,,,,,0,,,77,0
2640,note_on,0,0,2,,,,,,,,,,1,,,43,60
2640,note_on,0,0,2,,,,,,,,,,1,,,55,60
2640,control_change,120,0,2,,,,,,,,,,1,64,127,,
2640,note_on,0,0,1,,,,,,,,,,0,,,82,100
2640,note_on,120,0,1,,,,,,,,,,0,,,70,100
2880,control_change,0,0,2,,,,,,,,,,1,64,0,,
2880,note_on,0,0,1,,,,,,,,,,0,,,70,0
2880,note_on,0,0,2,,,,,,,,,,1,,,43,0
2880,note_on,240,0,2,,,,,,,,,,1,,,55,0
2880,note_on,240,0,1,,,,,,,,,,0,,,82,0
3000,note_on,0,0,2,,,,,,,,,,1,,,44,126
3000,note_on,0,0,2,,,,,,,,,,1,,,48,126
3000,control_change,120,0,2,,,,,,,,,,1,64,127,,
3000,note_on,0,0,2,,,,,,,,,,1,,,36,126
3000,note_on,120,0,1,,,,,,,,,,0,,,75,126
3000,note_on,0,0,1,,,,,,,,,,0,,,78,126
3000,note_on,0,0,1,,,,,,,,,,0,,,87,126
3240,note_on,240,0,2,,,,,,,,,,1,,,36,0
3240,note_on,240,0,1,,,,,,,,,,0,,,87,0
3240,note_on,0,0,1,,,,,,,,,,0,,,78,0
3240,note_on,0,0,1,,,,,,,,,,0,,,75,0
3240,note_on,0,0,1,,,,,,,,,,0,,,75,60
3240,note_on,0,0,2,,,,,,,,,,1,,,44,0
3240,note_on,0,0,2,,,,,,,,,,1,,,48,0
3240,control_change,0,0,2,,,,,,,,,,1,64,0,,
3270,note_on,30,0,1,,,,,,,,,,0,,,75,0
3270,note_on,0,0,1,,,,,,,,,,0,,,72,60
3300,note_on,30,0,1,,,,,,,,,,0,,,72,0
3300,note_on,0,0,1,,,,,,,,,,0,,,68,60
3330,note_on,30,0,1,,,,,,,,,,0,,,68,0
3330,note_on,0,0,1,,,,,,,,,,0,,,70,60
3360,note_on,30,0,1,,,,,,,,,,0,,,70,0
3360,note_on,0,0,1,,,,,,,,,,0,,,68,60
3390,note_on,30,0,1,,,,,,,,,,0,,,68,0
3390,note_on,0,0,1,,,,,,,,,,0,,,70,60
3420,note_on,30,0,1,,,,,,,,,,0,,,70,0
3420,note_on,0,0,1,,,,,,,,,,0,,,68,60
3450,note_on,0,0,1,,,,,,,,,,0,,,70,60
3450,note_on,30,0,1,,,,,,,,,,0,,,68,0
3480,note_on,30,0,1,,,,,,,,,,0,,,70,0
3480,note_on,0,0,1,,,,,,,,,,0,,,68,60
3600,note_on,360,0,2,,,,,,,,,,1,,,63,60
3600,note_on,120,0,1,,,,,,,,,,0,,,68,0
3600,note_on,0,0,1,,,,,,,,,,0,,,80,60
3630,note_on,30,0,2,,,,,,,,,,1,,,63,0
3630,note_on,0,0,2,,,,,,,,,,1,,,60,60
3660,note_on,30,0,2,,,,,,,,,,1,,,60,0
3660,note_on,0,0,2,,,,,,,,,,1,,,56,60
3690,note_on,30,0,2,,,,,,,,,,1,,,56,0
3690,note_on,0,0,2,,,,,,,,,,1,,,58,60
3720,note_on,30,0,2,,,,,,,,,,1,,,58,0
3720,note_on,0,0,2,,,,,,,,,,1,,,60,60
3750,note_on,30,0,2,,,,,,,,,,1,,,60,0
3750,note_on,0,0,2,,,,,,,,,,1,,,61,60
3780,note_on,30,0,2,,,,,,,,,,1,,,61,0
3780,note_on,0,0,2,,,,,,,,,,1,,,60,60
3810,note_on,30,0,2,,,,,,,,,,1,,,60,0
3810,note_on,0,0,2,,,,,,,,,,1,,,61,60
3840,note_on,0,0,2,,,,,,,,,,1,,,60,60
3840,note_on,30,0,2,,,,,,,,,,1,,,61,0
3960,note_on,120,0,2,,,,,,,,,,1,,,60,0
3960,note_on,0,0,2,,,,,,,,,,1,,,36,60
3960,note_on,0,0,1,,,,,,,,,,0,,,66,60
3960,note_on,0,0,1,,,,,,,,,,0,,,75,60
3960,note_on,0,0,1,,,,,,,,,,0,,,78,60
3960,note_on,360,0,1,,,,,,,,,,0,,,80,0
3990,note_on,30,0,2,,,,,,,,,,1,,,36,0
3990,note_on,0,0,2,,,,,,,,,,1,,,39,60
4020,note_on,30,0,2,,,,,,,,,,1,,,39,0
4020,note_on,0,0,2,,,,,,,,,,1,,,44,60
4050,note_on,0,0,2,,,,,,,,,,1,,,46,60
4050,note_on,30,0,2,,,,,,,,,,1,,,44,0
4080,note_on,30,0,2,,,,,,,,,,1,,,46,0
4080,note_on,0,0,2,,,,,,,,,,1,,,44,60
4110,note_on,0,0,2,,,,,,,,,,1,,,46,60
4110,note_on,30,0,2,,,,,,,,,,1,,,44,0
4140,note_on,0,0,2,,,,,,,,,,1,,,44,60
4140,note_on,30,0,2,,,,,,,,,,1,,,46,0
4170,note_on,0,0,2,,,,,,,,,,1,,,46,60
4170,note_on,30,0,2,,,,,,,,,,1,,,44,0
4200,note_on,30,0,2,,,,,,,,,,1,,,46,0
4200,note_on,0,0,2,,,,,,,,,,1,,,44,60
4320,note_on,0,0,1,,,,,,,,,,0,,,65,60
4320,note_on,0,0,1,,,,,,,,,,0,,,73,60
4320,note_on,0,0,1,,,,,,,,,,0,,,77,60
4320,note_on,0,0,1,,,,,,,,,,0,,,75,0
4320,note_on,360,0,1,,,,,,,,,,0,,,78,0
4320,note_on,0,0,1,,,,,,,,,,0,,,66,0
4320,note_on,120,0,2,,,,,,,,,,1,,,44,0
4320,note_on,0,0,2,,,,,,,,,,1,,,37,60
4350,note_on,30,0,2,,,,,,,,,,1,,,37,0
4350,note_on,0,0,2,,,,,,,,,,1,,,41,60
4380,note_on,30,0,2,,,,,,,,,,1,,,41,0
4380,note_on,0,0,2,,,,,,,,,,1,,,44,60
4410,note_on,30,0,2,,,,,,,,,,1,,,44,0
4410,note_on,0,0,2,,,,,,,,,,1,,,46,60
4440,note_on,30,0,2,,,,,,,,,,1,,,46,0
4440,note_on,0,0,2,,,,,,,,,,1,,,44,60
4470,note_on,30,0,2,,,,,,,,,,1,,,44,0
4470,note_on,0,0,2,,,,,,,,,,1,,,46,60
4500,note_on,0,0,2,,,,,,,,,,1,,,44,60
4500,note_on,30,0,2,,,,,,,,,,1,,,46,0
4530,note_on,30,0,2,,,,,,,,,,1,,,44,0
4530,note_on,0,0,2,,,,,,,,,,1,,,46,60
4560,note_on,30,0,2,,,,,,,,,,1,,,46,0
4560,note_on,0,0,2,,,,,,,,,,1,,,44,60
4680,note_on,0,0,1,,,,,,,,,,0,,,73,0
4680,note_on,120,0,2,,,,,,,,,,1,,,44,0
4680,note_on,0,0,1,,,,,,,,,,0,,,80,60
4680,note_on,0,0,1,,,,,,,,,,0,,,65,0
4680,note_on,360,0,1,,,,,,,,,,0,,,77,0
4740,note_on,60,0,2,,,,,,,,,,1,,,53,60
4800,note_on,0,0,2,,,,,,,,,,1,,,61,60
4800,note_on,0,0,1,,,,,,,,,,0,,,70,60
4800,note_on,0,0,1,,,,,,,,,,0,,,78,60
4800,note_on,60,0,2,,,,,,,,,,1,,,53,0
4800,note_on,0,0,2,,,,,,,,,,1,,,54,60
4800,note_on,120,0,1,,,,,,,,,,0,,,80,0
4920,note_on,0,0,1,,,,,,,,,,0,,,70,60
4920,note_on,120,0,2,,,,,,,,,,1,,,61,0
4920,note_on,0,0,1,,,,,,,,,,0,,,70,0
4920,note_on,0,0,2,,,,,,,,,,1,,,54,0
4920,note_on,0,0,2,,,,,,,,,,1,,,63,60
4920,note_on,0,0,2,,,,,,,,,,1,,,55,60
4920,note_on,120,0,1,,,,,,,,,,0,,,78,0
5040,note_on,0,0,2,,,,,,,,,,1,,,63,60
5040,note_on,120,0,2,,,,,,,,,,1,,,55,0
5040,note_on,0,0,2,,,,,,,,,,1,,,63,0
5040,note_on,120,0,1,,,,,,,,,,0,,,70,0
5040,note_on,0,0,2,,,,,,,,,,1,,,56,60
5040,note_on,0,0,1,,,,,,,,,,0,,,72,60
5160,note_on,120,0,2,,,,,,,,,,1,,,56,0
5160,note_on,0,0,2,,,,,,,,,,1,,,63,0
5160,note_on,0,0,2,,,,,,,,,,1,,,57,60
5160,note_on,120,0,1,,,,,,,,,,0,,,66,77
5280,note_on,120,0,1,,,,,,,,,,0,,,66,0
5280,note_on,0,0,1,,,,,,,,,,0,,,66,94
5280,note_on,0,0,1,,,,,,,,,,0,,,73,94
5280,note_on,0,0,2,,,,,,,,,,1,,,58,60
5280,note_on,120,0,2,,,,,,,,,,1,,,57,0
5280,note_on,0,0,1,,,,,,,,,,0,,,72,0
5400,note_on,0,0,2,,,,,,,,,,1,,,56,94
5400,note_on,120,0,1,,,,,,,,,,0,,,73,0
5400,note_on,0,0,1,,,,,,,,,,0,,,77,94
5400,note_on,0,0,2,,,,,,,,,,1,,,61,94
5400,note_on,120,0,2,,,,,,,,,,1,,,58,0
5520,note_on,120,0,1,,,,,,,,,,0,,,66,0
5520,note_on,0,0,1,,,,,,,,,,0,,,68,94
5640,note_on,0,0,1,,,,,,,,,,0,,,75,94
5640,note_on,120,0,1,,,,,,,,,,0,,,68,0
5640,note_on,0,0,1,,,,,,,,,,0,,,66,94
5640,note_on,0,0,1,,,,,,,,,,0,,,77,0
5640,note_on,240,0,2,,,,,,,,,,1,,,56,0
5640,note_on,0,0,2,,,,,,,,,,1,,,60,94
5640,note_on,0,0,2,,,,,,,,,,1,,,56,94
5640,note_on,0,0,2,,,,,,,,,,1,,,61,0
5760,note_on,0,0,1,,,,,,,,,,0,,,75,94
5760,note_on,0,0,1,,,,,,,,,,0,,,66,94
5760,note_on,0,0,1,,,,,,,,,,0,,,75,0
5760,note_on,120,0,1,,,,,,,,,,0,,,66,0
5760,note_on,0,0,2,,,,,,,,,,1,,,60,94
5760,note_on,0,0,2,,,,,,,,,,1,,,56,94
5760,note_on,0,0,2,,,,,,,,,,1,,,60,0
5760,note_on,120,0,2,,,,,,,,,,1,,,56,0
5880,note_on,120,0,1,,,,,,,,,,0,,,75,0
5880,note_on,0,0,1,,,,,,,,,,0,,,65,94
5880,note_on,120,0,2,,,,,,,,,,1,,,60,0
5880,note_on,0,0,2,,,,,,,,,,1,,,56,0
5880,note_on,0,0,2,,,,,,,,,,1,,,49,94
5880,note_on,0,0,2,,,,,,,,,,1,,,61,94
5880,note_on,0,0,1,,,,,,,,,,0,,,73,94
5880,note_on,0,0,1,,,,,,,,,,0,,,66,0
6000,note_on,120,0,1,,,,,,,,,,0,,,65,0
6000,note_on,0,0,1,,,,,,,,,,0,,,73,0
6000,note_on,120,0,2,,,,,,,,,,1,,,61,0
6000,note_on,0,0,2,,,,,,,,,,1,,,49,0
6120,note_on,120,0,1,,,,,,,,,,0,,,65,60
6120,note_on,0,0,1,,,,,,,,,,0,,,68,60
6360,note_on,0,0,1,,,,,,,,,,0,,,66,60
6360,note_on,240,0,1,,,,,,,,,,0,,,68,0
6360,note_on,0,0,1,,,,,,,,,,0,,,65,0
6360,note_on,0,0,1,,,,,,,,,,0,,,63,60
6480,note_on,0,0,1,,,,,,,,,,0,,,63,0
6480,note_on,120,0,1,,,,,,,,,,0,,,66,0
6480,note_on,0,0,1,,,,,,,,,,0,,,63,94
6480,note_on,0,0,1,,,,,,,,,,0,,,66,94
6480,note_on,0,0,1,,,,,,,,,,0,,,82,60
6600,note_on,120,0,1,,,,,,,,,,0,,,66,0
6600,note_on,0,0,1,,,,,,,,,,0,,,65,94
6600,note_on,0,0,1,,,,,,,,,,0,,,62,94
6600,note_on,0,0,1,,,,,,,,,,0,,,63,0
6720,note_on,0,0,1,,,,,,,,,,0,,,62,0
6720,note_on,0,0,1,,,,,,,,,,0,,,82,0
6720,note_on,0,0,1,,,,,,,,,,0,,,80,94
6720,note_on,120,0,1,,,,,,,,,,0,,,65,0
6840,note_on,840,0,2,,,,,,,,,,1,,,51,94
6840,note_on,0,0,1,,,,,,,,,,0,,,80,94
6840,note_on,120,0,1,,,,,,,,,,0,,,80,0
6960,note_on,120,0,1,,,,,,,,,,0,,,80,0
6960,note_on,0,0,1,,,,,,,,,,0,,,78,94
7080,note_on,240,0,2,,,,,,,,,,1,,,51,0
7080,note_on,120,0,1,,,,,,,,,,0,,,78,0
7080,note_on,0,0,2,,,,,,,,,,1,,,50,94
7200,note_on,120,0,1,,,,,,,,,,0,,,78,94
7200,note_on,120,0,2,,,,,,,,,,1,,,50,0
7200,note_on,0,0,2,,,,,,,,,,1,,,50,94
7320,note_on,0,0,2,,,,,,,,,,1,,,49,94
7320,note_on,120,0,2,,,,,,,,,,1,,,50,0
7440,note_on,0,0,2,,,,,,,,,,1,,,50,94
7440,note_on,120,0,2,,,,,,,,,,1,,,49,0
7440,note_on,0,0,1,,,,,,,,,,0,,,78,94
7440,note_on,240,0,1,,,,,,,,,,0,,,78,0
7560,note_on,0,0,1,,,,,,,,,,0,,,81,81
7560,note_on,0,0,2,,,,,,,,,,1,,,51,60
7560,note_on,0,0,2,,,,,,,,,,1,,,43,60
7560,note_on,120,0,2,,,,,,,,,,1,,,50,0
7560,note_on,120,0,1,,,,,,,,,,0,,,78,0
7680,note_on,120,0,1,,,,,,,,,,0,,,79,88
7680,note_on,120,0,2,,,,,,,,,,1,,,52,60
7682,note_on,2,0,1,,,,,,,,,,0,,,81,0
7682,note_on,2,0,2,,,,,,,,,,1,,,51,0
7800,note_on,118,0,1,,,,,,,,,,0,,,71,96
7800,note_on,118,0,2,,,,,,,,,,1,,,55,60
7802,note_on,2,0,1,,,,,,,,,,0,,,79,0
7802,note_on,2,0,2,,,,,,,,,,1,,,52,0
7916,note_on,114,0,2,,,,,,,,,,1,,,43,0
7920,note_on,4,0,2,,,,,,,,,,1,,,45,60
7920,note_on,118,0,1,,,,,,,,,,0,,,73,103
7922,note_on,2,0,1,,,,,,,,,,0,,,71,0
8034,note_on,114,0,2,,,,,,,,,,1,,,55,0
8040,note_on,6,0,2,,,,,,,,,,1,,,55,60
8154,note_on,232,0,1,,,,,,,,,,0,,,73,0
8160,note_on,120,0,2,,,,,,,,,,1,,,54,60
8160,note_on,6,0,1,,,,,,,,,,0,,,74,117
8162,note_on,2,0,2,,,,,,,,,,1,,,55,0
8220,note_on,58,0,2,,,,,,,,,,1,,,54,0
8220,note_on,60,0,1,,,,,,,,,,0,,,66,121
8276,note_on,56,0,2,,,,,,,,,,1,,,45,0
8280,note_on,0,0,1,,,,,,,,,,0,,,78,124
8280,note_on,60,0,1,,,,,,,,,,0,,,69,124
8281,note_on,1,0,1,,,,,,,,,,0,,,66,0
8282,note_on,1,0,1,,,,,,,,,,0,,,74,0
8340,note_on,64,0,2,,,,,,,,,,1,,,57,60
8400,note_on,0,0,2,,,,,,,,,,1,,,56,60
8400,note_on,60,0,2,,,,,,,,,,1,,,57,0
8460,note_on,0,0,2,,,,,,,,,,1,,,57,60
8460,note_on,60,0,2,,,,,,,,,,1,,,56,0
8514,note_on,0,0,1,,,,,,,,,,0,,,78,0
8514,note_on,232,0,1,,,,,,,,,,0,,,69,0
8520,note_on,60,0,2,,,,,,,,,,1,,,57,0
8520,note_on,0,0,2,,,,,,,,,,1,,,59,60
8520,note_on,0,0,1,,,,,,,,,,0,,,76,77
8520,note_on,6,0,1,,,,,,,,,,0,,,67,77
8580,note_on,60,0,2,,,,,,,,,,1,,,59,0
8580,note_on,0,0,2,,,,,,,,,,1,,,61,60
8640,note_on,60,0,2,,,,,,,,,,1,,,61,0
8640,note_on,0,0,2,,,,,,,,,,1,,,61,60
8640,note_on,120,0,1,,,,,,,,,,0,,,67,60
8640,note_on,0,0,1,,,,,,,,,,0,,,76,60
8642,note_on,2,0,1,,,,,,,,,,0,,,76,0
8642,note_on,0,0,1,,,,,,,,,,0,,,67,0
8760,note_on,120,0,2,,,,,,,,,,1,,,62,60
8760,note_on,118,0,1,,,,,,,,,,0,,,66,60
8760,note_on,0,0,1,,,,,,,,,,0,,,74,60
8762,note_on,2,0,1,,,,,,,,,,0,,,67,0
8762,note_on,0,0,1,,,,,,,,,,0,,,76,0
8762,note_on,2,0,2,,,,,,,,,,1,,,61,0
8880,note_on,0,0,1,,,,,,,,,,0,,,74,60
8880,note_on,118,0,1,,,,,,,,,,0,,,65,60
8880,note_on,118,0,2,,,,,,,,,,1,,,62,60
8882,note_on,0,0,1,,,,,,,,,,0,,,74,0
8882,note_on,2,0,1,,,,,,,,,,0,,,66,0
8882,note_on,2,0,2,,,,,,,,,,1,,,62,0
9000,note_on,118,0,1,,,,,,,,,,0,,,75,60
9002,note_on,0,0,1,,,,,,,,,,0,,,74,0
9002,note_on,2,0,1,,,,,,,,,,0,,,65,0
9002,note_on,120,0,2,,,,,,,,,,1,,,62,0
9120,note_on,118,0,2,,,,,,,,,,1,,,60,60
9120,note_on,118,0,1,,,,,,,,,,0,,,63,60
9210,note_on,0,0,1,,,,,,,,,,0,,,75,0
9210,note_on,0,0,1,,,,,,,,,,0,,,79,60
9210,note_on,90,0,1,,,,,,,,,,0,,,63,0
9210,note_on,0,0,1,,,,,,,,,,0,,,64,60
9210,note_on,0,0,2,,,,,,,,,,1,,,59,60
9210,note_on,90,0,2,,,,,,,,,,1,,,60,0
9240,note_on,0,0,1,,,,,,,,,,0,,,64,0
9240,note_on,30,0,1,,,,,,,,,,0,,,79,0
9240,note_on,0,0,1,,,,,,,,,,0,,,65,60
9240,note_on,30,0,2,,,,,,,,,,1,,,59,0
9240,note_on,0,0,2,,,,,,,,,,1,,,57,60
9240,note_on,0,0,1,,,,,,,,,,0,,,72,60
9330,note_on,90,0,2,,,,,,,,,,1,,,57,0
9330,note_on,0,0,2,,,,,,,,,,1,,,59,60
9330,note_on,90,0,1,,,,,,,,,,0,,,72,0
9330,note_on,0,0,1,,,,,,,,,,0,,,74,60
9360,note_on,30,0,1,,,,,,,,,,0,,,74,0
9360,note_on,0,0,1,,,,,,,,,,0,,,65,0
9360,note_on,0,0,1,,,,,,,,,,0,,,75,60
9360,note_on,0,0,2,,,,,,,,,,1,,,60,60
9360,note_on,30,0,2,,,,,,,,,,1,,,59,0
9420,note_on,60,0,2,,,,,,,,,,1,,,60,0
9450,note_on,30,0,2,,,,,,,,,,1,,,55,60
9480,note_on,30,0,2,,,,,,,,,,1,,,55,0
9480,note_on,0,0,2,,,,,,,,,,1,,,48,60
9480,note_on,120,0,1,,,,,,,,,,0,,,75,0
9570,note_on,0,0,2,,,,,,,,,,1,,,50,60
9570,note_on,90,0,2,,,,,,,,,,1,,,48,0
9600,note_on,0,0,2,,,,,,,,,,1,,,51,60
9600,note_on,30,0,2,,,,,,,,,,1,,,50,0
