tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,pitch,program,note,velocity
1319,note_on,59,0,1,,,,,,,,,,0,,,70,0
1320,note_on,1,0,1,,,,,,,,,,0,,,70,100
1320,note_on,0,0,1,,,,,,,,,,0,,,62,100
1320,note_on,0,0,2,,,,,,,,,,1,,,53,86
1320,note_on,0,0,2,,,,,,,,,,1,,,58,86
1320,note_on,120,0,2,,,,,,,,,,1,,,46,0
1440,note_on,0,0,1,,,,,,,,,,0,,,67,60
1440,note_on,0,0,2,,,,,,,,,,1,,,46,86
1440,note_on,0,0,2,,,,,,,,,,1,,,53,0
1440,note_on,120,0,2,,,,,,,,,,1,,,58,0
1440,note_on,120,0,1,,,,,,,,,,0,,,62,0
1440,note_on,0,0,1,,,,,,,,,,0,,,70,0
1440,note_on,0,0,1,,,,,,,,,,0,,,63,60
1499,note_on,59,0,1,,,,,,,,,,0,,,67,0
1499,note_on,0,0,1,,,,,,,,,,0,,,63,0
1500,note_on,1,0,1,,,,,,,,,,0,,,70,60
1559,note_on,59,0,1,,,,,,,,,,0,,,70,0
1560,note_on,0,0,1,,,,,,,,,,0,,,63,100
1560,note_on,1,0,1,,,,,,,,,,0,,,70,100
1560,note_on,0,0,2,,,,,,,,,,1,,,58,86
1560,note_on,120,0,2,,,,,,,,,,1,,,46,0
1560,note_on,0,0,2,,,,,,,,,,1,,,55,86
1680,note_on,120,0,1,,,,,,,,,,0,,,63,0
1680,note_on,0,0,1,,,,,,,,,,0,,,70,0
1680,note_on,0,0,1,,,,,,,,,,0,,,68,58
1680,note_on,0,0,1,,,,,,,,,,0,,,65,58
1680,note_on,120,0,2,,,,,,,,,,1,,,55,0
1680,note_on,0,0,2,,,,,,,,,,1,,,58,0
1680,note_on,0,0,2,,,,,,,,,,1,,,46,86
1739,note_on,59,0,1,,,,,,,,,,0,,,65,0
1739,note_on,0,0,1,,,,,,,,,,0,,,68,0
1740,note_on,1,0,1,,,,,,,,,,0,,,70,58
1799,note_on,59,0,1,,,,,,,,,,0,,,70,0
1800,note_on,120,0,2,,,,,,,,,,1,,,46,0
1800,note_on,0,0,2,,,,,,,,,,1,,,58,86
1800,note_on,0,0,2,,,,,,,,,,1,,,56,86
1800,note_on,1,0,1,,,,,,,,,,0,,,70,100
1800,note_on,0,0,1,,,,,,,,,,0,,,65,100
1920,note_on,120,0,1,,,,,,,,,,0,,,65,0
1920,note_on,0,0,1,,,,,,,,,,0,,,70,0
1920,note_on,0,0,1,,,,,,,,,,0,,,70,59
1920,note_on,120,0,2,,,,,,,,,,1,,,56,0
1920,note_on,0,0,2,,,,,,,,,,1,,,58,0
1920,note_on,0,0,2,,,,,,,,,,1,,,46,86
1979,note_on,59,0,1,,,,,,,,,,0,,,70,0
1980,note_on,0,0,1,,,,,,,,,,0,,,80,58
1980,note_on,1,0,1,,,,,,,,,,0,,,77,58
2039,note_on,0,0,1,,,,,,,,,,0,,,77,0
2039,note_on,59,0,1,,,,,,,,,,0,,,80,0
2040,note_on,0,0,1,,,,,,,,,,0,,,80,58
2040,note_on,1,0,1,,,,,,,,,,0,,,77,58
2040,note_on,0,0,2,,,,,,,,,,1,,,58,86
2040,note_on,0,0,2,,,,,,,,,,1,,,62,86
2040,note_on,120,0,2,,,,,,,,,,1,,,46,0
2159,note_on,0,0,1,,,,,,,,,,0,,,77,0
2159,note_on,119,0,1,,,,,,,,,,0,,,80,0
2160,note_on,0,0,2,,,,,,,,,,1,,,51,86
2160,note_on,120,0,2,,,,,,,,,,1,,,58,0
2160,note_on,0,0,2,,,,,,,,,,1,,,62,0
2160,note_on,1,0,1,,,,,,,,,,0,,,67,60
2219,note_on,59,0,1,,,,,,,,,,0,,,67,0
2220,note_on,1,0,1,,,,,,,,,,0,,,70,60
2279,note_on,59,0,1,,,,,,,,,,0,,,70,0
2280,note_on,1,0,1,,,,,,,,,,0,,,70,100
2280,note_on,0,0,1,,,,,,,,,,0,,,67,100
2280,note_on,120,0,2,,,,,,,,,,1,,,51,0
2280,note_on,0,0,2,,,,,,,,,,1,,,55,86
2280,note_on,0,0,2,,,,,,,,,,1,,,58,86
2400,note_on,120,0,2,,,,,,,,,,1,,,58,0
2400,note_on,0,0,2,,,,,,,,,,1,,,55,0
2400,note_on,0,0,2,,,,,,,,,,1,,,51,86
2400,note_on,120,0,1,,,,,,,,,,0,,,67,0
2400,note_on,0,0,1,,,,,,,,,,0,,,72,60
2400,note_on,0,0,1,,,,,,,,,,0,,,67,60
2400,note_on,0,0,1,,,,,,,,,,0,,,70,0
2459,note_on,0,0,1,,,,,,,,,,0,,,72,0
2459,note_on,59,0,1,,,,,,,,,,0,,,67,0
2460,note_on,1,0,1,,,,,,,,,,0,,,70,62
2519,note_on,59,0,1,,,,,,,,,,0,,,70,0
2520,note_on,0,0,2,,,,,,,,,,1,,,55,86
2520,note_on,0,0,2,,,,,,,,,,1,,,58,86
2520,note_on,120,0,2,,,,,,,,,,1,,,51,0
2520,note_on,0,0,1,,,,,,,,,,0,,,67,100
2520,note_on,1,0,1,,,,,,,,,,0,,,70,100
2640,note_on,0,0,2,,,,,,,,,,1,,,58,0
2640,note_on,0,0,1,,,,,,,,,,0,,,70,0
2640,note_on,0,0,1,,,,,,,,,,0,,,67,64
2640,note_on,0,0,1,,,,,,,,,,0,,,75,64
2640,note_on,120,0,2,,,,,,,,,,1,,,55,0
2640,note_on,120,0,1,,,,,,,,,,0,,,67,0
2640,note_on,0,0,2,,,,,,,,,,1,,,51,86
2699,note_on,59,0,1,,,,,,,,,,0,,,75,0
2699,note_on,0,0,1,,,,,,,,,,0,,,67,0
2700,note_on,1,0,1,,,,,,,,,,0,,,70,64
2759,note_on,59,0,1,,,,,,,,,,0,,,70,0
2760,note_on,0,0,2,,,,,,,,,,1,,,55,100
2760,note_on,1,0,1,,,,,,,,,,0,,,70,100
2760,note_on,0,0,1,,,,,,,,,,0,,,67,100
2760,note_on,0,0,2,,,,,,,,,,1,,,58,100
2760,note_on,120,0,2,,,,,,,,,,1,,,51,0
2880,note_on,0,0,2,,,,,,,,,,1,,,58,0
2880,note_on,0,0,1,,,,,,,,,,0,,,72,60
2880,note_on,0,0,2,,,,,,,,,,1,,,51,93
2880,note_on,0,0,1,,,,,,,,,,0,,,70,0
2880,note_on,120,0,1,,,,,,,,,,0,,,67,0
2880,note_on,0,0,1,,,,,,,,,,0,,,67,60
2880,note_on,120,0,2,,,,,,,,,,1,,,55,0
2939,note_on,59,0,1,,,,,,,,,,0,,,67,0
2939,note_on,0,0,1,,,,,,,,,,0,,,72,0
2940,note_on,1,0,1,,,,,,,,,,0,,,70,59
2999,note_on,59,0,1,,,,,,,,,,0,,,70,0
3000,note_on,0,0,2,,,,,,,,,,1,,,55,93
3000,note_on,1,0,1,,,,,,,,,,0,,,70,100
3000,note_on,0,0,1,,,,,,,,,,0,,,67,100
3000,note_on,0,0,2,,,,,,,,,,1,,,58,93
3000,note_on,120,0,2,,,,,,,,,,1,,,51,0
3120,note_on,0,0,2,,,,,,,,,,1,,,55,0
3120,note_on,0,0,2,,,,,,,,,,1,,,46,92
3120,note_on,120,0,2,,,,,,,,,,1,,,58,0
3120,note_on,0,0,1,,,,,,,,,,0,,,70,0
3120,note_on,0,0,1,,,,,,,,,,0,,,65,59
3120,note_on,0,0,1,,,,,,,,,,0,,,62,59
3120,note_on,120,0,1,,,,,,,,,,0,,,67,0
3179,note_on,0,0,1,,,,,,,,,,0,,,65,0
3179,note_on,59,0,1,,,,,,,,,,0,,,62,0
3180,note_on,1,0,1,,,,,,,,,,0,,,70,59
3239,note_on,59,0,1,,,,,,,,,,0,,,70,0
3240,note_on,1,0,1,,,,,,,,,,0,,,70,100
3240,note_on,120,0,2,,,,,,,,,,1,,,46,0
3240,note_on,0,0,2,,,,,,,,,,1,,,58,92
3240,note_on,0,0,2,,,,,,,,,,1,,,53,92
3240,note_on,0,0,1,,,,,,,,,,0,,,62,100
3360,note_on,0,0,2,,,,,,,,,,1,,,46,92
3360,note_on,0,0,1,,,,,,,,,,0,,,70,0
3360,note_on,120,0,2,,,,,,,,,,1,,,53,0
3360,note_on,0,0,2,,,,,,,,,,1,,,58,0
3360,note_on,120,0,1,,,,,,,,,,0,,,62,0
3360,note_on,0,0,1,,,,,,,,,,0,,,63,59
3360,note_on,0,0,1,,,,,,,,,,0,,,67,59
3419,note_on,59,0,1,,,,,,,,,,0,,,67,0
3419,note_on,0,0,1,,,,,,,,,,0,,,63,0
3420,note_on,1,0,1,,,,,,,,,,0,,,70,59
3479,note_on,59,0,1,,,,,,,,,,0,,,70,0
3480,note_on,0,0,1,,,,,,,,,,0,,,70,100
3480,note_on,1,0,1,,,,,,,,,,0,,,63,100
3480,note_on,0,0,2,,,,,,,,,,1,,,58,92
3480,note_on,0,0,2,,,,,,,,,,1,,,55,92
3480,note_on,120,0,2,,,,,,,,,,1,,,46,0
3600,note_on,0,0,2,,,,,,,,,,1,,,58,0
3600,note_on,120,0,2,,,,,,,,,,1,,,55,0
3600,note_on,120,0,1,,,,,,,,,,0,,,70,0
3600,note_on,0,0,1,,,,,,,,,,0,,,63,0
3600,note_on,0,0,1,,,,,,,,,,0,,,68,59
3600,note_on,0,0,1,,,,,,,,,,0,,,65,59
3600,note_on,0,0,2,,,,,,,,,,1,,,46,92
3659,note_on,59,0,1,,,,,,,,,,0,,,65,0
3659,note_on,0,0,1,,,,,,,,,,0,,,68,0
3660,note_on,1,0,1,,,,,,,,,,0,,,70,59
3719,note_on,59,0,1,,,,,,,,,,0,,,70,0
3720,note_on,120,0,2,,,,,,,,,,1,,,46,0
3720,note_on,0,0,2,,,,,,,,,,1,,,56,92
3720,note_on,0,0,2,,,,,,,,,,1,,,58,92
3720,note_on,0,0,1,,,,,,,,,,0,,,65,100
3720,note_on,1,0,1,,,,,,,,,,0,,,70,100
3840,note_on,120,0,2,,,,,,,,,,1,,,58,0
3840,note_on,0,0,2,,,,,,,,,,1,,,56,0
3840,note_on,0,0,2,,,,,,,,,,1,,,46,92
3840,note_on,0,0,1,,,,,,,,,,0,,,65,63
3840,note_on,0,0,1,,,,,,,,,,0,,,62,63
3840,note_on,0,0,1,,,,,,,,,,0,,,70,0
3840,note_on,120,0,1,,,,,,,,,,0,,,65,0
3899,note_on,59,0,1,,,,,,,,,,0,,,65,0
3899,note_on,0,0,1,,,,,,,,,,0,,,62,0
3900,note_on,1,0,1,,,,,,,,,,0,,,70,64
3959,note_on,59,0,1,,,,,,,,,,0,,,70,0
3960,note_on,0,0,1,,,,,,,,,,0,,,62,100
3960,note_on,0,0,2,,,,,,,,,,1,,,58,92
3960,note_on,120,0,2,,,,,,,,,,1,,,46,0
3960,note_on,1,0,1,,,,,,,,,,0,,,70,100
4080,note_on,0,0,2,,,,,,,,,,1,,,43,92
4080,note_on,120,0,2,,,,,,,,,,1,,,58,0
4080,note_on,120,0,1,,,,,,,,,,0,,,62,0
4080,note_on,0,0,1,,,,,,,,,,0,,,70,0
4080,note_on,0,0,1,,,,,,,,,,0,,,63,78
4199,note_on,119,0,1,,,,,,,,,,0,,,63,0
4200,note_on,0,0,2,,,,,,,,,,1,,,31,92
4200,note_on,120,0,2,,,,,,,,,,1,,,43,0
4200,note_on,0,0,1,,,,,,,,,,0,,,58,77
4200,note_on,1,0,1,,,,,,,,,,0,,,70,77
4319,note_on,0,0,1,,,,,,,,,,0,,,70,0
4319,note_on,119,0,1,,,,,,,,,,0,,,58,0
4320,note_on,1,0,1,,,,,,,,,,0,,,60,76
4320,note_on,0,0,2,,,,,,,,,,1,,,32,92
4320,note_on,120,0,2,,,,,,,,,,1,,,31,0
4379,note_on,59,0,1,,,,,,,,,,0,,,60,0
4380,note_on,1,0,1,,,,,,,,,,0,,,72,76
4439,note_on,59,0,1,,,,,,,,,,0,,,72,0
4440,note_on,120,0,2,,,,,,,,,,1,,,32,0
4440,note_on,0,0,1,,,,,,,,,,0,,,72,100
4440,note_on,0,0,2,,,,,,,,,,1,,,44,92
4440,note_on,1,0,1,,,,,,,,,,0,,,63,100
4560,note_on,0,0,1,,,,,,,,,,0,,,62,77
4560,note_on,0,0,2,,,,,,,,,,1,,,46,92
4560,note_on,120,0,2,,,,,,,,,,1,,,44,0
4560,note_on,0,0,1,,,,,,,,,,0,,,63,0
4560,note_on,120,0,1,,,,,,,,,,0,,,72,0
4679,note_on,119,0,1,,,,,,,,,,0,,,62,0
4680,note_on,0,0,2,,,,,,,,,,1,,,34,92
4680,note_on,120,0,2,,,,,,,,,,1,,,46,0
4680,note_on,0,0,1,,,,,,,,,,0,,,65,78
4680,note_on,1,0,1,,,,,,,,,,0,,,74,78
4799,note_on,0,0,1,,,,,,,,,,0,,,74,0
4799,note_on,119,0,1,,,,,,,,,,0,,,65,0
4800,note_on,1,0,1,,,,,,,,,,0,,,63,78
4800,note_on,0,0,2,,,,,,,,,,1,,,36,92
4800,note_on,120,0,2,,,,,,,,,,1,,,34,0
4859,note_on,59,0,1,,,,,,,,,,0,,,63,0
4860,note_on,1,0,1,,,,,,,,,,0,,,75,79
4919,note_on,59,0,1,,,,,,,,,,0,,,75,0
4920,note_on,0,0,1,,,,,,,,,,0,,,67,100
4920,note_on,0,0,2,,,,,,,,,,1,,,48,92
4920,note_on,1,0,1,,,,,,,,,,0,,,75,100
4920,note_on,120,0,2,,,,,,,,,,1,,,36,0
5040,note_on,120,0,2,,,,,,,,,,1,,,48,0
5040,note_on,0,0,2,,,,,,,,,,1,,,50,92
5040,note_on,120,0,1,,,,,,,,,,0,,,67,0
5040,note_on,0,0,1,,,,,,,,,,0,,,75,0
5040,note_on,0,0,1,,,,,,,,,,0,,,65,80
5159,note_on,119,0,1,,,,,,,,,,0,,,65,0
5160,note_on,0,0,2,,,,,,,,,,1,,,38,90
5160,note_on,1,0,1,,,,,,,,,,0,,,68,80
5160,note_on,0,0,1,,,,,,,,,,0,,,77,80
5160,note_on,120,0,2,,,,,,,,,,1,,,50,0
5279,note_on,119,0,1,,,,,,,,,,0,,,77,0
5279,note_on,0,0,1,,,,,,,,,,0,,,68,0
5280,note_on,0,0,2,,,,,,,,,,1,,,39,88
5280,note_on,120,0,2,,,,,,,,,,1,,,38,0
5280,note_on,1,0,1,,,,,,,,,,0,,,67,79
5339,note_on,59,0,1,,,,,,,,,,0,,,67,0
5340,note_on,1,0,1,,,,,,,,,,0,,,79,79
5399,note_on,59,0,1,,,,,,,,,,0,,,79,0
5400,note_on,120,0,2,,,,,,,,,,1,,,39,0
5400,note_on,0,0,2,,,,,,,,,,1,,,51,88
5400,note_on,0,0,1,,,,,,,,,,0,,,79,100
5400,note_on,1,0,1,,,,,,,,,,0,,,70,100
5520,note_on,120,0,2,,,,,,,,,,1,,,51,0
5520,note_on,0,0,2,,,,,,,,,,1,,,46,88
5520,note_on,0,0,1,,,,,,,,,,0,,,68,80
5520,note_on,0,0,1,,,,,,,,,,0,,,70,0
5520,note_on,120,0,1,,,,,,,,,,0,,,79,0
5579,note_on,59,0,1,,,,,,,,,,0,,,68,0
5580,note_on,1,0,1,,,,,,,,,,0,,,80,80
5639,note_on,59,0,1,,,,,,,,,,0,,,80,0
5640,note_on,1,0,1,,,,,,,,,,0,,,77,80
5640,note_on,120,0,2,,,,,,,,,,1,,,46,0
5640,note_on,0,0,2,,,,,,,,,,1,,,34,87
5699,note_on,59,0,1,,,,,,,,,,0,,,77,0
5700,note_on,1,0,1,,,,,,,,,,0,,,74,80
5759,note_on,59,0,1,,,,,,,,,,0,,,74,0
5760,note_on,1,0,1,,,,,,,,,,0,,,75,80
5760,note_on,0,0,2,,,,,,,,,,1,,,39,87
5760,note_on,120,0,2,,,,,,,,,,1,,,34,0
5819,note_on,59,0,1,,,,,,,,,,0,,,75,0
5820,note_on,1,0,1,,,,,,,,,,0,,,79,79
5879,note_on,59,0,1,,,,,,,,,,0,,,79,0
5880,note_on,0,0,2,,,,,,,,,,1,,,51,80
5880,note_on,1,0,1,,,,,,,,,,0,,,75,80
5880,note_on,120,0,2,,,,,,,,,,1,,,39,0
5939,note_on,59,0,1,,,,,,,,,,0,,,75,0
5940,note_on,1,0,1,,,,,,,,,,0,,,70,80
5999,note_on,59,0,1,,,,,,,,,,0,,,70,0
6000,note_on,1,0,1,,,,,,,,,,0,,,67,80
6000,note_on,120,0,2,,,,,,,,,,1,,,51,0
6000,note_on,0,0,2,,,,,,,,,,1,,,39,80
6000,note_on,0,0,2,,,,,,,,,,1,,,51,80
6120,note_on,120,0,2,,,,,,,,,,1,,,51,0
6120,note_on,0,0,2,,,,,,,,,,1,,,55,80
6120,note_on,0,0,2,,,,,,,,,,1,,,43,80
6120,note_on,0,0,1,,,,,,,,,,0,,,58,80
6120,note_on,0,0,1,,,,,,,,,,0,,,70,80
6120,note_on,120,0,1,,,,,,,,,,0,,,67,0
6120,note_on,0,0,2,,,,,,,,,,1,,,39,0
6240,note_on,0,0,1,,,,,,,,,,0,,,70,0
6240,note_on,120,0,1,,,,,,,,,,0,,,58,0
6240,note_on,0,0,2,,,,,,,,,,1,,,44,80
6240,note_on,0,0,2,,,,,,,,,,1,,,55,0
6240,note_on,120,0,2,,,,,,,,,,1,,,43,0
6240,note_on,0,0,1,,,,,,,,,,0,,,60,85
6299,note_on,59,0,1,,,,,,,,,,0,,,60,0
6300,note_on,1,0,1,,,,,,,,,,0,,,72,85
6359,note_on,59,0,1,,,,,,,,,,0,,,72,0
6360,note_on,0,0,2,,,,,,,,,,1,,,51,80
6360,note_on,0,0,1,,,,,,,,,,0,,,63,80
6360,note_on,1,0,1,,,,,,,,,,0,,,72,80
6360,note_on,120,0,2,,,,,,,,,,1,,,44,0
6360,note_on,0,0,2,,,,,,,,,,1,,,56,80
6480,note_on,120,0,2,,,,,,,,,,1,,,56,0
6480,note_on,0,0,2,,,,,,,,,,1,,,51,0
6480,note_on,0,0,2,,,,,,,,,,1,,,46,80
6480,note_on,0,0,1,,,,,,,,,,0,,,62,85
6480,note_on,0,0,1,,,,,,,,,,0,,,72,0
6480,note_on,120,0,1,,,,,,,,,,0,,,63,0
6599,note_on,119,0,1,,,,,,,,,,0,,,62,0
6600,note_on,0,0,1,,,,,,,,,,0,,,65,85
6600,note_on,0,0,2,,,,,,,,,,1,,,53,80
6600,note_on,0,0,2,,,,,,,,,,1,,,58,80
6600,note_on,120,0,2,,,,,,,,,,1,,,46,0
6600,note_on,1,0,1,,,,,,,,,,0,,,74,85
6719,note_on,119,0,1,,,,,,,,,,0,,,65,0
6719,note_on,0,0,1,,,,,,,,,,0,,,74,0
6720,note_on,0,0,2,,,,,,,,,,1,,,58,0
6720,note_on,1,0,1,,,,,,,,,,0,,,63,85
6720,note_on,120,0,2,,,,,,,,,,1,,,53,0
6720,note_on,0,0,2,,,,,,,,,,1,,,48,80
6779,note_on,59,0,1,,,,,,,,,,0,,,63,0
6780,note_on,1,0,1,,,,,,,,,,0,,,75,85
6839,note_on,59,0,1,,,,,,,,,,0,,,75,0
6840,note_on,0,0,1,,,,,,,,,,0,,,75,80
6840,note_on,1,0,1,,,,,,,,,,0,,,67,80
6840,note_on,0,0,2,,,,,,,,,,1,,,55,80
6840,note_on,0,0,2,,,,,,,,,,1,,,60,80
6840,note_on,120,0,2,,,,,,,,,,1,,,48,0
6960,note_on,0,0,2,,,,,,,,,,1,,,50,100
6960,note_on,0,0,2,,,,,,,,,,1,,,60,0
6960,note_on,120,0,1,,,,,,,,,,0,,,75,0
6960,note_on,0,0,1,,,,,,,,,,0,,,67,0
6960,note_on,0,0,1,,,,,,,,,,0,,,65,85
6960,note_on,120,0,2,,,,,,,,,,1,,,55,0
7079,note_on,119,0,1,,,,,,,,,,0,,,65,0
7080,note_on,0,0,2,,,,,,,,,,1,,,58,100
7080,note_on,0,0,2,,,,,,,,,,1,,,62,100
7080,note_on,120,0,2,,,,,,,,,,1,,,50,0
7080,note_on,1,0,1,,,,,,,,,,0,,,77,85
7080,note_on,0,0,1,,,,,,,,,,0,,,68,85
7199,note_on,119,0,1,,,,,,,,,,0,,,68,0
7199,note_on,0,0,1,,,,,,,,,,0,,,77,0
7200,note_on,120,0,2,,,,,,,,,,1,,,58,0
7200,note_on,0,0,2,,,,,,,,,,1,,,62,0
7200,note_on,0,0,2,,,,,,,,,,1,,,51,80
7200,note_on,1,0,1,,,,,,,,,,0,,,67,85
7259,note_on,59,0,1,,,,,,,,,,0,,,67,0
7260,note_on,1,0,1,,,,,,,,,,0,,,79,85
7319,note_on,59,0,1,,,,,,,,,,0,,,79,0
7320,note_on,0,0,2,,,,,,,,,,1,,,58,80
7320,note_on,0,0,2,,,,,,,,,,1,,,63,80
7320,note_on,120,0,2,,,,,,,,,,1,,,51,0
7320,note_on,1,0,1,,,,,,,,,,0,,,70,80
7320,note_on,0,0,1,,,,,,,,,,0,,,79,80
7330,set_tempo,6900,1,0,,,,,,,372671,,,,,,,
7340,set_tempo,10,1,0,,,,,,,375000,,,,,,,
7350,set_tempo,10,1,0,,,,,,,379747,,,,,,,
7360,set_tempo,10,1,0,,,,,,,382166,,,,,,,
7370,set_tempo,10,1,0,,,,,,,387097,,,,,,,
7380,set_tempo,10,1,0,,,,,,,392157,,,,,,,
7390,set_tempo,10,1,0,,,,,,,394737,,,,,,,
7400,set_tempo,10,1,0,,,,,,,400000,,,,,,,
