tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,channel,pitch,control,value,program,note,velocity
8950,note_off,310,0,3,,,,,,,2,,,,,57,0
8950,note_off,310,0,4,,,,,,,3,,,,,53,0
9070,note_off,190,0,1,,,,,,,0,,,,,62,0
9120,note_on,170,0,4,,,,,,,3,,,,,54,42
9120,note_on,170,0,3,,,,,,,2,,,,,62,42
9120,note_on,50,0,1,,,,,,,0,,,,,74,42
9360,note_on,0,0,1,,,,,,,0,,,,,72,44
9360,note_off,240,0,1,,,,,,,0,,,,,74,0
9430,note_off,310,0,4,,,,,,,3,,,,,54,0
9430,note_off,310,0,3,,,,,,,2,,,,,62,0
9550,note_off,190,0,1,,,,,,,0,,,,,72,0
9600,marker,750,1,0,,,,,,,,,,,,,
9600,note_on,170,0,4,,,,,,,3,,,,,55,46
9600,note_on,50,0,1,,,,,,,0,,,,,72,46
9600,note_on,170,0,3,,,,,,,2,,,,,62,46
9840,note_on,0,0,1,,,,,,,0,,,,,70,49
9840,note_off,240,0,1,,,,,,,0,,,,,72,0
9910,note_off,310,0,4,,,,,,,3,,,,,55,0
9910,note_off,310,0,3,,,,,,,2,,,,,62,0
10080,note_on,170,0,4,,,,,,,3,,,,,57,51
10080,note_on,170,0,3,,,,,,,2,,,,,62,51
10080,note_off,240,0,1,,,,,,,0,,,,,70,0
10080,note_on,0,0,1,,,,,,,0,,,,,70,51
10320,note_off,240,0,1,,,,,,,0,,,,,70,0
10320,note_on,0,0,1,,,,,,,0,,,,,69,53
10390,note_off,310,0,4,,,,,,,3,,,,,57,0
10390,note_off,310,0,3,,,,,,,2,,,,,62,0
10510,note_off,190,0,1,,,,,,,0,,,,,69,0
10560,note_on,170,0,3,,,,,,,2,,,,,62,55
10560,note_on,50,0,1,,,,,,,0,,,,,69,55
10560,note_on,170,0,4,,,,,,,3,,,,,58,55
10800,note_off,240,0,1,,,,,,,0,,,,,69,0
10800,note_on,0,0,1,,,,,,,0,,,,,67,58
10870,note_off,310,0,4,,,,,,,3,,,,,58,0
10870,note_off,310,0,3,,,,,,,2,,,,,62,0
10990,note_off,190,0,1,,,,,,,0,,,,,67,0
11040,note_on,170,0,4,,,,,,,3,,,,,58,60
11040,note_on,50,0,1,,,,,,,0,,,,,67,62
11040,note_on,170,0,3,,,,,,,2,,,,,62,60
11040,set_tempo,1440,1,0,,,,,,279069,,,,,,,
11280,set_tempo,240,1,0,,,,,,283018,,,,,,,
11280,note_off,240,0,1,,,,,,,0,,,,,67,0
11280,note_on,0,0,1,,,,,,,0,,,,,68,70
11350,note_off,310,0,4,,,,,,,3,,,,,58,0
11350,note_off,310,0,3,,,,,,,2,,,,,62,0
11470,note_off,190,0,1,,,,,,,0,,,,,68,0
11520,note_on,170,0,3,,,,,,,2,,,,,62,78
11520,set_tempo,240,1,0,,,,,,1363636,,,,,,,
11520,note_on,50,0,1,,,,,,,0,,,,,68,80
11520,note_on,170,0,4,,,,,,,3,,,,,58,78
11520,note_on,0,0,3,,,,,,,2,,,,,65,78
11905,note_off,385,0,1,,,,,,,0,,,,,68,0
12000,set_tempo,480,1,0,,,,,,1428571,,,,,,,
12000,note_on,95,0,1,,,,,,,0,,,,,69,56
12060,note_on,60,0,1,,,,,,,0,,,,,68,52
12075,note_off,15,0,1,,,,,,,0,,,,,69,0
12120,note_on,45,0,1,,,,,,,0,,,,,66,49
12140,note_off,20,0,1,,,,,,,0,,,,,68,0
12180,set_tempo,180,1,0,,,,,,1500000,,,,,,,
12180,note_on,40,0,1,,,,,,,0,,,,,68,46
12195,note_off,15,0,1,,,,,,,0,,,,,66,0
12240,set_tempo,60,1,0,,,,,,2608695,,,,,,,
12240,note_off,45,0,1,,,,,,,0,,,,,68,0
12240,note_on,0,0,1,,,,,,,0,,,,,71,43
12360,set_tempo,120,1,0,,,,,,2608695,,,,,,,
12360,note_on,0,0,1,,,,,,,0,,,,,69,37
12360,note_off,120,0,1,,,,,,,0,,,,,71,0
12470,note_off,110,0,1,,,,,,,0,,,,,69,0
12480,note_off,960,0,3,,,,,,,2,,,,,65,0
12480,note_off,0,0,3,,,,,,,2,,,,,62,0
12480,note_on,0,0,3,,,,,,,2,,,,,61,34
12480,note_off,960,0,4,,,,,,,3,,,,,58,0
12480,set_tempo,120,1,0,,,,,,1714285,,,,,,,
12480,note_on,0,0,3,,,,,,,2,,,,,64,34
12480,note_on,0,0,4,,,,,,,3,,,,,57,34
12480,note_on,10,0,1,,,,,,,0,,,,,69,31
13385,note_off,905,0,3,,,,,,,2,,,,,64,0
13385,note_off,0,0,3,,,,,,,2,,,,,61,0
13385,note_off,905,0,4,,,,,,,3,,,,,57,0
13385,note_off,905,0,1,,,,,,,0,,,,,69,0
13440,note_on,0,0,4,,,,,,,3,,,,,40,26
13440,control_change,55,0,4,,,,,,,3,,64,127,,,
13440,control_change,55,0,1,,,,,,,0,,64,127,,,
13440,set_tempo,960,1,0,,,,,,1000000,,,,,,,
13490,note_off,50,0,4,,,,,,,3,,,,,40,0
13500,note_on,10,0,4,,,,,,,3,,,,,43,28
13550,note_off,50,0,4,,,,,,,3,,,,,43,0
13560,note_on,10,0,4,,,,,,,3,,,,,48,29
13610,note_off,50,0,4,,,,,,,3,,,,,48,0
13620,note_on,10,0,4,,,,,,,3,,,,,52,30
13620,set_tempo,180,1,0,,,,,,1034482,,,,,,,
13670,note_off,50,0,4,,,,,,,3,,,,,52,0
13680,note_on,10,0,4,,,,,,,3,,,,,55,31
13680,set_tempo,60,1,0,,,,,,1090909,,,,,,,
13730,note_off,50,0,4,,,,,,,3,,,,,55,0
13740,set_tempo,60,1,0,,,,,,1578947,,,,,,,
13740,note_on,300,0,1,,,,,,,0,,,,,60,33
14400,set_tempo,660,1,0,,,,,,1090909,,,,,,,
14400,note_on,0,0,1,,,,,,,0,,,,,64,30
14400,note_off,660,0,1,,,,,,,0,,,,,60,0
14800,note_off,400,0,1,,,,,,,0,,,,,64,0
14880,set_tempo,480,1,0,,,,,,1363636,,,,,,,
14880,note_on,80,0,1,,,,,,,0,,,,,67,28
15280,note_off,400,0,1,,,,,,,0,,,,,67,0
15360,set_tempo,480,1,0,,,,,,937500,,,,,,,
15360,note_on,80,0,1,,,,,,,0,,,,,72,25
16555,note_off,1195,0,1,,,,,,,0,,,,,72,0
16800,note_on,3415,0,3,,,,,,,2,,,,,60,40
16800,note_on,0,0,1,,,,,,,0,,,,,72,40
16800,control_change,245,0,1,,,,,,,0,,64,0,,,
16800,control_change,3070,0,4,,,,,,,3,,64,0,,,
16800,note_on,0,0,4,,,,,,,3,,,,,52,40
16800,set_tempo,1440,1,0,,,,,,242914,,,,,,,
17040,set_tempo,240,1,0,,,,,,240963,,,,,,,
17040,note_off,240,0,1,,,,,,,0,,,,,72,0
17040,note_on,0,0,1,,,,,,,0,,,,,70,41
17110,note_off,310,0,4,,,,,,,3,,,,,52,0
17110,note_off,310,0,3,,,,,,,2,,,,,60,0
17230,note_off,190,0,1,,,,,,,0,,,,,70,0
17280,note_on,50,0,1,,,,,,,0,,,,,70,43
17280,note_on,170,0,3,,,,,,,2,,,,,60,43
17280,note_on,170,0,4,,,,,,,3,,,,,53,43
17520,note_off,240,0,1,,,,,,,0,,,,,70,0
17520,note_on,0,0,1,,,,,,,0,,,,,68,44
17590,note_off,310,0,4,,,,,,,3,,,,,53,0
17590,note_off,310,0,3,,,,,,,2,,,,,60,0
17710,note_off,190,0,1,,,,,,,0,,,,,68,0
17760,note_on,50,0,1,,,,,,,0,,,,,68,45
18000,note_off,240,0,1,,,,,,,0,,,,,68,0
18000,note_on,0,0,1,,,,,,,0,,,,,69,46
18190,note_off,190,0,1,,,,,,,0,,,,,69,0
18240,note_on,50,0,1,,,,,,,0,,,,,69,47
18480,note_on,0,0,1,,,,,,,0,,,,,74,49
18480,note_off,240,0,1,,,,,,,0,,,,,69,0
18670,note_off,190,0,1,,,,,,,0,,,,,74,0
18720,note_on,1130,0,3,,,,,,,2,,,,,62,50
18720,note_on,1130,0,4,,,,,,,3,,,,,54,50
18720,note_on,50,0,1,,,,,,,0,,,,,74,50
18960,note_off,240,0,1,,,,,,,0,,,,,74,0
18960,note_on,0,0,1,,,,,,,0,,,,,72,51
19030,note_off,310,0,4,,,,,,,3,,,,,54,0
19030,note_off,310,0,3,,,,,,,2,,,,,62,0
19150,note_off,190,0,1,,,,,,,0,,,,,72,0
19200,note_on,50,0,1,,,,,,,0,,,,,72,52
19200,note_on,170,0,4,,,,,,,3,,,,,55,52
19200,note_on,170,0,3,,,,,,,2,,,,,62,52
19440,note_on,0,0,1,,,,,,,0,,,,,69,53
19440,note_off,240,0,1,,,,,,,0,,,,,72,0
19510,note_off,310,0,4,,,,,,,3,,,,,55,0
19510,note_off,310,0,3,,,,,,,2,,,,,62,0
19630,note_off,190,0,1,,,,,,,0,,,,,69,0
19680,note_on,50,0,1,,,,,,,0,,,,,69,55
19920,note_on,0,0,1,,,,,,,0,,,,,70,56
19920,note_off,240,0,1,,,,,,,0,,,,,69,0
20110,note_off,190,0,1,,,,,,,0,,,,,70,0
20160,note_on,50,0,1,,,,,,,0,,,,,70,57
20400,note_off,240,0,1,,,,,,,0,,,,,70,0
20400,note_on,0,0,1,,,,,,,0,,,,,75,58
20590,note_off,190,0,1,,,,,,,0,,,,,75,0
20640,note_on,50,0,1,,,,,,,0,,,,,75,59
20640,note_on,1130,0,4,,,,,,,3,,,,,55,59
20640,note_on,1130,0,3,,,,,,,2,,,,,58,59
20640,note_on,0,0,3,,,,,,,2,,,,,63,59
20880,note_off,240,0,1,,,,,,,0,,,,,75,0
20880,note_on,0,0,1,,,,,,,0,,,,,74,60
20950,note_off,310,0,4,,,,,,,3,,,,,55,0
20950,note_off,310,0,3,,,,,,,2,,,,,63,0
20950,note_off,0,0,3,,,,,,,2,,,,,58,0
21070,note_off,190,0,1,,,,,,,0,,,,,74,0
21120,note_on,50,0,1,,,,,,,0,,,,,74,62
21360,note_off,240,0,1,,,,,,,0,,,,,74,0
21360,note_on,0,0,1,,,,,,,0,,,,,73,63
21550,note_off,190,0,1,,,,,,,0,,,,,73,0
21600,note_on,650,0,4,,,,,,,3,,,,,55,64
21600,note_on,650,0,3,,,,,,,2,,,,,58,64
21600,note_on,0,0,3,,,,,,,2,,,,,61,64
21600,note_on,50,0,1,,,,,,,0,,,,,73,64
21600,note_on,0,0,3,,,,,,,2,,,,,64,64
21840,note_off,240,0,1,,,,,,,0,,,,,73,0
21840,note_on,0,0,1,,,,,,,0,,,,,82,65
21910,note_off,310,0,3,,,,,,,2,,,,,61,0
21910,note_off,0,0,3,,,,,,,2,,,,,64,0
21910,note_off,0,0,3,,,,,,,2,,,,,58,0
21910,note_off,310,0,4,,,,,,,3,,,,,55,0
22030,note_off,190,0,1,,,,,,,0,,,,,82,0
22080,note_on,50,0,1,,,,,,,0,,,,,82,67
22320,note_on,0,0,1,,,,,,,0,,,,,76,69
22320,note_off,240,0,1,,,,,,,0,,,,,82,0
22510,note_off,190,0,1,,,,,,,0,,,,,76,0
22560,note_on,0,0,3,,,,,,,2,,,,,64,69
22560,note_on,0,0,3,,,,,,,2,,,,,61,69
22560,note_on,650,0,4,,,,,,,3,,,,,55,69
22560,note_on,650,0,3,,,,,,,2,,,,,58,69
22560,note_on,50,0,1,,,,,,,0,,,,,76,71
22800,note_on,0,0,1,,,,,,,0,,,,,85,73
22800,note_off,240,0,1,,,,,,,0,,,,,76,0
22870,note_off,310,0,4,,,,,,,3,,,,,55,0
22870,note_off,0,0,3,,,,,,,2,,,,,58,0
22870,note_off,0,0,3,,,,,,,2,,,,,61,0
22870,note_off,310,0,3,,,,,,,2,,,,,64,0
22990,note_off,190,0,1,,,,,,,0,,,,,85,0
23040,note_on,50,0,1,,,,,,,0,,,,,85,74
23280,note_on,0,0,1,,,,,,,0,,,,,77,76
23280,note_off,240,0,1,,,,,,,0,,,,,85,0
23470,note_off,190,0,1,,,,,,,0,,,,,77,0
23520,note_on,650,0,4,,,,,,,3,,,,,56,74
23520,note_on,0,0,3,,,,,,,2,,,,,59,74
23520,note_on,650,0,3,,,,,,,2,,,,,65,74
23520,note_on,50,0,1,,,,,,,0,,,,,77,78
23520,note_on,0,0,3,,,,,,,2,,,,,62,74
23760,note_off,240,0,1,,,,,,,0,,,,,77,0
23760,note_on,0,0,1,,,,,,,0,,,,,86,80
23830,note_off,310,0,4,,,,,,,3,,,,,56,0
23830,note_off,0,0,3,,,,,,,2,,,,,65,0
23830,note_off,0,0,3,,,,,,,2,,,,,62,0
23830,note_off,310,0,3,,,,,,,2,,,,,59,0
23950,note_off,190,0,1,,,,,,,0,,,,,86,0
24000,note_on,50,0,1,,,,,,,0,,,,,86,82
24240,note_off,240,0,1,,,,,,,0,,,,,86,0
24240,note_on,0,0,1,,,,,,,0,,,,,77,84
24430,note_off,190,0,1,,,,,,,0,,,,,77,0
24480,note_on,650,0,4,,,,,,,3,,,,,56,78
24480,note_on,50,0,1,,,,,,,0,,,,,77,86
24480,note_on,650,0,3,,,,,,,2,,,,,65,78
24480,note_on,0,0,3,,,,,,,2,,,,,62,78
24480,note_on,0,0,3,,,,,,,2,,,,,59,78
24720,note_on,0,0,1,,,,,,,0,,,,,89,90
24720,note_off,240,0,1,,,,,,,0,,,,,77,0
24790,note_off,310,0,4,,,,,,,3,,,,,56,0
24790,note_off,310,0,3,,,,,,,2,,,,,59,0
24790,note_off,0,0,3,,,,,,,2,,,,,65,0
24790,note_off,0,0,3,,,,,,,2,,,,,62,0
24910,note_off,190,0,1,,,,,,,0,,,,,89,0
24920,set_tempo,7880,1,0,,,,,,242914,,,,,,,
24960,set_tempo,40,1,0,,,,,,240963,,,,,,,
24960,note_on,170,0,4,,,,,,,3,,,,,57,86
24960,note_on,0,0,3,,,,,,,2,,,,,62,86
24960,note_on,50,0,1,,,,,,,0,,,,,89,97
24960,note_on,170,0,3,,,,,,,2,,,,,65,86
25200,note_on,0,0,1,,,,,,,0,,,,,85,94
25200,note_off,240,0,1,,,,,,,0,,,,,89,0
25270,note_off,310,0,4,,,,,,,3,,,,,57,0
25270,note_off,310,0,3,,,,,,,2,,,,,62,0
25270,note_off,0,0,3,,,,,,,2,,,,,65,0
25390,note_off,190,0,1,,,,,,,0,,,,,85,0
25440,note_on,50,0,1,,,,,,,0,,,,,85,90
25680,note_off,240,0,1,,,,,,,0,,,,,85,0
25680,note_on,0,0,1,,,,,,,0,,,,,86,88
25870,note_off,190,0,1,,,,,,,0,,,,,86,0
25920,note_on,50,0,1,,,,,,,0,,,,,86,86
26160,note_off,240,0,1,,,,,,,0,,,,,86,0
26160,note_on,0,0,1,,,,,,,0,,,,,80,84
26350,note_off,190,0,1,,,,,,,0,,,,,80,0
26400,note_on,50,0,1,,,,,,,0,,,,,80,82
26640,note_on,0,0,1,,,,,,,0,,,,,81,80
26640,note_off,240,0,1,,,,,,,0,,,,,80,0
26830,note_off,190,0,1,,,,,,,0,,,,,81,0
26880,note_on,50,0,1,,,,,,,0,,,,,81,78
27120,note_on,0,0,1,,,,,,,0,,,,,76,78
27120,note_off,240,0,1,,,,,,,0,,,,,81,0
27310,note_off,190,0,1,,,,,,,0,,,,,76,0
27360,note_on,50,0,1,,,,,,,0,,,,,76,77
27600,note_off,240,0,1,,,,,,,0,,,,,76,0
27600,note_on,0,0,1,,,,,,,0,,,,,77,76
27790,note_off,190,0,1,,,,,,,0,,,,,77,0
27840,note_on,50,0,1,,,,,,,0,,,,,77,75
28080,note_off,240,0,1,,,,,,,0,,,,,77,0
28080,note_on,0,0,1,,,,,,,0,,,,,73,74
28270,note_off,190,0,1,,,,,,,0,,,,,73,0
28320,note_on,50,0,1,,,,,,,0,,,,,73,73
28560,note_off,240,0,1,,,,,,,0,,,,,73,0
28560,note_on,0,0,1,,,,,,,0,,,,,74,72
28750,note_off,190,0,1,,,,,,,0,,,,,74,0
28800,note_on,50,0,1,,,,,,,0,,,,,74,71
28800,set_tempo,3840,1,0,,,,,,240963,,,,,,,
29040,note_on,0,0,1,,,,,,,0,,,,,68,70
29040,note_off,240,0,1,,,,,,,0,,,,,74,0
29230,note_off,190,0,1,,,,,,,0,,,,,68,0
29280,note_on,50,0,1,,,,,,,0,,,,,68,69
29520,note_on,0,0,1,,,,,,,0,,,,,69,68
29520,note_off,240,0,1,,,,,,,0,,,,,68,0
29710,note_off,190,0,1,,,,,,,0,,,,,69,0
29760,note_on,50,0,1,,,,,,,0,,,,,69,67
30000,note_off,240,0,1,,,,,,,0,,,,,69,0
30000,note_on,0,0,1,,,,,,,0,,,,,64,66
30190,note_off,190,0,1,,,,,,,0,,,,,64,0
30240,note_on,50,0,1,,,,,,,0,,,,,64,65
30480,note_on,0,0,1,,,,,,,0,,,,,65,64
30480,note_off,240,0,1,,,,,,,0,,,,,64,0
30670,note_off,190,0,1,,,,,,,0,,,,,65,0
30720,note_on,50,0,1,,,,,,,0,,,,,65,63
30960,note_off,240,0,1,,,,,,,0,,,,,65,0
30960,note_on,0,0,1,,,,,,,0,,,,,61,62
31150,note_off,190,0,1,,,,,,,0,,,,,61,0
31200,note_on,50,0,1,,,,,,,0,,,,,61,61
31440,note_off,240,0,1,,,,,,,0,,,,,61,0
31440,note_on,0,0,1,,,,,,,0,,,,,62,60
31630,note_off,190,0,1,,,,,,,0,,,,,62,0
31680,note_on,50,0,1,,,,,,,0,,,,,62,59
31920,note_off,240,0,1,,,,,,,0,,,,,62,0
31920,note_on,0,0,1,,,,,,,0,,,,,58,59
32110,note_off,190,0,1,,,,,,,0,,,,,58,0
32120,set_tempo,3320,1,0,,,,,,242914,,,,,,,
32160,note_on,50,0,1,,,,,,,0,,,,,58,73
32160,note_on,6890,0,4,,,,,,,3,,,,,46,71
32160,set_tempo,40,1,0,,,,,,240963,,,,,,,
32400,note_off,240,0,1,,,,,,,0,,,,,58,0
32400,note_on,0,0,1,,,,,,,0,,,,,57,62
32400,note_on,0,0,4,,,,,,,3,,,,,45,60
32400,note_off,240,0,4,,,,,,,3,,,,,46,0
32590,note_off,190,0,4,,,,,,,3,,,,,45,0
32590,note_off,190,0,1,,,,,,,0,,,,,57,0
32640,note_on,50,0,4,,,,,,,3,,,,,45,56
32640,note_on,50,0,1,,,,,,,0,,,,,57,56
32880,note_on,0,0,4,,,,,,,3,,,,,49,56
32880,note_on,0,0,1,,,,,,,0,,,,,61,56
32880,note_off,240,0,4,,,,,,,3,,,,,45,0
32880,note_off,240,0,1,,,,,,,0,,,,,57,0
33070,note_off,190,0,4,,,,,,,3,,,,,49,0
33070,note_off,190,0,1,,,,,,,0,,,,,61,0
33120,note_on,50,0,1,,,,,,,0,,,,,61,56
33120,note_on,50,0,4,,,,,,,3,,,,,49,56
33360,note_off,240,0,4,,,,,,,3,,,,,49,0
33360,note_on,0,0,4,,,,,,,3,,,,,50,57
33360,note_off,240,0,1,,,,,,,0,,,,,61,0
33360,note_on,0,0,1,,,,,,,0,,,,,62,57
33550,note_off,190,0,1,,,,,,,0,,,,,62,0
33550,note_off,190,0,4,,,,,,,3,,,,,50,0
33600,note_on,50,0,1,,,,,,,0,,,,,62,58
33600,note_on,50,0,4,,,,,,,3,,,,,50,58
33840,note_on,0,0,1,,,,,,,0,,,,,58,59
33840,note_off,240,0,1,,,,,,,0,,,,,62,0
