tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,note,velocity
190,note_on,46,0,3,,,,,,,,,,2,,62,0
190,note_on,142,0,1,,,,,,,,,,0,,71,0
192,note_on,2,0,1,,,,,,,,,,0,,72,92
192,note_on,2,0,3,,,,,,,,,,2,,67,92
208,note_on,160,0,4,,,,,,,,,,3,,55,0
238,note_on,46,0,1,,,,,,,,,,0,,72,0
240,note_on,32,0,4,,,,,,,,,,3,,57,92
240,note_on,2,0,1,,,,,,,,,,0,,74,92
262,note_on,22,0,1,,,,,,,,,,0,,74,0
264,note_on,2,0,1,,,,,,,,,,0,,72,92
286,note_on,94,0,3,,,,,,,,,,2,,67,0
286,note_on,22,0,1,,,,,,,,,,0,,72,0
288,note_on,2,0,3,,,,,,,,,,2,,67,92
288,note_on,2,0,1,,,,,,,,,,0,,74,92
310,note_on,22,0,1,,,,,,,,,,0,,74,0
312,note_on,2,0,1,,,,,,,,,,0,,72,92
334,note_on,46,0,3,,,,,,,,,,2,,67,0
334,note_on,22,0,1,,,,,,,,,,0,,72,0
336,note_on,2,0,1,,,,,,,,,,0,,74,92
336,note_on,2,0,3,,,,,,,,,,2,,66,92
358,note_on,22,0,1,,,,,,,,,,0,,74,0
360,note_on,2,0,1,,,,,,,,,,0,,72,92
382,note_on,46,0,3,,,,,,,,,,2,,66,0
382,note_on,22,0,1,,,,,,,,,,0,,72,0
384,note_on,2,0,1,,,,,,,,,,0,,71,92
384,note_on,2,0,3,,,,,,,,,,2,,64,92
400,note_on,160,0,4,,,,,,,,,,3,,57,0
406,note_on,22,0,1,,,,,,,,,,0,,71,0
408,note_on,2,0,1,,,,,,,,,,0,,72,92
430,note_on,22,0,1,,,,,,,,,,0,,72,0
430,note_on,46,0,3,,,,,,,,,,2,,64,0
432,note_on,2,0,1,,,,,,,,,,0,,74,92
432,note_on,32,0,4,,,,,,,,,,3,,59,92
480,note_on,50,0,3,,,,,,,,,,2,,62,92
526,note_on,46,0,3,,,,,,,,,,2,,62,0
528,note_on,2,0,3,,,,,,,,,,2,,66,92
574,note_on,46,0,3,,,,,,,,,,2,,66,0
576,note_on,2,0,3,,,,,,,,,,2,,67,92
624,note_on,624,0,2,,,,,,,,,,1,,71,92
670,note_on,238,0,1,,,,,,,,,,0,,74,0
672,note_on,2,0,1,,,,,,,,,,0,,74,92
688,note_on,256,0,4,,,,,,,,,,3,,59,0
718,note_on,46,0,1,,,,,,,,,,0,,74,0
720,note_on,32,0,4,,,,,,,,,,3,,59,92
720,note_on,2,0,1,,,,,,,,,,0,,78,92
766,note_on,46,0,1,,,,,,,,,,0,,78,0
768,note_on,2,0,1,,,,,,,,,,0,,79,92
784,note_on,160,0,2,,,,,,,,,,1,,71,0
814,note_on,94,0,4,,,,,,,,,,3,,59,0
814,note_on,46,0,1,,,,,,,,,,0,,79,0
816,note_on,2,0,4,,,,,,,,,,3,,60,92
816,note_on,2,0,1,,,,,,,,,,0,,76,92
862,note_on,46,0,1,,,,,,,,,,0,,76,0
864,note_on,2,0,1,,,,,,,,,,0,,79,92
910,note_on,46,0,1,,,,,,,,,,0,,79,0
910,note_on,94,0,4,,,,,,,,,,3,,60,0
912,note_on,2,0,1,,,,,,,,,,0,,74,92
912,note_on,2,0,4,,,,,,,,,,3,,59,92
958,note_on,46,0,1,,,,,,,,,,0,,74,0
960,note_on,2,0,1,,,,,,,,,,0,,79,92
1006,note_on,94,0,4,,,,,,,,,,3,,59,0
1006,note_on,46,0,1,,,,,,,,,,0,,79,0
1008,note_on,2,0,4,,,,,,,,,,3,,57,92
1008,note_on,2,0,1,,,,,,,,,,0,,72,92
1054,note_on,46,0,1,,,,,,,,,,0,,72,0
1056,note_on,2,0,1,,,,,,,,,,0,,71,92
1072,note_on,496,0,3,,,,,,,,,,2,,67,0
1102,note_on,46,0,1,,,,,,,,,,0,,71,0
1104,note_on,32,0,3,,,,,,,,,,2,,66,92
1104,note_on,2,0,1,,,,,,,,,,0,,72,92
1150,note_on,46,0,1,,,,,,,,,,0,,72,0
1152,note_on,2,0,1,,,,,,,,,,0,,81,92
1168,note_on,160,0,4,,,,,,,,,,3,,57,0
1198,note_on,46,0,1,,,,,,,,,,0,,81,0
1198,note_on,94,0,3,,,,,,,,,,2,,66,0
1200,note_on,32,0,4,,,,,,,,,,3,,55,92
1200,note_on,2,0,1,,,,,,,,,,0,,72,92
1246,note_on,46,0,1,,,,,,,,,,0,,72,0
1248,note_on,2,0,1,,,,,,,,,,0,,71,92
1294,note_on,46,0,1,,,,,,,,,,0,,71,0
1296,note_on,2,0,1,,,,,,,,,,0,,69,92
1296,note_on,98,0,3,,,,,,,,,,2,,59,92
1342,note_on,46,0,1,,,,,,,,,,0,,69,0
1344,note_on,2,0,1,,,,,,,,,,0,,67,92
1390,note_on,46,0,1,,,,,,,,,,0,,67,0
1390,note_on,94,0,3,,,,,,,,,,2,,59,0
1392,note_on,2,0,1,,,,,,,,,,0,,71,92
1392,note_on,608,0,2,,,,,,,,,,1,,62,92
1438,note_on,238,0,4,,,,,,,,,,3,,55,0
1440,note_on,2,0,4,,,,,,,,,,3,,54,92
1486,note_on,46,0,4,,,,,,,,,,3,,54,0
1486,note_on,94,0,2,,,,,,,,,,1,,62,0
1488,note_on,2,0,2,,,,,,,,,,1,,67,92
1488,note_on,2,0,4,,,,,,,,,,3,,52,92
1534,note_on,46,0,4,,,,,,,,,,3,,52,0
1536,note_on,2,0,4,,,,,,,,,,3,,50,92
1582,note_on,46,0,4,,,,,,,,,,3,,50,0
1582,note_on,94,0,2,,,,,,,,,,1,,67,0
1584,note_on,2,0,4,,,,,,,,,,3,,49,92
1584,note_on,2,0,2,,,,,,,,,,1,,64,92
1630,note_on,238,0,1,,,,,,,,,,0,,71,0
1632,note_on,2,0,1,,,,,,,,,,0,,76,92
1678,note_on,46,0,1,,,,,,,,,,0,,76,0
1680,note_on,2,0,1,,,,,,,,,,0,,69,92
1680,note_on,290,0,3,,,,,,,,,,2,,52,92
1726,note_on,46,0,1,,,,,,,,,,0,,69,0
1728,note_on,2,0,1,,,,,,,,,,0,,76,92
1744,note_on,160,0,2,,,,,,,,,,1,,64,0
1774,note_on,94,0,3,,,,,,,,,,2,,52,0
1774,note_on,46,0,1,,,,,,,,,,0,,76,0
1776,note_on,2,0,1,,,,,,,,,,0,,67,92
1776,note_on,2,0,3,,,,,,,,,,2,,57,92
1822,note_on,46,0,1,,,,,,,,,,0,,67,0
1824,note_on,2,0,1,,,,,,,,,,0,,66,92
1840,note_on,256,0,4,,,,,,,,,,3,,49,0
1870,note_on,46,0,1,,,,,,,,,,0,,66,0
1872,note_on,2,0,1,,,,,,,,,,0,,67,92
1872,note_on,32,0,4,,,,,,,,,,3,,49,92
1918,note_on,46,0,1,,,,,,,,,,0,,67,0
1920,note_on,2,0,1,,,,,,,,,,0,,76,92
1936,note_on,160,0,3,,,,,,,,,,2,,57,0
1966,note_on,46,0,1,,,,,,,,,,0,,76,0
1966,note_on,94,0,4,,,,,,,,,,3,,49,0
1968,note_on,2,0,1,,,,,,,,,,0,,67,92
1968,note_on,2,0,4,,,,,,,,,,3,,50,92
2014,note_on,46,0,1,,,,,,,,,,0,,67,0
2016,note_on,2,0,1,,,,,,,,,,0,,66,92
2062,note_on,46,0,1,,,,,,,,,,0,,66,0
2064,note_on,128,0,3,,,,,,,,,,2,,54,92
2064,note_on,2,0,1,,,,,,,,,,0,,64,92
2110,note_on,46,0,1,,,,,,,,,,0,,64,0
2112,note_on,2,0,1,,,,,,,,,,0,,62,92
2158,note_on,94,0,3,,,,,,,,,,2,,54,0
2158,note_on,46,0,1,,,,,,,,,,0,,62,0
2160,note_on,2,0,1,,,,,,,,,,0,,64,92
2160,note_on,2,0,3,,,,,,,,,,2,,57,92
2206,note_on,46,0,1,,,,,,,,,,0,,64,0
2208,note_on,2,0,1,,,,,,,,,,0,,66,92
2224,note_on,256,0,4,,,,,,,,,,3,,50,0
2254,note_on,46,0,1,,,,,,,,,,0,,66,0
2256,note_on,32,0,4,,,,,,,,,,3,,48,92
2256,note_on,2,0,1,,,,,,,,,,0,,67,92
2302,note_on,46,0,1,,,,,,,,,,0,,67,0
2304,note_on,2,0,1,,,,,,,,,,0,,66,92
2320,note_on,160,0,3,,,,,,,,,,2,,57,0
2350,note_on,94,0,4,,,,,,,,,,3,,48,0
2350,note_on,46,0,1,,,,,,,,,,0,,66,0
2352,note_on,32,0,3,,,,,,,,,,2,,50,92
2352,note_on,2,0,4,,,,,,,,,,3,,47,92
2352,note_on,2,0,1,,,,,,,,,,0,,67,92
2398,note_on,46,0,1,,,,,,,,,,0,,67,0
2400,note_on,2,0,1,,,,,,,,,,0,,69,92
2446,note_on,94,0,3,,,,,,,,,,2,,50,0
2446,note_on,46,0,1,,,,,,,,,,0,,69,0
2448,note_on,2,0,3,,,,,,,,,,2,,55,92
2448,note_on,2,0,1,,,,,,,,,,0,,67,92
2494,note_on,46,0,1,,,,,,,,,,0,,67,0
2496,note_on,2,0,1,,,,,,,,,,0,,69,92
2512,note_on,160,0,4,,,,,,,,,,3,,47,0
2542,note_on,46,0,1,,,,,,,,,,0,,69,0
2544,note_on,2,0,1,,,,,,,,,,0,,71,92
2544,note_on,32,0,4,,,,,,,,,,3,,45,92
2566,note_on,22,0,1,,,,,,,,,,0,,71,0
2568,note_on,2,0,1,,,,,,,,,,0,,69,92
2590,note_on,22,0,1,,,,,,,,,,0,,69,0
2592,note_on,2,0,1,,,,,,,,,,0,,71,92
2614,note_on,22,0,1,,,,,,,,,,0,,71,0
2616,note_on,2,0,1,,,,,,,,,,0,,69,92
2638,note_on,22,0,1,,,,,,,,,,0,,69,0
2640,note_on,2,0,1,,,,,,,,,,0,,71,92
2662,note_on,22,0,1,,,,,,,,,,0,,71,0
2664,note_on,2,0,1,,,,,,,,,,0,,69,92
2686,note_on,22,0,1,,,,,,,,,,0,,69,0
2688,note_on,2,0,1,,,,,,,,,,0,,67,92
2704,note_on,160,0,4,,,,,,,,,,3,,45,0
2710,note_on,22,0,1,,,,,,,,,,0,,67,0
2712,note_on,2,0,1,,,,,,,,,,0,,69,92
2734,note_on,22,0,1,,,,,,,,,,0,,69,0
2734,note_on,286,0,3,,,,,,,,,,2,,55,0
2736,note_on,2,0,3,,,,,,,,,,2,,55,92
2736,note_on,2,0,1,,,,,,,,,,0,,71,92
2784,note_on,80,0,4,,,,,,,,,,3,,43,92
2830,note_on,46,0,4,,,,,,,,,,3,,43,0
2832,note_on,2,0,4,,,,,,,,,,3,,47,92
2878,note_on,46,0,4,,,,,,,,,,3,,47,0
2880,note_on,2,0,4,,,,,,,,,,3,,50,92
2896,note_on,160,0,3,,,,,,,,,,2,,55,0
2926,note_on,46,0,4,,,,,,,,,,3,,50,0
2928,note_on,2,0,4,,,,,,,,,,3,,55,92
2974,note_on,238,0,1,,,,,,,,,,0,,71,0
2976,note_on,2,0,1,,,,,,,,,,0,,71,92
3022,note_on,46,0,1,,,,,,,,,,0,,71,0
3022,note_on,94,0,4,,,,,,,,,,3,,55,0
3024,note_on,2,0,4,,,,,,,,,,3,,57,92
3024,note_on,2,0,1,,,,,,,,,,0,,76,92
3070,note_on,46,0,1,,,,,,,,,,0,,76,0
3070,note_on,46,0,4,,,,,,,,,,3,,57,0
3072,note_on,2,0,4,,,,,,,,,,3,,59,92
3072,note_on,2,0,1,,,,,,,,,,0,,75,92
3118,note_on,46,0,4,,,,,,,,,,3,,59,0
3118,note_on,46,0,1,,,,,,,,,,0,,75,0
3120,note_on,2,0,1,,,,,,,,,,0,,76,92
3120,note_on,2,0,4,,,,,,,,,,3,,60,92
3166,note_on,46,0,1,,,,,,,,,,0,,76,0
3168,note_on,2,0,1,,,,,,,,,,0,,78,92
3214,note_on,46,0,1,,,,,,,,,,0,,78,0
3214,note_on,94,0,4,,,,,,,,,,3,,60,0
3216,note_on,2,0,4,,,,,,,,,,3,,55,92
3216,note_on,320,0,3,,,,,,,,,,2,,64,92
3216,note_on,2,0,1,,,,,,,,,,0,,76,92
3262,note_on,46,0,1,,,,,,,,,,0,,76,0
3264,note_on,2,0,1,,,,,,,,,,0,,78,92
3310,note_on,46,0,1,,,,,,,,,,0,,78,0
3310,note_on,94,0,4,,,,,,,,,,3,,55,0
3312,note_on,2,0,1,,,,,,,,,,0,,79,92
3312,note_on,2,0,4,,,,,,,,,,3,,57,92
3334,note_on,22,0,1,,,,,,,,,,0,,79,0
3336,note_on,2,0,1,,,,,,,,,,0,,78,92
3358,note_on,22,0,1,,,,,,,,,,0,,78,0
3360,note_on,2,0,1,,,,,,,,,,0,,79,92
3376,note_on,160,0,3,,,,,,,,,,2,,64,0
3382,note_on,22,0,1,,,,,,,,,,0,,79,0
3384,note_on,2,0,1,,,,,,,,,,0,,78,92
3406,note_on,22,0,1,,,,,,,,,,0,,78,0
3406,note_on,94,0,4,,,,,,,,,,3,,57,0
3408,note_on,2,0,4,,,,,,,,,,3,,59,92
3408,note_on,2,0,1,,,,,,,,,,0,,79,92
3408,note_on,32,0,3,,,,,,,,,,2,,63,92
3430,note_on,22,0,1,,,,,,,,,,0,,79,0
3432,note_on,2,0,1,,,,,,,,,,0,,78,92
3454,note_on,22,0,1,,,,,,,,,,0,,78,0
3456,note_on,2,0,1,,,,,,,,,,0,,76,92
3478,note_on,22,0,1,,,,,,,,,,0,,76,0
3480,note_on,2,0,1,,,,,,,,,,0,,78,92
3502,note_on,22,0,1,,,,,,,,,,0,,78,0
3502,note_on,94,0,4,,,,,,,,,,3,,59,0
3502,note_on,94,0,3,,,,,,,,,,2,,63,0
3504,note_on,2,0,3,,,,,,,,,,2,,64,92
3504,note_on,2,0,4,,,,,,,,,,3,,64,92
3504,note_on,2,0,1,,,,,,,,,,0,,79,92
3550,note_on,46,0,4,,,,,,,,,,3,,64,0
3552,note_on,2,0,4,,,,,,,,,,3,,59,92
3598,note_on,46,0,4,,,,,,,,,,3,,59,0
3600,note_on,2,0,4,,,,,,,,,,3,,55,92
3646,note_on,46,0,4,,,,,,,,,,3,,55,0
3648,note_on,2,0,4,,,,,,,,,,3,,59,92
3664,note_on,160,0,3,,,,,,,,,,2,,64,0
3694,note_on,46,0,4,,,,,,,,,,3,,59,0
3696,note_on,2,0,4,,,,,,,,,,3,,52,92
3742,note_on,238,0,1,,,,,,,,,,0,,79,0
3744,note_on,2,0,1,,,,,,,,,,0,,78,92
3790,note_on,46,0,1,,,,,,,,,,0,,78,0
3790,note_on,94,0,4,,,,,,,,,,3,,52,0
3792,note_on,2,0,1,,,,,,,,,,0,,76,92
3792,note_on,2,0,4,,,,,,,,,,3,,55,92
3838,note_on,46,0,1,,,,,,,,,,0,,76,0
3840,note_on,2,0,1,,,,,,,,,,0,,74,92
3886,note_on,46,0,1,,,,,,,,,,0,,74,0
3886,note_on,94,0,4,,,,,,,,,,3,,55,0
3888,note_on,2,0,4,,,,,,,,,,3,,57,92
3888,note_on,2,0,1,,,,,,,,,,0,,73,92
3934,note_on,46,0,1,,,,,,,,,,0,,73,0
3936,note_on,2,0,1,,,,,,,,,,0,,76,92
3982,note_on,46,0,1,,,,,,,,,,0,,76,0
3984,note_on,320,0,3,,,,,,,,,,2,,59,92
3984,note_on,2,0,1,,,,,,,,,,0,,71,92
4030,note_on,46,0,1,,,,,,,,,,0,,71,0
4032,note_on,2,0,1,,,,,,,,,,0,,76,92
4078,note_on,94,0,3,,,,,,,,,,2,,59,0
4078,note_on,46,0,1,,,,,,,,,,0,,76,0
4080,note_on,2,0,1,,,,,,,,,,0,,69,92
4080,note_on,2,0,3,,,,,,,,,,2,,61,92
4126,note_on,46,0,1,,,,,,,,,,0,,69,0
4128,note_on,2,0,1,,,,,,,,,,0,,79,92
4144,note_on,256,0,4,,,,,,,,,,3,,57,0
4174,note_on,46,0,1,,,,,,,,,,0,,79,0
4176,note_on,32,0,4,,,,,,,,,,3,,57,92
4176,note_on,2,0,1,,,,,,,,,,0,,78,92
4222,note_on,46,0,1,,,,,,,,,,0,,78,0
4224,note_on,2,0,1,,,,,,,,,,0,,76,92
4240,note_on,160,0,3,,,,,,,,,,2,,61,0
4270,note_on,94,0,4,,,,,,,,,,3,,57,0
4270,note_on,46,0,1,,,,,,,,,,0,,76,0
4272,note_on,2,0,4,,,,,,,,,,3,,50,92
4272,note_on,32,0,3,,,,,,,,,,2,,62,92
4272,note_on,2,0,1,,,,,,,,,,0,,78,92
4318,note_on,46,0,1,,,,,,,,,,0,,78,0
4320,note_on,2,0,1,,,,,,,,,,0,,81,92
4366,note_on,46,0,1,,,,,,,,,,0,,81,0
4366,note_on,94,0,4,,,,,,,,,,3,,50,0
4368,note_on,2,0,4,,,,,,,,,,3,,52,92
4368,note_on,2,0,1,,,,,,,,,,0,,76,92
4414,note_on,46,0,1,,,,,,,,,,0,,76,0
4416,note_on,2,0,1,,,,,,,,,,0,,81,92
4462,note_on,94,0,4,,,,,,,,,,3,,52,0
4462,note_on,46,0,1,,,,,,,,,,0,,81,0
4464,note_on,2,0,1,,,,,,,,,,0,,74,92
4464,note_on,2,0,4,,,,,,,,,,3,,54,92
4510,note_on,46,0,1,,,,,,,,,,0,,74,0
4512,note_on,2,0,1,,,,,,,,,,0,,72,92
4558,note_on,46,0,1,,,,,,,,,,0,,72,0
4558,note_on,94,0,4,,,,,,,,,,3,,54,0
4560,note_on,2,0,1,,,,,,,,,,0,,71,92
4560,note_on,2,0,4,,,,,,,,,,3,,50,92
4606,note_on,46,0,1,,,,,,,,,,0,,71,0
4608,note_on,2,0,1,,,,,,,,,,0,,69,92
4654,note_on,46,0,1,,,,,,,,,,0,,69,0
4654,note_on,94,0,4,,,,,,,,,,3,,50,0
4656,note_on,2,0,4,,,,,,,,,,3,,55,92
4656,note_on,2,0,1,,,,,,,,,,0,,71,92
4702,note_on,46,0,1,,,,,,,,,,0,,71,0
4704,note_on,2,0,1,,,,,,,,,,0,,74,92
4750,note_on,46,0,1,,,,,,,,,,0,,74,0
4750,note_on,478,0,3,,,,,,,,,,2,,62,0
4752,note_on,2,0,1,,,,,,,,,,0,,69,92
4752,note_on,2,0,3,,,,,,,,,,2,,60,92
4798,note_on,46,0,1,,,,,,,,,,0,,69,0
4800,note_on,2,0,1,,,,,,,,,,0,,74,92
4846,note_on,46,0,1,,,,,,,,,,0,,74,0
4846,note_on,94,0,3,,,,,,,,,,2,,60,0
4848,note_on,2,0,3,,,,,,,,,,2,,59,92
4848,note_on,2,0,1,,,,,,,,,,0,,67,92
4894,note_on,46,0,1,,,,,,,,,,0,,67,0
4896,note_on,2,0,1,,,,,,,,,,0,,74,92
4942,note_on,46,0,1,,,,,,,,,,0,,74,0
4942,note_on,94,0,3,,,,,,,,,,2,,59,0
4944,note_on,2,0,3,,,,,,,,,,2,,57,92
4944,note_on,2,0,1,,,,,,,,,,0,,66,92
4990,note_on,46,0,1,,,,,,,,,,0,,66,0
4992,note_on,2,0,1,,,,,,,,,,0,,74,92
5038,note_on,94,0,3,,,,,,,,,,2,,57,0
5038,note_on,46,0,1,,,,,,,,,,0,,74,0
5040,note_on,2,0,1,,,,,,,,,,0,,64,92
5040,note_on,2,0,3,,,,,,,,,,2,,55,92
5086,note_on,46,0,1,,,,,,,,,,0,,64,0
5088,note_on,2,0,1,,,,,,,,,,0,,74,92
5134,note_on,478,0,4,,,,,,,,,,3,,55,0
5134,note_on,46,0,1,,,,,,,,,,0,,74,0
5136,note_on,2,0,4,,,,,,,,,,3,,52,92
5136,note_on,2,0,1,,,,,,,,,,0,,73,92
5182,note_on,46,0,1,,,,,,,,,,0,,73,0
5184,note_on,2,0,1,,,,,,,,,,0,,71,92
5230,note_on,94,0,4,,,,,,,,,,3,,52,0
5230,note_on,46,0,1,,,,,,,,,,0,,71,0
5232,note_on,2,0,4,,,,,,,,,,3,,45,92
5232,note_on,2,0,1,,,,,,,,,,0,,73,92
5278,note_on,46,0,1,,,,,,,,,,0,,73,0
5280,note_on,2,0,1,,,,,,,,,,0,,76,92
5296,note_on,256,0,3,,,,,,,,,,2,,55,0
5326,note_on,94,0,4,,,,,,,,,,3,,45,0
5326,note_on,46,0,1,,,,,,,,,,0,,76,0
5328,note_on,32,0,3,,,,,,,,,,2,,52,92
5328,note_on,2,0,1,,,,,,,,,,0,,69,92
5328,note_on,2,0,4,,,,,,,,,,3,,49,92
5374,note_on,46,0,1,,,,,,,,,,0,,69,0
5376,note_on,2,0,1,,,,,,,,,,0,,79,92
5422,note_on,46,0,1,,,,,,,,,,0,,79,0
5422,note_on,94,0,4,,,,,,,,,,3,,49,0
5422,note_on,94,0,3,,,,,,,,,,2,,52,0
5424,note_on,2,0,1,,,,,,,,,,0,,78,92
5424,note_on,2,0,4,,,,,,,,,,3,,50,92
5424,note_on,2,0,3,,,,,,,,,,2,,50,92
5470,note_on,46,0,1,,,,,,,,,,0,,78,0
5472,note_on,2,0,1,,,,,,,,,,0,,76,92
5518,note_on,46,0,1,,,,,,,,,,0,,76,0
5518,note_on,94,0,4,,,,,,,,,,3,,50,0
5520,note_on,2,0,4,,,,,,,,,,3,,43,92
5520,note_on,2,0,1,,,,,,,,,,0,,78,92
5566,note_on,142,0,3,,,,,,,,,,2,,50,0
5566,note_on,46,0,1,,,,,,,,,,0,,78,0
5568,note_on,2,0,3,,,,,,,,,,2,,52,92
5568,note_on,2,0,1,,,,,,,,,,0,,74,92
5614,note_on,46,0,3,,,,,,,,,,2,,52,0
5614,note_on,94,0,4,,,,,,,,,,3,,43,0
5614,note_on,46,0,1,,,,,,,,,,0,,74,0
5616,set_tempo,5616,1,0,631578,,,,,,,,,,,,
5616,note_on,2,0,1,,,,,,,,,,0,,74,92
5616,note_on,2,0,3,,,,,,,,,,2,,54,92
5616,note_on,2,0,4,,,,,,,,,,3,,45,92
5638,note_on,22,0,1,,,,,,,,,,0,,74,0
5640,note_on,2,0,1,,,,,,,,,,0,,73,92
5662,note_on,22,0,1,,,,,,,,,,0,,73,0
5664,note_on,2,0,1,,,,,,,,,,0,,74,92
5686,note_on,22,0,1,,,,,,,,,,0,,74,0
5688,note_on,2,0,1,,,,,,,,,,0,,73,92
5710,note_on,22,0,1,,,,,,,,,,0,,73,0
5712,note_on,2,0,1,,,,,,,,,,0,,74,92
5734,note_on,22,0,1,,,,,,,,,,0,,74,0
5734,note_on,118,0,3,,,,,,,,,,2,,54,0
5736,note_on,2,0,3,,,,,,,,,,2,,55,92
5736,note_on,2,0,1,,,,,,,,,,0,,73,92
5736,set_tempo,120,1,0,789473,,,,,,,,,,,,
5806,note_on,70,0,1,,,,,,,,,,0,,73,0
5808,note_on,2,0,1,,,,,,,,,,0,,74,92
5830,note_on,214,0,4,,,,,,,,,,3,,45,0
5830,note_on,22,0,1,,,,,,,,,,0,,74,0
5830,note_on,94,0,3,,,,,,,,,,2,,55,0
5832,note_on,2,0,1,,,,,,,,,,0,,74,92
5832,note_on,2,0,4,,,,,,,,,,3,,50,92
5832,note_on,2,0,3,,,,,,,,,,2,,50,92
5878,note_on,46,0,4,,,,,,,,,,3,,50,0
5878,note_on,46,0,3,,,,,,,,,,2,,50,0
5880,note_on,2,0,4,,,,,,,,,,3,,62,92
5926,note_on,46,0,4,,,,,,,,,,3,,62,0
5928,note_on,2,0,4,,,,,,,,,,3,,52,92
5928,note_on,50,0,3,,,,,,,,,,2,,52,92
5974,note_on,46,0,4,,,,,,,,,,3,,52,0
5974,note_on,46,0,3,,,,,,,,,,2,,52,0
5976,note_on,2,0,4,,,,,,,,,,3,,62,92
6022,note_on,46,0,4,,,,,,,,,,3,,62,0
6024,note_on,50,0,3,,,,,,,,,,2,,54,92
6024,note_on,2,0,4,,,,,,,,,,3,,54,92
6070,note_on,238,0,1,,,,,,,,,,0,,74,0
6070,note_on,46,0,4,,,,,,,,,,3,,54,0
6070,note_on,46,0,3,,,,,,,,,,2,,54,0
6072,note_on,2,0,1,,,,,,,,,,0,,78,92
6072,note_on,2,0,4,,,,,,,,,,3,,62,92
6118,note_on,46,0,4,,,,,,,,,,3,,62,0
6118,note_on,46,0,1,,,,,,,,,,0,,78,0
6120,note_on,2,0,1,,,,,,,,,,0,,81,92
6120,note_on,50,0,3,,,,,,,,,,2,,50,92
6120,note_on,2,0,4,,,,,,,,,,3,,50,92
6166,note_on,46,0,4,,,,,,,,,,3,,50,0
6166,note_on,46,0,1,,,,,,,,,,0,,81,0
6166,note_on,46,0,3,,,,,,,,,,2,,50,0
6168,note_on,2,0,4,,,,,,,,,,3,,62,92
6168,note_on,2,0,1,,,,,,,,,,0,,84,92
6214,note_on,46,0,1,,,,,,,,,,0,,84,0
6214,note_on,46,0,4,,,,,,,,,,3,,62,0
6216,note_on,2,0,4,,,,,,,,,,3,,55,92
6216,note_on,2,0,1,,,,,,,,,,0,,83,92
6262,note_on,46,0,4,,,,,,,,,,3,,55,0
6264,note_on,2,0,4,,,,,,,,,,3,,62,92
6310,note_on,46,0,4,,,,,,,,,,3,,62,0
6312,note_on,2,0,4,,,,,,,,,,3,,57,92
6358,note_on,142,0,1,,,,,,,,,,0,,83,0
6358,note_on,46,0,4,,,,,,,,,,3,,57,0
6360,note_on,2,0,1,,,,,,,,,,0,,81,92
6360,note_on,2,0,4,,,,,,,,,,3,,62,92
6406,note_on,46,0,1,,,,,,,,,,0,,81,0
6406,note_on,46,0,4,,,,,,,,,,3,,62,0
6408,note_on,2,0,1,,,,,,,,,,0,,79,92
6408,note_on,2,0,4,,,,,,,,,,3,,59,92
6454,note_on,46,0,1,,,,,,,,,,0,,79,0
6454,note_on,46,0,4,,,,,,,,,,3,,59,0
6456,note_on,2,0,4,,,,,,,,,,3,,62,92
