tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity
240,note_on,24,0,4,,,,,,,,,,,3,,81,100
294,note_on,54,0,3,,,,,,,,,,,2,,60,0
300,note_on,6,0,3,,,,,,,,,,,2,,72,100
348,note_on,108,0,1,,,,,,,,,,,0,,77,0
348,note_on,108,0,4,,,,,,,,,,,3,,81,0
354,note_on,54,0,3,,,,,,,,,,,2,,72,0
360,note_on,12,0,1,,,,,,,,,,,0,,71,100
360,note_on,12,0,4,,,,,,,,,,,3,,74,100
420,note_on,66,0,3,,,,,,,,,,,2,,65,100
468,note_on,228,0,5,,,,,,,,,,,4,,48,0
474,note_on,54,0,3,,,,,,,,,,,2,,65,0
480,note_on,6,0,3,,,,,,,,,,,2,,62,100
480,note_on,12,0,5,,,,,,,,,,,4,,36,100
534,note_on,54,0,3,,,,,,,,,,,2,,62,0
540,note_on,6,0,3,,,,,,,,,,,2,,59,100
576,note_on,216,0,4,,,,,,,,,,,3,,74,0
576,note_on,216,0,1,,,,,,,,,,,0,,71,0
588,note_on,108,0,5,,,,,,,,,,,4,,36,0
594,note_on,54,0,3,,,,,,,,,,,2,,59,0
600,note_on,12,0,5,,,,,,,,,,,4,,48,100
600,note_on,24,0,1,,,,,,,,,,,0,,72,100
600,note_on,6,0,3,,,,,,,,,,,2,,55,100
600,note_on,24,0,4,,,,,,,,,,,3,,76,100
654,note_on,54,0,3,,,,,,,,,,,2,,55,0
660,note_on,6,0,3,,,,,,,,,,,2,,67,100
708,note_on,108,0,1,,,,,,,,,,,0,,72,0
708,note_on,108,0,4,,,,,,,,,,,3,,76,0
714,note_on,54,0,3,,,,,,,,,,,2,,67,0
720,note_on,12,0,1,,,,,,,,,,,0,,74,100
720,note_on,12,0,4,,,,,,,,,,,3,,77,100
756,note_on,36,0,4,,,,,,,,,,,3,,77,0
756,note_on,36,0,1,,,,,,,,,,,0,,74,0
760,note_on,4,0,4,,,,,,,,,,,3,,76,100
760,note_on,4,0,1,,,,,,,,,,,0,,72,100
780,note_on,66,0,3,,,,,,,,,,,2,,69,100
796,note_on,36,0,4,,,,,,,,,,,3,,76,0
796,note_on,36,0,1,,,,,,,,,,,0,,72,0
800,note_on,4,0,4,,,,,,,,,,,3,,77,100
800,note_on,4,0,1,,,,,,,,,,,0,,74,100
828,note_on,228,0,5,,,,,,,,,,,4,,48,0
834,note_on,54,0,3,,,,,,,,,,,2,,69,0
836,note_on,36,0,4,,,,,,,,,,,3,,77,0
836,note_on,36,0,1,,,,,,,,,,,0,,74,0
840,note_on,12,0,5,,,,,,,,,,,4,,47,100
840,note_on,4,0,1,,,,,,,,,,,0,,67,100
840,note_on,4,0,4,,,,,,,,,,,3,,86,100
840,note_on,6,0,3,,,,,,,,,,,2,,65,100
894,note_on,54,0,3,,,,,,,,,,,2,,65,0
900,note_on,6,0,3,,,,,,,,,,,2,,62,100
948,note_on,108,0,4,,,,,,,,,,,3,,86,0
948,note_on,108,0,1,,,,,,,,,,,0,,67,0
948,note_on,108,0,5,,,,,,,,,,,4,,47,0
954,note_on,54,0,3,,,,,,,,,,,2,,62,0
960,note_on,12,0,4,,,,,,,,,,,3,,77,100
960,note_on,12,0,5,,,,,,,,,,,4,,43,100
960,note_on,12,0,1,,,,,,,,,,,0,,71,100
960,note_on,6,0,3,,,,,,,,,,,2,,74,100
1014,note_on,54,0,3,,,,,,,,,,,2,,74,0
1020,note_on,6,0,3,,,,,,,,,,,2,,67,100
1068,note_on,108,0,5,,,,,,,,,,,4,,43,0
1074,note_on,54,0,3,,,,,,,,,,,2,,67,0
1080,note_on,12,0,5,,,,,,,,,,,4,,48,100
1140,note_on,66,0,3,,,,,,,,,,,2,,67,100
1188,note_on,228,0,1,,,,,,,,,,,0,,71,0
1188,note_on,228,0,4,,,,,,,,,,,3,,77,0
1194,note_on,54,0,3,,,,,,,,,,,2,,67,0
1200,note_on,6,0,3,,,,,,,,,,,2,,72,100
1200,note_on,12,0,4,,,,,,,,,,,3,,76,100
1200,note_on,12,0,1,,,,,,,,,,,0,,72,100
1242,note_on,162,0,5,,,,,,,,,,,4,,48,0
1254,note_on,54,0,3,,,,,,,,,,,2,,72,0
1260,note_on,18,0,5,,,,,,,,,,,4,,50,100
1260,note_on,6,0,3,,,,,,,,,,,2,,76,100
1287,note_on,27,0,5,,,,,,,,,,,4,,50,0
1290,note_on,3,0,5,,,,,,,,,,,4,,52,100
1308,note_on,108,0,4,,,,,,,,,,,3,,76,0
1308,note_on,108,0,1,,,,,,,,,,,0,,72,0
1314,note_on,54,0,3,,,,,,,,,,,2,,76,0
1317,note_on,27,0,5,,,,,,,,,,,4,,52,0
1320,note_on,3,0,5,,,,,,,,,,,4,,50,100
1320,note_on,6,0,3,,,,,,,,,,,2,,77,100
1374,note_on,54,0,5,,,,,,,,,,,4,,50,0
1374,note_on,54,0,3,,,,,,,,,,,2,,77,0
1380,note_on,6,0,3,,,,,,,,,,,2,,71,100
1380,note_on,6,0,5,,,,,,,,,,,4,,52,100
1407,note_on,27,0,5,,,,,,,,,,,4,,52,0
1410,note_on,3,0,5,,,,,,,,,,,4,,53,100
1434,note_on,54,0,3,,,,,,,,,,,2,,71,0
1437,note_on,27,0,5,,,,,,,,,,,4,,53,0
1440,note_on,132,0,4,,,,,,,,,,,3,,84,100
1440,note_on,3,0,5,,,,,,,,,,,4,,52,100
1440,note_on,6,0,3,,,,,,,,,,,2,,79,100
1494,note_on,54,0,5,,,,,,,,,,,4,,52,0
1500,note_on,6,0,5,,,,,,,,,,,4,,50,100
1548,note_on,108,0,3,,,,,,,,,,,2,,79,0
1548,note_on,108,0,4,,,,,,,,,,,3,,84,0
1554,note_on,54,0,5,,,,,,,,,,,4,,50,0
1560,note_on,6,0,5,,,,,,,,,,,4,,50,100
1560,note_on,12,0,4,,,,,,,,,,,3,,83,100
1614,note_on,54,0,5,,,,,,,,,,,4,,50,0
1620,note_on,6,0,5,,,,,,,,,,,4,,52,100
1668,note_on,108,0,4,,,,,,,,,,,3,,83,0
1674,note_on,54,0,5,,,,,,,,,,,4,,52,0
1680,note_on,12,0,4,,,,,,,,,,,3,,82,100
1680,note_on,6,0,5,,,,,,,,,,,4,,52,100
1734,note_on,54,0,5,,,,,,,,,,,4,,52,0
1740,note_on,6,0,5,,,,,,,,,,,4,,53,100
1794,note_on,54,0,5,,,,,,,,,,,4,,53,0
1800,note_on,6,0,5,,,,,,,,,,,4,,53,100
1854,note_on,174,0,4,,,,,,,,,,,3,,82,0
1860,note_on,6,0,4,,,,,,,,,,,3,,81,100
1860,note_on,312,0,3,,,,,,,,,,,2,,72,100
1887,note_on,27,0,4,,,,,,,,,,,3,,81,0
1890,note_on,3,0,4,,,,,,,,,,,3,,79,100
1908,note_on,108,0,5,,,,,,,,,,,4,,53,0
1914,note_on,54,0,3,,,,,,,,,,,2,,72,0
1917,note_on,27,0,4,,,,,,,,,,,3,,79,0
1920,note_on,6,0,3,,,,,,,,,,,2,,72,100
1920,note_on,12,0,5,,,,,,,,,,,4,,52,100
1920,note_on,3,0,4,,,,,,,,,,,3,,81,100
1974,note_on,54,0,4,,,,,,,,,,,3,,81,0
1974,note_on,54,0,3,,,,,,,,,,,2,,72,0
1980,note_on,6,0,4,,,,,,,,,,,3,,83,100
1980,note_on,6,0,3,,,,,,,,,,,2,,77,100
2007,note_on,27,0,4,,,,,,,,,,,3,,83,0
2010,note_on,3,0,4,,,,,,,,,,,3,,84,100
2028,note_on,108,0,5,,,,,,,,,,,4,,52,0
2034,note_on,54,0,3,,,,,,,,,,,2,,77,0
2037,note_on,27,0,4,,,,,,,,,,,3,,84,0
2040,note_on,6,0,3,,,,,,,,,,,2,,77,100
2040,note_on,12,0,5,,,,,,,,,,,4,,50,100
2040,note_on,3,0,4,,,,,,,,,,,3,,83,100
2094,note_on,54,0,3,,,,,,,,,,,2,,77,0
2094,note_on,54,0,4,,,,,,,,,,,3,,83,0
2100,note_on,6,0,3,,,,,,,,,,,2,,68,100
2100,note_on,6,0,4,,,,,,,,,,,3,,84,100
2127,note_on,27,0,4,,,,,,,,,,,3,,84,0
2130,note_on,3,0,4,,,,,,,,,,,3,,86,100
2148,note_on,108,0,5,,,,,,,,,,,4,,50,0
2154,note_on,54,0,3,,,,,,,,,,,2,,68,0
2157,note_on,27,0,4,,,,,,,,,,,3,,86,0
2160,note_on,852,0,1,,,,,,,,,,,0,,77,100
2160,note_on,6,0,3,,,,,,,,,,,2,,69,100
2160,note_on,3,0,4,,,,,,,,,,,3,,84,100
2160,note_on,12,0,5,,,,,,,,,,,4,,57,100
2214,note_on,54,0,5,,,,,,,,,,,4,,57,0
2220,note_on,6,0,5,,,,,,,,,,,4,,55,100
2268,note_on,108,0,1,,,,,,,,,,,0,,77,0
2268,note_on,108,0,3,,,,,,,,,,,2,,69,0
2274,note_on,54,0,5,,,,,,,,,,,4,,55,0
2280,note_on,6,0,5,,,,,,,,,,,4,,55,100
2280,note_on,12,0,1,,,,,,,,,,,0,,76,100
2334,note_on,54,0,5,,,,,,,,,,,4,,55,0
2340,note_on,6,0,5,,,,,,,,,,,4,,54,100
2388,note_on,108,0,1,,,,,,,,,,,0,,76,0
2394,note_on,54,0,5,,,,,,,,,,,4,,54,0
2400,note_on,12,0,1,,,,,,,,,,,0,,75,100
2400,note_on,6,0,5,,,,,,,,,,,4,,54,100
2454,note_on,54,0,5,,,,,,,,,,,4,,54,0
2460,note_on,6,0,5,,,,,,,,,,,4,,55,100
2514,note_on,54,0,5,,,,,,,,,,,4,,55,0
2520,note_on,6,0,5,,,,,,,,,,,4,,55,100
2574,note_on,174,0,1,,,,,,,,,,,0,,75,0
2580,note_on,312,0,3,,,,,,,,,,,2,,67,100
2580,note_on,6,0,1,,,,,,,,,,,0,,74,100
2607,note_on,27,0,1,,,,,,,,,,,0,,74,0
2610,note_on,3,0,1,,,,,,,,,,,0,,72,100
2628,note_on,468,0,4,,,,,,,,,,,3,,84,0
2628,note_on,108,0,5,,,,,,,,,,,4,,55,0
2634,note_on,54,0,3,,,,,,,,,,,2,,67,0
2637,note_on,27,0,1,,,,,,,,,,,0,,72,0
2640,note_on,12,0,5,,,,,,,,,,,4,,43,100
2640,note_on,3,0,1,,,,,,,,,,,0,,74,100
2640,note_on,6,0,3,,,,,,,,,,,2,,67,100
2640,note_on,12,0,4,,,,,,,,,,,3,,83,100
2694,note_on,54,0,3,,,,,,,,,,,2,,67,0
2694,note_on,54,0,1,,,,,,,,,,,0,,74,0
2700,note_on,6,0,1,,,,,,,,,,,0,,76,100
2700,note_on,6,0,3,,,,,,,,,,,2,,72,100
2727,note_on,27,0,1,,,,,,,,,,,0,,76,0
2730,note_on,3,0,1,,,,,,,,,,,0,,77,100
2748,note_on,108,0,5,,,,,,,,,,,4,,43,0
2748,note_on,108,0,4,,,,,,,,,,,3,,83,0
2754,note_on,54,0,3,,,,,,,,,,,2,,72,0
2757,note_on,27,0,1,,,,,,,,,,,0,,77,0
2760,note_on,6,0,3,,,,,,,,,,,2,,72,100
2760,note_on,3,0,1,,,,,,,,,,,0,,76,100
2814,note_on,54,0,1,,,,,,,,,,,0,,76,0
2814,note_on,54,0,3,,,,,,,,,,,2,,72,0
2820,note_on,6,0,3,,,,,,,,,,,2,,71,100
2820,note_on,6,0,1,,,,,,,,,,,0,,77,100
2847,note_on,27,0,1,,,,,,,,,,,0,,77,0
2850,note_on,3,0,1,,,,,,,,,,,0,,79,100
2874,note_on,54,0,3,,,,,,,,,,,2,,71,0
2877,note_on,27,0,1,,,,,,,,,,,0,,79,0
2880,note_on,132,0,4,,,,,,,,,,,3,,74,100
2880,note_on,6,0,3,,,,,,,,,,,2,,71,100
2880,note_on,3,0,1,,,,,,,,,,,0,,77,100
2934,note_on,54,0,3,,,,,,,,,,,2,,71,0
2934,note_on,54,0,4,,,,,,,,,,,3,,74,0
2940,note_on,6,0,3,,,,,,,,,,,2,,67,100
2940,note_on,6,0,4,,,,,,,,,,,3,,79,100
2967,note_on,27,0,4,,,,,,,,,,,3,,79,0
2970,note_on,3,0,4,,,,,,,,,,,3,,81,100
2994,note_on,54,0,3,,,,,,,,,,,2,,67,0
2997,note_on,27,0,4,,,,,,,,,,,3,,81,0
3000,note_on,3,0,4,,,,,,,,,,,3,,83,100
3000,note_on,252,0,5,,,,,,,,,,,4,,62,100
3000,note_on,6,0,3,,,,,,,,,,,2,,62,100
3054,note_on,54,0,4,,,,,,,,,,,3,,83,0
3054,note_on,54,0,3,,,,,,,,,,,2,,62,0
3060,note_on,6,0,3,,,,,,,,,,,2,,59,100
3060,note_on,6,0,4,,,,,,,,,,,3,,83,100
3087,note_on,27,0,4,,,,,,,,,,,3,,83,0
3090,note_on,3,0,4,,,,,,,,,,,3,,84,100
3108,note_on,108,0,5,,,,,,,,,,,4,,62,0
3114,note_on,54,0,3,,,,,,,,,,,2,,59,0
3117,note_on,27,0,4,,,,,,,,,,,3,,84,0
3120,note_on,12,0,5,,,,,,,,,,,4,,59,100
3120,note_on,3,0,4,,,,,,,,,,,3,,86,100
3120,note_on,6,0,3,,,,,,,,,,,2,,55,100
3174,note_on,54,0,4,,,,,,,,,,,3,,86,0
3174,note_on,54,0,3,,,,,,,,,,,2,,55,0
3180,note_on,6,0,3,,,,,,,,,,,2,,59,100
3180,note_on,6,0,4,,,,,,,,,,,3,,86,100
3207,note_on,27,0,4,,,,,,,,,,,3,,86,0
3210,note_on,3,0,4,,,,,,,,,,,3,,84,100
3228,note_on,108,0,5,,,,,,,,,,,4,,59,0
3234,note_on,54,0,3,,,,,,,,,,,2,,59,0
3237,note_on,27,0,4,,,,,,,,,,,3,,84,0
3240,note_on,12,0,5,,,,,,,,,,,4,,55,100
3240,note_on,6,0,3,,,,,,,,,,,2,,62,100
3240,note_on,3,0,4,,,,,,,,,,,3,,83,100
3294,note_on,54,0,3,,,,,,,,,,,2,,62,0
3294,note_on,54,0,4,,,,,,,,,,,3,,83,0
3300,note_on,6,0,4,,,,,,,,,,,3,,83,100
3300,note_on,6,0,3,,,,,,,,,,,2,,67,100
3327,note_on,27,0,4,,,,,,,,,,,3,,83,0
3330,note_on,3,0,4,,,,,,,,,,,3,,84,100
3348,note_on,468,0,1,,,,,,,,,,,0,,77,0
3348,note_on,108,0,5,,,,,,,,,,,4,,55,0
3354,note_on,54,0,3,,,,,,,,,,,2,,67,0
3357,note_on,27,0,4,,,,,,,,,,,3,,84,0
3360,note_on,6,0,3,,,,,,,,,,,2,,71,100
3360,note_on,12,0,5,,,,,,,,,,,4,,56,100
3360,note_on,3,0,4,,,,,,,,,,,3,,86,100
3360,note_on,12,0,1,,,,,,,,,,,0,,76,100
3414,note_on,54,0,4,,,,,,,,,,,3,,86,0
3420,note_on,6,0,4,,,,,,,,,,,3,,86,100
3447,note_on,27,0,4,,,,,,,,,,,3,,86,0
3450,note_on,3,0,4,,,,,,,,,,,3,,88,100
3468,note_on,108,0,3,,,,,,,,,,,2,,71,0
3468,note_on,108,0,5,,,,,,,,,,,4,,56,0
3468,note_on,108,0,1,,,,,,,,,,,0,,76,0
3477,note_on,27,0,4,,,,,,,,,,,3,,88,0
3480,note_on,3,0,4,,,,,,,,,,,3,,89,100
3534,note_on,54,0,4,,,,,,,,,,,3,,89,0
3540,note_on,6,0,4,,,,,,,,,,,3,,88,100
3567,note_on,27,0,4,,,,,,,,,,,3,,88,0
3570,note_on,3,0,4,,,,,,,,,,,3,,86,100
3597,note_on,27,0,4,,,,,,,,,,,3,,86,0
3600,note_on,3,0,4,,,,,,,,,,,3,,84,100
3600,note_on,132,0,1,,,,,,,,,,,0,,69,100
3654,note_on,54,0,1,,,,,,,,,,,0,,69,0
3660,note_on,192,0,3,,,,,,,,,,,2,,66,100
3660,note_on,6,0,1,,,,,,,,,,,0,,74,100
3687,note_on,27,0,1,,,,,,,,,,,0,,74,0
3690,note_on,3,0,1,,,,,,,,,,,0,,76,100
3714,note_on,54,0,3,,,,,,,,,,,2,,66,0
3717,note_on,27,0,1,,,,,,,,,,,0,,76,0
3720,note_on,3,0,1,,,,,,,,,,,0,,78,100
3720,note_on,6,0,3,,,,,,,,,,,2,,69,100
3720,note_on,252,0,5,,,,,,,,,,,4,,57,100
3774,note_on,54,0,1,,,,,,,,,,,0,,78,0
3774,note_on,54,0,3,,,,,,,,,,,2,,69,0
3780,note_on,6,0,1,,,,,,,,,,,0,,78,100
3780,note_on,6,0,3,,,,,,,,,,,2,,66,100
3807,note_on,27,0,1,,,,,,,,,,,0,,78,0
3810,note_on,3,0,1,,,,,,,,,,,0,,79,100
3828,note_on,108,0,5,,,,,,,,,,,4,,57,0
3834,note_on,54,0,3,,,,,,,,,,,2,,66,0
3837,note_on,27,0,1,,,,,,,,,,,0,,79,0
3840,note_on,3,0,1,,,,,,,,,,,0,,81,100
3840,note_on,6,0,3,,,,,,,,,,,2,,62,100
3840,note_on,12,0,5,,,,,,,,,,,4,,54,100
3894,note_on,54,0,1,,,,,,,,,,,0,,81,0
3894,note_on,54,0,3,,,,,,,,,,,2,,62,0
3900,note_on,6,0,1,,,,,,,,,,,0,,81,100
3900,note_on,6,0,3,,,,,,,,,,,2,,66,100
3927,note_on,27,0,1,,,,,,,,,,,0,,81,0
3930,note_on,3,0,1,,,,,,,,,,,0,,79,100
3948,note_on,108,0,5,,,,,,,,,,,4,,54,0
3954,note_on,54,0,3,,,,,,,,,,,2,,66,0
3957,note_on,27,0,1,,,,,,,,,,,0,,79,0
3960,note_on,3,0,1,,,,,,,,,,,0,,78,100
3960,note_on,6,0,3,,,,,,,,,,,2,,69,100
3960,note_on,12,0,5,,,,,,,,,,,4,,50,100
4014,note_on,54,0,3,,,,,,,,,,,2,,69,0
4014,note_on,54,0,1,,,,,,,,,,,0,,78,0
4020,note_on,6,0,3,,,,,,,,,,,2,,74,100
4020,note_on,6,0,1,,,,,,,,,,,0,,78,100
4047,note_on,27,0,1,,,,,,,,,,,0,,78,0
4050,note_on,3,0,1,,,,,,,,,,,0,,79,100
4068,note_on,468,0,4,,,,,,,,,,,3,,84,0
4068,note_on,108,0,5,,,,,,,,,,,4,,50,0
4074,note_on,54,0,3,,,,,,,,,,,2,,74,0
4077,note_on,27,0,1,,,,,,,,,,,0,,79,0
4080,note_on,6,0,3,,,,,,,,,,,2,,78,100
4080,note_on,12,0,5,,,,,,,,,,,4,,51,100
4080,note_on,3,0,1,,,,,,,,,,,0,,81,100
4080,note_on,12,0,4,,,,,,,,,,,3,,83,100
4134,note_on,54,0,1,,,,,,,,,,,0,,81,0
4140,note_on,6,0,1,,,,,,,,,,,0,,81,100
4167,note_on,27,0,1,,,,,,,,,,,0,,81,0
4170,note_on,3,0,1,,,,,,,,,,,0,,83,100
4188,note_on,108,0,3,,,,,,,,,,,2,,78,0
4188,note_on,108,0,5,,,,,,,,,,,4,,51,0
4188,note_on,108,0,4,,,,,,,,,,,3,,83,0
4197,note_on,27,0,1,,,,,,,,,,,0,,83,0
4200,note_on,3,0,1,,,,,,,,,,,0,,84,100
4254,note_on,54,0,1,,,,,,,,,,,0,,84,0
4260,note_on,6,0,1,,,,,,,,,,,0,,83,100
4287,note_on,27,0,1,,,,,,,,,,,0,,83,0
4290,note_on,3,0,1,,,,,,,,,,,0,,81,100
4317,note_on,27,0,1,,,,,,,,,,,0,,81,0
4320,note_on,132,0,5,,,,,,,,,,,4,,52,100
4320,note_on,132,0,4,,,,,,,,,,,3,,83,100
4320,note_on,3,0,1,,,,,,,,,,,0,,79,100
4380,note_on,192,0,3,,,,,,,,,,,2,,71,100
4428,note_on,108,0,5,,,,,,,,,,,4,,52,0
4434,note_on,54,0,3,,,,,,,,,,,2,,71,0
4440,note_on,6,0,3,,,,,,,,,,,2,,67,100
4440,note_on,12,0,5,,,,,,,,,,,4,,50,100
4482,note_on,162,0,4,,,,,,,,,,,3,,83,0
4494,note_on,54,0,3,,,,,,,,,,,2,,67,0
4500,note_on,6,0,3,,,,,,,,,,,2,,64,100
4500,note_on,18,0,4,,,,,,,,,,,3,,84,100
4527,note_on,27,0,4,,,,,,,,,,,3,,84,0
4530,note_on,3,0,4,,,,,,,,,,,3,,83,100
4548,note_on,108,0,5,,,,,,,,,,,4,,50,0
4554,note_on,54,0,3,,,,,,,,,,,2,,64,0
4557,note_on,27,0,4,,,,,,,,,,,3,,83,0
4560,note_on,3,0,4,,,,,,,,,,,3,,81,100
4560,note_on,6,0,3,,,,,,,,,,,2,,76,100
4560,note_on,12,0,5,,,,,,,,,,,4,,48,100
4587,note_on,27,0,4,,,,,,,,,,,3,,81,0
4590,note_on,3,0,4,,,,,,,,,,,3,,79,100
4614,note_on,54,0,3,,,,,,,,,,,2,,76,0
4617,note_on,27,0,4,,,,,,,,,,,3,,79,0
4620,note_on,6,0,3,,,,,,,,,,,2,,69,100
4620,note_on,3,0,4,,,,,,,,,,,3,,78,100
4647,note_on,27,0,4,,,,,,,,,,,3,,78,0
4650,note_on,3,0,4,,,,,,,,,,,3,,76,100
4668,note_on,108,0,5,,,,,,,,,,,4,,48,0
4674,note_on,54,0,3,,,,,,,,,,,2,,69,0
4677,note_on,27,0,4,,,,,,,,,,,3,,76,0
4680,note_on,12,0,5,,,,,,,,,,,4,,47,100
4680,note_on,3,0,4,,,,,,,,,,,3,,74,100
4740,note_on,66,0,3,,,,,,,,,,,2,,67,100
4788,note_on,108,0,5,,,,,,,,,,,4,,47,0
4788,note_on,108,0,4,,,,,,,,,,,3,,74,0
4794,note_on,54,0,3,,,,,,,,,,,2,,67,0
4800,note_on,12,0,5,,,,,,,,,,,4,,48,100
4800,note_on,6,0,3,,,,,,,,,,,2,,64,100
4800,note_on,12,0,4,,,,,,,,,,,3,,76,100
4842,note_on,522,0,1,,,,,,,,,,,0,,79,0
4854,note_on,54,0,3,,,,,,,,,,,2,,64,0
4860,note_on,6,0,3,,,,,,,,,,,2,,60,100
4860,note_on,18,0,1,,,,,,,,,,,0,,81,100
4887,note_on,27,0,1,,,,,,,,,,,0,,81,0
4890,note_on,3,0,1,,,,,,,,,,,0,,79,100
4908,note_on,108,0,4,,,,,,,,,,,3,,76,0
4908,note_on,108,0,5,,,,,,,,,,,4,,48,0
4914,note_on,54,0,3,,,,,,,,,,,2,,60,0
4917,note_on,27,0,1,,,,,,,,,,,0,,79,0
4920,note_on,3,0,1,,,,,,,,,,,0,,78,100
4920,note_on,6,0,3,,,,,,,,,,,2,,57,100
4920,note_on,12,0,5,,,,,,,,,,,4,,50,100
4920,note_on,12,0,4,,,,,,,,,,,3,,78,100
4947,note_on,27,0,1,,,,,,,,,,,0,,78,0
4950,note_on,3,0,1,,,,,,,,,,,0,,76,100
4974,note_on,54,0,3,,,,,,,,,,,2,,57,0
4977,note_on,27,0,1,,,,,,,,,,,0,,76,0
4980,note_on,6,0,3,,,,,,,,,,,2,,69,100
4980,note_on,3,0,1,,,,,,,,,,,0,,74,100
5007,note_on,27,0,1,,,,,,,,,,,0,,74,0
5010,note_on,3,0,1,,,,,,,,,,,0,,72,100
5028,note_on,108,0,5,,,,,,,,,,,4,,50,0
5028,note_on,108,0,4,,,,,,,,,,,3,,78,0
5034,note_on,54,0,3,,,,,,,,,,,2,,69,0
5037,note_on,27,0,1,,,,,,,,,,,0,,72,0
5040,note_on,12,0,4,,,,,,,,,,,3,,79,100
5040,note_on,3,0,1,,,,,,,,,,,0,,71,100
5040,note_on,12,0,5,,,,,,,,,,,4,,52,100
5067,note_on,27,0,4,,,,,,,,,,,3,,79,0
5070,note_on,3,0,4,,,,,,,,,,,3,,78,100
5097,note_on,27,0,4,,,,,,,,,,,3,,78,0
5100,note_on,66,0,3,,,,,,,,,,,2,,67,100
5100,note_on,3,0,4,,,,,,,,,,,3,,76,100
5148,note_on,108,0,1,,,,,,,,,,,0,,71,0
5148,note_on,108,0,5,,,,,,,,,,,4,,52,0
5154,note_on,54,0,3,,,,,,,,,,,2,,67,0
5160,note_on,12,0,5,,,,,,,,,,,4,,50,100
5160,note_on,6,0,3,,,,,,,,,,,2,,71,100
