tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,program,channel,control,value,note,velocity
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,8,,,,,,,,,,,,,,,7,,,62,76
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,12,,,,,,,,,,,,,,48,13,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,13,10,90,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,13,11,127,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,13,7,96,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,13,,,62,76
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,14,10,64,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,14,11,127,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,14,7,72,,
0,program_change,,0,0,13,,,,,,,,,,,,,,6,14,,,,
0,note_on,,0,0,13,,,,,,,,,,,,,,,14,,,62,76
0,track_name,,0,1,14,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,12,,,69,76
0,control_change,,0,0,11,,,,,,,,,,,,,,,12,7,96,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,12,11,127,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,12,10,70,,
0,program_change,,0,0,9,,,,,,,,,,,,,,48,10,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,10,10,48,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,10,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,10,7,96,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,10,,,78,76
0,midi_port,,0,1,14,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,11,10,24,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,11,11,127,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,11,7,96,,
0,note_on,,0,0,10,,,,,,,,,,,,,,,11,,,74,76
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,11,,,,,,,,,,,,,,48,12,,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,48,11,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,14,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,,,,,,D,,,,,,
0,time_signature,,0,1,0,,,,,,,,,3,4,24,8,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,571428,,,,,,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
104,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,62,0
104,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,62,0
104,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,78,0
104,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,62,0
104,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,78,0
120,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,61,76
120,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,79,76
120,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,79,76
120,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,61,76
120,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,61,76
224,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,79,0
224,note_on,,224,0,10,,,,,,,,,,,,,,,11,,,74,0
224,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,69,0
224,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,79,0
224,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,61,0
224,note_on,,224,0,6,,,,,,,,,,,,,,,5,,,74,0
224,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,61,0
224,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,61,0
224,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,69,0
240,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,74,76
240,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,59,76
240,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,62,76
240,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,62,76
240,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,79,76
240,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,59,76
240,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,79,76
240,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,74,76
240,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,59,76
269,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,79,0
269,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,79,0
270,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,81,76
270,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,81,76
299,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,81,0
299,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,81,0
300,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,79,76
300,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,79,76
329,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,79,0
329,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,79,0
330,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,81,76
330,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,81,76
344,note_on,,104,0,6,,,,,,,,,,,,,,,5,,,74,0
344,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,59,0
344,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,59,0
344,note_on,,104,0,10,,,,,,,,,,,,,,,11,,,74,0
344,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,59,0
359,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,81,0
359,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,81,0
360,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,79,76
360,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,73,76
360,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,57,76
360,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,57,76
360,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,73,76
360,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,57,76
360,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,79,76
389,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,79,0
389,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,79,0
390,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,81,76
390,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,81,76
419,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,81,0
419,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,81,0
420,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,79,76
420,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,79,76
449,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,79,0
449,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,79,0
450,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,81,76
450,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,81,76
464,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,62,0
464,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,57,0
464,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,57,0
464,note_on,,104,0,6,,,,,,,,,,,,,,,5,,,73,0
464,note_on,,104,0,10,,,,,,,,,,,,,,,11,,,73,0
464,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,57,0
464,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,62,0
479,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,81,0
479,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,81,0
480,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,59,76
480,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,79,76
480,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,59,76
480,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,79,76
480,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,74,76
480,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,74,76
480,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,59,76
480,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,71,76
480,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,71,76
509,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,79,0
509,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,79,0
510,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,81,76
510,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,81,76
539,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,81,0
539,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,81,0
540,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,79,76
540,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,79,76
569,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,79,0
569,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,79,0
570,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,81,76
570,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,81,76
584,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,59,0
584,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,59,0
584,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,59,0
599,note_on,,29,0,9,,,,,,,,,,,,,,,10,,,81,0
599,note_on,,29,0,5,,,,,,,,,,,,,,,4,,,81,0
600,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,55,76
600,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,78,76
600,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,55,76
600,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,55,76
600,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,78,76
659,note_on,,59,0,5,,,,,,,,,,,,,,,4,,,78,0
659,note_on,,59,0,9,,,,,,,,,,,,,,,10,,,78,0
660,note_on,,1,0,9,,,,,,,,,,,,,,,10,,,79,76
660,note_on,,1,0,5,,,,,,,,,,,,,,,4,,,79,76
704,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,55,0
704,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,71,0
704,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,55,0
704,note_on,,224,0,10,,,,,,,,,,,,,,,11,,,74,0
704,note_on,,224,0,6,,,,,,,,,,,,,,,5,,,74,0
704,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,71,0
704,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,55,0
711,note_on,,51,0,5,,,,,,,,,,,,,,,4,,,79,0
711,note_on,,51,0,9,,,,,,,,,,,,,,,10,,,79,0
720,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,54,76
720,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,69,76
720,note_on,,9,0,9,,,,,,,,,,,,,,,10,,,81,76
720,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,74,76
720,note_on,,9,0,5,,,,,,,,,,,,,,,4,,,81,76
720,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,54,76
720,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,74,76
720,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,69,76
720,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,54,76
824,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,81,0
824,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,81,0
840,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,79,76
840,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,79,76
944,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,79,0
944,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,79,0
960,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,78,76
960,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,78,76
1064,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,78,0
1064,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,78,0
1080,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,76,76
1080,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,79,76
1184,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,76,0
1184,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,79,0
1200,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,81,76
1200,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,74,76
1304,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,74,0
1320,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,73,76
1424,note_on,,704,0,12,,,,,,,,,,,,,,,13,,,54,0
1424,note_on,,704,0,6,,,,,,,,,,,,,,,5,,,74,0
1424,note_on,,224,0,9,,,,,,,,,,,,,,,10,,,81,0
1424,note_on,,704,0,8,,,,,,,,,,,,,,,7,,,54,0
1424,note_on,,704,0,10,,,,,,,,,,,,,,,11,,,74,0
1424,note_on,,704,0,11,,,,,,,,,,,,,,,12,,,69,0
1424,note_on,,704,0,7,,,,,,,,,,,,,,,6,,,69,0
1424,note_on,,704,0,13,,,,,,,,,,,,,,,14,,,54,0
1424,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,73,0
1440,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,71,76
1440,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,55,76
1440,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,67,76
1440,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,67,76
1440,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,55,76
1440,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,62,76
1440,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,55,76
1440,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,71,76
1440,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,62,76
1664,note_on,,224,0,6,,,,,,,,,,,,,,,5,,,67,0
1664,note_on,,224,0,10,,,,,,,,,,,,,,,11,,,67,0
1664,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,62,0
1664,note_on,,224,0,5,,,,,,,,,,,,,,,4,,,71,0
1664,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,62,0
1664,note_on,,224,0,9,,,,,,,,,,,,,,,10,,,71,0
1664,note_on,,224,0,12,,,,,,,,,,,,,,,13,,,55,0
1664,note_on,,224,0,8,,,,,,,,,,,,,,,7,,,55,0
1664,note_on,,224,0,13,,,,,,,,,,,,,,,14,,,55,0
1680,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,76,76
1680,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,67,76
1680,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,52,76
1680,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,52,76
1680,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,52,76
1680,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,71,76
1680,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,67,76
1680,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,71,76
1680,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,76,76
1904,note_on,,224,0,12,,,,,,,,,,,,,,,13,,,52,0
1904,note_on,,224,0,8,,,,,,,,,,,,,,,7,,,52,0
1904,note_on,,224,0,10,,,,,,,,,,,,,,,11,,,71,0
1904,note_on,,224,0,6,,,,,,,,,,,,,,,5,,,71,0
1904,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,67,0
1904,note_on,,224,0,9,,,,,,,,,,,,,,,10,,,76,0
1904,note_on,,224,0,5,,,,,,,,,,,,,,,4,,,76,0
1904,note_on,,224,0,13,,,,,,,,,,,,,,,14,,,52,0
1904,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,67,0
1920,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,64,76
1920,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,69,76
1920,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,64,76
1920,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,73,76
1920,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,57,76
1920,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,57,76
1920,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,73,76
1920,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,69,76
1920,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,57,76
2144,note_on,,224,0,12,,,,,,,,,,,,,,,13,,,57,0
2144,note_on,,224,0,5,,,,,,,,,,,,,,,4,,,73,0
2144,note_on,,224,0,10,,,,,,,,,,,,,,,11,,,69,0
2144,note_on,,224,0,9,,,,,,,,,,,,,,,10,,,73,0
2144,note_on,,224,0,13,,,,,,,,,,,,,,,14,,,57,0
2144,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,64,0
2144,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,64,0
2144,note_on,,224,0,6,,,,,,,,,,,,,,,5,,,69,0
2144,note_on,,224,0,8,,,,,,,,,,,,,,,7,,,57,0
2160,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,69,76
2160,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,66,76
2160,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,69,76
2160,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,54,76
2160,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,54,76
2160,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,74,76
2160,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,54,76
2160,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,66,76
2160,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,74,76
2264,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,74,0
2264,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,66,0
2264,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,74,0
2264,note_on,,104,0,7,,,,,,,,,,,,,,,6,,,66,0
2280,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,64,76
2280,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,64,76
2280,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,73,76
2280,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,73,76
2384,note_on,,104,0,7,,,,,,,,,,,,,,,6,,,64,0
2384,note_on,,224,0,12,,,,,,,,,,,,,,,13,,,54,0
2384,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,73,0
2384,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,73,0
2384,note_on,,224,0,8,,,,,,,,,,,,,,,7,,,54,0
2384,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,64,0
2384,note_on,,224,0,13,,,,,,,,,,,,,,,14,,,54,0
2400,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,52,76
2400,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,52,76
2400,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,74,76
2400,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,52,76
2400,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,66,76
2400,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,66,76
2400,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,74,76
2504,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,74,0
2504,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,66,0
2504,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,74,0
2504,note_on,,104,0,7,,,,,,,,,,,,,,,6,,,66,0
2520,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,76,76
2520,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,76,76
2520,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,67,76
2520,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,67,76
2624,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,76,0
2624,note_on,,224,0,13,,,,,,,,,,,,,,,14,,,52,0
2624,note_on,,464,0,6,,,,,,,,,,,,,,,5,,,69,0
2624,note_on,,104,0,7,,,,,,,,,,,,,,,6,,,67,0
2624,note_on,,104,0,11,,,,,,,,,,,,,,,12,,,67,0
2624,note_on,,224,0,8,,,,,,,,,,,,,,,7,,,52,0
2624,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,76,0
2624,note_on,,464,0,10,,,,,,,,,,,,,,,11,,,69,0
2624,note_on,,224,0,12,,,,,,,,,,,,,,,13,,,52,0
2640,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,78,76
2640,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,50,76
2640,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,50,76
2640,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,78,76
2640,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,69,76
2640,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,50,76
2640,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,69,76
2640,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,74,76
2640,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,74,76
2744,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,78,0
2744,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,78,0
2760,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,74,76
2760,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,74,76
2864,note_on,,224,0,6,,,,,,,,,,,,,,,5,,,74,0
2864,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,74,0
2864,note_on,,224,0,10,,,,,,,,,,,,,,,11,,,74,0
2864,note_on,,224,0,13,,,,,,,,,,,,,,,14,,,50,0
2864,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,74,0
2864,note_on,,224,0,8,,,,,,,,,,,,,,,7,,,50,0
2864,note_on,,224,0,12,,,,,,,,,,,,,,,13,,,50,0
2864,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,69,0
2864,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,69,0
2880,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,49,76
2880,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,76,76
2880,note_on,,16,0,7,,,,,,,,,,,,,,,6,,,64,76
2880,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,49,76
2880,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,49,76
2880,note_on,,16,0,10,,,,,,,,,,,,,,,11,,,69,76
2880,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,76,76
2880,note_on,,16,0,11,,,,,,,,,,,,,,,12,,,64,76
2880,note_on,,16,0,6,,,,,,,,,,,,,,,5,,,69,76
2984,note_on,,104,0,13,,,,,,,,,,,,,,,14,,,49,0
2984,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,76,0
2984,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,49,0
2984,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,49,0
2984,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,76,0
3000,note_on,,16,0,13,,,,,,,,,,,,,,,14,,,47,76
3000,note_on,,16,0,12,,,,,,,,,,,,,,,13,,,47,76
3000,note_on,,16,0,5,,,,,,,,,,,,,,,4,,,78,76
3000,note_on,,16,0,8,,,,,,,,,,,,,,,7,,,47,76
3000,note_on,,16,0,9,,,,,,,,,,,,,,,10,,,78,76
3104,note_on,,224,0,11,,,,,,,,,,,,,,,12,,,64,0
3104,note_on,,104,0,5,,,,,,,,,,,,,,,4,,,78,0
3104,note_on,,104,0,9,,,,,,,,,,,,,,,10,,,78,0
3104,note_on,,224,0,7,,,,,,,,,,,,,,,6,,,64,0
3104,note_on,,104,0,12,,,,,,,,,,,,,,,13,,,47,0
3104,note_on,,104,0,8,,,,,,,,,,,,,,,7,,,47,0
