tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,control,value,channel,program,note,velocity
384,note_on,0,0,7,,,,,,,,,6,,48,92
384,note_on,2,0,7,,,,,,,,,6,,36,92
478,note_on,94,0,7,,,,,,,,,6,,36,0
478,note_on,94,0,5,,,,,,,,,4,,72,0
478,note_on,0,0,7,,,,,,,,,6,,48,0
480,note_on,0,0,7,,,,,,,,,6,,48,92
480,note_on,2,0,7,,,,,,,,,6,,36,92
480,note_on,2,0,5,,,,,,,,,4,,71,92
526,note_on,46,0,5,,,,,,,,,4,,71,0
528,note_on,528,0,2,,,,,,,,,1,,64,0
528,note_on,528,0,4,,,,,,,,,3,,48,0
528,note_on,528,0,3,,,,,,,,,2,,55,0
528,note_on,0,0,6,,,,,,,,,5,,67,0
528,note_on,528,0,6,,,,,,,,,5,,64,0
528,note_on,2,0,5,,,,,,,,,4,,72,92
528,note_on,528,0,1,,,,,,,,,0,,72,0
574,note_on,94,0,7,,,,,,,,,6,,36,0
574,note_on,0,0,7,,,,,,,,,6,,48,0
574,note_on,46,0,5,,,,,,,,,4,,72,0
576,note_on,0,0,5,,,,,,,,,4,,71,92
576,note_on,0,0,5,,,,,,,,,4,,65,92
576,note_on,48,0,2,,,,,,,,,1,,65,108
576,note_on,2,0,5,,,,,,,,,4,,62,92
576,note_on,48,0,4,,,,,,,,,3,,50,108
576,note_on,2,0,7,,,,,,,,,6,,38,92
576,note_on,48,0,3,,,,,,,,,2,,55,108
576,note_on,0,0,7,,,,,,,,,6,,50,92
576,note_on,48,0,1,,,,,,,,,0,,71,108
576,note_on,0,0,5,,,,,,,,,4,,67,92
736,note_on,160,0,2,,,,,,,,,1,,65,0
736,note_on,0,0,7,,,,,,,,,6,,50,0
736,note_on,160,0,3,,,,,,,,,2,,55,0
736,note_on,160,0,1,,,,,,,,,0,,71,0
736,note_on,160,0,4,,,,,,,,,3,,50,0
736,note_on,160,0,7,,,,,,,,,6,,38,0
736,note_on,0,0,5,,,,,,,,,4,,71,0
736,note_on,160,0,5,,,,,,,,,4,,62,0
736,note_on,0,0,5,,,,,,,,,4,,65,0
736,note_on,0,0,5,,,,,,,,,4,,67,0
864,note_on,128,0,5,,,,,,,,,4,,67,92
912,note_on,48,0,5,,,,,,,,,4,,67,0
912,note_on,0,0,5,,,,,,,,,4,,66,92
960,note_on,0,0,5,,,,,,,,,4,,67,92
960,note_on,48,0,5,,,,,,,,,4,,66,0
1054,note_on,94,0,5,,,,,,,,,4,,67,0
1056,note_on,2,0,5,,,,,,,,,4,,69,92
1088,note_on,32,0,5,,,,,,,,,4,,69,0
1152,note_on,64,0,5,,,,,,,,,4,,71,92
1184,note_on,32,0,5,,,,,,,,,4,,71,0
1248,note_on,64,0,5,,,,,,,,,4,,69,92
1280,note_on,32,0,5,,,,,,,,,4,,69,0
1344,note_on,64,0,5,,,,,,,,,4,,67,92
1376,note_on,32,0,5,,,,,,,,,4,,67,0
1440,note_on,64,0,5,,,,,,,,,4,,69,92
1472,note_on,32,0,5,,,,,,,,,4,,69,0
1536,note_on,64,0,5,,,,,,,,,4,,71,92
1568,note_on,32,0,5,,,,,,,,,4,,71,0
1632,note_on,64,0,5,,,,,,,,,4,,72,92
1664,note_on,32,0,5,,,,,,,,,4,,72,0
1728,note_on,64,0,5,,,,,,,,,4,,74,92
1760,note_on,32,0,5,,,,,,,,,4,,74,0
1824,note_on,64,0,5,,,,,,,,,4,,72,92
1856,note_on,32,0,5,,,,,,,,,4,,72,0
1920,note_on,64,0,5,,,,,,,,,4,,71,92
1952,note_on,32,0,5,,,,,,,,,4,,71,0
2016,note_on,64,0,5,,,,,,,,,4,,72,92
2048,note_on,32,0,5,,,,,,,,,4,,72,0
2112,note_on,64,0,5,,,,,,,,,4,,74,92
2144,note_on,32,0,5,,,,,,,,,4,,74,0
2208,note_on,64,0,5,,,,,,,,,4,,76,92
2240,note_on,32,0,5,,,,,,,,,4,,76,0
2304,note_on,64,0,5,,,,,,,,,4,,77,92
2304,note_on,1568,0,2,,,,,,,,,1,,67,108
2304,note_on,0,0,6,,,,,,,,,5,,74,92
2304,note_on,1568,0,1,,,,,,,,,0,,77,108
2304,note_on,1568,0,3,,,,,,,,,2,,62,108
2304,note_on,1568,0,4,,,,,,,,,3,,47,108
2304,note_on,1776,0,6,,,,,,,,,5,,67,92
2304,note_on,1568,0,7,,,,,,,,,6,,35,92
2304,note_on,0,0,7,,,,,,,,,6,,47,92
2398,note_on,94,0,7,,,,,,,,,6,,35,0
2398,note_on,0,0,7,,,,,,,,,6,,47,0
2400,note_on,2,0,7,,,,,,,,,6,,35,92
2400,note_on,0,0,7,,,,,,,,,6,,47,92
2464,note_on,160,0,5,,,,,,,,,4,,77,0
2494,note_on,0,0,7,,,,,,,,,6,,47,0
2494,note_on,94,0,7,,,,,,,,,6,,35,0
2496,note_on,0,0,7,,,,,,,,,6,,47,92
2496,note_on,2,0,7,,,,,,,,,6,,35,92
2496,note_on,32,0,5,,,,,,,,,4,,67,92
2590,note_on,94,0,5,,,,,,,,,4,,67,0
2590,note_on,94,0,7,,,,,,,,,6,,35,0
2590,note_on,0,0,7,,,,,,,,,6,,47,0
2592,note_on,2,0,5,,,,,,,,,4,,77,92
2592,note_on,2,0,7,,,,,,,,,6,,35,92
2592,note_on,0,0,7,,,,,,,,,6,,47,92
2686,note_on,94,0,5,,,,,,,,,4,,77,0
2686,note_on,94,0,7,,,,,,,,,6,,35,0
2686,note_on,0,0,7,,,,,,,,,6,,47,0
2688,note_on,2,0,5,,,,,,,,,4,,77,92
2688,note_on,2,0,7,,,,,,,,,6,,35,92
2688,note_on,0,0,7,,,,,,,,,6,,47,92
2782,note_on,94,0,5,,,,,,,,,4,,77,0
2782,note_on,94,0,7,,,,,,,,,6,,35,0
2782,note_on,0,0,7,,,,,,,,,6,,47,0
2784,note_on,0,0,7,,,,,,,,,6,,47,92
2784,note_on,2,0,5,,,,,,,,,4,,76,92
2784,note_on,2,0,7,,,,,,,,,6,,35,92
2830,note_on,46,0,5,,,,,,,,,4,,76,0
2830,note_on,526,0,3,,,,,,,,,2,,62,0
2830,note_on,526,0,4,,,,,,,,,3,,47,0
2830,note_on,526,0,1,,,,,,,,,0,,77,0
2830,note_on,526,0,2,,,,,,,,,1,,67,0
2832,note_on,2,0,2,,,,,,,,,1,,67,108
2832,note_on,2,0,4,,,,,,,,,3,,47,108
2832,note_on,528,0,6,,,,,,,,,5,,67,0
2832,note_on,0,0,6,,,,,,,,,5,,74,0
2832,note_on,2,0,3,,,,,,,,,2,,62,108
2832,note_on,2,0,5,,,,,,,,,4,,77,92
2832,note_on,2,0,1,,,,,,,,,0,,77,108
2878,note_on,46,0,2,,,,,,,,,1,,67,0
2878,note_on,46,0,4,,,,,,,,,3,,47,0
2878,note_on,46,0,1,,,,,,,,,0,,77,0
2878,note_on,94,0,7,,,,,,,,,6,,35,0
2878,note_on,0,0,7,,,,,,,,,6,,47,0
2878,note_on,46,0,5,,,,,,,,,4,,77,0
2878,note_on,46,0,3,,,,,,,,,2,,62,0
2880,note_on,2,0,3,,,,,,,,,2,,60,108
2880,note_on,2,0,2,,,,,,,,,1,,67,108
2880,note_on,2,0,1,,,,,,,,,0,,76,108
2880,note_on,2,0,7,,,,,,,,,6,,36,92
2880,note_on,0,0,7,,,,,,,,,6,,48,92
2880,note_on,2,0,4,,,,,,,,,3,,48,108
2880,note_on,2,0,5,,,,,,,,,4,,67,92
2880,note_on,0,0,5,,,,,,,,,4,,72,92
2880,note_on,0,0,5,,,,,,,,,4,,76,92
3040,note_on,160,0,4,,,,,,,,,3,,48,0
3040,note_on,160,0,1,,,,,,,,,0,,76,0
3040,note_on,160,0,2,,,,,,,,,1,,67,0
3040,note_on,0,0,5,,,,,,,,,4,,72,0
3040,note_on,0,0,5,,,,,,,,,4,,76,0
3040,note_on,160,0,7,,,,,,,,,6,,36,0
3040,note_on,0,0,7,,,,,,,,,6,,48,0
3040,note_on,160,0,5,,,,,,,,,4,,67,0
3040,note_on,160,0,3,,,,,,,,,2,,60,0
3168,note_on,128,0,5,,,,,,,,,4,,72,92
3216,note_on,48,0,5,,,,,,,,,4,,72,0
3216,note_on,0,0,5,,,,,,,,,4,,71,92
3264,note_on,0,0,5,,,,,,,,,4,,72,92
3264,note_on,48,0,5,,,,,,,,,4,,71,0
3358,note_on,94,0,5,,,,,,,,,4,,72,0
3360,note_on,2,0,5,,,,,,,,,4,,74,92
3392,note_on,32,0,5,,,,,,,,,4,,74,0
3456,note_on,64,0,5,,,,,,,,,4,,76,92
3488,note_on,32,0,5,,,,,,,,,4,,76,0
3552,note_on,64,0,5,,,,,,,,,4,,74,92
3584,note_on,32,0,5,,,,,,,,,4,,74,0
3648,note_on,64,0,5,,,,,,,,,4,,72,92
3680,note_on,32,0,5,,,,,,,,,4,,72,0
3744,note_on,64,0,5,,,,,,,,,4,,74,92
3776,note_on,32,0,5,,,,,,,,,4,,74,0
3840,note_on,64,0,5,,,,,,,,,4,,76,92
3872,note_on,32,0,5,,,,,,,,,4,,76,0
3936,note_on,64,0,5,,,,,,,,,4,,77,92
3968,note_on,32,0,5,,,,,,,,,4,,77,0
4032,note_on,64,0,5,,,,,,,,,4,,79,92
4064,note_on,32,0,5,,,,,,,,,4,,79,0
4128,note_on,64,0,5,,,,,,,,,4,,77,92
4160,note_on,32,0,5,,,,,,,,,4,,77,0
4224,note_on,64,0,5,,,,,,,,,4,,76,92
4256,note_on,32,0,5,,,,,,,,,4,,76,0
4320,note_on,64,0,5,,,,,,,,,4,,77,92
4352,note_on,32,0,5,,,,,,,,,4,,77,0
4416,note_on,64,0,5,,,,,,,,,4,,79,92
4448,note_on,32,0,5,,,,,,,,,4,,79,0
4512,note_on,64,0,5,,,,,,,,,4,,80,92
4544,note_on,32,0,5,,,,,,,,,4,,80,0
4608,note_on,0,0,5,,,,,,,,,4,,81,92
4608,note_on,1568,0,3,,,,,,,,,2,,60,108
4608,note_on,0,0,5,,,,,,,,,4,,77,92
4608,note_on,0,0,5,,,,,,,,,4,,72,92
4608,note_on,1568,0,1,,,,,,,,,0,,77,108
4608,note_on,0,0,7,,,,,,,,,6,,48,92
4608,note_on,64,0,5,,,,,,,,,4,,69,92
4608,note_on,1568,0,7,,,,,,,,,6,,36,92
4608,note_on,1568,0,2,,,,,,,,,1,,69,108
4608,note_on,1568,0,4,,,,,,,,,3,,48,108
4702,note_on,0,0,7,,,,,,,,,6,,48,0
4702,note_on,94,0,7,,,,,,,,,6,,36,0
4704,note_on,2,0,7,,,,,,,,,6,,36,92
4704,note_on,0,0,7,,,,,,,,,6,,48,92
4768,note_on,0,0,5,,,,,,,,,4,,81,0
4768,note_on,0,0,5,,,,,,,,,4,,72,0
4768,note_on,160,0,5,,,,,,,,,4,,69,0
4768,note_on,0,0,5,,,,,,,,,4,,77,0
4798,note_on,94,0,7,,,,,,,,,6,,36,0
4798,note_on,0,0,7,,,,,,,,,6,,48,0
4800,note_on,0,0,7,,,,,,,,,6,,48,92
4800,note_on,2,0,7,,,,,,,,,6,,36,92
4800,note_on,0,0,5,,,,,,,,,4,,81,92
4800,note_on,0,0,5,,,,,,,,,4,,77,92
4800,note_on,0,0,5,,,,,,,,,4,,72,92
4800,note_on,32,0,5,,,,,,,,,4,,69,92
4864,note_on,256,0,3,,,,,,,,,2,,60,0
4864,note_on,256,0,2,,,,,,,,,1,,69,0
4864,note_on,256,0,4,,,,,,,,,3,,48,0
4864,note_on,256,0,1,,,,,,,,,0,,77,0
4894,note_on,94,0,7,,,,,,,,,6,,36,0
4894,note_on,0,0,7,,,,,,,,,6,,48,0
4896,note_on,32,0,3,,,,,,,,,2,,60,108
4896,note_on,32,0,2,,,,,,,,,1,,69,108
4896,note_on,2,0,7,,,,,,,,,6,,36,92
4896,note_on,0,0,7,,,,,,,,,6,,48,92
4896,note_on,32,0,1,,,,,,,,,0,,72,108
4896,note_on,32,0,4,,,,,,,,,3,,48,108
4960,note_on,0,0,5,,,,,,,,,4,,72,0
4960,note_on,0,0,5,,,,,,,,,4,,77,0
4960,note_on,160,0,5,,,,,,,,,4,,69,0
4960,note_on,0,0,5,,,,,,,,,4,,81,0
4990,note_on,94,0,1,,,,,,,,,0,,72,0
4990,note_on,94,0,2,,,,,,,,,1,,69,0
4990,note_on,94,0,4,,,,,,,,,3,,48,0
4990,note_on,0,0,7,,,,,,,,,6,,48,0
4990,note_on,94,0,7,,,,,,,,,6,,36,0
4990,note_on,94,0,3,,,,,,,,,2,,60,0
4992,note_on,2,0,3,,,,,,,,,2,,60,108
4992,note_on,32,0,5,,,,,,,,,4,,69,92
4992,note_on,2,0,4,,,,,,,,,3,,48,108
4992,note_on,2,0,2,,,,,,,,,1,,65,108
4992,note_on,0,0,5,,,,,,,,,4,,77,92
4992,note_on,0,0,5,,,,,,,,,4,,72,92
4992,note_on,2,0,7,,,,,,,,,6,,36,92
4992,note_on,0,0,7,,,,,,,,,6,,48,92
4992,note_on,2,0,1,,,,,,,,,0,,69,108
4992,note_on,0,0,5,,,,,,,,,4,,81,92
5086,note_on,94,0,7,,,,,,,,,6,,36,0
5086,note_on,0,0,7,,,,,,,,,6,,48,0
5088,note_on,2,0,7,,,,,,,,,6,,36,92
5088,note_on,0,0,7,,,,,,,,,6,,48,92
5152,note_on,160,0,3,,,,,,,,,2,,60,0
5152,note_on,160,0,2,,,,,,,,,1,,65,0
5152,note_on,160,0,1,,,,,,,,,0,,69,0
5152,note_on,0,0,5,,,,,,,,,4,,81,0
5152,note_on,0,0,5,,,,,,,,,4,,72,0
5152,note_on,160,0,5,,,,,,,,,4,,69,0
5152,note_on,0,0,5,,,,,,,,,4,,77,0
5152,note_on,160,0,4,,,,,,,,,3,,48,0
5182,note_on,0,0,7,,,,,,,,,6,,48,0
5182,note_on,94,0,7,,,,,,,,,6,,36,0
5184,note_on,0,0,7,,,,,,,,,6,,48,92
5184,note_on,32,0,1,,,,,,,,,0,,69,108
5184,note_on,32,0,4,,,,,,,,,3,,48,108
5184,note_on,32,0,5,,,,,,,,,4,,69,92
5184,note_on,32,0,3,,,,,,,,,2,,60,108
5184,note_on,0,0,5,,,,,,,,,4,,81,92
5184,note_on,0,0,5,,,,,,,,,4,,77,92
5184,note_on,0,0,5,,,,,,,,,4,,72,92
5184,note_on,2,0,7,,,,,,,,,6,,36,92
5184,note_on,32,0,2,,,,,,,,,1,,65,108
5344,note_on,160,0,2,,,,,,,,,1,,65,0
5344,note_on,160,0,4,,,,,,,,,3,,48,0
5344,note_on,160,0,3,,,,,,,,,2,,60,0
5344,note_on,160,0,1,,,,,,,,,0,,69,0
5344,note_on,160,0,7,,,,,,,,,6,,36,0
5344,note_on,0,0,7,,,,,,,,,6,,48,0
5344,note_on,0,0,5,,,,,,,,,4,,81,0
5344,note_on,160,0,5,,,,,,,,,4,,69,0
5344,note_on,0,0,5,,,,,,,,,4,,77,0
5344,note_on,0,0,5,,,,,,,,,4,,72,0
5376,note_on,0,0,5,,,,,,,,,4,,72,92
5376,note_on,0,0,5,,,,,,,,,4,,76,92
5376,note_on,0,0,5,,,,,,,,,4,,79,92
5376,note_on,32,0,4,,,,,,,,,3,,48,108
5376,note_on,32,0,3,,,,,,,,,2,,60,108
5376,note_on,0,0,7,,,,,,,,,6,,48,92
5376,note_on,32,0,7,,,,,,,,,6,,36,92
5376,note_on,32,0,1,,,,,,,,,0,,67,108
5376,note_on,32,0,2,,,,,,,,,1,,64,108
5376,note_on,32,0,5,,,,,,,,,4,,67,92
5536,note_on,160,0,3,,,,,,,,,2,,60,0
5536,note_on,160,0,4,,,,,,,,,3,,48,0
5536,note_on,160,0,1,,,,,,,,,0,,67,0
5536,note_on,0,0,5,,,,,,,,,4,,76,0
5536,note_on,160,0,5,,,,,,,,,4,,67,0
5536,note_on,0,0,5,,,,,,,,,4,,72,0
5536,note_on,0,0,5,,,,,,,,,4,,79,0
5536,note_on,0,0,7,,,,,,,,,6,,48,0
5536,note_on,160,0,7,,,,,,,,,6,,36,0
5536,note_on,160,0,2,,,,,,,,,1,,64,0
5568,note_on,32,0,5,,,,,,,,,4,,72,92
5592,note_on,24,0,5,,,,,,,,,4,,72,0
5592,note_on,0,0,5,,,,,,,,,4,,74,92
5616,note_on,24,0,5,,,,,,,,,4,,74,0
5616,note_on,0,0,5,,,,,,,,,4,,76,92
5758,note_on,142,0,5,,,,,,,,,4,,76,0
5760,note_on,224,0,2,,,,,,,,,1,,64,108
5760,note_on,224,0,1,,,,,,,,,0,,67,108
5760,note_on,2,0,5,,,,,,,,,4,,76,92
5784,note_on,0,0,5,,,,,,,,,4,,77,92
5784,note_on,24,0,5,,,,,,,,,4,,76,0
5808,note_on,0,0,5,,,,,,,,,4,,79,92
5808,note_on,24,0,5,,,,,,,,,4,,77,0
5950,note_on,142,0,5,,,,,,,,,4,,79,0
5952,note_on,416,0,7,,,,,,,,,6,,40,92
5952,note_on,0,0,7,,,,,,,,,6,,52,92
5952,note_on,416,0,3,,,,,,,,,2,,55,108
5952,note_on,2,0,5,,,,,,,,,4,,67,92
5952,note_on,416,0,4,,,,,,,,,3,,52,108
6096,note_on,336,0,1,,,,,,,,,0,,67,0
6096,note_on,336,0,2,,,,,,,,,1,,64,0
6112,note_on,160,0,3,,,,,,,,,2,,55,0
6112,note_on,160,0,4,,,,,,,,,3,,52,0
6112,note_on,160,0,5,,,,,,,,,4,,67,0
6112,note_on,160,0,7,,,,,,,,,6,,40,0
6112,note_on,0,0,7,,,,,,,,,6,,52,0
6144,note_on,48,0,2,,,,,,,,,1,,69,108
6144,note_on,0,0,5,,,,,,,,,4,,76,92
6144,note_on,0,0,5,,,,,,,,,4,,72,92
6144,note_on,0,0,7,,,,,,,,,6,,53,92
6144,note_on,32,0,7,,,,,,,,,6,,41,92
6144,note_on,48,0,1,,,,,,,,,0,,72,108
6144,note_on,32,0,5,,,,,,,,,4,,69,92
6144,note_on,32,0,4,,,,,,,,,3,,53,108
6144,note_on,32,0,3,,,,,,,,,2,,64,108
6238,note_on,94,0,5,,,,,,,,,4,,76,0
6240,note_on,2,0,5,,,,,,,,,4,,74,92
6286,note_on,46,0,5,,,,,,,,,4,,74,0
6288,note_on,2,0,5,,,,,,,,,4,,72,92
6304,note_on,160,0,3,,,,,,,,,2,,64,0
6304,note_on,160,0,1,,,,,,,,,0,,72,0
6304,note_on,0,0,7,,,,,,,,,6,,53,0
6304,note_on,16,0,5,,,,,,,,,4,,69,0
6304,note_on,0,0,5,,,,,,,,,4,,72,0
6304,note_on,160,0,2,,,,,,,,,1,,69,0
6304,note_on,160,0,4,,,,,,,,,3,,53,0
6304,note_on,160,0,7,,,,,,,,,6,,41,0
6334,note_on,30,0,5,,,,,,,,,4,,72,0
6336,note_on,0,0,5,,,,,,,,,4,,72,92
6336,note_on,0,0,5,,,,,,,,,4,,67,92
6336,note_on,2,0,5,,,,,,,,,4,,64,92
6336,note_on,0,0,7,,,,,,,,,6,,55,92
6336,note_on,32,0,7,,,,,,,,,6,,43,92
6336,note_on,32,0,3,,,,,,,,,2,,64,108
6336,note_on,32,0,1,,,,,,,,,0,,72,108
6336,note_on,32,0,2,,,,,,,,,1,,67,108
6336,note_on,32,0,4,,,,,,,,,3,,55,108
6496,note_on,160,0,2,,,,,,,,,1,,67,0
6496,note_on,160,0,1,,,,,,,,,0,,72,0
6496,note_on,0,0,7,,,,,,,,,6,,55,0
6496,note_on,160,0,7,,,,,,,,,6,,43,0
6496,note_on,160,0,3,,,,,,,,,2,,64,0
6496,note_on,160,0,4,,,,,,,,,3,,55,0
6528,note_on,0,0,5,,,,,,,,,4,,62,92
6528,note_on,0,0,5,,,,,,,,,4,,71,92
6528,note_on,0,0,5,,,,,,,,,4,,67,0
6528,note_on,192,0,5,,,,,,,,,4,,64,0
6528,note_on,32,0,3,,,,,,,,,2,,62,108
6528,note_on,32,0,7,,,,,,,,,6,,31,92
6528,note_on,0,0,7,,,,,,,,,6,,43,92
6528,note_on,32,0,2,,,,,,,,,1,,67,108
6528,note_on,32,0,4,,,,,,,,,3,,43,108
6528,note_on,0,0,5,,,,,,,,,4,,67,92
6528,note_on,0,0,5,,,,,,,,,4,,72,0
6528,note_on,32,0,1,,,,,,,,,0,,71,108
6688,note_on,160,0,3,,,,,,,,,2,,62,0
6688,note_on,160,0,2,,,,,,,,,1,,67,0
6688,note_on,160,0,1,,,,,,,,,0,,71,0
6688,note_on,160,0,4,,,,,,,,,3,,43,0
6688,note_on,0,0,5,,,,,,,,,4,,71,0
6688,note_on,0,0,7,,,,,,,,,6,,43,0
6688,note_on,160,0,7,,,,,,,,,6,,31,0
6688,note_on,160,0,5,,,,,,,,,4,,62,0
6688,note_on,0,0,5,,,,,,,,,4,,67,0
6720,note_on,32,0,5,,,,,,,,,4,,71,92
6744,note_on,0,0,5,,,,,,,,,4,,72,92
6744,note_on,24,0,5,,,,,,,,,4,,71,0
6768,note_on,0,0,5,,,,,,,,,4,,74,92
6768,note_on,24,0,5,,,,,,,,,4,,72,0
6910,note_on,142,0,5,,,,,,,,,4,,74,0
6912,note_on,2,0,5,,,,,,,,,4,,74,92
6912,note_on,224,0,4,,,,,,,,,3,,55,108
6912,note_on,224,0,2,,,,,,,,,1,,67,108
6912,note_on,224,0,3,,,,,,,,,2,,59,108
6912,note_on,224,0,1,,,,,,,,,0,,67,108
6936,note_on,0,0,5,,,,,,,,,4,,76,92
6936,note_on,24,0,5,,,,,,,,,4,,74,0
6960,note_on,24,0,5,,,,,,,,,4,,76,0
6960,note_on,0,0,5,,,,,,,,,4,,77,92
7072,note_on,160,0,3,,,,,,,,,2,,59,0
7072,note_on,160,0,1,,,,,,,,,0,,67,0
7072,note_on,160,0,2,,,,,,,,,1,,67,0
7072,note_on,160,0,4,,,,,,,,,3,,55,0
7102,note_on,142,0,5,,,,,,,,,4,,77,0
7104,note_on,0,0,7,,,,,,,,,6,,57,92
7104,note_on,32,0,3,,,,,,,,,2,,60,108
7104,note_on,2,0,5,,,,,,,,,4,,67,92
7104,note_on,32,0,1,,,,,,,,,0,,67,108
7104,note_on,32,0,2,,,,,,,,,1,,67,108
7104,note_on,416,0,7,,,,,,,,,6,,45,92
7104,note_on,32,0,4,,,,,,,,,3,,57,108
7264,note_on,0,0,7,,,,,,,,,6,,57,0
7264,note_on,160,0,7,,,,,,,,,6,,45,0
7264,note_on,160,0,3,,,,,,,,,2,,60,0
7264,note_on,160,0,5,,,,,,,,,4,,67,0
7264,note_on,160,0,4,,,,,,,,,3,,57,0
7296,note_on,32,0,4,,,,,,,,,3,,59,108
7296,note_on,32,0,5,,,,,,,,,4,,67,92
7296,note_on,0,0,5,,,,,,,,,4,,77,92
7296,note_on,0,0,5,,,,,,,,,4,,74,92
7296,note_on,0,0,7,,,,,,,,,6,,59,92
7296,note_on,32,0,7,,,,,,,,,6,,47,92
7296,note_on,32,0,3,,,,,,,,,2,,65,108
7360,note_on,256,0,2,,,,,,,,,1,,67,0
7360,note_on,256,0,1,,,,,,,,,0,,67,0
7390,note_on,94,0,5,,,,,,,,,4,,77,0
7392,note_on,32,0,1,,,,,,,,,0,,74,108
7392,note_on,32,0,2,,,,,,,,,1,,67,108
7392,note_on,2,0,5,,,,,,,,,4,,76,92
7438,note_on,46,0,5,,,,,,,,,4,,76,0
7440,note_on,2,0,5,,,,,,,,,4,,74,92
7456,note_on,0,0,7,,,,,,,,,6,,59,0
7456,note_on,160,0,7,,,,,,,,,6,,47,0
7456,note_on,160,0,4,,,,,,,,,3,,59,0
7456,note_on,16,0,5,,,,,,,,,4,,67,0
7456,note_on,0,0,5,,,,,,,,,4,,74,0
7456,note_on,160,0,3,,,,,,,,,2,,65,0
7486,note_on,94,0,2,,,,,,,,,1,,67,0
