tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,pitch,note,velocity
480,control_change,160,0,3,,,,,,,10,60,2,,,,
480,control_change,160,0,2,,,,,,,10,60,1,,,,
640,program_change,0,0,7,,,,,,,,,6,48,,,
640,control_change,0,0,5,,,,,,,32,0,4,,,,
640,program_change,0,0,5,,,,,,,,,4,48,,,
640,control_change,0,0,7,,,,,,,32,0,6,,,,
640,control_change,160,0,7,,,,,,,0,0,6,,,,
640,control_change,160,0,6,,,,,,,0,0,5,,,,
640,control_change,160,0,5,,,,,,,0,0,4,,,,
640,control_change,160,0,8,,,,,,,0,0,7,,,,
640,control_change,0,0,6,,,,,,,32,0,5,,,,
640,program_change,0,0,8,,,,,,,,,7,48,,,
640,control_change,160,0,2,,,,,,,0,0,1,,,,
640,control_change,0,0,2,,,,,,,32,0,1,,,,
640,program_change,0,0,2,,,,,,,,,1,60,,,
640,control_change,160,0,3,,,,,,,0,0,2,,,,
640,control_change,0,0,3,,,,,,,32,0,2,,,,
640,program_change,0,0,3,,,,,,,,,2,60,,,
640,program_change,0,0,1,,,,,,,,,0,68,,,
640,control_change,0,0,8,,,,,,,32,0,7,,,,
640,control_change,0,0,1,,,,,,,32,0,0,,,,
640,program_change,0,0,6,,,,,,,,,5,48,,,
640,control_change,160,0,1,,,,,,,0,0,0,,,,
640,control_change,160,0,4,,,,,,,0,0,3,,,,
640,control_change,0,0,4,,,,,,,32,0,3,,,,
640,program_change,0,0,4,,,,,,,,,3,48,,,
800,control_change,160,0,8,,,,,,,121,0,7,,,,
800,control_change,160,0,4,,,,,,,121,0,3,,,,
800,control_change,160,0,2,,,,,,,121,0,1,,,,
800,control_change,160,0,6,,,,,,,121,0,5,,,,
800,control_change,160,0,1,,,,,,,121,0,0,,,,
800,control_change,160,0,3,,,,,,,121,0,2,,,,
800,control_change,160,0,7,,,,,,,121,0,6,,,,
800,control_change,160,0,5,,,,,,,121,0,4,,,,
960,pitchwheel,160,0,2,,,,,,,,,1,,0,,
960,pitchwheel,160,0,4,,,,,,,,,3,,0,,
960,pitchwheel,160,0,3,,,,,,,,,2,,0,,
960,pitchwheel,160,0,5,,,,,,,,,4,,0,,
960,pitchwheel,160,0,7,,,,,,,,,6,,0,,
960,pitchwheel,160,0,1,,,,,,,,,0,,0,,
960,pitchwheel,160,0,6,,,,,,,,,5,,0,,
960,pitchwheel,160,0,8,,,,,,,,,7,,0,,
1120,control_change,160,0,1,,,,,,,1,0,0,,,,
1120,control_change,160,0,3,,,,,,,1,0,2,,,,
1120,control_change,160,0,4,,,,,,,1,0,3,,,,
1120,control_change,160,0,8,,,,,,,1,0,7,,,,
1120,control_change,160,0,7,,,,,,,1,0,6,,,,
1120,control_change,160,0,5,,,,,,,1,0,4,,,,
1120,control_change,160,0,6,,,,,,,1,0,5,,,,
1120,control_change,160,0,2,,,,,,,1,0,1,,,,
1280,control_change,160,0,6,,,,,,,11,127,5,,,,
1280,control_change,160,0,3,,,,,,,11,127,2,,,,
1280,control_change,160,0,5,,,,,,,11,127,4,,,,
1280,control_change,160,0,1,,,,,,,11,127,0,,,,
1280,control_change,160,0,7,,,,,,,11,127,6,,,,
1280,control_change,160,0,4,,,,,,,11,127,3,,,,
1280,control_change,160,0,2,,,,,,,11,127,1,,,,
1280,control_change,160,0,8,,,,,,,11,127,7,,,,
1440,control_change,160,0,3,,,,,,,65,0,2,,,,
1440,control_change,160,0,6,,,,,,,65,0,5,,,,
1440,control_change,160,0,8,,,,,,,65,0,7,,,,
1440,control_change,160,0,2,,,,,,,65,0,1,,,,
1440,control_change,160,0,1,,,,,,,65,0,0,,,,
1440,control_change,160,0,4,,,,,,,65,0,3,,,,
1440,control_change,160,0,5,,,,,,,65,0,4,,,,
1440,control_change,160,0,7,,,,,,,65,0,6,,,,
1600,control_change,160,0,2,,,,,,,66,0,1,,,,
1600,control_change,160,0,5,,,,,,,66,0,4,,,,
1600,control_change,160,0,3,,,,,,,66,0,2,,,,
1600,control_change,160,0,8,,,,,,,66,0,7,,,,
1600,control_change,160,0,6,,,,,,,66,0,5,,,,
1600,control_change,160,0,1,,,,,,,66,0,0,,,,
1600,control_change,160,0,4,,,,,,,66,0,3,,,,
1600,control_change,160,0,7,,,,,,,66,0,6,,,,
1760,control_change,160,0,4,,,,,,,67,0,3,,,,
1760,control_change,160,0,8,,,,,,,67,0,7,,,,
1760,control_change,160,0,6,,,,,,,67,0,5,,,,
1760,control_change,160,0,2,,,,,,,67,0,1,,,,
1760,control_change,160,0,5,,,,,,,67,0,4,,,,
1760,control_change,160,0,1,,,,,,,67,0,0,,,,
1760,control_change,160,0,3,,,,,,,67,0,2,,,,
1760,control_change,160,0,7,,,,,,,67,0,6,,,,
1920,end_of_track,1920,1,23,,,,,,,,,,,,,
1920,end_of_track,1920,1,25,,,,,,,,,,,,,
1920,end_of_track,1920,1,20,,,,,,,,,,,,,
1920,end_of_track,1920,1,19,,,,,,,,,,,,,
1920,end_of_track,1920,1,21,,,,,,,,,,,,,
1920,note_on,0,0,2,,,,,,,,,1,,,55,86
1920,note_on,160,0,2,,,,,,,,,1,,,63,86
1920,end_of_track,1920,1,24,,,,,,,,,,,,,
1920,end_of_track,1920,1,22,,,,,,,,,,,,,
1920,end_of_track,1920,1,28,,,,,,,,,,,,,
1920,end_of_track,1920,1,9,,,,,,,,,,,,,
1920,end_of_track,1920,1,17,,,,,,,,,,,,,
1920,end_of_track,1920,1,27,,,,,,,,,,,,,
1920,end_of_track,1920,1,31,,,,,,,,,,,,,
1920,end_of_track,1920,1,32,,,,,,,,,,,,,
1920,end_of_track,1920,1,30,,,,,,,,,,,,,
1920,note_on,0,0,5,,,,,,,,,4,,,58,86
1920,note_on,160,0,5,,,,,,,,,4,,,67,86
1920,end_of_track,1920,1,29,,,,,,,,,,,,,
1920,end_of_track,1920,1,33,,,,,,,,,,,,,
1920,note_on,0,0,4,,,,,,,,,3,,,58,86
1920,note_on,0,0,4,,,,,,,,,3,,,67,86
1920,note_on,160,0,4,,,,,,,,,3,,,75,86
1920,end_of_track,1920,1,10,,,,,,,,,,,,,
1920,end_of_track,1920,1,11,,,,,,,,,,,,,
1920,end_of_track,1920,1,12,,,,,,,,,,,,,
1920,end_of_track,1920,1,13,,,,,,,,,,,,,
1920,end_of_track,1920,1,34,,,,,,,,,,,,,
1920,end_of_track,1920,1,14,,,,,,,,,,,,,
1920,end_of_track,1920,1,15,,,,,,,,,,,,,
1920,end_of_track,1920,1,16,,,,,,,,,,,,,
1920,end_of_track,1920,1,18,,,,,,,,,,,,,
1920,end_of_track,1920,1,26,,,,,,,,,,,,,
1920,end_of_track,1920,1,35,,,,,,,,,,,,,
1920,note_on,0,0,1,,,,,,,,,0,,,67,86
1920,note_on,160,0,1,,,,,,,,,0,,,75,86
2160,note_on,400,0,8,,,,,,,,,7,,,39,57
2160,note_on,400,0,6,,,,,,,,,5,,,63,86
2160,note_on,400,0,7,,,,,,,,,6,,,51,57
2320,note_on,0,0,4,,,,,,,,,3,,,58,0
2320,note_on,400,0,4,,,,,,,,,3,,,75,0
2320,note_on,0,0,4,,,,,,,,,3,,,67,0
2320,note_on,0,0,5,,,,,,,,,4,,,58,0
2320,note_on,400,0,5,,,,,,,,,4,,,67,0
2360,note_on,200,0,7,,,,,,,,,6,,,51,0
2360,note_on,200,0,6,,,,,,,,,5,,,63,0
2360,note_on,200,0,8,,,,,,,,,7,,,39,0
2400,note_on,80,0,4,,,,,,,,,3,,,75,86
2400,note_on,40,0,6,,,,,,,,,5,,,67,86
2400,note_on,40,0,8,,,,,,,,,7,,,43,57
2400,note_on,40,0,7,,,,,,,,,6,,,55,57
2400,note_on,80,0,5,,,,,,,,,4,,,67,86
2600,note_on,200,0,6,,,,,,,,,5,,,67,0
2600,note_on,200,0,7,,,,,,,,,6,,,55,0
2600,note_on,200,0,8,,,,,,,,,7,,,43,0
2640,note_on,40,0,6,,,,,,,,,5,,,70,86
2640,note_on,40,0,7,,,,,,,,,6,,,58,57
2640,note_on,40,0,8,,,,,,,,,7,,,46,57
2840,note_on,200,0,7,,,,,,,,,6,,,58,0
2840,note_on,200,0,8,,,,,,,,,7,,,46,0
2840,note_on,200,0,6,,,,,,,,,5,,,70,0
2880,note_on,40,0,7,,,,,,,,,6,,,63,57
2880,note_on,40,0,6,,,,,,,,,5,,,58,86
2880,note_on,40,0,8,,,,,,,,,7,,,51,57
3010,note_on,610,0,4,,,,,,,,,3,,,75,0
3010,note_on,610,0,5,,,,,,,,,4,,,67,0
3120,note_on,110,0,4,,,,,,,,,3,,,77,86
3120,note_on,110,0,5,,,,,,,,,4,,,68,86
3170,note_on,50,0,5,,,,,,,,,4,,,68,0
3170,note_on,50,0,4,,,,,,,,,3,,,77,0
3180,note_on,10,0,5,,,,,,,,,4,,,67,94
3180,note_on,10,0,4,,,,,,,,,3,,,75,94
3240,note_on,0,0,4,,,,,,,,,3,,,74,86
3240,note_on,60,0,5,,,,,,,,,4,,,67,0
3240,note_on,0,0,5,,,,,,,,,4,,,65,86
3240,note_on,60,0,4,,,,,,,,,3,,,75,0
3280,note_on,400,0,6,,,,,,,,,5,,,58,0
3280,note_on,400,0,7,,,,,,,,,6,,,63,0
3280,note_on,400,0,8,,,,,,,,,7,,,51,0
3360,note_on,0,0,5,,,,,,,,,4,,,67,86
3360,note_on,120,0,4,,,,,,,,,3,,,74,0
3360,note_on,80,0,7,,,,,,,,,6,,,51,57
3360,note_on,120,0,5,,,,,,,,,4,,,65,0
3360,note_on,0,0,4,,,,,,,,,3,,,75,86
3360,note_on,80,0,6,,,,,,,,,5,,,70,86
3360,note_on,80,0,8,,,,,,,,,7,,,39,57
3550,note_on,0,0,1,,,,,,,,,0,,,67,0
3550,note_on,1630,0,1,,,,,,,,,0,,,75,0
3560,note_on,200,0,5,,,,,,,,,4,,,67,0
3560,note_on,200,0,4,,,,,,,,,3,,,75,0
3600,note_on,40,0,5,,,,,,,,,4,,,63,111
3600,note_on,40,0,4,,,,,,,,,3,,,70,111
3720,note_on,120,0,5,,,,,,,,,4,,,63,0
3720,note_on,120,0,4,,,,,,,,,3,,,70,0
3760,note_on,400,0,8,,,,,,,,,7,,,39,0
3760,note_on,400,0,6,,,,,,,,,5,,,70,0
3760,note_on,400,0,7,,,,,,,,,6,,,51,0
3840,note_on,0,0,5,,,,,,,,,4,,,58,86
3840,note_on,0,0,5,,,,,,,,,4,,,67,86
3840,note_on,120,0,5,,,,,,,,,4,,,75,86
3840,note_on,0,0,1,,,,,,,,,0,,,70,86
3840,note_on,290,0,1,,,,,,,,,0,,,79,86
3840,note_on,0,0,4,,,,,,,,,3,,,70,86
3840,note_on,0,0,4,,,,,,,,,3,,,63,86
3840,note_on,120,0,4,,,,,,,,,3,,,79,86
4080,note_on,320,0,8,,,,,,,,,7,,,39,57
4080,note_on,320,0,7,,,,,,,,,6,,,51,57
4080,note_on,320,0,6,,,,,,,,,5,,,63,86
4240,note_on,0,0,5,,,,,,,,,4,,,67,0
4240,note_on,400,0,5,,,,,,,,,4,,,75,0
4240,note_on,0,0,4,,,,,,,,,3,,,63,0
4240,note_on,0,0,4,,,,,,,,,3,,,70,0
4240,note_on,400,0,4,,,,,,,,,3,,,79,0
4240,note_on,0,0,5,,,,,,,,,4,,,58,0
4280,note_on,200,0,7,,,,,,,,,6,,,51,0
4280,note_on,200,0,6,,,,,,,,,5,,,63,0
4280,note_on,200,0,8,,,,,,,,,7,,,39,0
4320,note_on,40,0,8,,,,,,,,,7,,,43,57
4320,note_on,80,0,4,,,,,,,,,3,,,79,86
4320,note_on,40,0,7,,,,,,,,,6,,,55,57
4320,note_on,40,0,6,,,,,,,,,5,,,67,86
4320,note_on,80,0,5,,,,,,,,,4,,,75,86
4520,note_on,200,0,8,,,,,,,,,7,,,43,0
4520,note_on,200,0,6,,,,,,,,,5,,,67,0
4520,note_on,200,0,7,,,,,,,,,6,,,55,0
4560,note_on,40,0,7,,,,,,,,,6,,,58,57
4560,note_on,40,0,8,,,,,,,,,7,,,46,57
4560,note_on,40,0,6,,,,,,,,,5,,,70,86
4760,note_on,200,0,7,,,,,,,,,6,,,58,0
4760,note_on,200,0,6,,,,,,,,,5,,,70,0
4760,note_on,200,0,8,,,,,,,,,7,,,46,0
4800,note_on,40,0,7,,,,,,,,,6,,,63,57
4800,note_on,40,0,8,,,,,,,,,7,,,51,57
4800,note_on,40,0,6,,,,,,,,,5,,,58,86
4930,note_on,610,0,4,,,,,,,,,3,,,79,0
4930,note_on,610,0,5,,,,,,,,,4,,,75,0
5040,note_on,110,0,4,,,,,,,,,3,,,80,86
5040,note_on,110,0,5,,,,,,,,,4,,,77,86
5090,note_on,50,0,4,,,,,,,,,3,,,80,0
5090,note_on,50,0,5,,,,,,,,,4,,,77,0
5100,note_on,10,0,5,,,,,,,,,4,,,75,94
5100,note_on,10,0,4,,,,,,,,,3,,,79,94
5140,note_on,40,0,4,,,,,,,,,3,,,79,0
5160,note_on,0,0,5,,,,,,,,,4,,,74,86
5160,note_on,20,0,4,,,,,,,,,3,,,77,86
5160,note_on,60,0,5,,,,,,,,,4,,,75,0
5200,note_on,400,0,6,,,,,,,,,5,,,58,0
5200,note_on,400,0,7,,,,,,,,,6,,,63,0
5200,note_on,400,0,8,,,,,,,,,7,,,51,0
5260,note_on,100,0,4,,,,,,,,,3,,,77,0
5280,note_on,20,0,4,,,,,,,,,3,,,79,86
5280,note_on,80,0,8,,,,,,,,,7,,,39,57
5280,note_on,80,0,6,,,,,,,,,5,,,70,86
5280,note_on,120,0,5,,,,,,,,,4,,,74,0
5280,note_on,0,0,5,,,,,,,,,4,,,75,86
5280,note_on,80,0,7,,,,,,,,,6,,,51,57
5470,note_on,1630,0,1,,,,,,,,,0,,,79,0
5470,note_on,0,0,1,,,,,,,,,0,,,70,0
5480,note_on,200,0,4,,,,,,,,,3,,,79,0
5520,note_on,240,0,5,,,,,,,,,4,,,75,0
5520,note_on,0,0,5,,,,,,,,,4,,,67,111
5520,note_on,40,0,4,,,,,,,,,3,,,75,111
5640,note_on,120,0,4,,,,,,,,,3,,,75,0
5640,note_on,120,0,5,,,,,,,,,4,,,67,0
5680,note_on,400,0,8,,,,,,,,,7,,,39,0
5680,note_on,400,0,6,,,,,,,,,5,,,70,0
5680,note_on,400,0,7,,,,,,,,,6,,,51,0
5760,note_on,0,0,1,,,,,,,,,0,,,79,86
5760,note_on,0,0,4,,,,,,,,,3,,,82,86
5760,note_on,0,0,4,,,,,,,,,3,,,63,86
5760,note_on,120,0,4,,,,,,,,,3,,,70,86
5760,note_on,0,0,5,,,,,,,,,4,,,79,86
5760,note_on,0,0,5,,,,,,,,,4,,,63,86
5760,note_on,120,0,5,,,,,,,,,4,,,70,86
5760,note_on,290,0,1,,,,,,,,,0,,,82,86
6000,note_on,320,0,8,,,,,,,,,7,,,39,57
6000,note_on,320,0,6,,,,,,,,,5,,,63,86
6000,note_on,320,0,7,,,,,,,,,6,,,51,57
6160,note_on,400,0,5,,,,,,,,,4,,,70,0
6160,note_on,400,0,4,,,,,,,,,3,,,70,0
6160,note_on,0,0,5,,,,,,,,,4,,,63,0
6160,note_on,0,0,4,,,,,,,,,3,,,63,0
6200,note_on,200,0,6,,,,,,,,,5,,,63,0
6200,note_on,200,0,7,,,,,,,,,6,,,51,0
6200,note_on,200,0,8,,,,,,,,,7,,,39,0
6240,note_on,40,0,8,,,,,,,,,7,,,43,57
6240,note_on,40,0,6,,,,,,,,,5,,,67,86
6240,note_on,40,0,7,,,,,,,,,6,,,55,57
6340,note_on,180,0,5,,,,,,,,,4,,,79,0
6340,note_on,180,0,4,,,,,,,,,3,,,82,0
6360,note_on,20,0,4,,,,,,,,,3,,,80,86
6360,note_on,20,0,5,,,,,,,,,4,,,80,86
6420,note_on,60,0,4,,,,,,,,,3,,,80,0
6420,note_on,60,0,5,,,,,,,,,4,,,80,0
6440,note_on,200,0,6,,,,,,,,,5,,,67,0
6440,note_on,200,0,8,,,,,,,,,7,,,43,0
6440,note_on,200,0,7,,,,,,,,,6,,,55,0
6480,note_on,60,0,4,,,,,,,,,3,,,79,86
6480,note_on,40,0,8,,,,,,,,,7,,,46,57
6480,note_on,40,0,6,,,,,,,,,5,,,70,86
6480,note_on,60,0,5,,,,,,,,,4,,,79,86
6480,note_on,40,0,7,,,,,,,,,6,,,58,57
6540,note_on,60,0,4,,,,,,,,,3,,,79,0
6540,note_on,60,0,5,,,,,,,,,4,,,79,0
6600,note_on,60,0,4,,,,,,,,,3,,,77,86
6600,note_on,60,0,5,,,,,,,,,4,,,77,86
6660,note_on,60,0,5,,,,,,,,,4,,,77,0
6660,note_on,60,0,4,,,,,,,,,3,,,77,0
6680,note_on,200,0,7,,,,,,,,,6,,,58,0
6680,note_on,200,0,8,,,,,,,,,7,,,46,0
6680,note_on,200,0,6,,,,,,,,,5,,,70,0
6720,note_on,60,0,5,,,,,,,,,4,,,75,86
6720,note_on,40,0,7,,,,,,,,,6,,,55,57
6720,note_on,40,0,8,,,,,,,,,7,,,43,57
6720,note_on,40,0,6,,,,,,,,,5,,,67,86
6720,note_on,60,0,4,,,,,,,,,3,,,75,86
6840,note_on,120,0,5,,,,,,,,,4,,,75,0
6840,note_on,0,0,5,,,,,,,,,4,,,74,86
6840,note_on,120,0,4,,,,,,,,,3,,,75,0
6840,note_on,0,0,4,,,,,,,,,3,,,74,86
6920,note_on,200,0,7,,,,,,,,,6,,,55,0
6920,note_on,200,0,6,,,,,,,,,5,,,67,0
6920,note_on,200,0,8,,,,,,,,,7,,,43,0
6960,note_on,40,0,7,,,,,,,,,6,,,58,57
6960,note_on,120,0,5,,,,,,,,,4,,,74,0
6960,note_on,0,0,4,,,,,,,,,3,,,72,86
6960,note_on,120,0,4,,,,,,,,,3,,,74,0
6960,note_on,0,0,5,,,,,,,,,4,,,72,86
6960,note_on,40,0,6,,,,,,,,,5,,,70,86
6960,note_on,40,0,8,,,,,,,,,7,,,46,57
7020,note_on,60,0,5,,,,,,,,,4,,,72,0
7020,note_on,60,0,4,,,,,,,,,3,,,72,0
7080,note_on,60,0,4,,,,,,,,,3,,,70,86
7080,note_on,60,0,5,,,,,,,,,4,,,70,86
7140,note_on,60,0,4,,,,,,,,,3,,,70,0
7140,note_on,60,0,5,,,,,,,,,4,,,70,0
7160,note_on,200,0,6,,,,,,,,,5,,,70,0
7160,note_on,200,0,8,,,,,,,,,7,,,46,0
7160,note_on,200,0,7,,,,,,,,,6,,,58,0
7200,note_on,40,0,6,,,,,,,,,5,,,63,86
7200,note_on,60,0,4,,,,,,,,,3,,,68,86
7200,note_on,40,0,7,,,,,,,,,6,,,51,57
7200,note_on,40,0,8,,,,,,,,,7,,,39,57
7200,note_on,60,0,5,,,,,,,,,4,,,68,86
7300,note_on,100,0,4,,,,,,,,,3,,,68,0
7300,note_on,100,0,5,,,,,,,,,4,,,68,0
7320,note_on,20,0,5,,,,,,,,,4,,,67,86
7320,note_on,20,0,4,,,,,,,,,3,,,67,86
7390,note_on,0,0,2,,,,,,,,,1,,,55,0
7390,note_on,5470,0,2,,,,,,,,,1,,,63,0
7400,note_on,200,0,7,,,,,,,,,6,,,51,0
7400,note_on,200,0,8,,,,,,,,,7,,,39,0
7400,note_on,200,0,6,,,,,,,,,5,,,63,0
7420,note_on,100,0,5,,,,,,,,,4,,,67,0
7420,note_on,100,0,4,,,,,,,,,3,,,67,0
7440,note_on,1680,0,1,,,,,,,,,0,,,82,0
7440,note_on,0,0,1,,,,,,,,,0,,,75,86
7440,note_on,0,0,1,,,,,,,,,0,,,79,86
7440,note_on,0,0,1,,,,,,,,,0,,,79,0
7440,note_on,40,0,6,,,,,,,,,5,,,67,86
7440,note_on,40,0,7,,,,,,,,,6,,,56,57
7440,note_on,20,0,4,,,,,,,,,3,,,65,86
7440,note_on,20,0,5,,,,,,,,,4,,,65,86
7440,note_on,40,0,8,,,,,,,,,7,,,44,57
7540,note_on,100,0,4,,,,,,,,,3,,,65,0
7540,note_on,100,0,5,,,,,,,,,4,,,65,0
7560,note_on,20,0,4,,,,,,,,,3,,,63,86
7560,note_on,20,0,5,,,,,,,,,4,,,63,86
7640,note_on,200,0,7,,,,,,,,,6,,,56,0
7640,note_on,200,0,6,,,,,,,,,5,,,67,0
7640,note_on,200,0,8,,,,,,,,,7,,,44,0
7660,note_on,100,0,4,,,,,,,,,3,,,63,0
7660,note_on,100,0,5,,,,,,,,,4,,,63,0
7680,note_on,40,0,8,,,,,,,,,7,,,44,57
7680,note_on,290,0,2,,,,,,,,,1,,,65,86
7680,note_on,0,0,1,,,,,,,,,0,,,74,86
7680,note_on,0,0,1,,,,,,,,,0,,,77,86
7680,note_on,0,0,1,,,,,,,,,0,,,75,0
7680,note_on,240,0,1,,,,,,,,,0,,,79,0
7680,note_on,20,0,5,,,,,,,,,4,,,62,86
7680,note_on,0,0,5,,,,,,,,,4,,,58,86
7680,note_on,0,0,2,,,,,,,,,1,,,58,86
7680,note_on,40,0,7,,,,,,,,,6,,,56,57
7680,note_on,20,0,4,,,,,,,,,3,,,65,86
7680,note_on,0,0,4,,,,,,,,,3,,,60,86
7680,note_on,40,0,6,,,,,,,,,5,,,68,86
7880,note_on,200,0,6,,,,,,,,,5,,,68,0
7880,note_on,200,0,7,,,,,,,,,6,,,56,0
7880,note_on,200,0,8,,,,,,,,,7,,,44,0
7920,note_on,40,0,7,,,,,,,,,6,,,53,57
7920,note_on,40,0,6,,,,,,,,,5,,,65,86
7920,note_on,40,0,8,,,,,,,,,7,,,41,57
8120,note_on,200,0,8,,,,,,,,,7,,,41,0
8120,note_on,200,0,6,,,,,,,,,5,,,65,0
8120,note_on,200,0,7,,,,,,,,,6,,,53,0
8160,note_on,40,0,8,,,,,,,,,7,,,38,57
8160,note_on,40,0,7,,,,,,,,,6,,,50,57
8160,note_on,40,0,6,,,,,,,,,5,,,62,86
8290,note_on,0,0,5,,,,,,,,,4,,,58,0
8290,note_on,610,0,5,,,,,,,,,4,,,62,0
8290,note_on,610,0,4,,,,,,,,,3,,,65,0
8290,note_on,0,0,4,,,,,,,,,3,,,60,0
8360,note_on,200,0,8,,,,,,,,,7,,,38,0
8360,note_on,200,0,6,,,,,,,,,5,,,62,0
8360,note_on,200,0,7,,,,,,,,,6,,,50,0
8400,note_on,110,0,5,,,,,,,,,4,,,63,86
8400,note_on,40,0,8,,,,,,,,,7,,,34,57
8400,note_on,0,0,1,,,,,,,,,0,,,74,0
8400,note_on,40,0,7,,,,,,,,,6,,,46,57
8400,note_on,40,0,6,,,,,,,,,5,,,58,86
8400,note_on,110,0,4,,,,,,,,,3,,,67,86
8400,note_on,720,0,1,,,,,,,,,0,,,77,0
8400,note_on,0,0,1,,,,,,,,,0,,,79,86
8400,note_on,0,0,1,,,,,,,,,0,,,75,86
8490,note_on,810,0,2,,,,,,,,,1,,,65,0
8490,note_on,0,0,2,,,,,,,,,1,,,58,0
8520,note_on,120,0,5,,,,,,,,,4,,,63,0
8520,note_on,0,0,5,,,,,,,,,4,,,65,86
8520,note_on,120,0,4,,,,,,,,,3,,,67,0
8520,note_on,120,0,1,,,,,,,,,0,,,79,0
8520,note_on,0,0,1,,,,,,,,,0,,,75,0
8520,note_on,0,0,1,,,,,,,,,0,,,80,86
8520,note_on,0,0,4,,,,,,,,,3,,,68,86
8520,note_on,0,0,1,,,,,,,,,0,,,77,86
8600,note_on,200,0,8,,,,,,,,,7,,,34,0
8600,note_on,200,0,7,,,,,,,,,6,,,46,0
8600,note_on,200,0,6,,,,,,,,,5,,,58,0
8620,note_on,100,0,1,,,,,,,,,0,,,80,0
8620,note_on,0,0,1,,,,,,,,,0,,,77,0
8640,note_on,20,0,1,,,,,,,,,0,,,79,86
8640,note_on,150,0,2,,,,,,,,,1,,,67,86
8640,note_on,0,0,2,,,,,,,,,1,,,63,86
8640,note_on,120,0,5,,,,,,,,,4,,,65,0
8640,note_on,120,0,4,,,,,,,,,3,,,68,0
