tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,pitch,note,velocity
4608,note_on,,,,,0,0,1,,,,,0,,,,64,51
4752,note_off,,,,,144,0,1,,,,,0,,,,64,100
4800,note_on,,,,,48,0,1,,,,,0,,,,67,51
4944,note_off,,,,,144,0,1,,,,,0,,,,67,100
4988,note_off,,,,,44,0,1,,,,,0,,,,79,100
4992,note_on,,,,,4,0,1,,,,,0,,,,79,51
4992,note_on,,,,,0,0,1,,,,,0,,,,64,51
5136,note_off,,,,,144,0,1,,,,,0,,,,64,100
5184,note_on,,,,,48,0,1,,,,,0,,,,67,51
5328,note_off,,,,,144,0,1,,,,,0,,,,67,100
5372,note_off,,,,,44,0,1,,,,,0,,,,79,100
5376,note_on,,,,,4,0,1,,,,,0,,,,61,51
5520,note_off,,,,,144,0,1,,,,,0,,,,61,100
5568,note_on,,,,,48,0,1,,,,,0,,,,67,51
5712,note_off,,,,,144,0,1,,,,,0,,,,67,100
5760,note_on,,,,,48,0,1,,,,,0,,,,81,51
5760,note_on,,,,,0,0,1,,,,,0,,,,61,51
5904,note_off,,,,,144,0,1,,,,,0,,,,61,100
5952,note_on,,,,,48,0,1,,,,,0,,,,67,51
6096,note_off,,,,,144,0,1,,,,,0,,,,67,100
6140,note_off,,,,,44,0,1,,,,,0,,,,81,100
6144,note_on,,,,,4,0,1,,,,,0,,,,79,51
6192,note_off,,,,,48,0,1,,,,,0,,,,79,100
6192,note_on,,,,,0,0,1,,,,,0,,,,77,51
6192,note_on,,,,,0,0,1,,,,,0,,,,62,51
6336,note_off,,,,,144,0,1,,,,,0,,,,62,100
6336,note_on,,,,,0,0,1,,,,,0,,,,67,51
6480,note_off,,,,,144,0,1,,,,,0,,,,67,100
6524,note_off,,,,,44,0,1,,,,,0,,,,77,100
6528,note_on,,,,,4,0,1,,,,,0,,,,77,51
6528,note_on,,,,,0,0,1,,,,,0,,,,62,51
6672,note_off,,,,,144,0,1,,,,,0,,,,62,100
6720,note_on,,,,,48,0,1,,,,,0,,,,67,51
6864,note_off,,,,,144,0,1,,,,,0,,,,67,100
6908,note_off,,,,,44,0,1,,,,,0,,,,77,100
6912,note_on,,,,,4,0,1,,,,,0,,,,59,51
7056,note_off,,,,,144,0,1,,,,,0,,,,59,100
7104,note_on,,,,,48,0,1,,,,,0,,,,67,51
7248,note_off,,,,,144,0,1,,,,,0,,,,67,100
7296,note_on,,,,,48,0,1,,,,,0,,,,79,51
7296,note_on,,,,,0,0,1,,,,,0,,,,59,51
7440,note_off,,,,,144,0,1,,,,,0,,,,59,100
7488,note_on,,,,,48,0,1,,,,,0,,,,67,51
7632,note_off,,,,,144,0,1,,,,,0,,,,67,100
7676,note_off,,,,,44,0,1,,,,,0,,,,79,100
7680,note_on,,,,,4,0,1,,,,,0,,,,77,51
7728,note_off,,,,,48,0,1,,,,,0,,,,77,100
7728,note_on,,,,,0,0,1,,,,,0,,,,76,51
7728,note_on,,,,,0,0,1,,,,,0,,,,60,51
7872,note_off,,,,,144,0,1,,,,,0,,,,60,100
7872,note_on,,,,,0,0,1,,,,,0,,,,67,51
8016,note_off,,,,,144,0,1,,,,,0,,,,67,100
8060,note_off,,,,,44,0,1,,,,,0,,,,76,100
8064,note_on,,,,,4,0,1,,,,,0,,,,76,51
8064,note_on,,,,,0,0,1,,,,,0,,,,60,51
8208,note_off,,,,,144,0,1,,,,,0,,,,60,100
8256,note_on,,,,,48,0,1,,,,,0,,,,67,51
8400,note_off,,,,,144,0,1,,,,,0,,,,67,100
8444,note_off,,,,,44,0,1,,,,,0,,,,76,100
8448,note_on,,,,,4,0,1,,,,,0,,,,64,51
8592,note_off,,,,,144,0,1,,,,,0,,,,64,100
8640,note_on,,,,,48,0,1,,,,,0,,,,67,51
8784,note_off,,,,,144,0,1,,,,,0,,,,67,100
8832,note_on,,,,,0,0,1,,,,,0,,,,64,51
8832,note_on,,,,,48,0,1,,,,,0,,,,79,51
8976,note_off,,,,,144,0,1,,,,,0,,,,64,100
9024,note_off,,,,,48,0,1,,,,,0,,,,79,100
9024,note_on,,,,,0,0,1,,,,,0,,,,76,51
9024,note_on,,,,,0,0,1,,,,,0,,,,67,51
9168,note_off,,,,,144,0,1,,,,,0,,,,67,100
9216,note_off,,,,,48,0,1,,,,,0,,,,76,100
9216,note_on,,,,,0,0,1,,,,,0,,,,73,51
9216,note_on,,,,,0,0,1,,,,,0,,,,69,51
9216,note_on,,,,,0,0,1,,,,,0,,,,65,51
9360,note_off,,,,,144,0,1,,,,,0,,,,73,100
9408,note_on,,,,,48,0,1,,,,,0,,,,74,51
9552,note_off,,,,,144,0,1,,,,,0,,,,74,100
9600,note_on,,,,,48,0,1,,,,,0,,,,77,51
9744,note_off,,,,,144,0,1,,,,,0,,,,77,100
9792,note_on,,,,,48,0,1,,,,,0,,,,76,51
9936,note_off,,,,,144,0,1,,,,,0,,,,76,100
9984,note_on,,,,,48,0,1,,,,,0,,,,73,51
10128,note_off,,,,,144,0,1,,,,,0,,,,73,100
10176,note_on,,,,,48,0,1,,,,,0,,,,74,51
10320,note_off,,,,,144,0,1,,,,,0,,,,74,100
10368,note_on,,,,,48,0,1,,,,,0,,,,77,51
10512,note_off,,,,,144,0,1,,,,,0,,,,77,100
10560,note_on,,,,,48,0,1,,,,,0,,,,76,51
10704,note_off,,,,,144,0,1,,,,,0,,,,76,100
10748,note_off,,,,,44,0,1,,,,,0,,,,69,100
10748,note_off,,,,,0,0,1,,,,,0,,,,65,100
10752,note_on,,,,,4,0,1,,,,,0,,,,73,51
10896,note_off,,,,,144,0,1,,,,,0,,,,73,100
10944,note_on,,,,,48,0,1,,,,,0,,,,74,51
11088,note_off,,,,,144,0,1,,,,,0,,,,74,100
11136,note_on,,,,,6916,0,2,,,,,1,,,,62,51
11136,note_on,,,,,0,0,2,,,,,1,,,,57,51
11136,note_on,,,,,0,0,2,,,,,1,,,,53,51
11136,note_on,,,,,48,0,1,,,,,0,,,,77,51
11280,note_off,,,,,144,0,1,,,,,0,,,,77,100
11328,note_on,,,,,48,0,1,,,,,0,,,,81,51
11472,note_off,,,,,144,0,1,,,,,0,,,,81,100
11516,note_off,,,,,380,0,2,,,,,1,,,,62,100
11516,note_off,,,,,0,0,2,,,,,1,,,,57,100
11516,note_off,,,,,0,0,2,,,,,1,,,,53,100
11520,note_on,,,,,0,0,2,,,,,1,,,,55,51
11520,note_on,,,,,48,0,1,,,,,0,,,,79,51
11520,note_on,,,,,4,0,2,,,,,1,,,,64,51
11520,note_on,,,,,0,0,2,,,,,1,,,,60,51
11664,note_off,,,,,144,0,1,,,,,0,,,,79,100
11712,note_on,,,,,48,0,1,,,,,0,,,,76,51
11856,note_off,,,,,144,0,1,,,,,0,,,,76,100
11900,note_off,,,,,0,0,2,,,,,1,,,,55,100
11900,note_off,,,,,0,0,2,,,,,1,,,,60,100
11900,note_off,,,,,380,0,2,,,,,1,,,,64,100
11904,note_on,,,,,48,0,1,,,,,0,,,,77,51
11904,note_on,,,,,0,0,2,,,,,1,,,,59,51
11904,note_on,,,,,0,0,2,,,,,1,,,,55,51
11904,note_on,,,,,4,0,2,,,,,1,,,,62,51
12048,note_off,,,,,144,0,1,,,,,0,,,,77,100
12096,note_on,,,,,48,0,1,,,,,0,,,,74,51
12240,note_off,,,,,144,0,1,,,,,0,,,,74,100
12284,note_off,,,,,0,0,2,,,,,1,,,,55,100
12284,note_off,,,,,0,0,2,,,,,1,,,,59,100
12284,note_off,,,,,380,0,2,,,,,1,,,,62,100
12288,note_on,,,,,48,0,1,,,,,0,,,,60,72
12336,note_off,,,,,48,0,1,,,,,0,,,,60,0
12336,note_on,,,,,0,0,1,,,,,0,,,,64,72
12384,note_off,,,,,48,0,1,,,,,0,,,,64,0
12384,note_on,,,,,0,0,1,,,,,0,,,,67,72
12432,note_on,,,,,0,0,2,,,,,1,,,,36,72
12432,note_on,,,,,0,0,1,,,,,0,,,,72,72
12432,note_off,,,,,48,0,1,,,,,0,,,,67,0
12432,note_on,,,,,148,0,2,,,,,1,,,,48,72
13036,note_off,,,,,604,0,1,,,,,0,,,,72,0
13036,note_off,,,,,604,0,2,,,,,1,,,,48,100
13036,note_off,,,,,0,0,2,,,,,1,,,,36,100
13056,note_on,,,,,0,0,2,,,,,1,,,,31,72
13056,note_on,,,,,20,0,2,,,,,1,,,,43,72
13056,note_on,,,,,20,0,1,,,,,0,,,,67,72
13820,note_off,,,,,0,0,2,,,,,1,,,,31,100
13820,note_off,,,,,764,0,2,,,,,1,,,,43,100
13820,note_off,,,,,764,0,1,,,,,0,,,,67,100
13824,note_on,,,,,4,0,1,,,,,0,,,,76,72
13824,note_on,,,,,4,0,2,,,,,1,,,,52,72
14396,note_off,,,,,572,0,1,,,,,0,,,,76,100
14396,note_off,,,,,572,0,2,,,,,1,,,,52,100
14400,note_on,,,,,4,0,1,,,,,0,,,,77,72
14400,note_on,,,,,4,0,2,,,,,1,,,,53,72
14492,note_off,,,,,92,0,2,,,,,1,,,,53,100
14492,note_off,,,,,92,0,1,,,,,0,,,,77,100
14496,note_on,,,,,4,0,1,,,,,0,,,,74,72
14496,note_on,,,,,4,0,2,,,,,1,,,,50,72
14576,note_on,,,,,80,0,2,,,,,1,,,,48,72
14588,note_off,,,,,12,0,2,,,,,1,,,,50,100
14588,note_off,,,,,92,0,1,,,,,0,,,,74,100
14592,note_on,,,,,4,0,1,,,,,0,,,,72,72
14956,note_off,,,,,368,0,2,,,,,1,,,,48,100
14972,note_off,,,,,380,0,1,,,,,0,,,,72,100
15360,note_on,,,,,388,0,1,,,,,0,,,,79,51
15360,note_on,,,,,0,0,1,,,,,0,,,,64,51
15504,note_off,,,,,144,0,1,,,,,0,,,,64,100
15552,note_on,,,,,48,0,1,,,,,0,,,,67,51
15696,note_off,,,,,144,0,1,,,,,0,,,,67,100
15740,note_off,,,,,44,0,1,,,,,0,,,,79,100
15744,note_on,,,,,4,0,1,,,,,0,,,,79,51
15744,note_on,,,,,0,0,1,,,,,0,,,,64,51
15888,note_off,,,,,144,0,1,,,,,0,,,,64,100
15936,note_on,,,,,48,0,1,,,,,0,,,,67,51
16080,note_off,,,,,144,0,1,,,,,0,,,,67,100
16124,note_off,,,,,44,0,1,,,,,0,,,,79,100
16128,note_on,,,,,4,0,1,,,,,0,,,,61,51
16272,note_off,,,,,144,0,1,,,,,0,,,,61,100
16320,note_on,,,,,48,0,1,,,,,0,,,,67,51
16464,note_off,,,,,144,0,1,,,,,0,,,,67,100
16512,note_on,,,,,48,0,1,,,,,0,,,,61,51
16512,note_on,,,,,0,0,1,,,,,0,,,,81,51
16656,note_off,,,,,144,0,1,,,,,0,,,,61,100
16704,note_on,,,,,48,0,1,,,,,0,,,,67,51
16848,note_off,,,,,144,0,1,,,,,0,,,,67,100
16892,note_off,,,,,44,0,1,,,,,0,,,,81,100
16896,note_on,,,,,4,0,1,,,,,0,,,,79,51
16944,note_off,,,,,48,0,1,,,,,0,,,,79,100
16944,note_on,,,,,0,0,1,,,,,0,,,,77,51
16944,note_on,,,,,0,0,1,,,,,0,,,,62,51
17088,note_off,,,,,144,0,1,,,,,0,,,,62,100
17088,note_on,,,,,0,0,1,,,,,0,,,,67,51
17232,note_off,,,,,144,0,1,,,,,0,,,,67,100
17276,note_off,,,,,44,0,1,,,,,0,,,,77,100
17280,note_on,,,,,4,0,1,,,,,0,,,,77,51
17280,note_on,,,,,0,0,1,,,,,0,,,,62,51
17424,note_off,,,,,144,0,1,,,,,0,,,,62,100
17472,note_on,,,,,48,0,1,,,,,0,,,,67,51
17616,note_off,,,,,144,0,1,,,,,0,,,,67,100
17660,note_off,,,,,44,0,1,,,,,0,,,,77,100
17664,note_on,,,,,4,0,1,,,,,0,,,,59,51
17808,note_off,,,,,144,0,1,,,,,0,,,,59,100
17856,note_on,,,,,0,0,1,,,,,0,,,,67,51
17856,note_on,,,,,48,0,1,,,,,0,,,,78,51
18000,note_off,,,,,0,0,1,,,,,0,,,,67,100
18000,note_off,,,,,144,0,1,,,,,0,,,,78,100
18048,note_on,,,,,0,0,1,,,,,0,,,,59,51
18048,note_on,,,,,48,0,1,,,,,0,,,,81,51
18192,note_off,,,,,0,0,1,,,,,0,,,,59,100
18192,note_off,,,,,144,0,1,,,,,0,,,,81,100
18240,note_on,,,,,0,0,1,,,,,0,,,,67,51
18240,note_on,,,,,48,0,1,,,,,0,,,,79,51
18384,note_off,,,,,144,0,1,,,,,0,,,,79,100
18384,note_off,,,,,0,0,1,,,,,0,,,,67,100
18432,note_on,,,,,48,0,1,,,,,0,,,,77,51
18476,note_off,,,,,44,0,1,,,,,0,,,,77,100
18480,note_on,,,,,0,0,1,,,,,0,,,,60,51
18480,note_on,,,,,4,0,1,,,,,0,,,,76,51
18624,note_on,,,,,0,0,1,,,,,0,,,,67,51
18624,note_off,,,,,144,0,1,,,,,0,,,,60,100
18768,note_off,,,,,144,0,1,,,,,0,,,,67,100
18812,note_off,,,,,44,0,1,,,,,0,,,,76,100
18816,note_on,,,,,4,0,1,,,,,0,,,,76,51
18816,note_on,,,,,0,0,1,,,,,0,,,,60,51
18960,note_off,,,,,144,0,1,,,,,0,,,,60,100
19008,note_on,,,,,48,0,1,,,,,0,,,,67,51
19152,note_off,,,,,144,0,1,,,,,0,,,,67,100
19196,note_off,,,,,44,0,1,,,,,0,,,,76,100
19200,note_on,,,,,4,0,1,,,,,0,,,,64,51
19344,note_off,,,,,144,0,1,,,,,0,,,,64,100
19392,note_on,,,,,48,0,1,,,,,0,,,,76,51
19392,note_on,,,,,0,0,1,,,,,0,,,,67,51
19536,note_off,,,,,144,0,1,,,,,0,,,,76,100
19536,note_off,,,,,0,0,1,,,,,0,,,,67,100
19584,note_on,,,,,48,0,1,,,,,0,,,,79,51
19584,note_on,,,,,0,0,1,,,,,0,,,,64,51
19728,note_off,,,,,0,0,1,,,,,0,,,,64,100
19728,note_off,,,,,144,0,1,,,,,0,,,,79,100
19776,note_on,,,,,48,0,1,,,,,0,,,,76,51
19776,note_on,,,,,0,0,1,,,,,0,,,,67,51
19920,note_off,,,,,0,0,1,,,,,0,,,,67,100
19920,note_off,,,,,144,0,1,,,,,0,,,,76,100
19968,note_on,,,,,48,0,1,,,,,0,,,,73,72
19968,note_on,,,,,0,0,1,,,,,0,,,,67,51
19968,note_on,,,,,0,0,1,,,,,0,,,,70,51
20496,note_off,,,,,528,0,1,,,,,0,,,,67,100
20496,note_off,,,,,0,0,1,,,,,0,,,,70,100
20540,note_off,,,,,44,0,1,,,,,0,,,,73,100
20544,note_on,,,,,4,0,1,,,,,0,,,,74,51
20636,note_off,,,,,92,0,1,,,,,0,,,,74,100
20640,note_on,,,,,4,0,1,,,,,0,,,,76,51
20732,note_off,,,,,92,0,1,,,,,0,,,,76,100
20736,note_on,,,,,0,0,1,,,,,0,,,,65,51
20736,note_on,,,,,0,0,1,,,,,0,,,,69,51
20736,note_on,,,,,4,0,1,,,,,0,,,,74,51
21116,note_off,,,,,380,0,1,,,,,0,,,,74,100
21116,note_off,,,,,0,0,1,,,,,0,,,,65,100
21116,note_off,,,,,0,0,1,,,,,0,,,,69,100
21312,note_on,,,,,196,0,1,,,,,0,,,,77,51
21456,note_off,,,,,144,0,1,,,,,0,,,,77,100
21504,note_on,,,,,0,0,1,,,,,0,,,,71,51
21504,note_on,,,,,0,0,1,,,,,0,,,,67,51
21504,note_on,,,,,48,0,1,,,,,0,,,,76,72
22032,note_off,,,,,528,0,1,,,,,0,,,,71,100
22032,note_off,,,,,0,0,1,,,,,0,,,,67,100
22076,note_off,,,,,44,0,1,,,,,0,,,,76,100
22080,note_on,,,,,4,0,1,,,,,0,,,,77,51
22172,note_off,,,,,92,0,1,,,,,0,,,,77,100
22176,note_on,,,,,4,0,1,,,,,0,,,,79,51
22268,note_off,,,,,92,0,1,,,,,0,,,,79,100
22272,note_on,,,,,4,0,1,,,,,0,,,,77,51
22272,note_on,,,,,0,0,1,,,,,0,,,,69,51
22272,note_on,,,,,0,0,1,,,,,0,,,,72,51
22652,note_off,,,,,0,0,1,,,,,0,,,,72,100
22652,note_off,,,,,0,0,1,,,,,0,,,,69,100
22652,note_off,,,,,380,0,1,,,,,0,,,,77,100
23040,note_on,,,,,388,0,1,,,,,0,,,,84,72
23040,note_on,,,,,0,0,1,,,,,0,,,,72,72
23040,note_on,,,,,8084,0,2,,,,,1,,,,57,72
23184,note_off,,,,,144,0,2,,,,,1,,,,57,100
23184,note_off,,,,,144,0,1,,,,,0,,,,84,100
23184,note_off,,,,,0,0,1,,,,,0,,,,72,100
23232,note_on,,,,,48,0,2,,,,,1,,,,60,72
23232,note_on,,,,,48,0,1,,,,,0,,,,84,72
23232,note_on,,,,,0,0,1,,,,,0,,,,72,72
23376,note_off,,,,,144,0,2,,,,,1,,,,60,100
23376,note_off,,,,,144,0,1,,,,,0,,,,84,100
23376,note_off,,,,,0,0,1,,,,,0,,,,72,100
23424,note_on,,,,,48,0,1,,,,,0,,,,84,72
23424,note_on,,,,,0,0,1,,,,,0,,,,72,72
23424,note_on,,,,,48,0,2,,,,,1,,,,57,72
23568,note_off,,,,,144,0,2,,,,,1,,,,57,100
23616,note_on,,,,,48,0,2,,,,,1,,,,60,72
23760,note_off,,,,,144,0,2,,,,,1,,,,60,100
23808,note_on,,,,,48,0,2,,,,,1,,,,53,51
23952,note_off,,,,,144,0,2,,,,,1,,,,53,100
24000,note_on,,,,,48,0,2,,,,,1,,,,60,51
24144,note_off,,,,,144,0,2,,,,,1,,,,60,100
24188,note_off,,,,,0,0,1,,,,,0,,,,72,100
24188,note_off,,,,,764,0,1,,,,,0,,,,84,100
24192,note_on,,,,,48,0,2,,,,,1,,,,53,51
24192,note_on,,,,,4,0,1,,,,,0,,,,83,51
24336,note_off,,,,,144,0,2,,,,,1,,,,53,100
24380,note_off,,,,,188,0,1,,,,,0,,,,83,100
24384,note_on,,,,,48,0,2,,,,,1,,,,60,51
24384,note_on,,,,,4,0,1,,,,,0,,,,81,51
24528,note_off,,,,,144,0,2,,,,,1,,,,60,100
24572,note_off,,,,,188,0,1,,,,,0,,,,81,100
24576,note_on,,,,,0,0,1,,,,,0,,,,72,72
24576,note_on,,,,,4,0,1,,,,,0,,,,79,72
24576,note_on,,,,,48,0,2,,,,,1,,,,52,72
24720,note_off,,,,,144,0,2,,,,,1,,,,52,100
24720,note_off,,,,,144,0,1,,,,,0,,,,79,100
24720,note_off,,,,,0,0,1,,,,,0,,,,72,100
24768,note_on,,,,,48,0,1,,,,,0,,,,72,72
24768,note_on,,,,,0,0,1,,,,,0,,,,79,72
24768,note_on,,,,,48,0,2,,,,,1,,,,60,72
24912,note_off,,,,,144,0,2,,,,,1,,,,60,100
24912,note_off,,,,,0,0,1,,,,,0,,,,79,100
24912,note_off,,,,,144,0,1,,,,,0,,,,72,100
24960,note_on,,,,,48,0,2,,,,,1,,,,52,72
24960,note_on,,,,,0,0,1,,,,,0,,,,72,72
24960,note_on,,,,,48,0,1,,,,,0,,,,79,72
25104,note_off,,,,,144,0,2,,,,,1,,,,52,100
25152,note_on,,,,,48,0,2,,,,,1,,,,60,72
25296,note_off,,,,,144,0,2,,,,,1,,,,60,100
25344,note_on,,,,,48,0,2,,,,,1,,,,48,51
25488,note_off,,,,,144,0,2,,,,,1,,,,48,100
25488,note_off,,,,,0,0,1,,,,,0,,,,72,100
25488,note_off,,,,,528,0,1,,,,,0,,,,79,100
25536,note_on,,,,,48,0,2,,,,,1,,,,60,51
25680,note_off,,,,,144,0,2,,,,,1,,,,60,100
25728,note_on,,,,,48,0,2,,,,,1,,,,48,51
25728,note_on,,,,,240,0,1,,,,,0,,,,77,51
25872,note_off,,,,,144,0,1,,,,,0,,,,77,100
25872,note_off,,,,,144,0,2,,,,,1,,,,48,100
25920,note_on,,,,,48,0,1,,,,,0,,,,76,51
25920,note_on,,,,,48,0,2,,,,,1,,,,60,51
26064,note_off,,,,,144,0,2,,,,,1,,,,60,100
26064,note_off,,,,,144,0,1,,,,,0,,,,76,100
26112,note_on,,,,,48,0,1,,,,,0,,,,76,51
26112,note_on,,,,,48,0,2,,,,,1,,,,53,51
26204,note_off,,,,,92,0,1,,,,,0,,,,76,100
26208,note_on,,,,,4,0,1,,,,,0,,,,74,51
26256,note_off,,,,,144,0,2,,,,,1,,,,53,100
26300,note_off,,,,,92,0,1,,,,,0,,,,74,97
26304,note_on,,,,,4,0,1,,,,,0,,,,77,51
26304,note_on,,,,,48,0,2,,,,,1,,,,57,51
26396,note_off,,,,,92,0,1,,,,,0,,,,77,100
26400,note_on,,,,,4,0,1,,,,,0,,,,81,51
26448,note_off,,,,,144,0,2,,,,,1,,,,57,100
26492,note_off,,,,,92,0,1,,,,,0,,,,81,100
26496,note_on,,,,,4,0,1,,,,,0,,,,79,51
26496,note_on,,,,,48,0,2,,,,,1,,,,53,51
26540,note_off,,,,,44,0,1,,,,,0,,,,79,100
26544,note_on,,,,,4,0,1,,,,,0,,,,77,51
26640,note_off,,,,,144,0,2,,,,,1,,,,53,100
26684,note_off,,,,,140,0,1,,,,,0,,,,77,100
26688,note_on,,,,,4,0,1,,,,,0,,,,76,51
26688,note_on,,,,,48,0,2,,,,,1,,,,62,51
26780,note_off,,,,,92,0,1,,,,,0,,,,76,100
26784,note_on,,,,,4,0,1,,,,,0,,,,74,51
26832,note_off,,,,,144,0,2,,,,,1,,,,62,100
26876,note_off,,,,,92,0,1,,,,,0,,,,74,100
26880,note_on,,,,,4,0,1,,,,,0,,,,72,51
26880,note_on,,,,,48,0,2,,,,,1,,,,55,51
27024,note_off,,,,,144,0,2,,,,,1,,,,55,100
27072,note_on,,,,,48,0,2,,,,,1,,,,64,51
27216,note_off,,,,,144,0,2,,,,,1,,,,64,100
27260,note_off,,,,,380,0,1,,,,,0,,,,72,100
27264,note_on,,,,,4,0,1,,,,,0,,,,71,51
